,volume,corp_creators,abstract,date,uri,subjects,date_type,status_changed,issn,full_text_status,rev_number,ispublished,publication,publisher,dir,divisions,number,userid,contributors,documents,lastmod,eprintid,eprint_status,datestamp,pagerange,metadata_visibility,type,creators,refereed,title,official_url,related_url,contact_email,event_location,event_dates,pres_type,event_type,event_title,id_number,pages,referencetext,monograph_type,succeeds,isbn,place_of_pub,department,institution,series,book_title
0,19,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']","his study aims to provide empirical evidence on the impact of mining company policies in Lampung Province on improving community welfare. The issue used in this study was the enactment of Law No. 23 of 2014 which transferred the authority to manage mineral and coal mining to the Province (previously managed by the Regency/City). This study separates two periods of observation, namely before and after the authority to administer affairs in the mineral and coal mining sector has shifted to the provincial government. Using secondary data derived from records of receipts sourced from mining companies in each region for five years of observation (2010-2014 for the before period). While the 2015-2018 data will be collected from the government of Lampung Province, because since 2015 the authority to administer affairs in the mineral and coal mining sector has shifted to the Provincial government (2015-2018 for the after period). This welfare is 
measured using local original income. The greater the annual average local original income from mining 
received by the Province compared to the average accumulated annual local original income from mining 
received in all districts / cities in Lampung, the welfare index in Lampung Province also increases. The results of the 2010-2018 analysis show an increase in local original income from mining companies after the enactment of Law No. 23 of 2014. This finding indicates that mining regulations issued by the government improve 
community welfare and confirm regulatory theory, especially the theory of public interest.",2020-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/31146,['HG'],published,2021-05-29 00:33:23,2186-2982,public,7,pub,International Journal of GEOMATE,The Geomate International Society,disk0/00/03/11/46,['FEB4'],72,901,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]","[{'eprintid': 31146, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/140683', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/369219', 'filename': '2020 Evana et al.pdf', 'objectid': 140683, 'filesize': 445989, 'mtime': '2021-05-28 06:34:09', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '341c5e799b8c2107c0412e66ced7cdb9', 'datasetid': 'document', 'fileid': 369219}], 'main': '2020 Evana et al.pdf', 'docid': 140683, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2021-05-29 00:33:23,31146,archive,2021-05-29 00:33:23,225-230,show,article,"[{'name': {'honourific': None, 'family': 'Ahadis', 'lineage': None, 'given': 'Hamartoni'}, 'id': None}, {'name': {'given': 'Wan Abbas', 'lineage': None, 'family': 'Zakaria', 'honourific': None}, 'id': 'Wan_abbas@yahoo.com'}, {'name': {'given': 'Irwan Sukri', 'lineage': None, 'family': 'Banuwa', 'honourific': None}, 'id': 'irwanbanuwa@yahoo.com'}, {'id': 'lindrianasari@feb.unila.ac.id', 'name': {'given': 'Lindrianasari', 'family': 'Lindrianasari', 'lineage': None, 'honourific': None}}]",TRUE,MINING REGULATION AND IT’S IMPACT ON PUBLIC WELFAR,,,,,,,,,,,,,,,,,,,
1,19,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']","This study aims to provide empirical evidence on the impact of mining company policies in Lampung Province on improving community welfare. The issue used in this study was the enactment of Law No. 23 of 2014 which transferred the authority to manage mineral and coal mining to the Province (previously managed by the Regency/City). This study separates two periods of observation, namely before and after the authority to administer affairs in the mineral and coal mining sector has shifted to the provincial government. Using secondary data derived from records of receipts sourced from mining companies in each region for five years of observation (2010-2014 for the before period). While the 2015-2018 data will be collected from the government of Lampung Province, because since 2015 the authority to administer affairs in the mineral and coal mining sector has shifted to the Provincial government (2015-2018 for the after period). This welfare is measured using local original income. The greater the annual average local original income from mining received by the Province compared to the average accumulated annual local original income from mining received in all districts / cities in Lampung, the welfare index in Lampung Province also increases. The results of the 2010-2018 analysis show an increase in local original income from mining companies after the enactment of Law No. 23 of 2014. This finding indicates that mining regulations issued by the government improve community welfare and confirm regulatory theory, especially the theory of public interest.",1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/21617,['HG'],published,2020-06-03 04:43:48,2186-2982,public,7,pub,International Journal of GEOMATE,The Geomate International Society,disk0/00/02/16/17,['FEB4'],72,901,,"[{'placement': 1, 'eprintid': 21617, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35003', 'security': 'public', 'docid': 35003, 'main': '2020 Ahadis et al..pdf', 'files': [{'datasetid': 'document', 'fileid': 200196, 'hash': '9a3a323d868a2a91ebb64dc7e4bc5f3d', 'mime_type': 'application/pdf', 'filesize': 151799, 'objectid': 35003, 'uri': 'http://repository.lppm.unila.ac.id/id/file/200196', 'filename': '2020 Ahadis et al..pdf', 'hash_type': 'MD5', 'mtime': '2020-06-03 04:20:29'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2020-06-03 04:43:48,21617,archive,2020-06-03 04:43:48,225-230,show,article,"[{'name': {'family': 'Ahadis', 'lineage': None, 'honourific': None, 'given': 'Hamartoni'}, 'id': 'mulangmaya@yahoo.com'}, {'id': 'Wan_abbas@yahoo.com', 'name': {'family': 'Zakaria', 'lineage': None, 'honourific': None, 'given': 'Wan Abbas'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Banuwa', 'given': 'Irwan Sukri'}, 'id': 'irwanbanuwa@yahoo.com'}, {'name': {'given': 'Lindrianasari', 'honourific': None, 'lineage': None, 'family': 'Lindrianasari'}, 'id': 'sari_170870@yahoo.com'}]",TRUE,MINING REGULATION AND IT’S IMPACT ON PUBLIC WELFARE,https://www.geomatejournal.com/node/1924,,,,,,,,,,,,,,,,,,
2,19,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",": This study aims to provide empirical evidence on the impact of mining company policies in Lampung Province on improving community welfare. The issue used in this study was the enactment of Law No. 23 of 2014 which transferred the authority to manage mineral and coal mining to the Province (previously managed by the Regency/City). This study separates two periods of observation, namely before and after the authority to administer affairs in the mineral and coal mining sector has shifted to the provincial government. Using secondary data derived from records of receipts sourced from mining companies in each region for five years of observation (2010-2014 for the before period). While the 2015-2018 data will be collected from the government of Lampung Province, because since 2015 the authority to administer affairs in the mineral and coal mining sector has shifted to the Provincial government (2015-2018 for the after period). This welfare is measured using local original income. The greater the annual average local original income from mining received by the Province compared to the average accumulated annual local original income from mining 
received in all districts / cities in Lampung, the welfare index in Lampung Province also increases. The results of the 2010-2018 analysis show an increase in local original income from mining companies after the enactment of Law No. 23 of 2014. This finding indicates that mining regulations issued by the government improve 
community welfare and confirm regulatory theory, especially the theory of public interest.",2020-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/31199,['HG'],published,2021-05-29 00:35:53,"2186-2982 (P), 2186-2990 (O)",public,7,pub,International Journal of GEOMATE,GEOMATE,disk0/00/03/11/99,['FEB4'],72,901,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]","[{'main': '2020 Ahadis et al..pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-05-28 14:25:13', 'filesize': 151799, 'objectid': 140990, 'filename': '2020 Ahadis et al..pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/369892', 'datasetid': 'document', 'fileid': 369892, 'hash': '9a3a323d868a2a91ebb64dc7e4bc5f3d', 'mime_type': 'application/pdf'}], 'docid': 140990, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 31199, 'uri': 'http://repository.lppm.unila.ac.id/id/document/140990', 'pos': 1, 'security': 'public'}]",2021-05-29 00:35:54,31199,archive,2021-05-29 00:35:53,225-230,show,article,"[{'name': {'lineage': None, 'family': 'Ahadis', 'honourific': None, 'given': 'Hamartoni'}, 'id': None}, {'id': 'Wan_abbas@yahoo.com', 'name': {'given': 'Wan Abbas', 'lineage': None, 'family': 'Zakaria', 'honourific': None}}, {'name': {'given': 'Irwan Sukri', 'lineage': None, 'family': 'Banuwa', 'honourific': None}, 'id': 'irwanbanuwa@yahoo.com'}, {'id': 'lindrianasari@feb.unila.ac.id', 'name': {'given': 'Lindrianasari', 'honourific': None, 'lineage': None, 'family': 'Lindrianasari'}}]",TRUE,MINING REGULATION AND IT’S IMPACT ON PUBLIC WELFARE,,,,,,,,,,,,,,,,,,,
3,15,['University of Lampung'],"This study aims to analyze the factors that influence the individual's intention to do whistle blowing. This study uses a questionnaire to gather the information needed. The variables used in this study are Subjective Norms, Attitudes Towards Behavior, Perceptions About Behavioral Control, Locus of Control, and Reward as independent variables and Intentions as dependent variables.
The total samples in this study were 112 samples and using random sampling techniques in data collection. Respondents in this study were the Village Consultative Body in 7 Sub-districts in South Lampung District. Data were analyzed using Partial Least Square (PLS). The Partial Least Squares (PLS) technique was chosen because this tool is widely used to estimate the path model with a small sample size [1] then it is used for a very complex model (consisting of many latent variables and manifests) without problems [2].
The results of this study indicate that the subjective norm, attitudes toward behavior and the reward variable does not affect the individual's intention to do whistle blowing. Then, the behavioral control and locus of control variables indicate that the two variables affect the individual's intention to do whistleblowing.",2020-06-10 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/25894,['H1'],published,2020-11-18 01:29:54,2456-639X,none,5,pub,"Asian Journal of Economics, Business and Accounting",Till Date,disk0/00/02/58/94,['FEB4'],4,331,,,2020-11-18 01:29:54,25894,archive,2020-11-18 01:29:54,18-29,show,article,"[{'name': {'honourific': None, 'family': 'Alfani', 'lineage': None, 'given': 'Ulin Nuha'}}, {'name': {'given': 'Fajar Gustiawaty', 'honourific': None, 'lineage': None, 'family': 'Dewi'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Sarumpaet', 'given': 'Susi'}}]",TRUE,Factors Affecting Whistleblowing Intention: Case Study on the Implementation of Village Funds,https://journalajeba.com/index.php/AJEBA/article/view/30219,[{'url': 'https://doi.org/10.9734/ajeba/2020/v15i430219'}],,,,,,,,,,,,,,,,,
4,,['Universitas Lampung'],"The aim of this research is to find the correlation between financial performance, firm size, foreign ownership as independent variables and environmental investment as dependent variable. The measurement of environmental investment is environmental investment total per assets total. This research is using quantitative approach that examined the correlation between variables through hypothesis testing. The sample of this research is 46 public listed mining companies in the period of 2014-2018 by purposive sampling method. The data and hypothesis analysis used correlation analysis.
The results indicated that financial performance have positive correlation on environmental investment whereas firm size and foreign ownership do not have any correlation on environmental investment. Great environmental investment can lead to higher profit, reputation and legitimacy of the company.",2020-05-19 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/26466,['H1'],completed,2020-11-20 06:48:18,,public,8,submitted,,,disk0/00/02/64/66,['FEB4'],,260,,"[{'placement': 1, 'eprintid': 26466, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40354', 'security': 'public', 'main': 'Finance Sustainability to the Environmental Investment.pdf', 'docid': 40354, 'files': [{'mime_type': 'application/pdf', 'hash': 'c1758c42ed116cde4d8ef96bd4ce96d1', 'datasetid': 'document', 'fileid': 238173, 'mtime': '2020-11-20 06:19:23', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/238173', 'filename': 'Finance Sustainability to the Environmental Investment.pdf', 'objectid': 40354, 'filesize': 250361}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2020-11-20 06:48:18,26466,archive,2020-11-20 06:48:18,01-08,show,conference_item,"[{'name': {'family': 'Alvira', 'lineage': None, 'honourific': None, 'given': 'Chairunnisa'}, 'id': None}, {'name': {'given': 'Lindrianasari', 'honourific': None, 'family': 'Lindrianasari', 'lineage': None}, 'id': 'sari_170870@yahoo.com'}, {'name': {'given': 'Yuztitya', 'honourific': None, 'lineage': None, 'family': 'Asmaranti'}, 'id': 'yuztitya@yahoo.com'}, {'name': {'given': 'Reni', 'family': 'Oktavia', 'lineage': None, 'honourific': None}, 'id': 'reni.oktavia@feb.unila.ac.id'}]",FALSE,Finance Sustainability to the Environmental Investment,http://mia.sps.upi.edu/,,reni.oktavia@feb.unila.ac.id,"UPI, Bandung",19 MEI 2020,paper,conference,Accounting Research Competition,,,,,,,,,,,
5,,,"Abstract This study wants to explore how to implement sustainable finance in the financial services
industry, given the objectives of sustainable finance. This is will essential for realizing sustainable
economic growth while still paying attention to environmental sustainability and the financial services
industry, including industries that already have a concept to participate in sustainable development. This
study is expected to contribute to developing concepts and theories related to financial and environmental
performance. This research method is a literature study to systematically identify and analyze document
documents that contain or relate to problems in the research carried out. The final stage is to find the main
concepts based on data to be visualized or presented in the form of data analysis results. Results Until
now, few studies in Indonesia have examined sustainable finance implementation in the Financial
Services Industry Sector. Many financial industries have not correctly implemented the concept of
sustainable development, which has been transformed into the financial services industry sector.

Keywords: Implementation, Sustainability, Financing, Banking",1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/26486,['HG'],,2020-11-20 07:46:35,,public,11,inpress,,,disk0/00/02/64/86,['FEB4'],,733,,"[{'format': 'text', 'main': 'ISBN Abstract Book_ICEBE 2020.pdf', 'files': [{'hash': '82e771d4216feebe06ac38b5a9c1ff1c', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 238288, 'filename': 'ISBN Abstract Book_ICEBE 2020.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/238288', 'objectid': 40371, 'filesize': 1241493, 'mtime': '2020-11-20 07:27:01', 'hash_type': 'MD5'}], 'docid': 40371, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 26486, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40371', 'pos': 1}]",2020-11-20 07:46:35,26486,archive,2020-11-20 07:46:35,,show,conference_item,"[{'id': 'yuniaamelia@yahoo.com', 'name': {'given': 'Yunia', 'family': 'Amelia', 'lineage': None, 'honourific': None}}]",FALSE,"Implementation of Sustainable Financing 
in Banking Industry",,,,Hotel Horison,"October 1 st , 2020,",paper,conference,The 3rd International Conference of Economics Business & Entrepreneurship (ICEBE) 2020,,,,,,,,,,,
6,"Vol 1,",,"Abstrak:

Tujuan Kegiatan pengabdian ini melatih santri dan pengelola untuk memanfaatkan potensi yang ada di lingkungan sekitarnya untuk dapat menjadi salah satu sumber arus kas masuk bagi pesantren maupun bagi kesejahteraan santri yang sebagaian berasal dari
keluarga yang tidak mampu. Lingkungan disekitar pesantren jika dikelola dengan benar dapat menghasilkan sesuatu yang bermanfaat untuk menjadi salah satu sumber pemasukan bernilai ekonomis.Adapun metode yang dilakukan berupa pelatihan dan pendampingan dengan materi potensi pengoptimalan pemanfaatan lingkungan berpotensi ekonomi, pengelolaan arus kas masuk dan keluar serta manajemen keuangan. Luaran dari hasil pengabdian ini adalah meningkatkan skill dan pengetahuan santri dan pengelola
pondok untuk meningkatkan value ekonominya dengan tetap
menjaga kelestarian lingkungan di sekitar pondok dengan
memberikan skill pelatihan pengelolaan keuangan dan lingkungan bernilai ekonomis dengan memanfaatkan berbagai potensi yang ada dilingkungannya agar dapat meningkatkan kesejahteraan pondok dan santrinya.  Kegiatan ini telah dilaksanakan Pada Hari Sabtu tanggal 8 Agustus dan 15 Agustus dengan narasumber Tim Dosen Pengabdian dari Fakultas Ekonomi dan Bisnis Universitas Lampung
bertempat di Pondok Pesantren dihadiri 60 peserta. Hasilnya terjadi peningkatan pengetahuan rata-rata 40 persen dari peserta mengenai materi yang diberikan.
 
Kata kunci: pelatihan manajemen, value ekonomi, value
lingkungan, sustainability",1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/26046,"['H1', 'HF5601']",published,2020-11-18 07:59:14,,public,10,pub,Yumary: Jurnal Pengabdian Kepada Masyarakat,,disk0/00/02/60/46,['FEB4'],33,733,,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39871', 'security': 'public', 'placement': 1, 'eprintid': 26046, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': '58-Article Text-186-2-10-20200910.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '48afd85018ff4a439740b24d3a91465e', 'fileid': 234993, 'datasetid': 'document', 'mtime': '2020-11-18 07:29:11', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/234993', 'filename': '58-Article Text-186-2-10-20200910.pdf', 'objectid': 39871, 'filesize': 315893}], 'docid': 39871, 'format': 'text'}]",2020-11-18 07:59:14,26046,archive,2020-11-18 07:59:14,33-38,show,article,"[{'name': {'given': 'Yunia', 'family': 'Amelia', 'lineage': None, 'honourific': None}, 'id': 'yuniaamelia@yahoo.com'}, {'name': {'family': 'Yuliansyah', 'lineage': None, 'honourific': None, 'given': 'Yuliansyah'}, 'id': 'yuliansyah@feb.unila.ac.id'}, {'id': None, 'name': {'given': 'Andri', 'honourific': None, 'lineage': None, 'family': 'Winata'}}]",FALSE,"PELATIHAN PENINGKATAN VALUE EKONOMI DAN LINGKUNGAN PONDOK
PESANTREN UNTUK SUSTAINABILITY DI ERA SOCIETY 5.0",,,,,,,,,,,,,,,,,,,
7,1,"['FEB, Universitas Lampung', 'FEB, Universitas Lampung', 'IIB Darmajaya']","Abstract
Tujuan Kegiatan pengabdian ini melatih santri dan pengelola untuk memanfaatkan potensi yang ada di lingkungan sekitarnya untuk dapat menjadi salah satu sumber arus kas masuk bagi pesantren maupun bagi kesejahteraan santri yang sebagaian berasal dari keluarga yang tidak mampu. Lingkungan disekitar pesantren jika dikelola dengan benar dapat menghasilkan sesuatu yang bermanfaat untuk menjadi salah satu sumber pemasukan bernilai ekonomis.  Adapun metode yang dilakukan berupa pelatihan dan pendampingan dengan materi potensi pengoptimalan pemanfaatan lingkungan berpotensi ekonomi, pengelolaan arus kas masuk dan keluar serta manajemen keuangan. Luaran dari hasil pengabdian ini adalah meningkatkan skill dan pengetahuan santri dan pengelola pondok untuk meningkatkan value ekonominya dengan tetap menjaga kelestarian lingkungan di sekitar pondok dengan memberikan skill pelatihan pengelolaan keuangan dan lingkungan bernilai ekonomis dengan memanfaatkan berbagai potensi yang ada dilingkungannya agar dapat meningkatkan kesejahteraan pondok dan santrinya.  Kegiatan ini telah dilaksanakan Pada Hari Sabtu tanggal 8 Agustus dan 15 Agustus dengan narasumber Tim Dosen Pengabdian dari Fakultas Ekonomi dan Bisnis Universitas Lampung bertempat di Pondok Pesantren dihadiri 60 peserta. Hasilnya terjadi peningkatan pengetahuan rata-rata 40 persen dari peserta mengenai materi yang diberikan.

Kata kunci: pelatihan manajemen, value ekonomi, value lingkungan, sustainability",2020-09-25 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/35977,['HF5601'],published,2021-11-11 04:56:03,: 2746-0576,restricted,7,pub,Yumary: Jurnal Pengabdian kepada Masyarakat,Penerbit Goodwood,disk0/00/03/59/77,['FEB4'],1,608,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]","[{'eprintid': 35977, 'placement': 1, 'security': 'validuser', 'formatdesc': 'Yumary: Jurnal Pengabdian Kepada Masyarakat', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/156926', 'format': 'text', 'date_embargo': '2021-11-25', 'files': [{'hash_type': 'MD5', 'mtime': '2021-11-11 04:22:06', 'filesize': 324189, 'objectid': 156926, 'uri': 'http://repository.lppm.unila.ac.id/id/file/417358', 'filename': '58-Full Manuscript-186-4-10-20201014.pdf', 'fileid': 417358, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '6c580bfae430da42d6eef872bebf4358'}], 'main': '58-Full Manuscript-186-4-10-20201014.pdf', 'docid': 156926, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'id', 'rev_number': 2}]",2021-11-11 04:56:03,35977,archive,2021-11-11 04:56:03,19-24,show,article,"[{'name': {'lineage': None, 'family': 'Amelia', 'honourific': None, 'given': 'Yunia'}, 'id': 'yunia.amelia@feb.unila.ac.id2'}, {'name': {'given': 'Yuliansyah', 'lineage': None, 'family': 'Yuliansyah', 'honourific': None}, 'id': 'yuliansyah@feb.unila.ac.id'}, {'id': 'andriwinata@darmajaya.ac.id', 'name': {'honourific': None, 'family': 'Winata', 'lineage': None, 'given': 'Andri'}}]",TRUE,Pelatihan peningkatan value ekonomi dan lingkungan pondok pesantren untuk sustainability di era society 5.0,https://www.penerbitgoodwood.com/index.php/jpm,[{'url': 'https://www.penerbitgoodwood.com/index.php/jpm/article/view/58'}],,,,,,,https://doi.org/10.35912/jpm.v1i1.58,,,,,,,,,,
8,,,"Abstrak
Penelitian ini ingin mengeksplorasi lebih jauh lagi bagaimana Efektifitas implementasi sustainable
financing pada industri jasa keuangan. Metode dalam penelitian ini adalah kualitatif deskriptif dengan
pengumpulan data secara sekunder dan primer lalu dikoding dengan menggunakan Software kualitatif
Nvivo dengan tahapan penelitian ini pertama mengeksplorasi teks atau sumber data penelitian dari
berbagai sumber lalu dilakukan koding, yakni kegiatan secara kontiue dalam menganalisis data.
Tahap akhir menemukan konsep-konsep utama berdasarkan data untuk selanjutnya divisualisasikan
atau dipresentasikan dalam bentuk hasil analisis data. Penelitian ini diharapkan memberikan implikasi
bagi pengambil kebijakan dalam penyusunan regulasi dan evaluasi dari sebuah program yang sedang
berjalan khususnya bagi sektor perbankan dan lembaga keuangan, hasil penelitian ini dapat menjadi
tolok ukur sejauh mana implementasi sustainable financing di sektor industri jasa keuangan di
Indonesia.Bank yang sudah berkomitmen untuk melaksanakan prinsip keuangan berkelanjutan, dalam
laporannya sudah melaksanakan prinsip-prinsip keuangan berkelanjutan. Penelitian ini memiliki
keterbatasan karena hanya mengeksplorasi data-data dalam laporan keberlanjutan delapan bank,
penelitian lebih lanjut dengan melihat sejauh mana pengimplementasiannya diperbankan dengan
mendapatkan informasi langsung dari pelaku perbankan melalui focus grup disscusion dibutuhkan
untuk mendapatkan hasil yang lebih baik.
Kata kunci: Implementasi, keuangan berkelanjutan, Bank",1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/26727,['HG'],completed,2020-11-24 01:29:50,,public,7,unpub,,,disk0/00/02/67/27,['FEB4'],,733,,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40701', 'pos': 1, 'eprintid': 26727, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 40701, 'main': 'PROGRAM BOOK STABEK 4.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'f55a73ba4990206009513393ad4d384d', 'fileid': 240111, 'datasetid': 'document', 'filename': 'PROGRAM BOOK STABEK 4.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/240111', 'objectid': 40701, 'filesize': 6653249, 'mtime': '2020-11-23 10:55:39', 'hash_type': 'MD5'}]}]",2020-11-24 01:29:50,26727,archive,2020-11-24 01:29:50,,show,conference_item,"[{'name': {'given': 'Yunia', 'honourific': None, 'family': 'Amelia', 'lineage': None}, 'id': 'yuniaamelia@yahoo.com'}, {'name': {'honourific': None, 'family': 'yenni', 'lineage': None, 'given': 'agustina'}, 'id': None}]",FALSE,"Efektivitas Implementasi Sustainable Financing
pada Industri Jasa Keuangan",,,,,,speech,conference,"Seminar Teknologi, Akuntansi, Bisnis, Ekonomi dan Komunitas 4 STABEK 4",,,,,,,,,,,
9,,,"This study aims to examine the concept of information technology investment and digitalization in increasing profitability and fee-based income with company size as a control variable. The purpose of this study is to contribute to banking companies in improving performance, especially in the field of technology and digital. The population of this study is all banking companies listed on the Indonesia Stock Exchange. This research uses quantitative methods with secondary data from the company's financial statements. Analysis of the data in this study used Eviews 8 software. The results showed that information technology investment had a positive effect on profitability and fee-based income. While digitalization has a positive effect on fee-based income but its effect on profitability is not significant. This shows that digitalization increases fee-based income but the operational costs of digitalization are still relatively high so that revenues from digitalization and operating costs are still relatively balanced as a result of the digitalization's contribution to profitability is not significant.",1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/24341,"['HF5601', 'HG']",,2020-10-25 06:31:45,,public,9,pub,,Pustaka Media,disk0/00/02/43/41,['FEB4'],,917,,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 38068, 'main': 'paper 3.pdf', 'files': [{'datasetid': 'document', 'fileid': 221460, 'hash': 'dd4f375c64f64f298c5fe7c47c88d2fb', 'mime_type': 'application/pdf', 'objectid': 38068, 'filesize': 241287, 'uri': 'http://repository.lppm.unila.ac.id/id/file/221460', 'filename': 'paper 3.pdf', 'hash_type': 'MD5', 'mtime': '2020-10-22 04:17:16'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38068', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 24341}]",2020-10-25 06:31:45,24341,archive,2020-10-25 06:31:45,,show,monograph,"[{'name': {'family': 'Andi', 'lineage': None, 'honourific': None, 'given': 'Kiagus'}, 'id': 'kgs_andi@yahoo.com'}]",,INFORMATION TECHNOLOGY INVESTMENT AND DIGITALIZATION OF PROFITABILITY AND FEE-BASED INCOME,,,,,,,,,9786236569283,17.0,"Andrayani, Irene. 2014. The Effect of IT Spending on Company
Performance on Telecommunications Companies Listed on All
Southeast Asian Stock Exchanges in 2009-2011: MODUS Vol.26
(2): 93-106

Arisuniarti, Desak Made. 2016. The Effect of Information Technology and Integrated Management Information Systems on Employee Performance in the University of Warmadewa. Journal of Public Inspiration.
Aryani, DS 2011. Earnings management at manufacturing companies on the Indonesia Stock Exchange. Journal of Economics and Accounting Information. Vol. 1, No. 2
Black, James A., & Dean, J Champion. 2002. Methods and Problems of Social Research. Bandung: PT Refika Aditama. Crisóstomo, VL, de Souza Freire, F., & Cortes de Vasconcellos, F. 2011. Corporate social responsibility, firm value and financial performance in Brazil. Social Responsibility Journal. Vol. 7, No. 2
Dabholkar, PA, Thorpe, DI, & Rentz, JO (1996). A Measure of Service Quality for Retail Stores: Scale Development and Validation. Journal of the Academy of Marketing Science, 24, 3-16.
Dangolani, Saeid Khajeh. 2011. The Impact of Information Technology in Banking System (A Case Study in IRAN Keshavarzi Bank): Procedia - Social and Behavioral Sciences 30 (2011) 13-16
Elmasry, Hasan, 2004, Capital Intensity and Stock Returns, Working Papers, Morgan Stanley Investment Management.
Farliana, Venny. 2019. The Effect of Information Technology Investment on Financial Performance: Empirical Study on the Indonesia Stock Exchange. Gajah Mada University.
Harumadina, Rizkita Marwa. 2018, The Effect of Information Technology Investment on the Performance of Banking Companies Listed on the Indonesia Stock Exchange in 2014- 2017. Airlangga University.
Hernando, Ignacio. & Nieto, Maira J. 2006. Changing Banks Performance? The Case Of Spanish Banks. Documentos de Trabajo N. 0624
Hilmi Muzakki, Mukhammad. 2016. Effect of Use of Information Technology on Employee Performance.

Hernando, Ignacio. & Nieto, Maira J. 2006. Changing Banks
Performance? The Case Of Spanish Banks. Documentos de
Trabajo N. 0624
Hilmi Muzakki, Mukhammad. 2016. Effect of Use of Information
Technology on Employee Performance.",other,,,,,,,
