,date_type,subjects,abstract,volume,date,uri,related_url,publisher,dir,publication,divisions,full_text_status,issn,status_changed,rev_number,ispublished,datestamp,eprintid,eprint_status,metadata_visibility,pagerange,contributors,userid,number,official_url,lastmod,documents,type,creators,title,refereed,id_number,corp_creators,event_type,event_title,event_location,event_dates,pres_type,isbn,place_of_pub,book_title,contact_email,succeeds
0,published,"['H1', 'HC', 'HV']","Provision of IUPHKm by the Ministry of Environment and Forestry (KLHK) is to improve
the people’s economy. Social forestry which was once illegally managed by the people, has
now been legalized by the government through the KLHK. This study aims to find out how
the impact of the provision of IUPHKm on farmer welfare in Air Naningan Village,
Tanggamus Regency. The method used is an exploratory and descriptive method. The
analysis used is crosstabulation. The results of this study were that after farmers in Air
Naningan Village obtaining IUPHKm, their economy is increasesing as indicatet by : (1)
their income increased by an average of 142.73 percent; (2) they are able to buy 1 to 3 units
of motorcycles; (3) they have a permanent house.",2,2019-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/13357,"[{'url': 'https://ejurnal.teknokrat.ac.id/index.php/technobiz/index', 'type': 'pub'}]",Universitas Teknokrat Indonesia,disk0/00/01/33/57,TECHNOBIZ : INTERNATIONAL JOURNAL OF BUSINESS,['FEB5'],public,E-ISSN: 2655-3457,2019-08-01 07:26:08,15,pub,2019-08-01 07:26:08,13357,archive,show,17-24,"[{'name': {'given': 'Nurul', 'family': 'Husna', 'lineage': None, 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/EDT'}]",1149,1.0,https://ejurnal.teknokrat.ac.id/index.php/technobiz/index,2019-08-01 07:26:08,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/26369', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 13357, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '278-1016-1-PB.pdf', 'files': [{'hash': '85b4d8678b50fa9a0166e63c148ebaa3', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 117039, 'uri': 'http://repository.lppm.unila.ac.id/id/file/117039', 'filename': '278-1016-1-PB.pdf', 'filesize': 243035, 'objectid': 26369, 'mtime': '2019-05-30 06:10:24', 'hash_type': 'MD5'}], 'docid': 26369, 'format': 'text'}]",article,"[{'id': 'prayudha.ananta@feb.unila.ac.id', 'name': {'family': 'Ananta', 'lineage': None, 'honourific': None, 'given': 'Prayudha'}}]","PENINGKATAN KESEJAHTERAAN MASYARAKAT DAN IZIN
USAHA PENGELOLAAN HUTAN KEMASYARAKATAN
(IUPHKM) DI PEKON AIR NANINGAN, KABUPATEN
TANGGAMUS",TRUE,,,,,,,,,,,,
1,published,['HN'],"Provision of IUPHKm by the Ministry of Environment and Forestry (KLHK) is to improve
the people’s economy. Social forestry which was once illegally managed by the people, has
now been legalized by the government through the KLHK. This study aims to find out how
the impact of the provision of IUPHKm on farmer welfare in Air Naningan Village,
Tanggamus Regency. The method used is an exploratory and descriptive method. The
analysis used is crosstabulation. The results of this study were that after farmers in Air
Naningan Village obtaining IUPHKm, their economy is increasesing as indicatet by : (1)
their income increased by an average of 142.73 percent; (2) they are able to buy 1 to 3 units
of motorcycles; (3) they have a permanent house.",2,2019-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/15617,"[{'url': 'https://ejurnal.teknokrat.ac.id/index.php/technobiz/issue/view/49', 'type': 'pub'}]",Universitas Teknokrat Indonesia,disk0/00/01/56/17,TECHNOBIZ : INTERNATIONAL JOURNAL OF BUSINESS,['FEB5'],public,E-ISSN: 2655-3457,2019-11-05 10:58:47,13,pub,2019-11-05 10:58:47,15617,archive,show,17-24,,1149,1.0,https://ejurnal.teknokrat.ac.id/index.php/technobiz/article/view/278/191,2019-11-05 10:58:47,"[{'formatdesc': 'PENINGKATAN KESEJAHTERAAN MASYARAKAT DAN IZIN USAHA PENGELOLAAN HUTAN KEMASYARAKATAN (IUPHKM) DI PEKON AIR NANINGAN, KABUPATEN TANGGAMUS', 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/28736', 'pos': 1, 'eprintid': 15617, 'placement': 1, 'content': 'published', 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': '278-1016-1-PB.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-11-05 07:35:11', 'filesize': 243035, 'objectid': 28736, 'uri': 'http://repository.lppm.unila.ac.id/id/file/134487', 'filename': '278-1016-1-PB.pdf', 'datasetid': 'document', 'fileid': 134487, 'hash': '85b4d8678b50fa9a0166e63c148ebaa3', 'mime_type': 'application/pdf'}], 'docid': 28736}]",article,"[{'id': 'prayudha.ananta@feb.unila.ac.id', 'name': {'given': 'Prayudha', 'honourific': None, 'lineage': None, 'family': 'Ananta'}}]","PENINGKATAN KESEJAHTERAAN MASYARAKAT DAN IZIN
USAHA PENGELOLAAN HUTAN KEMASYARAKATAN
(IUPHKM) DI PEKON AIR NANINGAN, KABUPATEN
TANGGAMUS",TRUE,https://doi.org/10.33365/tb.v2i1,,,,,,,,,,,
2,published,['HB'],"Kajian  ini  menguji  validitas  Hukum  Okun  pada  perekonomian  Indonesia 
dengan  menggunakan  difference  version  Hukum  Okun  untuk  mendapatkan 
koefisien
Okun.  Penelitian  ini  menggunakan  analisis  Autoregressive  Distributed 
Lag  Model  (ARDL).  Dari  hasil  estimasi  didapatkan  kesimpulan  bahwa  Hukum 
Okun terbukti berpengaruh negatif dan signifikan dalam perekonomian Indonesia 
karena    variabel    pertumbuhan    ekonomi 
terbukti    mempengaruhi    variabel 
pengangguran secara statistik",8,2019-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/16233,[{'url': 'http://feb.unila.ac.id/wp-content/uploads/2019/04/4.-Hukum-OKUN-Pertumbuhan-Ekonomi-Dan-Tingkat-Pengangguran-Di-Indonesia.pdf'}],Fakultas Ekonomi dan Bisnis Unila,disk0/00/01/62/33,Jurnal Ekonomi Pembangunan,['FEB5'],public,2302-9595,2019-11-14 10:18:16,8,pub,2019-11-14 10:18:16,16233,archive,show,67-80,,62,1.0,http://feb.unila.ac.id/wp-content/uploads/2019/04/4.-Hukum-OKUN-Pertumbuhan-Ekonomi-Dan-Tingkat-Pengangguran-Di-Indonesia.pdf,2019-11-14 10:18:16,"[{'content': 'published', 'mime_type': 'application/pdf', 'language': 'id', 'rev_number': 3, 'format': 'text', 'docid': 29339, 'main': '4.-Hukum-OKUN-Pertumbuhan-Ekonomi-Dan-Tingkat-Pengangguran-Di-Indonesia.pdf', 'files': [{'datasetid': 'document', 'fileid': 138844, 'mime_type': 'application/pdf', 'hash': 'bb1904d1efadbff6ac59f882d0af2e6c', 'hash_type': 'MD5', 'mtime': '2019-11-13 04:49:06', 'filesize': 542321, 'objectid': 29339, 'filename': '4.-Hukum-OKUN-Pertumbuhan-Ekonomi-Dan-Tingkat-Pengangguran-Di-Indonesia.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/138844'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29339', 'eprintid': 16233, 'placement': 1}]",article,"[{'name': {'given': 'Mayra', 'lineage': None, 'family': 'Astari', 'honourific': None}, 'id': None}, {'name': {'given': 'lies maria', 'honourific': None, 'lineage': None, 'family': 'hamzah'}, 'id': 'liesmh55@gmail.com'}, {'id': 'arivinaratig@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Taher', 'given': 'Arivina Ratih'}}]",Hukum OKUN: Pertumbuhan Ekonomidan Tingkat Pengangguran di Indonesia,TRUE,,"['FEB Unila', 'FEB Unila', 'FEB Unila']",,,,,,,,,,
3,completed,"['H1', 'HB']","Inkubator bisnis telah terbukti secara efektif dalam menciptakan lapangan kerja dan mempercepat
pertumbuhan bisnis baru. Tujuan dari makalah ini adalah untuk menyelidiki dan mengidentifikasi situasi dan
faktor-faktor inkubator bisnis sebagai katalis untuk memfasilitasi keberhasilan implementasi seperti, 1)
pengusaha muda, 2) penciptaan lapangan kerja, dan 3) pemberdayaan usaha kecil dan menengah (UKM). Sifat
penelitian ini terutama adalah pendekatan metode campuran seperti studi kasus dan kualitatif (tinjauan literatur)
dan kemudian, melakukan pemeriksaan dengan studi kasus Asia Pasifik. Beberapa data diambil melalui
referensi dari jurnal, artikel, dan laporan inkubator bisnis. Ekspansi yang cepat dari inkubator bisnis di Asia,
terutama Asia Pasifikadalah salah satu fenomena paling penting yang mempengaruhi pertumbuhan ekonomi.
Studi ini menemukan bahwa pengalaman dan karakteristik industri inkubasi di Asia menunjukkan bahwa,
banyak perhatian dan dukungan besar dari pemerintah pusat dan / atau lokal, memberikan dorongan kuat untuk
industri inkubasi. Di sisilain, kemitraan dan berbagi di antara para inkubasi adalah komponen penting untuk
membuat inkubator lebih sukses.Temuan penelitian ini dapat membantu pemerintah dan pembuat kebijakan agar
implementasi berhasil. Juga, tambahkan dan perluas pengetahuan baru untuk literatur akademik tentang
inkubator, wirausah, dan pengembangan ekonomi.",7,2019-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/23979,"[{'type': 'org', 'url': 'https://equity.ubb.ac.id/index.php/equity/article/view/24'}]",,disk0/00/02/39/79,Equity: Jurnal Ekonomi,['FEB5'],public,1978-3795,2020-09-14 01:43:00,10,pub,2020-09-14 01:43:00,23979,archive,show,1-12,,2788,1.0,https://equity.ubb.ac.id/index.php/equity/article/view/24,2020-09-14 01:43:00,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37666', 'security': 'public', 'license': 'cc_by_nd', 'placement': 1, 'eprintid': 23979, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'content': 'published', 'main': '24-Article Text-67-2-10-20200827.pdf', 'docid': 37666, 'files': [{'filesize': 348292, 'objectid': 37666, 'uri': 'http://repository.lppm.unila.ac.id/id/file/218558', 'filename': '24-Article Text-67-2-10-20200827.pdf', 'hash_type': 'MD5', 'mtime': '2020-09-12 02:33:49', 'datasetid': 'document', 'fileid': 218558, 'hash': '8d3abfcfa361d6b4afc1fec7e46917d3', 'mime_type': 'application/pdf'}], 'format': 'text'}]",article,"[{'id': 'arif.darmawan@feb.unila.ac.id', 'name': {'lineage': None, 'family': 'Darmawan', 'honourific': None, 'given': 'Arif'}}]","MENINGKATKAN PERAN INKUBATOR BISNIS SEBAGAI KATALIS
PENCIPTAAN WIRAUSAHA DI ASIA PASIFIK: TINJAUAN EKONOMI MAKRO",TRUE,https://doi.org/10.33019/equity.v7i1.24,,,,,,,,,,,
4,published,['HB'],"The  purpose of this research was  to measure and  calculate the amount of income contribution  donated by  fattening  cattle business based  on  scale  of  cattle ownership  to breeder  household income, and  analyze the effect of production costs toward fattening cattle business revenues. This  research was  conducted in  the Astomulyo Village  of Punggur Sub- district by using primary data obtained from  interviews and  questionnaires. The  model  of this research used an OLS to see the effect of independent variables to the dependent variable and  calculation of total revenue and  income contributions. The results of this research show that : (1)  On  the scale  of ownership 1-4  tails fattening cattle business contributing 34,39%, while   on  the  scale   5-16  tails  fattening  cattle  business  contributing  71,18%  to  breeders household income and  overall  fattening cattle business contributing contributing 75,09% to breeders household income. (2) the utilization of variable cost of cow seed (X1), feed costs (X2), vaccine costs (X3), labor costs (X4), and  depreciation costs (X5) have  a positive and  significant effect on fattening cattle business revenues.",,2019-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/20367,,,disk0/00/02/03/67,,['FEB5'],public,,2020-05-24 08:11:48,9,pub,2020-05-24 08:11:48,20367,archive,show,77-86,,178,,http://feb.unila.ac.id/id/semnasfeb/,2020-05-24 08:11:48,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33707', 'eprintid': 20367, 'placement': 1, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'id', 'rev_number': 3, 'format': 'text', 'docid': 33707, 'main': '9_emi_kontribusi.pdf', 'files': [{'datasetid': 'document', 'fileid': 191654, 'mime_type': 'application/pdf', 'hash': 'af4355e6ca422e1999cf834b1497b02d', 'filesize': 216047, 'objectid': 33707, 'filename': '9_emi_kontribusi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/191654', 'hash_type': 'MD5', 'mtime': '2020-05-22 09:49:11'}]}]",conference_item,"[{'name': {'given': 'Maimunah', 'honourific': None, 'lineage': None, 'family': 'Emi'}, 'id': 'emi_syam@yahoo.com'}, {'id': None, 'name': {'given': 'Hamzah LM', 'family': 'Lies Maria Hamzah', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'given': 'Fanny Renaldo', 'lineage': None, 'family': 'Tio', 'honourific': None}}]",Kontribusi Pendapatan Usaha Ternak  Pengemukan Sapi terhadap Pendapatan Rumah Tangga Peternak,TRUE,,,conference,Seminar Nasional FEB Unila 2019,Indonesia,24 Oktober 2019,paper,,,,,
5,published,['HB'],"Tujuan dari penelitian ini adalah untuk mengetahui apakah pertanian polikultur kopi dan pisang telah mencapai tingkat produksi yang optimal dan apakah penggunaan sumber daya pertanian telah optimal. Data yang digunakan dalam penelitian ini adalah data primer dan kuantitatif. Penelitian ini menggunakan pemrograman linier dengan metode simpleks dengan menggunakan QM untuk Windows V5 untuk analisis. Hasil estimasi menunjukkan bahwa produksi kopi dan pisang dengan menggunakan pola polikultur di Desa Sukajadi Kecamatan Air Hitam Kabupaten Lampung Barat tidak mencapai hasil yang optimal. Tingkat produksi kopi yang optimal adalah 2,502 kg dan untuk pisang 8,461 kg. Hasil estimasi menunjukkan bahwa penggunaan sumber daya pertanian tidak optimal dan itu menunjukkan bahwa akan ada peningkatan hasil dalam pertanian dengan menggunakan metode simpleks.",,2019-11-15 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/20369,,,disk0/00/02/03/69,,['FEB5'],public,,2020-05-24 08:12:00,16,pub,2020-05-24 08:12:00,20369,archive,show,85-90,,178,,http://ejournal.upbatam.ac.id/index.php/prosiding/article/view/1512,2020-05-24 08:12:00,"[{'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33709', 'eprintid': 20369, 'placement': 2, 'content': 'published', 'mime_type': 'text/html', 'language': 'id', 'rev_number': 4, 'format': 'text', 'main': 1512, 'files': [{'hash': '8a256a960756271233658a074ecd2cc9', 'mime_type': 'text/html', 'datasetid': 'document', 'fileid': 191665, 'mtime': '2020-05-22 10:02:02', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/191665', 'filename': 1512, 'objectid': 33709, 'filesize': 20185}], 'docid': 33709}]",conference_item,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Emi', 'given': 'Maimunah'}, 'id': 'emi_syam@yahoo.com'}, {'id': None, 'name': {'lineage': None, 'family': 'soraya', 'honourific': None, 'given': 'dilasya'}}]",Optimasi Produksi Usahatani Kopi Rakyat dengan Pola Polikultur,TRUE,,"['UNILA', 'UNILA']",conference,Seminar Nasional Ilmu Sosial dan Teknologi Batam,Indonesia,31 Agustus 2019,paper,,,,,
6,published,['HB'],"Tujuan dari penelitian ini adalah untuk menganalisis Inflasi IHK dan Inflasi IHP di Indonesia. Periode penelitian dimulai dari 2000:T1 sampai dengan 2016:T4. Variabel yang digunakan adalah IHK, IHP, Tingkat Suku Bunga, Nilai Tukar, Impor, Output Gab, dan Harga Minyak Dunia. Penelitian ini menggunakan metode analisis Vector Error Correction Model (VECM). Hasil dari penelitian ini menunjukkan bahwa inflasi IHK ditentukan oleh tingkat suku bunga, output gap, dan harga minyak dunia sedangkan inflasi IHP ditentukan oleh tingkat suku bunga, nilai tukar, dan impor berdasarkan hasil VECM yang diperoleh.",2,2019-11-15 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/18385,,LPPM Universitas Putera Batam,disk0/00/01/83/85,,['FEB5'],none,,2020-05-26 08:59:49,6,pub,2020-05-26 08:59:49,18385,archive,show,103-108,,38,,http://ejournal.upbatam.ac.id/index.php/prosiding/article/view/1515,2020-05-26 08:59:49,,book_section,"[{'name': {'lineage': None, 'family': 'Febriana', 'honourific': None, 'given': 'Irma'}, 'id': 'irmaf_mk@yahoo.co.id'}, {'id': None, 'name': {'family': 'Kencono', 'lineage': None, 'honourific': None, 'given': 'Aris'}}]",Inflasi Harga Konsumen dan Inflasi Harga Produsen di Indonesia,TRUE,,,,,,,,978-602-52829-1-1,Batam,•	Prosiding Seminar Nasional Ilmu Sosial dan Teknologi (SNISTEK,,
7,published,['HB'],"Pengabdian ini bertujuan meningkatkan dan mengembangkan pendapatan perempuan perkumpulan pemilik ternak sapi potong melalui kerajinan sulam usus yang dilakukan saat luang di sela-sela kegiatan memelihara ternak. Demikian juga, kegiatan ini akan berefek langsung terhadap usaha sanggar kerajinan sulam usus karena akan mendapatkan mitra baru dalam berproduksi. Metode yang dilakukan dalam pengabdian ini meliputi sosialisasi dan pelatihan pembuatan kerajinan tangan sulam usus. Dalam sosialisasi akan dijelaskan secara singkat tentang cara dan tahapan pembuatan berbagai kerajinan sulam usus. Pelatihan diberikan kepada para  perempuan perkumpulan pemilik ternak sapi potong khususnya pembuatan tas dan dompet sulam usus. Kegiatan akan dilakukan di Dusun Sumber Sari Desa Hajimena Lampung Selatan, dengan sasaran khususnya adalah perempuan perkumpulan pemilik ternak sapi potong dan masyarakat umumnya. Hasil akhir yang diharapkan adalah melalui kerajinan sulam usus tersebut dapat menjadi salah satu pendapatan tambahan atau bahkan menjadi pendapatan utama bagi perempuan khususnya di desa tersebut. Tentu saja kegiatan ini merupakan salah satu program pemerintah dalam meningkatkan pendapatan dan kesejahteraan masyarakat.",,2019-10-24 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/18390,"[{'type': 'pub', 'url': 'http://feb.unila.ac.id/id/semnasfeb/cover-pengabdian/'}]",FEB Universitas Lampung,disk0/00/01/83/90,,['FEB5'],none,,2020-05-26 08:59:55,6,pub,2020-05-26 08:59:55,18390,archive,show,,,38,,http://feb.unila.ac.id/wp-content/uploads/2019/11/16.-Irma-Febriana-Peningkatan-Pendapatan-Perempuan-Perkumpulan-Pemilik-Ternak-Sapi-Potong-Dusun-Sumber-Sari-Desa-Hajimena-Lampung-Selatan-Melalui-Kerajinan-Sulam-Usus.pdf,2020-05-26 08:59:55,,book_section,"[{'name': {'given': 'Irma', 'honourific': None, 'family': 'Febriana', 'lineage': None}, 'id': 'irmaf_mk@yahoo.co.id'}, {'id': 'nurbetty.herlina@yahoo.co.id', 'name': {'family': 'Sitorus', 'lineage': None, 'honourific': None, 'given': 'Nurbetty Herlina'}}, {'id': 'emi_syam@yahoo.com', 'name': {'lineage': None, 'family': 'Maimunah', 'honourific': None, 'given': 'Emi'}}, {'name': {'family': 'hamzah', 'lineage': None, 'honourific': None, 'given': 'lies maria'}, 'id': 'liesmh55@gmail.com'}]",Peningkatan Pendapatan Perempuan Perkumpulan Pemilik Ternak Sapi Potong Dusun Sumber Sari Desa Hajimena Lampung Selatan Melalui Kerajinan Sulam Usus,TRUE,,,,,,,,,Bandar Lampung,Prosiding Pengabdian Kepada Masyarakat,,
8,published,['HB'],"Apresiasi nilai tukar akan berdampak pada harga ekspor yang lebih tinggi, dan kemudian jika nilai tukar terdepresiasi, harga ekspor akan lebih rendah. Selanjutnya, itu akan berpengaruh terhadap saldo akun saat ini. Dengan mekanisme ini, suku bunga, arus masuk modal dan current account memiliki pengaruh pada nilai tukar. Penelitian ini bertujuan untuk mengetahui pengaruh transaksi jangka panjang dan jangka pendek, aliran modal masuk dan perbedaan suku bunga terhadap nilai tukar riil di Indonesia periode 2005: 1 - 2017: 4. Penelitian ini menggunakan ECM (Error Correction Model) yang diperkirakan dengan menggunakan E-views 9. Berdasarkan hasil analisis, akun berjalan memiliki efek positif yang signifikan terhadap nilai tukar riil dan diferensial suku bunga memiliki efek negatif yang signifikan terhadap nilai tukar riil, sementara capital inflow memiliki efek negatif dan tidak signifikan terhadap nilai tukar riil.",1,2019-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/26461,[{'url': 'http://ejournal.upbatam.ac.id/index.php/prosiding/article/view/1503'}],LPPM Universitas Putra Batam,disk0/00/02/64/61,Prosiding Seminar Nasional Ilmu Sosial dan Teknologi (SNISTEK) 2,['FEB5'],none,978-602-52829-1-1,2020-11-20 06:21:58,5,pub,2020-11-20 06:21:58,26461,archive,show,43-48,,57,1.0,http://ejournal.upbatam.ac.id/index.php/prosiding/index,2020-11-20 06:21:58,,article,"[{'name': {'given': 'Aulia', 'honourific': None, 'family': 'Frisca', 'lineage': None}, 'id': None}, {'name': {'given': 'Nurbetty Herlina', 'family': 'Sitorus', 'lineage': None, 'honourific': None}, 'id': 'nurbetty.herlina@yahoo.co.id'}]",Pengaruh Current Account dan Capital Inflow Terhadap Real Exchange Rate di Indonesia,TRUE,,"['UNILA', 'UNILA']",,,,,,,,,,
9,published,['HQ'],"Pengabdian ini  bertujuan meningkatkan dan  mengembangkan pendapatan perempuan perkumpulan pemilik ternak sapi  potong melalui kerajinan  sulam usus yang  dilakukan saat luang  di  sela-sela kegiatan memelihara ternak.  Demikian  juga,   kegiatan  ini  akan   berefek langsung terhadap usaha sanggar kerajinan sulam usus karena akan  mendapatkan mitra baru dalam berproduksi.  Metode  yang   dilakukan dalam pengabdian  ini  meliputi  sosialisasi dan pelatihan pembuatan kerajinan tangan sulam usus. Dalam  sosialisasi akan  dijelaskan secara singkat tentang  cara  dan   tahapan  pembuatan  berbagai kerajinan  sulam  usus.  Pelatihan diberikan  kepada  para    perempuan  perkumpulan  pemilik ternak  sapi   potong  khususnya pembuatan tas dan  dompet sulam usus. Kegiatan akan  dilakukan di Dusun Sumber Sari  Desa Hajimena Lampung Selatan,  dengan  sasaran  khususnya  adalah  perempuan  perkumpulan pemilik ternak  sapi  potong dan  masyarakat umumnya. Hasil  akhir yang  diharapkan adalah melalui kerajinan sulam usus tersebut  dapat menjadi salah satu pendapatan tambahan atau bahkan menjadi pendapatan utama bagi  perempuan khususnya di  desa tersebut. Tentu saja kegiatan ini merupakan salah satu program pemerintah dalam meningkatkan pendapatan dan kesejahteraan masyarakat.",,2019-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/20376,,,disk0/00/02/03/76,,['FEB5'],public,,2020-05-24 08:11:05,9,pub,2020-05-24 08:11:05,20376,archive,show,97-101,,178,,http://feb.unila.ac.id/id/semnasfeb/,2020-05-24 08:11:05,"[{'placement': 1, 'eprintid': 20376, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33717', 'pos': 1, 'security': 'public', 'docid': 33717, 'main': '16.-Irma-Febriana-Peningkatan-Pendapatan-Perempuan-Perkumpulan-Pemilik-Ternak-Sapi-Potong-Dusun-Sumber-Sari-Desa-Hajimena-Lampung-Selatan-Melalui-Kerajinan-Sulam-Usus.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-05-22 13:12:59', 'filesize': 472046, 'objectid': 33717, 'filename': '16.-Irma-Febriana-Peningkatan-Pendapatan-Perempuan-Perkumpulan-Pemilik-Ternak-Sapi-Potong-Dusun-Sumber-Sari-Desa-Hajimena-Lampung-Selatan-Melalui-Kerajinan-Sulam-Usus.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/191719', 'datasetid': 'document', 'fileid': 191719, 'hash': '1506f33a533405addeff1f162a7f7805', 'mime_type': 'application/pdf'}], 'format': 'text', 'rev_number': 3, 'language': 'id', 'mime_type': 'application/pdf', 'content': 'published'}]",conference_item,"[{'name': {'honourific': None, 'family': 'Irma', 'lineage': None, 'given': 'Febriana'}, 'id': 'irmaf_mk@yahoo.co.id'}, {'id': 'nurbetty.herlina@yahoo.co.id', 'name': {'given': 'Herlina Sitorus', 'family': 'Nurbetty', 'lineage': None, 'honourific': None}}, {'id': 'emi_syam@yahoo.com', 'name': {'lineage': None, 'family': 'Emi', 'honourific': None, 'given': 'Maimunah'}}, {'name': {'honourific': None, 'family': 'Lies Maria Hamzah', 'lineage': None, 'given': 'Hamzah LM'}, 'id': 'liesmh55@gmail.com'}]","Peningkatan Pendapatan Perempuan Perkumpulan Pemilik
Ternak  Sapi Potong Dusun Sumber Sari Desa
Hajimena Lampung  Selatan Melalui Kerajinan  Sulam  Usus",TRUE,,"['UNILA', 'UNILA', 'UNILA', 'UNILA']",conference,Seminar Nasional FEB Unila 2019,Indonesia,24 Oktober 2019,paper,,,,,
