,metadata_visibility,eprint_status,eprintid,datestamp,documents,lastmod,userid,refereed,title,creators,type,subjects,uri,divisions,publication,dir,rev_number,ispublished,status_changed,full_text_status,date_type,abstract,publisher,corp_creators,note,referencetext,contact_email,number,official_url,id_number,pagerange,volume,issn,isbn,place_of_pub,editors,pages,related_url,contributors,event_location,pres_type,event_dates,event_title,event_type,book_title
0,show,archive,26929,2020-12-01 04:27:56,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'UNICEES_2018_126 SCITEPRESS.pdf', 'files': [{'hash': 'fac067cf7c0e11ad5ca2ad537e30d6e8', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 241660, 'uri': 'http://repository.lppm.unila.ac.id/id/file/241660', 'filename': 'UNICEES_2018_126 SCITEPRESS.pdf', 'filesize': 377167, 'objectid': 40947, 'mtime': '2020-12-01 04:14:31', 'hash_type': 'MD5'}], 'docid': 40947, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40947', 'eprintid': 26929, 'placement': 1}]",2020-12-01 04:27:56,515,TRUE,IMPLICATION OF COMMUNITY BASED TOURISM (CBT) TOWARDS COMMUNITY WELFARE AT AROUND TELUK KILUAN BEACH TANGGAMUS REGENCY LAMPUNG,"[{'name': {'given': 'NELI', 'honourific': None, 'lineage': None, 'family': 'AIDA'}, 'id': 'neli.aida@feb.unila.ac.id'}]",article,['H1'],http://repository.lppm.unila.ac.id/id/eprint/26929,['FEB5'],SCITEPRESS-SCIENCE AND TEKNOLOGY PUBLICATIONS,disk0/00/02/69/29,6,pub,2020-12-01 04:27:56,public,,,,,,,,,,,,,,,,,,,,,,,,,
1,show,archive,34557,2021-10-20 01:40:57,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'LAPORAN AKHIR.pdf', 'docid': 155096, 'files': [{'hash_type': 'MD5', 'mtime': '2021-10-19 02:38:32', 'objectid': 155096, 'filesize': 605955, 'filename': 'LAPORAN AKHIR.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/406288', 'fileid': 406288, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '84c4de38b3fde219b09b810a0aadaa42'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/155096', 'pos': 1, 'eprintid': 34557, 'placement': 1}]",2021-10-20 01:40:57,515,TRUE,REVORMULASI PENGETAHUAN MASYARAKAT DESA KILUAN NEGERI KABUPATEN TANGGAMUS AKIBAT CORONAVIRUS DISEASE (COVID 19),"[{'id': 'neli.aida@feb.unila.ac.id', 'name': {'given': 'NELI', 'honourific': None, 'family': 'AIDA', 'lineage': None}}]",article,['H1'],http://repository.lppm.unila.ac.id/id/eprint/34557,['FEB5'],SENAPATI,disk0/00/03/45/57,6,pub,2021-10-20 01:40:57,public,submitted,"ABSTRAK

Desa Kiluan Negeri dalam beradaptasi dengan kebiasaan baru (New Normal) dan dalam mempertahankan kelangsungan hidup mereka. Terus berkembangnya situasi dan kondisi terkait Coronavirus Disease 2019 (COVID-19) memaksa Pemerintah Daerah untuk mengeluarkan kebijakan yang mengharuskan masyarakat berada dan bekerja dirumah (Work from Home / WFH). Hal ini tentunya jelas mengaharuskan masyarakat untuk beradaptasi serta mencari alternatif atau Mereformulasi penghasilan dalam berjalannya cash flow perekonomian dalam pemenuhan kebutuhan masyarakat desa Kiluan Nageri Kabupaten Tanggamus.

Tujuan pengabdian ini adalah terwujudnya Value Added produk olahan hasil tangakapan nelayan menjadi olahan ikan asap yang tahan lama dan bernilai jual yang tinggi untuk pemenuhan kehidupan masyarakat, serta terbukanya pengetahuan masyarakat dalam menghadapi permasalahan kepasrahan dan kebimbangan berusaha pariwisata dan nelayan melalui peningkatan kemampuan masyarakat dalam memanfaatkan inovasi. Hal ini ditunjukkan dengan meningkatnya fasilitas wisata yang mengikuti protokol kesehatan serta pengolahan hasil tangkapan ikan yang tahan lama dan memiliki nilai tambah.Karenanya, metode yang digunakan dalam menjawab masalah tersebut adalah metode Two in One, terutama tentang penguatan kemampuan masyarakat dan sinergitas.Integrasi penanganan Penyediaan Protokol Kesehatan dan Pengasapan ikandalam iringan pendampingan dari UNILA diharapkan bisa memberi nuansa baru yang menyenangkan dalam kegiatan pemberdayaan masyarakat, khususnya di desa Kiluan Negeri Kabupaten Tanggamus.

Kata Kunci:Pariwisata, Desa Kiluan Negeri, Covid – 19, Metode Two in One, Ikan Asap",FT UNILA,,,,,,,,,,,,,,,,,,,,,,
2,show,archive,36316,2021-11-12 00:56:57,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/157248', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 36316, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'filename': 'Lap.PenelitianFEB21.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/419729', 'filesize': 1078691, 'objectid': 157248, 'mtime': '2021-11-12 00:27:05', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '0b0e42bed7aa3775c7a9b8f5864ae521', 'fileid': 419729, 'datasetid': 'document'}], 'main': 'Lap.PenelitianFEB21.pdf', 'docid': 157248, 'format': 'text'}]",2021-11-12 00:56:57,62,,FENOMENA KETIMPANGAN EKONOMI GEOGRAFI SUMATERA 2010-2020,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Arivina', 'given': 'Ratih'}, 'id': 'arivina.ratih@feb.unila.ac.id'}, {'id': 'wayansuparta61@gmail.com', 'name': {'given': 'i wayan', 'honourific': None, 'family': 'suparta', 'lineage': None}}, {'name': {'family': 'Murwiati', 'lineage': None, 'honourific': None, 'given': 'asih'}, 'id': None}]",other,['H1'],http://repository.lppm.unila.ac.id/id/eprint/36316,['FEB5'],,disk0/00/03/63/16,7,unpub,2021-11-12 00:56:57,public,,"Ketimpangan ekonomi adalah fenomena yang selalu ada dalam proses pembangunan suatu wilayah, dan fenomena ini selalu menjadi pekerjaan rumah untuk diatasi. Pandemi Covid-19 memunculkan beragam bentuk adaptasi yang beberapa di antaranya mengandalkan internet sebagai fasilitator utama. Penelitian ini bertujuan untuk memotret fenomena ketimpangan dan kondisi teknologi informasi dan komunikasi (ICT) yang terjadi di Sumatera tahun 2010-2020. Penelitian secara komprehensif menggunakan Sistem Informasi Geografis, scatter plot diagram, Indeks Williamson, dan regresi panel untuk mengolah data dan informasi sehingga bisa menjawab pertanyaan penelitian dengan lebih mendalam. Hasil yang ditemukan adalah wilayah dengan pendapatan per kapita tinggi ternyata memiliki nilai indeks pembangunan ICT yang juga tinggi. Selain itu, variabel ICT berpengaruh positif terhadap pendapatan per kapita sehingga diperlukan perhatian lebih karena ketimpangan kondisi ekonomi dan capaian ICT di sepuluh provinsi pengamatan masih ada, meskipun menunjukkan penurunan. berlangsung.",Unpublished,"['FEB Unila', 'FEB Unila', 'FEB Unila']",,,,,,,,,,,,,,,,,,,,,
3,show,archive,26484,2020-11-20 07:46:30,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40369', 'pos': 1, 'eprintid': 26484, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'format': 'text', 'docid': 40369, 'main': 'Paper 50_Ukhti Ciptawaty_EAI-Template.docx', 'files': [{'fileid': 238278, 'datasetid': 'document', 'hash': '09d05ac207309d7f5738ddcee344816d', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash_type': 'MD5', 'mtime': '2020-11-20 07:16:47', 'objectid': 40369, 'filesize': 254290, 'uri': 'http://repository.lppm.unila.ac.id/id/file/238278', 'filename': 'Paper 50_Ukhti Ciptawaty_EAI-Template.docx'}]}]",2020-11-20 07:46:30,2787,FALSE,"The Economics And Spatial Analysis On
How The Cash Transfer Ease The Poverty Condition","[{'name': {'given': 'Ukhti', 'honourific': None, 'lineage': None, 'family': 'Ciptawaty'}, 'id': 'ukhti.ciptawaty@feb.unila.ac.id'}, {'id': 'firman.ghazali@eng.unila.ac.id', 'name': {'given': 'Mochamad Firman', 'lineage': None, 'family': 'Ghazali', 'honourific': None}}, {'id': None, 'name': {'given': 'Resha Moniyana', 'lineage': None, 'family': 'putri', 'honourific': None}}, {'id': None, 'name': {'family': 'Murwiati', 'lineage': None, 'honourific': None, 'given': 'asih'}}]",article,['HB'],http://repository.lppm.unila.ac.id/id/eprint/26484,['FEB5'],prosiding icebe,disk0/00/02/64/84,6,submitted,2020-11-20 07:46:30,public,,"This research investigates the community's poverty conditions before and after Cash Transfer Program (CTP) at the socioeconomic level of the people, located in Bandar Lampung City. The socio-economic level describes the total household expenditure in the area of cash transfer implementation. The data was obtained from the primary research and then processed statistically and analyzed by a ""Kmeans clustered"" is used to know the location of the recipient of cash transfer as the people below the poverty line. These methods are offering integration between the economics analysis with the spatial analysis. As statistically, it can be stated that the purpose of the cash transfer in improving the standard of living of beneficiary families through access to services education, health, and social welfare is achieved. Besides that, the ""KMeans clustered"" show several groups divided along with the study areas, which described the variation of living in an urban area.",,,,,,,,,,,,,,,,,,,,,,,
4,show,archive,36443,2021-11-12 07:42:34,"[{'format': 'text', 'docid': 157372, 'main': 'Ukhti Ciptawaty_FEB_PDP_Prop.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-11-12 04:47:20', 'objectid': 157372, 'filesize': 682740, 'filename': 'Ukhti Ciptawaty_FEB_PDP_Prop.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/420719', 'datasetid': 'document', 'fileid': 420719, 'hash': 'af3315eee5f9c8377abbf9ddaf5020ce', 'mime_type': 'application/pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 36443, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157372'}]",2021-11-12 07:42:34,2787,,"proposal HIBAH DIPA UNILA 2021
ukhti ciptawaty. ANALISIS SPASIAL PADA MODEL PEREKONOMIAN SUMATERA BAGIAN SELATAN
DENGAN METODE SISTEM INFORMASI GEOGRAFIS (SIG) DAN EXPLATORY SPATIAL","[{'id': 'ukhti.ciptawaty@feb.unila.ac.id', 'name': {'family': 'Ciptawaty', 'lineage': None, 'honourific': None, 'given': 'Ukhti'}}, {'id': 'reshaatina@gmail.com', 'name': {'family': 'Resha', 'lineage': None, 'honourific': None, 'given': 'Moniyana'}}, {'name': {'given': 'Mochamad Firman', 'lineage': None, 'family': 'Ghazali', 'honourific': None}, 'id': 'firman.ghazali@eng.unila.ac.id'}]",other,['AC'],http://repository.lppm.unila.ac.id/id/eprint/36443,['FEB5'],,disk0/00/03/64/43,7,unpub,2021-11-12 07:42:34,public,completed,"Penelitian ini mencoba menggunakan konsep Spasial dengan menganalisis pola spasial dan 
autokorelasi spasial yang diamati, serta evaluasi pemodelan spasial setiap wilayah di 60 
kabupaten/kota di lima Provinsi Sumatera bagian Selatan. Penelitian ini menggunakan Sistem 
Informasi Geografis (SIG) dan Explatory Spatial Data Analysis yang terangkum dalam
Geoda. Geoda selanjutnya akan memberikan gambaran spasial mengenai kondisi persentase 
PDRB yang disajikan dalam statistik Moran I, LISA dan LISA Clusterd Map pada tahun 
2015-2019. 
Hasil penelitian ini diharapkan akan menunjukan keterkaitan spasial PDRB antar 60 
Kabupaten/kota di lima Provinsi di Sumbagsel serta mampu mengindikasikan bagaimana
keterkaitan spasial pada pola pengelompokkan (clustered) wilayah dengan karakteristik yang 
sama. Selanjutnya, LISA Cluster map diharapkan akan mengggambarkan pengelompokan 
PDRB di 11 wilayah. Model SAR dipilih untuk menganalisis kasus keterkaitan spasial.
Penelitian ini lebih lanjut akan memberikan analisis ekonomi bagaimana pengaruh persentase 
penduduk dan PDRB, Selain itu, penelitian ini akan menelaah bagaimana pengaruh Indeks 
Pembangunan dan kemiskinan terhadap PDRB. Oleh karena itu, penelitian ini akan menjadi 
salah satu penelitian yang memilki pembaharuan terkini karena menggunakan dua 
pendekatan; pendekatan spasial dan pendekatan ekonomi yang disampaikan pada hasil diskusi 
dan pembahasannya.",LPPM Universitas Lampung,,"proposal HIBAH DIPA UNILA 2021
ukhti ciptawaty","Anselin, L. (1995). Local indicators of spatial organization -LISA. Geographical Analysis, 
27(2), 93–115.
Anselin, L. (1998). SPATIAL ECONOMETRICS: METHODS AND MODELS by L. 
Anselin. Journal Spatial Econometric, 7(2), 1–16.
Anselin, L. (2010). Thirty years of spatial econometrics. Papers in Regional Science, 89(1), 
3–25. https://doi.org/10.1111/j.1435-5957.2010.00279.x
Anselin, L., Syabri, I., & Kho, Y. (2006). GeoDa: An introduction to spatial data analysis. 
Geographical Analysis, 38(1), 5–22. https://doi.org/10.1111/j.0016-
7363.2005.00671.x
Badan Pusat statistik. Statistik Sumatera Selatan. Sumatera Selatan. Indonesia. 
https://sumsel.bps.go.id/
Badan Pusat statistik. Statistik Provinsi Lampung. Lampung. Indonesia. 
https://lampung.bps.go.id/
Badan Pusat statistik. Statistik Provinsi Riau. Riau. Indonesia. https://riau.bps.go.id/
Badan Pusat statistik. Statistik Provinsi Bengkulu. Bengkulu. Indonesia. 
https://bengkulu.bps.go.id/
Badan Pusat statistik. Statistik Provinsi Jambi. Jambi. Indonesia. https://jambi.bps.go.id/
Barro R, Sala-I-Martin X (2003) Economic growth, 2nd edn. MIT, Cambridge.
Behrens K, Thisse JF (2007) Regional economics: a new economic geography perspective. 
Reg Sci Urban Econ 37:457–465
Capello, R. (2009)., 'Regional Economics in Its Fifties: Recent Theoretical Directions and 
Future Challenges', Annals of Regional Science, 42 (4), 747–67
Elhorst JP (2010) Spatial panel data models. In: Fischer M, Getis A (eds) Handbook of 
applied spatial analysis. Springer, Berlin, Heidelberg and New York, pp 377–407.
Glaeser EL, Sacerdote BI, Scheinkman JA (2003) The social multiplier. J Eur Econ Assoc 
1(2–3):345–353.
Jay, L., Wiley, Jossey-Bass, Pfeiffer, Lasser, & Capstone. (2001). Statiscal Analysis with 
ArcView Gis.
Krugman P (1999) The role of geography in development. Int Reg Sci Rev 22:142–161
López-Bazo E, Artís M, Vayá E (2004) Regional externalities and growth: evidence from 
European regions. J Reg Sci 44:43–73
Mankiw NG, Romer D, Weil DN (1992) A contribution to the empirics of economic growth. 
Q J Econ 107:407–437
Perroux, Francois. (1950). ‘Economic Space: Theory and Applications’. Quarterly Journal of 
Economics, Vol.64(1): 89-104.
Resende GM (2011) Multiple dimensions of regional economic growth: the Brazilian case, 
1991–2000. Pap Reg Sci 90(3):629–662 
Resende GM (2013) Spatial dimensions of economic growth in Brazil. ISRN Econ. 
doi:10.1155/2013/ 398021
Tarigan, Robinson. 2005. Ekonomi Regional. Teori dan Aplikasi. Bumi Aksara. Jakarta
Zhukov, Y. (2010). Spatial Autocorrelation, IQQS, Harvard University, Amerika",ukhti.ciptawaty@feb.unila.ac.id,,,,,,,,,,,,,,,,,,
5,show,archive,47235,2022-12-15 08:01:03,"[{'placement': 1, 'eprintid': 47235, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186208', 'pos': 1, 'security': 'public', 'main': '6344-File Utama Naskah-14657-1-10-20221206.pdf', 'docid': 186208, 'files': [{'datasetid': 'document', 'fileid': 518542, 'hash': 'dfa768cff49271fe8d0a7c3c37317610', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-12-15 02:39:04', 'objectid': 186208, 'filesize': 222865, 'filename': '6344-File Utama Naskah-14657-1-10-20221206.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/518542'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2022-12-15 08:01:03,2788,TRUE,PENDAMPINGAN MASYARAKAT PUTUS SEKOLAH DAN TIDAK MAMPU GUNA MENINGKATKAN TARAF EKONOMI KELUARGA MELALUI PROGRAM PENUNTASAN WAJIB BELAJAR 12 TAHUN DI PKBM JAYA KESUMA,"[{'name': {'given': 'Arif', 'honourific': None, 'lineage': None, 'family': 'Darmawan'}, 'id': 'arif.darmawan@feb.unila.ac.id'}, {'id': 'nairobi@feb.unila.ac.id', 'name': {'given': 'Nairobi', 'lineage': None, 'family': 'Nairobi', 'honourific': None}}, {'id': 'tedi.rusman@fkip.unila.ac.id', 'name': {'family': 'Rusman', 'lineage': None, 'honourific': None, 'given': 'Tedi'}}, {'id': 'novriyanti.nov@fp.unila.ac.id', 'name': {'given': 'Novriyanti', 'lineage': None, 'family': 'Novriyanti', 'honourific': None}}]",article,"['HB', 'HJ']",http://repository.lppm.unila.ac.id/id/eprint/47235,['FEB5'],APTEKMAS: Jurnal Pengabdian kepada Masyarakat,disk0/00/04/72/35,7,pub,2022-12-15 08:01:03,public,,"Dalam rangka membantu pemerintah guna menyukseskan program wajib belajar 12 tahun, tim kegiatan pengabdian masyarakat Universitas Lampung berinisiatif melakukan pendampingan penyampaian edukasi kepada masyarakat yang putus sekolah dan kesulitan ekonomi dengan menggandeng mitra berupa sebuah institusi pendidikan non formal lokal bernama PKBM Jaya Kusuma yang berdomisili di Kelurahan Langkapura, Kota Bandar Lampung. Kegiatan yang akan dilakukan ini bersifat transfer pengetahuan dan life skills mengenai teknik mengajar yang baik dan benar, penyampaian pendidikan dasar sesuai jenjang pendidikan dengan metode partisipatif, dimulai dari perumusan masalah bersama mitra, survei potensi wilayah, dan praktik pelaksanaan pendampingan, serta mencoba untuk membantu memasarkan institusi ini. Untuk mengontrol keberhasilan dan kemajuan kegiatan, dilakukan monitoring dan evaluasi. Kegiatan ini diharapkan menghasilkan beberapa luaran, yaitu (1) masyarakat yang dididik oleh PKBM Jaya Kusuma dapat memenuhi pikirannya dengan ilmu-ilmu yang berguna dan bermanfaat; (2) masyarakat mampu melakukan menjadi agen perubahan pendidikan dengan menyebarkan hasil didikan PKBM tersebut kepada masyarakat di sekitar rumahnya yang memiliki kondisi yang sama dengannya sehingga dapat meningkatkan kualitas manusia disana; dan (3) PKBM Jaya Kusuma semakin dikenal dan maju sebagai institusi pendidikan non formal yang mampu mencetak sumber daya manusia yang berkualitas dan mampu berguna bagi lingkungan sekitar dan negara serta dapat memperbaiki kondisi ekonomi keluarga mereka.",,,,,,,,,,,,,,,,,,,,,,,
6,show,archive,36309,2021-11-12 00:56:35,"[{'format': 'text', 'files': [{'fileid': 419688, 'datasetid': 'document', 'hash': '95114275a946a78601a4526ac03bce57', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-11-12 00:14:40', 'filesize': 1778218, 'objectid': 157243, 'uri': 'http://repository.lppm.unila.ac.id/id/file/419688', 'filename': 'Laporan Akhir Pertanian Organik2021Terapan.pdf'}], 'main': 'Laporan Akhir Pertanian Organik2021Terapan.pdf', 'docid': 157243, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 36309, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157243'}]",2021-11-12 00:56:35,62,,PENERAPAN PERTANIAN ORGANIK MENUJU PEMBANGUNAN BERKELANJUTAN DI PROVINSI LAMPUNG,"[{'id': None, 'name': {'given': 'Yuliawan', 'family': 'Dedy', 'lineage': None, 'honourific': None}}, {'id': 'emi_syam@yahoo.com', 'name': {'given': 'Maimunah', 'honourific': None, 'family': 'Emi', 'lineage': None}}, {'name': {'given': 'Herlina Sitorus', 'lineage': None, 'family': 'Nurbetty', 'honourific': None}, 'id': 'nurbetty.herlina@yahoo.co.id'}, {'id': 'arivina.ratih@feb.unila.ac.id', 'name': {'given': 'Ratih', 'honourific': None, 'lineage': None, 'family': 'Arivina'}}]",other,['H1'],http://repository.lppm.unila.ac.id/id/eprint/36309,['FEB5'],,disk0/00/03/63/09,9,unpub,2021-11-12 00:56:35,public,completed,"Tujuan Pembangunan Berkelanjutan di Indonesia dikenal dengan singkatan
TPB. Mendukung tercapanya kebijakan ini penerapan pertanian organik menjadi
bagian penting. Sistem pertanian organik ditekankan pada standar produksi yang
spesifik dan teliti dengan tujuan untuk menciptakan agroekosistem yang optimal
dan lestari berkelanjutan baik secara sosial, ekologi maupun ekonomi, dan etika.
Penelitian ini memiliki tujuan yaitu mengetahui faktor-faktor penting penerapan
pertanian organik di Provinsi Lampung. Analisis penelitian ini menggunakan
pendekatan analisis prospektif (prospective analysis) yang berbasis pada integrated
analytical participatory scenario planning approach yaitu MIMAC. Hasil temuan
penelitian ini menunjukkan bahwa lahan pertanian organik menjadi faktor yang
mempengaruhi pengambagan pertanian organic di Provinsi Lampung. Hasil dari
faktor yang mempengaruhi pertanian organik menghasilkan kesimpulan bahwa
lahan pertanain anorganik menjadi faktor yang mempengaruhi penggunaan lahan
organic.",Unpublished,"['FEB Unila', 'FEB Unila', 'FEB Unila', 'FEB Unila']",,,,,,,,,,,,,,,,,,,,,
7,show,archive,5079,2017-11-16 03:41:42,"[{'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 48615, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash': '6b2500b9cde9fab6b726b609665a08ba', 'hash_type': 'MD5', 'mtime': '2017-11-10 05:52:59', 'filesize': 79129, 'objectid': 18007, 'uri': 'http://repository.lppm.unila.ac.id/id/file/48615', 'filename': 'Jurnal ICABE.docx'}], 'main': 'Jurnal ICABE.docx', 'docid': 18007, 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'rev_number': 1, 'eprintid': 5079, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18007'}]",2017-11-16 03:41:42,178,TRUE,DETERMINANTS OF BANKING EFFICIENCY IN ASEAN 5 COUNTRIES TO FACE ASEAN BANKING INTEGRATION FRAMEWORK,"[{'id': 'emi_syam@yahoo.com', 'name': {'lineage': None, 'family': 'Emi', 'honourific': None, 'given': 'Maimunah'}}, {'name': {'lineage': None, 'family': 'Nurbetty', 'honourific': None, 'given': 'Herlina Sitorus'}, 'id': 'nurbetty_herlina@yahoo.co.id'}, {'id': 'dianfajarini25@gmail.com', 'name': {'given': 'Fajarini', 'honourific': None, 'family': 'Dian', 'lineage': None}}]",article,['HB'],http://repository.lppm.unila.ac.id/id/eprint/5079,['FEB5'],Economic Journal of Emerging Markets,disk0/00/00/50/79,7,submitted,2017-11-16 03:41:42,public,,"The aim of this research was to analyze the determinants of banking efficiency to face ASEAN Banking Integration Framework (ABIF) by employing 15 banks in ASEAN 5 such as Singapore, Malaysia, Thailand, Indonesia, Philippine for 2011-2015 period. The determinants of banking efficiency such as CAR, BOPO/CIR, LDR, NPL, NIM employed as the independent variables and the banking efficiency score from DEA as the dependent variable. 
The results from From Ordinal Logit Regression could be concluded that internal factor which affect and significant to banking efficiency were BOPO/CIR and LDR. Based on analysis in this research, it could be concluded that banking in ASEAN 5 ready to face ABIF due to the strong capital and good management of risk

Keyword: ABIF; Banking Efficiency; Financial Ratios.",,['Universitas Lampung'],,,,,,,,,,,,,,,,,,,,,
8,show,archive,24722,2020-11-09 09:07:43,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/38472', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 24722, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'mtime': '2020-11-09 03:12:39', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/224249', 'filename': 'IJEBE-71-Article Text-285-1-10-20200814.pdf', 'filesize': 628160, 'objectid': 38472, 'mime_type': 'application/pdf', 'hash': '065afbadc5eb7c16c8d3bf284fa24618', 'fileid': 224249, 'datasetid': 'document'}], 'main': 'IJEBE-71-Article Text-285-1-10-20200814.pdf', 'docid': 38472, 'format': 'text'}]",2020-11-09 09:07:43,2788,TRUE,FINDING THE STRATEGY AFTER CORONA CRISIS: THE NEW NORMAL AND RESILIENT ECONOMY GROWTH IN INDONESIA,"[{'id': 'Ramadhandicky6@gmail.com', 'name': {'honourific': None, 'family': 'Hidayatullah', 'lineage': None, 'given': 'Dicky Ramadhan'}}, {'name': {'family': 'Darmawan', 'lineage': None, 'honourific': None, 'given': 'Arif'}, 'id': 'arif.darmawan@feb.unila.ac.id'}, {'id': None, 'name': {'honourific': None, 'family': 'Kallidumban', 'lineage': None, 'given': 'Shamsad'}}]",article,"['H1', 'HA']",http://repository.lppm.unila.ac.id/id/eprint/24722,['FEB5'],"International Journal of Economics, Business and Entrepreneurship",disk0/00/02/47/22,7,pub,2020-11-09 09:07:43,public,,"The research method used to analyze the situation and conditions in making this paper is a qualitative method. As an analysis procedure, qualitative methods can produce descriptive data in the form of written or spoken words from people or observable behaviour. This pandemic comes with all its negative effects. Inequality, poverty, and education are the most affected lines in this pandemic because they reduce the income of vulnerable and poor groups. Many parties assess the world economy is far worse than before the corona. Weakening global economic growth caused many impacts on the pace of economy in Indonesia, both in terms of trade, investment and tourism. Thus, changing the projected economic growth becomes even slower due to the spread of Covid-19 throughout the country. Although we know that the Indonesian government has issued a policy of hundreds of trillions of rupiah to save our economy, social impact, poverty, and Equality. The Indonesian government has currently budgeted funds of Rp405.1 Trillion for handling Covid-19. The budget allocation will be divided for several sectors, such as the health sector in the amount of Rp75 Trillion, Social Safety Net of Rp110 trillion, tax incentives and stimulus for People's Business Credit (KUR) of Rp70.1 trillion, and funding for the national economic recovery program of Rp150 Trillion, including credit restructuring and guarantees as well as MSME and business financing to maintain economic resilience and recovery.",Faculty of Economics and Business The University of Lampung,,,,,1.0,http://ijebe.com/journal/index.php/ijebe/article/view/71,https://doi.org/10.23960/ijebe.v3i1.71,64-79,3,2615-6873,,,,,,,,,,,,
9,show,archive,12530,2019-05-10 07:46:46,"[{'language': 'en', 'mime_type': 'image/jpeg', 'rev_number': 1, 'format': 'image', 'main': 'lembar pengesahan buku.jpeg', 'files': [{'datasetid': 'document', 'fileid': 111234, 'hash': '8770391fb10b9e8b56cf8375c77324ae', 'mime_type': 'image/jpeg', 'objectid': 25508, 'filesize': 529404, 'filename': 'lembar pengesahan buku.jpeg', 'uri': 'http://repository.lppm.unila.ac.id/id/file/111234', 'hash_type': 'MD5', 'mtime': '2019-05-10 05:47:21'}], 'docid': 25508, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25508', 'eprintid': 12530, 'placement': 1}]",2019-05-10 07:46:46,803,TRUE,EKONOMI MAKRO TEORI DAN KEBIJAKAN,"[{'name': {'given': 'Suparta', 'honourific': None, 'lineage': None, 'family': 'I Wayan'}}]",book,['HB'],http://repository.lppm.unila.ac.id/id/eprint/12530,['FEB5'],,disk0/00/01/25/30,8,pub,2019-05-10 07:46:46,public,,"Buku Teori Makro Ekonomi merupakan buku ajar yang disajikan dalam bentuk uraian, grafik dan persamaan matematika sederhana dalam upaya mempermudah mahasiswa mempelajari konsep-konsep makro ekonomi dan juga sebagai pedoman untuk melakukan interaksi dengan dosen di dalam kelas. Buku ini ditulis dalam konteks yang memungkinkan mahasiswa dapat memahami secara lebih baik peristiwa makroekonomi yang terjadi saat ini. Penggunaan buku ini akan dapat mempelajari bagaimana hubungan pasar barang dan uang menderivasi kurva permintaan agregat serta hubungan antara fungsi produksi dan pasar tenaga kerja untuk menderivasi kurva penawaran agregat.",CV. PUSTAKA AT-TIRMIDZI,['Universitas Lampung'],,,,1.0,,,,1,,978-602-5777-25-7,Bandar Lampung,"[{'name': {'lineage': None, 'family': 'Handy', 'honourific': None, 'given': 'Hermawan'}}]",381.0,,,,,,,,
