,abstract,date,uri,date_type,subjects,book_title,full_text_status,status_changed,rev_number,ispublished,divisions,publisher,dir,userid,lastmod,documents,pages,datestamp,eprintid,eprint_status,metadata_visibility,pagerange,type,creators,title,refereed,publication,issn,corp_creators,volume,number,related_url,contributors,official_url,id_number,place_of_pub,event_location,pres_type,event_title,event_type,contact_email,isbn
0,"Buku ini ditulis berdasarkan hasil penelitian penulis serta pengalaman praktis ketika mengajar
mahasiswa, sebagai pemateri seminar, pelatihan dan workshop. 

Guna memenuhi kebutuhan dan
keinginan berbagai pihak maka sistematika penyusunan revisi buku ini disusun sedemikian rupa
dengan dilengkapi kasus manajemen usaha kecil sehingga mudah dimengerti oleh para pembaca.

Dalam tulisan ini, penulis mencoba berbagi pengetahuan dan pengalaman dalam penelitian
dan pengajaran. Tulisan ini disajikan terutama untuk menjadi referensi bagi peneliti, mahasiswa
dan praktisi bisnis usaha kecil yang ingin mengetahui lebih jauh tentang Manajemen Pemasaran
Usaha Kecil.

Keterbatasan pengetahuan dan pengalaman penulis mungkin menjadikan tulisan ini memiliki
kelemahan. Penulis tidak menutup pintu masukan dan saran yang bersifat membangun. Harapan
penulis, masukan dan saran tersebut dapat memacu kita untuk lebih berkembang dan saling
meningkatkan pengetahuan kita bersama dalam penelitian, khususnya penelitian dalam ilmu
manajemen pemasaran.

Akhir kata, penulis berharap semoga buku ini dapat membantu siapa saja yang akan belajar
dan sedang mengadakan penelitian dalam bidang ilmu manajemen pemasaran.",1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/6487,published,['H1'],MANAJEMEN PEMASARAN USAHA KECIL  Kasus Industri Pengolahan Makanan dan Ritel,public,2018-04-25 04:20:54,8,pub,['FEB6'],Graha Ilmu,disk0/00/00/64/87,993,2018-04-25 04:20:54,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/19431', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 6487, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'PEMASARAN USAHA KECIL-haki.pdf', 'files': [{'filename': 'PEMASARAN USAHA KECIL-haki.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/60077', 'objectid': 19431, 'filesize': 9281115, 'mtime': '2018-02-15 06:41:25', 'hash_type': 'MD5', 'hash': '65e1cd7b9eb9ad710808f51c832bdbb1', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 60077}], 'docid': 19431, 'format': 'text'}]",107.0,2018-04-25 04:20:54,6487,archive,show,v-107,book_section,"[{'id': 'satriabangsawan1961@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Bangsawan', 'given': 'Satria'}}]","MANAJEMEN PEMASARAN USAHA KECIL 
Kasus Industri Pengolahan Makanan dan Ritel",TRUE,,,,,,,,,,,,,,,,
1,"Sistem Layanan Elektronik atau Electronic Services yang disingkat E-Services merupakan suatu aplikasi yang memanfaatkan Teknologi Informasi dan Komunikasi. Layanan elektronik merupakan layanan melalui internet yang mengacu kepada perdagangan melalui internet, dukungan pelanggan, termasuk layanan non-komersial yang biasanya disediakan oleh lembaga pemerintah. Industri perbankan dengan e-banking, industri penerbangan dengan e-ticketing, pemerintah dengan e-government dan industri pendidikan dengan e-learningnya.
Salah satu layanan elektronik yang disuguhkan oleh Perguruan Tinggi adalah SIAKAD Online, merupakan Sistem Informasi Akademik yang dibangun untuk memberikan kemudahan kepada sivitas akademika dalam kegiatan administrasi akademik kampus secara online. Siakad Online menggunakan sistem basis data terpusat     mengelola seluruh data secara terintegrasi sehingga data akan selalu up-to-date, realtime dan selalu siap untuk digunakan, serta mengurangi kemungkinan duplikasi data karena Siakad Online. Dengan menggunakan Siakad Online, maka kualitas pelayanan akademik yang diterima mahasiswa akan meningkat, terutama dalam hal keakuratan informasi, transfer informasi, efisiensi dan ketepatan waktu.
Tujuan penelitian ini adalah untuk mengetahui pengaruh kualitas layanan elektronik Siakad Online terhadap kepuasan mahasiswa di Fakultas Ekonomi dan Bisnis Universitas Lampung. Hipotesis pada penelitian ini adalah 1) Kualitas layanan elektronik Siakad Online Universitas Lampung berpengaruh positif dan signifikan terhadap kepuasan mahasiswa Fakultas Ekonomi dan Bisnis Universitas Lampung, 2) Kualitas layanan purna elektronik Siakad Online Universitas Lampung berpengaruh positif dan signifikan terhadap kepuasan mahasiswa Fakultas Ekonomi dan Bisnis.
Populasi penelitian ini adalah mahasiswa Fakultas Ekonomi dan Bisnis Universitas Lampung, dengan sampel sebanyak 100 responden, melalui metode non probability sampling dengan teknik random sampling. Analisis dilakukan  secara kualitatif menggunakan regregresi berganda dan analisis data secara kuantitatif dilakukan dengan menggunakan uji beda (uji t).
Hasil analisis data menunjukkan bahwa hipotesi yang menyatakan kualitas interaksi layanan elektronik (e-core service quality) Siakad Online Universitas Lampung berpengaruh positif dan signifikan terhadap kepuasan mahasiswa Fakultas Ekonomi dan Bisnis (β 0,480; t 5.640;  sig  0,00). Selanjutnya hipotesis yang menyatakan bahwa kualitas layanan purna elektronik (e-recovery service quality) Siakad Online Universitas Lampung berpengaruh positif dan signifikan terhadap kepuasan mahasiswa Fakultas Ekonomi dan Bisnis terjawab dan dapat didukung oleh hasil penelitian ini (β 0,346; t 4,066;  sig  0,00).",2015-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/4728,,"['AS', 'H1', 'HN']",,public,2017-11-16 03:23:00,9,pub,['FEB6'],Jurusan Manajemen Fakultas Ekonomi dan Bisnis Universitas Lampung,disk0/00/00/47/28,174,2017-11-16 03:23:00,"[{'format': 'text', 'main': 'PUBLIKASI JURNAL-JBM-SEPTEMBER-2015.pdf', 'files': [{'filesize': 8259987, 'objectid': 17636, 'filename': 'PUBLIKASI JURNAL-JBM-SEPTEMBER-2015.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/46107', 'hash_type': 'MD5', 'mtime': '2017-11-06 06:11:24', 'datasetid': 'document', 'fileid': 46107, 'hash': '60b552d2408034fa0055fa639cbef816', 'mime_type': 'application/pdf'}], 'docid': 17636, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 4728, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/17636', 'pos': 1}]",,2017-11-16 03:23:00,4728,archive,show,174-246,article,"[{'name': {'given': 'Yuniarti', 'honourific': None, 'family': 'Fihartini', 'lineage': None}, 'id': 'yuniarti.fihartini@feb.unila.ac.id'}]",PENGARUH KUALITAS LAYANAN ELEKTRONIK SIAKAD ONLINE TERHADAP KEPUASAN MAHASISWA DI FAKULTAS EKONOMI DAN BISNIS UNIVERSITAS LAMPUNG,TRUE,Jurnal Bisnis dan Manajemen,1411-9366,['Universitas Lampung'],11.0,3.0,,,,,,,,,,,
2,"Media sosial menjadi sarana komunikasi penting yang digunakan orang untuk terhubung dengan orang atau organisasi lain. Orang-orang menggunakan media sosial untuk berbagi pengalaman mereka, ulasan (review), informasi, saran, peringatan, tips mengenai masalah apapun yang menarik untuk orang-orang yang terhubung dengan mereka. Informasi tersebut merupakan sumber yang membantu, yang dapat mempengaruhi pengambilan keputusan konsumen. 
Melalui hubungan personal (personal relevance),interaksi secara online (online interactivity), pesan yang diterima (message), serta kedekatan terhadap merek (brand familiarity), konsumen akan memiliki persepsi dan penilaiannya terhadap suatu produk atau merek atas kegiatan promosi yang dilakukan produk atau merek tersebut secara online pada media sosial. Serta dengan memperhatikan konsumen lain (Concern for Others consumer), memperhatikan kesan-kesan positif (Expressing positive feelings), keluhan-keluhan dan kekecewaan (Venting negative Feelings), manfaat yang diberikan (Social benefits), loyalitas konsumen lain terhadap suatu merek (Helping the company), dan referensi-referensi (Advice seeking) konsumen akan memiliki penilaian serta dapat mengevaluasi suatu produk atau merek melalui eWOM yang diterimanya secara online melalui situs sosial media, dan hal ini akan mempengaruhi konsumen dalam proses pengambilan keputusan pembelian suatu produk atau jasa.   
Tujuan dari penelitian ini adalah untuk mengetahui pengaruh promosi dan electronic word of mouth di media sosial terhadap keputusan pembelian konsumen di Bandar Lampung. Hipotesis pada penelitian ini adalah 1) Promosi di Media sosial berpengaruh terhadap Electronic Word of Mouth (E-WoM) konsumen di Bandar Lampung, 2) Promosi dan Electronic Word of Mouth (E-WoM)) di Media sosial berpengaruh terhadap keputusan pembelian konsumen di Bandar Lampung
Populasi penelitian ini adalah mahasiswa di Bandar Lampung, dengan sampel sebanyak 100 responden, melalui metode non probability sampling dengan teknik random sampling. Analisis dilakukan  secara kualitatif menggunakan regregresi berganda dan analisis data secara kuantitatif dilakukan dengan menggunakan uji beda (uji t).
Hasil analisis data menunjukkan bahwa hipotesi yang menyatakan promosi berpengaruh positif dan signifikan terhadap electronic word of mouth di situs media social didukung oleh hasil penelitian ini, dengan R2 sebesar 0.295, koefisien sebesar 0.544, dan nilai signifikansi sebesar 0.000 Sebaliknya hipotesis yang menyatakan bahwa promosi dan electronic word of mouth berpengaruh positif dan signifikan terhadap keputusan pembelian konsumen di Bandar Lampung tidak sepenuhnya di dukung oleh penelitian ini, dimana hanya electronic word of mouth saja yang terbukti berpengaruh positif dan signifikan dengan R2 sebesar 0.149, koefisien sebesar 0.269, dan nilai signifikansi sebesar 0.018. Sementara promosi tidak terbukti berpengaruh terhadap keputusan pembelian konsumen dengan nilai signifikansi melebihi 0.05 yakni 0.137.",2015-01-02 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/4724,published,"['AS', 'H1', 'HM', 'HN']",,public,2017-11-16 03:22:54,9,pub,['FEB6'],Jurusan Manajemen Fakultas Ekonomi dan Bisnis Universitas Lampung,disk0/00/00/47/24,174,2017-11-16 03:22:54,"[{'main': 'JURNAL PUBLIKASI-YUNI-JBM-JANUARI-2015.pdf', 'docid': 17632, 'files': [{'mtime': '2017-11-06 05:49:34', 'hash_type': 'MD5', 'filename': 'JURNAL PUBLIKASI-YUNI-JBM-JANUARI-2015.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/46082', 'objectid': 17632, 'filesize': 11348429, 'hash': 'df34d74b4b9b95b2dc5556e6470b7a58', 'mime_type': 'application/pdf', 'fileid': 46082, 'datasetid': 'document'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 4724, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/17632', 'security': 'public'}]",,2017-11-16 03:22:54,4724,archive,show,1-15,article,"[{'name': {'given': 'Yuniarti', 'honourific': None, 'lineage': None, 'family': 'Fihartini'}, 'id': 'yuniarti.fihartini@feb.unila.ac.id'}]","PENGARUH PROMOSI DAN ELECTRONIC WORD-OF-MOUTH 
DI MEDIA SOSIAL TERHADAP KEPUTUSAN PEMBELIAN KONSUMEN
DI BANDAR LAMPUNG",TRUE,Jurnal Bisnis dan Manajemen,1411-9366,['Universitas Lampung'],11.0,1.0,,,,,,,,,,,
3,"Tujuan dari penelitian ini adalah ingin mengetahui bagaimana pengaruh intelektual capital terhadap kinerja keuangan perusahaan dan nilai perusahaan  perbankan yang terdaftar di Bursa efek indonesia. Populasi penelitian sebanyak 33 bank yang tercatat di BEI periode 2008-2012. Dengan criteria yang ditentukan diperoleh sampel sebanyak 23 bank yang memenuhi syarat untuk diteliti. Model yang digunakan dalam penelitian ini adalah path model dengan dimensi intellectual capital sebagai variabel bebas, kinerja keuangan (ROA) sebagai variabel intervening yang memediasi  intellectual capital terhadap nilai perusahaan. Hasil penelitian menemukan bahwa  intellectual capital mempengaruhi kinerja keuangan perusahaan sebesar 78,5%, sementara intellectual capital bersama kinerja keuangan mempengaruhi nilai perusahaan sebesar 16,3%.  Hasil ini menyatakan bahwa intellectual capital lebih memiliki kontribusi terhadap peningkatan kinerja keuangan perusahaan dibandingkan pada nilai perusahaan. Hal ini dapat terjadi karena investor di pasar modal Indonesia, masih berorientasi pada penilaian asset tangibel dibandingkan dengan asset intangible seperti intellectual capital /knowledge assets. Intelelectual capital melalui kinerja keuangan sebagai variabel intervening mampu memberi kontribusi dalam peningkatan nilai perusahaan. Dengan kata lain pasar memberi penilaian yang tinggi pada perusahaan yang memiliki financial performance yang tinggi karena kemampuan mengelola sumber daya intellectual secara efektif dan efisisen.",2015-05-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/21356,published,['HG'],,public,2020-06-01 08:58:30,7,pub,['FEB6'],Magister Manajemen-UNIKA ATMA JAYA,disk0/00/02/13/56,1031,2020-06-01 08:58:30,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'files': [{'hash_type': 'MD5', 'mtime': '2020-06-01 07:01:41', 'filesize': 7327201, 'objectid': 34752, 'uri': 'http://repository.lppm.unila.ac.id/id/file/198548', 'filename': 'Intelectual Capital ..... , corporate value dan kinerja keuangan perbankan di BEI 2008-2012pdf.pdf', 'datasetid': 'document', 'fileid': 198548, 'mime_type': 'application/pdf', 'hash': 'f803032ff41283a25016baac74dc4bc2'}], 'main': 'Intelectual Capital ..... , corporate value dan kinerja keuangan perbankan di BEI 2008-2012pdf.pdf', 'docid': 34752, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34752', 'security': 'public', 'placement': 1, 'eprintid': 21356}]",,2020-06-01 08:58:30,21356,archive,show,69-84,article,"[{'name': {'given': 'Sri', 'family': 'Hasnawati', 'lineage': None, 'honourific': None}, 'id': 'sri.hasnawati@feb.unila.ac.id'}]","INTELLECTUAL CAPITAL,  CORPORATE VALUE DAN KINERJA KEUANGAN PERBANKAN DI BURSA EFEK INDONESIA 2008-2012",TRUE,Telaah Manajemen: Jurnal Riset& Konsep Manajemen,1907-4913,['FEB UNIVERSITY OF LAMPUNG'],10.0,1.0,[{'url': 'http://adl.aptik.or.id/default.aspx?tabID=61&src=a&id=169205'}],"[{'name': {'given': 'Sri', 'honourific': None, 'family': 'Hasnawati', 'lineage': None}, 'id': 'sri.hasnawati@feb.unila.ac.id'}]",http://adl.aptik.or.id/default.aspx?tabID=61&src=a&id=169205,169205,,,,,,,
4,"SIMILARITY CHECK:
Tujuan dari penelitian ini adalah ingin mengetahui bagaimana pengaruh intelektual capital terhadap kinerja keuangan perusahaan dan nilai perusahaan perbankan yang terdaftar di Bursa efek indonesia. Populasi penelitian sebanyak 33 bank yang tercatat di BEI periode 2008-2012. Dengan criteria yang ditentukan diperoleh sampel sebanyak 23 bank yang memenuhi syarat untuk diteliti. Model yang digunakan dalam penelitian ini adalah path model dengan dimensi intellectual capital sebagai variabel bebas, kinerja keuangan (ROA) sebagai variabel intervening yang memediasi intellectual capital terhadap nilai perusahaan. Hasil penelitian menemukan bahwa intellectual capital mempengaruhi kinerja keuangan perusahaan sebesar 78,5%, sementara intellectual capital bersama kinerja keuangan mempengaruhi nilai perusahaan sebesar 16,3%. Hasil ini menyatakan bahwa intellectual capital lebih memiliki kontribusi terhadap peningkatan kinerja keuangan perusahaan dibandingkan pada nilai perusahaan. Hal ini dapat terjadi karena investor di pasar modal Indonesia, masih berorientasi pada penilaian asset tangibel dibandingkan dengan asset intangible seperti intellectual capital /knowledge assets. Intelelectual capital melalui kinerja keuangan sebagai variabel intervening mampu memberi kontribusi dalam peningkatan nilai perusahaan. Dengan kata lain pasar memberi penilaian yang tinggi pada perusahaan yang memiliki financial performance yang tinggi karena kemampuan mengelola sumber daya intellectual secara efektif dan efisisen.",1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/23353,published,['HG'],,public,2020-07-24 00:56:36,7,pub,['FEB6'],Prodi MM Unika Atma Jaya,disk0/00/02/33/53,1031,2020-07-24 00:56:36,"[{'format': 'text', 'docid': 36947, 'main': 'Similarity check Intelectual capital, CORPORATE VALUE DAN KINERJA KEUANGAN PERBANKAN DI BURSA EFEK INDONESIA 2008-2012 pdf.pdf', 'files': [{'filesize': 8201418, 'objectid': 36947, 'uri': 'http://repository.lppm.unila.ac.id/id/file/213619', 'filename': 'Similarity check Intelectual capital, CORPORATE VALUE DAN KINERJA KEUANGAN PERBANKAN DI BURSA EFEK INDONESIA 2008-2012 pdf.pdf', 'hash_type': 'MD5', 'mtime': '2020-07-23 09:31:00', 'fileid': 213619, 'datasetid': 'document', 'hash': '8973842e7f599610c57b760c22aeba0b', 'mime_type': 'application/pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 23353, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36947', 'pos': 1}]",,2020-07-24 00:56:36,23353,archive,show,,other,"[{'name': {'given': 'Sri', 'lineage': None, 'family': 'Hasnawati', 'honourific': None}, 'id': 'sri.hasnawati@feb.unila.ac.id'}]","INTELLECTUAL CAPITAL, CORPORATE VALUE DAN KINERJA KEUANGAN PERBANKAN DI BURSA EFEK INDONESIA 2008-2012.",,,,['Universitas Lampung'],,,[{'url': 'http://repository.lppm.unila.ac.id/id/eprint/21356'}],,http://adl.aptik.or.id/default.aspx?tabID=61&src=a&id=169205,,Jakarta,,,,,,
5,"SIMILARITY CHECK:
The objectives was to find empirical evidence of the influence fi­nan­cial d­e­cisions, firm size, and owner­ship structure on firm value in the three economic con­di­tions (before, during, and after the crisis). The model was used mul­tiple reg­ression. The study was con­duc­ted in 1992–2008 with samples of 78 public com­pa­nies and 1084 datas. The results explained that company size and de­cision not to pay dividends were most af­fected varia­bles. In addition, policy not to pay dividends had negative ef­fect on firm value. There were also significant differences of company value. For public companies, company's size should be considered. Po­li­cies of paying cash dividends could be con­sidered in order to increase company value.",1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/23356,published,['HG'],,public,2020-07-24 00:56:46,7,pub,['FEB6'],Universitas Kristen Petra Surabaya,disk0/00/02/33/56,1031,2020-07-24 00:56:46,"[{'eprintid': 23356, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36950', 'pos': 1, 'format': 'text', 'main': 'Similarity Check Keputusan keuangan, UKURAN PERUSAHAAN, STRUKTUR KEPEMILIKAN DAN NILAI PERUSAHAAN PUBLIK DI INDONESIA pdf.pdf', 'docid': 36950, 'files': [{'mtime': '2020-07-23 09:48:34', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/213642', 'filename': 'Similarity Check Keputusan keuangan, UKURAN PERUSAHAAN, STRUKTUR KEPEMILIKAN DAN NILAI PERUSAHAAN PUBLIK DI INDONESIA pdf.pdf', 'filesize': 3444237, 'objectid': 36950, 'mime_type': 'application/pdf', 'hash': '725a47d1f01e9817186634edaf3a085e', 'datasetid': 'document', 'fileid': 213642}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",,2020-07-24 00:56:46,23356,archive,show,,other,"[{'id': 'sri.hasnawati@feb.unila.ac.id', 'name': {'honourific': None, 'family': 'Hasnawati', 'lineage': None, 'given': 'Sri'}}]","KEPUTUSAN KEUANGAN, UKURAN PERUSAHAAN, STRUKTUR KEPEMILIKAN DAN NILAI PERUSAHAAN PUBLIK DI INDONESIA",,,,['Universitas lampung'],,,[{'url': 'http://repository.lppm.unila.ac.id/id/eprint/4599'}],,http://jurnalmanajemen.petra.ac.id/,DOI:10.9744/jmk.17.1.65–75,Surabaya,,,,,,
6,"The objectives was to find empirical evidence of the influence fi­nan­cial d­e­cisions, firm size, and owner­ship structure on firm value in the three economic con­di­tions (before, during, and after the crisis). The model was used mul­tiple reg­ression. The study was con­duc­ted in 1992–2008 with samples of 78 public com­pa­nies and 1084 datas. The results explained that company size and de­cision not to pay dividends were most af­fected varia­bles. In addition, policy not to pay dividends had negative ef­fect on firm value. There were also significant differences of company value. For public companies, company's size should be considered. Po­li­cies of paying cash dividends could be con­sidered in order to increase company value.",2015-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/26574,published,['HG'],,public,2020-11-22 11:50:06,7,pub,['FEB6'],FCULTY OF ECONOMICS department of management university kristen petra,disk0/00/02/65/74,1031,2020-11-22 11:50:06,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40472', 'eprintid': 26574, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 40472, 'main': '7. Reveiwer Keputusan keuangan, ukuran perusahaan, struktur kepemilikan.pdf', 'files': [{'filesize': 482357, 'objectid': 40472, 'uri': 'http://repository.lppm.unila.ac.id/id/file/238924', 'filename': '7. Reveiwer Keputusan keuangan, ukuran perusahaan, struktur kepemilikan.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-22 02:37:53', 'fileid': 238924, 'datasetid': 'document', 'hash': '752a72456e1b5c957a0ffc5fa1a5e0c9', 'mime_type': 'application/pdf'}]}]",,2020-11-22 11:50:06,26574,archive,show,,other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Hasnawati', 'given': 'Sri'}, 'id': 'sri.hasnawati@feb.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Sawir', 'given': 'Agnes'}, 'id': None}]","Form Penilaian Reviewer,  Keputusan keuangan, ukuran perusahaan, struktur kepemilikan, dan nilai perusahaan publik di  Indonesia",,,,['Universitas Lampung'],,,[{'url': 'http://repository.lppm.unila.ac.id/21356/'}],"[{'name': {'honourific': None, 'family': 'Hasnawati', 'lineage': None, 'given': 'Sri'}}, {'name': {'given': 'Agnes', 'lineage': None, 'family': 'Sawir', 'honourific': None}}]",http://jurnalmanajemen.petra.ac.id/index.php/man/article/view/19231,https://doi.org/10.9744/jmk.17.1.65-75,INDONESIA,,,,,,
7,"The objectives was to find empirical evidence of the influence fi­nan­cial d­e­cisions, firm size, and owner­ship structure on firm value in the three economic con­di­tions (before, during, and after the crisis). The model was used mul­tiple reg­ression. The study was con­duc­ted in 1992–2008 with samples of 78 public com­pa­nies and 1084 datas. The results explained that company size and de­cision not to pay dividends were most af­fected varia­bles. In addition, policy not to pay dividends had negative ef­fect on firm value. There were also significant differences of company value. For public companies, company's size should be considered. Po­li­cies of paying cash dividends could be con­sidered in order to increase company value.",1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/4599,published,"['H1', 'HG']",,public,2017-11-16 03:16:00,7,pub,['FEB6'],"Faculty of Economics, Department of Management - Petra Christian University",disk0/00/00/45/99,1031,2017-11-16 03:16:00,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/17506', 'pos': 1, 'eprintid': 4599, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': '19231-23245-1-SM.pdf', 'files': [{'datasetid': 'document', 'fileid': 45229, 'hash': 'ea59a863112ef744797c828c41df178e', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-11-03 23:24:23', 'objectid': 17506, 'filesize': 421327, 'filename': '19231-23245-1-SM.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/45229'}], 'docid': 17506}]",,2017-11-16 03:16:00,4599,archive,show,65-75,article,"[{'name': {'given': 'Sri', 'honourific': None, 'lineage': None, 'family': 'Hasnawati'}}, {'name': {'family': 'Sawir', 'lineage': None, 'honourific': None, 'given': 'Agnes'}}]","KEPUTUSAN KEUANGAN, UKURAN PERUSAHAAN, STRUKTUR KEPEMILIKAN DAN NILAI PERUSAHAAN PUBLIK DI INDONESIA",TRUE,Jurnal Manajemen dan Kewirausahaan,1411-1438,,17.0,1.0,[{'url': 'http://jurnalmanajemen.petra.ac.id/index.php/man/issue/view/3204'}],,http://jurnalmanajemen.petra.ac.id/,,,,,,,,
8,,1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/49052,,['HD28'],,restricted,2023-03-21 01:50:39,8,unpub,['FEB6'],MADIC,disk0_bak/00/04/90/52,108,2023-03-21 01:50:39,"[{'format': 'other', 'main': '2015_Turnitin Prosiding madic.pdf', 'docid': 188500, 'files': [{'mime_type': 'application/pdf', 'hash': '0b9afb957e4e6983e625921c97335484', 'fileid': 533381, 'datasetid': 'document', 'filename': '2015_Turnitin Prosiding madic.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/533381', 'objectid': 188500, 'filesize': 5752343, 'mtime': '2023-03-20 17:03:48', 'hash_type': 'MD5'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'eprintid': 49052, 'placement': 1, 'security': 'validuser', 'formatdesc': 'Turnitin Prosiding MADIC', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188500'}]",,2023-03-21 01:50:39,49052,archive,show,,other,"[{'name': {'family': 'Hayati', 'lineage': None, 'honourific': None, 'given': 'Keumala'}, 'id': 'umi_asra@yahoo.co.id'}, {'id': 'igoc4n@gmail.com', 'name': {'lineage': None, 'family': 'Caniago', 'honourific': None, 'given': 'Indra'}}]","Hasil Turnitin Prosiding MADIC : ""Strategic Human Resource Management and Firm Performance: The Moderation Pyshicological Contract",,,,,,,,,,,,,,,,,
9,"Practices and role of HRM is expected to improve business performance. HRM model as a business or a strategic partner developed by Ulrich (1997, 2007) is quite popular and preferable because it can improve the status of HRM into a strategic partner, which means that HRM involved in strategic decision making. But the influence of SHRM to organizational performance has not been conclusive, some studies found a direct influence while others doubted the direct influence. This paper describes the influence of SHRM to organizational performance mediated by OCB and moderated by psychological contracts in the relationship between organizations and employees.",2015-09-07 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/40840,,['HD28'],,public,2022-03-31 02:39:08,7,pub,['FEB6'],,disk0/00/04/08/40,108,2022-03-31 02:39:08,"[{'format': 'text', 'main': '2015_Prosiding Nasional madic-Unes.pdf', 'files': [{'datasetid': 'document', 'fileid': 454237, 'hash': 'f77f42e1df0d05515b092938947d0a42', 'mime_type': 'application/pdf', 'objectid': 162229, 'filesize': 287702, 'uri': 'http://repository.lppm.unila.ac.id/id/file/454237', 'filename': '2015_Prosiding Nasional madic-Unes.pdf', 'hash_type': 'MD5', 'mtime': '2022-03-30 22:47:46'}], 'docid': 162229, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 40840, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162229', 'pos': 1}]",,2022-03-31 02:39:08,40840,archive,show,,conference_item,"[{'id': 'umi_asra@yahoo.co.id', 'name': {'family': 'Hayati', 'lineage': None, 'honourific': None, 'given': 'Keumala'}}, {'id': 'igoc4n@gmail.com', 'name': {'lineage': None, 'family': 'Caniago', 'honourific': None, 'given': 'Indra'}}]",STRATEGIC HUMAN RESOURCE MANAGEMENT AND FIRM PERFORMANCE: THE MODERATION OF PSYCHOLOGICAL CONTRACT,TRUE,,,,,,,,http://journal.unnes.ac.id/nju/index.php/jdm/article/view/4753,,,Semarang,paper,Management Dynamic Conference,conference,,
