,date_type,subjects,event_title,uri,date,abstract,corp_creators,event_type,divisions,dir,rev_number,ispublished,full_text_status,status_changed,metadata_visibility,pagerange,datestamp,eprint_status,eprintid,lastmod,documents,userid,title,event_dates,refereed,creators,pres_type,type,event_location,editors,pages,isbn,contact_email,place_of_pub,publisher,official_url,number,volume,publication,related_url,issn,contributors,id_number,series,department,institution,monograph_type
0,published,['AC'],International Conference 1st SHIELD 2016,http://repository.lppm.unila.ac.id/id/eprint/2186,2016-11-02 00:00:00.000000000,"Store Atmosphere became one of the important factors for consumers when shopping for convenience. To create a comfortable atmosphere of the store it will needed some dimensions, such as cleanliness, music, scent, temperature, lighting, color and display or layout.
Problems in this research is whether the dimensions of cleanliness, music, scent, temperature, lighting, color and display or layout has an influence on the consumer repurchase intention. This research used descriptive verification research design and used purposive sampling.  The method of analysis used multiple linear regression.
The results of this research shows that the contribution of variable dimensions of store atmosphere have a role in influencing variable consumer repurchase intention was 53%, the rest is influenced by other variables. T test results found that the variable dimensions of the store atmosphere, namely cleanliness, music, scent, temperature, lighting, color and display or layout affect consumer repurchase intention.
The advice given by this research Chandra Super Store Tanjung Karang should improve  scent dimension. They should put an automatic parfume periodically with a scent that could make the consumers relax when shopping, at some point in the store so that the scent in Chandra Super Store is fragrant and scented and can make consumer repurchase intention increasing in Chandra Super Store.

Keywords: Store Atmosphere dimension, Consumer Repurchase Intention.","['Department of Ecomics and Business Faculty, University of Lampung', 'Department of Ecomics and Business Faculty, University of Lampung']",conference,['FEB6'],disk0/00/00/21/86,12,pub,public,2017-06-02 07:41:34,show,529-543,2017-06-02 07:41:34,archive,2186,2017-06-02 07:41:34,"[{'placement': 1, 'eprintid': 2186, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2081', 'pos': 1, 'formatdesc': 'Store Atmosphere became one of the important factors for consumers when shopping for convenience. To create a comfortable atmosphere of the store it will needed some dimensions, such as cleanliness, music, scent, temperature, lighting, color and display o', 'security': 'public', 'docid': 2081, 'main': 'ShieldProceeding.pdf', 'files': [{'filesize': 23708329, 'objectid': 2081, 'filename': 'ShieldProceeding.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/15185', 'hash_type': 'MD5', 'mtime': '2017-05-30 10:33:34', 'datasetid': 'document', 'fileid': 15185, 'mime_type': 'application/pdf', 'hash': 'bab80d18eda9e4b4f9482c0af42298d5'}], 'format': 'other', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'content': 'published'}]",308,Store Atmosphere Dimensions Effect on Consumer Repurchase Intention (Study in Chandra Super Store Tanjung Karang),"November 2-3, 2016",TRUE,"[{'name': {'honourific': None, 'family': 'Arviana', 'lineage': None, 'given': 'Nerissa'}, 'id': 'nerissaines@gmail.com'}, {'id': 'shofafaila@gmail.com', 'name': {'honourific': None, 'family': 'Shofa', 'lineage': None, 'given': 'Faila'}}]",paper,conference_item,Bandar Lampung,,,,,,,,,,,,,,,,,,
1,published,['H1'],,http://repository.lppm.unila.ac.id/id/eprint/4047,2016-11-01 00:00:00.000000000,,,,['FEB6'],disk0/00/00/40/47,14,pub,public,2018-04-25 02:24:11,show,,2018-04-25 02:24:11,archive,4047,2018-04-25 02:24:11,"[{'format': 'text', 'main': 'Man. PEm. usaha koperasi.pdf', 'files': [{'filename': 'Man. PEm. usaha koperasi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62215', 'objectid': 19764, 'filesize': 16451037, 'mtime': '2018-04-23 05:04:32', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '7b6a4f51e244ca83a9883666b5518c7e', 'datasetid': 'document', 'fileid': 62215}], 'docid': 19764, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 4047, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19764', 'pos': 1}]",1046,MANAJEMEN PEMASARAN USAHA KOPERASI,,TRUE,"[{'name': {'family': 'Bangsawan', 'lineage': None, 'honourific': None, 'given': 'Satria'}, 'id': 'satria.bangsawan@feb.unila.ac.id'}]",,book,,"[{'id': 'mahrinasari@feb.unila.ac.id', 'name': {'honourific': None, 'family': 'Mahrinasari', 'lineage': None, 'given': 'Mahrinasari'}}]",0.0,978-602-6238-93-1,satria.bangsawan@feb.unila.ac.id,Bandar Lampung,AURA ( CV. Anugrah Utama Raharja ) Anggota IKAPI No.003/LPU/2013,,,,,,,,,,,,
2,published,['H1'],,http://repository.lppm.unila.ac.id/id/eprint/2692,2016-11-01 00:00:00.000000000,,,,['FEB6'],disk0/00/00/26/92,7,pub,public,2017-06-02 11:52:47,show,,2017-06-02 11:52:47,archive,2692,2017-06-02 11:52:47,"[{'placement': 1, 'eprintid': 2692, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2561', 'security': 'public', 'files': [{'mime_type': 'application/pdf', 'hash': '7035ba823eca907e0e411c346d203a37', 'fileid': 18531, 'datasetid': 'document', 'mtime': '2017-05-31 22:02:49', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/18531', 'filename': 'SB1.pdf', 'filesize': 4466230, 'objectid': 2561}], 'main': 'SB1.pdf', 'docid': 2561, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",1046,Manajemen Pemasaran : Usaha Koperasi,,TRUE,"[{'id': 'satriabangsawan1961@gmail.com', 'name': {'given': 'Satria', 'honourific': None, 'lineage': None, 'family': 'Bangsawan'}}]",,book,,,164.0,978-602-6238-93-1,,Bandar Lampung,AURA (CV. Anugrah Utama Raharja),,,,,,,,,,,,
3,completed,['HG'],Joint Conference The AGBA 13th Annual World Congress,http://repository.lppm.unila.ac.id/id/eprint/2910,2016-11-27 00:00:00.000000000,"The purpose of this research is to examine the dynamic effect of liquidity as a risk factor affecting stock returns in different market conditions(bullish and bearish), and in two different market developments (emerging and developed).Several measures of levels and level variability of liquidity are employed. The data used is from Indonesian and Japanesse capital markets representing emerging and developed markets, repectively.
The results of the study show that liquidity is found to be an important factor affecting portfolio returns. Liquidity has also different effect in bullish and bearish stock market condition. Liquidity risk factor, however, could not clearly explain the different characteristics of emerging and developed stock markets. The results also show the pattern correlation between liquidity effect and particular liquidity category in the developed portfolios. These findings highlight future avenues through which liquidity risk factor can potentially trascend into accounting research, related to information quality and transparency.",,conference,['FEB6'],disk0/00/00/29/10,9,unpub,public,2017-06-07 09:06:17,show,,2017-06-07 09:06:17,archive,2910,2017-06-07 09:06:17,"[{'eprintid': 2910, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2802', 'format': 'text', 'docid': 2802, 'main': 'The Effect of Liquidity on Stock Return.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '94dde1ec19aca5a58c8c5fdefbd34aaf', 'datasetid': 'document', 'fileid': 20083, 'mtime': '2017-06-02 01:24:23', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/20083', 'filename': 'The Effect of Liquidity on Stock Return.pdf', 'filesize': 204594, 'objectid': 2802}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",1130,The Effect of Liquidity on Stock Return in Bullish and Bearish Condition: Empirical Evidence in Indonesia and Japan Stock Market,26-27 November 2016,FALSE,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Febrianto', 'given': 'Igo'}, 'id': 'igofebrianto@gmail.com'}]",paper,conference_item,"Solo, Indonesia",,,,,,,,,,,,,,,,,,
4,published,['HG'],,http://repository.lppm.unila.ac.id/id/eprint/2907,2016-01-01 00:00:00.000000000,"Moslem investors often find dilemma about asset pricing while having investments in stock exchange.   Conventional asset pricing model, such as Capital Asset Pricing Model (CAPM), cannot accommodate the needs for asset pricing which is free from riba and interest as one of the sharia requirements. The aim of the current research is to compare the conventional model with others which are developed by using zakat and inflation as a replacement component for risk free rate in CAPM, called Islamic CAPM. Descriptive analysis result shows that moslem investors could use inflation as a replacement component for risk free rate.  The statistical evidence also shows that the accuracy of this model is similar to the conventional asset pricing model.",,,['FEB6'],disk0/00/00/29/07,6,pub,public,2017-06-02 12:24:05,show,14-21,2017-06-02 12:24:05,archive,2907,2017-06-02 12:24:05,"[{'format': 'text', 'main': 'Islamic Capital Asset Pricing Model, Sebuah Analisis Perbandingan.pdf', 'files': [{'mtime': '2017-06-02 00:48:00', 'hash_type': 'MD5', 'filename': 'Islamic Capital Asset Pricing Model, Sebuah Analisis Perbandingan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/20003', 'filesize': 152934, 'objectid': 2791, 'hash': 'f2b9dd36bf6552659d0583345188c146', 'mime_type': 'application/pdf', 'fileid': 20003, 'datasetid': 'document'}], 'docid': 2791, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 2907, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/2791', 'pos': 1}]",1130,"Islamic Capital Asset Pricing Model: A comparative analysis
Islamic Capital Asset Pricing Model: Sebuah Analisis Perbandingan",,TRUE,"[{'id': 'igofebrianto@gmail.com', 'name': {'given': 'Igo', 'honourific': None, 'lineage': None, 'family': 'Febrianto'}}, {'id': 'artie_arditha@polinela.ac.id', 'name': {'lineage': None, 'family': 'Rachman', 'honourific': None, 'given': 'Artie Arditha'}}]",,article,,,,,,,Jurusan Ekonomi dan Bisnis Polinela,http://jurnal-esai.org/index.php/ojsesai,1.0,10,Jurnal Ilmiah ESAI,"[{'url': 'http://jurnal-esai.org/index.php/ojsesai/article/view/143', 'type': 'pub'}]",1978-6034,,,,,,
5,published,['HG'],,http://repository.lppm.unila.ac.id/id/eprint/26586,2016-06-01 00:00:00.000000000,"Form Review Penilaian, The study objective is to elaborate the implementation of good corporate governance policies to create a healthy business for public companies in the capital markets. Path analysis is the model used to answer the study’s questions. The study’s population was the public companies that had already implemented good corporate governance and had a ranking at the Corporate Governance Perception Index (CGPI) during the exception regulation for financial institutions and banks. The research sample consisted of 63 companies. The study resulted into two research models. The first hypothesis resulted into the first model, which included corporate governance and investment policy variables affecting the financial performance while the financing policy did not affect the company's financial performance. The second model had hypothesis results, consisting of three variables affecting the market performance with different impacts, namely financing policies, investment policies, and financial performances. It was found that good corporate governance did not affect the market performance. This finding explained that good corporate governance along with the investment policies had a direct impact on the financial performance of the company but good corporate governance did not affect the market performance. It could be interpreted that the implementation of good corporate governance for public companies was only a formality to comply with Bapepam, which was voluntary. Hence, investors in the stock market did not take the good corporate governance variable as one of the indicators used to make investment decisions in the stock market. Another finding was that the financing policy did not affect the financial performance and the market performance of the public companies.",['Universitas Lampung'],,['FEB6'],disk0/00/02/65/86,7,pub,public,2020-11-22 11:50:34,show,,2020-11-22 11:50:34,archive,26586,2020-11-22 11:50:34,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': '11. Reviewer Good Corporate Governance, Financial Performance.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '353417d91b3ad5abc05a984ff713f256', 'fileid': 239006, 'datasetid': 'document', 'mtime': '2020-11-22 05:44:15', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/239006', 'filename': '11. Reviewer Good Corporate Governance, Financial Performance.pdf', 'filesize': 596451, 'objectid': 40483}], 'docid': 40483, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40483', 'eprintid': 26586, 'placement': 1}]",1031,"Form Review Penilaian, GCG financial performance and market performance of public companies in Indonesia",,,"[{'id': 'sri.hasnawati@feb.unila.ac.id', 'name': {'honourific': None, 'family': 'Hasnawati', 'lineage': None, 'given': 'Sri'}}]",,other,,,,,,Venice-Italy,Clute Institute USA,http://repository.lppm.unila.ac.id/id/eprint/21127,,,,[{'url': 'http://repository.lppm.unila.ac.id/id/eprint/21127'}],,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Hasnawati', 'given': 'Sri'}}]",,,,,
6,published,['HG'],,http://repository.lppm.unila.ac.id/id/eprint/21127,2016-06-05 00:00:00.000000000,"The study objective is to elaborate the implementation of good corporate governance policies to create a healthy business for public companies in the capital markets. Path analysis is the model used to answer the study’s questions. The study’s population was the public companies that had already implemented good corporate governance and had a ranking at the Corporate Governance Perception Index (CGPI) during the exception regulation for financial institutions and banks. The research sample consisted of 63 companies. The study resulted into two research models. The first hypothesis resulted into the first model, which included corporate governance and investment policy variables affecting the financial performance while the financing policy did not affect the company's financial performance. The second model had hypothesis results, consisting of three variables affecting the market performance with different impacts, namely financing policies, investment policies, and financial performances. It was found that good corporate governance did not affect the market performance. This finding explained that good corporate governance along with the investment policies had a direct impact on the financial performance of the company but good corporate governance did not affect the market performance. It could be interpreted that the implementation of good corporate governance for public companies was only a formality to comply with Bapepam, which was voluntary. Hence, investors in the stock market did not take the good corporate governance variable as one of the indicators used to make investment decisions in the stock market. Another finding was that the financing policy did not affect the financial performance and the market performance of the public companies.",['Universitas Lampung'],,['FEB6'],disk0/00/02/11/27,7,pub,public,2020-05-29 19:11:36,show,405-1-405-10,2020-05-29 19:11:36,archive,21127,2020-05-29 19:11:36,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-05-29 16:25:44', 'filesize': 2531873, 'objectid': 34512, 'uri': 'http://repository.lppm.unila.ac.id/id/file/196918', 'filename': 'Proceedings  GCG... pdf.pdf', 'datasetid': 'document', 'fileid': 196918, 'hash': '014f7be980de58e061d7f064e2999d5f', 'mime_type': 'application/pdf'}], 'main': 'Proceedings  GCG... pdf.pdf', 'docid': 34512, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34512', 'security': 'public', 'placement': 1, 'eprintid': 21127}]",1031,"GCG, Financial Performance, And Market Performance Of Public Companies In Indonesia",,TRUE,"[{'name': {'given': 'Sri', 'family': 'Hasnawati', 'lineage': None, 'honourific': None}}]",,article,,,,,,,Clute Institute,https://www.cluteinstitute.com/clute-international-academic-conferences/,,,"2016 IABC, 2016 IEC & 2016 ISEC Proceedings",[{'url': 'https://www.cluteinstitute.com/clute-international-academic-conferences/'}],2157-9660 (Online),"[{'name': {'given': 'Sri', 'honourific': None, 'family': 'Hasnawati', 'lineage': None}}]","2016 IABC, 2016 IEC & 2016 ISEC Proceedings",,,,
7,published,['HG'],,http://repository.lppm.unila.ac.id/id/eprint/23352,1970-01-01 00:00:00.000002016,"SIMILARITY CHECK:

The study objective is to elaborate the implementation of good corporate governance policies to create a healthy business for public companies in the capital markets. Path analysis is the model used to answer the study’s questions. The study’s population was the public companies that had already implemented good corporate governance and had a ranking at the Corporate Governance Perception Index (CGPI) during the exception regulation for financial institutions and banks. The research sample consisted of 63 companies. The study resulted into two research models. The first hypothesis resulted into the first model, which included corporate governance and investment policy variables affecting the financial performance while the financing policy did not affect the company's financial performance. The second model had hypothesis results, consisting of three variables affecting the market performance with different impacts, namely financing policies, investment policies, and financial performances. It was found that good corporate governance did not affect the market performance. This finding explained that good corporate governance along with the investment policies had a direct impact on the financial performance of the company but good corporate governance did not affect the market performance. It could be interpreted that the implementation of good corporate governance for public companies was only a formality to comply with Bapepam, which was voluntary. Hence, investors in the stock market did not take the good corporate governance variable as one of the indicators used to make investment decisions in the stock market. Another finding was that the financing policy did not affect the financial performance and the market performance of the public companies.",['Universitas Lampung'],,['FEB6'],disk0/00/02/33/52,8,pub,public,2020-07-24 00:56:31,show,,2020-07-24 00:56:31,archive,23352,2020-07-24 00:56:31,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Similarity Check GCG, Financial Performance, And Market Performance Of Public Companies In Indonesia.pdf', 'docid': 36946, 'files': [{'datasetid': 'document', 'fileid': 213607, 'mime_type': 'application/pdf', 'hash': '58d8a81beb0016623609175923bbdd64', 'filesize': 2608179, 'objectid': 36946, 'uri': 'http://repository.lppm.unila.ac.id/id/file/213607', 'filename': 'Similarity Check GCG, Financial Performance, And Market Performance Of Public Companies In Indonesia.pdf', 'hash_type': 'MD5', 'mtime': '2020-07-23 09:23:04'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36946', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 23352}]",1031,"GCG, Financial Performance, And Market Performance Of Public Companies In Indonesia.",,,"[{'name': {'given': 'Sri', 'honourific': None, 'lineage': None, 'family': 'Hasnawati'}, 'id': 'sri.hasnawati@feb.unila.ac.id'}]",,other,,,,,,USA,Clute Institute,https://www.cluteinstitute.com/clute-international-academic-conferences/,,,,[{'url': 'http://repository.lppm.unila.ac.id/id/eprint/21127'}],,,,,,,
8,,['HD28'],4TH CADJAH MADA INTERNATIONAL CONFERENCE ON ECONOMICS AND BUSINESS 2016,http://repository.lppm.unila.ac.id/id/eprint/40841,2016-10-26 00:00:00.000000000,"Studies relating to business incubator has been widely conducted, but the definition is very diverse. The business incubator concept has been criticized because of its inadequate theory. Previous studies of business incubator indicated that the knowledge of business incubator is not based on theory but only anecdotal. While recent studies of business incubator are more likely to suggest and develop a new theory rather than to strengthening the concept itself. Business incubator also divided into several types: University, Corporate, Government and NGOs. This study has two objectives. First, to fill the gaps of business incubator studies by identifying the role played in the process of developing a new business. Second, this paper aims to answer the question about the exact definition of business incubator. The study conducted among four business incubators in Yogyakarta-Indonesia, such as: University, Government, Corporate and NGO. This study explores the theoretical foundation of the business incubator. By using grounded theoretical approach and case study, the definition of business incubator has been refined. Business incubator can be explained by integrating several theories, such as: transaction cost economics, real option theory, resource-based view, schumpeterian innovation, network theory, business strategy and organizational adaptation. These theoretical approaches result business incubator as multi-dimensional that consisting of seven roles. The seven roles are efficiency, selection, resource, innovation, networking, strategic support and adaptation. These roles made it clear that the definition of the business incubator concept to be more comprehensive, so that there is no difference in the definition of the business incubator concept as well as among types of business incubator, but the difference is only in the dominant role played by the business incubator.",,conference,['FEB6'],disk0/00/04/08/41,10,pub,public,2022-03-31 02:39:10,show,,2022-03-31 02:39:10,archive,40841,2022-03-31 02:39:10,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/162230', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 40841, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': '2016_Prosiding Internasional GAMAICEB artikel.pdf', 'docid': 162230, 'files': [{'datasetid': 'document', 'fileid': 454244, 'hash': '279508c79411ca678b03d22757d94964', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-03-30 23:12:42', 'objectid': 162230, 'filesize': 299382, 'filename': '2016_Prosiding Internasional GAMAICEB artikel.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/454244'}], 'format': 'text'}, {'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': '2016_Prosiding Internasional GAMAICEB artikel.pdf', 'docid': 162231, 'files': [{'mtime': '2022-03-30 23:23:12', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/454250', 'filename': '2016_Prosiding Internasional GAMAICEB artikel.pdf', 'filesize': 823845, 'objectid': 162231, 'hash': '60936ca57f3af5556a5e5339bd4827e2', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 454250}], 'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162231', 'eprintid': 40841, 'placement': 2}]",108,ORGANIZATIONAL SPONSORSHIP: BUSINESS INCUBATOR MODEL AND CONCEPTUAL DEFINITION REFINEMENT,,TRUE,"[{'name': {'given': 'Keumala', 'honourific': None, 'lineage': None, 'family': 'Hayati'}, 'id': 'umi_asra@yahoo.co.id'}, {'id': 'nurulindarti@yahoo.com', 'name': {'given': 'Nurul', 'family': 'indarti', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'given': 'Amin', 'family': 'Wibowo', 'lineage': None, 'honourific': None}}]",paper,conference_item,,,,,,,,,,,,,,,,,,,
9,,['HD28'],,http://repository.lppm.unila.ac.id/id/eprint/49053,1970-01-01 00:00:00.000002016,,,,['FEB6'],disk0_bak/00/04/90/53,8,unpub,restricted,2023-03-21 01:50:46,show,,2023-03-21 01:50:46,archive,49053,2023-03-21 01:50:46,"[{'main': '2016_isi prosiding gamaiceb Turnitin.pdf', 'docid': 188501, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/533389', 'filename': '2016_isi prosiding gamaiceb Turnitin.pdf', 'filesize': 4885468, 'objectid': 188501, 'mtime': '2023-03-20 17:13:30', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '7cd50d6de11031e400ebd68564a2de3a', 'fileid': 533389, 'datasetid': 'document'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 3, 'placement': 1, 'eprintid': 49053, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188501', 'pos': 1, 'security': 'validuser'}]",108,Turnitin Prosiding Gadjah Mada International Conference 2016,,,"[{'id': 'umi_asra@yahoo.co.id', 'name': {'given': 'Keumala', 'honourific': None, 'family': 'Hayati', 'lineage': None}}, {'id': 'nurulindarti@yahoo.com', 'name': {'given': 'Nurul', 'honourific': None, 'lineage': None, 'family': 'indarti'}}, {'id': None, 'name': {'given': 'Amin', 'lineage': None, 'family': 'Wibowo', 'honourific': None}}]",,other,,,,,,,GAMAICEB,,,,,,,,,,,,
