,subjects,date_type,volume,abstract,uri,date,divisions,publisher,publication,dir,related_url,status_changed,issn,full_text_status,ispublished,rev_number,eprint_status,id_number,eprintid,datestamp,pagerange,metadata_visibility,number,userid,documents,lastmod,official_url,type,creators,refereed,title,place_of_pub,corp_creators,contributors,event_type,event_title,event_location,pres_type,event_dates,keywords,referencetext,funders,contact_email,succeeds,monograph_type,pages,isbn,editors,book_title,patent_applicant
0,['H1'],published,1,"Economic growth in Pringsewu Regency from 2016 to 2021 has increased, except for in 2020, it has decreased slightly due to the Covid- 19 pandemic and even caused a decline in economic growth, but in 2021, it has increased again. Seeing the great opportunity in the restaurant business, many people are interested in starting this business, causing competition in the restaurant business to become increasingly stringent. Lesehan D'Bakule has challenges in this business competition in order to get the consumers interested in buying at Lesehan D'Bakule. Lesehan D'Bakule carried out a promotion strategy, namely the promotion mix. This research was conducted to determine the influence of the promotion mix's dimensions on the buying interest of Lesehan D'Bakule consumers in Pringsewu. This research has 5 variables, namely advertising variables, sales promotion variables, public relations variables, personal selling variables, and direct marketing variables. This research uses the non-probably sampling methode, with a sample of 100 respondents who know Lesehan D'Bakule in Pringsewu and are interested in visiting Lesehan D'Bakule in Pringsewu. The results of this study indicate that the variables of advertising, sales promotion, public relations, personal selling, and direct marketing have a significant positive effect on consumer buying interest.",http://repository.lppm.unila.ac.id/id/eprint/49668,2022-12-21 00:00:00.000000000,['FEB6'],Fakultas Ekonomi dan Bisnis Universitas Lampung,"E-journal Field of Economics,   Business, and Entrepreneurship  (EFEBE)",disk0_bak/00/04/96/68,[{'url': 'https://efebe.feb.unila.ac.id/index.php/efebe/article/view/57'}],2023-04-05 05:58:24,2964-5697,public,pub,6,archive,https://doi.org/10.23960/efebe.v1i4.57,49668,2023-04-05 05:58:24,345-352,show,4,238,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189308', 'security': 'public', 'placement': 1, 'eprintid': 49668, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 189308, 'main': 'EFEBE_V1_N4_Hasan+_57+OK.pdf', 'files': [{'mtime': '2023-04-05 05:16:27', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/538392', 'filename': 'EFEBE_V1_N4_Hasan+_57+OK.pdf', 'filesize': 1263751, 'objectid': 189308, 'mime_type': 'application/pdf', 'hash': '7ad58d5abfd8697adabe0248a7c2e117', 'fileid': 538392, 'datasetid': 'document'}], 'format': 'text'}]",2023-04-05 05:58:24,https://efebe.feb.unila.ac.id/index.php/efebe/index,article,"[{'id': 'aida.sari@feb.unila.ac.id', 'name': {'lineage': None, 'family': 'Aida Sari', 'honourific': None, 'given': 'Aida Sari'}}, {'name': {'given': 'Dwi Asri Siti', 'honourific': None, 'family': 'Ambarwati', 'lineage': None}, 'id': 'dwiasrisitiambarwati@gmail.com'}]",TRUE,Pengaruh Promotion Mix terhadap Minat Beli Konsumen D’bakule Di Pringsewu,,,,,,,,,,,,,,,,,,,
1,['H1'],published,1,"Internet-based business applications are a manifestation of the path of information technology development that is utilized by financial institutions, especially banking institutions through mobile banking applications. One of the banks that utilize internet technology in serving its customers is PT Bank Rakyat Indonesia (Persero) Tbk. With BRImo is a mobile application that is used by customers and is quite well known by the people of Indonesia, especially in the city of Bandar Lampung, Indonesia. It is necessary to create usability in the BRImo application so that users can feel satisfied with using the BRImo application and continue to be loyal to making BRImo a mobile banking application that is used daily. This study examines the effect of usability to satisfaction and loyalty. Collecting data using a questionnaire and taking a sample of 100 respondents using a purposive sampling technique. Through descriptive statistical analysis tests, outer models, inner models, and hypothesis testing, the data were examined regressively using SmartPLS. The results show that usability has a positive impact on satisfaction and loyalty respectively and there is an indirect effect between usability and loyalty which is mediated by satisfaction. The limitations of this study are the lack of independent variables and the area which only includes the city of Bandar Lampung so further research is expected to be able to add independent variables that allow and conduct research in other areas.",http://repository.lppm.unila.ac.id/id/eprint/49680,2022-10-29 00:00:00.000000000,['FEB6'],Lighthouse Publishing Company,ASIAN JOURNAL OF ECONOMICS AND BUSINESS MANAGEMENT,disk0_bak/00/04/96/80,,2023-04-05 07:16:36,,public,pub,6,archive,https://doi.org/10.53402/ajebm.v1i3.227,49680,2023-04-05 07:16:36,147-154,show,3,238,"[{'docid': 189320, 'main': '227-Article Text-1191-1447-10-20221126.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/538475', 'filename': '227-Article Text-1191-1447-10-20221126.pdf', 'objectid': 189320, 'filesize': 1729237, 'mtime': '2023-04-05 06:31:53', 'hash_type': 'MD5', 'hash': '82b8da2c3031a5190d51c8aecf7a811f', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 538475}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 49680, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189320', 'security': 'public'}]",2023-04-05 07:16:36,https://www.lighthouse-pub.com/ajebm/article/view/227,article,"[{'name': {'given': 'Aida Sari', 'family': 'Aida Sari', 'lineage': None, 'honourific': None}, 'id': 'aida.sari@feb.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Ambarwati', 'lineage': None, 'given': 'Dwi Asri Siti'}, 'id': 'dwiasrisitiambarwati@gmail.com'}]",TRUE,The effect of usability on satisfaction and its impact on loyalty of BRI mobile users in Bandar Lampung,,,,,,,,,,,,,,,,,,,
2,['H1'],published,2,"The effect of Beauty Vlogger's video on the buyer's interest in buying a beauty product is significant. It means that in this case it's certainly becoming new as one of the innovations in advertising. That is why the Author is interested in discussing the material regarding these conditions. The purpose of writing articles on this issue is to compare and test the validity of Beauty Vlogger's influence as a form of innovation itself as the digital world continues to grow, especially in advertising or endorsement. The author uses quantitative methods in writing this article. Where in this case the author not only presents actual facts, but also in his writing provides accurate data. Research has shown that Beauty Vlogger's significance, personality, appearance, and popularity greatly influenced the public in making decisions about which beauty products to choose.",http://repository.lppm.unila.ac.id/id/eprint/49674,2022-11-21 00:00:00.000000000,['FEB6'],Politeknik Pratama Purwokerto,JURNAL JEBAKU Vol 2 No. 3 (Desember 2022) –,disk0_bak/00/04/96/74,[{'url': 'https://ejurnal.politeknikpratama.ac.id/index.php/jebaku/article/view/688'}],2023-04-05 07:16:11,E-ISSN : 2827-8372 P-ISSN : 2827-8364,public,pub,7,archive,https://doi.org/10.55606/jebaku.v2i3.688,49674,2023-04-05 07:16:11,197-209,show,3,238,"[{'eprintid': 49674, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189315', 'format': 'text', 'docid': 189315, 'main': '197-209+%281%29.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2023-04-05 06:13:57', 'filesize': 1767823, 'objectid': 189315, 'uri': 'http://repository.lppm.unila.ac.id/id/file/538444', 'filename': '197-209+%281%29.pdf', 'fileid': 538444, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '104788ac9481ab34a5ae99cbb6b9e10e'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2023-04-05 07:16:11,https://ejurnal.politeknikpratama.ac.id/index.php/jebaku/index,article,"[{'id': 'aida.sari@feb.unila.ac.id', 'name': {'given': 'Aida Sari', 'honourific': None, 'family': 'Aida Sari', 'lineage': None}}, {'name': {'given': 'Dwi Asri Siti', 'honourific': None, 'lineage': None, 'family': 'Ambarwati'}, 'id': 'dwiasrisitiambarwati@gmail.com'}, {'name': {'given': 'driya', 'lineage': None, 'family': 'wiryawan', 'honourific': None}, 'id': 'driyawiryawan@gmail.com'}]",TRUE,PENGARUH BEAUTY VLOGGER TERHADAP KEPUTUSAN PEMBELIAN PRODUK KECANTIKAN OLEH KONSUMEN GEN Y DAN GEN Z,,,,,,,,,,,,,,,,,,,
3,['HG'],published,,"Penelitian ini menguji pengaruh literasi keuangan terhadap investasi aset 
berisiko rendah dengan membandingkan individu ke dalam beberapa aspek 
demografi yaitu jenis kelamin, usia, tingkat pendapatan, status perkawinan, 
dan tingkat pendidikan. Pengambilan sampel menggunakan teknik probability 
sampling dengan jumlah responden sebanyak 110 orang nasabah tabungan 
emas dari sebuah perusahaan keuangan non bank. Hasil Penelitian 
menunjukkan bahwa literasi keuangan berpengaruh terhadap keputusan 
investasi aset berisiko rendah. Pengaruh literasi keuangan terhadap keputusan 
investasi aset berisiko rendah diuji pada dua kelompok sampel demografi. 
Hasil penelitian menunjukkan bahwa pengaruh literasi keuangan terhadap 
keputusan investasi aset berisiko rendah lebih kuat pada kelompok individu 
berjenis kelamin perempuan, kelompok individu berpendapatan rendah, dan 
kelompok individu yang sudah menikah. Pengaruh literasi keuangan yang 
lebih kuat terhadap keputusan investasi aset berisiko rendah gagal ditemukan 
pada kelompok individu berpendidikan rendah dan kelompok individu berusia 
tua.",http://repository.lppm.unila.ac.id/id/eprint/47743,2022-11-09 00:00:00.000000000,['FEB6'],Fakultas Ekonomi Dan Bisnis Universitas Lampung,,disk0_bak/00/04/77/43,"[{'type': 'pub', 'url': 'http://jurnal.feb.unila.ac.id/index.php/jbm'}]",2023-01-12 04:06:42,,public,pub,8,archive,https://doi.org/10.23960/jbm.v18i3,47743,2023-01-12 04:06:42,,show,,667,"[{'eprintid': 47743, 'placement': 1, 'security': 'public', 'formatdesc': 'CEK PLAGIARISME ARTIKEL', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186844', 'pos': 1, 'format': 'other', 'main': '#2021(~1.PDF', 'docid': 186844, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/522783', 'filename': '#2021(~1.PDF', 'objectid': 186844, 'filesize': 284884, 'mtime': '2023-01-12 03:49:43', 'hash_type': 'MD5', 'hash': 'fbf71f8a32638a33dadda55b2c8b471e', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 522783}], 'content': 'other', 'language': 'en', 'rev_number': 3, 'mime_type': 'application/pdf'}]",2023-01-12 04:06:42,http://jurnal.feb.unila.ac.id/index.php/jbm,other,"[{'name': {'given': 'Shofia', 'family': 'Ainunnisa', 'lineage': None, 'honourific': None}, 'id': 'shofiaainunnisa01@gmail.com1'}, {'name': {'given': 'Ernie', 'honourific': None, 'family': 'Hendrawaty', 'lineage': None}, 'id': 'ernie.hendrawaty@feb.unila.ac.id'}]",,"CEK PLAGIARISME ARTIKEL: Literasi Keuangan, Perbedaan Demografi, dan Keputusan Investasi Aset Berisiko Rendah",Univeritas Lampung,,,,,,,,,,,,,,,,,,
4,['HG'],published,18,"Penelitian ini menguji pengaruh literasi keuangan terhadap investasi aset berisiko rendah  dengan  membandingkan  individu  ke  dalam  beberapa  aspek  demografiyaitu  jenis  kelamin,  usia,  tingkat  pendapatan,  status  perkawinan,  dan  tingkat pendidikan. Pengambilan  sampel  menggunakan teknik probability  samplingdengan  jumlah responden sebanyak  110 orangnasabah tabungan  emas  dari sebuah  perusahaan  keuangan  non  bank.  Hasil  Penelitian  menunjukkan  bahwa literasi keuangan berpengaruh terhadap keputusan investasi aset berisiko rendah. Pengaruh  literasi  keuangan  terhadap keputusan  investasi  aset  berisiko  rendah diuji pada duakelompok sampel demografi. Hasilpenelitian menunjukkanbahwa pengaruh  literasi  keuangan  terhadap  keputusan  investasi  aset  berisiko  rendah lebih  kuat  pada kelompok individu  berjenis  kelamin  perempuan,kelompok individu berpendapatan  rendah,  dan kelompok individu  yang  sudah  menikah. Pengaruh  literasi  keuangan yang  lebih  kuat terhadap  keputusan  investasi  aset berisiko rendah gagal ditemukan pada kelompokindividu berpendidikan rendah dan kelompokindividu berusia tua.",http://repository.lppm.unila.ac.id/id/eprint/42348,2022-01-01 00:00:00.000000000,['FEB6'],Jurusan Manajemen Fakultas Ekonomi dan Bisnis Universitas Lampung,Jurnal Bisnis dan Manajemen,disk0/00/04/23/48,,2022-06-12 11:47:36,1411-9366,public,pub,8,archive,,42348,2022-06-12 11:47:36,88-98,show,2,667,"[{'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/465833', 'filename': 'document.pdf', 'filesize': 260655, 'objectid': 164061, 'mtime': '2022-06-11 13:36:29', 'hash_type': 'MD5', 'hash': '6a744252730e1221d77308cb7b9f5d6a', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 465833}], 'main': 'document.pdf', 'docid': 164061, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 42348, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164061', 'pos': 1, 'security': 'public'}]",2022-06-12 11:47:36,,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Ainunnisa', 'given': 'Shofia'}, 'id': 'shofiaainunnisa01@gmail.com1'}, {'name': {'honourific': None, 'family': 'Hendrawaty', 'lineage': None, 'given': 'Ernie'}, 'id': 'ernie.hendrawaty@feb.unila.ac.id'}]",TRUE,"LITERASI KEUANGAN, PERBEDAAN DEMOGRAFI, DAN KEPUTUSAN INVESTASI ASET BERISIKO RENDAH",,,,,,,,,,,,,,,,,,,
5,"['H1', 'HF']",published,11,"Saat ini. konsumen di dunia sangat memperhatikan dampak dari pemanfaatan produk terhadap lingkungan. Oleh karena itu, mereka membeli produk yang aman untuk alasan ini. Kondisi ini menjadi peluang bagi perusahaan untuk menciptakan merek di benak konsumen sehingga mereka dapat memasarkan produk tersebut secara efektif. Meskipun merek lokal yang berlabel green product di Indonesia cukup banyak, namun kecenderungan konsumen untuk menggunakan produk tersebut tidak sebesar di negara lain. Berdasarkan isu tersebut, penelitian ini bermaksud mengungkap alasan niat masyarakat Indonesia di Bandar Lampung untuk membeli produk perawatan kulit dengan
menguji beberapa faktor penentu: kesadaran diri masyarakat, kebanggaan, rasa bersalah, dan kesadaran. Untuk itu, kami menggunakan survei berdasarkan 240 tanggapan dan menganalisisnya dengan model persamaan struktural berdasarkan kovarians untuk mencapai tujuan ini. Studi ini mengungkapkan niat ini dipengaruhi oleh kesadaran diri
publik, kebanggaan, dan rasa bersalah secara positif. Pengaruh positif ini terjadi ketika peneliti memeriksa dampak perasaan bangga dan perhatian terhadap kesadaran diri atas publik.",http://repository.lppm.unila.ac.id/id/eprint/47120,2022-06-01 00:00:00.000000000,['FEB6'],FEB Universitas Jambi,Jurnal ManajemenTerapan dan Keuangan,disk0/00/04/71/20,,2022-12-02 03:47:59,2685-9424,public,pub,7,archive,,47120,2022-12-02 03:47:59,500-510,show,2,59,"[{'docid': 186062, 'main': '18782-Article Text-53369-1-10-20220617.pdf', 'files': [{'objectid': 186062, 'filesize': 401540, 'filename': '18782-Article Text-53369-1-10-20220617.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/517628', 'hash_type': 'MD5', 'mtime': '2022-12-02 03:38:35', 'fileid': 517628, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '907d2498e0dea4d774923fd5dedf9536'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 47120, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186062', 'security': 'public'}]",2022-12-02 03:47:59,https://online-journal.unja.ac.id/mankeu/index,article,"[{'id': 'dwiasrisitiambarwati@gmail.com', 'name': {'given': 'Dwi Asri Siti', 'honourific': None, 'family': 'Ambarwati', 'lineage': None}}, {'id': 'dorothy_rouly@yahoo.com', 'name': {'honourific': None, 'family': 'Pandjaitan', 'lineage': None, 'given': 'Dorothy Rouly H.'}}, {'name': {'family': 'Panuju', 'lineage': None, 'honourific': None, 'given': 'Yahya'}, 'id': 'achmad.yahya@eng.unila.ac.id'}]",TRUE,"Niat Pembelian Green Product: Peran Kesadaran Diri Masyarakat, Kebanggan, Rasa Bersalah dan Kesadaran Penuh",,,,,,,,,,,,,,,,,,,
6,['H1'],published,197,"Natural Gas production and distribution network plans are one of the most common ways to
increase energy consumption efficiency. Due to the uncertainty of the economic parameters, the economic
justification of this system is very difficult. In this research, the economic risk of investing in urban gas
distribution systems has been done with the analytical hierarchy process (AHP). With the development
and condensation of urban gas supply networks, accidents caused by gas leaks and other external factors
have also increased. Therefore, in recent years, the issue of safety and risk analysis of urban gas networks
has received special attention from responsible companies and other urban and safety experts. Gas
distribution lines often pass in the vicinity of crowded areas and buildings, so any accident for these lines
will lead to a lot of human and financial losses. In the present study, in order to improve the gas supply
situation and reduce the risk of failure in Indonesia, urban gas pipelines have been studied to reduce
the costs. In this paper, multi-criteria decision making method analysis is used to identify and evaluate
the hazards of urban gas pipelines and the risk of occurrence of each hazard is calculated. There was a
meaningful relationship based on economic-financial theories between economic factors and investment
risk in the gas industry, which emphasizes the greater and more significant effect of exchange rate,
failures and inflation rate variables in comparison with other research variables in the matter of controlling
investment risk in the gas industry. The effects of changes in energy prices and the economic environment in explaining the behavior of investment risk in this industry have placed the next level of importance. The
results showed that with the increase in energy prices, the economics of gas production and distribution
risk management plans have improved and the regular trend of energy price increases can guarantee the
profitability of fuel consumption optimization plans",http://repository.lppm.unila.ac.id/id/eprint/51135,2022-06-01 00:00:00.000000000,['FEB6'],Institute of Society Transformation,ECONOMIC ANNALS-XXI,disk0_bak/00/05/11/35,,2023-05-08 02:04:06,1728-6220,public,pub,7,archive,,51135,2023-05-08 02:04:06,10-16,show,5-7,588,"[{'files': [{'hash_type': 'MD5', 'mtime': '2023-05-06 06:14:51', 'filesize': 555533, 'objectid': 190853, 'filename': 'Artikel di Economic Annals-XXI 2022_compressed (1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/549677', 'datasetid': 'document', 'fileid': 549677, 'hash': '63d6804431e15782cfc2a74169ff248b', 'mime_type': 'application/pdf'}], 'main': 'Artikel di Economic Annals-XXI 2022_compressed (1).pdf', 'docid': 190853, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 51135, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190853', 'security': 'public'}]",2023-05-08 02:04:06,http://ea21journal.world/index.php/ea-v197-02/,article,"[{'name': {'given': 'Anna', 'family': 'Anna Gustina Zainal', 'lineage': None, 'honourific': None}, 'id': 'anna.gustina@fisip.unila.ac.id'}, {'id': 'habibullah.jimad@gmail.com,', 'name': {'lineage': None, 'family': 'Jimad', 'honourific': None, 'given': 'Habibullah'}}, {'name': {'given': 'Rudy', 'family': 'Rudy', 'lineage': None, 'honourific': None}, 'id': 'rudy.1981@fh.unila.ac.id'}, {'name': {'family': 'Suciska', 'lineage': None, 'honourific': None, 'given': 'Wulan'}, 'id': 'wulansuciska@yahoo.co.id'}, {'id': 'gita.djausal@fisip.unila.ac.id', 'name': {'given': 'Gita Paramita', 'honourific': None, 'family': 'Djausal', 'lineage': None}}]",TRUE,"Economic analysis and investment
in fuel industry considering risk management
by analytical hierarchy process",,,,,,,,,,,,,,,,,,,
7,['HD28'],published,2,"Purpose: This study seeks to determine the influence of job satisfaction and work engagement on PT Golden Sari Lampung employees' performance. In principle, every company always expects its employees to work optimally to increase profits and help accelerate the achievement of other organizational goals. Someone with a high work engagement will tend to show the best performance because they enjoy their work. Employees who have an attachment to their work will certainly show enthusiasm and dedication and fully concentrate on work so that employees can show their best performance in doing their job.

Research methodology: This study's data collection method used a Likert scale questionnaire. The sample used in this study was 150 respondents. The data analysis tool used is multiple linear regression analysis, t-test, and f-test.

Results: This study's results indicate that job satisfaction positively affects performance, and work engagement positively affects performance.

Limitations: The factors that affect employee performance used in this study are only the variables of job satisfaction and work engagement. At the same time, many other variables can be factors that affect the performance of employees of a company.

Contribution: The company should be open to every aspiration conveyed by employees and provide opportunities for them to express opinions in decision-making. It is done so that employees feel more influence over what happens to the company. In addition, the management of PT Golden Sari Lampung should foster a sense of kinship and emotion toward the company so that employees feel comfortable and full of concentration in every job.",http://repository.lppm.unila.ac.id/id/eprint/49013,1970-01-01 00:00:00.000002022,['FEB6'],Goodwood,"Reviu Akuntansi, Manajemen, dan Bisnis",disk0_bak/00/04/90/13,,2023-03-20 02:03:05,2797-958X,public,pub,10,archive,,49013,2023-03-20 02:03:05,67-77,show,1,108,"[{'main': '2022_Artikel Syarif.pdf', 'files': [{'objectid': 188466, 'filesize': 948924, 'filename': '2022_Artikel Syarif.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/533118', 'hash_type': 'MD5', 'mtime': '2023-03-18 20:16:54', 'fileid': 533118, 'datasetid': 'document', 'hash': '62199927cc5bc2574e0a62e03bf270a6', 'mime_type': 'application/pdf'}], 'docid': 188466, 'format': 'text', 'language': 'id', 'rev_number': 2, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 49013, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188466', 'security': 'public'}]",2023-03-20 02:03:05,https://penerbitgoodwood.com/index.php/rambis/article/view/1497,article,"[{'name': {'honourific': None, 'family': 'Attamimi', 'lineage': None, 'given': 'Syarif Khalid'}, 'id': None}, {'name': {'given': 'Keumala', 'honourific': None, 'lineage': None, 'family': 'Hayati'}, 'id': 'umi_asra@yahoo.co.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Karim', 'given': 'Mirwan'}, 'id': 'mirwan_karim@yahoo.com'}]",TRUE,Pengaruh Kepuasan Kerja dan Keterikatan Kerja Terhadap Kinerja Karyawan,,,,,,,,,,,,,,,,,,,
8,['HD28'],,,,http://repository.lppm.unila.ac.id/id/eprint/49107,1970-01-01 00:00:00.000002022,['FEB6'],Penerbit Goodwood,,disk0_bak/00/04/91/07,,2023-03-24 01:28:20,,restricted,pub,8,archive,10.35912/rambis.v2i1.1497,49107,2023-03-24 01:28:20,,show,,108,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/188552', 'pos': 1, 'security': 'validuser', 'formatdesc': 'Turnitin', 'placement': 1, 'eprintid': 49107, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'main': '2022_Turnitin Syarif.pdf', 'files': [{'datasetid': 'document', 'fileid': 533834, 'hash': 'd1bfaf3f68a00c53e4bfcfba3692c4b0', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-03-21 14:59:37', 'filesize': 2540712, 'objectid': 188552, 'uri': 'http://repository.lppm.unila.ac.id/id/file/533834', 'filename': '2022_Turnitin Syarif.pdf'}], 'docid': 188552, 'format': 'text'}]",2023-03-24 01:28:20,https://penerbitgoodwood.com/index.php/rambis/article/download/1497/366,other,"[{'name': {'given': 'Syarif Khalid', 'honourific': None, 'family': 'Attamimi', 'lineage': None}, 'id': None}, {'name': {'given': 'Keumala', 'honourific': None, 'family': 'Hayati', 'lineage': None}, 'id': 'umi_asra@yahoo.co.id'}, {'id': None, 'name': {'given': 'Mirwan', 'honourific': None, 'lineage': None, 'family': 'Karim'}}]",,"Turnitin Artikel ""pengaruh kepuasan kerja dan keterikatan kerja terhadap kinerja karyawan""",,,,,,,,,,,,,,,,,,,
9,['S1'],published,,"Abstract. The image of environmentally friendly products is often seen as bad, consumer doubt that environmentally friendly products are really made with environmentally friendly raw materials. This attitude is known as consumer skepticism (doubt) towards products with an environmentally friendly label. Consumer skepticism occurs because product advertisements contain confusing information as well as consumer insecurity about the raw material for products that the company claims are environmentally friendly. The aims of this study aims 28 to determine the effect of consumer skepticism on green purchase intention
theoretical	to consumer behavior control and attitude, perceived value and environmental consciousness associated with consumer intentions to buy green products in Bandar Lampung. The study was conducted on April until June 2020. The sample in this research were consumers who had been buying green product. The research sample was calculated using the Lemeshow method, with a margin of error of 5%, the minimum number 15 of samples was 236 samples. The analysis tool used is regression model. The results of this 2 are reduction of consumer 24 about the intention to buy
Perceptions to promote green products. Meanwhile,
environmental awareness will increase on tintention value
implication	is that companies must pay attention to
communication about green products that are produced so as to reduce consumer doubt. Another impact if consumers consume green products will lead to environmentally friendly perceptions and attitudes.",http://repository.lppm.unila.ac.id/id/eprint/49154,2022-10-27 00:00:00.000000000,['FEB6'],IOP Conference Series: Earth and Environmental Science,,disk0_bak/00/04/91/54,[{'url': 'https://iopscience.iop.org/article/10.1088/1755-1315/1027/1/012037/meta'}],2023-03-24 01:30:21,,public,pub,9,archive,https://iopscience.iop.org/article/10.1088/1755-1315/1027/1/012037,49154,2023-03-24 01:30:21,,show,,131,"[{'placement': 1, 'eprintid': 49154, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188597', 'security': 'public', 'main': 'Effect of Consumer Skepticism on Consumer Intention in Purchasing Green Product, Serial 1755-1315.pd.pdf', 'files': [{'filename': 'Effect of Consumer Skepticism on Consumer Intention in Purchasing Green Product, Serial 1755-1315.pd.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/534128', 'filesize': 394858, 'objectid': 188597, 'mtime': '2023-03-23 01:44:16', 'hash_type': 'MD5', 'hash': 'fd0d756e57bbb506fe02a7dd468a07e6', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 534128}], 'docid': 188597, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2023-03-24 01:30:21,https://iopscience.iop.org/article/10.1088/1755-1315/1027/1/012037/pdf,other,"[{'name': {'given': 'Rinaldi', 'honourific': None, 'lineage': None, 'family': 'Bursan'}, 'id': None}, {'name': {'honourific': None, 'family': 'wiryawan', 'lineage': None, 'given': 'driya'}, 'id': 'driyawiryawan@gmail.com'}, {'id': 'habibullah.jimad@gmail.com,', 'name': {'given': 'Habibullah', 'honourific': None, 'family': 'Jimad', 'lineage': None}}, {'id': 'indahlistiana@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Listiana', 'given': 'Indah'}}, {'name': {'family': 'riantini', 'lineage': None, 'honourific': None, 'given': 'maya'}, 'id': 'mayaunila@yahoo.com'}, {'id': 'helviyanfika@yahoo.co.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Yanfika', 'given': 'Helvi'}}, {'name': {'given': 'diana', 'lineage': None, 'family': 'widyastuti', 'honourific': None}, 'id': 'radianawidyastuti@yahoo.co.id'}, {'name': {'given': 'Abdul', 'lineage': None, 'family': 'Mutholib', 'honourific': None}, 'id': 'amutholib24@yahoo.com'}, {'id': 'dinaarini24@gmail.com', 'name': {'given': 'Dina Arini', 'family': 'Adipathy', 'lineage': None, 'honourific': None}}]",,SIMILARITY Effect of Consumer Skepticism on Consumer Intention in Purchasing Green Product,,,,,,,,,,,,,,,,,,,
