,monograph_type,subjects,abstract,uri,date,divisions,publisher,dir,status_changed,full_text_status,ispublished,rev_number,eprint_status,eprintid,datestamp,metadata_visibility,userid,documents,lastmod,creators,type,title,book_title,refereed,publication,isbn,pagerange,pages,place_of_pub,institution,event_type,event_title,event_dates,pres_type,event_location
0,documentation,['K1'],Penialian Sejawat Sebidang atau Peer Review,http://repository.lppm.unila.ac.id/id/eprint/27887,1970-01-01 00:00:00.000002014,['FH1'],Justice Publisher Badan Penerbitan Fakultas Hukum Universitas Lampung,disk0/00/02/78/87,2021-02-15 08:12:43,public,pub,7,archive,27887,2021-02-15 08:12:43,show,324,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Review Yus Lembaga.pdf', 'docid': 41867, 'files': [{'mime_type': 'application/pdf', 'hash': 'acfa8d676b04f9ac39cc050d3fbf1501', 'fileid': 248516, 'datasetid': 'document', 'mtime': '2021-02-15 07:43:53', 'hash_type': 'MD5', 'filename': 'Review Yus Lembaga.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/248516', 'objectid': 41867, 'filesize': 139261}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41867', 'security': 'public', 'placement': 1, 'eprintid': 27887}]",2021-02-15 08:12:43,"[{'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",monograph,Lembaga Adat Sekala Brak Perlibatan Masyarakat Adat,,,,,,,,,,,,,
1,,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,http://repository.lppm.unila.ac.id/id/eprint/33055,1970-01-01 00:00:00.000002014,['FH1'],Justice Publisher Badan Penerbitan Fakultas Hukum Universitas Lampung,disk0/00/03/30/55,2021-07-05 01:11:48,public,pub,7,archive,33055,2021-07-05 01:11:48,show,324,"[{'format': 'text', 'docid': 150807, 'main': 'Review Yus Lembaga.pdf', 'files': [{'datasetid': 'document', 'fileid': 391485, 'mime_type': 'application/pdf', 'hash': '6861938e249745d9e92493969eed1741', 'hash_type': 'MD5', 'mtime': '2021-07-02 08:23:41', 'filesize': 319163, 'objectid': 150807, 'uri': 'http://repository.lppm.unila.ac.id/id/file/391485', 'filename': 'Review Yus Lembaga.pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 33055, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/150807'}]",2021-07-05 01:11:48,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]",book_section,Lembaga Adat Sekala Brak Perlibatan Masyarakat Adat dalam Pembentukan Peraturan Pekon,Lembaga Adat Sekala Brak Perlibatan Masyarakat Adat dalam Pembentukan Peraturan Pekon,FALSE,,,,,,,,,,,
2,,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,http://repository.lppm.unila.ac.id/id/eprint/28878,1970-01-01 00:00:00.000002014,['FH1'],Pusat Penelitian dan Pengabdian Msyarakat (P3M) STAIN Jurai Siwo Metro.,disk0/00/02/88/78,2021-04-06 06:35:26,public,pub,6,archive,28878,2021-04-06 06:35:26,show,955,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42971', 'pos': 1, 'eprintid': 28878, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 42971, 'main': 'Nilai Islam.pdf', 'files': [{'mtime': '2021-04-06 02:45:05', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/256255', 'filename': 'Nilai Islam.pdf', 'objectid': 42971, 'filesize': 590963, 'hash': 'ac059a8024fc53a657247d2fd3d42791', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 256255}]}]",2021-04-06 06:35:26,"[{'name': {'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>'}]",article,"Nilai Islam Dalam Upaya Penanggulangan Pencemaran Lingkungan Hidup (Studi Kasus Penaggulangan Pencemaran Sungai Musi Oleh Pertamina Refinery Unit III Plaju, Palembang)",,FALSE,Jurnal Akademika Jurnal Pemikiran Islam Sekolah Tinggi Agama Islam Negeri (STAIN) Jurai Siwo Metro Lampung,,,,,,,,,,
3,,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/30745,1970-01-01 00:00:00.000002014,['FH1'],Justice Publisher Badan Penerbitan FH Unila,disk0/00/03/07/45,2021-05-27 02:30:52,public,pub,7,archive,30745,2021-05-27 02:30:52,show,836,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 138672, 'main': 'buku PENEG TPK-eddy rifai.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'bc50c086d405c4a61d7bcec3676ca702', 'datasetid': 'document', 'fileid': 364643, 'mtime': '2021-05-25 05:58:57', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/364643', 'filename': 'buku PENEG TPK-eddy rifai.pdf', 'objectid': 138672, 'filesize': 1065901}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/138672', 'eprintid': 30745, 'placement': 1}]",2021-05-27 02:30:52,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}}]",book_section,Penegakan Hukum Tindak Pidana Korupsi,Penegakan Hukum Tindak Pidana Korupsi,FALSE,,978-602-1071-26-7,,,,,,,,,
4,,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,http://repository.lppm.unila.ac.id/id/eprint/30762,1970-01-01 00:00:00.000002014,['FH1'],Justice Publisher Badan Penerbitan FH Unila,disk0/00/03/07/62,2021-05-27 02:31:53,public,pub,7,archive,30762,2021-05-27 02:31:53,show,836,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/138741', 'security': 'public', 'placement': 1, 'eprintid': 30762, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Penegakan Hukum TPK.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/364797', 'filename': 'Penegakan Hukum TPK.pdf', 'filesize': 492550, 'objectid': 138741, 'mtime': '2021-05-25 07:00:52', 'hash_type': 'MD5', 'hash': '68c1a21b28c9cda396c4e02653c74696', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 364797}], 'docid': 138741, 'format': 'text'}]",2021-05-27 02:31:53,"[{'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",book_section,Penegakan Hukum Tindak Pidana Korupsi,Penegakan Hukum Tindak Pidana Korupsi,FALSE,,,,,,,,,,,
5,,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/28274,2014-02-01 00:00:00.000000000,['FH1'],Fakultas Hukum Universitas Gadjah Mada,disk0/00/02/82/74,2021-03-09 02:47:22,public,pub,6,archive,28274,2021-03-09 02:47:22,show,836,"[{'placement': 1, 'eprintid': 28274, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42320', 'security': 'public', 'docid': 42320, 'main': 'Persepektif Pertanggungjwbn.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/251492', 'filename': 'Persepektif Pertanggungjwbn.pdf', 'filesize': 548874, 'objectid': 42320, 'mtime': '2021-03-08 09:34:13', 'hash_type': 'MD5', 'hash': 'c1970bea374b84628433d6e2f4339a3c', 'mime_type': 'application/pdf', 'fileid': 251492, 'datasetid': 'document'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2021-03-09 02:47:22,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]",article,Perspektif Pertanggungjawaban Pidana Korporasi sebagai Pelaku Tindak Pidana Korupsi,,TRUE,Jurnal Mimbar Hukum,,84-97,,,,,,,,
6,,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,http://repository.lppm.unila.ac.id/id/eprint/28817,2014-02-01 00:00:00.000000000,['FH1'],Fakultas Hukum Universitas Gadjah Mada,disk0/00/02/88/17,2021-04-01 02:00:40,public,pub,6,archive,28817,2021-04-01 02:00:40,show,836,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42910', 'eprintid': 28817, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Perspektif Pertanggungjawaban.pdf', 'docid': 42910, 'files': [{'filename': 'Perspektif Pertanggungjawaban.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/255677', 'objectid': 42910, 'filesize': 608652, 'mtime': '2021-04-01 01:48:47', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '9fb3c5f50faa96efb562708e6674174a', 'fileid': 255677, 'datasetid': 'document'}]}]",2021-04-01 02:00:40,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None}}]",article,Perspektif Pertanggungjawaban Pidana Korporasi sebagai Pelaku Tindak Pidana Korupsi,,FALSE,Mimbar Hukum,,,,,,,,,,
7,,['K1'],Hasil Penilaian Sejawat Sebidang atau Peer Review,http://repository.lppm.unila.ac.id/id/eprint/40061,1970-01-01 00:00:00.000002014,['FH1'],Justice Publisher,disk0/00/04/00/61,2022-03-10 04:22:59,public,pub,7,archive,40061,2022-03-10 04:22:59,show,786,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/161356', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 40061, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 161356, 'main': 'HUKUM.pdf', 'files': [{'filesize': 788585, 'objectid': 161356, 'filename': 'HUKUM.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/448076', 'hash_type': 'MD5', 'mtime': '2022-03-10 03:11:19', 'datasetid': 'document', 'fileid': 448076, 'hash': '2caf748fcd15c16deb931c016d478afb', 'mime_type': 'application/pdf'}], 'format': 'text'}]",2022-03-10 04:22:59,"[{'name': {'family': 'Nunung Rodliyah', 'lineage': None, 'honourific': None, 'given': 'Nunung'}}]",book_section,Hukum Ekonomi Islam (Tinjauan Yuridis Surat Hutang Berbasis Syariah dengan Sistem Mudharabah),Hukum Ekonomi Islam (Tinjauan Yuridis Surat Hutang Berbasis Syariah dengan Sistem Mudharabah),FALSE,,,,,,,,,,,
8,,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/40076,1970-01-01 00:00:00.000002014,['FH1'],Justice Publisher,disk0/00/04/00/76,2022-03-10 04:23:33,public,pub,7,archive,40076,2022-03-10 04:23:33,show,786,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/161370', 'pos': 1, 'eprintid': 40076, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2022-03-10 04:06:02', 'filesize': 1115902, 'objectid': 161370, 'filename': 'Hukum Ekonomi Islam (Tinjauan Yuridis Surat Hutang Berbasis Syariah dengan Sistem Mudharabah).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/448166', 'fileid': 448166, 'datasetid': 'document', 'hash': '0ab33ddf3d6ed7450c3c6cc042d7eaa8', 'mime_type': 'application/pdf'}], 'main': 'Hukum Ekonomi Islam (Tinjauan Yuridis Surat Hutang Berbasis Syariah dengan Sistem Mudharabah).pdf', 'docid': 161370}]",2022-03-10 04:23:33,"[{'name': {'honourific': None, 'family': 'Nunung Rodliyah', 'lineage': None, 'given': 'Nunung'}}]",book_section,Hukum Ekonomi Islam (Tinjauan Yuridis Surat Hutang Berbasis Syariah dengan Sistem Mudharabah),Hukum Ekonomi Islam (Tinjauan Yuridis Surat Hutang Berbasis Syariah dengan Sistem Mudharabah),FALSE,,,,,,,,,,,
9,,['K1'],,http://repository.lppm.unila.ac.id/id/eprint/17436,2014-09-01 00:00:00.000000000,['FH1'],Indefth Publishing,disk0/00/01/74/36,2020-01-14 01:25:21,public,pub,9,archive,17436,2020-01-14 01:24:38,show,697,"[{'format': 'text', 'main': 'Rudi Natamiharja dari oedin ke oedin.pdf', 'docid': 30561, 'files': [{'filename': 'Rudi Natamiharja dari oedin ke oedin.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147504', 'objectid': 30561, 'filesize': 2545034, 'mtime': '2019-12-30 01:20:40', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '3ad096e06c398f3ae7e61dfc57486f2f', 'fileid': 147504, 'datasetid': 'document'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 17436, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30561'}]",2020-01-14 01:25:21,"[{'name': {'given': 'Rudi Natamiharja', 'lineage': None, 'family': 'Rudi Natamiharja', 'honourific': None}, 'id': 'rudi.natamiharja@unila.fh.ac.id'}]",book_section,Langkah Lampung Meningkatkan Kerjasama Luar Negeri,Kado 100 Hari Pemerintah,FALSE,,978-602-1534-38-0,132-134,,,,,,,,
