,metadata_visibility,eprint_status,eprintid,datestamp,documents,lastmod,userid,refereed,title,type,creators,subjects,uri,date,abstract,divisions,publisher,publication,dir,ispublished,rev_number,status_changed,full_text_status,pagerange,id_number,patent_applicant,date_type,book_title,isbn,pages,place_of_pub,monograph_type,institution,event_location,pres_type,event_dates,event_title,event_type,number,issn,volume,contact_email,official_url,funders,related_url,projects,corp_creators
0,show,archive,28461,2021-03-18 07:10:50,"[{'eprintid': 28461, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42509', 'pos': 1, 'format': 'text', 'main': 'DIVERSITY_OF_EXISTENTIALISM_THEORY___PATTERNS_AND.pdf', 'docid': 42509, 'files': [{'fileid': 252829, 'datasetid': 'document', 'hash': '7691a5b30e7afe23cd328edd9ab97134', 'mime_type': 'application/pdf', 'objectid': 42509, 'filesize': 2139422, 'uri': 'http://repository.lppm.unila.ac.id/id/file/252829', 'filename': 'DIVERSITY_OF_EXISTENTIALISM_THEORY___PATTERNS_AND.pdf', 'hash_type': 'MD5', 'mtime': '2021-03-18 04:42:46'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2021-03-18 07:10:50,1065,FALSE,"Diversity of Existentialism Theory, Patterns and Its Reflection In Jurisprudence",article,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/28461,2015-08-01 00:00:00.000000000,Hasil Check Similarity,['FH1'],KLIBEL,"South East Asia Journal of Business, Ekonomics and Law",disk0/00/02/84/61,pub,6,2021-03-18 07:10:50,public,,,,,,,,,,,,,,,,,,,,,,,,
1,show,archive,28462,2021-03-18 07:10:52,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42510', 'eprintid': 28462, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Diversity.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '01e602a7c8d3db107e5b5ec24574018f', 'fileid': 252835, 'datasetid': 'document', 'filename': 'Diversity.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/252835', 'objectid': 42510, 'filesize': 744507, 'mtime': '2021-03-18 04:59:58', 'hash_type': 'MD5'}], 'docid': 42510}]",2021-03-18 07:10:52,1065,FALSE,"Diversity of Existentialism Theory, Patterns and Its Reflection In Jurisprudence",article,"[{'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/28462,2015-08-01 00:00:00.000000000,,['FH1'],KLIBEL,"South East Asia Journal of Business, Ekonomics and Law",disk0/00/02/84/62,pub,6,2021-03-18 07:10:52,public,78-84,,,,,,,,,,,,,,,,,,,,,,,
2,show,archive,28694,2021-03-29 09:04:25,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 42749, 'main': 'Reviewer Diversity of.pdf', 'files': [{'filename': 'Reviewer Diversity of.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/254576', 'filesize': 277817, 'objectid': 42749, 'mtime': '2021-03-29 08:49:44', 'hash_type': 'MD5', 'hash': '42ad321d29e65458ed0c31861c3a9a27', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 254576}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42749', 'pos': 1, 'eprintid': 28694, 'placement': 1}]",2021-03-29 09:04:25,1065,FALSE,"Diversity of Existentialism Theory, Patterns and Its Reflection In Jurisprudence",article,"[{'name': {'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/28694,2015-08-01 00:00:00.000000000,Hasil Penilaian Sejawat Sebidang atau Peer Review,['FH1'],KLIBEL,"South East Asia Journal of Business, Ekonomics and Law",disk0/00/02/86/94,pub,6,2021-03-29 09:04:25,public,78-84,,,,,,,,,,,,,,,,,,,,,,,
3,show,archive,39760,2022-02-23 07:25:37,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'DIVERSITY.pdf', 'files': [{'datasetid': 'document', 'fileid': 445885, 'mime_type': 'application/pdf', 'hash': '7db3cc5765802d84696ceb9622527d7f', 'hash_type': 'MD5', 'mtime': '2022-02-23 03:49:22', 'filesize': 663626, 'objectid': 161036, 'uri': 'http://repository.lppm.unila.ac.id/id/file/445885', 'filename': 'DIVERSITY.pdf'}], 'docid': 161036, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161036', 'eprintid': 39760, 'placement': 1}]",2022-02-23 07:25:37,1065,FALSE,"Diversity of Existentialism Theory, Patterns and Its Reflection In Jurisprudence",article,"[{'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/39760,1970-01-01 00:00:00.000002015,Hasil Penilaian Sejawat Sebidang atau Peer Review,['FH1'],KLIBEL,"South East Asia Journal of Business, Ekonomics and Law",disk0/00/03/97/60,pub,6,2022-02-23 07:25:37,public,,,,,,,,,,,,,,,,,,,,,,,,
4,show,archive,28707,2021-03-31 01:36:23,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/254685', 'filename': 'sertifikat_EC00201854001.pdf', 'filesize': 768445, 'objectid': 42761, 'mtime': '2021-03-30 04:12:29', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '03f44c062f7fb7263dfea1a68baa3417', 'datasetid': 'document', 'fileid': 254685}], 'main': 'sertifikat_EC00201854001.pdf', 'docid': 42761, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42761', 'pos': 1, 'eprintid': 28707, 'placement': 1}]",2021-03-31 01:36:23,955,,"Pencipta atas HKI berjudul Reformasi Sistem Hukum Pencatatan Perkawinan bagi Warga Muslim dalam Rangka EC00201854001, Perlindungan Hukum Anak pada Perkawinan Hukum Anak pada Perkawinan Tidak Dicatat (Studi Kasus di Provinsi Lampung)",patent,"[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">amnawaty@yahoo.com</font></font>'}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/28707,2015-07-01 00:00:00.000000000,,['FH1'],,,disk0/00/02/87/07,pub,7,2021-03-31 01:36:23,public,,EC00201854001,LPPM UNILA,published,,,,,,,,,,,,,,,,,,,,
5,show,archive,16103,2019-11-14 10:11:12,"[{'eprintid': 16103, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/29197', 'pos': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/137926', 'filename': 'Review Candra Dampak Politik Hukum.pdf', 'filesize': 787415, 'objectid': 29197, 'mtime': '2019-11-12 07:04:52', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '4577e5fbd841866ab4377114fdfc6047', 'fileid': 137926, 'datasetid': 'document'}], 'main': 'Review Candra Dampak Politik Hukum.pdf', 'docid': 29197, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2019-11-14 10:11:12,366,FALSE,"Dampak Politik Hukum Pertanahan Yang Belum Berspektif
HAM Bagi Masyarakat Hukum Adat di Mesuji Lampung",article,"[{'name': {'family': 'Candra Perbawati', 'lineage': None, 'honourific': None, 'given': 'Candra'}, 'id': 'perbawaticandra@yahoo.com'}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/16103,2015-10-01 00:00:00.000000000,Hasil Penilaian Sejawat Sebidang atau Peer Review,['FH1'],Fakultas Hukum Universitas Diponegoro Semarang,Masalah-Masalah Hukum,disk0/00/01/61/03,pub,6,2019-11-14 10:11:12,public,,,,,,,,,,,,,,,,,,,,,,,,
6,show,archive,16104,2019-11-14 10:11:15,"[{'main': 'Review Candra Penegakan HAM di Era Globalisasi.pdf', 'docid': 29198, 'files': [{'filesize': 768981, 'objectid': 29198, 'filename': 'Review Candra Penegakan HAM di Era Globalisasi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/137936', 'hash_type': 'MD5', 'mtime': '2019-11-12 07:09:12', 'fileid': 137936, 'datasetid': 'document', 'hash': 'ad7d738a0ab8069bd41479ecf09206ca', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 16104, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29198', 'pos': 1, 'security': 'public'}]",2019-11-14 10:11:15,366,FALSE,Penegakan Hak Asasi Manusia di Era Globalisasi Dalam Perspektis Hukum Islam,article,"[{'id': 'perbawaticandra@yahoo.com', 'name': {'given': 'Candra', 'honourific': None, 'family': 'Candra Perbawati', 'lineage': None}}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/16104,2015-12-01 00:00:00.000000000,Hasil Penilaian Sejawat Sebidang atau Peer Review,['FH1'],Fakultas Sayariah IAIN Raden Intan Lampung,Jurnal Al-Adalah,disk0/00/01/61/04,pub,6,2019-11-14 10:11:15,public,,,,,,,,,,,,,,,,,,,,,,,,
7,show,archive,22919,2020-07-01 08:03:15,"[{'files': [{'filesize': 1588058, 'objectid': 36468, 'uri': 'http://repository.lppm.unila.ac.id/id/file/210281', 'filename': 'kingkin hukum perdata dalam berbagai perspektif.pdf', 'hash_type': 'MD5', 'mtime': '2020-07-01 07:11:31', 'datasetid': 'document', 'fileid': 210281, 'mime_type': 'application/pdf', 'hash': '5661ad8eab069ca3232305618f6de14f'}], 'main': 'kingkin hukum perdata dalam berbagai perspektif.pdf', 'docid': 36468, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 22919, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36468', 'security': 'public'}]",2020-07-01 08:03:15,975,FALSE,Pembangunan Hukum Ekonomi dalam Rangka Integrasi Ekonomi Nasional Menuju Sistem Global,book_section,"[{'name': {'honourific': None, 'family': 'Kingkin wahyuningdiah', 'lineage': None, 'given': 'kingkin'}}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/22919,2015-04-01 00:00:00.000000000,,['FH1'],Harakindo Publishing Anggota IKAPAI,,disk0/00/02/29/19,pub,7,2020-07-01 08:03:15,public,83-104,,,,Hukum Perdata dalam Berbagai Perspektif,978-602-1689-71-4,,,,,,,,,,,,,,,,,,
8,show,archive,17437,2020-02-03 02:26:22,"[{'placement': 1, 'eprintid': 17437, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30562', 'pos': 1, 'security': 'public', 'main': 'rudi natamihardja peranan piagam pembentukan wilayah.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-12-30 01:25:00', 'filesize': 3562308, 'objectid': 30562, 'filename': 'rudi natamihardja peranan piagam pembentukan wilayah.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/147511', 'fileid': 147511, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '839b4ed0bf6e2ababb3c2df150023ea8'}], 'docid': 30562, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2020-02-03 02:26:22,697,FALSE,Peranan Piagam Pembentukan Wilayah Regional dalam rangka Penguatan terhadap Lingkungan Hidup (Studi terhadap Piagam Pembentukan Uni Eropa),book_section,"[{'name': {'given': 'Rudi Natamiharja', 'family': 'Rudi Natamiharja', 'lineage': None, 'honourific': None}, 'id': 'rudi.natamiharja@unila.fh.ac.id'}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/17437,2015-02-01 00:00:00.000000000,,['FH1'],Indefth Publishing,,disk0/00/01/74/37,pub,7,2020-02-03 02:26:22,public,208-215,,,,Dinamika Hukum Islam,,,,,,,,,,,,,,,,,,,
9,show,archive,17702,2020-02-03 02:29:50,"[{'format': 'text', 'docid': 30824, 'main': 'peer review rudi peranan piagam.pdf', 'files': [{'objectid': 30824, 'filesize': 135116, 'uri': 'http://repository.lppm.unila.ac.id/id/file/149391', 'filename': 'peer review rudi peranan piagam.pdf', 'hash_type': 'MD5', 'mtime': '2020-01-28 00:37:07', 'datasetid': 'document', 'fileid': 149391, 'mime_type': 'application/pdf', 'hash': '0572cf666bd557516af4fe2ebddada17'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 17702, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30824', 'pos': 1}]",2020-02-03 02:29:50,697,FALSE,Peranan Piagam Pembentukan Wilayah Regional dalam rangka Penguatan terhadap Lingkungan Hidup (Studi terhadap Piagam Pembentukan Uni Eropa),book_section,"[{'name': {'given': 'Rudi Natamiharja', 'honourific': None, 'lineage': None, 'family': 'Rudi Natamiharja'}, 'id': 'rudi.natamiharja@unila.fh.ac.id'}]",['K1'],http://repository.lppm.unila.ac.id/id/eprint/17702,2015-02-01 00:00:00.000000000,Penilaian Sejawat Sebidang atau Peer Review,['FH1'],Indepth Publishing,,disk0/00/01/77/02,pub,7,2020-02-03 02:29:50,public,208-215,,,,Bookchapter,,,,,,,,,,,,,,,,,,,
