,rev_number,ispublished,status_changed,issn,full_text_status,publisher,divisions,publication,dir,date,uri,subjects,refereed,title,type,creators,documents,lastmod,userid,metadata_visibility,eprintid,eprint_status,datestamp,number,official_url,id_number,pagerange,corp_creators,abstract,projects,related_url,volume,date_type,funders,pres_type,event_type,event_title,book_title
0,6,pub,2022-04-01 01:03:28,1978-5186,public,Fakultas Hukum,['FH2'],Fiat Justisia,disk0/00/04/09/05,2011-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/40905,['K1'],FALSE,Fidusia sebagai Lembaga Jaminan Menurut Undang-undang Nomor 42 tahun 1999,article,"[{'name': {'lineage': None, 'family': 'APRILIANTI', 'honourific': None, 'given': 'APRILIANTI'}}]","[{'eprintid': 40905, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162294', 'pos': 1, 'format': 'text', 'main': 'fiat justisia tahun 2011.pdf', 'files': [{'fileid': 454785, 'datasetid': 'document', 'hash': 'e29d0471dcdc9811cbc16c41a7afedd8', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-03-31 06:50:16', 'filesize': 2709602, 'objectid': 162294, 'uri': 'http://repository.lppm.unila.ac.id/id/file/454785', 'filename': 'fiat justisia tahun 2011.pdf'}], 'docid': 162294, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2022-04-01 01:03:28,707,show,40905,archive,2022-04-01 01:03:28,,,,,,,,,,,,,,,
1,6,pub,2022-03-31 06:46:08,,public,FH Unila,['FH2'],Fiat Justisia,disk0/00/04/09/01,1970-01-01 00:00:00.000002011,http://repository.lppm.unila.ac.id/id/eprint/40901,['K1'],FALSE,Perjanjian Sewa guna usaha antara Lessee dan Lessor,article,"[{'name': {'lineage': None, 'family': 'APRILIANTI', 'honourific': None, 'given': 'APRILIANTI'}}]","[{'placement': 1, 'eprintid': 40901, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162290', 'security': 'public', 'main': 'jurnal ilmu hukum tahun 2011.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '0ad13714a9ecc420f93de63deb40facc', 'fileid': 454758, 'datasetid': 'document', 'mtime': '2022-03-31 04:21:14', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/454758', 'filename': 'jurnal ilmu hukum tahun 2011.pdf', 'objectid': 162290, 'filesize': 2691690}], 'docid': 162290, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2022-03-31 06:46:08,707,show,40901,archive,2022-03-31 06:46:08,,,,,,,,,,,,,,,
2,6,pub,2019-01-28 08:22:21,1907-8714,public,Program Pascasarjana Program Magister Hukum FH Unila,['FH2'],Praevia,disk0/00/01/06/50,2011-07-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/10650,['K1'],TRUE,Penetapan Dismissal dan Pemeriksaan Persiapan dalam Proses Beracara di Pengadilan tata Usaha negara,article,"[{'id': None, 'name': {'honourific': None, 'family': 'Afriza', 'lineage': None, 'given': 'rahmai'}}, {'id': None, 'name': {'family': 'Yuswanto', 'lineage': None, 'honourific': None, 'given': 'yuswanto'}}, {'id': 'fxsmj.unila@gmail.com', 'name': {'given': 'FX', 'lineage': None, 'family': 'Sumarja', 'honourific': None}}]","[{'main': 'JURNAL PRAEVIA, Vol 5 No. 2, Juli-des 2011_2011-1-1.pdf', 'files': [{'hash': '5cd2f05810bd24d7f776a01930660d25', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 98438, 'uri': 'http://repository.lppm.unila.ac.id/id/file/98438', 'filename': 'JURNAL PRAEVIA, Vol 5 No. 2, Juli-des 2011_2011-1-1.pdf', 'objectid': 23664, 'filesize': 1920803, 'mtime': '2019-01-28 06:29:54', 'hash_type': 'MD5'}], 'docid': 23664, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 10650, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23664', 'security': 'public'}]",2019-01-28 08:22:21,940,show,10650,archive,2019-01-28 08:22:21,2.0,http://repository.lppm.unila.ac.id,940.0,161-172,"['Magister Ilmu Hukum Unila', 'Fakultas Hukum Universitas Lampung', 'Fakultas Hukum Universitas Lampung']","The research studies about dismissal arrangement and the investigation of the preparation of judicial procedure at PTUN. The research uses normative and empirical jurisdiction. the result of research indicates that dismissal process is done by accepted accusation file. The file is given to the vice clerk of court the it is given to the PTUN head through the clerk of court. The head of court then investigates the administrative accusation to khow whether the accusation can be accepted or rejected.
Key words: arrangement, dismissal, investigation",['---'],[{'url': 'http://repository.lppm.unila.ac.id'}],5.0,published,['---'],,,,
3,7,pub,2022-07-22 01:04:35,,public,,['FH2'],,disk0/00/04/35/40,1970-01-01 00:00:00.000002011,http://repository.lppm.unila.ac.id/id/eprint/43540,['K1'],FALSE,Diversi dan Restorative Justice dalam Persepektif Penyelesaian Perkara Anak yang Berkonflik dengan Hukum,conference_item,"[{'name': {'lineage': None, 'family': 'Diah Gustiniati Maulani', 'honourific': None, 'given': 'Diah Gustiniati Maulani'}}]","[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/165475', 'pos': 1, 'eprintid': 43540, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/475127', 'filename': 'Pembangunan Hukum.pdf', 'objectid': 165475, 'filesize': 6640645, 'mtime': '2022-07-21 01:20:47', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '3fbeadefbc15db52b286c9534cebfca4', 'fileid': 475127, 'datasetid': 'document'}], 'main': 'Pembangunan Hukum.pdf', 'docid': 165475}]",2022-07-22 01:04:35,900,show,43540,archive,2022-07-22 01:04:35,,,,,,,,,,,,paper,conference,Prosiding Seminar Nasional,
4,7,pub,2022-07-21 01:14:50,,public,Universitas Lampung,['FH2'],,disk0/00/04/35/32,1970-01-01 00:00:00.000002011,http://repository.lppm.unila.ac.id/id/eprint/43532,['K1'],FALSE,Hukum Penintesia dan Sistem Pemasyarakatan di Indonesia,book_section,"[{'name': {'given': 'Diah Gustiniati Maulani', 'family': 'Diah Gustiniati Maulani', 'lineage': None, 'honourific': None}}]","[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2022-07-21 00:17:04', 'objectid': 165468, 'filesize': 16206408, 'uri': 'http://repository.lppm.unila.ac.id/id/file/475052', 'filename': 'Hukum Penitensia.pdf', 'fileid': 475052, 'datasetid': 'document', 'hash': '5109d90d790b0558deaf8da72e3173b3', 'mime_type': 'application/pdf'}], 'main': 'Hukum Penitensia.pdf', 'docid': 165468, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165468', 'eprintid': 43532, 'placement': 1}]",2022-07-21 01:14:50,900,show,43532,archive,2022-07-21 01:14:50,,,,,,,,,,,,,,,Hukum Penintesia dan Sistem Pemasyarakatan di Indonesia
5,7,pub,2022-07-21 01:15:03,,public,,['FH2'],,disk0/00/04/35/38,1970-01-01 00:00:00.000002011,http://repository.lppm.unila.ac.id/id/eprint/43538,['K1'],FALSE,Perspektif Pembinaan Narapidana Tindak Pidana Korupsi di Indonesia,conference_item,"[{'name': {'honourific': None, 'family': 'Diah Gustiniati Maulani', 'lineage': None, 'given': 'Diah Gustiniati Maulani'}}]","[{'eprintid': 43538, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/165474', 'pos': 1, 'format': 'text', 'main': 'Prosiding Seminar.pdf', 'files': [{'fileid': 475093, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'fdbd8d55ba516d73148fc03fbab49562', 'hash_type': 'MD5', 'mtime': '2022-07-21 01:10:51', 'filesize': 4927400, 'objectid': 165474, 'filename': 'Prosiding Seminar.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/475093'}], 'docid': 165474, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2022-07-21 01:15:03,900,show,43538,archive,2022-07-21 01:15:03,,,,,,,,,,,,paper,conference,Prosiding Seminar,
6,6,pub,2022-07-21 01:15:00,1907-8714,public,Program Pascasarjana Program Magister Hukum FH Unila,['FH2'],Praevia,disk0/00/04/35/37,1970-01-01 00:00:00.000002011,http://repository.lppm.unila.ac.id/id/eprint/43537,['K1'],FALSE,Pidana Penjara Seumur Hidup dalm Sistem Pemasyarakatan,article,"[{'name': {'honourific': None, 'family': 'Diah Gustiniati Maulani', 'lineage': None, 'given': 'Diah Gustiniati Maulani'}}]","[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Jurnal Praevia Ilmu Hukum.pdf', 'files': [{'mtime': '2022-07-21 01:01:19', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/475086', 'filename': 'Jurnal Praevia Ilmu Hukum.pdf', 'filesize': 8050113, 'objectid': 165473, 'hash': '1c6c40f6fcbbfdc8e59c5f7f9ddb1b8e', 'mime_type': 'application/pdf', 'fileid': 475086, 'datasetid': 'document'}], 'docid': 165473, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165473', 'eprintid': 43537, 'placement': 1}]",2022-07-21 01:15:00,900,show,43537,archive,2022-07-21 01:15:00,,,,,,,,,,,,,,,
7,6,pub,2022-10-07 03:47:28,1978-5186,public,Fakultas Hukum,['FH2'],Fiat Justisia,disk0/00/04/55/87,1970-01-01 00:00:00.000002011,http://repository.lppm.unila.ac.id/id/eprint/45587,['K1'],FALSE,Perkembangan Konseptual Unsur-unsur Kejahatan Berat Terhadap Kemanusiaan dalam Hukum Humaniter,article,"[{'id': 'melly.aida@fh.unila.ac.id', 'name': {'given': 'Melly Aida', 'honourific': None, 'family': 'Melly Aida', 'lineage': None}}]","[{'eprintid': 45587, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/184378', 'pos': 1, 'format': 'text', 'main': '2022-10-07-09-34-50-01.pdf', 'files': [{'filename': '2022-10-07-09-34-50-01.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/506009', 'objectid': 184378, 'filesize': 898551, 'mtime': '2022-10-07 02:40:36', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '40453fde8dc330eca458d0f9900e03a6', 'datasetid': 'document', 'fileid': 506009}], 'docid': 184378, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2022-10-07 03:47:28,970,show,45587,archive,2022-10-07 03:47:28,,,,,,,,,,,,,,,
8,6,pub,2019-01-28 08:21:57,1907-8714,public,Program Pascasarjana Program Magister Hukum FH Unila,['FH2'],Praevia,disk0/00/01/06/41,2011-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/10641,['K1'],TRUE,PENGATURAN PENGUASAAN TANAH HAK  MILIK BAGI ORANG ASING DALAM PENGEMBANGAN WISATA PANTAI DI LAMPUNG BARAT,article,"[{'name': {'given': 'FX', 'honourific': None, 'family': 'Sumarja', 'lineage': None}, 'id': 'fxsmj.unila@gmail.com'}]","[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/23653', 'pos': 1, 'eprintid': 10641, 'placement': 1, 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Praevia_Vol.5 No. 1 Januari-Juni 2011_asli.docx', 'docid': 23653, 'files': [{'filesize': 62498, 'objectid': 23653, 'filename': 'Praevia_Vol.5 No. 1 Januari-Juni 2011_asli.docx', 'uri': 'http://repository.lppm.unila.ac.id/id/file/98360', 'hash_type': 'MD5', 'mtime': '2019-01-25 09:17:57', 'fileid': 98360, 'datasetid': 'document', 'hash': 'a08a654071807c4904c89b097629253c', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document'}]}]",2019-01-28 08:21:57,940,show,10641,archive,2019-01-28 08:21:57,1.0,http://repository.lppm.unila.ac.id,940.0,1-16,['Fakultas Hukum Universitas Lampung'],"This research is to indicate the causal factor of prohibitive regulation about the authority of land property ownership by foreigners/strangers is not effective, and the concept of law policy for the regulation of an authority of land property ownership especially seashore area in developing coast tourism object in west Lampung Regency.The methodology of research is normative and empirical research. The result of research is found that the prohibitive regulation about the authority of land property ownership by foreigners/strangers is not complete and can not solve the cases of the authority of land property ownership by foreigners . It was caused both law factor and social and economic factors. The exact concept that can be applied toward an authority of land property ownership by foreigner is proprietary rights on the land concession rights.
Key words : land concession rights, stranger/foreigner, seashore",['Dipa Unila'],[{'url': 'http://repository.lppm.unila.ac.id'}],5.0,published,['Universitas Lampung'],,,,
9,6,pub,2019-01-28 08:22:02,1907-8714,public,Program Pascasarjana Program Magister Hukum FH Unila,['FH2'],Praevia,disk0/00/01/06/42,2011-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/10642,['K1'],TRUE,PENGATURAN PENGUASAAN TANAH HAK  MILIK BAGI ORANG ASING DALAM PENGEMBANGAN WISATA PANTAI DI LAMPUNG BARAT,article,"[{'name': {'given': 'FX', 'honourific': None, 'family': 'Sumarja', 'lineage': None}, 'id': 'fxsmj.unila@gmail.com'}]","[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Praevia Vol.5 No. 1 Januari-Juni 2011_Scan.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-01-25 09:23:12', 'objectid': 23654, 'filesize': 1961794, 'uri': 'http://repository.lppm.unila.ac.id/id/file/98366', 'filename': 'Praevia Vol.5 No. 1 Januari-Juni 2011_Scan.pdf', 'fileid': 98366, 'datasetid': 'document', 'hash': '1fe62dd326ad3ae2bee4c0e5d07560ab', 'mime_type': 'application/pdf'}], 'docid': 23654, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23654', 'eprintid': 10642, 'placement': 1}]",2019-01-28 08:22:02,940,show,10642,archive,2019-01-28 08:22:02,1.0,http://repository.lppm.unila.ac.id,940.0,1-16,['Fakultas Hukum Universitas Lampung'],"This research is to indicate the causal factor of prohibitive regulation about the authority of land property ownership by foreigners/strangers is not effective, and the concept of law policy for the regulation of an authority of land property ownership especially seashore area in developing coast tourism object in west Lampung Regency.The methodology of research is normative and empirical research. The result of research is found that the prohibitive regulation about the authority of land property ownership by foreigners/strangers is not complete and can not solve the cases of the authority of land property ownership by foreigners . It was caused both law factor and social and economic factors. The exact concept that can be applied toward an authority of land property ownership by foreigner is proprietary rights on the land concession rights.
Key words : land concession rights, stranger/foreigner, seashore",['Dipa Unila'],[{'url': 'http://repository.lppm.unila.ac.id'}],5.0,published,['Universitas Lampung'],,,,
