,date,uri,subjects,ispublished,rev_number,status_changed,full_text_status,divisions,publisher,dir,documents,lastmod,userid,metadata_visibility,eprint_status,editors,eprintid,datestamp,refereed,title,type,isbn,creators,pres_type,event_type,abstract,event_title,monograph_type,event_location,event_dates,pagerange,funders,date_type,corp_creators,projects,related_url,official_url,issn,publication,volume,number,book_title
0,1970-01-01 00:00:00.000002017,http://repository.lppm.unila.ac.id/id/eprint/5875,['K1'],pub,7,2017-11-17 05:56:02,public,['FH2'],Justice Publisher,disk0/00/00/58/75,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/18796', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 5875, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'prosiding Seri Diskusi MIH 2017.pdf', 'docid': 18796, 'files': [{'datasetid': 'document', 'fileid': 54739, 'hash': '039dc0051767d4e15f782b7652cc1b11', 'mime_type': 'application/pdf', 'filesize': 2440572, 'objectid': 18796, 'filename': 'prosiding Seri Diskusi MIH 2017.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/54739', 'hash_type': 'MD5', 'mtime': '2017-11-17 05:46:44'}], 'format': 'text'}]",2017-11-17 05:56:02,276,show,archive,"[{'name': {'given': 'Bayu', 'lineage': None, 'family': 'Sujadmiko', 'honourific': None}, 'id': 'bayu.sujadmiko@fh.unila.ac.id'}]",5875,2017-11-17 05:56:02,FALSE,Prosiding Seri Diskusi,book,9786021071568.0,,,,,,,,,,,,,,,,,,,,
1,1970-01-01 00:00:00.000002017,http://repository.lppm.unila.ac.id/id/eprint/39813,['K1'],pub,7,2022-02-25 10:03:43,public,['FH2'],,disk0/00/03/98/13,"[{'main': 'Nonpenal_Effort_in_Addressing_Illegal_Fishing_in_t.pdf', 'docid': 161092, 'files': [{'datasetid': 'document', 'fileid': 446258, 'hash': '138ae6bbbe63293d4cdace0c6c6cbbb0', 'mime_type': 'application/pdf', 'objectid': 161092, 'filesize': 4822997, 'filename': 'Nonpenal_Effort_in_Addressing_Illegal_Fishing_in_t.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/446258', 'hash_type': 'MD5', 'mtime': '2022-02-25 06:17:29'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 39813, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161092', 'security': 'public'}]",2022-02-25 10:03:43,318,show,archive,,39813,2022-02-25 10:03:43,FALSE,Nonpenal Effort In Addressing Illegal Fishing In The Lampung Province,conference_item,,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>'}]",other,conference,Hasil Check Similarity,Proceeding of International Conference 2nd SHIELD 2017 Bandar Lampung,,,,,,,,,,,,,,,
2,1970-01-01 00:00:00.000002017,http://repository.lppm.unila.ac.id/id/eprint/50476,['K1'],pub,7,2023-04-13 05:08:02,public,['FH2'],Justice Publisher/Fakultas Hukum Universitas Lampung,disk0_bak/00/05/04/76,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190182', 'eprintid': 50476, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'MONOGRAF PDF SEMINAR PEREMPUAN DAN   ANAK.pdf', 'docid': 190182, 'files': [{'filename': 'MONOGRAF PDF SEMINAR PEREMPUAN DAN   ANAK.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/544599', 'objectid': 190182, 'filesize': 5665632, 'mtime': '2023-04-13 03:51:35', 'hash_type': 'MD5', 'hash': '6a28f94bc68033b47592c896e71dbb18', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 544599}]}]",2023-04-13 05:08:02,230,show,archive,,50476,2023-04-13 05:08:02,,MEMBANGUN BUDAYA ADIL GENDER DAN RAMAH ANAK,monograph,,"[{'id': 'ahmad.syofyan@fh.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Ahmad Syofyan', 'given': 'Ahmad S'}}]",,,,,documentation,,,,,,,,,,,,,,
3,1970-01-01 00:00:00.000002017,http://repository.lppm.unila.ac.id/id/eprint/52056,['K1'],pub,7,2023-05-29 09:38:54,public,['FH2'],Perpustakaan Nasional : Katalog Dalam Terbitan (KDT),disk0_bak/00/05/20/56,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/251894', 'eprintid': 52056, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'EDITOR GABUNG PENGESAHAN.pdf', 'docid': 251894, 'files': [{'fileid': 616835, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '6737997faa38898bf1808352aba6e5a8', 'hash_type': 'MD5', 'mtime': '2023-05-29 07:43:00', 'objectid': 251894, 'filesize': 6532600, 'uri': 'http://repository.lppm.unila.ac.id/id/file/616835', 'filename': 'EDITOR GABUNG PENGESAHAN.pdf'}]}]",2023-05-29 09:38:54,230,show,archive,,52056,2023-05-29 09:38:54,,MEMBANGUN BUDAYA ADIL GENDER DAN RAMAH ANAK,monograph,,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Ahmad Syofyan', 'given': 'Ahmad S'}, 'id': 'ahmad.syofyan@fh.unila.ac.id'}]",,,,,other,,,,,,,,,,,,,,
4,1970-01-01 00:00:00.000002017,http://repository.lppm.unila.ac.id/id/eprint/39329,['K1'],pub,8,2022-02-16 01:16:18,public,['FH2'],,disk0/00/03/93/29,"[{'placement': 1, 'eprintid': 39329, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160612', 'security': 'public', 'files': [{'mtime': '2022-02-15 09:07:36', 'hash_type': 'MD5', 'filename': 'Reviewer Nonpenal.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/442477', 'filesize': 371516, 'objectid': 160612, 'mime_type': 'application/pdf', 'hash': 'e1b570e14a9341e62f7090a2031a1ef6', 'fileid': 442477, 'datasetid': 'document'}], 'main': 'Reviewer Nonpenal.pdf', 'docid': 160612, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2022-02-16 01:16:18,318,show,archive,,39329,2022-02-16 01:16:18,FALSE,Developing Criminal Policy on Illegal Fishing Counter-measures under the New Normal Order in Indonesia: A Non-penal Perspective,conference_item,,"[{'name': {'family': 'Maya Shafira', 'lineage': None, 'honourific': None, 'given': 'Maya Shafira'}, 'id': 'mayashafira@fh.unila.ac.id'}]",paper,conference,Hasil Penilaian Sejawat Sebidang atau Peer Review,Proceeding ICETLAWBE 2020,,,,,,,,,,,,,,,
5,1970-01-01 00:00:00.000002017,http://repository.lppm.unila.ac.id/id/eprint/38849,['K1'],pub,7,2022-02-02 07:18:35,public,['FH2'],,disk0/00/03/88/49,"[{'files': [{'hash_type': 'MD5', 'mtime': '2022-02-02 05:38:14', 'objectid': 159990, 'filesize': 12626315, 'uri': 'http://repository.lppm.unila.ac.id/id/file/438770', 'filename': 'Prosiding 2nd shield FINALl.pdf', 'datasetid': 'document', 'fileid': 438770, 'mime_type': 'application/pdf', 'hash': 'd98b60152c83cb62451ea19991f403a0'}], 'main': 'Prosiding 2nd shield FINALl.pdf', 'docid': 159990, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 38849, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159990', 'pos': 1, 'security': 'public'}]",2022-02-02 07:18:35,318,show,archive,,38849,2022-02-02 07:18:35,FALSE,Nonpenal Effort In Addressing Illegal Fishing In The Lampung Province,conference_item,,"[{'id': 'mayashafira@fh.unila.ac.id', 'name': {'honourific': None, 'family': 'Maya Shafira', 'lineage': None, 'given': 'Maya Shafira'}}]",paper,conference,,Proceeding of International Conference 2nd SHIELD 2017,,,,,,,,,,,,,,,
6,2017-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/16599,['K1'],pub,7,2019-11-18 07:20:39,public,['FH2'],,disk0/00/01/65/99,"[{'placement': 1, 'eprintid': 16599, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29678', 'security': 'public', 'files': [{'datasetid': 'document', 'fileid': 141519, 'hash': 'eb29c699597d56250be9192c4dfc46b6', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-11-15 08:40:57', 'objectid': 29678, 'filesize': 1615735, 'filename': 'Melly Aida, Prosiding How Far is The Precautionary Principle.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/141519'}], 'main': 'Melly Aida, Prosiding How Far is The Precautionary Principle.pdf', 'docid': 29678, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2019-11-18 07:20:39,970,show,archive,,16599,2019-11-18 07:20:39,FALSE,How Far Is The Precautionary Principle Considered In The Benefits Of Genetically Modified Organisms World Wide?,conference_item,,"[{'name': {'given': 'Melly Aida', 'honourific': None, 'family': 'Melly Aida', 'lineage': None}}]",paper,conference,,Proceedings International Conference 2nd SHIELD 2017 University Of Lampung,,Bandar Lampung,18-20 September 2017,,,,,,,,,,,,
7,2017-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6489,['KZ'],pub,7,2018-02-20 04:35:24,public,['FH2'],,disk0/00/00/64/89,"[{'format': 'text', 'main': 'Prosiding 2nd shield 7-2-2018-Marjo_1.pdf', 'files': [{'datasetid': 'document', 'fileid': 60088, 'mime_type': 'application/pdf', 'hash': '5bd3a2f6afccc51ae30a8d6c332400c4', 'objectid': 19433, 'filesize': 3705841, 'uri': 'http://repository.lppm.unila.ac.id/id/file/60088', 'filename': 'Prosiding 2nd shield 7-2-2018-Marjo_1.pdf', 'hash_type': 'MD5', 'mtime': '2018-02-15 08:40:33'}], 'docid': 19433, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 6489, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19433', 'pos': 1}]",2018-02-20 04:35:24,940,show,archive,,6489,2018-02-20 04:35:24,TRUE,CHAOS OF FOREST RESOURCE ACCESS REGULATION: STUDY ON MORO-MORO FARMERS AT REGISTER 45 LAMPUNG,conference_item,,"[{'id': 'fxsmj.unila@gmail.com', 'name': {'given': 'FX', 'honourific': None, 'family': 'Sumarja', 'lineage': None}}]",paper,conference,"One of the problems of farmers in Indonresia is the limited availability of agricultural land. Through various regulations, the government gives farmers hope for the availability of agricultural land, through the land levy, land use permits or partnerships with forest management right holders. For decades the Moro-Moro farmers have struggled to gain access to forest resources (farmland) legally, in Register 45 Sungai Buaya Mesuji Lampung. This study will examine forest resource access regulations and their implementation in Register 45 Sungai Buaya Mesuji Lampung.
The approach that used in this research is socio-legal. Socio-legal is a study that combines the study of doctrinal law with social studies. Legislation can be categorized properly and well if the substance is able to accommodate as much as possible the aspirations, interests and needs of the community. So the analysis is not only based on normative rules but also the social context. The result of the research shows that the regulation of forest resource access model in register 45 Lampung to farmer of Moro-Moro is partnership. Partnerships offered by forest management right
holders are considered have not been able to providewelfare to farmers, considering that the types of plants have been determined and in the process of the partnership, the dialogical space is still very poorly done by forest managers. In addition, the area of farmland is getting narrower, because it must be planted with hard plants. However, it is necessary to trials the forest resource access model by means of the partnership, even though it is possible to use another access model.

Keywords: Regulation, Implementation, Access of Forest Resources, Moro-Moro",International Conference 2nd SHIELD 2017,,"Universitas Lampung, Bandarlampung",18-20 September 2017,208-215,['Universitas Lampung'],published,['Universitas Lampung'],['Seminar Internasional'],,,,,,,
8,2017-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6486,['KZ'],pub,8,2018-02-20 04:35:09,public,['FH2'],,disk0/00/00/64/86,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19429', 'security': 'public', 'placement': 1, 'eprintid': 6486, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 19429, 'main': 'Buku Monograf Semnas_Perjanjian Perkawinan_okt2017.pdf', 'files': [{'hash': '5817076ad3a5e6fc3e7b3709166db222', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 60067, 'filename': 'Buku Monograf Semnas_Perjanjian Perkawinan_okt2017.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/60067', 'objectid': 19429, 'filesize': 497458, 'mtime': '2018-02-15 06:04:12', 'hash_type': 'MD5'}], 'format': 'text'}]",2018-02-20 04:35:09,940,show,archive,,6486,2018-02-20 04:35:09,TRUE,Perjanjian Perkawinan: Perspektif Kepemilikan Hak Milik atas Tanah,conference_item,,"[{'name': {'family': 'Sumarja', 'lineage': None, 'honourific': None, 'given': 'FX'}, 'id': 'fxsmj.unila@gmail.com'}]",paper,conference,"Sampai dengan akhir tahun 2016, seorang Warga Negara Indonesia (WNI) yang melakukan perkawinan campuran (WNI menikah dengan Warga Negara Asing/WNA), meskipun statusnya tetap sebagai WNI kehilangan kesempatan mendapatkan hak milik atas tanah, jika sebelum melakukan pernikahan tidak membuat perjanjian perkawinan pemisahan harta. Berbeda dengan masa sekarang, WNI yang telah melakukan perkawinan
campuran, namun sebelumnya tidak membuat perjanjian perkawinan pemisahan harta, terbuka kesempatan mendapatkan hak milik atas tanah, dengan cara membuat perjanjian
perkawinan pemisahan harta dalam bentuk akta notaris dan melakukan pencatatan laporan perjanjian perkawinan kepada instansi catatan sipil. Perjanjian perkawinan dapat
dilakukan sebelum, pada saat atau selama perkawinan berlangsung.

Kata kunci: Perjanjian perkawinan, perkawinan campuran, hak milik atas tanah",Seminar Nasional Membangun Budaya Adil Gender dan Ramah Anak,,Balai Keratun Komplek Pemda Provinsi Lampung,17 Oktober 2017,137-149,,published,['Universitas Lampung'],,[{'url': 'http://repository.lppm.unila.ac.id/id/eprint/6486'}],http://repository.lppm.unila.ac.id/id/eprint/6486,,,,,
9,1970-01-01 00:00:00.000002017,http://repository.lppm.unila.ac.id/id/eprint/17345,"['K1', 'KD']",pub,7,2019-12-18 08:03:07,public,['FH2'],International Knowledge Sharing Platfrom,disk0/00/01/73/45,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30457', 'security': 'public', 'placement': 1, 'eprintid': 17345, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Local_Regulation_Design_on_the_Protection_and_Empo.pdf', 'docid': 30457, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/146801', 'filename': 'Local_Regulation_Design_on_the_Protection_and_Empo.pdf', 'filesize': 3049062, 'objectid': 30457, 'mtime': '2019-12-17 08:07:15', 'hash_type': 'MD5', 'hash': '8b42323ceebad8376efb0dec92dc7aad', 'mime_type': 'application/pdf', 'fileid': 146801, 'datasetid': 'document'}], 'format': 'text'}]",2019-12-18 08:03:07,888,show,archive,,17345,2019-12-18 08:03:07,FALSE,Local Regulation Design on the Protection and Empowerment of the Farmer Based on Law as a Tool of Social Empowering,article,,"[{'name': {'given': 'Yulia', 'honourific': None, 'family': 'Yulia Neta', 'lineage': None}, 'id': 'yulia.neta@fh.unila.ac.id'}]",,,Hasil Similarity Check,,,,,,,,,,,,2225-0565,Journal Developing Country Studies,7.0,10.0,
