,date,uri,subjects,book_title,status_changed,full_text_status,ispublished,rev_number,publisher,divisions,dir,userid,documents,lastmod,eprintid,eprint_status,datestamp,metadata_visibility,creators,type,refereed,title,abstract,publication,event_title,event_type,pres_type,isbn,place_of_pub,pagerange,monograph_type,issn,id_number,official_url,related_url,funders,corp_creators,projects,date_type,institution,pedagogic_type,completion_time,skill_areas,learning_level,number,volume,task_purpose,copyright_holders,contributors,event_location,event_dates,pages,department,keywords
0,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/34699,['K1'],Buku Jalan Sunyi Sang Guru,2021-10-29 01:04:40,public,pub,7,PKKP-HAM FH Unila,['FH2'],disk0/00/03/46/99,61,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Sang Guru Kasmawati.pdf', 'docid': 155346, 'files': [{'hash_type': 'MD5', 'mtime': '2021-10-28 07:16:52', 'filesize': 3295482, 'objectid': 155346, 'uri': 'http://repository.lppm.unila.ac.id/id/file/407414', 'filename': 'Sang Guru Kasmawati.pdf', 'datasetid': 'document', 'fileid': 407414, 'mime_type': 'application/pdf', 'hash': '063c70e7a8b2809ba772e1675176abfb'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/155346', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 34699}]",2021-10-29 01:04:40,34699,archive,2021-10-29 01:04:40,show,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None}}]",book_section,FALSE,Aspek Hukum Dalam Pengangkutan Barang dalam Buku Jalan Sunyi Sang Guru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/37228,['K1'],,2021-12-09 08:03:40,public,pub,6,Universitas Bandar Lampung',['FH2'],disk0/00/03/72/28,769,"[{'placement': 1, 'eprintid': 37228, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158129', 'security': 'public', 'main': 'Progressive_Law_Review.pdf', 'files': [{'hash': 'afe2bd4e92e284243da971da6e4736ea', 'mime_type': 'application/pdf', 'fileid': 426392, 'datasetid': 'document', 'filename': 'Progressive_Law_Review.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/426392', 'objectid': 158129, 'filesize': 3271036, 'mtime': '2021-12-09 07:56:16', 'hash_type': 'MD5'}], 'docid': 158129, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2021-12-09 08:03:40,37228,archive,2021-12-09 08:03:40,show,"[{'name': {'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",article,FALSE,: Authority of Directorate General of Space Ministry of Workgeneral Under the Ministry of Agrarian and Governance / BPN,Hasil Check Similarity,Jurnal Progressive Law Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2019-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/32645,['K1'],,2021-06-17 07:37:51,public,pub,6,DINAMISIAera Utara 20221,['FH2'],disk0/00/03/26/45,114,"[{'format': 'text', 'files': [{'mtime': '2021-06-17 02:24:11', 'hash_type': 'MD5', 'filename': '3271-Article Text-8311-1-10-20200121.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/386246', 'filesize': 249010, 'objectid': 148295, 'hash': '2765f3afb02178073a5f004d2459958f', 'mime_type': 'application/pdf', 'fileid': 386246, 'datasetid': 'document'}], 'main': '3271-Article Text-8311-1-10-20200121.pdf', 'docid': 148295, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 32645, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148295'}]",2021-06-17 07:37:51,32645,archive,2021-06-17 07:37:51,show,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None}}]",article,FALSE,"FGD DAN EDUKASI TENTANG UPAYA PENCEGAHAN 
KEKERASAN SEKSUAL DALAM RUMAH TANGGA",,Jurnal Pengabdian Kepada Masyarakat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2019-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/39372,['K1'],,2022-02-16 01:17:16,public,pub,6,Universitas Pattimura,['FH2'],disk0/00/03/93/72,114,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'files': [{'hash_type': 'MD5', 'mtime': '2022-02-16 00:56:37', 'objectid': 160654, 'filesize': 619266, 'filename': 'REVIEW MENELAAH.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/442757', 'datasetid': 'document', 'fileid': 442757, 'hash': 'f51bebf8e6810f2b223e6114d04e2e1c', 'mime_type': 'application/pdf'}], 'main': 'REVIEW MENELAAH.pdf', 'docid': 160654, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/160654', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 39372}]",2022-02-16 01:17:16,39372,archive,2022-02-16 01:17:16,show,"[{'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>'}]",article,FALSE,Menelaah Keadilan dalam Kebijakan Penanggulangan Illegal Fishing Di Indonesia: Perspektif Konsep Keadilan Thomas Aquinas,Hasil Penilaian Sejawat Sebidang atau Peer Review,S A S I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/33812,['K1'],,2021-09-08 10:14:21,public,pub,7,,['FH2'],disk0/00/03/38/12,114,"[{'docid': 154047, 'main': 'eai.5-8-2019.2308635.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '1e11818a2bad9126575c84ed65bda1b5', 'fileid': 400172, 'datasetid': 'document', 'filename': 'eai.5-8-2019.2308635.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/400172', 'objectid': 154047, 'filesize': 177826, 'mtime': '2021-09-08 09:03:26', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 33812, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154047', 'security': 'public'}]",2021-09-08 10:14:21,33812,archive,2021-09-08 10:14:21,show,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None}}]",conference_item,FALSE,"Non-Custodial Sanctions Policy in Renewing the 
Criminal System in Indonesia (Study of Non-Custodial 
Sanction Approaches in Draft Law of the Criminal 
Law)",,,"<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Prosiding International Conference on Fundamental Rights ke-2, I-COFFEES 2019</font></font>",conference,other,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/39669,['K1'],,2022-02-21 07:39:17,public,pub,7,,['FH2'],disk0/00/03/96/69,114,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Non_Custodial_Sanctions_Policy_in_Renewing_the.pdf', 'files': [{'datasetid': 'document', 'fileid': 445138, 'mime_type': 'application/pdf', 'hash': '8a5b1b30467d96fc220ed8f1d4b8d4db', 'hash_type': 'MD5', 'mtime': '2022-02-21 06:07:24', 'objectid': 160946, 'filesize': 2189616, 'uri': 'http://repository.lppm.unila.ac.id/id/file/445138', 'filename': 'Non_Custodial_Sanctions_Policy_in_Renewing_the.pdf'}], 'docid': 160946, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/160946', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 39669}]",2022-02-21 07:39:17,39669,archive,2022-02-21 07:39:17,show,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",conference_item,FALSE,"Non-Custodial Sanctions Policy in Renewing the Criminal System in Indonesia (Study of Non-Custodial Sanction Approaches in Draft Law of the Criminal
Law)",Hasil Check Similarity,,"Prosiding International Conference on Fundamental Rights ke-2, I-COFFEES 2019",conference,other,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/32913,['K1'],,2021-06-28 03:21:05,public,pub,7,,['FH2'],disk0/00/03/29/13,61,"[{'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2021-06-28 02:50:53', 'filesize': 139748, 'objectid': 150023, 'filename': 'eai.5-8-2019.2308589.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/389744', 'fileid': 389744, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '26119b5e683fcfe234d63fe9486cfed7'}], 'main': 'eai.5-8-2019.2308589.pdf', 'docid': 150023, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 32913, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/150023', 'pos': 1}]",2021-06-28 03:21:05,32913,archive,2021-06-28 03:21:05,show,"[{'name': {'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",conference_item,FALSE,"The Online Purchasing Contract Done by Students of
Faculty of Law in Lampung University",,,"Prosiding International Conference on Fundamental Rights ke-2, I-COFFEES 2019",conference,other,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2019-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/10787,['K1'],Jalan Sunyi Sang Guru,2019-04-09 06:58:54,public,pub,9,PKKP-HAM FH UNILA,['FH2'],disk0/00/01/07/87,707,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/23800', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 10787, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Aprilianti, Jalan Sunyi Sang Guru 2019.pdf', 'docid': 23800, 'files': [{'datasetid': 'document', 'fileid': 99426, 'hash': '0365b5f4ab564f3d7980aca2161f5f3d', 'mime_type': 'application/pdf', 'objectid': 23800, 'filesize': 6338750, 'uri': 'http://repository.lppm.unila.ac.id/id/file/99426', 'filename': 'Aprilianti, Jalan Sunyi Sang Guru 2019.pdf', 'hash_type': 'MD5', 'mtime': '2019-02-19 07:32:57'}], 'format': 'text'}]",2019-04-09 06:58:54,10787,archive,2019-04-09 06:58:54,show,"[{'name': {'honourific': None, 'family': 'APRILIANTI', 'lineage': None, 'given': 'APRILIANTI'}}]",book_section,FALSE,Bentuk-Bentuk Transaksi Tanah Pada Masyarakat Hukum Adat,,,,,,978-623-211-024-3,Bandar Lampung,382-398,,,,,,,,,,,,,,,,,,,,,,,,
8,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/51962,['K1'],,2023-05-22 06:57:07,public,pub,8,Aura,['FH2'],disk0_bak/00/05/19/62,292,"[{'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 615637, 'mime_type': 'application/pdf', 'hash': 'a7fbc6c1c9b45ce3dab6d8102de879bf', 'objectid': 251337, 'filesize': 4167588, 'filename': 'Monograf Penjatuhan Pidana Mati.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/615637', 'hash_type': 'MD5', 'mtime': '2023-05-22 06:40:45'}], 'main': 'Monograf Penjatuhan Pidana Mati.pdf', 'docid': 251337, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 51962, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/251337', 'pos': 1}]",2023-05-22 06:57:07,51962,archive,2023-05-22 06:57:07,show,"[{'id': 'budi.rizki@fh.unila.ac.id', 'name': {'given': 'Husin', 'lineage': None, 'family': 'Budi Rizki', 'honourific': None}}]",monograph,,PENJATUHAN HUKUMAN MATI TERHADAP PELAKU TINDAK PIDANA KORUPSI DANA BENCANA GEMPA NUSA TENGGARA BARAT,,,,,,,,,other,,,,,,,,,,,,,,,,,,,,,,,
9,2019-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/10788,['K1'],Jalan Sunyi Sang Guru,2019-04-09 06:58:58,public,pub,7,PKKP-HAM FH UNILA,['FH2'],disk0/00/01/07/88,196,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/23801', 'pos': 1, 'eprintid': 10788, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'Dewi Septiana, Jalan Sunyi Sang Guru 2019.pdf', 'docid': 23801, 'files': [{'mime_type': 'application/pdf', 'hash': 'b70e5d97bb858a4904a5794922be8a73', 'datasetid': 'document', 'fileid': 99434, 'filename': 'Dewi Septiana, Jalan Sunyi Sang Guru 2019.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/99434', 'filesize': 3285239, 'objectid': 23801, 'mtime': '2019-02-19 07:37:44', 'hash_type': 'MD5'}]}]",2019-04-09 06:58:58,10788,archive,2019-04-09 06:58:58,show,"[{'id': 'dewiseptiana80@yahoo.co.id', 'name': {'honourific': None, 'family': 'Dewi Septiana', 'lineage': None, 'given': 'Dewi Septiana'}}]",book_section,FALSE,Analisis Yuridis Sukuk Ritel Sebagai Alternatif Investasi,,,,,,978-623-211-024-3,Bandar Lampung,424-434,,,,,,,,,,,,,,,,,,,,,,,,
