,book_title,series,projects,date,abstract,publisher,ispublished,full_text_status,pagerange,datestamp,eprint_status,id_number,eprintid,official_url,pages,documents,contributors,userid,number,refereed,isbn,place_of_pub,date_type,subjects,uri,volume,funders,divisions,dir,rev_number,status_changed,metadata_visibility,editors,lastmod,title,type,patent_applicant,creators,publication,pres_type,event_type,event_title,referencetext,issn,keywords,related_url,corp_creators,event_dates,event_location
0,IMPLEMENTASI HUKUM DALAM PERSPEKTIF TEORI DAN PRAKTIK (Seri Diskusi),1.0,['Seri Diskusi 1 Mahasiswa Magister Ilmu Hukum Unila'],2020-04-01 00:00:00.000000000,"Pengembanan hukum teoretis pun akan memperhatikan hukum itu ketika berlaku di masyarakat. Sebaliknya pengembanan hukum praktis pun akan mencermati bagaimana hukum itu ada di dalam konstelasi sumber-sumber hukum, baik dalam bentuk undang-undang, kebiasaan, doktrin, traktat, yurisprudensi, dan seterusnya.",Pusaka Media,pub,public,v-vii,2023-05-08 03:33:21,archive,940,51198,http://repository.lppm.unila.ac.id/,1.0,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Monograf Implementasi Hukum dalam perspektif Teori dan Praktik (juni 2020)_compressed.pdf', 'docid': 190936, 'files': [{'mtime': '2023-05-08 03:27:41', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/550248', 'filename': 'Monograf Implementasi Hukum dalam perspektif Teori dan Praktik (juni 2020)_compressed.pdf', 'filesize': 2193545, 'objectid': 190936, 'hash': '3d15b0484642b000592c884ed876db17', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 550248}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190936', 'eprintid': 51198, 'placement': 1}]","[{'name': {'given': 'FX', 'lineage': None, 'family': 'Sumarja', 'honourific': None}}]",940,1,TRUE,---,Bandar Lampung,published,['K1'],http://repository.lppm.unila.ac.id/id/eprint/51198,1,['Magister Ilmu Hukum Unila'],['FH2'],disk0_bak/00/05/11/98,8,2023-05-08 03:33:21,show,"[{'name': {'given': 'HS', 'honourific': None, 'family': 'Tisnanta', 'lineage': None}}]",2023-05-08 03:33:21,IMPLEMENTASI HUKUM DALAM PERSPEKTIF TEORI DAN PRAKTIK (Seri Diskusi),book_section,,,,,,,,,,,,,
1,,,,2020-10-01 00:00:00.000000000,,Justice Publisher,pub,public,,2020-11-22 11:44:22,archive,,26597,,93.0,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'prosiding fix2.pdf', 'docid': 40495, 'files': [{'hash_type': 'MD5', 'mtime': '2020-11-22 07:29:29', 'filesize': 2954265, 'objectid': 40495, 'filename': 'prosiding fix2.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/239085', 'fileid': 239085, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'b4366449e508f119a5d74b37ac70a25f'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40495', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 26597}]",,276,,TRUE,,Bandar Lampung,published,['K1'],http://repository.lppm.unila.ac.id/id/eprint/26597,,,['FH2'],disk0/00/02/65/97,7,2020-11-22 11:44:22,show,"[{'id': 'fxsmj.unila@gmail.com', 'name': {'lineage': None, 'family': 'Sumarja', 'honourific': None, 'given': 'FX'}}, {'id': 'bayu.sujadmiko@fh.unila.ac.id', 'name': {'lineage': None, 'family': 'Sujadmiko', 'honourific': None, 'given': 'Bayu'}}]",2020-11-22 11:44:22,Menelaah Hukum dalam Problematika Sosial,book,,,,,,,,,,,,,
2,,,,1970-01-01 00:00:00.000002020,,,pub,public,,2021-11-19 06:32:45,archive,EC00202046866,37033,,,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157945', 'eprintid': 37033, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Abdul Somad.pdf', 'docid': 157945, 'files': [{'filename': 'Abdul Somad.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/424953', 'objectid': 157945, 'filesize': 1911264, 'mtime': '2021-11-19 03:44:47', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'be63f5462254d41ccce4a61bb01941f6', 'fileid': 424953, 'datasetid': 'document'}]}]",,786,,,,,published,['K1'],http://repository.lppm.unila.ac.id/id/eprint/37033,,,['FH2'],disk0/00/03/70/33,7,2021-11-19 06:32:45,show,,2021-11-19 06:32:46,"Abu-Lsmad Al-Palembani Siyaru-Lsalikin, Jus II BAB 2 (Kajian terhadap Wanita dan Perkawinan)",patent,LPPM UNILA,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">nunungradliyah@yahoo.com</font></font>'}]",,,,,,,,,,,
3,,,,1970-01-01 00:00:00.000002020,Hasil Penilaian Sejawat Sebidang atau Peer Reviewe,LPPM IAI-KHairat Pemekasan,pub,public,,2022-01-11 10:13:23,archive,,37817,,,"[{'format': 'text', 'docid': 158746, 'main': 'Reviewer Suci.pdf', 'files': [{'datasetid': 'document', 'fileid': 430755, 'mime_type': 'application/pdf', 'hash': '2c97bc08eaca4ad71f9ba743cfb760df', 'filesize': 391465, 'objectid': 158746, 'filename': 'Reviewer Suci.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/430755', 'hash_type': 'MD5', 'mtime': '2022-01-11 03:29:45'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 37817, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/158746', 'pos': 1}]",,3485,,FALSE,,,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/37817,,,['FH2'],disk0/00/03/78/17,6,2022-01-11 10:13:23,show,,2022-01-11 10:13:23,Analisis Kompetensi Pedagogik Guru Pendidikan Agama Islam SMP  Negeri di Kota Metro,article,,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">eka.indria@fh.unila.ac.id</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",FIKROTUNA,,,,,,,,,,
4,,,,1970-01-01 00:00:00.000002020,Hasil Chcek Similarity,,pub,public,,2022-02-25 10:03:51,archive,,39817,,,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 161096, 'main': 'Destructive_Fishing_Treatment_Policy_Based_on_Comm.pdf', 'files': [{'hash': 'c9ff1a50889acd349a4006ccc6e3cd41', 'mime_type': 'application/pdf', 'fileid': 446289, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/446289', 'filename': 'Destructive_Fishing_Treatment_Policy_Based_on_Comm.pdf', 'filesize': 2549339, 'objectid': 161096, 'mtime': '2022-02-25 06:31:00', 'hash_type': 'MD5'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/161096', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 39817}]",,318,,FALSE,,,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/39817,,,['FH2'],disk0/00/03/98/17,7,2022-02-25 10:03:51,show,,2022-02-25 10:03:51,Destructive Fishing Treatment Policy Based on Community Supervision in Lampung Province,conference_item,,"[{'name': {'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>'}]",,other,conference,Proceeding ICETLAWBE 2020,,,,,,,
5,,,,1970-01-01 00:00:00.000002020,Hasil Penilaian sejawat Sebidang atau Peer Review,,pub,public,,2022-02-16 01:16:21,archive,,39331,,,"[{'format': 'text', 'main': 'Reviewer Developing.pdf', 'docid': 160613, 'files': [{'datasetid': 'document', 'fileid': 442487, 'hash': '4c56ab9aa4edb6ea7e0a2544facb0f46', 'mime_type': 'application/pdf', 'filesize': 373539, 'objectid': 160613, 'uri': 'http://repository.lppm.unila.ac.id/id/file/442487', 'filename': 'Reviewer Developing.pdf', 'hash_type': 'MD5', 'mtime': '2022-02-15 09:17:20'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 39331, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160613'}]",,318,,FALSE,,,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/39331,,,['FH2'],disk0/00/03/93/31,7,2022-02-16 01:16:21,show,,2022-02-16 01:16:21,Developing Criminal Policy on Illegal Fishing Counter-measures under the New Normal Order in Indonesia: A Non-penal Perspective,conference_item,,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>', 'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}}]",,paper,conference,Proceeding ICETLAWBE 2020,,,,,,,
6,,,,1970-01-01 00:00:00.000002020,Hasil Chcek Similarity,,pub,public,,2022-02-25 10:03:48,archive,,39815,,,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161094', 'eprintid': 39815, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Developing_Criminal_Policy_on_Illegal_Fishing_Coun.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-02-25 06:24:05', 'objectid': 161094, 'filesize': 4937129, 'filename': 'Developing_Criminal_Policy_on_Illegal_Fishing_Coun.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/446271', 'datasetid': 'document', 'fileid': 446271, 'hash': '8821a5f20c039186a0e417c8494bc211', 'mime_type': 'application/pdf'}], 'docid': 161094}]",,318,,FALSE,,,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/39815,,,['FH2'],disk0/00/03/98/15,7,2022-02-25 10:03:48,show,,2022-02-25 10:03:48,Developing Criminal Policy on Illegal Fishing Counter-measures under the New Normal Order in Indonesia: A Non-penal Perspective,conference_item,,"[{'name': {'honourific': None, 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>'}]",,other,conference,Proceeding ICETLAWBE 2020,,,,,,,
7,,,,1970-01-01 00:00:00.000002020,Hasil Penilaian Sejawat Sebidang atau Peer Review,ICEL,pub,public,,2022-02-16 01:16:14,archive,,39327,,,"[{'files': [{'mtime': '2022-02-15 09:00:34', 'hash_type': 'MD5', 'filename': 'Reviewer Harmonisasi Kebijakan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/442464', 'filesize': 397361, 'objectid': 160610, 'mime_type': 'application/pdf', 'hash': 'd99e871d42fd8add72c61c07c27d44f0', 'datasetid': 'document', 'fileid': 442464}], 'main': 'Reviewer Harmonisasi Kebijakan.pdf', 'docid': 160610, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 39327, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160610', 'pos': 1, 'security': 'public'}]",,318,,FALSE,,,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/39327,,,['FH2'],disk0/00/03/93/27,6,2022-02-16 01:16:14,show,,2022-02-16 01:16:14,Harmonisasi Kebijakan Pengelolaan Lingkungan Pesisir Lampung dalam Rezim Pengelolaan Berbasis Masyarakat,article,,"[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>'}]",Jurnal Hukum Lingkungan Indonesia,,,,,,,,,,
8,,,,1970-01-01 00:00:00.000002020,Hasil Penilaian Sejawat Sebidang atau Peer Review,"Doktoral Ilmu Hukum, Fakultas Hukum, Universitas Lampung",pub,public,,2022-02-16 01:16:16,archive,,39328,,,"[{'format': 'text', 'docid': 160611, 'main': 'Reviewer Harmonisasi Kewenangan.pdf', 'files': [{'datasetid': 'document', 'fileid': 442470, 'mime_type': 'application/pdf', 'hash': '3940e030b626afc5cb2708ba2f09d234', 'objectid': 160611, 'filesize': 401645, 'uri': 'http://repository.lppm.unila.ac.id/id/file/442470', 'filename': 'Reviewer Harmonisasi Kewenangan.pdf', 'hash_type': 'MD5', 'mtime': '2022-02-15 09:04:19'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 39328, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160611'}]",,318,,FALSE,,,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/39328,,,['FH2'],disk0/00/03/93/28,6,2022-02-16 01:16:16,show,,2022-02-16 01:16:16,Harmonisasi Kewenangan Pengelolaan Sumber Daya Perikanan Di Era Otonomi Daerah Berbasis Pancasila,article,,"[{'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>', 'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None}}]",Pancasila and Law Review,,,,,,,,,,
9,,,,1970-01-01 00:00:00.000002020,Hasil Check Similarity,,pub,public,,2022-02-25 10:03:50,archive,,39816,,,"[{'placement': 1, 'eprintid': 39816, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161095', 'security': 'public', 'main': 'Kebijakan_Dekonsentrasi_Pengelolaan_Perikanan__Stu.pdf', 'docid': 161095, 'files': [{'datasetid': 'document', 'fileid': 446282, 'mime_type': 'application/pdf', 'hash': '6639d132a454029a2789b6a5c3c6a649', 'hash_type': 'MD5', 'mtime': '2022-02-25 06:27:08', 'filesize': 7785459, 'objectid': 161095, 'uri': 'http://repository.lppm.unila.ac.id/id/file/446282', 'filename': 'Kebijakan_Dekonsentrasi_Pengelolaan_Perikanan__Stu.pdf'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",,318,,FALSE,,,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/39816,,,['FH2'],disk0/00/03/98/16,7,2022-02-25 10:03:50,show,,2022-02-25 10:03:50,Kebijakan Dekonsentrasi Pengelolaan Perikanan: Studi Kasus Di Provinsi Lampung,conference_item,,"[{'name': {'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None, 'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali'}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">mayashafira@fh.unila.ac.id</font></font>'}]",,other,conference,Prosding Seminar Nasional,,,,,,,
