,metadata_visibility,eprint_status,eprintid,datestamp,documents,lastmod,userid,refereed,title,creators,type,subjects,uri,date,abstract,divisions,publisher,publication,dir,rev_number,ispublished,status_changed,full_text_status,book_title,pres_type,event_type,event_title,place_of_pub,id_number,official_url,funders,date_type,projects,corp_creators,number,volume
0,show,archive,39369,2022-02-16 01:17:12,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 160651, 'main': 'REVIEW INTEGRATION.pdf', 'files': [{'objectid': 160651, 'filesize': 628380, 'filename': 'REVIEW INTEGRATION.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/442742', 'hash_type': 'MD5', 'mtime': '2022-02-16 00:48:04', 'fileid': 442742, 'datasetid': 'document', 'hash': '40ceec6d075d16813ee3647e91527c59', 'mime_type': 'application/pdf'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/160651', 'eprintid': 39369, 'placement': 1}]",2022-02-16 01:17:12,114,FALSE,Integration Of Policy for The Prevention of The Transmission of Covid-19 To the Children of Indonesian Corporate Institutions,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>'}]",article,['K1'],http://repository.lppm.unila.ac.id/id/eprint/39369,2022-01-01 00:00:00.000000000,Hasil Penilaian Sejawat Sebidang atau Peer Review,['FH2'],"University of Tehran, Iran",Webology,disk0/00/03/93/69,6,pub,2022-02-16 01:17:12,public,,,,,,,,,,,,,
1,show,archive,39671,2022-02-21 07:39:20,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/160948', 'pos': 1, 'eprintid': 39671, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Integration_Of_Policy_for_The_Prevention_of_The_Tr.pdf', 'files': [{'mtime': '2022-02-21 06:13:49', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/445150', 'filename': 'Integration_Of_Policy_for_The_Prevention_of_The_Tr.pdf', 'objectid': 160948, 'filesize': 2644259, 'hash': '5e40d3764ac6f04afdf75c24fca80823', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 445150}], 'docid': 160948}]",2022-02-21 07:39:20,114,FALSE,Integration Of Policy for The Prevention of The Transmission of Covid-19 To the Children of Indonesian Corporate Institutions,"[{'name': {'given': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'lineage': None, 'family': '<font style=""vertical-align: inherit;""><font style=""vertical-ali', 'honourific': None}, 'id': '<font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">rini.fathonah@fh.unila.ac.id</font></font>'}]",article,['K1'],http://repository.lppm.unila.ac.id/id/eprint/39671,1970-01-01 00:00:00.000002022,Hasil Check Similarity,['FH2'],"University of Tehran, Iran",Webology,disk0/00/03/96/71,6,pub,2022-02-21 07:39:20,public,,,,,,,,,,,,,
2,show,archive,48942,2023-03-15 03:45:41,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/188386', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 48942, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 188386, 'main': 'APRILIANTI.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '5ac3a3462ea32dea2f7a4c5486ccc516', 'fileid': 532602, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/532602', 'filename': 'APRILIANTI.pdf', 'objectid': 188386, 'filesize': 2162004, 'mtime': '2023-03-15 02:24:58', 'hash_type': 'MD5'}], 'format': 'text'}]",2023-03-15 03:45:41,707,FALSE,Agreement Based on Musyarakah Financing Fatwa of the National Sharia Council No: 08/DSN-MUI/IV/2000 Concerning Musyarakah Financing,"[{'name': {'given': 'APRILIANTI', 'honourific': None, 'lineage': None, 'family': 'APRILIANTI'}}]",article,['K1'],http://repository.lppm.unila.ac.id/id/eprint/48942,1970-01-01 00:00:00.000002022,Hasil Check Similarity,['FH2'],IJMMU,International Journal of Multicultural and Multireligious Understanding,disk0_bak/00/04/89/42,6,pub,2023-03-15 03:45:41,public,,,,,,,,,,,,,
3,show,archive,47458,2022-12-26 02:11:50,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/186513', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 47458, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Hukum Adat.pdf', 'files': [{'mtime': '2022-12-26 00:40:26', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/520476', 'filename': 'Hukum Adat.pdf', 'filesize': 7110204, 'objectid': 186513, 'mime_type': 'application/pdf', 'hash': '053500e455fd67a51c995c1fa5ab0ae8', 'datasetid': 'document', 'fileid': 520476}], 'docid': 186513, 'format': 'text'}]",2022-12-26 02:11:50,707,FALSE,Hukum Adat di Indonesia,"[{'name': {'given': 'APRILIANTI', 'family': 'APRILIANTI', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'family': 'Kasmawati', 'lineage': None, 'given': 'Kasmawati'}}]",book_section,['K1'],http://repository.lppm.unila.ac.id/id/eprint/47458,2022-10-01 00:00:00.000000000,,['FH2'],Pusaka Media,,disk0_bak/00/04/74/58,7,pub,2022-12-26 02:11:50,public,Hukum Adat di Indonesia,,,,,,,,,,,,
4,show,archive,50052,2023-04-10 07:10:54,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189779', 'security': 'public', 'placement': 1, 'eprintid': 50052, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'ahmad syofyan123.pdf', 'docid': 189779, 'files': [{'filesize': 2323143, 'objectid': 189779, 'filename': 'ahmad syofyan123.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/541656', 'hash_type': 'MD5', 'mtime': '2023-04-10 06:59:44', 'datasetid': 'document', 'fileid': 541656, 'hash': '4088418284a70d7121a41a553fbfe422', 'mime_type': 'application/pdf'}], 'format': 'text'}]",2023-04-10 07:10:54,230,FALSE,hfryjhfr,"[{'name': {'given': 'Syofyan', 'lineage': None, 'family': 'Ahmad', 'honourific': None}, 'id': 'a_syofyan23@yahoo.com'}]",article,['K1'],http://repository.lppm.unila.ac.id/id/eprint/50052,1970-01-01 00:00:00.000002022,Hasil Check Similarity,['FH2'],Fakultas Hukum Universitas Lampung,GAGASAN PEMBENTUKAN PERUSAHAAN INTERNASIONAL UNTUK PENGELOLAAN SUMBERDAYA ALAM WARISAN BERSAMA UMAT,disk0_bak/00/05/00/52,8,pub,2023-04-10 07:10:54,public,,,,,,,,,,,,,
5,show,archive,50220,2023-04-11 07:26:19,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'HKI-HUKUM INTERNASIONAL.pdf', 'files': [{'datasetid': 'document', 'fileid': 542745, 'mime_type': 'application/pdf', 'hash': '655e6f515d6dc04a7a110784f717d857', 'hash_type': 'MD5', 'mtime': '2023-04-11 06:41:50', 'filesize': 5292248, 'objectid': 189925, 'uri': 'http://repository.lppm.unila.ac.id/id/file/542745', 'filename': 'HKI-HUKUM INTERNASIONAL.pdf'}], 'docid': 189925, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189925', 'security': 'public', 'placement': 1, 'eprintid': 50220}]",2023-04-11 07:26:19,230,FALSE,HUKUM INTERNASIONAL,"[{'name': {'family': 'Ahmad Syofyan', 'lineage': None, 'honourific': None, 'given': 'Ahmad S'}, 'id': 'ahmad.syofyan@fh.unila.ac.id'}]",book_section,['K1'],http://repository.lppm.unila.ac.id/id/eprint/50220,1970-01-01 00:00:00.000002022,,['FH2'],Pusat Kajian Konstitusi dan Perundang-undangan Universitas Lampung,,disk0_bak/00/05/02/20,7,pub,2023-04-11 07:26:19,public,hukum internasional,,,,,,,,,,,,
6,show,archive,50198,2023-04-11 07:25:56,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'HKI-HPSI.pdf', 'files': [{'fileid': 542731, 'datasetid': 'document', 'hash': '40a4e90b314c81f40929e0fcfd951ff1', 'mime_type': 'application/pdf', 'filesize': 4694158, 'objectid': 189924, 'uri': 'http://repository.lppm.unila.ac.id/id/file/542731', 'filename': 'HKI-HPSI.pdf', 'hash_type': 'MD5', 'mtime': '2023-04-11 06:31:46'}], 'docid': 189924, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189924', 'eprintid': 50198, 'placement': 1}]",2023-04-11 07:25:56,230,FALSE,HUKUM PENYELESAIAN SENGKETA INTERNASIONAL,"[{'id': 'ahmad.syofyan@fh.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Ahmad Syofyan', 'given': 'Ahmad S'}}]",book_section,['K1'],http://repository.lppm.unila.ac.id/id/eprint/50198,1970-01-01 00:00:00.000002022,,['FH2'],Justice Publisher/Fakultas Hukum Universitas Lampung,,disk0_bak/00/05/01/98,7,pub,2023-04-11 07:25:56,public,HUKUM PENYELESAIAN SENGKETA INTERNASIONAL,,,,,,,,,,,,
7,show,archive,50983,2023-05-03 06:56:48,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190695', 'eprintid': 50983, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 548518, 'hash': '6769a06af9b5d520605ab7aee5757bfe', 'mime_type': 'application/pdf', 'objectid': 190695, 'filesize': 2351844, 'filename': 'Implementation of Civil Rights against Vulnerable Groups in the Legal and Constitutional System in Indonesia.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/548518', 'hash_type': 'MD5', 'mtime': '2023-05-03 03:07:27'}], 'main': 'Implementation of Civil Rights against Vulnerable Groups in the Legal and Constitutional System in Indonesia.pdf', 'docid': 190695}]",2023-05-03 06:56:48,230,FALSE,Implementation of Civil Rights against Vulnerable Groups in the Legal and Constitutional System in Indonesia,"[{'id': 'ahmad.syofyan@fh.unila.ac.id', 'name': {'given': 'Ahmad S', 'honourific': None, 'lineage': None, 'family': 'Ahmad Syofyan'}}]",article,['K1'],http://repository.lppm.unila.ac.id/id/eprint/50983,1970-01-01 00:00:00.000002022,,['FH2'],,Implementation of Civil Rights against Vulnerable Groups in the Legal and Constitutional System in Indonesia,disk0_bak/00/05/09/83,6,submitted,2023-05-03 06:56:48,public,,,,,,,,,,,,,
8,show,archive,51213,2023-05-08 07:47:36,"[{'eprintid': 51213, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190948', 'format': 'text', 'docid': 190948, 'main': 'Laporan Akhir Penelitian Dasar_Naek Siregar dan Ahmad Syofyan.pdf', 'files': [{'objectid': 190948, 'filesize': 1607695, 'filename': 'Laporan Akhir Penelitian Dasar_Naek Siregar dan Ahmad Syofyan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/550320', 'hash_type': 'MD5', 'mtime': '2023-05-08 06:33:39', 'datasetid': 'document', 'fileid': 550320, 'mime_type': 'application/pdf', 'hash': '39c89ac598362661fd020425554869fd'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2023-05-08 07:47:36,230,FALSE,PENGGUNAAN ARTIFICIAL INTELLIGENCE DALAM KONFLIK BERSENJATA MENURUT HUKUM INTERNASIONAL,"[{'name': {'given': 'Ahmad S', 'honourific': None, 'lineage': None, 'family': 'Ahmad Syofyan'}, 'id': 'ahmad.syofyan@fh.unila.ac.id'}]",article,['K1'],http://repository.lppm.unila.ac.id/id/eprint/51213,1970-01-01 00:00:00.000002022,,['FH2'],,ENGGUNAAN ARTIFICIAL INTELLIGENCE DALAM KONFLIK BERSENJATA MENURUT HUKUM INTERNASIONAL,disk0_bak/00/05/12/13,6,pub,2023-05-08 07:47:36,public,,,,,,,,,,,,,
9,show,archive,50087,2023-04-10 09:19:21,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 189785, 'main': 'SKHLI Print revisi 2022.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/541735', 'filename': 'SKHLI Print revisi 2022.pdf', 'filesize': 16782842, 'objectid': 189785, 'mtime': '2023-04-10 07:20:16', 'hash_type': 'MD5', 'hash': '1cf954d9fcbfe3dde3e6e2353108aa0e', 'mime_type': 'application/pdf', 'fileid': 541735, 'datasetid': 'document'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189785', 'pos': 1, 'eprintid': 50087, 'placement': 1}]",2023-04-10 09:19:21,230,FALSE,STUDI KASUS HUKUM LINGKUNGAN INTERNASIONAL,"[{'id': 'ahmad.syofyan@fh.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Ahmad Syofyan', 'given': 'Ahmad S'}}]",book_section,['K1'],http://repository.lppm.unila.ac.id/id/eprint/50087,1970-01-01 00:00:00.000002022,,['FH2'],Fakultas Hukum Universitas Lampung,,disk0_bak/00/05/00/87,8,submitted,2023-04-10 09:19:21,public,STUDI KASUS HUKUM LINGKUNGAN INTERNASIONAL,,,,,,,,,,,,
10,show,archive,50217,2023-04-11 07:26:14,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'SKHLI HKI.pdf', 'docid': 189920, 'files': [{'hash_type': 'MD5', 'mtime': '2023-04-11 06:19:23', 'objectid': 189920, 'filesize': 3019800, 'uri': 'http://repository.lppm.unila.ac.id/id/file/542715', 'filename': 'SKHLI HKI.pdf', 'fileid': 542715, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '012cda76cd3e5e753e04880b727adc92'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189920', 'eprintid': 50217, 'placement': 1}]",2023-04-11 07:26:14,230,FALSE,Studi Kasus Hukum Lingkungan Internasional,"[{'name': {'honourific': None, 'family': 'Ahmad Syofyan', 'lineage': None, 'given': 'Ahmad S'}, 'id': 'ahmad.syofyan@fh.unila.ac.id'}]",book_section,['K1'],http://repository.lppm.unila.ac.id/id/eprint/50217,1970-01-01 00:00:00.000002022,,['FH2'],Justice Publisher/Fakultas Hukum Universitas Lampung,,disk0_bak/00/05/02/17,7,pub,2023-04-11 07:26:14,public,STUDI KASUS HUKUM LINGKUNGAN INTERNASIONAL,,,,,,,,,,,,
