,event_title,subjects,uri,date,divisions,dir,event_type,full_text_status,status_changed,ispublished,rev_number,datestamp,eprintid,eprint_status,metadata_visibility,pagerange,userid,lastmod,documents,type,pres_type,creators,title,refereed,publisher,publication,issn,corp_creators,abstract,official_url,number,keywords,volume,date_type,event_location,event_dates,pages,editors,place_of_pub,contact_email,isbn,projects,related_url,funders,id_number
0,Prosiding Seminar Nasional Laboratorium Hukum Fakultas Hukum Universitas Lampung,['K1'],http://repository.lppm.unila.ac.id/id/eprint/13491,2011-05-01 00:00:00.000000000,['FH3'],disk0/00/01/34/91,conference,public,2019-08-01 07:37:09,pub,7,2019-08-01 07:37:09,13491,archive,show,179-186,955,2019-08-01 07:37:09,"[{'eprintid': 13491, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26500', 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': 'd46f00f8ecf53490d3634917718dec24', 'datasetid': 'document', 'fileid': 117970, 'mtime': '2019-07-10 04:32:20', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/117970', 'filename': 'amnawati prosiding (Globalisasi dan Pembaharuan Sistem Hukum Pe.pdf', 'filesize': 1363203, 'objectid': 26500}], 'main': 'amnawati prosiding (Globalisasi dan Pembaharuan Sistem Hukum Pe.pdf', 'docid': 26500, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",conference_item,paper,"[{'id': 'amnawaty@yahoo.com', 'name': {'given': 'S.H., M.H', 'lineage': None, 'family': 'Amnawaty', 'honourific': None}}]",Globalisasi dan Pembaharuan Sistem Hukum Perkawinan Indonesia (Pendekatan Hukum Islam),FALSE,,,,,,,,,,,,,,,,,,,,,
1,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/13753,2011-05-01 00:00:00.000000000,['FH3'],disk0/00/01/37/53,,public,2019-08-08 02:38:23,pub,6,2019-08-08 02:38:23,13753,archive,show,,769,2019-08-08 02:38:23,"[{'placement': 1, 'eprintid': 13753, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26764', 'security': 'public', 'files': [{'datasetid': 'document', 'fileid': 119923, 'mime_type': 'application/pdf', 'hash': '41279b6e44824e733971260acad460ff', 'hash_type': 'MD5', 'mtime': '2019-08-08 02:09:14', 'objectid': 26764, 'filesize': 318996, 'uri': 'http://repository.lppm.unila.ac.id/id/file/119923', 'filename': 'peerreview upik peran kecamatan.pdf'}], 'main': 'peerreview upik peran kecamatan.pdf', 'docid': 26764, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",article,,"[{'name': {'given': 'Upik', 'family': 'Hamidah', 'lineage': None, 'honourific': None}}]",Peran Kecamatan Sebagai Perangkat Daerah Dalam Pelayanan Pertanahan (Studi pada Kecamatan Tanjung Karang Timur),TRUE,Fakultas Hukum Universitas Lampung,Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,1978-5186,['Universitas Lampung'],Hasil penilaian sejawat sebidang atau peer review,,,,,,,,,,,,,,,,
2,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/8754,2011-10-01 00:00:00.000000000,['FH3'],disk0/00/00/87/54,,public,2018-10-26 10:03:36,pub,6,2018-10-26 10:03:36,8754,archive,show,1213-1239,807,2018-10-26 10:03:36,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21839', 'eprintid': 8754, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'Fungsionalisasi-Hk-dlm-Masyarakat_Maroni.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'e3d349a049b98aab2a8bec9d4fcb53e8', 'datasetid': 'document', 'fileid': 85309, 'filename': 'Fungsionalisasi-Hk-dlm-Masyarakat_Maroni.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/85309', 'objectid': 21839, 'filesize': 5401258, 'mtime': '2018-08-28 07:23:36', 'hash_type': 'MD5'}], 'docid': 21839}]",article,,"[{'name': {'family': 'Maroni', 'lineage': None, 'honourific': None, 'given': 'Maroni'}, 'id': 'maroniunila@gmail.com'}]",Fungsionalisasi Hukum Dalam Masyarakat,FALSE,Fakultas Hukum Universitas Pasundan,Ilmu Hukum Litigasi,0853-7100,['Universitas Pasundan'],"Semua masyarakat membutuhkan hukum yang sesuai dengan atmosfirnya. Bangsa Indonesia yang besifat komunal, tentunya model hukumnya tidak bisa disamakan dengan model hukum bangsa belanda (eropa) yang besifat individual. Carut marutnya kehidupan hukum di Indonesia saat ini karena adanya ketidakcocokan hukum yang berlaku sebagai produk cara berpikir doctrinal warisan colonial belanda. Permasalahan dalam tulisan ini yaitu bagaimanakah menjadi hukum yang berfungsi bagi masyarakat, seperti berfungsinya oxygen bagi manusia. Hasil kajiannya bahwa agar hukum dapat menjawab kepentingan masyarakatnya, maka hukum paling tidak dapat berfungsi sebagai : (1) bagian dari system control ;(2) alat penyelesaian sengketa ;(3) fungsi redistribusi atau fungsi rekayasa sosial. Dalam kaitannya dengan kepentingan hukum bangsa Indonesia, maka system hukum harus bersifat humanistic berdasarkan pancasila.",http://journal.unpas.ac.id/index.php/litigasi/issue/archive?issuesPage=3#issues,2.0,"Hukum, Masyarakat, dan Fungsi Hukum",12,published,,,,,,,,,,,
3,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/8757,2011-05-01 00:00:00.000000000,['FH3'],disk0/00/00/87/57,,public,2018-10-26 10:08:55,pub,6,2018-10-26 10:08:55,8757,archive,show,129-140,807,2018-10-26 10:08:55,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'fileid': 85328, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '470b2237e1d7dcd748788eb60e5c12e4', 'filesize': 5562739, 'objectid': 21842, 'filename': 'Pancasila-sebagai-margin-of-appreciation_maroni.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/85328', 'hash_type': 'MD5', 'mtime': '2018-08-28 08:16:57'}], 'main': 'Pancasila-sebagai-margin-of-appreciation_maroni.pdf', 'docid': 21842, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/21842', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 8757}]",article,,"[{'id': 'maroniunila@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Maroni', 'given': 'Maroni'}}]","PANCASILA SEBAGAI MARGIN OF APPRECIATION PEMBANGUNAN
 HUKUM DI INDONESIA",FALSE,Fakultas Hukum Universitas Lampung,Pembangunan Hukum : Mewujudkan Agenda Reformasi Di era Globalisasi,978-979-632-004-2,['Fakultas Hukum Universitas Lampung'],"Sistem hukum suatu bangsa tidak dapat dilepaskan dari konteks manusianya Karen ahukum ada dan diperuntukan untuk kehidupan manusia, bangsa Indonesia hendak membangun sistem hukum yang berkarakterristik Indonesia ( system hukum pancasila), maka bangsa Indonesia dituntut untuk mengartikan tidak hanya terpaku dengan kerja logika-dedukatif semata yang masuk ranaj legalistic-dogmatik dan empiric-positivistik, melainkan juga untuk manusia dan masyarakat (logika-induktif). Pancasila sebagai ‘ margin of appreciation’ yaitu usaha untuk selalu menempatkan ideology Negara pancasila sebagi acuan atau rujukan dalam setiap langkah hukum, seperti proses pembuatan undang-undangan, proses penegakan hukum, penanaman kesadaran hukum rakyat, bahkan dalam penerapan uji materiil?(judicial review) yang dilakukan oleh mahkamah konstitusi.",http://www.fh.unila.ac.id,,"Pembangunan hukum, Pancasila",,published,,,,,,,,,,,
4,Prosiding Penerbit Raboratorium Fakultas Hukum Unila,['K1'],http://repository.lppm.unila.ac.id/id/eprint/13658,2011-05-01 00:00:00.000000000,['FH3'],disk0/00/01/36/58,conference,public,2019-08-01 07:37:11,pub,7,2019-08-01 07:37:11,13658,archive,show,151-158,921,2019-08-01 07:37:11,"[{'placement': 1, 'eprintid': 13658, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26671', 'security': 'public', 'main': 'Nurmayani (Prosiding) Pembaharuan Pajak Daerah dalam Rangka Meningkatkan Pendapatan Asli Daerah.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/119198', 'filename': 'Nurmayani (Prosiding) Pembaharuan Pajak Daerah dalam Rangka Meningkatkan Pendapatan Asli Daerah.pdf', 'objectid': 26671, 'filesize': 1352649, 'mtime': '2019-07-25 03:50:38', 'hash_type': 'MD5', 'hash': 'e8bad14e189c215011128cc168a583ee', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 119198}], 'docid': 26671, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",conference_item,paper,"[{'name': {'given': 'Nurmayani', 'lineage': None, 'family': 'Nurmayani', 'honourific': None}}]",Pembaharuan Pajak Daerah dalam Rangka Meningkatkan Pendpatan Asli Daerah,FALSE,,,,,,,,,,,Bandar Lampung,,,,,,,,,,
5,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/13710,1970-01-01 00:00:00.000002011,['FH3'],disk0/00/01/37/10,,public,2019-08-05 04:31:56,pub,6,2019-08-05 04:31:56,13710,archive,show,,921,2019-08-05 04:31:56,"[{'format': 'text', 'main': 'peerreview pelaksanaan pemungutan.pdf', 'docid': 26721, 'files': [{'fileid': 119623, 'datasetid': 'document', 'hash': 'f45c97d2086994fee17fd8b0a30eab43', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-08-05 04:15:06', 'objectid': 26721, 'filesize': 253796, 'uri': 'http://repository.lppm.unila.ac.id/id/file/119623', 'filename': 'peerreview pelaksanaan pemungutan.pdf'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 13710, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26721'}]",article,,"[{'name': {'honourific': None, 'family': 'Nurmayani', 'lineage': None, 'given': 'Nurmayani'}}]",pelaksanaan pemungutan pajak hotel dan kontribusinya terhadap pendapatan asli daerah kota bandar lampung,TRUE,Fakultas Hukum Universitas Lampung,Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,1978-5186,['Universitas Lampung'],,,,,,published,,,,,,,,,,,
6,Seminar nasional fakultas hukum universitas lampng,['K1'],http://repository.lppm.unila.ac.id/id/eprint/13711,1970-01-01 00:00:00.000002011,['FH3'],disk0/00/01/37/11,conference,public,2019-08-05 04:33:37,pub,7,2019-08-05 04:33:37,13711,archive,show,,921,2019-08-05 04:33:37,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'peerreview pembharuan pajak.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-08-05 04:22:21', 'filesize': 255217, 'objectid': 26722, 'filename': 'peerreview pembharuan pajak.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/119630', 'datasetid': 'document', 'fileid': 119630, 'mime_type': 'application/pdf', 'hash': 'ebbf4997a02b2d1cd95fbb6e9842f325'}], 'docid': 26722, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26722', 'pos': 1, 'eprintid': 13711, 'placement': 1}]",conference_item,paper,"[{'name': {'lineage': None, 'family': 'Nurmayani', 'honourific': None, 'given': 'Nurmayani'}}]",pembaharuan pajak daerah dalam rangka meningkatkan pendapatan asli daerah,TRUE,,,,['Universitas Lampung'],,,,,,published,,mei 2011,,,,,,,,,
7,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/6919,2011-09-01 00:00:00.000000000,['FH3'],disk0/00/00/69/19,,public,2018-05-28 03:59:48,pub,7,2018-05-28 03:59:48,6919,archive,show,,282,2018-05-28 03:59:48,"[{'eprintid': 6919, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19892', 'format': 'text', 'main': 'Scan Buku Hukum Humaniter.pdf', 'docid': 19892, 'files': [{'hash': '9972b5ce6ecb94d2445079edc47a6fa0', 'mime_type': 'application/pdf', 'fileid': 63453, 'datasetid': 'document', 'mtime': '2018-05-21 07:04:46', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/63453', 'filename': 'Scan Buku Hukum Humaniter.pdf', 'filesize': 34833772, 'objectid': 19892}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",book,,"[{'name': {'family': 'Putri', 'lineage': None, 'honourific': None, 'given': 'Ria Wierma'}}]",Hukum Humaniter Internasional,TRUE,Universitas Lampung,,,['Universitas Lampung'],Buku ini merupakan buku teks untuk mata kuliah wajib hukum humaniter yang memberikan deskripsi mendasar mengenai hukum humaniter internasional yang berlaku.,,,,,published,,,93.0,"[{'name': {'given': 'Heryandi', 'family': 'Heryandi', 'lineage': None, 'honourific': None}, 'id': 'heryandi.1962@fh.unila.ac.id'}]",Bandar Lampung,riawierma.putri@fh.unila.ac.id,978-602-7509-05-4,,,,
8,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/13925,2011-11-01 00:00:00.000000000,['FH3'],disk0/00/01/39/25,,public,2019-08-25 17:08:00,pub,6,2019-08-25 17:08:00,13925,archive,show,69-85,235,2019-08-25 17:08:00,"[{'files': [{'filesize': 234562, 'objectid': 26959, 'uri': 'http://repository.lppm.unila.ac.id/id/file/121412', 'filename': '2011 11 Kompetensi Hakim Konstitusi dalam Penafsiran Konstitusi (Studi Kasus Makna Pasal 24C Ayat (1) UUD 1945 dalam hal SKLN, Jurnal Konstitusi.pdf', 'hash_type': 'MD5', 'mtime': '2019-08-23 02:35:47', 'fileid': 121412, 'datasetid': 'document', 'hash': '57dbfcf57d088a59e1badea575550c75', 'mime_type': 'application/pdf'}], 'main': '2011 11 Kompetensi Hakim Konstitusi dalam Penafsiran Konstitusi (Studi Kasus Makna Pasal 24C Ayat (1) UUD 1945 dalam hal SKLN, Jurnal Konstitusi.pdf', 'docid': 26959, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 13925, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26959', 'pos': 1, 'security': 'public'}]",article,,"[{'name': {'given': 'Zulkarnain', 'honourific': None, 'lineage': None, 'family': 'Ridlwan'}, 'id': 'zulkarnain.ridlwan@fh.unila.ac.id'}]",Kompetensi Hakim Konstitusi dalam Penafsiran Konstitusi,TRUE,Pusat Kajian Konstitusi dan Peraturan Perundang-undangan FH Unila,Jurnal Konstitusi,,,"Tujuan  penulisan  ini  adalah  untuk  menegaskan  kewenangan  menafsirkan  ketentuan 
konstitusi oleh  Mahmakah  Konstitusi  (MK) dengan  mengambil  studi  kasus  pada Sengketa 
Kewenangan Lembaga Negara  (SKLN)  dalam  ketentuan Pasal  24C  ayat  (1)  UUD  1945.
Berdasarkan  pada  metode  penulisan  hukum  normatif  dan  mengamati  kenyataan dalam 
perkembangan ketatanegaraan  Indonesia,  disimpulkan  bahwa  kewenangan  menafsirkan 
konstitusi hendaknya diserahkan  kepada  MK sesuai  dengan politik  hukum  dibentuknya  MK
baik dalam Perdebatan Perubahan UUD 1945 maupun dalam Undang-Undang MK Nomor 24 
Tahun  2003.  MK  dibentuk sebagai  lembaga  penafsir  konstitusi  guna  menghindari  makna 
ganda  atas  suatu  ketentuan  konstitusi.  Untuk  menjalankan  kewenangan  penafsiran  yang 
strategis tersebut,  diperlukan  prasyarat  berupa  ketersediaan  sumber  daya  manusia  hakim 
konstitusi yang memiliki kredibilitas, profesionalitas, dan integritas. Terpenuhinya prasyarat 
tersebut,  menjadi  jaminan  penafsiran  konstitusi  yang  benar  guna  menegakkan  hukum  dan 
mewujudkan keadilan.",,2.0,,III,published,,,,,,,,,,,
9,,['K1'],http://repository.lppm.unila.ac.id/id/eprint/13924,2011-06-01 00:00:00.000000000,['FH3'],disk0/00/01/39/24,,public,2019-08-25 17:06:54,pub,6,2019-08-25 17:06:54,13924,archive,show,37-56,235,2019-08-25 17:06:54,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 26957, 'main': '2011 06 Model Pengawasan Pilkada, Jurnal Konsitusi.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-08-23 02:25:42', 'objectid': 26957, 'filesize': 177386, 'filename': '2011 06 Model Pengawasan Pilkada, Jurnal Konsitusi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/121401', 'fileid': 121401, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '6cddf311bb0dd92404a89646e3c28a39'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26957', 'security': 'public', 'placement': 1, 'eprintid': 13924}]",article,,"[{'name': {'honourific': None, 'family': 'Ridlwan', 'lineage': None, 'given': 'Zulkarnain'}, 'id': 'zulkarnain.ridlwan@fh.unila.ac.id'}]",Model Pengawasan Pemilukada Berbasis Pelibatan Masyarakat,TRUE,Pusat Kajian Konstitusi dan Peraturan Perundang-undangan FH Unila,Jurnal Konstitusi,,,"The  purpose  of  this  paper  is  to  propose  an  alternative  model  of  regional head 
election supervision. The method used in this paper is normative research method,
descriptively.  By  analyzing  the  model  of  election  monitoring  in  Indonesia  ever 
valid,  it  is  worth  to  apply  for regional  head electoral  supervision  model-based  of 
community  involvement,  especially  the  voters.  People  is  positioned  as  the 
spearhead  of  supervision  while  coordinating  with  the  regulatory  agency  that  is 
formal in terms of administrative compliance.",,1.0,,III,published,,,,,,,,,,,
