,uri,date,volume,abstract,subjects,date_type,ispublished,rev_number,status_changed,issn,full_text_status,publisher,publication,divisions,dir,related_url,documents,lastmod,official_url,number,userid,pagerange,metadata_visibility,eprint_status,eprintid,datestamp,refereed,title,type,creators,event_dates,pres_type,event_location,event_title,event_type,keywords,corp_creators,contact_email,funders,projects,contributors,referencetext,pages,id_number,patent_applicant,succeeds,book_title,isbn,place_of_pub,series,institution,monograph_type,department
0,http://repository.lppm.unila.ac.id/id/eprint/20928,2020-04-01 00:00:00.000000000,22.0,"Penelitian ini bertujuan untuk menganalisis dan memetakan produk hukum daerah apa saja yang dapat mendorong upaya perwujudan kabupaten/kota layak anak. Tingginya kasus dan kekerasan terhadap anak merupakan fakta bahwa hak-hak anak belum terpenuhi oleh pemerintah, termasuk pemerintah daerah. Penelitian ini menggunakan metode penelitian hukum normatif dengan pendekatan peraturan perundang-undangan, analitis, dan konseptual. Hasil penelitian ini menunjukkan bahwa: roadmapping kebutuhan hukum daerah agar terciptanya kabupaten/kota ramah anak bersumber dari kewenangan daerah rezim hukum pemerintahan daerah yang diatur dalam UU No. 23 Tahun 2014 tentang Pemerintahan Daerah dan rezim hukum sektoral perlindungan anak yang diatur dalam UU No. 23 Tahun 2003 tentang Perlindungan Anak. Produk hukum daerah yang dibutuhkan antara lain yaitu Peraturan Daerah dan Peraturan Bupati/Walikota. Setidaknya terdapat lima Perda yang dibutuhkan dalam rangka mewujudkan kabupaten/kota layak anak yaitu Perda tentang Perlindungan Anak, Perda tentang Pengembangan Partisipasi Anak dalam Pembangunan, Perda tentang Pemberian ASI Esklusif, Perda tentang Ketahanan Keluarga, dan Perda tentang Kawasan Tanpa Rokok. Pemetaan kebutuhan produk hukum daerah ini nantinya akan menjadi arah kebijakan hukum untuk mewujudkan kabupaten/kota layak anak.

Kata Kunci: Anak; Kewenangan Daerah; Pemerintah; Layak Anak.","['K1', 'KZ']",published,pub,7,2020-05-29 01:40:29,0854-5499,public,FH Universitas Syiahkuala,Kanun Jurnal Ilmu Hukum,['FH3'],disk0/00/02/09/28,[{'url': 'http://www.jurnal.unsyiah.ac.id/kanun/article/view/15694'}],"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/34302', 'pos': 1, 'eprintid': 20928, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 34302, 'main': '15694-48818-1-PB.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/195515', 'filename': '15694-48818-1-PB.pdf', 'filesize': 345097, 'objectid': 34302, 'mtime': '2020-05-28 22:58:35', 'hash_type': 'MD5', 'hash': '17ef51fbd59eb84876ec0e7769b65f12', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 195515}]}]",2020-05-29 01:40:29,http://www.jurnal.unsyiah.ac.id/kanun,1.0,1229,1-24,show,archive,20928,2020-05-29 01:40:29,TRUE,Pemetaan Kebutuhan Produk Hukum Daerah dalam Rangka Mewujudkan Kabupaten/Kota Layak Anak,article,"[{'name': {'given': 'Saleh', 'lineage': None, 'family': 'Ahmad', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Malicia', 'honourific': None, 'given': 'Evendia'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Martha', 'given': 'Riananda'}}]",,,,,,,,,,,,,,,,,,,,,,,
1,http://repository.lppm.unila.ac.id/id/eprint/51858,1970-01-01 00:00:00.000002020,,URGENSI PENGATURAN RENCANA PERLINDUNGAN DAN PENGELOLAAN LINGKUNGAN HIDUP DI PROVINSI LAMPUNG,['K1'],,unpub,8,2023-05-19 07:38:56,,public,LPPM Universitas Lampung,,['FH3'],disk0_bak/00/05/18/58,,"[{'eprintid': 51858, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/250791', 'pos': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 614377, 'hash': '3ae2e193f2a847940ac1d93d25f61c10', 'mime_type': 'application/pdf', 'filesize': 877802, 'objectid': 250791, 'filename': 'Laporan Penelitian 2020.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/614377', 'hash_type': 'MD5', 'mtime': '2023-05-19 06:25:49'}], 'main': 'Laporan Penelitian 2020.pdf', 'docid': 250791, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2023-05-19 07:38:56,,,106,,show,archive,51858,2023-05-19 07:38:56,,URGENSI PENGATURAN RENCANA PERLINDUNGAN DAN PENGELOLAAN LINGKUNGAN HIDUP DI PROVINSI LAMPUNG,other,"[{'id': 'muhammad.akib@fh.unila.ac.id', 'name': {'family': 'Akib', 'lineage': None, 'honourific': None, 'given': 'Muhammad'}}, {'id': None, 'name': {'lineage': None, 'family': 'Tisnanta', 'honourific': None, 'given': 'HS'}}, {'id': 'agus.triono@fh.unila.ac.id', 'name': {'given': 'Agus', 'honourific': None, 'family': 'Triono', 'lineage': None}}]",,,,,,,,,,,,,,,,,,,,,,,
2,http://repository.lppm.unila.ac.id/id/eprint/26402,2020-11-01 00:00:00.000000000,,"International child adoption is an alternative in providing protection and fulfilment of children's rights and carries out the best interests of the child. Furthermore, this research on international child adoption aims to determine the personal status of children and the state's responsibility for international child adoption in international civil law. Therefore, regulations regarding the adoption of international children need to be regulated firmly in Indonesian national law and international law. This research was conducted using normative legal research methods through a descriptive approach. The data source used is secondary data consisting of legal instruments, scientific articles, literature and internet sites. The results of this study indicate that international child adoption has regulations in Indonesian national law and international law which regulates the personal status of children and the responsibility of the state. The personal status of children in international law is determined based on the habitual residence principle. In contrast, in Indonesian national law, the personal status of children of Indonesian citizens is determined based on the principle of nationality, and the children of foreign nationals residing in Indonesia are still subject to the provisions of adoption according to Indonesian law. Furthermore, countries that are involved in the practice of international child adoption should provide protection, counselling and supervision to children and their adoptive parents.",['K1'],published,pub,6,2020-11-20 02:42:37,,none,,,['FH3'],disk0/00/02/64/02,,,2020-11-20 02:42:37,,,126,,show,archive,26402,2020-11-20 02:42:37,TRUE,Determination of Child Personal Status for Protection towards International Child Adoption According to Private International Law,conference_item,"[{'name': {'given': 'Syawalluddin', 'honourific': None, 'family': 'Al Rasyid', 'lineage': None}, 'id': 'syawalluddinalrasyid23@gmail.com'}, {'name': {'given': 'Naek', 'honourific': None, 'family': 'Siregar', 'lineage': None}, 'id': 'naek.siregar@fh.unila.ac.id'}, {'name': {'family': 'Rehulina', 'lineage': None, 'honourific': None, 'given': 'Rehulina'}, 'id': 'rehulina.1980@fh.unila.ac.id'}]",18-19 November 2020,paper,"LP2M Universitas Lampung, Bandar Lampung",1st Universitas Lampung International Conference on Science and Technology 2020,conference,,,,,,,,,,,,,,,,,,
3,http://repository.lppm.unila.ac.id/id/eprint/25700,1970-01-01 00:00:00.000002020,,"Many people do the unregistered marriage for various reasons while inconsistencies between articles of the Marriage Act No.1/1974 jo. KompilasiHukum Islam (Compilation of Islamic Law) as well as the legal culture of religious judge have triggered numerous problems concerning to the rights of the children who born within this marriage. Revision to Article 43 of Marriage Actitself is also not sufficient to provide a significant impact to the rights of these children.Therefore, this research conducted to explore the causative factors of people do the unregistered marriage and to reveal more about the legal protection of children’s rights that born by this marriage. The research held in Kampung (village) Kedondong, Pesawaran Regency, Lampung Province by using qualitative approach. There are three main factors as the reasons for the people do the unregistered marriage which are : (1) Islamic exclusive view concept, (2) economic condition, and (3) procedures and formalities contents on the regulations. In addition, there is also a fact that the children’s rights who born within the unregistered marriage do not have the legal protection from the constitution law, even if they are protected by the local communities through the local wisdom. Keywords: unregistered marriage; the protection of child’s law; moslem children justice; Islamic justice",['K1'],published,pub,7,2020-11-17 03:16:25,978-602-5871-66-5,public,FH UI,Internatonal coference on islamic law in indonesia,['FH3'],disk0/00/02/57/00,,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/39489', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 25700, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 39489, 'main': 'e-book Buku ICILI (update 19 Okt 2020).pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '1bff05dd4dc708ea0e10ffeedd590a8a', 'datasetid': 'document', 'fileid': 231399, 'filename': 'e-book Buku ICILI (update 19 Okt 2020).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/231399', 'filesize': 1672003, 'objectid': 39489, 'mtime': '2020-11-17 02:52:53', 'hash_type': 'MD5'}], 'format': 'text'}]",2020-11-17 03:16:25,,,955,175-181,show,archive,25700,2020-11-17 03:16:25,TRUE,CHILDREN'S RIGHTS AND THE LEGAL CULTURE OF SOCIETY ON UNREGISTERED MARRIAGE,article,"[{'id': 'amnawaty@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Amnawaty', 'given': 'S.H., M.H'}}, {'name': {'given': 'juliana', 'lineage': None, 'family': 'dina', 'honourific': None}, 'id': None}]",,,,,,unregistered marriage; the protection of child’s law; moslem children justice; Islamic justice,['universitas Indonesia'],,,,,,,,,,,,,,,,
4,http://repository.lppm.unila.ac.id/id/eprint/26218,2020-11-07 00:00:00.000000000,,"Pada umumnya siswa/i yayasan pondok pesantren nurul falah belum memahami secara benar tentang tindak pidan intimidasi dan penegakan hukumnya. Mereka juga   belum pernah mendapatkan penyuluhan atau pelatihan tentang hukum tetang tindak pidan tersebut. Untuk itulah perlu diberikan pengetahuan yang cukup melalui penyuluhan hukum ini untuk mengatasi permasalahan mitra terkait upaya pencegahan kejahatan terhadap anak didik sebagai bentuk perlindungan hukum menurut Undang-Undang Perlindungan anak. Upaya yang dilakukan melalui penyuluhan hukum ini dilakukan dengan memberi pengetahuan hukum tentang perlindungan anak kepada siswa dan guru,  kemudian dilanjutkan pada tanya jawab, dengan metode kegiatan ceramah dan diskusi di sekolah setempat dan memberikan pre test dan post test. Tujuan dari kegiatan ini untuk meningkatkan wawasan pengetahuan dan kesadaran hukum anak didik, demikian pula bagi guru sebagai pendidik, terkait tugas, hak dan kewajibannya di sekolah.",['K1'],submitted,submitted,7,2020-11-19 11:38:21,,public,,,['FH3'],disk0/00/02/62/18,,"[{'format': 'text', 'docid': 40108, 'main': 'Jurnal Pengabdian Fenny.doc', 'files': [{'filesize': 119296, 'objectid': 40108, 'uri': 'http://repository.lppm.unila.ac.id/id/file/236231', 'filename': 'Jurnal Pengabdian Fenny.doc', 'hash_type': 'MD5', 'mtime': '2020-11-19 05:04:47', 'datasetid': 'document', 'fileid': 236231, 'hash': '6921e57b9abb66f71c7537e3bd4c86c9', 'mime_type': 'application/msword'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/msword', 'eprintid': 26218, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40108'}]",2020-11-19 11:38:21,,,1232,,show,archive,26218,2020-11-19 11:38:21,TRUE,PENYULUHAN HUKUM TENTANG BAHAYA TINDAK PIDANA INTIMIDASI MELALUI MEDIA SOSIAL DI KALANGAN REMAJA PADA SISWA-SISWI DI YAYASAN PONDOK PESANTREN  NURUL FALAH BATU PUTUK TELUK BETUNG BARAT KOTA BANDAR LAMPUNG,conference_item,"[{'name': {'given': 'Fenny', 'honourific': None, 'family': 'Andriani', 'lineage': None}, 'id': 'fenny.andriani@fh.unila.ac.id'}, {'id': 'eka.deviani@fh.unila.ac.id', 'name': {'honourific': None, 'family': 'deviani', 'lineage': None, 'given': 'eka'}}, {'id': None, 'name': {'family': 'Hamidah', 'lineage': None, 'honourific': None, 'given': 'Upik'}}]",November 2020,paper,Radisson Hotel,Seminar Nasional Pengabdian Kepada Masyarakat 2020,conference,,,,,,,,,,,,,,,,,,
5,http://repository.lppm.unila.ac.id/id/eprint/25396,2020-10-03 00:00:00.000000000,,"Kasus covid-19 telah menyebar di hampir semua negara di dunia yang menyebabkan kerugian, sehingga beberapa negara ingin meminta pertanggungjawaban kepada Tiongkok selaku negara yang diduga menjadi asal virus tersebut. Penelitian ini bertujuan untuk mengetahui, memahami dan menganalisis pengaturan tanggung jawab negara dalam hukum internasional dan dapat atau tidak negara asal wabah covid-19 dimintai pertanggungjawaban terhadap suatu pandemi covid-19 yang meluas secara global. Penelitian ini merupakan penelitian hukum normatif dengan pendekatan perundang-undangan. Hasil penelitian ini menjelaskan bahwa terdapat karakteristik yang harus dipenuhi untuk meminta pertanggungjawaban kepada Tiongkok atas kasus covid-19, tetapi sangat jelas tidak mudah untuk Tiongkok dimintai pertanggungjawaban atas kasus covid-19 ini.",['K1'],published,pub,6,2020-11-16 01:56:05,,none,,,['FH3'],disk0/00/02/53/96,,,2020-11-16 01:56:05,,,126,,show,archive,25396,2020-11-16 01:56:05,TRUE,"TANGGUNG JAWAB NEGARA ASAL WABAH TERHADAP PANDEMI YANG MENGGLOBAL MENURUT HUKUM INTERNASIONAL
(STUDI KASUS PANDEMI COVID-19)",conference_item,"[{'name': {'given': 'Nadia', 'honourific': None, 'lineage': None, 'family': 'Apriliyawati'}, 'id': 'nadia.apriliyawati11110@students.unila.ac.id'}, {'id': 'melly.aida@fh.unila.ac.id', 'name': {'family': 'Aida', 'lineage': None, 'honourific': None, 'given': 'Melly'}}, {'id': 'rehulina.1980@fh.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Rehulina', 'given': 'Rehulina'}}]",3 Oktober 2020,paper,Zoom,"Seminar Nasional online ""Rekontruksi Nasional untuk Mewujudkan kesehateraan Maysrakat",conference,,,,,,,,,,,,,,,,,,
6,http://repository.lppm.unila.ac.id/id/eprint/24488,1970-01-01 00:00:00.000002020,,"Pemerintah bertanggung jawab dalam pembinaan dan penyelenggaraan perlindungan konsumen, yang meliputi hak dan kewajiban konsumen maupun pelaku usaha. Tanggung jawab tersebut terdapat dalam Undang-Undang Nomor 8 Tahun 1999 tentang Perlindungan Konsumen. Oleh karena itu untuk meningkatkan kesadaran konsumen, maka perlu dilakukan suatu kegiatan penyuluhan hukum untuk meningkatkan pengetahuan para siswa tentang adanya suatu undang-undang perlindungan konsumen. Setelah kegiatan ini selesai, para siswa akan memiliki pengetahuan dan pemahaman tentang perlindungan konsumen dan mereka akan menjadi konsumen yang cerdas dalam memilih suatu produk barang dan/ jasa.",['K1'],submitted,submitted,10,2020-11-05 01:12:35,,public,,,['FH3'],disk0/00/02/44/88,,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Workshop.pdf', 'docid': 38224, 'files': [{'datasetid': 'document', 'fileid': 222587, 'hash': '8906cf0319ae8a8a878718bd7992e225', 'mime_type': 'application/pdf', 'filesize': 106088, 'objectid': 38224, 'uri': 'http://repository.lppm.unila.ac.id/id/file/222587', 'filename': 'Workshop.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-04 09:20:22'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38224', 'pos': 1, 'eprintid': 24488, 'placement': 1}]",2020-11-05 01:12:36,,,278,,show,archive,24488,2020-11-05 01:12:35,TRUE,PENINGKATAN KESADARAN HUKUM BAGI SISWA SMAN 1 PADANG CERMIN DALAM MEWUJUDKAN KONSUMEN CERDAS DI ERA GLOBALISASI,conference_item,"[{'name': {'given': 'Yuniati', 'honourific': None, 'family': 'Ati', 'lineage': None}}]",7 November 2020,speech,Radison Hotel Bandar Lampung,Seminar Hasil Pengabdian Kepada masyarakat Universitas Lampung Tahun 2020,workshop,,,atiyuniati78@gmail.com,,,,,,,,,,,,,,,
7,http://repository.lppm.unila.ac.id/id/eprint/25284,2020-11-01 00:00:00.000000000,,"Pemerintah bertanggung jawab dalam pembinaan dan penyelenggaraan perlindungan konsumen, yang meliputi hak dan kewajiban konsumen maupun pelaku usaha. Tanggung jawab tersebut terdapat dalam Undang-Undang Nomor 8 Tahun 1999 tentang Perlindungan Konsumen. Konsumen (Khususnya dalam kegiatan ini yaitu pelajar SMAN 1 Padang Cermin) saat ini dimanjakan oleh berbagai kemudahan dalam melakukan transaksi, seperti melalui dunia maya (internet) tanpa langsung bertatap muka antara penjual dengan pembeli yang dikenal dengan e- commerce. Jenis produk barang dan/atau jasa yang beredar semestinya membutuhkan ketelitian bagi konsumen, karena semakin beragam dan banyaknya jenis barang dan jasa yang diperdagangkan, dilain pihak kemampuan konsumen memahami hak dan kewajibannya masih minim. Oleh karena itu untuk meningkatkan kesadaran konsumen, maka perlu dilakukan suatu kegiatan penyuluhan hukum untuk meningkatkan pengetahuan para siswa tentang adanya suatu undang-undang perlindungan konsumen. Setelah kegiatan ini selesai, para siswa akan memiliki pengetahuan dan pemahaman tentang perlindungan konsumen dan mereka akan menjadi konsumen yang cerdas dalam memilih suatu produk barang dan/ jasa. Kata kunci: Konsumen, Perlindungan Konsumen.",['K1'],,inpress,7,2020-11-16 01:53:23,,public,,,['FH3'],disk0/00/02/52/84,,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Semnas PKM 2020_Ati_Marlia_FH Unila.pdf', 'docid': 39063, 'files': [{'datasetid': 'document', 'fileid': 228405, 'hash': 'bda171e327734cbdb55aff9ea321b6ba', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-11-15 02:55:43', 'filesize': 755019, 'objectid': 39063, 'filename': 'Semnas PKM 2020_Ati_Marlia_FH Unila.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/228405'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39063', 'security': 'public', 'placement': 1, 'eprintid': 25284}]",2020-11-16 01:53:23,,,212,,show,archive,25284,2020-11-16 01:53:23,FALSE,Peningkatan Kesadaran Hukum Bagi Siswa SMAN 1 Padang Cermin Dalam Mewujudkan Konsumen Cerdas Di Era Globalisasi,conference_item,"[{'name': {'given': 'Yuniati', 'family': 'Ati', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Eka Putri', 'lineage': None, 'family': 'Marlia', 'honourific': None}}]",November 2020,paper,Radisson Hotel,Seminar Nasional Pengabdian Kepada Masyarakat 2020,conference,,,,,,,,,,,,,,,,,,
8,http://repository.lppm.unila.ac.id/id/eprint/24486,1970-01-01 00:00:00.000002020,,"Pemerintah bertanggung jawab dalam pembinaan dan penyelenggaraan perlindungan konsumen, yang meliputi hak dan kewajiban konsumen maupun pelaku usaha. Tanggung jawab tersebut terdapat dalam Undang-Undang Nomor 8 Tahun 1999 tentang Perlindungan Konsumen.  untuk meningkatkan kesadaran konsumen, maka perlu dilakukan suatu kegiatan penyuluhan hukum. Setelah kegiatan ini selesai, para siswa akan memiliki pengetahuan dan pemahaman tentang perlindungan konsumen dan mereka akan menjadi konsumen yang cerdas dalam memilih suatu produk barang dan/ jasa.",['K1'],published,submitted,6,2020-11-05 01:11:11,2550-1089,public,LPPM Unila,Sakai Sembayan,['FH3'],disk0/00/02/44/86,,"[{'main': 'Luaran wajib (Artikel).pdf', 'docid': 38220, 'files': [{'objectid': 38220, 'filesize': 106088, 'filename': 'Luaran wajib (Artikel).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/222568', 'hash_type': 'MD5', 'mtime': '2020-11-04 08:27:04', 'fileid': 222568, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '8906cf0319ae8a8a878718bd7992e225'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 24486, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38220', 'pos': 1, 'security': 'public'}]",2020-11-05 01:11:11,,,278,,show,archive,24486,2020-11-05 01:11:11,TRUE,PENINGKATAN KESADARAN HUKUM BAGI SISWA SMAN 1 PADANG CERMIN DALAM MEWUJUDKAN KONSUMEN CERDAS DI ERA GLOBALISASI,article,"[{'name': {'given': 'Ati', 'lineage': None, 'family': 'Ati Yuniati', 'honourific': None}}]",,,,,,,['Marlia Eka Putri'],atiyuniati78@gmail.com,,,,,,,,,,,,,,,
9,http://repository.lppm.unila.ac.id/id/eprint/24794,2020-11-04 00:00:00.000000000,,"One of the constitutional mandates of the Republic of Indonesia is the use of natural resources (SDA),
including land which is used to a large extent for the welfare of the folks. However, the reality is that in
the Banjar Margo sub-district, people who claim to have rights to the land they own must get injustice
over their ownership. Local government as the protector of the people must also be strong in providing
services to provide a sense of justice to the community. The research method used the case study method
with various data collection techniques such as observation, historical tracing, key informant interviews.
This research is using a qualitative approach.
Research results and discussion : (1) The political construction of the law for protecting citizens' land in
Indonesia is divided into three periods, namely the old order, the new order and the reform order.
However The implementation has not been fully elaborated, both in the Old Order and the New Order and
the Reformation Order. (2) The map of land conflicts in Banjar Margo sub-district, Tulang Bawang
district, originated from three factors, namely: the land certification administration system, unequal
distribution of land ownership,and legality of land ownership regardless of land productivity. Conflicts
concerning arising land are conflicts of interest between one party and another.In Banjar Margo subdistrict, Tulang Bawang Regency, the cause is the unclear land of the ownership status itself.
Keywords: Land conflicts, Stakeholders, objective conflict maps.",['K1'],submitted,unpub,13,2020-11-10 07:13:36,,public,,,['FH3'],disk0/00/02/47/94,"[{'type': 'pub', 'url': 'https://drive.google.com/file/d/1TQQLjsvZwttszTvfOqLlqQYfPeh6RZtI/view?usp=sharing'}]","[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'fileid': 224823, 'datasetid': 'document', 'hash': 'fea9cb98796c29759da08e0f0828769d', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-11-10 03:16:21', 'objectid': 38536, 'filesize': 146253, 'filename': 'international seminar paper (2)-converted.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/224823'}], 'main': 'international seminar paper (2)-converted.pdf', 'docid': 38536, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38536', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 24794}]",2020-11-10 07:13:36,https://drive.google.com/file/d/1TQQLjsvZwttszTvfOqLlqQYfPeh6RZtI/view?usp=sharing,,366,1-9,show,archive,24794,2020-11-10 07:13:36,TRUE,"LEGAL POLITICS FULFILLMENT OF LAND RIGHTS IN
BANJAR MARGO, TULANG BAWANG",conference_item,"[{'name': {'lineage': None, 'family': 'Candra Perbawati', 'honourific': None, 'given': 'Candra'}, 'id': 'perbawaticandra@yahoo.com'}]",20 November 2020,paper,Universitas Lampung,UNIVERSITAS LAMPUNG INTERNATIONAL CONFERENCE ON SOCIAL SCIENCE (ULICoSS 2020),conference,,['Universitas Lampung'],,['ULICoSS 2020'],['UNIVERSITAS LAMPUNG INTERNATIONAL CONFERENCE ON SOCIAL SCIENCE (ULICoSS 2020)'],"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Dewi', 'honourific': None, 'family': 'Dewi Septiana', 'lineage': None}}]","Abdurrahman, Land for a Weak Economic Community, Kanun Journal of Law No. 6, Th.
XIV (April, 2012)
Arie Sukanti Hutagalung, ""Agrarian Law Reform in Indonesia"", in the Journal of Law
Review Vol. X, No. 2, November 2010, Tangerang: Faculty of Law, Pelita Harapan
University, p. 146. In Denico Doly, State Authority in Land Control: Redistribution of Land
for the People, STATE OF LAW: Vol. 8, No. 2, November 2017
Abdul Mutolib et al, Agrarian Conflict and Release of Ulayat Land (A Case Study of the
Malays in the Dharmasraya Forest Forestry Unit, West Sumatra), Danvol Forestry SocioEconomic Research Journal. 12 No. 3 December 2015.
Amiludin, Politics of Land Law and Regional Autonomy: Policies and Authorities of the
Central Government with Regions Related to Land, Journal of Government and Civil
Society, Vol. 2, No. 1, April 2018.
Gunawan, Right to Agrarian Reform, Bina Desa, accessed January 21, 2020.
Hidayat, Legal Recognition of Customary Community Rights and Barriers to
Implementation, Journal of Ham Volume 4 Number 2, December 2013 - Issn 1693-8704.
Nurhasan Ismail, Political Direction of Land Law and Protection of Community Land
Ownership, Rechts Vinding Media for National Law Development, ISSN 2089-9009,
Volume 1 Number 1 Janari-April 2012.
https://tirto.id/petani-tulang-bawang-kami-diusir-dari-tanah-kami-cjLx, accessed on 21 January 2020
https://www.mongabay.co.id/2016/10/18/tergusur-perusahaan-konflik-lahan-petani-tulang-bawang-berlarutlarut/
Perbawati, candra Konstitusi dan HAM,Volume 6 September 2019",,,,,,,,,,,
