,date,uri,volume,abstract,subjects,date_type,rev_number,ispublished,status_changed,issn,full_text_status,publication,publisher,dir,divisions,related_url,documents,lastmod,official_url,number,userid,metadata_visibility,eprint_status,eprintid,datestamp,refereed,title,creators,type,pagerange,id_number,corp_creators,keywords,place_of_pub,book_title,pages,isbn,monograph_type
0,2023-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/51171,4.0,"Illegal levies are the designation of all forms of 
levies that are unofficial, which have no legal 
basis, so the act of levies is referred to as illegal 
levies. One of the criminal acts of corruption that 
occurs in people's lives is illegal fees. An example 
of a criminal case of illegal fees is the case in 
Decision Number: 46/Pid.Sus-TPK/2018/PN.Tjk 
in that case the defendant was acquitted. Judging 
from the judge's decision that acquitted the 
defendant, the authors conducted research on the 
identification of illegal fees as a criminal act of 
corruption and what was the basis for the 
considerations of the Panel of Judges in passing 
an acquittal in cases of criminal acts of 
corruption based on Decision Number: 
46/Pid.Sus-TPK/2018/ PN. Tjk. The problem with 
this research is the identification of extortion as a 
criminal act of corruption. and what are the basic 
considerations of the Panel of Judges in passing 
an acquittal in a corruption case based on 
Decision Number: 46/ Pid.Sus -TPK/2018/PN. 
Tjk
The research method used is normative juridical 
research method, sources of primary and 
secondary legal materials. From this study it can 
be concluded that illegal fees can be categorized 
as a criminal act of corruption, this action is 
Submitted: Marrch 20, 2023; Reviewed: March 30, 2023; Accepted: April 6, 2023
Free Verdict Against … Agnesia Mutiara Sani,1 Maya Shafira,
2 Ahmad Irzal
 Fardiansyah3
14
regulated in Article 12 letter e of Law Number 31 
of 1999 which has been amended and added to 
Law Number 20 of 2001 concerning Eradication 
of Corruption Crimes. That the basis for the 
judge's considerations in deciding that the 
corruption case was free of Decision Number: 
46/Pid.Sus-TPK/2018/PN.Tjk Defendant did not 
meet the elements of ""benefiting oneself or 
others"" and the element of ""receiving gifts or 
promises"" as charged in the Alternative 
indictment by the Public Prosecutor, so that the 
defendant is not legally and convincingly proven
guilty of committing a criminal act of corruption.

Corruption; Free Verdict; Illegal Fees,",['K1'],published,6,pub,2023-05-08 02:07:04,P-ISSN: 2723-2573 E-ISSN: 2745-9276,public,CORRUPTIO,"Fakultas Hukum, Universitas Lampung, Bandar Lampung, Lampung, Indonesia.",disk0_bak/00/05/11/71,['FH3'],[{'url': 'https://doi.org/10.25041/corruptio.v4i1.2965'}],"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/190892', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 51171, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 190892, 'main': '2965-Article Text-12197-1-10-20230406 (1)-CORRUPTIO.pdf', 'files': [{'fileid': 549942, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '7c26d58dba7df768416926c82ef51036', 'filesize': 322174, 'objectid': 190892, 'filename': '2965-Article Text-12197-1-10-20230406 (1)-CORRUPTIO.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/549942', 'hash_type': 'MD5', 'mtime': '2023-05-07 13:48:22'}], 'format': 'text'}]",2023-05-08 02:07:04,https://jurnal.fh.unila.ac.id/index.php/corruptio/article/view/2965/1984,1.0,318,show,archive,51171,2023-05-08 02:07:04,TRUE,Free Verdict Against Executors of Illegal Fees as Corruption Crimes,"[{'name': {'lineage': None, 'family': 'Agnesia Mutiara Sani', 'honourific': None, 'given': 'Agnesia Mutiara Sani'}, 'id': 'agnesiasani1999@gmail.com'}, {'id': 'mayashafira@fh.unila.ac.id', 'name': {'lineage': None, 'family': 'Maya Shafira', 'honourific': None, 'given': 'Maya Shafira'}}, {'name': {'given': 'ahmad irzal', 'honourific': None, 'family': 'ahmad irzal', 'lineage': None}, 'id': 'ahmad.irzal@fh.unila.ac.id'}]",article,,,,,,,,,
1,2023-05-30 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/52250,12.0,"Dalam era globalisasi, kerja sama antar negara dan antar warga negara dalam bidang bisnis, pendidikan, maupun diplomasi, dan kepentingan untuk menjalin hubungan yang baik dengan negara-negara lain semakin menjadi prioritas. Namun, dalam menjalin kerja sama tersebut, hal-hal administratif seperti legalisasi dokumen publik asing menjadi salah satu kendala yang sering dihadapi. Proses yang rumit dan biaya yang tinggi menjadi hambatan bagi banyak orang untuk mendapatkan pengesahan dokumen publik yang diperlukan untuk berbagai keperluan. Belum lagi, dokumen publik yang telah dilegalisasi oleh lembaga atau kementerian di Indonesia tidak secara otomatis dapat diterima di negara yang dituju. Seperti akta notaris, surat kuasa, dan dokumen-dokumen lainnya harus dilegalisasi terlebih dahulu sebelum dapat diakui oleh negara tujuan. Hal ini membuat banyak orang merasa kesulitan dalam menggunakan dokumen publik di luar negeri. Untuk mengatasi permasalahan tersebut, Indonesia mengaksesi Konvensi Apostille, dengan demikian proses legalisasi dokumen asing publik di Indonesia menjadi lebih mudah, cepat, dan efisien. Notaris sebagai pejabat publik memiliki peran penting dalam proses legalisasi dokumen tersebut, baik dalam memberikan legalisasi dokumen asing publik yang diperlukan, maupun dalam pengesahan tanda tangan atau legalisir pada dokumen-dokumen yang diterbitkan oleh pihak asing.. Dalam kenotariatan, Kehadiran Konvensi Apostille diharapkan memudahkan akses bagi warga negara Indonesia untuk menggunakan dokumen publik di luar negeri dan notaris dapat memberikan legalisasi dengan menyertakan Apostille pada dokumen publik yang diterbitkan oleh notaris. Keanggotaan Indonesia di dalam Konvensi Apostille memiliki urgensi yang sangat penting untuk mempercepat proses administratif dalam hubungan antarnegara dan antarwarga negara dan membantu dalam mempercepat proses administratif dalam hubungan antarnegara dan antarwarga negara serta meningkatkan kemudahan dalam melakukan kegiatan bisnis dan administrasi di luar negeri.","['K1', 'KZ']",published,12,pub,2023-07-14 01:41:04,2655-8610,public,Jurnal Repertorium,"Fakultas Hukum, Universitas Sriwijaya",disk0_bak/00/05/22/50,['FH3'],,"[{'placement': 1, 'eprintid': 52250, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/252988', 'security': 'public', 'files': [{'mime_type': 'application/xml', 'hash': '1e4819eaa414efb3c82e78d564f8958a', 'fileid': 619203, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/619203', 'filename': 2908, 'objectid': 252988, 'filesize': 35187, 'mtime': '2023-07-13 02:41:43', 'hash_type': 'MD5'}], 'main': 2908, 'docid': 252988, 'format': 'text', 'mime_type': 'application/xml', 'language': 'en', 'rev_number': 3, 'content': 'published'}]",2023-07-14 01:41:04,http://journal.fh.unsri.ac.id/index.php/repertorium/index,1.0,282,show,archive,52250,2023-07-14 01:41:04,TRUE,KEPENTINGAN INDONESIA MENGAKSESI KONVENSI APOSTILLE DAN RELEVANSINYA DI BIDANG KENOTARIATAN,"[{'id': 'melly.aida@fh.unila.ac.id', 'name': {'given': 'Melly', 'lineage': None, 'family': 'Aida', 'honourific': None}}, {'id': None, 'name': {'lineage': None, 'family': 'yunita maya putri', 'honourific': None, 'given': 'yunita maya putri'}}, {'name': {'lineage': None, 'family': 'Putri', 'honourific': None, 'given': 'Ria Wierma'}, 'id': 'ria.wierma@fh.unila.ac.id'}, {'name': {'given': 'Kasmawati', 'lineage': None, 'family': 'Kasmawati', 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Silviana', 'given': 'Ria'}, 'id': None}]",article,85-98,,,,,,,,
2,2023-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/52204,4.0,"Masa balita adalah periode emas tumbuh kembang seorang anak. Pada masa ini juga terdapat berbagai masalah gizi yang dapat menyebabkan stunting. Beberapa pnyebab stunting adalah kekurangan gizi dan garam beryodium. Oleh karena itu perlu dilakukan penyuluhan pentingya keseimbangan gizi dan garam beryodium terhadap pertumbuhan balita. Penulisan artikel ini 
menggunakan pendekatan kualitatif dengan dengan model deskriptif. Hasilnya, masyarakat menerima pemahaman dan wawasan baru tentang penyebab dan bahaya stunting, kebutuhan gizi pada balita dan manfaat penggunaan garam beryodium. Selain itu, masyarakat dapat memaksimalkan bahan-bahan sederhana yang ada dirumah dalam memenuhi kebutuhan gizi 
pada balita, sehingga resiko terjadinya stunting dapat berkurang. Artikel ini juga berkontribusi dalam keilmuan gtizi dan kesehatan serta praktik dan strategi mengimplementasian poin SDGs",['K1'],published,6,pub,2023-07-06 01:37:22,2963-7775,public,Jurnal Pengabdian Kepada Masyarakat IAIN Ternate (Archipelago),IAIN Ternate,disk0_bak/00/05/22/04,['FH3'],[{'url': 'https://journal.iain-ternate.ac.id/index.php/archipelago/index'}],"[{'format': 'text', 'files': [{'objectid': 252715, 'filesize': 994834, 'uri': 'http://repository.lppm.unila.ac.id/id/file/618606', 'filename': 'Artikel Jurnal Archipelago Ati dkk.pdf', 'hash_type': 'MD5', 'mtime': '2023-07-05 08:09:21', 'fileid': 618606, 'datasetid': 'document', 'hash': 'cc260f1c60988edfd0e275ed0730009a', 'mime_type': 'application/pdf'}], 'main': 'Artikel Jurnal Archipelago Ati dkk.pdf', 'docid': 252715, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 52204, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/252715', 'pos': 1}]",2023-07-06 01:37:22,https://journal.iain-ternate.ac.id/index.php/archipelago/index,1.0,278,show,archive,52204,2023-07-06 01:37:22,TRUE,"PENYULUHAN PENTINGNYA KESEIMBANGAN GIZI DAN GARAM BERYODIUM 
TERHADAP PERTUMBUHAN DAN PERKEMBANGAN BALITA UNTUK 
MENCEGAH STUNTING","[{'name': {'honourific': None, 'lineage': None, 'family': 'Ati', 'given': 'Yuniati'}}, {'name': {'given': 'adhan', 'family': 'sepriyadi', 'lineage': None, 'honourific': None}}]",article,7-14,https://journal.iain-ternate.ac.id/index.php/archipelago/index,,,,,,,
3,2023-02-02 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/48986,6.0,"The emergence of Covid-19 and the occurrence of a pandemic caused the rapid development of MSMEs to experience a decline, so that it had a direct impact on the economic income of MSME. The government provides MSME assistance through the National Economic Recovery Program Policy based on Government Regulation No 43 of 2020 concerning Amendments to Government Regulation No 23 of 2020 concerning Implementation of the PEN Program. Field facts noted that 
from 2019 to 2020 business development in the micro category in Bandar Lampung City has decreased by 3,404. This study uses a normative and empirical juridical approach. Data collection is done by literature study and field study. Data processing includes data selection, data qualification, data compilation. Data analysis uses descriptive qualitative analysis. The results of this study indicate that the City Government of Bandar Lampung's policy in generating Micro, Small and Medium Enterprises through PEN has been running optimally. It can be seen that the increase in businesses in the micro category reached 2,502, namely with the policy of providing facilities in terms of licensing, providing acilities to obtain capital assistance for Micro Business Productive Assistance, providing market access and marketing advice during a pandemic",['K1'],published,8,pub,2023-03-17 08:30:34,"ISSN(print): 2644-0679, ISSN(online): 2644-0695",public,International Journal of Social Science And Human Research,International Journal of Social Science And Human Research,disk0_bak/00/04/89/86,['FH3'],[{'url': 'http://ijsshr.in/v6i2.php'}],"[{'eprintid': 48986, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/188430', 'pos': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': '3e23871f833dfc811c57ece9db76838d', 'fileid': 532889, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/532889', 'filename': 'Jurnal IJSSHR Ati dkk.pdf', 'filesize': 865560, 'objectid': 188430, 'mtime': '2023-03-16 06:34:30', 'hash_type': 'MD5'}], 'main': 'Jurnal IJSSHR Ati dkk.pdf', 'docid': 188430, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}, {'format': 'text', 'files': [{'fileid': 532891, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '3e23871f833dfc811c57ece9db76838d', 'filesize': 865560, 'objectid': 188431, 'filename': 'Jurnal IJSSHR Ati dkk.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/532891', 'hash_type': 'MD5', 'mtime': '2023-03-16 06:35:46'}], 'main': 'Jurnal IJSSHR Ati dkk.pdf', 'docid': 188431, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 48986, 'placement': 2, 'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188431'}]",2023-03-17 08:30:34,http://ijsshr.in/,,278,show,archive,48986,2023-03-17 08:30:34,TRUE,"Bandar Lampung City Government's Policy in Reviving Micro, 
Small and Medium Enterprises Through the National Economic 
Recovery Program","[{'name': {'honourific': None, 'lineage': None, 'family': 'Ati', 'given': 'Yuniati'}}, {'name': {'given': 'adhan', 'family': 'sepriyadi', 'lineage': None, 'honourific': None}}, {'name': {'lineage': None, 'family': 'Nurmayani', 'honourific': None, 'given': 'Nurmayani'}}]",article,1351-1355,https://doi.org/10.47191/ijsshr/v6-i2-75,['Dinda Ariandini'],,,,,,
4,2023-05-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/51340,,"Based on data compiled from the databoks site, Shopee is an e�commerce that is in the first place, with the largest number of visitors in Indonesia
in the fourth quarter of 2020, reaching 129,3 million. At the beginning of 2019,
Shopee innovated by creating the Shopee PayLater program which requires the
provision of loan facilities from PT Commerce Finance to Loan Recipients through
the Shopee application as an intermediary. The implementation of the loan facility
is regulated in the Financing Agreement. The problems in this research are (1) the
process of the financing agreement between PT Commerce Finance (PT CF) and
the Loan Recipient. (2) the rights and obligations between PT Commerce Finance
(PT CF) and the Borrower in the financing agreement. (3) financing agreement
end between PT Commerce Finance (PT CF) and the Loan Recipient. The long�term objective of this research is to form the basis for government policies and
product inventories into laws and regulations in accordance with the principles of
financing agreements. The policy basis in the form of regulations is needed with
regard to the obstacles faced by the users of the e-commerce platform. Users of the
e-commerce platform expect firmness and legal protection in the implementation
of this financing agreement, because they are always in a weak position without a
bargaining position. This research uses a statutory approach. a statutory approach
is used to map the basis of the government’s authority in regulating financing
agreements on the Shopee e-commerce platform",['K1'],published,10,pub,2023-05-10 03:36:37,,public,,https://atlantis-press.com/proceedings/ulicoss-22,disk0_bak/00/05/13/40,['FH3'],,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/248059', 'pos': 1, 'eprintid': 51340, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'filesize': 167260, 'objectid': 248059, 'filename': '125986474.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/608223', 'hash_type': 'MD5', 'mtime': '2023-05-10 02:08:57', 'fileid': 608223, 'datasetid': 'document', 'hash': '95fec4f3c496cbe1676b121d62fc1acf', 'mime_type': 'application/pdf'}], 'main': '125986474.pdf', 'docid': 248059}]",2023-05-10 03:36:37,https://www.researchgate.net/publication/370451817_The_Implementation_of_Multi-purpose_Financing_Agreement_Between_PT_Commerce_Finance_PT_CF_and_Loan_Recipients_on_the_E-Commerce_Shopee_Platform,,796,show,archive,51340,2023-05-10 03:36:37,TRUE,"The Implementation of Multi-purpose Financing
Agreement Between PT Commerce Finance (PT
CF) and Loan Recipients on the E-Commerce
Shopee Platform","[{'name': {'honourific': None, 'family': 'Dewi Septiana', 'lineage': None, 'given': 'Dewi Septiana'}, 'id': 'dewiseptiana80@yahoo.co.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Wati', 'given': 'Rahmi Ria'}, 'id': None}, {'name': {'given': 'raineven', 'honourific': None, 'lineage': None, 'family': 'raineven'}, 'id': None}]",other,,,['Universitas Lampung'],E-Commerce · Loan · Finance · Agreement · Shopee,Bandar Lampung,,,,
5,2023-03-11 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/50616,,Bukti Korespondensi,['K1'],published,7,pub,2023-04-17 09:26:19,,public,,International Journal of Advanced Research (IJAR),disk0_bak/00/05/06/16,['FH3'],,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'URL Korespondensi.pdf', 'files': [{'datasetid': 'document', 'fileid': 545631, 'hash': '10b507495121656d8ab592878ef1abdb', 'mime_type': 'application/pdf', 'filesize': 1344669, 'objectid': 190316, 'filename': 'URL Korespondensi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/545631', 'hash_type': 'MD5', 'mtime': '2023-04-17 07:51:30'}], 'docid': 190316, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190316', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 50616}]",2023-04-17 09:26:19,,,37,show,archive,50616,2023-04-17 09:26:19,,"REGULATION OF NON-PHYSICAL SEXUAL VIOLENCE IN INDONESIA (ANALYSIS OF LAW 
NUMBER 12 OF 2022 CONCERNING SEXUAL VIOLENCE)","[{'id': 'dona.raisa@fh.unila.ac.id', 'name': {'given': 'Raisa Monica', 'lineage': None, 'family': 'Dona', 'honourific': None}}, {'id': 'emilia.susanti@fh.unila.ac.id', 'name': {'family': 'Emilia susanti', 'lineage': None, 'honourific': None, 'given': 'susanti'}}, {'name': {'given': 'Rizki husin', 'honourific': None, 'family': 'budi', 'lineage': None}, 'id': 'budi.rizky@fh.unila.ac.id'}, {'name': {'given': 'Agung S', 'honourific': None, 'lineage': None, 'family': 'Rodhi'}, 'id': 'rodhiagungsaputra@gmail.com'}]",other,,,,,,,,,
6,2023-03-11 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/50610,,A Peer Reviewed,['K1'],published,7,pub,2023-04-17 09:26:06,,public,,nternational Journal of Advanced Research (IJAR),disk0_bak/00/05/06/10,['FH3'],,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 190311, 'main': 'reviewers-report.pdf', 'files': [{'fileid': 545600, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'bdba4befabe2b598a766a54eaeaf833e', 'hash_type': 'MD5', 'mtime': '2023-04-17 06:30:21', 'objectid': 190311, 'filesize': 220292, 'uri': 'http://repository.lppm.unila.ac.id/id/file/545600', 'filename': 'reviewers-report.pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190311', 'security': 'public', 'placement': 1, 'eprintid': 50610}]",2023-04-17 09:26:06,https://www.journalijar.com/article/44327/regulation-of-non-physical-sexual-violence-in-indonesia-(analysis-of-law-number-12-of-2022-concerning-sexual-violence/,,37,show,archive,50610,2023-04-17 09:26:06,,"REGULATION OF NON-PHYSICAL SEXUAL VIOLENCE IN INDONESIA (ANALYSIS OF LAW
NUMBER 12 OF 2022 CONCERNING SEXUAL VIOLENCE","[{'name': {'lineage': None, 'family': 'Dona', 'honourific': None, 'given': 'Raisa Monica'}, 'id': 'dona.raisa@fh.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Emilia susanti', 'given': 'susanti'}, 'id': 'emilia.susanti@fh.unila.ac.id'}, {'id': 'budi.rizky@fh.unila.ac.id', 'name': {'lineage': None, 'family': 'budi', 'honourific': None, 'given': 'rizky husin'}}, {'id': 'rodhiagungsaputra@gmail.com', 'name': {'given': 'Agung S', 'honourific': None, 'lineage': None, 'family': 'Rodhi'}}]",other,,,,,,,,,
7,2023-03-11 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/50612,,URL Similarity,['K1'],,7,pub,2023-04-17 09:26:12,,public,,International Journal of Advanced Research (IJAR),disk0_bak/00/05/06/12,['FH3'],,"[{'placement': 1, 'eprintid': 50612, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190313', 'pos': 1, 'security': 'public', 'files': [{'objectid': 190313, 'filesize': 1543524, 'filename': 'similarity.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/545610', 'hash_type': 'MD5', 'mtime': '2023-04-17 06:53:58', 'datasetid': 'document', 'fileid': 545610, 'hash': 'aa83a887fa71a26933fa751b76cb28e5', 'mime_type': 'application/pdf'}], 'main': 'similarity.pdf', 'docid': 190313, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2023-04-17 09:26:12,,,37,show,archive,50612,2023-04-17 09:26:12,,REGULATION OF NON-PHYSICAL SEXUAL VIOLENCE IN INDONESIA (ANALYSIS OF LAW NUMBER 12 OF 2022 CONCERNING SEXUAL VIOLENCE),"[{'id': 'dona.raisa@fh.unila.ac.id', 'name': {'honourific': None, 'family': 'Dona', 'lineage': None, 'given': 'Raisa Monica'}}, {'name': {'family': 'Emilia susanti', 'lineage': None, 'honourific': None, 'given': 'susanti'}, 'id': 'emilia.susanti@fh.unila.ac.id'}, {'id': 'budi.rizky@fh.unila.ac.id', 'name': {'lineage': None, 'family': 'budi', 'honourific': None, 'given': 'rizky husin'}}, {'id': 'rodhiagungsaputra@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Rodhi', 'given': 'Agung S'}}]",other,,,,,,,,,
8,2023-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/49961,7.0,"Kegiatan ini bertujuan memperkenalkan dan mengedukasi masyarakat Kabupaten Lampung Selatan 
mengenai Tindak Pidana Korupsi dan Pembuatan Hospital By Laws, Adapun target khusus kegiatan ini 
yakni mewujudkan Dinas Kesehatan Kabupaten Lampung Selatan yang mampu melakukan pengawasan 
dan pencegahan Tindak Pidana Korupsi, serta dapat menyusun dan melaksanakan Peraturan Internal 
Rumah Sakit (Hospital by Laws). Metode yang dipakai dalam pencapaian tujuan tersebut yakni 
penyampaian materi melalui ceramah, diskusi terarah dan tanya jawab, serta pelayanan klinis. Kegiatan 
ini berlokasi di Dinas Kesehatan Kabupaten Lampung Selatan. Hasil yang diharapkan pasca kegiatan yaitu 
terbentuknya karakter dinas kesehatan Kabupaten Lampung Selatan yang mampu melakukan pencegahan 
tindak pidana korupsi, serta terbentuknya Peraturan Internal RumahSakit (Hospital Laws). 
Kata kunci: Korupsi, Hospital By Laws, Dinas Kesehatan Kabupaten Lampung Selatan",['K1'],published,7,pub,2023-04-10 00:57:29,e-ISSN 2550-1089,public,SAKAI SAMBAYAN,Lembaga Penelitian dan Pengabdian Kepada Masyarakat,disk0_bak/00/04/99/61,['FH3'],,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'JURNAL PKM PAK EDDY.pdf', 'docid': 189651, 'files': [{'hash': 'cdb502807616d2666c0e1e82bdbbcff0', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 540748, 'uri': 'http://repository.lppm.unila.ac.id/id/file/540748', 'filename': 'JURNAL PKM PAK EDDY.pdf', 'objectid': 189651, 'filesize': 355462, 'mtime': '2023-04-09 07:18:49', 'hash_type': 'MD5'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189651', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 49961}]",2023-04-10 00:57:29,http://jss.lppm.unila.ac.id/index.php/ojs,1.0,318,show,archive,49961,2023-04-10 00:57:29,TRUE,"FOCUS GROUP DISCUSSION (FGD) PENCEGAHAN TINDAK PIDANA 
KORUPSI DAN PEMBUATAN HOSPITAL BY LAWS PADA DINAS 
KESEHATAN KABUPATEN LAMPUNG SELATAN","[{'id': 'eddyrifai63@gmail.com', 'name': {'family': 'Eddy Rifai', 'lineage': None, 'honourific': None, 'given': 'Rifai'}}, {'name': {'family': 'M. Fakih', 'lineage': None, 'honourific': None, 'given': 'Dr'}, 'id': None}, {'id': 'mayashafira@fh.unila.ac.id', 'name': {'honourific': None, 'family': 'Maya Shafira', 'lineage': None, 'given': 'Maya Shafira'}}, {'id': 'deni.achmad@fh.unila.ac.id', 'name': {'given': 'Deni Achmad', 'lineage': None, 'family': 'Deni Achmad', 'honourific': None}}, {'id': None, 'name': {'given': 'Haya Anastasya Azra', 'family': 'Haya Anastasya Azra', 'lineage': None, 'honourific': None}}, {'name': {'lineage': None, 'family': 'Rochmat  Mushowwir', 'honourific': None, 'given': 'Rochmat  Mushowwir'}, 'id': None}]",article,,,,,,,,,
9,2023-05-02 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/51172,,"Abstract. This study examines law enforcement against perpetrators of criminal
acts of corruption in misappropriation of Village Fund Allocations (ADD) in the
jurisdiction of the North Lampung Police. The specific goals to be achieved is to
analyze how law enforcement against corruption crimes in misappropriation of
ADD in the Legal Area of the North Lampung Police so that justice, benefit and
legal certainty can be realized in the future. This study uses a normative and an
empirical juridical approach. The results of this study indicate the enforcement
of criminal law on corruption crimes in misappropriation of ADD in the early
stages was handed over to the North Lampung APIP Inspectorate in order for the
perpetrators to return state financial losses within 60 days. If the perpetrator does
not return the state’s financial losses, law enforcement officers (APH) will enforce
criminal law such as preliminary investigations, investigations, prosecutions and
examinations before court hearings. The North Lampung APIP Inspectorate has
legality in calculating state financial losses for the criminal act of corruption in
misappropriation of ADD based on the elucidation of Article 32 of the Corruption
Law, Article 6 of the Corruption Eradication Commission Law and the Village
Law (UU No. 6/2014).
Keywords: Criminal law enforcement · misappropriation of village funds",['K1'],published,6,pub,2023-05-08 02:07:08,2352-5398,public,Proceedings of the 3rd Universitas Lampung International Conference on Social Sciences (ULICoSS 2022),Atlantiss Press,disk0_bak/00/05/11/72,['FH3'],[{'url': 'https://www.atlantis-press.com/proceedings/ulicoss-22/125986471'}],"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'ULICOS 23.pdf', 'docid': 190893, 'files': [{'datasetid': 'document', 'fileid': 549948, 'mime_type': 'application/pdf', 'hash': '3bcff8530f78c4990a960a1e0f5f3d83', 'hash_type': 'MD5', 'mtime': '2023-05-07 13:54:24', 'objectid': 190893, 'filesize': 217111, 'uri': 'http://repository.lppm.unila.ac.id/id/file/549948', 'filename': 'ULICOS 23.pdf'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190893', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 51172}]",2023-05-08 02:07:08,https://doi.org/10.2991/978-2-38476-046-6_87,,318,show,archive,51172,2023-05-08 02:07:08,TRUE,"Law Enforcement of Corruption in the Misuse
of Village Fund Allocations (Study in the Legal
Area of the North Lampung Resort Police)","[{'id': 'eddyrifai63@gmail.com', 'name': {'given': 'Rifai', 'honourific': None, 'family': 'Eddy Rifai', 'lineage': None}}, {'name': {'given': 'Maya Shafira', 'lineage': None, 'family': 'Maya Shafira', 'honourific': None}, 'id': 'mayashafira@fh.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Deni Achmad', 'lineage': None, 'given': 'Deni Achmad'}, 'id': 'deni.achmad@fh.unila.ac.id'}]",article,,,,,,,,,
