,publication,publisher,divisions,dir,rev_number,ispublished,issn,full_text_status,status_changed,subjects,uri,abstract,title,refereed,type,creators,metadata_visibility,datestamp,eprint_status,eprintid,lastmod,documents,userid,id_number,official_url,corp_creators,event_type,event_title,date_type,related_url,pres_type,event_dates,event_location,pagerange,volume,number,contributors,book_title,contact_email,succeeds,isbn,editors,pages,place_of_pub
0,"Administrativa: Jurnal Birokrasi, Kebijakan dan Pelayanan Publik",Jurusan Administrasi Negara,['FISIP2'],disk0/00/03/13/55,6,pub,2714-7673,public,2021-05-30 15:30:32,['H1'],http://repository.lppm.unila.ac.id/id/eprint/31355,"Tanggung Jawab Sosial Perusahaan merupakan kewajiban yang dilakukan oleh perusahaan dan diatur dalam pasal
74 ayat (1) Undang-Undang Nomor 40 Tahun 2007 tentang Perseroan Terbatas. Tanggung jawab sosial yang
dijalankan oleh IPC di wujudkan melalui program IPC Peduli. Tujuan penelitia ini adalah untuk mengetahui
efekktivitas roadmap program CSR pada IPC II. Metode yang digunakan pada penelitian ini adalah tipe penelitian
deskriptif dengan pendekatan kualitatif. Pengumpulan data dilakukan menggunakan teknik observasi, wawancara
dan dokumentasi. hasil penelitian menunjukkan ada tiga bidang program yang menjadi focus utama CSR pada IPC
yaitu di bidang lingkungan, pendidikan dan kesehatan. Efektivitas roadmap program CSR pada IPC dapat
disimpilkan bahwa pelaksanaan nya dirasa cukup efektif pada beberapa indikator seperti ketepatan sasaran,
tercapainya tujuan dan indikator perubahan nyata. Indikator yang pelaksanaannya belum optimal tertuju pada
pemahaman terkait program CSR. Masyarakat sekitar pelabuhan panjang belum sepenuhnya memahami setiap
program CSR pada IPC karena kurangnya sosialisasi yang dilakukan oleh pihak IPC kepada masyarakat, dan
kurangnya ketepatan waktu dalam pelaksanaan kegiatan pada bidang lingkungan dan bidang kesehatan. Dalam
pelaksanaan program CSR terdapat faktor penghambat dan faktor pendukung dari aspek internal dan eksternal.","EFEKTIVITAS ROADMAP PROGRAM CORPORATE SOCIAL RESPONBILITY
(CSR) PADA IPC II (INDONESIA PORT CORPORATION) PADA TAHUN 2018-
2020",TRUE,article,"[{'id': None, 'name': {'family': 'Anggriyani', 'lineage': None, 'honourific': None, 'given': 'Helvivi'}}, {'name': {'given': 'Intan Fitri', 'honourific': None, 'family': 'Meutia', 'lineage': None}, 'id': 'intan.fitri@fisip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Yulianti', 'honourific': None, 'given': 'Devi'}, 'id': 'devi.yulianti@fisip.unila.ac.id'}]",show,2021-05-30 15:30:32,archive,31355,2021-05-30 15:30:32,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141675', 'security': 'public', 'placement': 1, 'eprintid': 31355, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Efektivitas Roadmap Program CSR Pada PT IPC II Tahun 2018-2020.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'daa08c66c97ac5014420b7b40d83acac', 'fileid': 371449, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/371449', 'filename': 'Efektivitas Roadmap Program CSR Pada PT IPC II Tahun 2018-2020.pdf', 'filesize': 555190, 'objectid': 141675, 'mtime': '2021-05-30 04:52:58', 'hash_type': 'MD5'}], 'docid': 141675, 'format': 'text'}]",63,,,,,,,,,,,,,,,,,,,,,
1,"Administrativa: Jurnal Birokrasi, Kebijakan dan Pelayanan Publik",Jurusan Administrasi Negara,['FISIP2'],disk0/00/02/71/81,6,pub,2714-7673,public,2020-12-29 02:06:27,['H1'],http://repository.lppm.unila.ac.id/id/eprint/27181,"Berdasarkan  hasil  penelitian  menunjukkan  bahwa  model  yang  menjadi  acuan  dalam  penyelenggaraan  kegiatan pembinaan untuk remaja putus sekolah terlantar ialah Model Youth Development Program (YDP) yang memiliki 3 pendekatan,  yaitu:  Institusional  Based,  Family  Based  dan  Community.  Kesimpulan  penelitian  ini  berdasarkan analisis  yaitu  Model  Youth  Development  Program  (YDP)  yang  menjadi  acuan  diterapkan  melalui  4  program  oleh UPTD   PSBR   Raden   Intan   Lampung,   yaitu:   Program   Rehabilitasi Sosial,   Program   Jaminan   Sosial,   Program Pemberdayaan Sosial dan yang terakhir Program Perlindungan Sosial dengan harapan upaya ini dapat mengatasi masalah remaja putus sekolah terlantar khususnya di Provinsi Lampung.",Model Pembinaan Remaja Putus Sekolah Terlantar di Provinsi Lampung (Studi Pada Uptd Pelayanan Sosial Bina Remaja (PSBR) Raden Intan Lampung),TRUE,article,"[{'name': {'lineage': None, 'family': 'Anom', 'honourific': None, 'given': 'Maulita Daniar'}, 'id': None}, {'id': 'novita.tresiana@fisip.unila.ac.id', 'name': {'given': 'Novita', 'lineage': None, 'family': 'Tresiana', 'honourific': None}}, {'name': {'given': 'Intan Fitri', 'honourific': None, 'lineage': None, 'family': 'Meutia'}, 'id': 'intan.fitri@fisip.unila.ac.id'}]",show,2020-12-29 02:06:27,archive,27181,2020-12-29 02:06:27,"[{'format': 'text', 'main': 'document (2).pdf', 'docid': 41193, 'files': [{'hash_type': 'MD5', 'mtime': '2020-12-28 07:52:49', 'filesize': 560167, 'objectid': 41193, 'filename': 'document (2).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/243529', 'datasetid': 'document', 'fileid': 243529, 'hash': 'dee221719834c070f6eed2aa990ed278', 'mime_type': 'application/pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 27181, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41193'}]",205,https://doi.org/10.23960/administrativa.v2i2.36,http://administrativa.fisip.unila.ac.id/index.php/1/article/view/36/28,,,,,,,,,,,,,,,,,,,
2,,Administrasi  Negara,['FISIP2'],disk0/00/04/06/98,8,unpub,,public,2022-03-30 01:07:01,"['H1', 'HN']",http://repository.lppm.unila.ac.id/id/eprint/40698,,Penilaian Teman Sejawat,,other,"[{'id': 'dewie.brimaatika@fisip.unila.ac.id', 'name': {'family': 'Atika', 'lineage': None, 'honourific': None, 'given': 'Dewie'}}]",show,2022-03-30 01:07:01,archive,40698,2022-03-30 01:07:01,"[{'files': [{'filename': 'Pelayanan Publik Berkarakter Prima Sebuah Pendekatan Teoritik.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/452939', 'objectid': 162073, 'filesize': 728720, 'mtime': '2022-03-29 12:46:49', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '4d93f26cc7cbab3ab55e1fee83098536', 'datasetid': 'document', 'fileid': 452939}], 'main': 'Pelayanan Publik Berkarakter Prima Sebuah Pendekatan Teoritik.pdf', 'docid': 162073, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 40698, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162073', 'security': 'public'}]",127,,,['Universitas Lampung'],,,,,,,,,,,,,,,,,,
3,,Administrasi  Negara,['FISIP2'],disk0/00/04/06/92,8,unpub,,public,2022-03-30 01:06:49,"['H1', 'HN']",http://repository.lppm.unila.ac.id/id/eprint/40692,,Penilaian Teman Sejawat : THE DEVELOPMENT STRATEGY OF POTENTIAL MARINE TOURISM IN LAMPUNG SELATAN FOR FACING GLOBAL TORISM COMPETITION,,other,"[{'name': {'given': 'Dewie', 'family': 'Atika', 'lineage': None, 'honourific': None}, 'id': 'dewie.brimaatika@fisip.unila.ac.id'}]",show,2022-03-30 01:06:49,archive,40692,2022-03-30 01:06:49,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162067', 'security': 'public', 'placement': 1, 'eprintid': 40692, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 162067, 'main': 'THE DEVELOPMENT STRATEGY OF POTENTIAL MARINE TOURISM IN LAMPUNG SELATAN FOR FACING GLOBAL TORISM COMPETITION.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'a4ec609fb4adbe321919e52aa4e0c42b', 'datasetid': 'document', 'fileid': 452891, 'uri': 'http://repository.lppm.unila.ac.id/id/file/452891', 'filename': 'THE DEVELOPMENT STRATEGY OF POTENTIAL MARINE TOURISM IN LAMPUNG SELATAN FOR FACING GLOBAL TORISM COMPETITION.pdf', 'objectid': 162067, 'filesize': 748004, 'mtime': '2022-03-29 12:21:15', 'hash_type': 'MD5'}], 'format': 'text'}]",127,,,['Universitas Lampung'],,,,,,,,,,,,,,,,,,
4,,Administrasi  Negara,['FISIP2'],disk0/00/04/06/94,8,unpub,,public,2022-03-30 01:06:54,"['H1', 'HN']",http://repository.lppm.unila.ac.id/id/eprint/40694,,Penilaian Teman Sejawat: ANALISIS FAKTOR-FAKTOR PENENTU JOB STRESS TERHADAP KINERJA PEGAWAI (Studi Kasus Pegawai Badan Pengelolaan Keuangan dan Aset Daerah Kota Bandar Lampung),,other,"[{'id': 'dewie.brimaatika@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Atika', 'lineage': None, 'given': 'Dewie'}}]",show,2022-03-30 01:06:54,archive,40694,2022-03-30 01:06:54,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162069', 'security': 'public', 'placement': 1, 'eprintid': 40694, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'files': [{'datasetid': 'document', 'fileid': 452907, 'hash': '8467bbc6c1dca5606ee1bbe7f442222c', 'mime_type': 'application/pdf', 'objectid': 162069, 'filesize': 559234, 'uri': 'http://repository.lppm.unila.ac.id/id/file/452907', 'filename': 'ANALISIS FAKTOR-FAKTOR PENENTU JOB STRESS TERHADAP KINERJA PEGAWAI (Studi Kasus Pegawai Badan Pengelolaan Keuangan dan Aset Daerah Kota Bandar Lampung),.pdf', 'hash_type': 'MD5', 'mtime': '2022-03-29 12:30:46'}], 'main': 'ANALISIS FAKTOR-FAKTOR PENENTU JOB STRESS TERHADAP KINERJA PEGAWAI (Studi Kasus Pegawai Badan Pengelolaan Keuangan dan Aset Daerah Kota Bandar Lampung),.pdf', 'docid': 162069, 'format': 'text'}]",127,,,['Universitas Lampung'],,,,,,,,,,,,,,,,,,
5,,Administrasi  Negara,['FISIP2'],disk0/00/04/06/97,8,unpub,,public,2022-03-30 01:07:00,"['H1', 'HN']",http://repository.lppm.unila.ac.id/id/eprint/40697,,Penilaian Teman Sejawat: PENGARUH PEMBERDAYAAN SUMBER DAYA APARATUR TERHADAP KINERJA PEGAWAI DI BADAN PELAKSANA PENYULUHAN PERTANIAN PERIKANAN DAN KEHUTANAN (BP4K) KABUPATEN TANGGAMUS,,other,"[{'id': 'dewie.brimaatika@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'Atika', 'honourific': None, 'given': 'Dewie'}}]",show,2022-03-30 01:07:00,archive,40697,2022-03-30 01:07:00,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162072', 'pos': 1, 'eprintid': 40697, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 162072, 'main': 'PENGARUH PEMBERDAYAAN SUMBER DAYA APARATUR TERHADAP KINERJA PEGAWAI DI BADAN PELAKSANA PENYULUHAN PERTANIAN PERIKANAN DAN KEHUTANAN (BP4K).pdf', 'files': [{'objectid': 162072, 'filesize': 642343, 'uri': 'http://repository.lppm.unila.ac.id/id/file/452931', 'filename': 'PENGARUH PEMBERDAYAAN SUMBER DAYA APARATUR TERHADAP KINERJA PEGAWAI DI BADAN PELAKSANA PENYULUHAN PERTANIAN PERIKANAN DAN KEHUTANAN (BP4K).pdf', 'hash_type': 'MD5', 'mtime': '2022-03-29 12:41:00', 'datasetid': 'document', 'fileid': 452931, 'hash': 'de535f715402b9ffe15ee1538198e159', 'mime_type': 'application/pdf'}]}]",127,,,['Universitas Lampung'],,,,,,,,,,,,,,,,,,
6,Prosiding Seminar Nasional Penelitian Dan Pengabdian Kepada Masyarakat Universitas Muhammadiyah Metro ke ! tahun 2019,LEMBAGA PENELITIAN UM METRO 2019,['FISIP2'],disk0/00/02/13/74,12,pub,978-623-90328-2-1,public,2020-06-02 01:02:08,['H1'],http://repository.lppm.unila.ac.id/id/eprint/21374,"Tourism is currently one of the mainstay driving the village economy. The tourism
potential in a village will certainly bring economic benefits if managed properly. One model
of tourism development that is suitable to be managed in rural areas is community-based
tourism. This community-based tourism model can provide various benefits, besides
increasing income it can also support environmentally sound development, preservation of
local culture, community empowerment and even distribution of community income. Pekon
Pardasuka is one of the villages in the Pardasuka sub-district of Pringsewu district wanting
to increase the village's original income through the tourism sector but does not yet
understand how to form / develop tourism suitable to the conditions of the village, therefore a
training on community-based tourism.
Keyword: community-based tourism","PELATIHAN TENTANG PARIWISATA BERBASIS MASYARAKAT
DI PEKON PARDASUKA, KECAMATAN PARDASUKA,
KABUPATEN PRINGSEWU",TRUE,conference_item,"[{'name': {'family': 'Atika', 'lineage': None, 'honourific': None, 'given': 'Dewie'}, 'id': 'dewie.brima@fisip.unila.ac.id'}, {'id': 'rahayu.sulistiowati@fisip.unila.ac.id', 'name': {'given': 'Rahayu', 'honourific': None, 'lineage': None, 'family': 'Sulistiowati'}}, {'name': {'given': 'Susana Indriati', 'honourific': None, 'family': 'Caturiani', 'lineage': None}, 'id': 'indrie02@gmail.com'}, {'id': 'ani_wardianto@yahoo.co.id', 'name': {'given': 'Ani Agus', 'honourific': None, 'family': 'Puspawati', 'lineage': None}}]",show,2020-06-02 01:02:08,archive,21374,2020-06-02 01:02:08,"[{'format': 'text', 'main': '348-353 Dewie Brima, Rahayu.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/198668', 'filename': '348-353 Dewie Brima, Rahayu.pdf', 'filesize': 475672, 'objectid': 34771, 'mtime': '2020-06-01 12:43:29', 'hash_type': 'MD5', 'hash': 'c71fc1a59bcad1540a5545d37c6fd505', 'mime_type': 'application/pdf', 'fileid': 198668, 'datasetid': 'document'}], 'docid': 34771, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'id', 'rev_number': 2, 'eprintid': 21374, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34771'}, {'format': 'text', 'main': '348-353 Dewie Brima, Rahayu.pdf', 'docid': 34774, 'files': [{'datasetid': 'document', 'fileid': 198682, 'hash': 'c71fc1a59bcad1540a5545d37c6fd505', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-06-01 13:16:10', 'filesize': 475672, 'objectid': 34774, 'filename': '348-353 Dewie Brima, Rahayu.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/198682'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 21374, 'placement': 2, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/34774', 'pos': 2}]",127,,https://snppm.ummetro.ac.id/,"['Lampung University', 'Lampung University', 'Lampung University', 'Lampung University']",conference,PROSIDING SEMINAR NASIONAL PENELITIAN DAN PENGABDIAN KEPADA MASYARAKAT UNIVERSITAS MUHAMMADIYAH METRO KE-1 TAHUN 2019,published,[{'url': 'https://snppm.ummetro.ac.id/'}],paper,13 November 2019,Universitas Muhammadiyah Metro,348-353,,,,,,,,,,
7,"Masyarakat, Kebudayaan dan Politik",Universitas Airlangga,['FISIP2'],disk0/00/01/49/18,6,pub,2088-7050,public,2019-11-04 07:37:32,['JF'],http://repository.lppm.unila.ac.id/id/eprint/14918,"Clientelism is a renewal of the patronage concept, usually referred to as patron-client in some scientific literature. Research about patron-client in the context of domestic politics, specifically in regional elections, is rarely conducted. Previous studies have mostly examined national-level elections, namely president and legislative. Therefore, this research has tried to answer the question on how the clientelism process worked during the Mayor’s Election in Bandar Lampung in 2015, particularly for candidate pair of Herman HN and M. Yusuf Kohar. This research was conducted in Bandar Lampung city from September 2016 to January 2017 as a part of the authors’ dissertation. It employs qualitative method using in-depth interview method on respondents who are related to research objects. The informants consisted of political practitioners, members of campaign teams, and academicians. The findings showed that clientelism among voters occurred during mayor election in Bandar Lampung 2015. There is a mutualism symbiosis between the incumbent candidate (Herman HN) and the voters in Mayor Election of Bandar Lampung in 2015. The voters’ votes can be influenced using the imagery portrayed by the candidates, particularly Herman HN. They can also be influenced by distributive politics or by giving what the voters’ needs through infrastructure politics (such as the construction of roads and bridges), free education, free health care, and social/religion aids. The candidate pair who won the election had different campaign teams.",Hasil Cek Similarity Artikel: Clientelism in Bandar Lampung’s Mayor Election 2015: A case study of Herman H. N. and M. Yusuf Kohar as candidate pair,TRUE,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Cahyadi', 'given': 'Robi'}, 'id': 'robi_ck@yahoo.com'}, {'name': {'given': 'Dedy', 'lineage': None, 'family': 'Hermawan', 'honourific': None}, 'id': 'hermawan.dedy@yahoo.com'}]",show,2019-11-04 07:37:32,archive,14918,2019-11-04 07:37:32,"[{'placement': 1, 'eprintid': 14918, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28039', 'pos': 1, 'security': 'public', 'main': 'Jurnal_MKP_Unair_2018.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/128699', 'filename': 'Jurnal_MKP_Unair_2018.pdf', 'filesize': 4005913, 'objectid': 28039, 'mtime': '2019-11-01 05:56:30', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '741648e3fb2e4f35c1724c2e70a107e5', 'fileid': 128699, 'datasetid': 'document'}], 'docid': 28039, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",659,,https://e-journal.unair.ac.id/MKP/article/view/6118,,,,,,,,,,31.0,4.0,,,,,,,,
8,,Kemenkumham,['FISIP2'],disk0_bak/00/05/02/40,7,pub,,public,2023-04-11 07:37:54,['H1'],http://repository.lppm.unila.ac.id/id/eprint/50240,,HKI Buku: Rekomposisi Pajak Daerah Bidang Energi Dan Sumber Daya Mineral Berbasis Urusan Konkuren Pemerintah Daerah,,other,"[{'name': {'given': 'Dedy', 'family': 'Dedy Hermawan', 'lineage': None, 'honourific': None}, 'id': 'dedy.hermawan@fisip.unila.ac.id'}]",show,2023-04-11 07:37:54,archive,50240,2023-04-11 07:37:54,"[{'eprintid': 50240, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189939', 'pos': 1, 'format': 'text', 'docid': 189939, 'main': '13502.pdf', 'files': [{'mtime': '2023-04-11 07:28:03', 'hash_type': 'MD5', 'filename': '13502.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/542863', 'filesize': 247397, 'objectid': 189939, 'mime_type': 'application/pdf', 'hash': '21b2a38a2b1b90ace6215d961c421237', 'datasetid': 'document', 'fileid': 542863}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",572,,,,,,,,,,,,,,,,,,,,,
9,,Kemenkumham,['FISIP2'],disk0_bak/00/05/02/43,7,pub,,public,2023-04-11 07:37:56,['T1'],http://repository.lppm.unila.ac.id/id/eprint/50243,,HKI Program Komputer : Program Jaring Bencana,,other,"[{'id': 'dedy.hermawan@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Dedy Hermawan', 'lineage': None, 'given': 'Dedy'}}]",show,2023-04-11 07:37:56,archive,50243,2023-04-11 07:37:56,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '05dc85dd33752aa3dd4fc6eeedf4059b', 'datasetid': 'document', 'fileid': 542876, 'filename': '13499.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/542876', 'filesize': 2090498, 'objectid': 189941, 'mtime': '2023-04-11 07:29:44', 'hash_type': 'MD5'}], 'main': '13499.pdf', 'docid': 189941, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189941', 'security': 'public', 'placement': 1, 'eprintid': 50243}]",572,,,,,,,,,,,,,,,,,,,,,
