,lastmod,documents,userid,metadata_visibility,datestamp,eprintid,eprint_status,title,type,creators,uri,date,abstract,date_type,subjects,ispublished,rev_number,full_text_status,status_changed,divisions,publisher,dir,refereed,book_title,pagerange,isbn,editors,official_url,pages,place_of_pub,volume,related_url,number,series,corp_creators,contributors,pres_type,event_dates,event_location,event_title,event_type,publication,issn,contact_email,referencetext,note,keywords
0,2020-06-19 03:59:29,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'BB. Desentralisasi 2020 Reviewer.pdf', 'docid': 36151, 'files': [{'hash': '108dc9a7d117e3f083bd660d9e1211e6', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 207972, 'mtime': '2020-06-19 03:45:40', 'hash_type': 'MD5', 'filename': 'BB. Desentralisasi 2020 Reviewer.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/207972', 'objectid': 36151, 'filesize': 608585}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36151', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 22679}]",7,show,2020-06-19 03:59:29,22679,archive,Desentralisai atau resentralisasi: Arah Politik Pemerintahan UU No.23 Tahun 2014,other,"[{'name': {'given': 'Ari', 'family': 'Darmastuti', 'lineage': None, 'honourific': None}}]",http://repository.lppm.unila.ac.id/id/eprint/22679,1970-01-01 00:00:00.000002015,peer review,published,['AC'],pub,7,public,2020-06-19 03:59:29,['FISIP3'],Bulaksumur Empat,disk0/00/02/26/79,,,,,,,,,,,,,,,,,,,,,,,,,
1,2020-05-15 06:59:07,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 32942, 'main': '1. Ari D Reviewer Desentralisasi.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-05-15 06:59:07', 'filesize': 1140474, 'objectid': 32942, 'filename': '1. Ari D Reviewer Desentralisasi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/185893', 'fileid': 185893, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '1d7fdc6296ca03437b900c547f9392f3'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32942', 'pos': 1, 'eprintid': 17878, 'placement': 1}]",880,show,2020-02-05 08:50:07,17878,archive,Desentralisasi atau Resentralisasi? Tinjauan Kritis Terhadap Undang-Undang No 23 Tahun 2014,book,"[{'name': {'family': 'Darmastuti', 'lineage': None, 'honourific': None, 'given': 'Ari'}}]",http://repository.lppm.unila.ac.id/id/eprint/17878,1970-01-01 00:00:00.000002015,Hasil Sejawat Sebidang Atau Peer Review Karya Ilmiah: Buku Ilmiah,published,['AC'],pub,8,public,2020-02-05 08:50:07,['FISIP3'],Bulaksumur Empat,disk0/00/01/78/78,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
2,2020-02-05 09:14:41,"[{'format': 'text', 'docid': 31000, 'main': '3. Similarity Dr. Ari D Desentralisasi_atau_Resentralisasi_Tinjauan_Kritis.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-02-05 02:10:30', 'objectid': 31000, 'filesize': 3929780, 'uri': 'http://repository.lppm.unila.ac.id/id/file/150593', 'filename': '3. Similarity Dr. Ari D Desentralisasi_atau_Resentralisasi_Tinjauan_Kritis.pdf', 'fileid': 150593, 'datasetid': 'document', 'hash': 'c102c68fcee0ce315a488ad240fe1785', 'mime_type': 'application/pdf'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 17880, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31000', 'pos': 1}]",880,show,2020-02-05 09:14:41,17880,archive,Desentralisasi atau Resentralisasi? Tinjauan Kritis Terhadap Undang-Undang No 23 Tahun 2014,book,"[{'name': {'honourific': None, 'family': 'Darmastuti', 'lineage': None, 'given': 'Ari'}}]",http://repository.lppm.unila.ac.id/id/eprint/17880,1970-01-01 00:00:00.000002015,Similarity,,['AC'],pub,7,public,2020-02-05 09:14:41,['FISIP3'],Bulaksumur Empat,disk0/00/01/78/80,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
3,2020-05-15 07:06:19,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': '3. Ari D Reviewer Material Feminsm.pdf', 'files': [{'datasetid': 'document', 'fileid': 185899, 'mime_type': 'application/pdf', 'hash': '522ecb25e82fc09ecbcc99a1f4351faa', 'objectid': 32944, 'filesize': 660978, 'uri': 'http://repository.lppm.unila.ac.id/id/file/185899', 'filename': '3. Ari D Reviewer Material Feminsm.pdf', 'hash_type': 'MD5', 'mtime': '2020-05-15 07:06:19'}], 'docid': 32944, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32944', 'eprintid': 17874, 'placement': 1}]",880,show,2020-02-05 04:10:06,17874,archive,"Material Feminism and Multi-local Political Ecologies: Rethinking Gender and Nature in Lampung, Indonesia",book_section,"[{'name': {'given': 'Ari', 'family': 'Darmastuti', 'lineage': None, 'honourific': None}}]",http://repository.lppm.unila.ac.id/id/eprint/17874,1970-01-01 00:00:00.000002015,Hasil Penilaian Sejawat Sebidang Atau Peer Review Karya Ilmiah: Buku Ilmiah,published,['AC'],pub,8,public,2020-02-05 04:10:06,['FISIP3'],NIAS Press,disk0/00/01/78/74,TRUE,"Material Feminism and Multi-local Political Ecologies: Rethinking Gender and Nature in Lampung, Indonesia. fakultas Ilmu Sosial Ilmu politik",177-206,978-87-7694-156-7,,,,,,,,,,,,,,,,,,,,,
4,2020-02-05 04:10:24,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': '1. Similarity Dr. Ari D Material_Feminism_and_Multi_Local.pdf', 'docid': 30996, 'files': [{'mtime': '2020-02-04 09:11:33', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/150563', 'filename': '1. Similarity Dr. Ari D Material_Feminism_and_Multi_Local.pdf', 'filesize': 100866299, 'objectid': 30996, 'hash': '3781f32f0eb60017a27499489eac7b38', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 150563}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30996', 'pos': 1, 'eprintid': 17875, 'placement': 1}]",880,show,2020-02-05 04:10:24,17875,archive,"Material Feminism and Multi-local Political Ecologies: Rethinking Gender and Nature in Lampung, Indonesia",book_section,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Darmastuti', 'given': 'Ari'}}]",http://repository.lppm.unila.ac.id/id/eprint/17875,1970-01-01 00:00:00.000002015,Similarity,published,['AC'],pub,7,public,2020-02-05 04:10:24,['FISIP3'],NIAS Press,disk0/00/01/78/75,TRUE,"Material Feminism and Multi-local Political Ecologies: Rethinking Gender and Nature in Lampung, Indonesia. fakultas Ilmu Sosial Ilmu politik",,,,,,,,,,,,,,,,,,,,,,,
5,2017-11-30 07:14:18,"[{'placement': 1, 'eprintid': 6154, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19077', 'security': 'public', 'files': [{'mime_type': 'application/pdf', 'hash': '6c5736578f70548e8bb0606790801d85', 'fileid': 56564, 'datasetid': 'document', 'mtime': '2017-11-30 02:52:03', 'hash_type': 'MD5', 'filename': 'Desentralisasi atau Resentralisasi _ _ Tinjauan Kritis Terhadap UU No. 23 Tahun 2014.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/56564', 'filesize': 1609066, 'objectid': 19077}], 'main': 'Desentralisasi atau Resentralisasi _ _ Tinjauan Kritis Terhadap UU No. 23 Tahun 2014.pdf', 'docid': 19077, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",680,show,2017-11-30 07:14:18,6154,archive,Desentralisasi atau Resentralisasi? Tinjauan Kritis Terhadap Undang-Undang No 23 Tahun 2014,book_section,"[{'name': {'given': 'Labpolotda JIP', 'honourific': None, 'family': 'Fisip Unila', 'lineage': None}, 'id': None}, {'name': {'given': 'Robi', 'honourific': None, 'lineage': None, 'family': 'Cahyadi'}, 'id': 'robi_ck@yahoo.com'}]",http://repository.lppm.unila.ac.id/id/eprint/6154,2015-10-01 00:00:00.000000000,BUku ini merupakan intisari dari Seminar nasional yang diselenggarakan oleh laboraatorium politik lokal dan otonomi daerah jurusan ilmu pemerintahan FISIP Universitas lampung pada tanggal 30 April 2015.Kumpulan tulisan beragam kalangan tentang kritikan dan saran terhadap UU No 23 tahun 2014 tentang pemerintahan daerah,published,['JA'],pub,7,public,2017-11-30 07:14:18,['FISIP3'],Labpolokda JIP FISIP Unila & MIP FISIP Unila,disk0/00/00/61/54,TRUE,Desentralisasi atau Resentralisasi? Tinjauan Kritis Terhadap Undang-Undang No 23 Tahun 2014,62-70,,"[{'name': {'given': 'Budi', 'honourific': None, 'lineage': None, 'family': 'Kurniawan'}}]",http://www.academia.edu/12317995/Desentralisasi_atau_Resentralisasi_Tinjauan_Kritis_Terhadap_UU_No._23_Tahun_2014,124.0,bandar lampung,1.0,"[{'type': 'pub', 'url': 'http://www.academia.edu/12317995/Desentralisasi_atau_Resentralisasi_Tinjauan_Kritis_Terhadap_UU_No._23_Tahun_2014'}]",,,,,,,,,,,,,,,
6,2022-09-05 10:00:09,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Perilaku Memilih_JIMD_2014.pdf.pdf', 'files': [{'mtime': '2022-09-05 07:03:56', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/483362', 'filename': 'Perilaku Memilih_JIMD_2014.pdf.pdf', 'filesize': 525323, 'objectid': 166656, 'hash': 'af87c97bc2b869d91009ea2c28f1e335', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 483362}], 'docid': 166656, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/166656', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 44768}]",813,show,2022-09-05 10:00:09,44768,archive,"Similirity : PERILAKU MEMILIH MAHASISWA 
PADA PEMILIHAN UMUM TAHUN 2014 DI LAMPUNG",other,"[{'id': 'hertanto.1960@fisip.unila.ac.id', 'name': {'family': 'Hertanto', 'lineage': None, 'honourific': None, 'given': 'Hertanto'}}]",http://repository.lppm.unila.ac.id/id/eprint/44768,1970-01-01 00:00:00.000002015,,,['JA'],pub,7,public,2022-09-05 10:00:09,['FISIP3'],Universitas Negeri Jakarta,disk0/00/04/47/68,,,,,,,,,,,,,,,,,,,,,,,,,
7,2020-05-30 20:01:05,"[{'eprintid': 21198, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34585', 'format': 'text', 'main': 'Kritik-dan-Saran-Untuk-Perbaikan-UU-23-Tahun-2014.pdf', 'files': [{'fileid': 197404, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'ebb46ce8adf641d7464cd687470b826a', 'objectid': 34585, 'filesize': 210611, 'uri': 'http://repository.lppm.unila.ac.id/id/file/197404', 'filename': 'Kritik-dan-Saran-Untuk-Perbaikan-UU-23-Tahun-2014.pdf', 'hash_type': 'MD5', 'mtime': '2020-05-30 14:04:50'}], 'docid': 34585, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",284,show,2020-05-30 20:01:05,21198,archive,Kritik dan Saran Untuk Perbaikan UU 23 tahun 2014,book_section,"[{'name': {'honourific': None, 'family': 'Kurniawan', 'lineage': None, 'given': 'Budi'}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}]",http://repository.lppm.unila.ac.id/id/eprint/21198,1970-01-01 00:00:00.000002015,"UU 23 tahun 2014 lahir dari adanya keresahan akan dampak negatif yang
ditimbulkan UU no 32 tahun 2004. Ada beberapa masalah yang disorot sebagai
kelamahan UU lama (UU 32/2004) yang ditulis oleh sang arsitek, yakni DIRJEN Otda
Kemendagri, Djohermansyah Djohan di Kompas (25 April 2015) beberapa waktu
yang lalu. Pertama dan yang paling penting adalah lemahnya fungsi gubernur dan
pemerintah pusat dalam mengontrol pemerintah kabupaten dan kota. Dalam
banyak kasus, gubernur sebagai kepanjangan pemerintah pusat di daerah gagal
mencegah abuse of power dari pemerintah kota dan kabupaten terutama dalam
masalah pertambangan, kelautan dan kehutanan. Dampak negatifnya adalah
kerusakan lingkungan yang parah akibat eksploitasi pemerintah kabupaten dan
kota dalam rangka meningkatakan pendapatan daerah. Muncul raja-raja kecil di
daerah yang tanpa bisa dikontrol gubernur dan pemerintah pusat ini, dalam banyak
kasus tidak bisa berkoordinasi dengan gubernur yang biasannya dikarenakan
perbedaan latar belakang politik. Dan di sisi yang lain gubernur berada pada posisi
menggantung tanpa bisa berpijak. Kedua, maraknya daerah pemekaran yang
kebablasan. Ketiga, ada kewenangan yang tumpang tindih.",published,"['JF', 'JS']",pub,11,public,2020-05-30 20:01:05,['FISIP3'],Bulaksumur Empat,disk0/00/02/11/98,TRUE,Desentralisasi atau Resentralisasi: Tinjauan Kritis Terhadap UU 23 NO 23/ 2014,41-48,978-602-72593-5-5,"[{'name': {'honourific': None, 'family': 'Kurniawan', 'lineage': None, 'given': 'Budi'}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}]",,,Yogyakarta,,,,,,,,,,,,,,,,,
8,2020-06-19 01:45:46,"[{'placement': 1, 'eprintid': 22666, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36138', 'pos': 1, 'security': 'public', 'main': 'pol gentong babi.pdf', 'docid': 36138, 'files': [{'hash_type': 'MD5', 'mtime': '2020-06-18 13:15:52', 'objectid': 36138, 'filesize': 9194624, 'filename': 'pol gentong babi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/207850', 'datasetid': 'document', 'fileid': 207850, 'hash': '03b44e5001ff783eb25c72f72cf3f41a', 'mime_type': 'application/pdf'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",284,show,2020-06-19 01:45:46,22666,archive,Politik Gentong Babi,book_section,"[{'name': {'given': 'Budi', 'honourific': None, 'family': 'Kurniawan', 'lineage': None}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}]",http://repository.lppm.unila.ac.id/id/eprint/22666,2015-10-01 00:00:00.000000000,"Politik Gentong Babi atau pig barrel politics adalah istilah ilmu politik yang masih terasa asing untuk masyarakat Indonesia. Belum ada literatur yang serius membahas tentang hal ini di Indonesia dan khususnya Lampung. Walau masih jarang dalam kajian ilmu politik di Indonesia, politik genton babi sering kita temui dalam kehidupan sehari-hari menjelang pemilihan kepala daerah di Lampung",published,"['JA', 'JC', 'JF', 'JQ', 'JS']",pub,11,public,2020-06-19 01:45:46,['FISIP3'],Sai Wawai Publishing,disk0/00/02/26/66,TRUE,Gotong Royong Melawan Poltik Uang,24-27,978-602-72378-2-7,"[{'name': {'family': 'Karzi', 'lineage': None, 'honourific': None, 'given': 'Udo Z'}}]",,94.0,Bandar Lampung,,,,,,,,,,,,,,,,,
9,2020-05-31 02:19:01,"[{'eprintid': 21228, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34618', 'format': 'image', 'files': [{'datasetid': 'document', 'fileid': 197627, 'hash': '12934a8637ef02ed8d3f4664381ae4ed', 'mime_type': 'image/jpeg', 'hash_type': 'MD5', 'mtime': '2020-05-31 01:16:04', 'objectid': 34618, 'filesize': 40058, 'filename': 'FISIP-Launching-Buku-di-Propti-Fakultas.jpg', 'uri': 'http://repository.lppm.unila.ac.id/id/file/197627'}], 'main': 'FISIP-Launching-Buku-di-Propti-Fakultas.jpg', 'docid': 34618, 'language': 'en', 'mime_type': 'image/jpeg', 'rev_number': 1}]",284,show,2020-05-31 02:19:01,21228,archive,Sukses Kuliah ala Mahasiswa Fisip,book,"[{'id': 'budi.kurniawan@fisip.unila.ac.id', 'name': {'given': 'Budi', 'lineage': None, 'family': 'Kurniawan', 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Melyansyah', 'given': 'Melyansyah'}, 'id': None}, {'name': {'given': 'Ananda', 'family': 'Putri S', 'lineage': None, 'honourific': None}, 'id': None}, {'id': None, 'name': {'given': 'Rizka', 'honourific': None, 'lineage': None, 'family': 'Fajiranti'}}, {'id': None, 'name': {'family': 'Afriani', 'lineage': None, 'honourific': None, 'given': 'Lintang Yunita'}}]",http://repository.lppm.unila.ac.id/id/eprint/21228,1970-01-01 00:00:00.000002015,Buku populer tentang tips menjadi mahasiswa fisip dilengkapi dengan cara menulis akademik dan mencari beasiswa,published,"['JA', 'L1']",pub,9,public,2020-05-31 02:19:01,['FISIP3'],Aura Publisher,disk0/00/02/12/28,FALSE,,,978-602-0878-17-1,"[{'id': 'budi.kurniawan@fisip.unila.ac.id', 'name': {'given': 'Budi', 'honourific': None, 'family': 'Kurniawan', 'lineage': None}}]",,,Bandar Lampung,,,,,,,,,,,,,,,,,
