,metadata_visibility,pagerange,datestamp,referencetext,eprint_status,eprintid,lastmod,official_url,documents,userid,number,title,refereed,type,creators,contact_email,date_type,subjects,date,uri,abstract,volume,publisher,dir,publication,divisions,ispublished,rev_number,full_text_status,issn,status_changed,related_url,event_location,event_dates,pres_type,event_type,event_title,corp_creators,succeeds,contributors,pages,isbn,place_of_pub,book_title,note,keywords,id_number
0,show,569-586,2017-11-30 07:12:22,"Daviddow, William H. & Bro Uttal. (1989). Total Customer Service. New York: Harper & Row Publisher.
Fitzsimmons, James A and Mona J. Fitzsimmons. (2001). Service Management: Operations, Strategy, and Information Technology. Third Edition. Singapore: McGraw-Hill Book Co.
Gasperz, Vincent. (1997). Manajemen Kualitas Dalam Industri Jasa. Jakarta: PT. Gramedia Pustaka.
Kotler, Philip. (2004). Manajeman Pemasaran. Jakarta: PT Indeks.
Morgan and Murgatroyd. (1994). Total Quality Management in the Public Sector: An international perspective. Philadelphia: Open University Press.
Osborne, David dan Gaebler, Ted. (1995). Mewirausahakan Birokrasi. Jakarta: PPM.
Ratminto, Atik Septi Winarsih, (2006). Manajemen Pelayanan: Pengembangan Modal Konseptual, Penerapan Citizen's Charter dan Standar Pelayanan Minimal. Yogyakarta: Pustaka Pelajar.
Shafrudin, Hadi. (2014). “Analisis Indeks Kepuasan Masyarakat (IKM) di RSUD Jendral Ahmad Yani Kota Metro”. Skripsi. Bandar Lampung; FISIP UNILA
Sinambela, Lijan P. Rochadi, Sigit. Ghazali, Rusman. Muksin, Akhmad. Setiabudi, Didit. Bima, Djohan, dan Syaifudin. (2006). Reformasi Pelayanan Publik: Teori, Kebijakan, dan Implementasi. Jakarta: Bumi Aksara.
Soekanto, Soerjono. (1982). Kesadaran Hukum Dan Kepatuhan Hukum, Jakarta: CV Rajawali.
Tjiptono, Fandy.(1997), Prinsip-prinsip Total Quality (TQS). Yogyakarta: Penerbit ANDI.
Trilestari, Endang Wirjatmi. (2004). “Model Kinerja Pelayanan Publik dengan Pendekatan Systems Thinkinks and System Dinamics”. Disertasi. Depok: FISIP UI",archive,6143,2017-11-30 07:12:22,http://jurnal.fh.unila.ac.id/index.php/fiat,"[{'placement': 1, 'eprintid': 6143, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19054', 'security': 'public', 'docid': 19054, 'main': 'Fiat Justitia, September 2016.pdf', 'files': [{'hash': '81d30ce92ced047a9af58b9fe3f4d41f', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 56480, 'uri': 'http://repository.lppm.unila.ac.id/id/file/56480', 'filename': 'Fiat Justitia, September 2016.pdf', 'objectid': 19054, 'filesize': 530906, 'mtime': '2017-11-29 09:24:03', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",680,3.0,Inovasi Kualitas Pelayanan Publik Pemerintah Daerah,TRUE,article,"[{'name': {'honourific': None, 'family': 'Cahyadi', 'lineage': None, 'given': 'Robi'}, 'id': 'robi_ck@yahoo.com'}]",robi_ck@yahoo.com,published,['JS'],2016-07-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6143,"Public service is a measure of the performance of the government's most visible. Communities can directly assess the government's performance based on the service they received. For the quality of public services in all ministries / institutions is a fundamental thing that must be improved. Improved public services, the Ministry of Administrative Reform and Bureaucratic Reform policy that since 2014 was a year of public service innovation. All government agencies, both at central and local levels is expected to make a creative idea or an answer to how to work / public service method. Ministry of Administrative Reform and Bureaucratic Reform collect and assess the innovations that have been made in a number of agencies across Indonesia. Hopefully the quality and innovation of public services BPS can always be increased, so that it can continue to compete fairly with other agencies.",10,Fakultas Hukum Universitas Lampung,disk0/00/00/61/43,Fiat Justicia Jurnal Ilmu Hukum Fakultas Hukum Universitas Lampung,['FISIP3'],pub,6,public,1978-5186,2017-11-30 07:12:22,,,,,,,,,,,,,,,,
1,show,1-3,2018-01-11 02:34:04,,archive,6321,2018-01-29 04:16:02,http://www.lampost.co/berita-melawan-hantu-golput-,"[{'placement': 1, 'eprintid': 6321, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19238', 'pos': 1, 'security': 'public', 'files': [{'objectid': 19238, 'filesize': 4934606, 'filename': 'LAMPUNG POST _ Melawan Hantu Golput.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/58798', 'hash_type': 'MD5', 'mtime': '2018-01-06 03:59:57', 'datasetid': 'document', 'fileid': 58798, 'mime_type': 'application/pdf', 'hash': 'a936097544d904ac18ba651d927ba0d4'}], 'main': 'LAMPUNG POST _ Melawan Hantu Golput.pdf', 'docid': 19238, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",680,,Melawan Hantu Golput,TRUE,article,"[{'id': 'robi_ck@yahoo.com', 'name': {'given': 'Robi', 'lineage': None, 'family': 'Cahyadi', 'honourific': None}}]",,published,['JA'],2016-11-03 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6321,"Melawan Hantu Golput
 
PEMILIHAN kepala daerah tahun 2017 merupakan pemilihan kepala daerah serentak jilid dua sebagai kelanjutan jilid satu pada Desember 2015 lalu. Khusus untuk Provinsi Lampung, ada sebuah fenomena yang hampir seragam di delapan kabupaten/kota yang melaksanakan pemilihan kepala daerah 9 Desember 2015 lalu, yaitu rendahnya angka partisipasi pemilih.",,"Lampung Post, 3 November 2016",disk0/00/00/63/21,Lampung Post,['FISIP3'],pub,7,public,,2018-01-11 02:34:04,[{'url': 'http://www.lampost.co/berita-melawan-hantu-golput-'}],,,,,,,,,,,,,,,
2,show,398-411,2018-01-04 04:16:20,,archive,6172,2018-01-04 04:16:20,http://repository.lppm.unila.ac.id/1702/1/index.html,"[{'format': 'text', 'main': 'SHIELD CONFERENCE UNILA– International Conference 2016.pdf', 'docid': 19098, 'files': [{'mime_type': 'application/pdf', 'hash': 'c19d1c4c0362d174873b03c8505e9948', 'fileid': 56725, 'datasetid': 'document', 'filename': 'SHIELD CONFERENCE UNILA– International Conference 2016.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/56725', 'objectid': 19098, 'filesize': 625267, 'mtime': '2017-11-30 12:37:08', 'hash_type': 'MD5'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 6172, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19098'}]",680,,Patron Client in Lampung Governor Election 2014,TRUE,conference_item,"[{'name': {'given': 'Robi', 'lineage': None, 'family': 'Cahyadi', 'honourific': None}, 'id': 'robi_ck@yahoo.com'}]",,published,['H1'],2016-11-03 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6172,"Local Election, theoretically a procedural democracy held at the regional level. In the practice since 2005, has been a lot of ambiguity and deviation from the original purpose to implement a clean and fair election. The diversion happens in the form of money politics, political dynasties and the pattern of patron-client or clientelism. This research tried to probe more about the pattern of clientelism in the elections, especially in Lampung governor election on 9 April 2014. The research location is on two areas, Bandar Lampung city and West Tulang Bawang regency. This research started from September 2014 to January 2015. This research used a qualitative research type. To observe most of the intrinsic social life, with in-depth interviews to figures and selected informants. The approach used in this research is Critical Social Science (CSS) approach, which observe social science as a process of critical inquiry phenomenon. The results showed that in Lampung Governor Election 2014, there was clientelism strong relationships between pairs of candidates and voters, the candidate pairs and brokers, broker and voters.",,,disk0/00/00/61/72,,['FISIP3'],pub,8,public,,2018-01-04 04:16:20,"[{'type': 'pub', 'url': 'http://repository.lppm.unila.ac.id/1702/1/index.html'}]","Universitas Lampung, Bandar Lampung",2-3 Nov 2016,paper,conference,1st SHIELD International Conference,,,,,,,,,,
3,show,,2019-11-07 04:37:35,,archive,15827,2019-11-07 04:37:35,http://jurnal.unpad.ac.id/wacanapolitik/article/view/10545,"[{'placement': 1, 'eprintid': 15827, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28927', 'pos': 1, 'security': 'public', 'main': '9. Peer Review JurNas Tidak Terakreditasi, JWP.pdf', 'docid': 28927, 'files': [{'hash': '313b926e4634b435ed47a1733f333a7f', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 135855, 'mtime': '2019-11-06 16:00:39', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/135855', 'filename': '9. Peer Review JurNas Tidak Terakreditasi, JWP.pdf', 'objectid': 28927, 'filesize': 1359163}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",680,1.0,Peer Review Jurnal Wacana Politik (JWP) Fisip Unpad,TRUE,article,"[{'name': {'lineage': None, 'family': 'Cahyadi', 'honourific': None, 'given': 'Robi'}, 'id': 'robi_ck@yahoo.com'}]",,published,['J1'],1970-01-01 00:00:00.000002016,http://repository.lppm.unila.ac.id/id/eprint/15827,Penilaian Rekan Sejawat,1,FISIP Padjadjaran University,disk0/00/01/58/27,KONFLIK INTERNAL PARTAI NASDEM DAN PEMILIHAN LEGISLATIF 2014,['FISIP3'],pub,7,public,2502-9185,2019-11-07 04:37:35,,,,,,,,,,,,,,,,
4,show,15-25,2017-11-30 07:12:07,,archive,6142,2017-11-30 07:12:07,http://jurnal.fisip.unila.ac.id/index.php/administratio/article/view/385,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19053', 'pos': 1, 'eprintid': 6142, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'fileid': 56474, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'fecd3a07b7fe40fbf631e0d0acaf8eb5', 'hash_type': 'MD5', 'mtime': '2017-11-29 09:10:40', 'filesize': 138436, 'objectid': 19053, 'uri': 'http://repository.lppm.unila.ac.id/id/file/56474', 'filename': 'Administratio Cover Edisi 7 Vol. 1.pdf'}], 'main': 'Administratio Cover Edisi 7 Vol. 1.pdf', 'docid': 19053}]",680,1.0,Tantangan Kualitas Pelayanan Publik Pada Pemerintah Daerah,TRUE,article,"[{'name': {'lineage': None, 'family': 'Cahyadi', 'honourific': None, 'given': 'Robi'}, 'id': 'robi_ck@yahoo.com'}]",robi_ck@yahoo.com,published,['JF'],2016-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6142,"Undang-Undang No. 25 Tahun 2009 tentang pelayanan publik telah menjadi acuan awal bagi pemerintah, khususnya pemerintah daerah dalam menetapkan standar pelayanan bagi masyarakat pengguna jasa pelayanan pemerintah. Berdasarkan data Ombudsan RI , standar pelayanan membutuhkan waktu yang relatif lama dalam praktek pelaksanaannya. Tulisan ini mengurai tentang faktor penghambat pelayanan publik, tantangan yang dihadapi pemerintah daerah, masalah yang muncul seperti mal administrasi, sampai dengan perlunya sinergi layanan antar pemerintah daerah dengan Ombudsman RI guna percepatan kualitas layanan, hingga ide electronic government dengan menggunakan teknologi informasi yang terkoneksi dengan menyeluruh. Tulisan ini berbasiskan penelitian pustaka dengan analisa data-data sekunder, melalui beberapa penelitian yang ada pada pemerintah daerah di Indonesia.Hasilnya tantangan kualitas pelayanan publik di Indonesia terletak pada penyedia layanan (birokrasi) dan pengguna layanan (masyarakat), keduanya sama-sama bermasalah namun dengan porsi birokrasi dipihak yang lebih bermasalah dalam pelayanan publik.",7,Jurusan Administrasi Negara FISIP Unila dan Persadi Lampung,disk0/00/00/61/42,Jurnal Ilmiah Administrasi Publik dan Pembangunan ADMINISTRATIO,['FISIP3'],pub,6,public,2087-0825,2017-11-30 07:12:07,"[{'url': 'http://jurnal.fisip.unila.ac.id/index.php/administratio', 'type': 'pub'}]",,,,,,,,,,,,,,,
5,show,146-166,2017-06-12 04:36:07,,archive,3099,2017-06-12 04:36:07,http://lppm.unila.ac.id/download/prosiding-seminar-nasional-pengabdian-2016/,"[{'placement': 1, 'eprintid': 3099, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2979', 'security': 'public', 'files': [{'hash': 'aefe42f9920188e346586ecc07a15c4c', 'mime_type': 'application/pdf', 'fileid': 21432, 'datasetid': 'document', 'filename': 'prosiding pengabdian himawan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/21432', 'objectid': 2979, 'filesize': 9499595, 'mtime': '2017-06-02 06:32:04', 'hash_type': 'MD5'}], 'main': 'prosiding pengabdian himawan.pdf', 'docid': 2979, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",266,,Pendidikan Politik Menjadi Pemilih Cerdas Bagi Pemilih Pemula di Kota Bandar Lampung Tahun 2015,TRUE,conference_item,"[{'name': {'given': 'Himawan', 'family': 'Indrajat', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'family': 'Hertanto', 'lineage': None, 'given': 'Hertanto'}}]",,published,['JA'],2016-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/3099,Pendidikan Politik Menjadi Pemilih Cerdas Bagi Pemilih Pemula di Kota Bandar Lampung Tahun 2015,,,disk0/00/00/30/99,,['FISIP3'],pub,9,public,,2017-06-12 04:36:07,,Bandar Lampung,Desember 2016,paper,conference,SEMINAR NASIONAL HASIL-HASIL PENGABDIAN KEPADA MASYARAKAT,"['Universitas Lampung', 'Universitas Lampung']",,,,,,,,,
6,show,438-453,2017-06-12 04:36:24,,archive,3096,2017-06-12 04:36:24,http://shield.unila.ac.id/,"[{'placement': 1, 'eprintid': 3096, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2977', 'pos': 1, 'security': 'public', 'main': 'SHIELD himawan 2016.pdf', 'files': [{'filesize': 3334000, 'objectid': 2977, 'filename': 'SHIELD himawan 2016.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/21417', 'hash_type': 'MD5', 'mtime': '2017-06-02 06:28:35', 'datasetid': 'document', 'fileid': 21417, 'hash': '131fe4a11e71afb591fadf1455105d51', 'mime_type': 'application/pdf'}], 'docid': 2977, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",266,,"Voting Behaviour in 2014 Legislative Election
in Lampung Timur Regency
(Case Study in Desa Gunung Mulyo Sekampung Udik District
and Desa Rajabasa Batanghari Sukadana District)",TRUE,conference_item,"[{'name': {'given': 'Himawan', 'family': 'Indrajat', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Darmawan', 'honourific': None, 'family': 'Purba', 'lineage': None}}]",,published,['H1'],2016-11-02 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/3096,"At this time, democracy has been a best choice for admintering the life of nation by 
most  country  around  the  world.  In  Indonesia,  the  implementing  of  democracy  has  been 
through the long term of political life. In democratic country, voters participation has become 
important  part  of  representative  democracy.  Voters  participation  are  supporting  the 
accomplishing  practical  of  representative.  In  fact,  there  are  some  issues  concerning  to  the 
voters turn of in every general election. Unfortunately, the issue has not revealed and most of 
them become weakness. Most issues concerned with the participant in election are the voters 
turn out in ballot box, a lot of  invalid votes, indication of money politc, political literacy, and 
the  lack  of  volunteriness  contribution  of  citizen  politic.  The  issue  must  be  disscused  for 
knowing the main cause and find the solution. In expectation, participation can be placed in 
proper level with high level politiacal literacy. Therefore, the reseach program has become 
the needs of political management.
Based  on  2014  election  result,  shows  that  the  success  of  election  determined 
participation which reach into 75%. Nevertheless, the level of participation in every region is 
different  from  the  national  results.  For  example, lampung  timur  shows  that  participation  is 
only 69% in every district. The highest participation is in Batanghari district and Pekalongan 
district which is the average  result is above national participation. The lowest participation is 
in  Gunung  Pelindung,  Braja  Selebah,  Labuhan  Maringgai,  Mataram  Baru,  Pasir  Sakti  and 
Melinting  district.  The  result  of  the  subdistrict  are  62%-65%.  From  the  result  we  can  do 
comparision  study  between  the  highest  and  the  lowest  participation  region,  that  is  Desa 
Gunung  Mulyo  in  Sekampung  Udik  district  and  Desa  Rajabasa  Batanghari  in  Sukadana 
district.  In  this  research  we  use  quantitative  methode,  and  the  colecting  data  technique  by 
doing survey to the people and interview with Komisi Pemilihan Umum, Panitia Pengawas 
Pemilu, Political Party, and Legislative Candidate.",,,disk0/00/00/30/96,,['FISIP3'],pub,8,public,,2017-06-12 04:36:24,,BANDAR LAMPUNG,2 NOVEMBER 2016,paper,conference,SHIELD CONFERENCE 2016,"['Universitas Lampung', 'Universitas Lampung']",,,,,,,,,
7,show,,2022-03-29 10:07:43,,archive,40686,2022-03-29 10:07:43,,"[{'eprintid': 40686, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162059', 'pos': 1, 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2022-03-29 09:11:01', 'filesize': 123125, 'objectid': 162059, 'uri': 'http://repository.lppm.unila.ac.id/id/file/452821', 'filename': 'Prosiding - Voting Behaviour.pdf', 'datasetid': 'document', 'fileid': 452821, 'mime_type': 'application/pdf', 'hash': 'd6e7a55bb1dc7a248b786f8acb6dda5c'}], 'main': 'Prosiding - Voting Behaviour.pdf', 'docid': 162059, 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf'}]",8741,,Voting Behaviour in 2014 Legislative Election in Lampung Timur Regency (Case Study in Desa Gunung Mulyo Sekampung Udik District and Desa Rajabasa Batanghari Sukadana District),,other,"[{'name': {'given': 'Himawan', 'honourific': None, 'lineage': None, 'family': 'Indrajat'}}, {'name': {'given': 'Darmawan', 'family': 'Purba', 'lineage': None, 'honourific': None}}]",,,['H1'],2016-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/40686,"lembar reviewer judul ""Voting Behaviour in 2014 Legislative Election in Lampung Timur Regency (Case Study in Desa Gunung Mulyo Sekampung Udik District and Desa Rajabasa Batanghari Sukadana District)"".",,Universitas Lampung,disk0/00/04/06/86,,['FISIP3'],pub,8,public,,2022-03-29 10:07:43,,,,,,,,,,,,,,,,
8,show,,2020-06-08 05:36:43,,archive,22079,2020-06-08 05:36:43,,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35475', 'security': 'public', 'placement': 1, 'eprintid': 22079, 'rev_number': 4, 'language': 'id', 'mime_type': 'application/pdf', 'content': 'submitted', 'files': [{'filesize': 57728, 'objectid': 35475, 'uri': 'http://repository.lppm.unila.ac.id/id/file/203454', 'filename': 'Catatan Lokakarya Kurikulum Jurusam Ilmu Pemerintahan UNILA 2016.pdf', 'hash_type': 'MD5', 'mtime': '2020-05-29 06:52:14', 'datasetid': 'document', 'fileid': 203454, 'hash': '039d8b70473d71e2044838723f935d9f', 'mime_type': 'application/pdf'}], 'main': 'Catatan Lokakarya Kurikulum Jurusam Ilmu Pemerintahan UNILA 2016.pdf', 'docid': 35475, 'format': 'text'}]",284,,Napas Baru Ilmu Pemerintahan: Catatan Lokakarya Kurikulum Jurusam Ilmu Pemerintahan UNILA 2016,FALSE,conference_item,"[{'id': 'budi.kurniawan@fisip.unila.ac.id', 'name': {'family': 'Kurniawan', 'lineage': None, 'honourific': None, 'given': 'Budi'}}]",,,"['JA', 'JF']",1970-01-01 00:00:00.000002016,http://repository.lppm.unila.ac.id/id/eprint/22079,"Bisa   dikatakan   akhir-akhir   ini   studi   atau   lebih   populer   menggunakan   kata   Ilmu mengalami krisis identitas. Kampus UGM misalnya menambahkan kata politik dan agak membingungkan program studi lain di luar UGM mengapa UGM harus menambah kata politik.  Di  IPDN  malah  ilmu  pemerintahan  ini  semakin  aneh.  Pendekatan  di  IPDN  bisa dikatakan  tertinggal  berapa  dekade  dan  bahkan  tidak  kontekstual  dengan  dinamika pemerintahan hari ini. IPDN lebih tepatnya sekolah militer ketimbang sekolah sipil yang berparadigma ""public service"" atau pelayan publik. Yang unik pengalaman mereka yang pernah mengajar S2 lulusan IPDN sama seperti mengajar robot ketimbang manusia. Di     UNPAD sebenarnya ilmu pemerintahan pun tidak jelas. Ada eksodus dosen lulusan luar negeri  yang  belajar  ilmu  politik  ke  jurusan  baru  yakni  ilmu  politik.  Penulis  bisa  katakan unpad  berusaha  menginisiasi  Asosiasi  Program  Studi  Ilmu  Pemerintahan  Indonesia (APSIPI) yang membahas kurikulum yang malah cendrung monolitik dalam metodelogi. Penulis  yang  pernah  ikut  forum  APSIPI  melihat  ada  kecendurngan  APSIPI  malah membuat  homigenitas  dan  kapling  ilmu  di  tengah  trend  pendekatan  multi  disiplin. Ironisnya  APSIPI  malah  terjebak  dalam  pendekatan  old  institutionalisme  yang  legal formalistik dalam melihat fenomena pemerintahan",,,disk0/00/02/20/79,Lokakarya Kurikulum Jurusan Ilmu Pemerintahan Universitas Lampung 2016,['FISIP3'],submitted,9,public,,2020-06-08 05:36:43,,Bandar Lampung,,paper,workshop,Lokakarya Kurikulum Jurusan Ilmu Pemerintahan Unversitas Lampung 2016,,21022.0,,,,,,,,
9,show,,2021-06-02 06:56:55,,archive,31702,2021-06-02 06:56:55,,"[{'main': 'Penelitian 6.pdf', 'docid': 143540, 'files': [{'datasetid': 'document', 'fileid': 375590, 'hash': 'fefd9467768d9e3f5c0ee54b2813d8b1', 'mime_type': 'application/pdf', 'filesize': 2091508, 'objectid': 143540, 'filename': 'Penelitian 6.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/375590', 'hash_type': 'MD5', 'mtime': '2021-06-02 06:09:25'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 31702, 'uri': 'http://repository.lppm.unila.ac.id/id/document/143540', 'pos': 1, 'security': 'public'}]",926,,Reviewer : Tantangan-tantangan Ilmu Sosial Dalam Menghadapi Bonus Demografi 2020-2030,,other,"[{'id': 'syarief.makhya@fisip.unila.ac.id', 'name': {'given': 'Syarief', 'family': 'Makhya', 'lineage': None, 'honourific': None}}]",,,"['H1', 'JA']",2016-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/31702,Reviewer (Penilaian Rekan Sejawat),,Fakutas Ilmu Sosial dan Ilmu Politik UNILA,disk0/00/03/17/02,,['FISIP3'],pub,8,public,,2021-06-02 06:56:55,,,,,,,,,,,,,,,,
