,abstract,volume,date,uri,date_type,subjects,full_text_status,issn,status_changed,ispublished,rev_number,related_url,divisions,publisher,publication,dir,userid,number,official_url,lastmod,documents,datestamp,eprintid,eprint_status,metadata_visibility,type,creators,title,refereed,place_of_pub,isbn,pages,pagerange,book_title,referencetext,corp_creators,id_number,editors,monograph_type,institution,department,succeeds,contact_email,event_dates,pres_type,event_location,event_type,event_title,note,contributors,keywords,funders
0,"Peer Review, Penilaian Rekan Sejawat",4,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/15825,published,['JA'],public,"2477-8060, 2503-4456",2019-11-07 04:36:04,pub,6,[{'url': 'https://journal.unnes.ac.id/nju/index.php/jpi/article/view/19122'}],['FISIP3'],Universitas Negeri Semarang,Distributive Politics and Manipulative Policy in Local Election,disk0/00/01/58/25,680,2.0,https://journal.unnes.ac.id/nju/index.php/jpi/article/view/19122,2019-11-07 04:36:04,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': '7. Peer Review JurNas Terakreditasi IPSR.pdf', 'docid': 28925, 'files': [{'mtime': '2019-11-06 15:45:20', 'hash_type': 'MD5', 'filename': '7. Peer Review JurNas Terakreditasi IPSR.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/135843', 'objectid': 28925, 'filesize': 1383054, 'hash': '8e6f816e8c2d687e0d0bd21b3ed67f8c', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 135843}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28925', 'eprintid': 15825, 'placement': 1}]",2019-11-07 04:36:04,15825,archive,show,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Cahyadi', 'given': 'Robi'}, 'id': 'robi_ck@yahoo.com'}]",Peer Review Jurnal Nasional Terakreditasi IPSR,TRUE,,,,,,,,,,,,,,,,,,,,,,,
1,Peer Review ; Penilaian Rekan Sejawat,11,2019-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/15823,published,['JA'],public,2460-7320,2019-11-07 04:36:01,pub,6,[{'url': 'https://journal.unnes.ac.id/nju/index.php/komunitas/article/view/13161'}],['FISIP3'],Unversitas Negeri Semarang,Capitalism and Corporate in Lampung Local Politics,disk0/00/01/58/23,680,1.0,https://journal.unnes.ac.id/nju/index.php/komunitas/article/view/13161,2019-11-07 04:36:01,"[{'placement': 1, 'eprintid': 15823, 'uri': 'http://repository.lppm.unila.ac.id/id/document/28924', 'pos': 1, 'security': 'public', 'files': [{'fileid': 135835, 'datasetid': 'document', 'hash': 'b081afe94df874ff3e5ab1ccdf3145f9', 'mime_type': 'application/pdf', 'filesize': 1342044, 'objectid': 28924, 'uri': 'http://repository.lppm.unila.ac.id/id/file/135835', 'filename': '6. Peer Review JurNas Terakreditasi Komunitas, Maret 2019.pdf', 'hash_type': 'MD5', 'mtime': '2019-11-06 15:37:18'}], 'main': '6. Peer Review JurNas Terakreditasi Komunitas, Maret 2019.pdf', 'docid': 28924, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2019-11-07 04:36:01,15823,archive,show,article,"[{'name': {'given': 'Robi', 'honourific': None, 'lineage': None, 'family': 'Cahyadi'}, 'id': 'robi_ck@yahoo.com'}]",Peer Review Jurnal Nasional Terakreditasi KOMUNITAS,TRUE,,,,,,,,,,,,,,,,,,,,,,,
2,SIMILARITY INDEX,1,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/15830,published,['JC'],public,,2019-11-07 04:38:04,pub,9,,['FISIP3'],Aura Publisher,,disk0/00/01/58/30,680,,http://aura-publishing.com/category/buku-baru-2/,2020-03-12 03:39:51,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/28930', 'pos': 1, 'eprintid': 15830, 'placement': 1, 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 3, 'format': 'text', 'docid': 28930, 'main': '1. Buku Political Economy, Cek Similarity 20.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-11-06 16:28:02', 'objectid': 28930, 'filesize': 18944093, 'uri': 'http://repository.lppm.unila.ac.id/id/file/135875', 'filename': '1. Buku Political Economy, Cek Similarity 20.pdf', 'fileid': 135875, 'datasetid': 'document', 'hash': 'c77ab34a25768b9345c7f98917b9a897', 'mime_type': 'application/pdf'}]}]",2019-11-07 04:38:04,15830,archive,show,book_section,"[{'id': 'robi_ck@yahoo.com', 'name': {'given': 'Robi', 'honourific': None, 'lineage': None, 'family': 'Cahyadi'}}]",SIMILARITY CHECK RESULT BUKU POLITICAL ECONOMY,TRUE,Bandar Lampung,978-623-211-058-8,162.0,1-162,"Political Economy,",,,,,,,,,,,,,,,,,,
3,"Abstrak
Politik uang dalampemilihan umum dan pemilihan lokal merupakan fenomena yang marak terjadi dalam demokrasi prosedural di Indonesia, terutama sejak pemilihanlangsung tahun 2004.  Pemilih  sudah  sangat  faham  dengan  istilah money  politicsdan  juga  tidak  sungkan untuk   menerima   pemberian   dalam   bentuk   uang   dan   barang.   Tulisan   ini   mencoba menawarkan  upaya  untuk  mencegah  praktik  politik  uang  dilhat  dari  sisi  sosiologis  dan psikologis  pemilih,  dengan  memberikan  pemahaman dari  sisi  kognitif  dan  afektif untuk menanamkan   dalam   benak   pemilih   bahwa   politik   uang   adalah   sebuah   kejahatan   dan pelanggaran   etika   serta   moral   yang   mendasar.    Pemilih dalam praktikpemilu   dapatdipengaruhi   pilihannya   jika   diberi   bantuan   barang   atau   pemberianuang.Relasi   atau hubungan  antara  kandidat  dan  pemilih  terjadi  dalam  hal  pembelian  suara,  penyediaan layanan  dan  aktivitas  pribadi,  penyediaan  barang,  pemberian proyek,  kecurangan  pemilu,penampilan  identitas  dan penggalangan  danapara  kandidat  calon  kepala  daerah.Modal sosial   pemilih   serta   kearifan   lokal   diseluruh   daerah   ditanah   air   diharapkan   dapat mereduksi praktik politik uang.
Kata kunci:Modal Sosial, Kearifan Lokal, Politik Uang",5,2019-06-26 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/13485,published,['JF'],public,2615-7977,2019-07-16 03:14:42,pub,7,"[{'type': 'pub', 'url': 'https://jurnal.kpk.go.id/index.php/integritas/article/view/338/70'}]",['FISIP3'],KPK RI,Jurnal Antikorupsi INTEGRITAS KPK RI,disk0/00/01/34/85,680,1.0,https://jurnal.kpk.go.id/index.php/integritas/article/view/338/70,2019-07-16 03:14:42,"[{'placement': 1, 'eprintid': 13485, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26495', 'security': 'public', 'docid': 26495, 'main': 'Jurnal Integratas KPK 2019.pdf', 'files': [{'hash': 'c284c37594c476a30f117d045c261297', 'mime_type': 'application/pdf', 'fileid': 117924, 'datasetid': 'document', 'filename': 'Jurnal Integratas KPK 2019.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/117924', 'filesize': 787781, 'objectid': 26495, 'mtime': '2019-07-05 14:27:17', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2019-07-16 03:14:42,13485,archive,show,article,"[{'name': {'given': 'Robi', 'lineage': None, 'family': 'Cahyadi', 'honourific': None}, 'id': 'robi_ck@yahoo.com'}, {'name': {'honourific': None, 'family': 'Hermawan', 'lineage': None, 'given': 'Dedy'}, 'id': 'hermawan.dedy@yahoo.com'}]",Strategi Sosial Pencegahan Politik Uang di Indonesia,TRUE,,,,29-41,,,,,,,,,,,,,,,,,,,
4,"ABSTRACT
 
State and company / corporation in the context of governance are two of the three fundamental pillars of democratic development in addition to the market . The relation of both, in the context of Lampung's local politics is object to study, in particular the company /SGC. This research was conducted in May 2014. The study used a qualitative research type, which saw most of the intrinsic social life, with in-depth interviews with personalities and selected informants. The approach used in this study is the approach of critical social science (CSS), which saw social science as a process of critical inquiry phenomenon. The results showed that in Lampung local election at 2014 ago, there were strong relations between the corporation / company in the case of the Sugar Group Company (SGC) in the Lampung Governor  candidates. SGC is serving as a source of funding for the campaign of the election for the last governor election in 2014. SGC does it as a way of business development.",11,2019-03-30 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/12956,published,['JS'],public,p-ISSN 2086 - 5465,2019-05-16 03:37:32,pub,6,[{'url': 'https://journal.unnes.ac.id/nju/index.php/komunitas/article/view/13161'}],['FISIP3'],Universitas Negeri Semarang,"Jurnal Komunitas, International Journal of Indonesian Society and Culture",disk0/00/01/29/56,680,1.0,https://journal.unnes.ac.id/nju/index.php/komunitas/article/view/13161,2019-05-16 03:37:32,"[{'placement': 1, 'eprintid': 12956, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25939', 'security': 'public', 'files': [{'mime_type': 'application/pdf', 'hash': '6733ae49cd1454d083346dd9a407012e', 'fileid': 114163, 'datasetid': 'document', 'filename': 'Jurnal Komunitas, March 2019 RcK.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/114163', 'filesize': 302384, 'objectid': 25939, 'mtime': '2019-05-16 02:06:21', 'hash_type': 'MD5'}], 'main': 'Jurnal Komunitas, March 2019 RcK.pdf', 'docid': 25939, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2019-05-16 03:37:32,12956,archive,show,article,"[{'id': 'robi_ck@yahoo.com', 'name': {'given': 'Robi', 'family': 'Cahyadi', 'lineage': None, 'honourific': None}}, {'id': 'hermawan.dedy@yahoo.com', 'name': {'given': 'Dedy', 'honourific': None, 'family': 'Hermawan', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Indrajat', 'honourific': None, 'given': 'Himawan'}, 'id': None}, {'id': None, 'name': {'given': 'Budi', 'honourific': None, 'lineage': None, 'family': 'Kurniawan'}}]",Capitalism and Corporate in Lampung Local Politics,TRUE,,,,22-31,,"BOOKS AND JOURNAL
 
Aspinall, Edward. 2013. "" Victory of Capital "". Prism. 32 (1): 20-34.
             
Budiarjo, Miriam. 2008. Basics of Political Science . PT Gramedia Main Library : Jakarta
 
Choirudin, Achmad. 2013. "" Indonesian Capitalism at the Crossroads "". Prism. 32 (1): 121-129.
 
Hadiz, Vedi. 2013. "" The Rise of Capital "". Prism. 32 (1): 3-19.
 
Hiariej, Eric. 2003. ""Marxist State Theory"". Journal of Social and Political Sciences. 7 (2): 261-282.
 
Hiariej, Eric. 2006. ""Development of State Capitalism in Indonesia"". Journal of Social and Political Sciences. 10 (2): 91-120.
 
McIntyre, Andrew. 2007. Indonesia: Democracy and The Promise of Good Governance . Institute of Southeast Asian Studies: Singapo re . .
 
Miles, Mattew B and AM, Huberman. 1992. Qualitative Data Analysis. University of Indonesia Press. Jakarta.
 
Neuman, Lawrence. 2006. Social Research Methods. University of Wisconsin at Whitewater: USA
 
Pratikno. 2005. "" Good Governance and Governability "". Journal of Social and Political Sciences. 8 (3): 231-248.
 
 
 
REGULATIONS
 
Law No. 23 of 201 4 concerning Regional Government .
 
Law No 3 2 Year 200 concerning Regional Government.
 
Law No. 5 1960 concerning Basic Agrarian Basic Regulations (UUPA).
 
Government Regulation No. 40 of 1996 on leasehold, Right to Bang unan, and Right of Use of Land
 
 
ONLINE ARTICLES
 
Barenscoot and Purba (2014) accessed May 25, 2014 from http://www.insideindonesia.org/pe milu-lampung-yang-lapis-gula",,,,,,,,,,,,,,,,,
5,"ABSTRACT State and company / corporation in the context of governance are two of the three fundamental pillars of democratic development in addition to the market . The relation of both, in the context of Lampung's local politics is object to study, in particular the company /SGC. This research was conducted in May 2014. The study used a qualitative research type, which saw most of the intrinsic social life, with in-depth interviews with personalities and selected informants. The approach used in this study is the approach of critical social science (CSS), which saw social science as a process of critical inquiry phenomenon. The results showed that in Lampung local election at 2014 ago, there were strong relations between the corporation / company in the case of the Sugar Group Company (SGC) in the Lampung Governor candidates. SGC is serving as a source of funding for the campaign of the election for the last governor election in 2014. SGC does it as a way of business development.",,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/32855,published,['JA'],public,,2021-06-25 05:37:55,pub,7,[{'url': 'http://repository.lppm.unila.ac.id/12956/'}],['FISIP3'],"Jurnal Komunitas, International Journal of Indonesian Society and Culture,",,disk0/00/03/28/55,284,,https://journal.unnes.ac.id/nju/index.php/komunitas/article/view/13161,2021-06-25 05:37:55,"[{'main': 'jurnal.pdf', 'files': [{'datasetid': 'document', 'fileid': 389028, 'hash': 'bb91ffa8a4624f8abe35cac32cc4156f', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-06-25 04:36:19', 'filesize': 710263, 'objectid': 149701, 'filename': 'jurnal.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/389028'}], 'docid': 149701, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 32855, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/149701', 'security': 'public'}]",2021-06-25 05:37:55,32855,archive,show,other,"[{'id': 'robi_ck@yahoo.com', 'name': {'given': 'Robi', 'lineage': None, 'family': 'Cahyadi', 'honourific': None}}, {'name': {'given': 'Dedy', 'honourific': None, 'family': 'Hermawan', 'lineage': None}, 'id': 'dedy.hermawan@fisip.unila.ac.id'}, {'id': None, 'name': {'lineage': None, 'family': 'Indrajat', 'honourific': None, 'given': 'Himawan'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Kurniawan', 'given': 'Budi'}, 'id': 'budi.kurniawan@fisip.unila.ac.id'}]","Penilaian Teman Sejawat: Capitalism and Corporate in Lampung Local Politics. Jurnal Komunitas, International Journal of Indonesian Society and Culture, 11 (1). pp. 22-31. ISSN p-ISSN 2086 - 5465",,,,,,,,,,,,,,,,,,,,,,,,
6,Similarity Index,11,2019-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/15850,published,['JA'],public,2460-7350,2019-11-07 04:37:54,pub,8,[{'url': 'https://journal.unnes.ac.id/nju/index.php/komunitas/article/view/13161'}],['FISIP3'],Universitas Negeri Semarang,KomunItas International Journal,disk0/00/01/58/50,680,1.0,https://journal.unnes.ac.id/nju/index.php/komunitas/article/view/13161,2019-11-07 04:37:54,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 28950, 'main': '6. JurNas Terakreditasi Komunitas; March 2019, Cek Similarity 14.pdf', 'files': [{'fileid': 136017, 'datasetid': 'document', 'hash': '67efd09ccbf6d2315c26743077ca8bc3', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-11-07 03:10:57', 'filesize': 5151962, 'objectid': 28950, 'filename': '6. JurNas Terakreditasi Komunitas; March 2019, Cek Similarity 14.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/136017'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/28950', 'pos': 1, 'eprintid': 15850, 'placement': 1}]",2019-11-07 04:37:54,15850,archive,show,article,"[{'name': {'given': 'Robi', 'honourific': None, 'family': 'Cahyadi', 'lineage': None}, 'id': 'robi_ck@yahoo.com'}, {'name': {'given': 'Dedy', 'lineage': None, 'family': 'Hermawan', 'honourific': None}, 'id': 'hermawan.dedy@yahoo.com'}, {'name': {'lineage': None, 'family': 'Indrajat', 'honourific': None, 'given': 'Himawan'}, 'id': None}, {'name': {'given': 'Budi', 'lineage': None, 'family': 'Kurniawan', 'honourific': None}, 'id': None}]","Similarity Check Result ""Capitalism and Corporate in Lampung Local Politics""",TRUE,,,,,,,,,,,,,,,,,,,,,,,
7,Similarity,,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/22681,published,['AC'],public,,2020-06-19 03:59:36,pub,7,,['FISIP3'],ICONSIER,,disk0/00/02/26/81,7,,,2020-06-19 03:59:36,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36152', 'security': 'public', 'placement': 1, 'eprintid': 22681, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'files': [{'mtime': '2020-06-19 03:48:10', 'hash_type': 'MD5', 'filename': 'BBB. Metagovernance on Disasaster  Similarity.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/207981', 'objectid': 36152, 'filesize': 2607016, 'hash': 'ab4c7b6ae10d9e3d0e7f3b6e2e020e61', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 207981}], 'main': 'BBB. Metagovernance on Disasaster  Similarity.pdf', 'docid': 36152, 'format': 'text'}]",2020-06-19 03:59:36,22681,archive,show,other,"[{'name': {'given': 'Ari', 'lineage': None, 'family': 'Darmastuti', 'honourific': None}}]",Metagovernance on Disaster: Learning from Lampung Tsunami in Indonesia,,,,,,,,,,,,,,,,,,,,,,,,
8,Similarity,,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/17877,published,['AC'],public,,2020-02-05 04:10:48,pub,7,,['FISIP3'],Balitbangda Provinsi Lampung,,disk0/00/01/78/77,880,,,2020-02-05 04:10:48,"[{'placement': 1, 'eprintid': 17877, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30998', 'security': 'public', 'main': '2. Similarity Dr. Ari D Membangun_Demokrasi_Melalui_Pengembangan_Jaringan_.pdf', 'files': [{'filesize': 2548619, 'objectid': 30998, 'uri': 'http://repository.lppm.unila.ac.id/id/file/150577', 'filename': '2. Similarity Dr. Ari D Membangun_Demokrasi_Melalui_Pengembangan_Jaringan_.pdf', 'hash_type': 'MD5', 'mtime': '2020-02-04 09:21:16', 'fileid': 150577, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '807d21a4a83011e9e6a8e20d271e1f0b'}], 'docid': 30998, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2020-02-05 04:10:48,17877,archive,show,book_section,"[{'name': {'given': 'Ari', 'lineage': None, 'family': 'Darmastuti', 'honourific': None}}]",membangun demokrasi melalui pengembangan jaringan dukungan bagi pemberdayaan politik perempuan,TRUE,,,,,membangun demokrasi melalui pengembangan jaringan dukungan bagi pemberdayaan politik perempuan,,,,,,,,,,,,,,,,,,
9,peer review,,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/22678,published,['AC'],public,,2020-06-19 03:59:19,pub,10,,['FISIP3'],ICONSIER,,disk0/00/02/26/78,7,,,2020-06-27 04:02:41,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'mtime': '2020-06-22 01:47:27', 'hash_type': 'MD5', 'filename': 'BB1 Metagovernance on Disaster Reviewer.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/208203', 'objectid': 36181, 'filesize': 723627, 'hash': 'b5e0b43fc4adaf09a95d49eb90163204', 'mime_type': 'application/pdf', 'fileid': 208203, 'datasetid': 'document'}], 'main': 'BB1 Metagovernance on Disaster Reviewer.pdf', 'docid': 36181, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36181', 'eprintid': 22678, 'placement': 1}]",2020-06-19 03:59:19,22678,archive,show,other,"[{'id': None, 'name': {'lineage': None, 'family': 'Darmastuti', 'honourific': None, 'given': 'Ari'}}, {'id': 'feni.rosalia@fisip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Rosalia', 'given': 'Feni'}}]",Metagovernance on Disaster: Learning from Lampung Tsunami in Indonesia,,,,,,,,,,,,,,,,,,,,,,,,
