,status_changed,full_text_status,issn,rev_number,ispublished,publisher,publication,divisions,dir,related_url,abstract,uri,date,subjects,date_type,creators,type,refereed,title,userid,documents,official_url,lastmod,eprint_status,eprintid,datestamp,pagerange,metadata_visibility,volume,funders,contact_email,corp_creators,projects,number,contributors,id_number,editors,series,pages,isbn,place_of_pub,event_dates,pres_type,event_location,event_type,event_title,referencetext
0,2017-06-12 02:31:10,public,978-602-0860-114,7,pub,Post Graduate Program University of Lampung Institute of Research and Community Service,Proceeding of International Conference 1st SHIELD 2016,['FISIP4'],disk0/00/00/33/92,[{'url': 'http://shield.unila.ac.id/ShieldProceeding.pdf'}],"One of controversial new media entities is Wikileaks. Posting a huge number of confidential documents regarding newsworthy public figures and governments, Wikileaks is claimed to generate major impacts to related countries such as Africa, the U.S, Western Europe and Indonesia. The continuing controversy around Wikileaks also reflects the role of its founder in the networked public sphere, Julian Assange. This article is aimed to comprehend the role of individual in globalized world, especially by studying the case of Julian Assange and Wikileaks. The article is divided in three parts. Firstly, it explains background as well as global controversy surrounding Wikileaks and its spokesman, Julian Assange. Secondly, it identifies the areas that Assange have directly impacted, especially in terms of participation, journalism practice and privacy. Finally, it reflects on Assange’s role in the globalized media economy, particularly drawing on his background as an Australian. It is found that the website mainly focused on whistle blowing actions, using insider’s evidences such as documents, cables and videos. It is also found that the website’s anonymous method contribute to increase citizen’s participation. At the same time, Assange through Wikileaks has brought a new form of journalism, medium for everyone‘s voice where the non-professionals with valuable information are endorsed with opportunity in informing the public like proficient journalists. Wikileaks has changed the way journalist approach their information source especially investigative journalism, due to its tightly embodied hactivism culture. Months or even years spent for conventional investigative journalists to verify the information can be substituted just by a simple click on the net. Wikileaks has also impacted the idea of government transparency. Because of Wikileaks’ whistle-blowing’s actions, now many governments are being stricter in disseminating their valuable information. Assange’s roles in the media economy are also shaped by Australia’s standpoint in globalized world",http://repository.lppm.unila.ac.id/id/eprint/3392,2016-11-02 00:00:00.000000000,['HE'],completed,"[{'name': {'given': 'Windah', 'honourific': None, 'family': 'Andi', 'lineage': None}}]",article,FALSE,"Reflecting the Role of Individual in Globalized World: 
A Study Case on Julian Assange and Wikileaks",281,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/3263', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 3392, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 3263, 'main': 'ShieldProceeding.pdf', 'files': [{'mtime': '2017-06-05 07:06:06', 'hash_type': 'MD5', 'filename': 'ShieldProceeding.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/23530', 'filesize': 23708329, 'objectid': 3263, 'hash': 'bab80d18eda9e4b4f9482c0af42298d5', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 23530}], 'format': 'text'}]",http://shield.unila.ac.id/,2017-06-12 02:31:10,archive,3392,2017-06-12 02:31:10,364-376,show,,,,,,,,,,,,,,,,,,,
1,2017-06-12 02:30:56,public,9786027413900,6,pub,Fakultas Ilmu Komunikasi Universitas Tarumanegara,Proceeding of International Conference of Communication Industry and Community,['FISIP4'],disk0/00/00/33/96,[{'url': 'http://iccic.untar.ac.id/wp-content/uploads/2016/03/ICCIC-English_NoCopy.pdf'}],"Indonesia is being listed among top five leading countries of social media users, noted by more than 88 million of audience in Internet with 81 % of them accessing new social media more than 1 hour in a day. YouTube, for example, has become one of the major platforms for many Indonesians to share videos of private moments, interact with each other or perform lip-synced which the latter activity apparently generates some uprising phenomenon of instant star. Not so long ago, Indonesians were being astounded by one of the INP (now a former officer) member who became a YouTube sensation, Norman Kamaru. Disseminated thorough social networking sites like any other viral video, this video reached millions of Indonesian online communities. One of the sounding themes in that bearing impression was some people considered his video has humanized reputation of the INP amidst all the cases that appear to discredit this Indonesian army force. 
The purpose of this essay is to elaborate how Norman’s video may promote a better reputation for Indonesia National Police among Indonesian society and how YouTube may possibly allow that to be happening. The first section describes about the video and how it becomes successful in gaining attention of Indonesians, while second section notes problems related to the reputation of The INP. The third section analyses how Norman’s video might improve the INP’s reputation. Finally, the essay’s last section addresses the potency of YouTube as a platform to support INP’s public relation campaigns by comparing YouTube to other PR tools. It is found that YouTube has brought videos of members of The INP to the attention Indonesian online communities. With rapid-fire delivery and acrid commentary, the videos enclose several public relation potencies related to the INP’s effort in revitalizing its reputation. In other word, the video’s high exposure and feedback is not only offers a better opportunity for INP to get closer to its public, it’s also confirms YouTube is a noteworthy platform for image building.      
Keywords: YouTube, viral video, public relations",http://repository.lppm.unila.ac.id/id/eprint/3396,2016-03-03 00:00:00.000000000,['HE'],completed,"[{'name': {'family': 'Andi', 'lineage': None, 'honourific': None, 'given': 'Windah'}, 'id': 'andi.windah@fisip.unila.ac.id'}]",article,FALSE,"Six Minutes Fame in YouTube:
Eyeing Reputation of the Indonesian National Police 
Through Norman Kamaru’s Viral Video",281,"[{'placement': 1, 'eprintid': 3396, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3258', 'security': 'public', 'main': 'ICCIC-English_NoCopy.pdf', 'docid': 3258, 'files': [{'hash_type': 'MD5', 'mtime': '2017-06-05 06:46:29', 'filesize': 9976151, 'objectid': 3258, 'filename': 'ICCIC-English_NoCopy.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/23507', 'fileid': 23507, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '86e10d0197c377774922fe598c973d27'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",http://iccic.untar.ac.id/,2017-06-12 02:30:56,archive,3396,2017-06-12 02:30:56,38-49,show,,,,,,,,,,,,,,,,,,,
2,2020-02-28 05:12:20,public,,7,pub,Prosiding Seminar Nasional Komunikasi,,['FISIP4'],disk0/00/01/82/95,,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah: Prosiding dan Makalah yang Dipresentasikan,http://repository.lppm.unila.ac.id/id/eprint/18295,1970-01-01 00:00:00.000002016,['AC'],published,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Aryanti', 'given': 'Nina Yudha'}, 'id': 'nina.yudha@fisip.unila.ac.id'}]",other,,AKSES REMAJA PADA TELEVISI LOKAL DI LAMPUNG SEBAGAI MEDIA INFORMASI DAN HIBURAN DENGAN KONTEN KEDAERAHAN,595,"[{'files': [{'hash_type': 'MD5', 'mtime': '2020-02-28 04:59:09', 'filesize': 570211, 'objectid': 31449, 'filename': 'Akses Remaja.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/154006', 'datasetid': 'document', 'fileid': 154006, 'mime_type': 'application/pdf', 'hash': 'c37d94bf462a8bc323a1ffe7f3b6d0d3'}], 'main': 'Akses Remaja.pdf', 'docid': 31449, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 18295, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31449', 'security': 'public'}]",,2020-02-28 05:12:20,archive,18295,2020-02-28 05:12:20,,show,,,,,,,,,,,,,,,,,,,
3,2020-02-28 05:12:11,public,,7,pub,Prosiding Seminar Nasional Komunikasi,,['FISIP4'],disk0/00/01/82/94,,HAsil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah: Prosiding dan Makalah yang Dipresentasikan,http://repository.lppm.unila.ac.id/id/eprint/18294,1970-01-01 00:00:00.000002016,['AC'],published,"[{'name': {'honourific': None, 'family': 'Aryanti', 'lineage': None, 'given': 'Nina Yudha'}, 'id': 'nina.yudha@fisip.unila.ac.id'}]",other,,Komunikasi Antar Pribadi dan Akses Media Dalam Mendukung Kompetensi Informasi Pangan Bagi Masyarakat Lampung,595,"[{'docid': 31448, 'main': 'Komunikasi Antar Pribadi.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '559eb980592bd267935fc93ef2e1d843', 'fileid': 153999, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/153999', 'filename': 'Komunikasi Antar Pribadi.pdf', 'objectid': 31448, 'filesize': 528431, 'mtime': '2020-02-28 04:53:17', 'hash_type': 'MD5'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 18294, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31448', 'security': 'public'}]",,2020-02-28 05:12:11,archive,18294,2020-02-28 05:12:11,,show,,,,,,,,,,,,,,,,,,,
4,2017-06-07 08:45:36,public,978-602-60412-0-3,16,pub,"Jurusan Ilmu Komunikasi, FISIP, Universitas Lampung",Prosiding Akselerasi Pembangunan Masyarakat Lokal Melalui Komunikasi dan Teknologi Komunikasi,['FISIP4'],disk0/00/00/30/85,"[{'url': 'http://jurnal.fisip.unila.ac.id/index.php/prosidingkom/article/view/226', 'type': 'org'}]","Rendahnya IPM Provinsi Lampung berkaitan dengan rendahnya kualitas indikator IPM yaitu hidup sehat, standar hidup layak dan pengetahuan. Salah satu keterkaitan SDM dengan IPM dapat dilihat dari keterkaitan antara keersediaan dan kualitas pangan di masyarakat.
Penelitian ini bertujuan untuk mengetahui dan menjelaskan komunikasi yang dilakukan oleh masyarakat perkotaan dan perdesaan serta akses terhadap media massa dalam mendukung kompetensi pangan. Penelitian ini menggunakan metode deskriptif kuantitatif, dengan subyek penelitian yaitu rumah tangga di perkotaan dan perdesaan di Provinsi Lampung. Hasil penelitian menunjukkan bahwa komunikasi antar pribadi di masyarakat dan media massa memiliki peran yang moderat dalam mendukung kompetensi bidang pangan. Kompetensi informasi pangan didukung oleh beberapa interaksi responden dengan: (1) teman/ tetangga, (2) tokoh masyarakat, tenaga kesehatan/ tenaga pendidik, (3) pertemuan di sekitar tempat tinggal, (4) media massa. Komunikasi antarpribadi memiliki peranan yang lebih tinggi dibandingkan media massa dalam beberapa hal, yaitu informasi tentang: (1) sumber ide pangan, (2) jenis pangan, (3) cara pengolahan pangan, (4) pola makan sehat, (5) komposisi gizi seimbang, (6) makanan bermutu. Selain itu, media massa memiliki dalam memberikan informasi pangan yang aman. Dukungan komunikasi antarpribadi berimbang dengan media massa dalam memberikan dukungan terhadap informasi tentang gizi pangan.",http://repository.lppm.unila.ac.id/id/eprint/3085,1970-01-01 00:00:00.000002016,['H1'],published,"[{'id': 'nina.aryayudha@gmail.com', 'name': {'given': 'Nina Yudha', 'lineage': None, 'family': 'Aryanti', 'honourific': None}}, {'name': {'given': 'Yaktiworo', 'honourific': None, 'family': 'Indriyani', 'lineage': None}, 'id': 'yakti_indriani@yahoo.com'}, {'name': {'given': 'Hestin', 'honourific': None, 'family': 'Oktiani', 'lineage': None}, 'id': 'hestinoktiani@gmail.com'}]",article,FALSE,KOMUNIKASI ANTARPRIBADI DAN AKSES MEDIA DALAM MENDUKUNG KOMPETENSI INFORMASI PANGAN BAGI MASYARAKAT LAMPUNG,595,"[{'format': 'text', 'main': '226-369-1-PB.pdf', 'docid': 2975, 'files': [{'fileid': 21409, 'datasetid': 'document', 'hash': '026117e374215cc1a82dc27e2a76e3df', 'mime_type': 'application/pdf', 'filesize': 560907, 'objectid': 2975, 'filename': '226-369-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/21409', 'hash_type': 'MD5', 'mtime': '2017-06-02 06:27:40'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 3085, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2975'}, {'rev_number': 2, 'language': 'en', 'mime_type': 'text/html', 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 21415, 'hash': '2c8fb48b1792037159cc5c0b95c2f17d', 'mime_type': 'text/html', 'filesize': 14032, 'objectid': 2976, 'filename': 226, 'uri': 'http://repository.lppm.unila.ac.id/id/file/21415', 'hash_type': 'MD5', 'mtime': '2017-06-02 06:28:29'}], 'main': 226, 'docid': 2976, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/2976', 'pos': 2, 'eprintid': 3085, 'placement': 2}]",http://jurnal.fisip.unila.ac.id/index.php/prosidingkom/article/view/226,2017-06-07 08:45:36,archive,3085,2017-06-07 08:45:36,115-124,show,1.0,"['Jurusan Ilmu Komunikasi, FISIP, Universitas Lampung']",nina.aryayudha@gmail.com,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']","['Jurusan Ilmu Komunikasi, FISIP, Universitas Lampung']",1.0,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",978-602-60412-0-3,,,,,,,,,,,
5,2017-06-07 09:27:05,public,978-602-60412-0-3,13,pub,Jurusan Ilmu Komunikasi - FISIP Unila,Prosiding Seminar Nasional Komunikasi: Akselerasi Pembangunan Masyarakat Lokal Melalui Komunikasi dan Teknologi Informasi,['FISIP4'],disk0/00/00/29/80,,"Internet usage has been necessity and helpfull in daily modern activities. However, the benefits of using internet is equal to the risk of it own. The world of cyber created by internet, is borderless. This, allow the citizen of cyber (netizen) to do either goodthings or badthings that can not or impossible to achieve in the real world. Many cases in these terms across countries make this type of crime become more complex to anticipates. The differences of law and attention between countries about this phenomena, make it even worse. At this point, the moral become significant to control “life” in cyberspace. The unique characteristic of cyberworld doesn’t change the view of values, ethics, and etiquette of life within. Cyberethics as a part of ethic studies, proposes guidelines of values so the opportunity and advantages that provided by internet can be use for good purpose on human being.",http://repository.lppm.unila.ac.id/id/eprint/2980,2016-11-01 00:00:00.000000000,"['BJ', 'HN']",,"[{'id': 'ahmad.rudy@unila.ac.id', 'name': {'family': 'Fardiyan', 'lineage': None, 'honourific': None, 'given': 'Ahmad Rudy'}}]",article,TRUE,Etika Siber dan Signifikansi Moral Dunia Maya,34,"[{'content': 'published', 'language': 'en', 'rev_number': 3, 'mime_type': 'text/html', 'format': 'text', 'main': 'archive', 'docid': 2865, 'files': [{'fileid': 20610, 'datasetid': 'document', 'hash': '2f0a26022fc0832a78aab6c5967e1ebc', 'mime_type': 'text/html', 'hash_type': 'MD5', 'mtime': '2017-06-02 03:23:49', 'filesize': 5946, 'objectid': 2865, 'uri': 'http://repository.lppm.unila.ac.id/id/file/20610', 'filename': 'archive'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/2865', 'eprintid': 2980, 'placement': 1}]",http://jurnal.fisip.unila.ac.id/index.php/prosidingkom,2017-06-07 09:27:05,archive,2980,2017-06-07 09:27:05,331-337,show,,,,,,,,,,,,,,,,,,,
6,2019-01-02 08:01:24,restricted,,8,pub,Pustaka Nusantara,,['FISIP4'],disk0/00/01/03/76,,"ABSTRACT

This study identify and examines the social communication that occurs in the pre and post-conflict processes. The problems in this research are the communication behaviour between Bali and Lampung ethnic in the process of reconciliation. 

This study refer to the phenomenology theory by Alfred Schutz, the social action theory by Weber, symbolic interaction by Herbert Blumer, and the construction of social reality by Peter L. Berger. This study used a case study approach with qualitative methods. Informants selected purposively and directly experience the incident and has capability to revive his/her communication experience. Data collected techniques using interviews, observation and document review. The procedure of data analysis through data reduction, data presentation and verification / conclusion

The causes of the conflicts are: the introverted attitude of Balinese communities; youth delinquency; arrogant; moneylenders practice; lack of tolerance; jealousy; provocateurs; past experience and forcefully of government apparatus; and labeling of Balinese.

Basically the communication between Balinese and Lampung ethnic was running well related to the process of reconsilitiation. Nonetheless communication process still have various constraints according to the most informants. There are anxiety of Balinese ethnic to socialize caused by trauma and fear lead the mistrust of communication between Balinese and the government. According to those communication experiences suspected there are vulnerability on the peace process. 

Key word:	social communication; conflict; reconciliation; Bali and Lampung ethnic",http://repository.lppm.unila.ac.id/id/eprint/10376,2016-11-01 00:00:00.000000000,['H1'],published,"[{'id': 'ibrahim.besar@fisip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Ibrahim', 'given': 'Besar'}}]",book,FALSE,KOMUNIKASI ANTAR ETNIK TEORY DAN PRAKTEK,211,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/23391', 'pos': 1, 'security': 'validuser', 'formatdesc': 'KOMUNIKASI ANTAR ETNIK TEORI DAN PRAKTEK', 'placement': 1, 'eprintid': 10376, 'rev_number': 2, 'language': 'id', 'mime_type': 'application/pdf', 'content': 'published', 'files': [{'datasetid': 'document', 'fileid': 96594, 'hash': '18b559a2dfd020e483da7b485f101e55', 'mime_type': 'application/pdf', 'objectid': 23391, 'filesize': 525154, 'filename': 'buku_Ibrahim_Besar.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/96594', 'hash_type': 'MD5', 'mtime': '2018-11-24 03:59:02'}], 'main': 'buku_Ibrahim_Besar.pdf', 'docid': 23391, 'format': 'text'}]",,2019-01-02 08:01:24,archive,10376,2019-01-02 08:01:24,,show,1.0,,,['Pustaka Nusantara'],,1.0,"[{'id': 'ibrahim.besar@fisip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/RES', 'name': {'given': 'Besar', 'honourific': None, 'lineage': None, 'family': 'Ibrahim'}}]",,"[{'name': {'given': 'Hidayatullah', 'lineage': None, 'family': 'M.', 'honourific': None}, 'id': 'pustaka_nusantara@yahoo.com'}]",Buku Referensi,101.0,978-602-60776-3-9,"Lampung, Indonesia",,,,,,
7,2019-01-02 07:56:22,public,1411-0040,6,pub,Universitas Lampung,Sosiologi: Jurnal Ilmiah Kajian Ilmu Sosial dan Ilmu Budaya,['FISIP4'],disk0/00/01/03/75,,"Penelitian ini bertujuan menganalisis kredibilitas pendamping terhadap prilaku anak-anak jalanan dalam aktifitasnya di jalanan melalui perubahan sikap anak-anak jalanan di lingkungan jalanan maupun dalam kehidupan sosial masyarakat. Metode penelitian yang yang digunakan yakni survey eksplanotari. Unit sampling adalah anak-anak jalanan yang telah mendapatkan penyuluhan dan bimbingan sosial dirumah Singgah Yayasan Masyarakat Sehat, Yayasa Bina Budaya Bangsa dan Saudara Sejiwa. Teknik sampling yang digunakan adalah Cluster Sampling Sedangkan sample 100 anak yang dipilih melalui cara acak sederhana (Random Sampling) Teknik Analisis data yang digunakan adalah teknik analisis jalur (Path Analisis). Hasil Penelitian ini menyimpulkan bahwa dari empat hipotesis yang di uji menunjukkan signifikan, pengaruh X1 terhadap Y1 secara parsial adalah signifikan dengan pengaruh sebesar 48,5%, pengaruh X2 terhadap Y1 secara parsial adalah signifikan dengan pengaruh sebesar 35,9% sedangkan pengaruh X1, X2 dan X3 terhadap Y1 (sikap) secara simultan sebesar 81,3%. Pengaruh Y1 (sikap) terhadap Y2 (perilaku) sebesar 65,3% dan yang relatif signifikan, pengaruh X1 terhadap Y1 dengan pengaruh sebesar 65,3% dan X1, X2, X3 dan Y1 secara simultan 18,09%. Hasil penelitian menunjukkan bahwa kredibilitas pendamping (keahlian, kepercayaan dan dinamisme) dalam penyuluhan dan bimbingan sosial anak jalanan di kota Bandung, pendamping sebagai komunikator memiliki tingkat kredibilitas yang relatif tinggi dalam merubah sikap dan perilaku anak jalanan sebagai komunikan. Rekomendasi diharapkan segenap lapisan masyarakat, instansi terkaitdan pendamping diharapkan lebih intropeksi diri dalam menangani anak-anak jalanan sehingga dalam menatap masa depan yang cerah dapat lebih terlaksana dengan baik.

Kata kunci: Kredibilitas, pendamping, sikap, perilaku, anak jalanan",http://repository.lppm.unila.ac.id/id/eprint/10375,2016-03-01 00:00:00.000000000,['HT'],published,"[{'name': {'lineage': None, 'family': 'Ibrahim', 'honourific': None, 'given': 'Besar'}, 'id': 'ibrahim.besar@fisip.unila.ac.id'}]",article,TRUE,Pengaruh Kredibilitas Pendamping Terhadap Sikap dan Perilaku Anak-Anak Jalanan Di Kota Bandung,211,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Jurnal_Sosiologi2016.pdf', 'docid': 23390, 'files': [{'hash_type': 'MD5', 'mtime': '2018-11-23 08:50:46', 'objectid': 23390, 'filesize': 77964, 'uri': 'http://repository.lppm.unila.ac.id/id/file/96587', 'filename': 'Jurnal_Sosiologi2016.pdf', 'fileid': 96587, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'dbdfdf62800ef29b20e5f478aa2a5f08'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23390', 'eprintid': 10375, 'placement': 1}]",http://jurnal.fisip.unila.ac.id/index.php/sosiologi,2019-01-02 07:56:22,archive,10375,2019-01-02 07:56:22,29-34,show,18.0,,,['Sosiologi FISIP Universitas Lampung'],,1.0,"[{'id': 'ibrahim.besar@fisip.unila.ac.id', 'name': {'family': 'Ibrahim', 'lineage': None, 'honourific': None, 'given': 'Besar'}, 'type': 'http://www.loc.gov/loc.terms/relators/RTH'}]",,,,,,,,,,,,
8,2019-01-02 07:59:48,public,,8,pub,,,['FISIP4'],disk0/00/01/03/78,,"Tujuan penelitian ini adalah untuk mengetahui peran public relations dalam membangun 
citra Perusahaan Listrik Negara cabang Kota Bandar Lampung. Penelitian ini 
mengunakan metode deskriptif kuantitatif dengan mengambil 100 sampel pelanggan 
Perusahaan Listrik Negara di Bandar Lampung.
Berdasarkan Hasil penelitian diketahui bahwa PLN cabang Bandar Lampungsebagai 
perusahaan berskala nasional yang bergerak dalam pelayanan dan jasa berusaha 
memenuhi kebutuhan listrik masyarakat dengan lebih baik. Tapi pada kenyataannya, 
masih terdapat kendala yang dilatarbelakangi oleh kurangnya pasokan listrik, terutama 
pada saat kemarau. Berdasarkan analisis yang dilaksanakan peneliti, bahwa peranan 
Public relations PLN cabang kota Bandar Lampung mampu meningkatkan citra 
perusahaan dengan memberikan pelayanan yang profesional. Berdasarkan teori 
Model/Citra dikatakan bahwa citra itu merupakan serangkaian pengetahuan, pengertian 
dan perilaku komunikasi yang terekam dalam pengalaman, emosi, dan penilaian yang 
diorganisasikan oleh individu sehingga dapat diyakini kebenarannya.
Public relations PLN cabang Bandar Lampung memiliki tugas dan peran penting dalam
membina hubungan yang harmonis antara perusahaan dengan pihak internal maupun 
eksternal. Dengan pihak internal perusahaan diharapkan mampu membangun suatu 
kerjasama dan menciptakan atmosfir di lingkungan karyawan yang kondusif. Sedang 
dengan pihak internal perusahaan diharapkan dapat memberikan pelayanan yang 
optimal dan mampu berfungsi membagun komunikasi sehingga tercipta jembatan 
penghubung yang kokoh antara perusahaan dengan masyarakat sebagai konsumen. 
Key words:, public relations, citra",http://repository.lppm.unila.ac.id/id/eprint/10378,2016-10-17 00:00:00.000000000,['H1'],published,"[{'id': 'ibrahim.besar@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Ibrahim', 'lineage': None, 'given': 'Besar'}}, {'id': 'anna.gustina@fisip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Anna', 'given': 'Gustina Zainal'}}]",conference_item,FALSE,PERAN PUBLIC RELATIONS DALAM MEMBANGUN CITRA PERUSAHAAN LISTRIK NEGARA DI KOTA BANDAR LAMPUNG,211,"[{'eprintid': 10378, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23394', 'format': 'text', 'main': 'Prosiding_IBrahim-2016.pdf', 'docid': 23394, 'files': [{'mtime': '2018-11-24 04:38:56', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/96613', 'filename': 'Prosiding_IBrahim-2016.pdf', 'filesize': 324355, 'objectid': 23394, 'mime_type': 'application/pdf', 'hash': '83cffd312f8b0d1b02c956441cf257c5', 'datasetid': 'document', 'fileid': 96613}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",http://jurnal.fisip.unila.ac.id/index.php/prosidingkom/article/view/302,2019-01-02 07:59:48,archive,10378,2019-01-02 07:59:48,367-373,show,,,,['Ilmu Komunikasi FISIP UNILA'],,,"[{'type': 'http://www.loc.gov/loc.terms/relators/RTH', 'name': {'honourific': None, 'lineage': None, 'family': 'Ibrahim', 'given': 'Besar'}, 'id': 'ibrahim.besar@fisip.unila.ac.id'}, {'id': 'anna.gustina@fisip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/RTM', 'name': {'given': 'Gustina Zainal', 'honourific': None, 'family': 'Anna', 'lineage': None}}]",,,,,,,17 Oktober 2016,keynote,Bandarlampung,conference,"Seminar Nasional Komunikasi ""Akselerasi Pembangunan Masyarakat Lokal Melalui Komunikasi dan Teknologi Informasi""",
9,2019-01-02 07:56:24,public,2252-4592,7,inpress,Jurusan Ilmu Komunikasi FISIP Universitas Nusa Cendana Kupang,Jurnal Communio,['FISIP4'],disk0/00/01/03/79,,"Provinsi Lampung’s society is a pluralistic society, composed of various social groups with a diverse socio-cultural backgrounds. Some conflicts have occurred, among them is ""Bungkuk"" conflicts.
The study aims to: (1) the network between actors in conflict resolution (2). Strategy management of harmonious relationship among groups.
This research is a case study and qualitative analytical descriptiveby using in-depth study as well as the subjective-objective approach. This research was conducted in District Jabung, East Lampung Regency. Data were collected by interview, observation and documentation, as well as qualitatively analyzed descriptively.
Results of the study are:(1) Effective conflict management will be integrally performed involving several elements such as security forces (TNIand Polri), district, regency officers, the traditional leaders, community leaders and youth leaders. The conflict resolution terminated by mutual agreement by signing a peace treaty; (2) In the case of Bungkuk conflict, there are three models of management of harmonious relationship among Lampung ethnic with newcomer ethnic (Java) which is effectively done,namely the cultural approach to physical education, education and the arts. The traditional model through bonds between the traditional leaders, community leaders and youth leaders. Territorial models via securing the main areas of potential conflict that lies along the road connecting the village of bungkuk and Sumber Rejo.",http://repository.lppm.unila.ac.id/id/eprint/10379,2016-01-05 00:00:00.000000000,['H1'],,"[{'id': 'ibrahim.besar@fisip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Ibrahim', 'given': 'Besar'}}, {'name': {'given': 'Hartoyo', 'honourific': None, 'lineage': None, 'family': 'Hartoyo'}, 'id': 'hartoyo.1960@fisip.unila.ac.id'}]",article,FALSE,"SISTEM PENGELOLAAN KEHARMONISAN SOSIAL PASCA KONFLIK DESA BUNGKUK, KECAMATAN JABUNG, LAMPUNG TIMUR",211,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/23395', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 10379, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 23395, 'main': 'Ibrahim_jurnal_Communio-2016.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2018-11-24 05:49:24', 'objectid': 23395, 'filesize': 821168, 'uri': 'http://repository.lppm.unila.ac.id/id/file/96620', 'filename': 'Ibrahim_jurnal_Communio-2016.pdf', 'datasetid': 'document', 'fileid': 96620, 'hash': '33d89c37498a13d1fc33e34c9e90e609', 'mime_type': 'application/pdf'}], 'format': 'text'}]",https://jikomundana.wordpress.com,2019-01-02 07:56:24,archive,10379,2019-01-02 07:56:24,824-832,show,5.0,,,['Jurusan Ilmu Komunikasi FISIP Universitas Nusa Cendana Kupang'],,1.0,"[{'id': 'ibrahim.besar@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Ibrahim', 'lineage': None, 'given': 'Besar'}, 'type': 'http://www.loc.gov/loc.terms/relators/RTH'}, {'id': 'hartoyo.1960@fisip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/RTM', 'name': {'given': 'Hartoyo', 'honourific': None, 'family': 'Hartoyo', 'lineage': None}}]",,,,,,,,,,,,
