,rev_number,ispublished,status_changed,issn,full_text_status,publisher,divisions,publication,dir,date,uri,volume,abstract,subjects,date_type,refereed,title,creators,type,documents,official_url,lastmod,userid,pagerange,metadata_visibility,eprint_status,eprintid,datestamp,contact_email,related_url,corp_creators,id_number,number,place_of_pub,pages,contributors,isbn,book_title,editors,funders,department,monograph_type,institution
0,6,pub,2019-04-05 08:02:39,9786025075629,public,LPPM University of Lampung (Unila),['FISIP4'],"Proceeding of International Indonesia Conference on Interdisciplinary Studies  Lampung University, Indonesia",disk0/00/01/07/48,2018-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/10748,1.0,"Indonesia is considered the most powerful country among other Southeast Asia countries and its political growth has become an appealing object for large number of comprehensive studies. Two of the significant phases in Indonesia’s political history that draws considerable attention from many foreign scholars and academics are new order era and reformation period especially in term of public life, power’s visibility and media development. This article delivers an extended discussion of those three concepts as it draws upon several junctures of political development in Indonesian history to describe the practice of life in the country. It also explains how the power’s visibility in Indonesia and media development intertwines by examining related literatures, data and information to the concepts. As recorded by history, the state’s new order era was shaped by President Suharto’s personal dan profesional qualities. It was administered by the regime’s effort to curtail the society’s direct participation in the state’s decision-making process by increasing military intervention into the civilian sphere and increasing military interpretation of the business, diplomatic and political elites. Simultaneously, Indonesia’s media was closely scrutinized by the officials under the regime.  Following that, the downfall of Suharto and his New Order regime in 1998 had brought changes to Indonesia, such as the improvement of the society’s role in the state’s performance. It also stimulated changes within the law enforcement institutions and had provided more opportunities to the society to access information sources freely such as the rise of the Internet.",['HE'],completed,FALSE,"4 
INDONESIA’S PUBLIC LIFE, POWER VISIBILITY AND MEDIA
DEVELOPMENT FROM NEW ORDER ERA TO REFORMATION PERIOD","[{'name': {'family': 'Andi', 'lineage': None, 'honourific': None, 'given': 'Windah'}}]",article,"[{'format': 'text', 'files': [{'mtime': '2019-02-12 04:50:46', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/99190', 'filename': '3. IICIS 2018 - STATE AND DIGITAL SOCIETY.pdf', 'filesize': 4448534, 'objectid': 23762, 'hash': '4989fd851345c26f4eb411a3d8c55a65', 'mime_type': 'application/pdf', 'fileid': 99190, 'datasetid': 'document'}], 'main': '3. IICIS 2018 - STATE AND DIGITAL SOCIETY.pdf', 'docid': 23762, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 10748, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23762'}]",http://iicis.fisip.unila.ac.id/,2019-04-05 08:02:39,281,20-30,show,archive,10748,2019-04-05 08:02:39,,,,,,,,,,,,,,,
1,10,pub,2020-07-08 03:56:36,,public,lppm unila,['FISIP4'],,disk0/00/02/30/35,2018-12-13 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/23035,,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah: Prosiding dan Makalah yang Dipresentasikan,['H1'],,,Kompetensi Pasutri dan Sosialisasi Budaya Transmigran Jawa dalam Latar Budaya Majemuk di Lampung.,"[{'id': 'nina.yudha@fisip.unila.ac.id', 'name': {'given': 'Nina Yudha', 'family': 'Aryanti', 'lineage': None, 'honourific': None}}]",other,"[{'eprintid': 23035, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36594', 'pos': 1, 'format': 'text', 'main': 'kompetensi pasutri.pdf', 'docid': 36594, 'files': [{'hash_type': 'MD5', 'mtime': '2020-07-08 02:15:25', 'objectid': 36594, 'filesize': 509889, 'filename': 'kompetensi pasutri.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/211299', 'datasetid': 'document', 'fileid': 211299, 'hash': 'a2500aeac8af0052f77382c7b58eb0fd', 'mime_type': 'application/pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",,2020-07-08 03:56:36,595,,show,archive,23035,2020-07-08 03:56:36,nina.yudha@fisip.unila.ac.id,,,,,,,,,,,,,,
2,7,pub,2020-07-08 03:56:30,,public,Prosiding Hasil Penelitian dan Pengabdian Kepada Masyarakat,['FISIP4'],,disk0/00/02/30/36,2018-12-13 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/23036,,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah: Prosiding dan Makalah yang Dipresentasikan,['H1'],published,,Kompetensi Pasutri dan Sosialisasi Budaya Transmigran Jawa dalam Latar Budaya Majemuk di Lampung.,"[{'id': 'nina.yudha@fisip.unila.ac.id', 'name': {'given': 'Nina Yudha', 'lineage': None, 'family': 'Aryanti', 'honourific': None}}]",other,"[{'docid': 36595, 'main': 'kompetensi pasutri.pdf', 'files': [{'mtime': '2020-07-08 02:39:36', 'hash_type': 'MD5', 'filename': 'kompetensi pasutri.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/211306', 'objectid': 36595, 'filesize': 509889, 'mime_type': 'application/pdf', 'hash': 'a2500aeac8af0052f77382c7b58eb0fd', 'fileid': 211306, 'datasetid': 'document'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 23036, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36595', 'pos': 1, 'security': 'public'}]",,2020-07-08 03:56:30,595,,show,archive,23036,2020-07-08 03:56:30,nina.yudha@fisip.unila.ac.id,,,,,,,,,,,,,,
3,14,pub,2018-11-04 13:28:49,1412-033X,public,Society for Indonesian Biodiversity,['FISIP4'],Biodiversitas Journal of Biological Diversity,disk0/00/00/93/74,2018-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/9374,19.0,"Abstract. Bakri S, Setiawan A, Nurhaida I. 2018. Coffee bean physical quality: The effect of climate change adaptation behavior of shifting up cultivation area to a higher elevation. Biodiversitas 19: 413-420. The coffee cultivation shifting into a higher elevation can be considered as a farmer’s behavioral adaptation to the climate change to find an optimum temperature and more fertile soil for the coffee growth. The behavior is rampant for Robusta coffee (Coffea canephora) planters in Lampung Province, the main contributor area that places Indonesia as the second largest coffee bean exporting country for more than two decades. The behavior certainly causes environmental deterioration, while the positive impact has not been well-measured, even for physical bean performance that determine its export competitiveness. This study aimed to determine the effect of the behavior on two coffee bean physical indices, the 1000-dried fruit weight or the index of [W_1000], and the percentage of floated fruit upon water soaking or the index of [FLOAT]. Ordinary Least Square Model was applied at a significance level of 10% with the two indices as the response variables. The predictor variable is the elevation area, accompanied by slope steepness and area position in relation to its exposure against solar radiation. The field survey lasted from June to August 2017. Riped coffee fruit samples were collected from 32 sites, ranging from 300 to 1,170 m asl. The results suggested that the behavior would improve the [W_1000] index but worsening the other. 
Keywords: climate change adaptation, coffee bean quality, shifting up to a higher elevation",['SD'],published,TRUE,Coffee bean physical quality: The effect of climate change adaptation behavior of shifting up cultivation area to a higher elevation,"[{'name': {'honourific': None, 'family': 'Bakri', 'lineage': None, 'given': 'Samsul'}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'name': {'given': 'Agus', 'family': 'Setiawan', 'lineage': None, 'honourific': None}, 'id': 'aslulila@yahoo.com'}, {'name': {'given': 'Ida', 'honourific': None, 'family': 'nurhaida', 'lineage': None}, 'id': 'ida.nurhaida@fisip.unila.ac.id'}]",article,"[{'docid': 22430, 'main': 'BIODIVERSITAS_SAMSUL BAKRI DKK_D190208.pdf', 'files': [{'filename': 'BIODIVERSITAS_SAMSUL BAKRI DKK_D190208.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/89572', 'filesize': 359517, 'objectid': 22430, 'mtime': '2018-11-03 04:33:20', 'hash_type': 'MD5', 'hash': 'd09b9c05616600c3feaf70d84ec6f6db', 'mime_type': 'application/pdf', 'fileid': 89572, 'datasetid': 'document'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 9374, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22430', 'pos': 1, 'security': 'public'}]",http://biodiversitas.mipa.uns.ac.id/,2018-11-04 13:28:49,774,413-420,show,archive,9374,2018-11-04 13:28:49,,"[{'url': 'http://biodiversitas.mipa.uns.ac.id/', 'type': 'pub'}]",['FMIPA UNS'],E-ISSN: 2085-4722,2.0,,,,,,,,,,
4,7,pub,2020-05-15 02:49:50,,public,Society for Indonesian Biodiversity/Department of Biology FMNS Universitas Sebelas Maret,['FISIP4'],,disk0/00/01/96/41,2018-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/19641,,"Reviewer 1. Dr. Andy Coory Wardani
         2. Dr. Abdul Frmal Ashaf",['H1'],published,,Hasil Review ten sejawat terhadap Karya Penelitin 3 Jurnal Iternasonal Bereputasi berjudul Coffee bean physical quality: the effect climate change behvior adaptation of shithing up cultivation on highger elevatio,"[{'name': {'given': 'samsul', 'honourific': None, 'family': 'Bakri', 'lineage': None}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'id': 'ida.nurhaida@fisip.unila.ac.id', 'name': {'given': 'ida', 'family': 'nurhaida', 'lineage': None, 'honourific': None}}]",other,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Penelitian 3_Coffee bean.pdf', 'docid': 32868, 'files': [{'hash_type': 'MD5', 'mtime': '2020-05-14 13:48:07', 'objectid': 32868, 'filesize': 509842, 'filename': 'Penelitian 3_Coffee bean.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/163977', 'datasetid': 'document', 'fileid': 163977, 'mime_type': 'application/pdf', 'hash': 'cdcf766e4866e86efeeb1a359fe9be20'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32868', 'security': 'public', 'placement': 1, 'eprintid': 19641}]",http://repository.unila.ac.id,2020-05-15 02:49:50,774,,show,archive,19641,2020-05-15 02:49:50,,,,eISSN: 1412-033X,,Surakarta,,,,,,,,,
5,7,pub,2022-03-10 08:59:09,,public,Asnalitera Yogyakarta,['FISIP4'],,disk0/00/04/00/81,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/40081,,,['JC'],,TRUE,Buku Dinamika Penyelenggaraan Pemilu dan Pilkada di Indonesia,"[{'name': {'honourific': None, 'family': 'Nanang Trenggono', 'lineage': None, 'given': 'Nanang Trenggono'}, 'id': 'nanang.trenggono@fisip.unila.ac.id'}]",book,"[{'format': 'text', 'docid': 161373, 'main': '1311_merged.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-03-10 04:54:49', 'objectid': 161373, 'filesize': 889865, 'uri': 'http://repository.lppm.unila.ac.id/id/file/448214', 'filename': '1311_merged.pdf', 'datasetid': 'document', 'fileid': 448214, 'hash': 'ab202249293403c59d66af52e3d4693e', 'mime_type': 'application/pdf'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 40081, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161373'}]",,2022-03-10 08:59:09,357,,show,archive,40081,2022-03-10 08:59:09,,,,,,,,,,,,,,,
6,7,pub,2020-12-01 01:06:01,,public,Asnalitera Yogyakarta,['FISIP4'],,disk0/00/02/68/39,2018-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/26839,1.0,"Buku ini berisi catatan pengalaman penyelenggaraan Pemilu dan Pilkada dari seluruh Ketua Komisi Pemilihan Umum (KPU) Provinsi/Komisi Independen Pemilihan (KIP) Aceh yang menjabat di rentang waktu 2013-2020. Membentang dari ujung barat hingga ujung timur Indonesia. Sehingga memiliki spektrum yang luas, pelangi serta kaya ilmu dan praktik penyelenggaraan terbaik dari seluruh tanah air. Lahirnya buku ini didasarkan pemikiran bahwa pengalaman penyelenggaraan terbaik dalam pemilu dan pilkada sayang bila dibiarkan berserakan. Cerita dan kisah pelaksanaan demokrasi di daerah-daerah beserta dinamika yang menyertainya, menyimpan mutiara pelajaran yang dapat digunakan sebagai bahan evaluasi untuk memperbaiki secara terus menerus penyelenggaraan pemilu dan pilkada di kemudian hari.",['JF'],published,FALSE,Dinamika Penyelenggaraan Pemilu dan Pilkada di Indonesia: Catatan Reflektif Ketua KPU Provinsi se Indonesia,"[{'name': {'given': 'Nanang Trenggono', 'honourific': None, 'family': 'Nanang Trenggono', 'lineage': None}, 'id': 'nanang.trenggono@fisip.unila.ac.id'}]",book_section,"[{'format': 'text', 'main': 'BUKU PEMILU DAN PILKADA DI INDONESIA.pdf', 'files': [{'datasetid': 'document', 'fileid': 241077, 'mime_type': 'application/pdf', 'hash': '1eb3efb9d1241240d870b615a4f7abef', 'filesize': 791803, 'objectid': 40845, 'filename': 'BUKU PEMILU DAN PILKADA DI INDONESIA.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/241077', 'hash_type': 'MD5', 'mtime': '2020-11-28 23:10:50'}], 'docid': 40845, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 26839, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40845'}]",,2020-12-01 01:06:01,357,1-534,show,archive,26839,2020-12-01 01:06:01,,,['Universitas Lampung'],,,Yogyakarta,534.0,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Nanang Trenggono', 'family': 'Nanang Trenggono', 'lineage': None, 'honourific': None}, 'id': 'nanang.trenggono@fisip.unila.ac.id'}]",978-602-99831-8-0,Dinamika Penyelenggaraan Pemilu dan Pilkada di Indonesia: Catatan Reflektif Ketua KPU Provinsi se-Indonesia,"[{'name': {'given': 'Nanang Trenggono', 'honourific': None, 'family': 'Nanang Trenggono', 'lineage': None}, 'id': 'nanang.trenggono@fisip.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Kurniawan', 'given': 'Hamdan'}, 'id': None}, {'id': None, 'name': {'lineage': None, 'family': 'Hidayat', 'honourific': None, 'given': 'Yayat'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Fahrurrozi', 'given': 'Fahrurozi'}, 'id': None}]",,,,
7,9,pub,2022-03-08 07:21:22,,public,Asnalitera Yogyakarta,['FISIP4'],,disk0/00/03/99/32,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/39932,,,"['J1', 'JC']",,,Penilairan Rekan Sejawat : Membangun Kampanye Yang Setara,"[{'name': {'given': 'Nanang Trenggono', 'family': 'Nanang Trenggono', 'lineage': None, 'honourific': None}, 'id': 'nanang.trenggono@fisip.unila.ac.id'}]",other,"[{'placement': 1, 'eprintid': 39932, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161222', 'security': 'public', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/447061', 'filename': 'Budaya Organisasi.pdf', 'filesize': 685607, 'objectid': 161222, 'mtime': '2022-03-08 04:38:26', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '76189cc138de5b1cce1aba67cf758c8b', 'datasetid': 'document', 'fileid': 447061}], 'main': 'Budaya Organisasi.pdf', 'docid': 161222, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}, {'format': 'text', 'docid': 161223, 'main': 'Dinamika Penyelenggara.pdf', 'files': [{'objectid': 161223, 'filesize': 573934, 'filename': 'Dinamika Penyelenggara.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/447063', 'hash_type': 'MD5', 'mtime': '2022-03-08 04:38:44', 'fileid': 447063, 'datasetid': 'document', 'hash': '42901f608f6e7dbebc0d816014dbe714', 'mime_type': 'application/pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 39932, 'placement': 2, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/161223', 'pos': 2}]",,2022-03-08 07:21:22,357,,show,archive,39932,2022-03-08 07:21:22,,,,,,,,,,,,,,,
8,11,pub,2019-05-14 08:14:06,978-602-0860-24-4,public,,['FISIP4'],Prosiding Seminar Hasil Pengabdian Kepada Masyarakat Tahun 2018,disk0/00/01/26/90,2018-11-27 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/12690,1.0,"Keberhasilan BUMDes Desa Kutoarjo  merupakan bukti bahwa fungsi kekeluargaan dan kegotongroyongan telah diterapkan dengan baik. Namun, berdasarkan data awal yang diperoleh, masih terdapat ketidakseimbangan gender dalam pengelolaan BUMDes. Perempuan, yang dalam hal ini didominasi oleh ibu-ibu, diberikan kewenangan untuk mengelola unit usaha olahan rumahan berbahan dasar pisang yang menjadi salah satu dari 13 unit usaha yang dimiliki BUMDes Desa Kutoarjo . Pelibatan perempuan dalam unit usaha lainnya masih sangat kurang. Kegiatannya monoton, kurang berkembang karena tidak adanya pemberdayaan dan pelatihan kontinu bagi perempuan Desa Kutoarjo . 
Kegiatan ini bertujuan untuk memaksimalkan peran perempuan di Desa Kutoarjo  dalam pengelolaan semua sektor usaha BUMDes Desa Kutoarjo ; pemahaman dan upaya bersama seluruh masyarakat desa, terutama komitmen Pemerintah Desa Kutoarjo , untuk mengakui kesetaraan gender dan diberikannya ruang bagi perempuan dalam pengelolaan BUMDes Desa Kutoarjo ; serta dikuasainya kemampuan konseptual dan teknis oleh perempuan Desa Kutoarjo  dalam berinovasi mengembangkan unit usaha BUMDes Desa Kutoarjo. Kegiatan ini dilaksanakan melalui seminar dan pelatihan pemberdayaan dengan materi yang mencakup aspek-aspek konseptual dan teknis penggalian inovasi pengelolaan BUMDes dari aset dan potensi daerah secara masif oleh perempuan Desa Kutoarjo .

key word: Penguatan Kapasitas, perempuan dan Kinerja BUMDes",['H1'],published,FALSE,PELATIHAN PENGUATAN KAPASITAS PEREMPUAN DALAM MENINGKATKAN KINERJA BUMDES DI DESA KUTOARJO  KABUPATEN PESAWARAN,"[{'name': {'lineage': None, 'family': 'Oktiani', 'honourific': None, 'given': 'Hestin'}, 'id': 'hestinoktiani@gmail.com'}, {'id': 'rahayu.sulistiowati@fisip.unila.ac.id', 'name': {'family': 'Sulistiowati', 'lineage': None, 'honourific': None, 'given': 'Rahayu'}}, {'id': 'dewie.brimaatika@fisip.unila.ac.id', 'name': {'family': 'Atika', 'lineage': None, 'honourific': None, 'given': 'Dewie'}}, {'id': 'anisasutarsyah@gmail.com', 'name': {'lineage': None, 'family': 'Utami', 'honourific': None, 'given': 'Anisa'}}]",article,"[{'placement': 1, 'eprintid': 12690, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/25680', 'security': 'public', 'docid': 25680, 'main': 'PROSIDING_PKM_2018.pdf', 'files': [{'hash': '638f697a906db46b284878134711a9bf', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 112335, 'mtime': '2019-05-10 14:44:39', 'hash_type': 'MD5', 'filename': 'PROSIDING_PKM_2018.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/112335', 'objectid': 25680, 'filesize': 1450380}], 'format': 'text', 'language': 'id', 'mime_type': 'application/pdf', 'rev_number': 2, 'content': 'published'}]",,2019-05-14 08:14:06,272,90-94,show,archive,12690,2019-05-14 08:14:06,hestinoktiani@gmail.com,,"['Lembaga Penelitian dan Pengabdian kepada Masyarakat, Universitas Lampung']",,1.0,,,,,,,['BLU Universitas Lampung'],,,
9,8,pub,2018-06-26 08:03:08,2443-3691,public,Jurusan Ilmu Komunikasi - FISIP Unila,['FISIP4'],MetaKom Online,disk0/00/00/78/28,2018-03-30 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/7828,2.0,"Poster is a media which using a visual appeal to introduce, to inform, and to persuade their audiens. The right symbols used in a poster determined the success of the poster to achieve it goals.  The purpose of this research is to find out what and how persuasive symbols used by Ngayogjazz Music Festival poster on 2013-2016 period. Using a  triangle meaning semiotics method by Charles Sanders Pierce,  this research was a qualitative type research, where the data collected  through documentation and literature. The results of this research show that the aesthetics part is not the only thing considered in the visual design of the poster. The most important thing is the collaboration’s meaning of high culture on jazz music with the traditional culture of locals.  
Keywords: Persuasive symbol, Semiotic of Charles S. Pearce, Poster","['H1', 'HN']",published,TRUE,Simbol-Simbol Pesan Persuasif Melalui Desain Poster Event Musik Ngayogjazz,"[{'id': None, 'name': {'given': 'M. Febry', 'honourific': None, 'family': 'Romadhon', 'lineage': None}}, {'name': {'given': 'Ahmad Rudy', 'family': 'Fardiyan', 'lineage': None, 'honourific': None}, 'id': 'ahmad.rudy@unila.ac.id'}]",article,"[{'content': 'published', 'language': 'id', 'mime_type': 'text/html', 'rev_number': 3, 'format': 'text', 'docid': 20862, 'main': 473, 'files': [{'mtime': '2018-06-26 04:54:43', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/70027', 'filename': 473, 'objectid': 20862, 'filesize': 14086, 'mime_type': 'text/html', 'hash': '1fbc63412f174737a633a792387aa63c', 'fileid': 70027, 'datasetid': 'document'}], 'formatdesc': 'Journal Article', 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/20862', 'eprintid': 7828, 'placement': 1}]",http://jurnal.fisip.unila.ac.id/index.php/metakomonline,2018-06-26 08:03:08,34,23-36,show,archive,7828,2018-06-26 08:03:08,,[{'url': 'http://jurnal.fisip.unila.ac.id/index.php/metakomonline/article/view/473/378'}],,,1.0,,,,,,,,,,
