,refereed,title,creators,type,pagerange,metadata_visibility,eprint_status,eprintid,datestamp,documents,official_url,lastmod,number,userid,publisher,divisions,publication,dir,rev_number,ispublished,status_changed,issn,full_text_status,subjects,date_type,date,uri,volume,abstract,contact_email,related_url,corp_creators,place_of_pub,funders,id_number,contributors,referencetext,patent_applicant
0,FALSE,PERANAN PENYULUHAN DAN PELATIHAN UNTUK MENINGKATKAN PARTISIPASI MASYARAKAT DALAM LAYANAN WISATA TELUK KILUAN LAMPUNG,"[{'name': {'given': 'Nina Yudha', 'family': 'Aryanti', 'lineage': None, 'honourific': None}, 'id': 'nina.yudha@fisip.unila.ac.id'}, {'id': 'andi.windah@fisip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Andi', 'given': 'Windah'}}, {'name': {'given': 'Dewie', 'honourific': None, 'lineage': None, 'family': 'Atika'}, 'id': 'dewie.brimaatika@fisip.unila.ac.id'}]",article,24-32,show,archive,14088,2019-10-16 03:05:30,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': '12. Andi Windah_2019 Peran Penyuluhan.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '7c97b7d9e02477ca3379c0659b8417d9', 'datasetid': 'document', 'fileid': 122535, 'uri': 'http://repository.lppm.unila.ac.id/id/file/122535', 'filename': '12. Andi Windah_2019 Peran Penyuluhan.pdf', 'filesize': 318361, 'objectid': 27129, 'mtime': '2019-09-09 02:57:40', 'hash_type': 'MD5'}], 'docid': 27129, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27129', 'eprintid': 14088, 'placement': 1}]",http://jurnal.fp.unila.ac.id/index.php/IJSE/article/view/3274,2019-10-16 03:05:30,1,281,"Jurusan Agribisnis Fakultas Pertanian Universitas Lampung, Perhimpunan Ekonomi Pertanian Indonesia (PERHEPI), Perhimpunan Ahli Penyuluhan Pembangunan Indonesia (PAPPI)",['FISIP4'],Indonesian Journal of Socio Economics,disk0/00/01/40/88,6,pub,2019-10-16 03:05:30,26856824,public,['HE'],published,2019-06,http://repository.lppm.unila.ac.id/id/eprint/14088,1,"Teluk Kiluan has the potential for marine tourism that can be relied upon to increase local revenue. The existence of rare bottle dolphins is a special attraction. This condition is supported by a multi-ethnic local culture and local community participation by providing homestay services. The purpose of this study was to determine the role of counseling and training to increase community participation in Teluk Kiluan tourism services in Lampung. This research uses a qualitative descriptive method; the respondents in this study were 34 homestay managers. The results of the study indicate that the sharing of training activities carried out is fully supported through the active participation of the target community. The training activities carried out included tourism management training, village website creation and the creation of promotional media, as well as, english. some obstacles in increasing community active participation in tourism services are the low level of education and the economy of the community; the community is concentrated in the agriculture and fisheries sector so that the service sector has not been made a leading sector in improving the economy. This condition is also supported by the lack of facilities and infrastructure that support tourism services.",,,,,,,,,
1,TRUE,"PENDAMPINGAN PENGELOLAAN ADMINISTRASI KEUANGAN
HOMESTAY TELUK KILUAN","[{'id': 'nina.yudha@fisip.unila.ac.id', 'name': {'given': 'Nina Yudha', 'honourific': None, 'family': 'Aryanti', 'lineage': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Andi', 'given': 'Windah'}, 'id': 'andi.windah@fisip.unila.ac.id'}, {'id': 'ida.nurhaida@fisip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'nurhaida', 'given': 'Ida'}}, {'id': 'hestinoktiani@gmail.com', 'name': {'honourific': None, 'family': 'Oktiani', 'lineage': None, 'given': 'Hestin'}}]",article,24-27,show,archive,14090,2019-10-16 03:06:16,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': '13. Andi Windah_2019 pendampingan pengelolaan - senapati.pdf', 'docid': 27131, 'files': [{'hash': '3cb2be28e203158ba9cf7526c0c4e856', 'mime_type': 'application/pdf', 'fileid': 122543, 'datasetid': 'document', 'filename': '13. Andi Windah_2019 pendampingan pengelolaan - senapati.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/122543', 'objectid': 27131, 'filesize': 106021, 'mtime': '2019-09-09 03:08:24', 'hash_type': 'MD5'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/27131', 'pos': 1, 'eprintid': 14090, 'placement': 1}]",http://senapati.eng.unila.ac.id/wp-content/uploads/2019/07/10.pdf,2019-10-16 03:06:16,1,281,Fakultas Teknik Unila,['FISIP4'],PROSIDING SENAPATI SEMINAR NASIONAL PENGABDIAN KEPADA MASYARAKAT TEKNOLOGI DAN INOVASI Pengabdian Masyarakat di Era Revolusi Industri 4.0 dan Society 5.0,disk0/00/01/40/90,7,pub,2019-10-16 03:06:16,2685-0427,public,"['HE', 'HJ']",published,2019-06,http://repository.lppm.unila.ac.id/id/eprint/14090,1,"Teluk Kiluan sebagai salah satu destinasi wisata memerlukan peningkatan pengelolaan agar dapat
menambah income generating masyarakatnya. Ketersediaan beberapa homestay seharusnya dapat menjadi
penunjang layanan wisata. Namun rendahnya tingkat pendidikan dan pengetahuan pengelola homestay
dalam pengelolaannya menjadi permasalahan tersendiri. Hasil survey awal ditemukan bahwa hampir
semua pengelola homestay tidak memiliki buku tamu dan buku keuangan sehingga keberhasilan layanan
homestay sulit untuk dievaluasi. Untuk itu pengelola homestay memerlukan adanya pendampingan
pengelolaan administrasi dan keuangan. Hasil kegiatan pelatihan telah meningkatkan pengetahuan
administrasi dasar untuk pengelolaaan homestay sebesar 40% (kategori sedang) dan peningkatan
pemahaman terhadap pembukuan dasar sebesar 60% (kategori sedang), dengan rata-rata peningkatan
50%. Tidak lanjut pelatihan melalui kegiatan pendampingan meningkatkan keahlian pengelola homestay
sebesar 10% (kategori sangat rendah).
Kata kunci: Pengelolaan, administrasi, keuangan, home",,,,,,,,,
2,,PERANAN PENYULUHAN DAN PELATIHAN UNTUK MENINGKATKAN PARTISIPASI MASYARAKAT DALAM LAYANAN WISATA TELUK KILUAN LAMPUNG,"[{'id': 'nina.yudha@fisip.unila.ac.id', 'name': {'lineage': None, 'family': 'Aryanti', 'honourific': None, 'given': 'Nina Yudha'}}, {'id': 'andiwindah@gmail.com', 'name': {'honourific': None, 'family': 'Windah', 'lineage': None, 'given': 'Andi'}}, {'id': 'dewie.brimaatika@fisip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Atika', 'given': 'Dewie'}}]",other,,show,archive,23209,2020-07-15 05:56:00,"[{'main': 'reviewer- peranan penyuluhan.pdf', 'docid': 36765, 'files': [{'hash_type': 'MD5', 'mtime': '2020-07-15 02:40:42', 'filesize': 249919, 'objectid': 36765, 'uri': 'http://repository.lppm.unila.ac.id/id/file/212561', 'filename': 'reviewer- peranan penyuluhan.pdf', 'fileid': 212561, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '2ce0ca95bd09320d3a64c93781a42ee3'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 23209, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36765', 'pos': 1, 'security': 'public'}]",,2020-07-15 05:56:00,,595,Indonesian Journal of Socio Economics,['FISIP4'],,disk0/00/02/32/09,7,pub,2020-07-15 05:56:00,,public,['HE'],published,2019-06,http://repository.lppm.unila.ac.id/id/eprint/23209,,HAsil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah: Jurnal Ilmiah Nasional,nina.yudha@fisip.unila.ac.id,,,,,,,,
3,TRUE,Victim or Actors: The Typology of Indonesia Woman Journalists,"[{'name': {'given': 'Abdul Firman', 'honourific': None, 'lineage': None, 'family': 'Ashaf'}, 'id': 'ashafnov2008@gmail.com'}, {'name': {'given': 'Tina', 'honourific': None, 'lineage': None, 'family': 'Kartika'}, 'id': None}]",article,29-40,show,archive,13080,2019-05-23 07:12:34,"[{'format': 'text', 'main': 'Abdul Firman Ashaf dan Tina Kartika.pdf', 'files': [{'fileid': 115040, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '570d2d92152eae9a435e8824686932c2', 'objectid': 26072, 'filesize': 946764, 'uri': 'http://repository.lppm.unila.ac.id/id/file/115040', 'filename': 'Abdul Firman Ashaf dan Tina Kartika.pdf', 'hash_type': 'MD5', 'mtime': '2019-05-20 05:02:03'}], 'docid': 26072, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 13080, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26072', 'pos': 1}]",http://ejournal.ukm.my/mjc/article/view/18573,2019-05-23 07:12:34,1,831,Universiti Kebangsaan Malaysia,['FISIP4'],Jurnal Komunikasi: Malaysian Journal of Communication,disk0/00/01/30/80,6,pub,2019-05-23 07:12:34,2289-1528,public,['HM'],published,2019,http://repository.lppm.unila.ac.id/id/eprint/13080,35,"This paper aims to present a typology of woman journalists in media organizations. It utilizes
qualitative research method based on in depth interviews with a number of women journalists in the
Province of Lampung. Generally, journalist profession is regarded as a man’s world. The nature of
work in journalism is considered a competition, especially perceived by male journalists. Equality of
rights and obligations is also given a positive value by journalists. Likewise, the appreciation of the
voice of women in determining institutional policies is a concrete form of institutional recognition of
women's own presence. In the context of gender relations, women journalists reported experiencing
the patriarchal environment in which they work in. So much so, that even some women journalists
adopted patriarchal values at work. In the context of democratization of gender-based media, the
typology of women journalists makes it possible for activism efforts. Literatures also reported low
participation of women in media institutions, discriminative patterns of relationships, patriarchal
environment, low gender awareness as well as gender-sensitive journalistic work. The study found
that female journalists are divided into two typologies, which are: hegemonised women journalists
and women journalists as actors of resistance. Hegemony and resistance occur at three levels:
gender awareness, media institutions and media routine, as well as context of extra media and
patriarchal ideology.",,[{'url': 'http://ejournal.ukm.my/mjc/article/view/18573'}],['Universitas Lampung'],,,,,,
4,,Hail Review Sejawat terhadap Karya Penelitian 1 Buku Jasa Lingkungan Hutan: Prodl Ekonomi-Ekologis bagi Pembangunn Berkelanjutan,"[{'id': 'samsul.bakri@fp.unila.ac.id', 'name': {'given': 'Samsul', 'lineage': None, 'family': 'Bakri', 'honourific': None}}, {'id': 'aslulia@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Setiawan', 'given': 'Agus'}}, {'id': 'ida.nurhaida@fisip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'nurhaida', 'given': 'Ida'}}]",other,,show,archive,20142,2020-05-19 14:00:42,"[{'format': 'text', 'files': [{'mtime': '2020-05-19 08:21:38', 'hash_type': 'MD5', 'filename': 'Penelitian 1_Buku Jasa Lingkungan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/190093', 'filesize': 519622, 'objectid': 33484, 'mime_type': 'application/pdf', 'hash': '988543e2e9e5723a72655c947f6bbf4f', 'datasetid': 'document', 'fileid': 190093}], 'main': 'Penelitian 1_Buku Jasa Lingkungan.pdf', 'docid': 33484, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 20142, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/33484', 'pos': 1}]",http://repository.unila.ac.id,2020-05-19 14:00:42,,774,"AURA,CV ANUGERAH UTAM RAHARJA",['FISIP4'],,disk0/00/02/01/42,11,pub,2020-05-19 14:00:42,,public,"['H1', 'SD']",published,2019-01,http://repository.lppm.unila.ac.id/id/eprint/20142,,"Reviewer 1. Dr. Andy Corry Wradani
         2. Dr. abdul Firman Ashaf",,,,Bandar Lampung,,,,,
5,TRUE,The Role of Consumer Trust in Mediating Website Quality To The Purchase Intention on Zilinggo Online Shop Site in Bandarlampung,"[{'id': 'atikahnurhidayah19@gmail.com', 'name': {'given': 'Atikah Nur', 'family': 'Hidayah', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'family': 'Shofa', 'lineage': None, 'given': 'Faila'}, 'id': 'shofafaila@gmail.com'}]",article,01-12,show,archive,16835,2019-11-18 07:14:17,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29921', 'security': 'staffonly', 'placement': 1, 'eprintid': 16835, 'language': 'id', 'mime_type': 'text/html', 'rev_number': 3, 'content': 'published', 'main': 6, 'files': [{'hash_type': 'MD5', 'mtime': '2019-11-18 01:26:11', 'objectid': 29921, 'filesize': 18897, 'uri': 'http://repository.lppm.unila.ac.id/id/file/143033', 'filename': 6, 'datasetid': 'document', 'fileid': 143033, 'mime_type': 'text/html', 'hash': '5b963a831a0c83a7c0562a0580911b12'}], 'docid': 29921, 'date_embargo': '2020-10-28', 'format': 'text'}]",http://komunikasi.fisip.unila.ac.id/jurnal/index.php/metakom/issue/view/6,2019-11-18 07:14:17,2,308,Jurusan llmu Komunikasi Universitas Lampung,['FISIP4'],METAKOM,disk0/00/01/68/35,12,pub,2019-11-18 07:14:17,2334-3691,restricted,"['H1', 'HE']",published,2019-10-02,http://repository.lppm.unila.ac.id/id/eprint/16835,3,"The purpose of the research was to determine the role of consumer trust in mediating website quality to the purchase intention on  zilingo online shop site in Bandar Lampung. This type of research is an associative quantitative approach. The population of this study is the people domiciled in Bandar Lampung who have visited the website of the Zilingo website. Data collection techniques with a questionnaire of 100 respondents. Validity testing uses factor analysis and reliability testing using Cronbach's Alpa. The data analysis technique uses path analysis with the SPSS program. The results of the research website quality variables have a positive effect on purchase intention indirectly through trust in online shopping sites Zilingo.com in Bandar Lampung by 30% while the remaining 70% is influenced by other variables.

Keywords: Website Quality, Trust, Purchase Intention.",jurnal.metakom@fisip.unila.ac.id,[{'url': 'https://komunikasi.fisip.unila.ac.id/jurnal/index.php/metakom/issue/view/6'}],"['Ilmu Komunikasi, FISIP UNILA']",,['Jurusan Ilmu Komunikasi FISIP UNILA'],,,,
6,TRUE,"An Investigation of Behavior and Public Opinion, Pros-Cons of Forest Encroachment Sustainability Issues In BBSNP of Tanggamus District, Indonesia","[{'name': {'honourific': None, 'family': 'Kartika', 'lineage': None, 'given': 'TK'}}]",article,22-31,show,archive,13744,2019-08-08 02:39:00,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 26756, 'main': '(cek similarity) An_Investigation_of_Behavior_and_Public_Opinion__P.pdf', 'files': [{'hash': '13f6da90a6e146e54eb876bc5ff02535', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 119864, 'mtime': '2019-08-07 05:12:40', 'hash_type': 'MD5', 'filename': '(cek similarity) An_Investigation_of_Behavior_and_Public_Opinion__P.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/119864', 'objectid': 26756, 'filesize': 4298790}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26756', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 13744}]",,2019-08-08 02:39:00,,604,WSEAS,['FISIP4'],TRANSACTIONS on ENVIRONMENT and DEVELOPMENT,disk0/00/01/37/44,6,pub,2019-08-08 02:39:00,2224-3496,public,['H1'],published,2019-01-01,http://repository.lppm.unila.ac.id/id/eprint/13744,15,Cek Similarity,,,,,,http://www.wseas.org/multimedia/journals/environment/2019/a065115-416.pdf,,,
7,TRUE,Victim or Actors: The Typology of Indonesian Woman Journalists,"[{'name': {'given': 'TK', 'honourific': None, 'family': 'Kartika', 'lineage': None}}]",article,29-40,show,archive,13745,2019-08-08 02:39:06,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': '(cek similarity ), Victim or Actors The Typology of Indonesian Woman Journalists.pdf', 'files': [{'filesize': 4463580, 'objectid': 26757, 'uri': 'http://repository.lppm.unila.ac.id/id/file/119870', 'filename': '(cek similarity ), Victim or Actors The Typology of Indonesian Woman Journalists.pdf', 'hash_type': 'MD5', 'mtime': '2019-08-07 05:24:18', 'datasetid': 'document', 'fileid': 119870, 'mime_type': 'application/pdf', 'hash': 'cd39c5ac616d1e499877c04200121bd8'}], 'docid': 26757, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26757', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 13745}]",,2019-08-08 02:39:06,1,604,UKM Malaysia,['FISIP4'],Jurnal Komunikasi: Malaysian Journal of Communication,disk0/00/01/37/45,7,pub,2019-08-08 02:39:06,2289-1528,public,['H1'],published,2019-03,http://repository.lppm.unila.ac.id/id/eprint/13745,35,Cek Similarity,,,['Tina Kartika'],,,https://doi.org/10.17576/JKMJC-2019-3501-03,,,
8,TRUE,"an Investigation of behavior and public opinion, Pros-cons of forest encroachment sustanability issues in BBNSP of tanggamus district of indonesia","[{'name': {'honourific': None, 'lineage': None, 'family': 'Kartika', 'given': 'Tina'}}]",article,,show,archive,14428,2019-10-01 02:26:28,"[{'eprintid': 14428, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27493', 'format': 'text', 'main': 'Peer Reviewer An Investigation Of Behavior ....pdf', 'files': [{'fileid': 125067, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '66cacfd98872567122e7e435d94c9278', 'filesize': 105459, 'objectid': 27493, 'filename': 'Peer Reviewer An Investigation Of Behavior ....pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/125067', 'hash_type': 'MD5', 'mtime': '2019-10-01 02:17:23'}], 'docid': 27493, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",,2019-10-01 02:26:28,,604,,['FISIP4'],scimago journal and country rank,disk0/00/01/44/28,6,pub,2019-10-01 02:26:28,2224-3496,public,['H1'],,2019,http://repository.lppm.unila.ac.id/id/eprint/14428,,hasil penilaian sejawat sebidang atau peer review,,,['Universitas Lampung'],,,,,,
9,TRUE,Victim or Actors: The Typology of Indonesian Woman Journalists,"[{'name': {'given': 'Tina', 'family': 'Kartika', 'lineage': None, 'honourific': None}}]",article,29-40,show,archive,14270,2019-09-17 04:08:01,"[{'placement': 1, 'eprintid': 14270, 'uri': 'http://repository.lppm.unila.ac.id/id/document/27327', 'pos': 1, 'security': 'public', 'docid': 27327, 'main': '(cek similarity ), Victim or Actors The Typology of Indonesian Woman Journalists.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'cd39c5ac616d1e499877c04200121bd8', 'fileid': 123867, 'datasetid': 'document', 'mtime': '2019-09-17 03:54:38', 'hash_type': 'MD5', 'filename': '(cek similarity ), Victim or Actors The Typology of Indonesian Woman Journalists.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/123867', 'filesize': 4463580, 'objectid': 27327}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",,2019-09-17 04:08:01,1,604,University kebangsaan Malaysia,['FISIP4'],Malaysian Journal of Communication,disk0/00/01/42/70,6,pub,2019-09-17 04:08:01,,public,['HE'],published,2019,http://repository.lppm.unila.ac.id/id/eprint/14270,35,Cek similarity,,,,,,,,,
