,subjects,date,uri,publisher,divisions,dir,status_changed,full_text_status,ispublished,rev_number,eprintid,eprint_status,datestamp,metadata_visibility,userid,documents,lastmod,creators,type,title,refereed,publication,issn,corp_creators,volume,abstract,date_type,number,contributors,official_url,pagerange,id_number,patent_applicant,related_url,place_of_pub,pages,department,institution,monograph_type,contact_email,output_media
0,['H1'],1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/39965,American Journal of Sciences and Engineering Research,['FISIP4'],disk0/00/03/99/65,2022-03-09 01:03:22,public,pub,7,39965,archive,2022-03-09 01:03:22,show,357,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161252', 'eprintid': 39965, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 161252, 'main': 'public relation strategies.pdf', 'files': [{'fileid': 447306, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '08f34a714438e8a55c48cb14fec4e76c', 'hash_type': 'MD5', 'mtime': '2022-03-08 08:15:25', 'objectid': 161252, 'filesize': 3492062, 'filename': 'public relation strategies.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/447306'}]}]",2022-03-09 01:03:22,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Anna Gustina Zainal', 'given': 'Anna'}, 'id': 'anna.gustina@fisip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Andy', 'honourific': None, 'given': 'Corry'}, 'id': 'andy.corry@fisip.unila.ac.id'}, {'name': {'given': 'Nanang Trenggono', 'family': 'Nanang Trenggono', 'lineage': None, 'honourific': None}, 'id': 'nanang.trenggono@fisip.unila.ac.id'}, {'name': {'given': 'Besar', 'lineage': None, 'family': 'Ibrahim', 'honourific': None}, 'id': None}]",other,Hasil Cek Plagiat : Public Relations Strategy Against Pro-Israel Negative Issue Management in PT Coca Cola Europacific Partner Indonesia (Southern Sumatra Branch),,,,,,,,,,,,,,,,,,,,,
1,['H1'],1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/39950,American Journal of Sciences and Engineering Research,['FISIP4'],disk0/00/03/99/50,2022-03-08 07:21:49,public,pub,7,39950,archive,2022-03-08 07:21:49,show,357,"[{'placement': 1, 'eprintid': 39950, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161237', 'security': 'public', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/447170', 'filename': 'Publik Relation.pdf', 'filesize': 634856, 'objectid': 161237, 'mtime': '2022-03-08 07:11:55', 'hash_type': 'MD5', 'hash': '9a913e402d6c17fa6ccdf306e6fddcdc', 'mime_type': 'application/pdf', 'fileid': 447170, 'datasetid': 'document'}], 'main': 'Publik Relation.pdf', 'docid': 161237, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2022-03-08 07:21:49,"[{'name': {'given': 'Anna', 'family': 'Anna Gustina Zainal', 'lineage': None, 'honourific': None}, 'id': 'anna.gustina@fisip.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Andy', 'given': 'Corry'}, 'id': 'andy.corry@fisip.unila.ac.id'}, {'id': 'nanang.trenggono@fisip.unila.ac.id', 'name': {'given': 'Nanang Trenggono', 'lineage': None, 'family': 'Nanang Trenggono', 'honourific': None}}, {'id': 'ibrahim.besar@fisip.unila.ac.id', 'name': {'given': 'Besar', 'honourific': None, 'lineage': None, 'family': 'Ibrahim'}}]",other,Penilaian Rekan Sejawat : Public Relations Strategy Against Pro-Israel Negative Issue Management in PT Coca Cola Europacific Partner Indonesia (Southern Sumatra Branch),,,,,,,,,,,,,,,,,,,,,
2,['H1'],1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/39924,,['FISIP4'],disk0/00/03/99/24,2022-03-08 07:21:04,public,pub,6,39924,archive,2022-03-08 07:21:04,show,357,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/161212', 'eprintid': 39924, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 161212, 'main': '2394.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '089d96521dfe179700cdbd0787ac8644', 'fileid': 447002, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/447002', 'filename': '2394.pdf', 'objectid': 161212, 'filesize': 834433, 'mtime': '2022-03-08 03:17:13', 'hash_type': 'MD5'}]}]",2022-03-08 07:21:04,"[{'name': {'given': 'Nur M', 'family': 'Arini', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Anna', 'given': 'Gustina Z'}}, {'name': {'honourific': None, 'family': 'Andy', 'lineage': None, 'given': 'Corry W'}}, {'name': {'given': 'Trenggono', 'family': 'Nanang', 'lineage': None, 'honourific': None}}]",article,"Public Relations Strategy against Pro-Israel Negative
Issue Management in PT. Coca Cola Europacific Partner
Indonesia (Southern Sumatra Branch)",TRUE,American Journal of Sciences and Engineering Research,,,,,,,,,,,,,,,,,,,
3,['Z665'],2022-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/46189,Yayasan global bakti asih Rumah Guru Konsultan Pendidikan Bandar Lampung,['FISIP4'],disk0/00/04/61/89,2022-11-02 05:40:25,public,pub,8,46189,archive,2022-11-02 05:40:25,show,2793,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/185080', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 46189, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 185080, 'main': 'artikel pemnfaatan buku teks pelajaran-garuda_nov2022_arnila.pdf', 'files': [{'datasetid': 'document', 'fileid': 510646, 'hash': '226ec3075a3331c65f3027f1e284f3d4', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-11-02 04:01:10', 'objectid': 185080, 'filesize': 292602, 'filename': 'artikel pemnfaatan buku teks pelajaran-garuda_nov2022_arnila.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/510646'}], 'format': 'text'}]",2022-11-02 05:40:25,"[{'name': {'given': 'AP', 'honourific': None, 'lineage': None, 'family': 'Arnila Purnamayanti'}, 'id': 'arnila.purnamayanti@fisip.unila.ac.id'}]",article,"PEMANFAATAN KOLEKSI BUKU TEKS PELAJARAN SEBAGAI 
SUMBER BELAJAR SISWA KELAS XI
(STUDI PADA PERPUSTAKAAN SMAN 5 BANDAR LAMPUNG)",TRUE,Jurnal Garuda Pendidikan,2620-9748,['Universitas Lampung'],5,"The collection of textbooks is designated as a mandatory textbook owned by an educational institution, therefore textbooks 
are one of the intermediaries or media in learning activities. One of the uses of the collection of textbooks is as a learning 
resource for students and teaching materials for teachers. This writing aims to determine the extent of the benefits of 
textbooks as learning resources in the library of SMAN 5 Bandar Lampung. Data collection techniques in this final project 
are done by observation, interviews, and documentation. The results show that the utilization of the collection of textbooks 
as a learning resource for class XI in the library of SMAN 5 Bandar Lampung has not been used optimally. This is 
evidenced in its application from several aspects of the benefits of using textbooks in the success of learning activities only 
in terms of educational and recreational aspects, while informative and research aspects have not been applied and utilized. 
A supporting factor in the use of a collection of textbooks is that textbooks are lent free of charge by the library. The 
obstacle faced in the utilization of the textbooks is that there are several collections of textbooks that are not the same as the 
number of students, this causes some students who do not get the complete textbooks.",published,11.0,"[{'id': 'arnila.purnmayanti@fisip.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'honourific': None, 'lineage': None, 'family': 'Arnila Purnamayanti', 'given': 'AP'}}]",http://globalbaktiasih.org/po-content/uploads/garuda_nov2022.pdf,58-65,,,,,,,,,,
4,['Z665'],2022-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/42434,Universitas Padjajaran,['FISIP4'],disk0/00/04/24/34,2022-06-14 04:23:22,public,pub,8,42434,archive,2022-06-14 04:23:22,show,2793,"[{'format': 'text', 'main': '36938-144372-2-PB.pdf', 'files': [{'datasetid': 'document', 'fileid': 466447, 'mime_type': 'application/pdf', 'hash': 'c477609af7969326f436d2855bfe6526', 'hash_type': 'MD5', 'mtime': '2022-06-14 02:55:53', 'objectid': 164143, 'filesize': 137354, 'uri': 'http://repository.lppm.unila.ac.id/id/file/466447', 'filename': '36938-144372-2-PB.pdf'}], 'docid': 164143, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 42434, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164143', 'pos': 1}]",2022-06-14 04:23:22,"[{'id': 'arnila.purnamayanti@fisip.unila.ac.id', 'name': {'given': 'AP', 'honourific': None, 'family': 'Arnila Purnamayanti', 'lineage': None}}, {'id': 'nandaoktaria29@gmail.com', 'name': {'lineage': None, 'family': 'Nanda Oktaria', 'honourific': None, 'given': 'NO'}}]",article,"Kesiapan perpustakaan SMA Muhammdiyah 2 Bandar Lampung dalam
pengembangan website E-Perpustakaan",TRUE,INFORMATIO Jurnal of Library and Information Science,2775-0043 online,,2,"Teknologi informasi di perpustakaan diaplikasikan untuk memenuhi kebutuhan pemustaka dalam
memperoleh berbagai informasi secara cepat, tepat, dan akurat. Perpustakaan berbasis website merupakan
salah satu bentuk dukungan teknologi informasi untuk mengoptimalkan pemanfaatan informasi dan bahan
perpustakaan, serta mengoptimalkan pekerjaan substantif kepustakawanan, mulai dari proses pengadaan,
pengolahan, sirkulasi bahan pustaka, temu kembali, dan penyebaran informasi sehingga dalam pelaksanaanya
diperlukan suatu kesiapan dari berbagai aspek agar sistem tersebut dapat berjalan secara optimal dalam
memenuhi kebutuhan user. Tujuan yang akan dicapai dalam riset ini adalah untuk mengetahui kesiapankesiapan yang dilakukan oleh perpustakaan SMA Muhammadiyah 2 Bandar Lampung dalam
mengembangkan website E-Perpustakaan, serta untuk mengetahui faktor-faktor penghambat apa saja dalam
pengembangan website E-Perpustakaan. Metode penulisan menggunakan data kualitatif–deskriptif serta
teknik pengumpulan data dilakukan melalui observasi, wawancara, dokumentasi, dan kajian pustaka yang
kemudian diolah dengan teknik analisis data. Hasil dari penulisan ini menunjukkan bahwa kesiapan yang
dilakukan perpustakaan SMA Muhammadiyah 2 Bandar Lampung dalam pengembangan website EPerpustakaan belum sepenuhnya maksimal, untuk dapat mengembangkan sebuah sistem website EPerpustakaan masih terdapat kendala-kendala seperti pustakawan yang berada di sana belum sepenuhnya
mampu untuk mengembangkan serta mengoperasikan website E-Perpustakaan, masih kurangnya akses
jaringan internet yang kurang memadai, serta masih kurang lengkapnya fitur-fitur menu yang terdapat pada
website E-Perpustakaan sehingga masih perlunya pembenahan dalam mempersiapkan sistem otomasi pada
perpustakaan SMA Muhammadiyah 2 Bandar Lampung, seperti peningkatan sistem fitur menu, jaringan
internet, dan sumber daya manusia agar proses pengembangannya lebih optimal",published,1.0,,http://jurnal.unpad.ac.id/informatio/article/view/36938/17632,19-28,,,,,,,,,,
5,['Z719'],2022-05-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/42553,Rumah Guru Konsultan Pendidikan Yayasan Global Bakti Asih Bandar Lampung,['FISIP4'],disk0/00/04/25/53,2022-06-17 01:10:30,public,pub,6,42553,archive,2022-06-17 01:10:30,show,2793,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164266', 'eprintid': 42553, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'Jurnal Indonesia-2022-Penerapan SNP.pdf', 'files': [{'fileid': 467309, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '4b0a11b182b700dbd158f978eee1a395', 'hash_type': 'MD5', 'mtime': '2022-06-16 10:14:41', 'filesize': 346646, 'objectid': 164266, 'filename': 'Jurnal Indonesia-2022-Penerapan SNP.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/467309'}], 'docid': 164266}]",2022-06-17 01:10:30,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Arnila Purnamayanti', 'given': 'AP'}, 'id': 'arnila.purnamayanti@fisip.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Sugiyanta', 'given': 'SG'}, 'id': 'sugiyanta.1961@fisip.unila.ac.id'}, {'id': 'sintadwisafitri1@gmail.com', 'name': {'given': 'Sinta Dwi Safitri', 'honourific': None, 'family': 'Sinta Dwi Safitri', 'lineage': None}}]",article,"IMPLEMENTATION OF THE NATIONAL STANDARDS OF LIBRARY
NO. 12 YEAR 2017 IN SCHOOL LIBRARY
SMA NEGERI 9 BANDAR LAMPUNG",TRUE,Jurnal Indonesia,2527-4988,,7,"The application of National Library Standards is very important, especially in the School Library, so that it can
become a library that can support teaching and learning activities for teachers and students. The method in
writing the final project is a qualitative method. Data collection techniques through interviews, observation,
documentation, and literature study. Aspects of the National Library of Standards No. 12 of 2017, namely
collection standards, facilities and infrastructure, services, personnel, implementation, management,
information and communication technology. The results showed that the Library of SMA Negeri 9 Bandar
Lampung was not fully in accordance with the National Library Standard No. 12 of 2017. Aspects that have met
the standards are facilities and infrastructure, implementation, management, information and communication
technology. Aspects that do not meet the standards are collection, service, and personnel. Obstacles in the
application of the National Library Standard No. 12 of 2017 at the SMA Negeri 9 Bandar Lampung Library are
limited budgets, librarians, socialization, promotions, low interest in reading students and teachers and limited
time for visits. Some of the standards in the National Library of Standards No. 12 of 2017 has been
implemented by the Library of SMA Negeri 9 Bandar Lampung. However, its implementation is not entirely
good. Based on the results of the study, it can be concluded that the standards that have not been applied are
preservation and re-enumeration/weeding of collections, reports, collaborations, and the number of librarians",published,5.0,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'AP', 'family': 'Arnila Purnamayanti', 'lineage': None, 'honourific': None}, 'id': 'arnila.purnmayanti@fisip.unila.ac.id'}, {'id': 'sugiyanta.1961@fisip.unila.ac.id', 'name': {'given': 'SG', 'family': 'Sugiyanta', 'lineage': None, 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'name': {'family': 'Sinta Dwi Safitri', 'lineage': None, 'honourific': None, 'given': 'SDS'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'sintadwisafitri1@gmail.com'}]",http://globalbaktiasih.org/po-content/uploads/jurnal_indonesia_mei_2022.pdf,56-65,,,,,,,,,,
6,['HM'],2022-01-26 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/42129,,['FISIP4'],disk0/00/04/21/29,2022-06-07 01:18:14,public,pub,7,42129,archive,2022-06-07 01:18:14,show,831,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'files': [{'hash_type': 'MD5', 'mtime': '2022-06-06 13:43:15', 'filesize': 2070395, 'objectid': 163829, 'uri': 'http://repository.lppm.unila.ac.id/id/file/464307', 'filename': 'sertifikat_EC00202206312.pdf', 'fileid': 464307, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '3abca49ede1c67d0955cd10684120559'}], 'main': 'sertifikat_EC00202206312.pdf', 'docid': 163829, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/163829', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 42129}]",2022-06-07 01:18:14,"[{'name': {'honourific': None, 'family': 'Ashaf', 'lineage': None, 'given': 'Abdul Firman'}, 'id': 'ashafnov2008@gmail.com'}]",patent,"HAKI Media, Teks, dan Budaya",,,,['Jurusan Ilmu Komunikasi FISIP Universitas Lampung'],,"Buku berjudul Media, Teks, dan Budaya ini merupakan upaya mencari temali diantara silang sengkarut relasi komunikasi dengan kekuasaan. Bahan utama penulisan buku ini adalah riset-riset penulis yang dipublikasikan pada sejumlah jurnal yang diikat dalam satu tema utama yaitu teks wacana dan relasi kuasa.",published,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Abdul Firman', 'family': 'Ashaf', 'lineage': None, 'honourific': None}, 'id': 'ashafnov2008@gmail.com'}]",https://pdki-indonesia.dgip.go.id/detail/EC00202206312?type=copyright&keyword=Media+Teks+dan+Budaya,,EC00202206312,Lembaga Penelitian dan Pengabdian kepada Masyarakat (LPPM) Universitas Lampung,[{'url': 'https://pdki-indonesia.dgip.go.id/detail/EC00202206312?type=copyright&keyword=Media+Teks+dan+Budaya'}],,,,,,,
7,['HM'],2022-01-22 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/42128,,['FISIP4'],disk0/00/04/21/28,2022-06-07 01:18:12,public,pub,10,42128,archive,2022-06-07 01:18:12,show,831,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163828', 'eprintid': 42128, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'sertifikat_EC00202206311.pdf', 'docid': 163828, 'files': [{'mime_type': 'application/pdf', 'hash': '1419b810f2a2e81bcdcf736ff921ec7c', 'datasetid': 'document', 'fileid': 464296, 'mtime': '2022-06-06 13:14:44', 'hash_type': 'MD5', 'filename': 'sertifikat_EC00202206311.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/464296', 'objectid': 163828, 'filesize': 2070320}]}]",2022-06-07 01:18:12,"[{'id': 'ashafnov2008@gmail.com', 'name': {'given': 'Abdul Firman', 'family': 'Ashaf', 'lineage': None, 'honourific': None}}]",patent,HAKI Sejarah Bredel 1994,,,,['Jurusan Ilmu Komunikasi FISIP Universitas Lampung'],,"Buku ini dilandasi oleh penelitian perihal sejarah pembredelan pers tahun 1994. Alih-alih mengurai penyebab dan implikasi pembredelan, penelitian ini bermaksud untuk menemukan respon media di Indonesia terhadap pembredelan yang dilakukan pemerintah Orde Baru. Sekaligus menemukan kaitannya dengan respons jurnalis dan konteks sosial-politik pada masa itu.",published,,"[{'name': {'lineage': None, 'family': 'Ashaf', 'honourific': None, 'given': 'Abdul Firman'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'ashafnov2008@gmail.com'}]",https://pdki-indonesia.dgip.go.id/detail/EC00202206311?type=copyright&keyword=sejarah+bredel+1994,,EC00202206311,Lembaga Penelitian dan Pengabdian kepada Masyarakat (LPPM) Universitas Lampung,[{'url': 'https://pdki-indonesia.dgip.go.id/detail/EC00202206311?type=copyright&keyword=sejarah+bredel+1994'}],,,,,,,
8,['H1'],2022-12-11 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/48250,Suluh Media-Graha Ilmu,['FISIP4'],disk0_bak/00/04/82/50,2023-02-01 08:09:45,public,pub,13,48250,archive,2023-02-01 08:09:45,show,831,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187516', 'security': 'public', 'placement': 1, 'eprintid': 48250, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Media dan Gerakan Antikorupsi di Indonesia-hal cov_221212_122819.pdf', 'docid': 187516, 'files': [{'hash': '086bfa18a80ef56b5859bb38a9f6f3af', 'mime_type': 'application/pdf', 'fileid': 527195, 'datasetid': 'document', 'filename': 'Media dan Gerakan Antikorupsi di Indonesia-hal cov_221212_122819.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/527195', 'filesize': 3225986, 'objectid': 187516, 'mtime': '2023-02-01 07:02:32', 'hash_type': 'MD5'}], 'format': 'text'}]",2023-02-01 08:09:45,"[{'id': 'ashafnov2008@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Ashaf', 'given': 'Abdul Firman'}}, {'name': {'family': 'Sabrina', 'lineage': None, 'honourific': None, 'given': 'Bela'}, 'id': None}, {'id': None, 'name': {'family': 'Meyningsih', 'lineage': None, 'honourific': None, 'given': 'Dwi'}}]",monograph,Media dan Gerakan Antikorupsi di Indonesia,,,,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",,"Buku ini menginformasikan kepada kita bahwa hanya sedikit dari media-media utama di Indonesia yang lepas dari jerat oligarki. Sebagian besar media di Indonesia merupakan bagian dari oligarki besar, yang kepemilikan media oleh mereka merupakan jalinan tak terlepaskan dari institusi politik, berupa partai politik yang juga mereka pimpin. Konteks inilah yang akan diacu untuk memahami karakter media saat merespons isu-isu korupsi di Indonesia.

Terdapat indikasi kuat bahwa dalam konteks dukungan terhadap gerakan antikorupsi sangat terkait dengan lanskap aktor dan dinamika politik pada masanya, tak terkecuali institusi media yang dalam pemberitaan-pemberitaan terkait isu tersebut menunjukan perbedaan dalam kecondongan terhadap aktor, isu, dan strategi penanganan korupsi",published,,"[{'name': {'given': 'Abdul Firman', 'family': 'Ashaf', 'lineage': None, 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'Bela', 'lineage': None, 'family': 'Sabrina', 'honourific': None}}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'honourific': None, 'lineage': None, 'family': 'Meyningsih', 'given': 'Dwi'}}]",http://grahailmu.id/penerbit/suluh-media/,,978-623-7572-86-2,,[{'url': 'http://grahailmu.id/penerbit/suluh-media/'}],Yogyakarta,0.0,Ilmu Komunikasi,LPPM Universitas Lampung,working_paper,ashafnov2008@gmail.com,
9,['H1'],1970-01-01 00:00:00.000002022,http://repository.lppm.unila.ac.id/id/eprint/50874,https://ijmra.in/index.php,['FISIP4'],disk0_bak/00/05/08/74,2023-05-02 01:41:51,public,pub,8,50874,archive,2023-05-02 01:41:51,show,831,"[{'placement': 1, 'eprintid': 50874, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190586', 'security': 'public', 'main': 'IJRMA  September 2022.pdf', 'files': [{'hash': 'bb90a56fd1accb38798da476f2a55015', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 547695, 'mtime': '2023-05-01 03:28:40', 'hash_type': 'MD5', 'filename': 'IJRMA  September 2022.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/547695', 'filesize': 911061, 'objectid': 190586}], 'docid': 190586, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2023-05-02 01:41:51,"[{'name': {'given': 'Tina', 'family': 'Kartika', 'lineage': None, 'honourific': None}, 'id': None}, {'id': 'ashafnov2008@gmail.com', 'name': {'given': 'Abdul Firman', 'lineage': None, 'family': 'Ashaf', 'honourific': None}}, {'name': {'family': 'Nina Yudha Aryanti', 'lineage': None, 'honourific': None, 'given': 'Nina Yudha Aryanti'}, 'id': None}, {'name': {'family': 'Andy', 'lineage': None, 'honourific': None, 'given': 'Corry'}, 'id': 'andy.corry@fisip.unila.ac.id'}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Karomani', 'given': 'Karomani'}}]",article,Study of Culture and Media as Solutions for Resolving Beggers and Street Children in Bandarlampung City,TRUE,International Journal of Multidisciplinary Research and Analysis,2643-9875,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",5,"The purpose of the study was to analyze cultural and media studies as a way to resolve the sustainability of beggars and street children in Bandar Lampung City, Indonesia. There were 24 informants involved in this study, consisting of community leaders, academics, beggars and street children. The data consists of: interviews, observations and literature review. Data analysis uses several stages, namely: collecting data, classifying data, and concluding. The results of the study are the causes of the existence of beggars and street children are: poverty, child exploitation, people who give money to beggars and street children, movement of people from villages to cities, unhealthy mentality, Bandarlampung City Government has not been maximal in implementing Regional Regulation No. 3 2010. One of the solutions is to increase understanding of local wisdom and empower the media as a channel to convey messages to beggars and street children, and to people who give money/goods to beggars.",published,9.0,,https://ijmra.in/index.php,2295-2301,https://doi.org/10.47191/ijmra/v5-i9-01,,[{'url': 'https://ijmra.in/v5i9/1.php'}],,,,,,,
