,ispublished,rev_number,status_changed,full_text_status,publisher,divisions,dir,uri,abstract,subjects,title,type,creators,documents,lastmod,userid,metadata_visibility,eprintid,eprint_status,datestamp,refereed,official_url,publication,related_url,issn,date_type,event_title,event_type,event_location,pres_type,event_dates,corp_creators,number,volume,contact_email,pagerange,contributors,referencetext,isbn,pages,book_title,institution,monograph_type,department,output_media,projects,funders,place_of_pub,id_number
0,pub,7,2021-04-13 02:13:01,public,Seminar Nasional SeFIla 2016,['FISIP4'],disk0/00/02/91/42,http://repository.lppm.unila.ac.id/id/eprint/29142,Reviewer Karya Ilmiah : INDUKSI NILAI KEARIFAN LOKAL LAMPUNG PADA BUDAYA PELAYANAN PRIMA UNTUK PENINGKATN KINERJA PEMERINTAHAN DAERAH,['H1'],Reviewer Karya Ilmiah : INDUKSI NILAI KEARIFAN LOKAL LAMPUNG PADA BUDAYA PELAYANAN PRIMA UNTUK PENINGKATN KINERJA PEMERINTAHAN DAERAH,other,"[{'id': 'shalie1974@gmail.com', 'name': {'honourific': None, 'family': 'Ali', 'lineage': None, 'given': 'Suprihatin'}}, {'id': 'agung.wibawa@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Wibawa', 'lineage': None, 'given': 'Agung'}}]","[{'eprintid': 29142, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43251', 'format': 'text', 'docid': 43251, 'main': '3. INDUKSI NILAI KEARIFAN LOKAL LAMPUNG PADA BUDAYA PELAYANAN PRIMA UNTUK PENINGKATN KINERJA PEMERINTAHAN DAERAH.pdf', 'files': [{'fileid': 258419, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'c12f5a2345d2598f93e8c689dca7f7f6', 'hash_type': 'MD5', 'mtime': '2021-04-12 04:34:22', 'objectid': 43251, 'filesize': 447715, 'filename': '3. INDUKSI NILAI KEARIFAN LOKAL LAMPUNG PADA BUDAYA PELAYANAN PRIMA UNTUK PENINGKATN KINERJA PEMERINTAHAN DAERAH.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/258419'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2021-04-13 02:13:01,258,show,29142,archive,2021-04-13 02:13:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,pub,7,2021-04-13 02:13:06,public,Seminar Grand Design Reformsi ASN,['FISIP4'],disk0/00/02/91/44,http://repository.lppm.unila.ac.id/id/eprint/29144,Reviewer Karya Ilmiah : Pengukuran Kualitas Pelayanan Sektor Publik Dalam Rangka Peningkatan Budaya Pelayanan Prima (Studi Pada Masyarakat Kota Bandar Lampung dan Metro),['H1'],Reviewer Karya Ilmiah : Pengukuran Kualitas Pelayanan Sektor Publik Dalam Rangka Peningkatan Budaya Pelayanan Prima (Studi Pada Masyarakat Kota Bandar Lampung dan Metro),other,"[{'id': 'shalie1974@gmail.com', 'name': {'lineage': None, 'family': 'Ali', 'honourific': None, 'given': 'Suprihatin'}}, {'id': 'agung.wibawa@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Wibawa', 'lineage': None, 'given': 'Agung'}}]","[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 43253, 'main': '4. Pengukuran Kualitas Pelayanan Sektor Publik Dalam Rangka Peningkatan Budaya Pelayanan Prima.pdf', 'files': [{'fileid': 258430, 'datasetid': 'document', 'hash': '1e5da925828c945d52e63d9b305da932', 'mime_type': 'application/pdf', 'objectid': 43253, 'filesize': 460674, 'filename': '4. Pengukuran Kualitas Pelayanan Sektor Publik Dalam Rangka Peningkatan Budaya Pelayanan Prima.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/258430', 'hash_type': 'MD5', 'mtime': '2021-04-12 04:40:04'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43253', 'security': 'public', 'placement': 1, 'eprintid': 29144}]",2021-04-13 02:13:06,258,show,29144,archive,2021-04-13 02:13:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,pub,6,2017-06-12 02:23:57,public,Jurusan Sosiologi FISIP Unila,['FISIP4'],disk0/00/00/34/02,http://repository.lppm.unila.ac.id/id/eprint/3402,"Sosiologi: Jurnal Ilmiah Kajian Ilmu Sosial dan Budaya
Open Journal Systems
Journal Help
User
Username 	
Password 	
Remember me
Notifications

    View
    Subscribe

Journal Content Search

Browse

    By Issue
    By Author
    By Title
    Other Journals

Font Size
Make font size smaller
Make font size default
Make font size larger

Information

    For Readers
    For Authors
    For Librarians

    Home About Login Register Search Current Archives 

Home > Vol 14, No 1 (2012) > Windah
NEW SOCIAL MEDIA AND PUBLIC RELATIONS: REVIEW OF THE MEDIUM THEORY
Andi Windah

Abstract

Media telah menjadi bagian yang tak terpisahkan dengan masyarakat. Integrasi ini membawa berbagai perubahan kepada kedua belah pihak mengingat interaksi yang terjalin di antara keduanya. Salah satu perubahan yang mendasar adalah bagaimana media telah membawa sudut pandang baru bagi masyarakat dalam menjalani kehidupannya sehari-hari. Bila dikaji dari sejarah, kondisi ini sebenarnya sudah terjadi sedari media itu ditemukan untuk pertama kalinya. Gagasan bahwa media adalah sebuah lingkungan yang mampu mendorong inovasi bahkan revolusi sebagaimana yang dicetuskan oleh para ahli teori medium. Artikel ini menilik lebih jauh mengenai keberadaan teori medium dengan menggunakan metode studi literatur dan contoh aplikasinya yakni melalui keberadaan media sosial dan implikasi penggunaan media sosial dalam praktek kehumasan. Pendekatan yang digunakan adalah pendekatan praktis dengan menekankan pada pembahasan deskriptif. Dari hasil pembahasan, ditemukan bahwa teori medium berakar pada konsep keberadaan media sebagai sebuah lingkungan yang mampu membawa pengaruh dan perubahan kepada kehidupan manusia. Misalnya aktivitas dalam media sosial semakin mempengaruhi kehidupan di luar media sosial, dengan contoh kasus pemilihan Presiden Barack Obama pada tahun 2008.Kehadiran media sosial juga memciptakan banyak peluang baru bagi praktek di dunia kehumasan, misalnya munculnya profesi kehumasan yang khusus mengelola image perusahaan melalui dunia maya.",['HE'],NEW SOCIAL MEDIA AND PUBLIC RELATIONS: REVIEW OF THE MEDIUM THEORY,article,"[{'name': {'lineage': None, 'family': 'Andi', 'honourific': None, 'given': 'Windah'}}]","[{'uri': 'http://repository.lppm.unila.ac.id/id/document/3265', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 3402, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 3265, 'main': '1. Andi Windah_2012.pdf', 'files': [{'datasetid': 'document', 'fileid': 23541, 'mime_type': 'application/pdf', 'hash': '24978d6b5383c38c746992f6bca0d93f', 'hash_type': 'MD5', 'mtime': '2017-06-05 07:14:18', 'filesize': 197612, 'objectid': 3265, 'uri': 'http://repository.lppm.unila.ac.id/id/file/23541', 'filename': '1. Andi Windah_2012.pdf'}], 'format': 'text'}]",2017-06-12 02:23:57,281,show,3402,archive,2017-06-12 02:23:57,FALSE,http://publikasi.fisip.unila.ac.id/index.php/sosiologi,Sosiologi: Jurnal Ilmiah Kajian Ilmu Sosial dan Budaya,[{'url': 'http://publikasi.fisip.unila.ac.id/index.php/sosiologi/article/view/156'}],1411-0040,,,,,,,,,,,,,,,,,,,,,,,,
3,pub,7,2023-05-05 06:52:06,public,-,['FISIP4'],disk0_bak/00/05/10/93,http://repository.lppm.unila.ac.id/id/eprint/51093,,['H1'],Koresnpondensi : HIV/AIDS-related knowledge among Indonesian women the role of media exposure and socio-demographic factors,other,"[{'name': {'given': 'Corry', 'honourific': None, 'lineage': None, 'family': 'Andy'}, 'id': 'andy.corry@fisip.unila.ac.id'}]","[{'main': 'KORESPONDEN JURNAL ANDY CORRY W HIVAIDS-related knowledge.pdf', 'files': [{'fileid': 549363, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '2e8f2b34b4fa740ca76171188bc0b874', 'objectid': 190809, 'filesize': 1185769, 'filename': 'KORESPONDEN JURNAL ANDY CORRY W HIVAIDS-related knowledge.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/549363', 'hash_type': 'MD5', 'mtime': '2023-05-05 05:52:44'}], 'docid': 190809, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 51093, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190809', 'pos': 1, 'security': 'public'}]",2023-05-05 06:52:06,572,show,51093,archive,2023-05-05 06:52:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,pub,6,2023-05-05 06:52:09,none,-,['FISIP4'],disk0_bak/00/05/10/92,http://repository.lppm.unila.ac.id/id/eprint/51092,,['H1'],Korespondensi : HIV/AIDS-related knowledge among Indonesian women: the role of media exposure and socio-demographic factors,other,"[{'id': 'andy.corry@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'Andy', 'lineage': None, 'given': 'Corry'}}]",,2023-05-05 06:52:09,572,show,51092,archive,2023-05-05 06:52:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,pub,7,2023-05-05 06:52:02,public,-,['FISIP4'],disk0_bak/00/05/10/95,http://repository.lppm.unila.ac.id/id/eprint/51095,,['H1'],"Similirity : Analysis Of The Governmental Social Media Content Management (Study Accounts Of The Directorate General Of
Taxes)",other,"[{'name': {'given': 'Corry', 'family': 'Andy', 'lineage': None, 'honourific': None}, 'id': 'andy.corry@fisip.unila.ac.id'}]","[{'placement': 1, 'eprintid': 51095, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190811', 'pos': 1, 'security': 'public', 'main': 'SIMILARITY Analysis of governmental social media ANDY CORRY.pdf', 'docid': 190811, 'files': [{'objectid': 190811, 'filesize': 382140, 'uri': 'http://repository.lppm.unila.ac.id/id/file/549378', 'filename': 'SIMILARITY Analysis of governmental social media ANDY CORRY.pdf', 'hash_type': 'MD5', 'mtime': '2023-05-05 06:18:58', 'datasetid': 'document', 'fileid': 549378, 'mime_type': 'application/pdf', 'hash': 'b57c10e7aa604a120ba3bba7ea674a01'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2023-05-05 06:52:02,572,show,51095,archive,2023-05-05 06:52:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,pub,8,2023-04-27 06:15:27,public,-,['FISIP4'],disk0_bak/00/05/07/80,http://repository.lppm.unila.ac.id/id/eprint/50780,,['H1'],"Similirity : HIV/AIDS-related knowledge among
Indonesian women: the role of media
exposure and socio-demographic factors",other,"[{'name': {'given': 'Corry', 'lineage': None, 'family': 'Andy', 'honourific': None}, 'id': 'andy.corry@fisip.unila.ac.id'}]","[{'main': 'SIMILARITY-HIV_AIDS-related knowledge among Indonesian women.pdf', 'files': [{'hash': 'cf80001f271c405c1ec593ec586a7aa8', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 547038, 'mtime': '2023-04-27 02:37:55', 'hash_type': 'MD5', 'filename': 'SIMILARITY-HIV_AIDS-related knowledge among Indonesian women.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/547038', 'objectid': 190487, 'filesize': 333250}], 'docid': 190487, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 50780, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190487', 'pos': 1, 'security': 'public'}]",2023-04-27 06:15:27,887,show,50780,archive,2023-04-27 06:15:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,pub,7,2023-04-28 06:23:15,public,-,['FISIP4'],disk0_bak/00/05/08/19,http://repository.lppm.unila.ac.id/id/eprint/50819,,['H1'],Similirity: Study of Culture and Media as Solutions for Resolving Beggers and Street Children in Bandarlampung City,other,"[{'name': {'given': 'Corry', 'honourific': None, 'lineage': None, 'family': 'Andy'}, 'id': 'andy.corry@fisip.unila.ac.id'}]","[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Study of Culture and Media as Solutions.pdf', 'files': [{'datasetid': 'document', 'fileid': 547336, 'mime_type': 'application/pdf', 'hash': '8532f78ab7a03a5ec6dcba445e1bc9d5', 'hash_type': 'MD5', 'mtime': '2023-04-28 02:55:51', 'objectid': 190529, 'filesize': 948212, 'uri': 'http://repository.lppm.unila.ac.id/id/file/547336', 'filename': 'Study of Culture and Media as Solutions.pdf'}], 'docid': 190529, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190529', 'security': 'public', 'placement': 1, 'eprintid': 50819}]",2023-04-28 06:23:15,887,show,50819,archive,2023-04-28 06:23:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,submitted,8,2021-11-14 12:17:42,public,,['FISIP4'],disk0/00/03/67/85,http://repository.lppm.unila.ac.id/id/eprint/36785,"Covid-19 pandemic increases the use of social media among communities in Southeast Asia, including in Indonesia. One of the reasons behind this increase is due to the demand to stay at home, in order to suppress the transmission of Covid-19.   
In a report called Digital 2021:  The Latest Insight Into The State of Digital, it is found that out of a total of 274.9 million people in Indonesia, 170 million of them have used social media.  The number of active social media users in Indonesia grew by 10 million or around 6.3 percent compared to January 2020 . 
The high growth of social media is not accompanied by an increase in the level of media literacy and critical thinking power so that various problems arise in society.",['H1'],Challenges in Facing a Pandemic in the Age of Social Media,conference_item,"[{'id': 'andy.corry@fisip.unila.ac.id', 'name': {'given': 'Corry', 'lineage': None, 'family': 'Andy', 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Windah', 'given': 'Andi'}, 'id': 'andiwindah@gmail.com'}]","[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157705', 'security': 'public', 'placement': 1, 'eprintid': 36785, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/423166', 'filename': 'Corry & Windah - Challenges in Facing Pandemic in the Age of Social Media (3).pdf', 'filesize': 1046962, 'objectid': 157705, 'mtime': '2021-11-14 10:01:10', 'hash_type': 'MD5', 'hash': '0e02b3b3d8a7e96a5d8e8f618c467862', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 423166}], 'main': 'Corry & Windah - Challenges in Facing Pandemic in the Age of Social Media (3).pdf', 'docid': 157705, 'format': 'text'}]",2021-11-14 12:17:42,281,show,36785,archive,2021-11-14 12:17:42,FALSE,,,,,submitted,International Joint Summer School 2021,other,"Kroasia, Bandar Lampung, Bali",lecture,15 - 17 Juni 2021,,,,,,,,,,,,,,,,,,
9,unpub,8,2023-05-17 01:27:01,public,UNILA,['FISIP4'],disk0_bak/00/05/17/00,http://repository.lppm.unila.ac.id/id/eprint/51700,"Remaja menjadi salah satu segmen pasar utama dan potensial bagi 
media,khususnya media elektronik radio, televise, dan media internet. Oleh karena 
itu banya konten internet dan acara yang dirancang untuk audience remaja , 
konten-konten hiburan, game, video, gaya hidup, yang marak di situs-situs 
internet, dan bermacam-macam macam film, ajang pencarian bakat, reality show, 
yang marak di berbagai stasiun televisi, begitu pula sinetron remaja dan 
percintaan. Selain itu juga tidak ketinggalan berbagai macam iklan yang ditujukan 
bagi khalayak remaja dan remaja, seperti iklan makanan (snack), mainan, 
perawatan tubuh, dan lain-lainnya. Berdasarkan hasil dan pembahasan penelitan ini maka dapat disimpulkan bahwa 
cukup banyak remaja di Bandar Lampung yang mengalami adiksi media internet. 
Sebagian besar remaja di Bandar Lampung berada pada kondisi potensial 
kecanduan internet, dan hanya sebagian kecil yang berada pada kondisi aman/ 
terkendali pola konsumsi media internetnya.",['HN'],"Adiksi Media pada Remaja di Bandar Lampung 
(Studi pada Pola konsumsi Media Internet pada Siswa Sekolah Menengah 
Atas di Bandar Lampung)",other,"[{'name': {'given': 'Andy', 'lineage': None, 'family': 'Andy Corry Wardhani', 'honourific': None}, 'id': 'andy.corry@fisip.unila.ac.id'}, {'id': 'hestin.oktiani@fisip.unila.ac.id', 'name': {'given': 'Hestin', 'honourific': None, 'lineage': None, 'family': 'Hestin Oktiani'}}, {'name': {'given': 'Firman', 'honourific': None, 'lineage': None, 'family': 'A. Firman Ashaf'}, 'id': None}]","[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 249970, 'main': 'LAP ADIKSI MEDIA REMAJA.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'c441793253d22caf34f6f0c67c0f33c3', 'datasetid': 'document', 'fileid': 612622, 'mtime': '2023-05-16 14:52:40', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/612622', 'filename': 'LAP ADIKSI MEDIA REMAJA.pdf', 'objectid': 249970, 'filesize': 1280630}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/249970', 'pos': 1, 'eprintid': 51700, 'placement': 1}]",2023-05-17 01:27:01,272,show,51700,archive,2023-05-17 01:27:01,,,,,,,,,,,,"['FISIP UNILA', 'FISIP UNILA', 'FISIP UNILA']",,,,,,,,,,,,,,,,,
