,monograph_type,subjects,abstract,uri,divisions,publisher,dir,status_changed,full_text_status,rev_number,ispublished,eprint_status,eprintid,datestamp,metadata_visibility,userid,documents,lastmod,creators,type,title,official_url,refereed,date_type,issn,publication,referencetext,number,volume,editors,pagerange,place_of_pub,book_title,corp_creators,contributors,related_url,isbn
0,manual,['H1'],Hasil Penilaian Sejawat/ Reviewer,http://repository.lppm.unila.ac.id/id/eprint/18248,['FISIP8'],Bulak sumur Empat,disk0/00/01/82/48,2020-02-27 07:20:43,public,7,pub,archive,18248,2020-02-27 07:20:43,show,880,"[{'eprintid': 18248, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31398', 'format': 'text', 'docid': 31398, 'main': 'Desentralisasi atau Resentralisasi REVIEW DR. ARI D..pdf', 'files': [{'objectid': 31398, 'filesize': 533496, 'uri': 'http://repository.lppm.unila.ac.id/id/file/153658', 'filename': 'Desentralisasi atau Resentralisasi REVIEW DR. ARI D..pdf', 'hash_type': 'MD5', 'mtime': '2020-02-27 04:49:56', 'fileid': 153658, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'b8c4823528c5bba700502453b305973d'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2020-02-27 07:20:43,"[{'name': {'family': 'Ari', 'lineage': None, 'honourific': None, 'given': 'Darmastuti'}}]",monograph,Desentralisasi atau Resentralisasi : Arah Politik Pemerintahan UU No.23 Tahun 2014,,,,,,,,,,,,,,,,
1,,['H1'],,http://repository.lppm.unila.ac.id/id/eprint/45173,['FISIP8'],FISIP Unila,disk0/00/04/51/73,2022-09-23 04:04:50,public,7,pub,archive,45173,2022-09-23 04:04:50,show,1185,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 167123, 'main': 'Respon Asean.pdf', 'files': [{'filesize': 631685, 'objectid': 167123, 'uri': 'http://repository.lppm.unila.ac.id/id/file/486505', 'filename': 'Respon Asean.pdf', 'hash_type': 'MD5', 'mtime': '2022-09-23 02:27:54', 'datasetid': 'document', 'fileid': 486505, 'hash': '819d8b3a7ba5a2d9a61afcafbaaf04cd', 'mime_type': 'application/pdf'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/167123', 'pos': 1, 'eprintid': 45173, 'placement': 1}]",2022-09-23 04:04:50,"[{'name': {'given': 'Inayah', 'family': 'Astiwi', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Karisma', 'honourific': None, 'family': 'Gita', 'lineage': None}}]",other,Reviewer : Respon ASEAN terhadap Permasalahan Etnis Rohingnya di Myanmar,,,,,,,,,,,,,,,,
2,,['JZ'],"Isu  pelanggaran  HAM  terhadap  etnis  Rohingya tidak  hanya  berdampak  di  domestik  negara Myanmar,  namun  berdampak  hingga  ke  kawasan.  Situasi  dan  kondisi  ini  menjadi  tantangan  bagi upaya ASEAN dan negara anggotanya untuk menjadi kawasan yang turut serta dalam promosi dan penegakan HAM. Penelitian ini bertujuan untuk menjelaskan bagaimana respon ASEAN terhadap isu pelanggaran HAM terhadap etnis Rohingya. Konsep HAM digunakan oleh peneliti untuk dapat memahami konteks permasalahan ini secara lebih mendalam. Penelitian ini menggunakan metode kualitatif  deskriptif.  Data  dihimpun  melalui  kajian  kepustakaan.  Hasil  penelitian  menunjukkan bahwa  ASEAN  tidak  banyak  melakukan  langkah  tegas  dan  tidak  dapat  mengambil  tindakan hukum  yang  mengikat  dikarenakan  beberapa  norma  netralitas  di  Asia  Tenggara  seperti non intervensi dan konsensus. ASEAN lebih memilih melakukan pendekatan soft way. Pendekatan soft way dalam  bentuk tiptoe  style  of  diplomacyyang  dipilih  ASEAN disebabkan  oleh  beberapa  hal. Pertama,   untuk   membuat   Myanmar   merasa   sebagai   bagian   dan   teman   ASEAN   sehingga diharapkan  lebih  terbuka.  Kedua, agarTiongkok  tidak  mengambil  Myanmar.  Ketiga,  untuk menjaga  prinsip  dalam  TAC  dan  menghindari  konflik  antaranggota  ASEAN.Peran  ASEAN nyatanya memang sulit diharapkan sehingga membawa dampak pada sikap masing masing negara anggota ASEAN yang memiliki kebijakan berbeda dalam merespon isu pengungsi Rohingya.
Kata kunci: Respon, ASEAN, HAM, Rohingya",http://repository.lppm.unila.ac.id/id/eprint/45124,['FISIP8'],Jurnal Hubungan Internasional Indonesia,disk0/00/04/51/24,2022-09-23 04:03:48,public,8,pub,archive,45124,2022-09-23 04:03:48,show,1185,"[{'docid': 167065, 'main': 12, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/486190', 'filename': 12, 'filesize': 3782, 'objectid': 167065, 'mtime': '2022-09-22 04:25:00', 'hash_type': 'MD5', 'mime_type': 'text/html', 'hash': '5b0eb08483883b172dcd64ab2c7c5ba9', 'datasetid': 'document', 'fileid': 486190}], 'format': 'text', 'language': 'id', 'rev_number': 3, 'mime_type': 'text/html', 'content': 'published', 'placement': 1, 'eprintid': 45124, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167065', 'security': 'public'}]",2022-09-23 04:03:48,"[{'name': {'lineage': None, 'family': 'Astiwi', 'honourific': None, 'given': 'Inayah'}, 'id': 'astiwi.inayah@fisip.unila.ac.id'}, {'name': {'given': 'GK', 'honourific': None, 'lineage': None, 'family': 'Gita Karisma'}, 'id': 'gita.karisma@fisip.unila.ac.id'}]",article,RESPON ASEAN TERHADAP PERMASALAHAN ETNIS ROHINGYA DI MYANMAR,https://jhii.fisip.unila.ac.id/ojs/index.php/jhii/article/view/9/10,TRUE,published,26158361,STRATEGI PEMERINTAH KOTA BANDARLAMPUNG-INDONESIA TERKAIT PERUBAHAN IKLIMPADA 2015-2020,,,,,,,,,,,
3,,['H1'],,http://repository.lppm.unila.ac.id/id/eprint/45179,['FISIP8'],Jurusan Hubungan Internasional FISIP Universitas Lampung,disk0/00/04/51/79,2022-09-23 04:05:13,public,7,pub,archive,45179,2022-09-23 04:05:13,show,1182,"[{'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 486547, 'hash': '1bb966b37904c8b471c85229687d5579', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-09-23 02:53:42', 'filesize': 647186, 'objectid': 167129, 'filename': 'Pemetaan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/486547'}], 'main': 'Pemetaan.pdf', 'docid': 167129, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 45179, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167129'}]",2022-09-23 04:05:13,"[{'name': {'given': 'T', 'family': 'Fahmi', 'lineage': None, 'honourific': None}}]",other,Reviewer : Pemetaan Jaringan dan Struktur Perdagangan Internasional Biji Kopi Mentah 2001-2019,,,,,,,,,,,,,,,,
4,,['H1'],,http://repository.lppm.unila.ac.id/id/eprint/45224,['FISIP8'],-,disk0/00/04/52/24,2022-10-03 01:34:08,public,7,pub,archive,45224,2022-10-03 01:34:08,show,1185,"[{'placement': 1, 'eprintid': 45224, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167176', 'security': 'public', 'docid': 167176, 'main': 'Paradiplomacy.pdf', 'files': [{'objectid': 167176, 'filesize': 604187, 'filename': 'Paradiplomacy.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/486890', 'hash_type': 'MD5', 'mtime': '2022-09-26 02:04:42', 'datasetid': 'document', 'fileid': 486890, 'hash': '8f654fd519d917981dac81bfe7f76992', 'mime_type': 'application/pdf'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2022-10-03 01:34:08,"[{'name': {'given': 'Karisma', 'family': 'Gita', 'lineage': None, 'honourific': None}}]",other,Reviewer : Paradiplomacy of Bandar Lampung Through Membership in UCLG-ASPAC,,,,,,,,,,,,,,,,
5,,['H1'],,http://repository.lppm.unila.ac.id/id/eprint/45225,['FISIP8'],-,disk0/00/04/52/25,2022-10-03 01:34:19,public,7,pub,archive,45225,2022-10-03 01:34:19,show,1185,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Pengelolaan.pdf', 'files': [{'objectid': 167177, 'filesize': 536807, 'filename': 'Pengelolaan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/486897', 'hash_type': 'MD5', 'mtime': '2022-09-26 02:08:47', 'fileid': 486897, 'datasetid': 'document', 'hash': 'e4729d02d809051e8b9c7e1e30e2d2fa', 'mime_type': 'application/pdf'}], 'docid': 167177, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/167177', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 45225}]",2022-10-03 01:34:19,"[{'name': {'given': 'Karisma', 'honourific': None, 'family': 'Gita', 'lineage': None}}]",other,Reviewer : Pengelolaan Interseksi Global-Lokal di ASEAN,,,,,,,,,,,,,,,,
6,,['H1'],,http://repository.lppm.unila.ac.id/id/eprint/45175,['FISIP8'],Atlantis Press,disk0/00/04/51/75,2022-09-23 04:05:15,public,7,pub,archive,45175,2022-09-23 04:05:15,show,1185,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/167125', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 45175, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 167125, 'main': 'Water.pdf', 'files': [{'fileid': 486519, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '286d047b41d1da6aa376d6e28fdeb03f', 'hash_type': 'MD5', 'mtime': '2022-09-23 02:36:11', 'objectid': 167125, 'filesize': 730807, 'uri': 'http://repository.lppm.unila.ac.id/id/file/486519', 'filename': 'Water.pdf'}], 'format': 'text'}]",2022-09-23 04:05:16,"[{'name': {'given': 'Karisma', 'family': 'Gita', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Sidik', 'honourific': None, 'lineage': None, 'family': 'Hasbi'}}]",other,Reviewer : Water Crisis as a Security Issue: Water Securitization in People’s Republic of China,,,,,,,,,,,,,,,,
7,,['H1'],,http://repository.lppm.unila.ac.id/id/eprint/45178,['FISIP8'],LPPM University of Lampung (Unila),disk0/00/04/51/78,2022-09-23 04:05:10,public,7,pub,archive,45178,2022-09-23 04:05:10,show,1185,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/167128', 'pos': 1, 'eprintid': 45178, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Isis.pdf', 'files': [{'hash': 'e52957592fb76c83ec2c3bf73c528306', 'mime_type': 'application/pdf', 'fileid': 486540, 'datasetid': 'document', 'mtime': '2022-09-23 02:44:30', 'hash_type': 'MD5', 'filename': 'Isis.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/486540', 'filesize': 733424, 'objectid': 167128}], 'docid': 167128}]",2022-09-23 04:05:10,"[{'name': {'family': 'Gita', 'lineage': None, 'honourific': None, 'given': 'Karisma'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Tety', 'given': 'Rachmawati'}}]",other,"Reviewer : ISIS’ IDENTITY CONSTRUCTION THROUGH ""YOUTUBE"" (Case Study in Indonesia)",,,,,,,,,,,,,,,,
8,,['H1'],,http://repository.lppm.unila.ac.id/id/eprint/45177,['FISIP8'],FISIP Unila,disk0/00/04/51/77,2022-09-23 04:04:59,public,7,pub,archive,45177,2022-09-23 04:04:59,show,1185,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Kebijakan.pdf', 'files': [{'datasetid': 'document', 'fileid': 486533, 'mime_type': 'application/pdf', 'hash': 'e3a374fd0fd54734b41d5a138800f280', 'hash_type': 'MD5', 'mtime': '2022-09-23 02:41:44', 'filesize': 709747, 'objectid': 167127, 'uri': 'http://repository.lppm.unila.ac.id/id/file/486533', 'filename': 'Kebijakan.pdf'}], 'docid': 167127, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/167127', 'eprintid': 45177, 'placement': 1}]",2022-09-23 04:04:59,"[{'name': {'given': 'Karisma', 'family': 'Gita', 'lineage': None, 'honourific': None}}, {'name': {'family': 'Tety', 'lineage': None, 'honourific': None, 'given': 'Rachmawati'}}, {'name': {'lineage': None, 'family': 'Fitri', 'honourific': None, 'given': 'Juliana S'}}]",other,Reviewer : KEBIJAKAN INDONESIA DALAM ASPEK LINGKUNGAN DAN PERDAGANGAN: STUDI KASUS CANTRANG,,,,,,,,,,,,,,,,
9,,['JA'],"Penelitian ini fokus pada kebijakan Indonesia mengenai penundaan pelarangan penggunaan alat tangkap
cantrang dan hubungannya dengan aspek perdagangan dan lingkungan. Sejalan dengan trend perdagangan yang
banyak menarik isu lingkungan sebagai aturan, maka selayaknya Indonesia harus berhati hati menerapkan
kebijakan perdagangan. Salah satunya ialah cantrang sebagai alat tangkap yang akan mempengaruhi ekspor
komoditas laut Indonesia. Penelitian ini menggunakan pendekatan kualitatif dengan studi kasus. Hasil dari
penelitian ini didapatkan bahwa cantrang dianggap sebagai alat tangkap yang dapat merusak ekosistem laut,
sehingga pelarangannya tentu akan menguntungkan bagi Indonesia. Indonesia telah memberlakukan aturan
pelarangan penggunaan cantrang pada 2017 namun menarik kembali pemberlakuan aturan tersebut pada tahun
2018. Dalam kasus ini menemukan bagaimana kebijakan Indonesia yang cenderung tetap mendahulukan
kepentingan perdagangan di atas kepentingan lingkungan.
Kata kunci: cantrang, kebijakan negara, lingkungan, perdagangan",http://repository.lppm.unila.ac.id/id/eprint/36348,['FISIP8'],Jurnal UNIBOS,disk0/00/03/63/48,2021-11-12 02:11:37,public,13,pub,archive,36348,2021-11-12 02:11:37,show,1185,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/157281', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 36348, 'rev_number': 2, 'language': 'id', 'mime_type': 'application/pdf', 'content': 'published', 'main': '714-Article Text-2568-1-10-20210526.pdf', 'docid': 157281, 'files': [{'hash_type': 'MD5', 'mtime': '2021-11-12 01:27:17', 'objectid': 157281, 'filesize': 236084, 'filename': '714-Article Text-2568-1-10-20210526.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/420026', 'fileid': 420026, 'datasetid': 'document', 'hash': 'f103df699e84b60a36f8c9733560916a', 'mime_type': 'application/pdf'}], 'format': 'text'}]",2021-11-12 02:11:37,"[{'id': 'gita.karisma@fisip.unila.ac.id', 'name': {'family': 'Gita Karisma', 'lineage': None, 'honourific': None, 'given': 'GK'}}, {'name': {'lineage': None, 'family': 'Tety Rachmawati', 'honourific': None, 'given': 'Tety'}, 'id': 'tety.rachmawati@fisip.unila.ac.id'}, {'id': None, 'name': {'given': 'FJS', 'honourific': None, 'lineage': None, 'family': 'Fitri Juliana Sanjaya'}}]",article,"Kebijakan Indonesia dalam Aspek Lingkungan dan Perdagangan
Studi Kasus Cantrang",https://journal.unibos.ac.id/jils/article/view/714,TRUE,published,2528-1674,Kebijakan Indonesia dalam Aspek Lingkungan dan Perdagangan Studi Kasus Cantrang,"Ekins, P. (1998). Business, trade and the environment: An agenda for stability in world trade. BUSINESS STRATEGY AND THE ENVIRONMENT, 14.
Ferrara, I., Missios, P., & Murat Yildiz, H. (2009). Trading rules and the environment: Does equal treatment lead to a cleaner world? Journal of Environmental Economics and Management, 58(2), 206–225. https://doi.org/10.1016/j.jeem.2008.11.002
Gibbs, D., Jonas, A., & While, A. (2002). Changing governance structures and the environment: Economy–environment relations at the local and regional scales. Journal of Environmental Policy & Planning, 4(2), 123–138. https://doi.org/10.1002/jepp.104
Harashima, Y. (2008). Trade and environment negotiations in the WTO: Asian perspectives. International Environmental Agreements: Politics, Law and Economics, 8(1), 17–34. https://doi.org/10.1007/s10784- 007-9058-y
Najam, A., & Robins, N. (2001). Seizing the future: The south, sustainable development and international trade. International Affairs, 77(1), 49–67
Budiyanti, Diana; dkk. 2018. “Pengetahuan lokal nelayan tradisional Pangandaran, Jawa Barat, Indonesia tentang cara penangkapan ikan dengan jaring arad, jenisjenis ikan yang ditangkap, dan penentuan musim penangkapan ikan”. PROS SEM NAS MASY BIODIV INDON 4 (2): 115-121
Buku
Williams, P. (Ed.). (2013). Security studies: An introduction (2nd ed). London ; New York: Routledge.
Situs Online
Apa ancaman Sektor Kelauatan Indoensia di Tahun 2019? Diunduh dari https://www.mongabay.co.id/2019/01/10/ap a-ancaman-sektor-kelautan-indonesia-di- tahun-2019/, diakses pada 1 September 2019
Arifin
Tompodung, PP Nomor 24 ‘Jepit’ Pencaharian Nelayan, diunduh dari http://mediasulut.co/berita-21-pp-nomor-24- %E2%80%98jepit%E2%80%99- pencaharian-nelayan.html, diakses pada 31 Agustus 2019
mendesak
 BNPB Sulsel, Knowledge System Of Traditional Fisherman In Bajo: Maritime Cultural Study, di unduh da lsel/sistem-pengetahuan-tradisional-nelayan- bajo-telaah-budaya-maritim/ diakses pada 7 September 2019
Dorong-investasi-jokowi-ingin-tutup-mata-beri-izin https://www.cnnindonesia.com/ekonomi/20 190708154915-532-410196/dorong- investasi-jokowi-ingin-tutup-mata-beri-izin
Indonesia Menjadi Eksportir Ikan Terbesar Ke -10 Di Dunia, diunduh dari https://www.inews.id/finance/makro/indone sia-jadi-eksportir-ikan-terbesar-ke-10-di- dunia, diakses pada 2 September 2019
Jumlah Ikan yang Diekspor Mentri Susi Pudjiastuti, diunduh dari https://www.tagar.id/jumlah- ikan-yang-diekspor-menteri-susi-pudjiastuti, diakses pada 1 September 2019
Kenali Cantrang, Alat Tangkap Ikan Yang Dilarang, diunduh dari https://kominfo.go.id/content/detail/9753/ke nali-cantrang-alat-tangkap-ikan-yang- dilarang/0/artikel_gpr, diakses pada 1 September 2019
KKP: Jual Beli Izin Kapal Masih Marak, diunduh dari https://industri.kontan.co.id/news/kkp- jual-beli-izin-kapal-masih-marak, diakses pada 1 September 2019
Menanti-kebijakan-hijau-di-periode-kedua- pemerintahan-jokowi
https://kabar24.bisnis.com/read/20190720/1 5/1126304/menanti-kebijakan-hijau-di- periode-kedua-pemerintahan-jokowi
Nanik Ermawatil dan Zuliyanti, Dampak Sosial Dan Ekonomi Atas Peraturan Menteri Kelautan Dan Perikanan Nomor 2/PERMEN-KP/2015 (Studi Kasus Kecamatan Juwana Kabupaten Pati), diunduh dari https://media.neliti.com/media/publications/ 173474-ID-dampak-sosial-dan-ekonomi- atas-peraturan.pdf, pada 30 Agustus 2019
Polemik Cantrang dan Hasil Perikanan Indonesia, diunduh dari https://tirto.id/polemik- cantrang-dan-angka-perikanan-tangkap- indonesia-cDl6, pada 31 Agustus 2019
Produk Ekspor Perikanan Indonesia telah Diterima 157 Negara, diunduh dari https://www.antaranews.com/berita/945089/ produk-ekspor-perikanan-indonesia-sudah- diterima-157-negara, diakses pada 1 September 2019
Ribuan Nelayan Demo Istana Minta Legalisasi Cantrang, diunduh dari https://www.cnnindonesia.com/nasional/201 80117115531-20-269538/ribuan-nelayan- demo-istana-minta-legalisasi-cantrang, diakses pada 2 September 2019
Sekjen KNTI: Perizinan di Sektor Kelautan dan Perikanan Menyisakan Banyak Masalah, diunduh dari https://www.msn.com/id- id/berita/nasional/sekjen-knti-perizinan-di- sektor-kelautan-dan-perikanan-menyisakan- banyak-masalah/ar-BBUoSsS, pada 31 Agustus 2019
Tasya Simatupang, Cara Nelayan Menangkap Ikan di Di Berbagai Negara, diunduh dari https://beritagar.id/artikel/piknik/cara- nelayan-menangkap-ikan-di-berbagai- negara, diakses pada 30 Agustus 2019
Tingkatkan Nilai Eksor Melalui Penjaminan Mutu dan Jeamanan Hasil Perikanan, diunduh dari https://kkp.go.id/bkipm/artikel/6528- tingkatkan-nilai-ekspor-melalui- penjaminan-mutu-dan-keamanan-hasil- perikanan, diakses pada 1 September 2019 dan Cantrang, Keuntungan Yang Buntung, diunduh dari https://www.wwf.or.id/?38542/Trawl-dan- Cantrang-Keuntungan-yang-Buntung, diakses pada 30 Agustus 2019
Modul dan Laporan
Laporan_Prakarsa_Strategis_Bidang_Kemaritiman _dan_SDA_Ringkasan.pdf. diunduh dari https://www.bappenas.go.id/files/2815/0460 /0421/Laporan_Prakarsa_Strategis_Bidang_ Kemaritiman_dan_SDA_Ringkasan.pdf
Modul 1 Metode Penangkapan Ikan, diunduh dari http://repository.ut.ac.id/4219/1/MMPI5203 -M1.pdf, diakses pada 30 Agustus 2019
Peraturan Permen KP diakses dari http://jdih.kkp.go.id/peraturan/71%20PERM EN-KP%202016.pdf
 Perum Perindo Targetkan Ekspor Perikanan 2019 Capai 2000 ton, diunduh dari https://kkp.go.id/bkipm/artikel/8576-perum- perindo-targetkan-ekspor-perikanan-2019-
Pukat
Hela, diunduh dari http://awsassets.wwf.or.id/downloads/infosh eet_trawls__pukat_hela_.jpg, diakses pada 1 September 2019
Trawl
170",1.0,4.0,,,,,,,,
