,date_type,subjects,abstract,date,uri,related_url,publication,publisher,dir,divisions,full_text_status,issn,status_changed,ispublished,rev_number,datestamp,referencetext,eprint_status,eprintid,metadata_visibility,pagerange,userid,official_url,lastmod,documents,creators,type,title,refereed,contact_email,event_type,event_title,pres_type,event_dates,event_location,id_number,number,volume,funders,projects,contributors,succeeds,corp_creators,book_title,pages,place_of_pub,isbn,editors,series
0,published,['PE'],"ABSTRACT
Most of SMP English teachers at Pesawaran face problem in applying
communicative language teaching. They focus more on the format of lesson plan
without having indebth understanding of each component. The objective of this
training is to enable the teachers to create communicative language teaching .
The methods used in this training are; lecturing, demonstration , discussion and
workshop. This training shows that the teachers are able to create communicative
language teaching using various active learning models. It can be seen from the
tasks assigned by the tutors.
Key words : Comunicative language teaching, lesson plan.",2016-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29853,[{'url': 'http://lppm.unila.ac.id/wp-content/uploads/2018/03/Pengabdian-Fakultas-2016.pdf'}],Prosiding seminar nasional. Hasil-hasil pengabdian kepada masyarkt univesitas lampung 2016. Lembaga penelitian dan pengabdian kepada masyarakat. Universitas lampung.,Lembaga Penelitian dan Pengabdian Universitas Lampung,disk0/00/02/98/53,['FKIP1'],public,ISBN	:  978-602-0860-12-1,2021-05-03 01:21:56,pub,7,2021-05-03 01:21:56,"DAFTAR PUSTAKA
Depdikbud. Kurikulum Tingkat Satuan Pendidikan (KTSP). Jakarta: Depdikbud,
2005.
Depdiknas. 2002. Pendekatan Kontekstual (Contextual Teaching and Learning).
Jakarta .
Derewianka, B. 1990. Exploring How texts Works. New South Wales: Primary
English Teaching Associaton.
Kemendiknas. Kurikulum 2013. Jakarta: Kemendiknas, 2013.
Littewood, W. Teaching English as a Foregn Language. London. Prentice Hall
Mangubhai,F . 2006. What do You Know about Teaching in Task-Based Learning
in Asian Context. British Virgin Islands. Tortola:Conference Proceeding.
Richard, J. 1991. Communicative Approach. Oxford: Oxford University Press.
Taylor, Ralph. Curriculum Development. Cambridge: Cambridge University
Press, 1999.",archive,29853,show,103-111,848,http://lppm.unila.ac.id/wp-content/uploads/2018/03/Pengabdian-Fakultas-2016.pdf,2021-05-03 01:21:56,"[{'eprintid': 29853, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/44054', 'format': 'text', 'files': [{'filename': 'Pengabdian-113-121.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/264031', 'objectid': 44054, 'filesize': 15224923, 'mtime': '2021-05-01 13:31:16', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '886fe4d9d54c5a49553c9a0d3fc766db', 'fileid': 264031, 'datasetid': 'document'}], 'main': 'Pengabdian-113-121.pdf', 'docid': 44054, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]","[{'name': {'given': 'Flora', 'honourific': None, 'family': 'Flora', 'lineage': None}, 'id': 'nainggolan.flora@yahoo.com'}, {'name': {'honourific': None, 'family': 'Patuan Raja', 'lineage': None, 'given': 'Patuan'}, 'id': None}]",article,"PELATIHAN MERANCANG COMMUNICATIVE LANGUAGE TEACHING
BAGI GURU-GURU BAHASA INGGRIS SMP SE KABUPATEN
PESAWARAN",TRUE,nainggolan.flora@yahoo.com,,,,,,,,,,,,,,,,,,,
1,completed,['L1'],,2016-11-02 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/3369,,,,disk0/00/00/33/69,['FKIP1'],public,,2017-06-12 02:30:26,unpub,8,2017-06-12 02:30:26,,archive,3369,show,,1177,http://shield.unila.ac.id/ocs/index.php/shield1/shield2016/paper/view/8,2017-06-12 02:30:26,"[{'main': 'Book Program.pdf', 'docid': 3247, 'files': [{'hash': 'f39f231e60a62c5053aad609cc7cca56', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 23403, 'mtime': '2017-06-05 04:10:21', 'hash_type': 'MD5', 'filename': 'Book Program.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/23403', 'filesize': 2258376, 'objectid': 3247}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 3369, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3247', 'security': 'public'}]","[{'name': {'honourific': None, 'family': 'Hidayatullah', 'lineage': None, 'given': 'Riyan'}, 'id': None}, {'name': {'lineage': None, 'family': 'PUTRAWAN', 'honourific': None, 'given': 'GEDE EKA'}, 'id': 'gputrawan08@gmail.com'}]",conference_item,Integrated Learning of Lampungnese Tradition Music,TRUE,,conference,The 1st SHIELD International Conference 2016,other,"November, 2 -3, 2016",Bandar Lampung,,,,,,,,,,,,,,
2,published,"['LB2361', 'LC5201', 'LG', 'P1', 'PE']","The study examines three new EFL teachers professional knowledge development through discussion in a Teacher Study Group (TSG) in Indonesian (Asian) context. These three participants have less than five year-teaching experience and teach junior high schools in Bandarlampung in the time of the study. The data were collected through audio-visual recorded observation of TSG sessions teaching practice. They were converted into written trasncription. The analysis signifies that group discussion recalls participants’ case knowledge from distant experience while group reflection explores participants’ practical knowledge from their own immediate practice. Some of the knowledge is still fragmented and some has been integrated into pedagogical content knowledge (PCK). Both TSG group theme-based discussion and collaborative reflection manage to explore participants’ professional knowledge. 

Keywords: EFL teachers’ professional knowledge, case knowledge, theme-based discussion, collaborative reflection",2016-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/3645,"[{'url': 'http://www.ccsenet.org/journal/index.php/elt/issue/view/1614', 'type': 'pub'}]",English Language Teaching,Canadian Center of Science and Education,disk0/00/00/36/45,['FKIP1'],public,ISSN 1916-4742   E-ISSN 1916-4750,2017-07-12 04:14:39,pub,13,2017-07-12 04:14:39,,archive,3645,show,,76,http://ccse.org,2017-07-12 04:14:39,"[{'main': 'artikel jurnal_Feni.pdf', 'docid': 3507, 'files': [{'hash': '13253ddb7c6b623318a597d04a34635f', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 25477, 'filename': 'artikel jurnal_Feni.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/25477', 'filesize': 178921, 'objectid': 3507, 'mtime': '2017-07-12 03:45:47', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 3645, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3507', 'pos': 1, 'security': 'public'}]","[{'name': {'given': 'Feni', 'lineage': None, 'family': 'Munifatullah', 'honourific': None}}, {'name': {'given': 'Bachrudin', 'lineage': None, 'family': 'Musthafa', 'honourific': None}}, {'name': {'given': 'Sundayana', 'honourific': None, 'lineage': None, 'family': 'Wachyu'}}]",article,Indonesian EFL Teachers Professional Knowledge Development during Their Participation in TSG: A Case Study,TRUE,feni.munifatullah@fkip.unila.ac.id,,,,,,http://dx.doi.org/10.5539/elt.v9n8p62,No. 8,Vol. 9,,,,,,,,,,,
3,published,['PE'],"Refusals need to be performed in such a way; moreover, if they have to be performed by students, who have a lower power, to their teachers, who have a greater power. The objectives of this article are to find out 1) the language/s used by the senior high school students to realize their refusals in English as a Foreign Language (EFL) classes and 2) the refusal strategies used to refuse their teachers’ directives. To reach the objectives, audio-recording ofthe English teaching learning process in a natural setting accompanied by observation was done in 37 classes at different senior high schools in Lampung Province. The recording took 2 x 90 minutes in each of the classes. The recordings were then transcribed into a written form and the
refusals performed by the students as well as their contexts were identified.The identified refusals, whether they were expressed in English, Indonesian or local language, were classified by kinds of language,and refusal strategies by using Beebe, Takahashi, & Uliss-Weltz’s classification in Wijayanto (2013).The results showed that the students produced refusals in Indonesian and English to their teachers’ directives. The refusal strategies employed by the
students found in this study were‘no directly’, ‘excuse, reason, explanation for not complying’,‘statement of an alternative’, ‘promise of future action’, ‘avoidance by keeping silent’, and ‘avoidance by laughing’.

Keywords: directives, refusal strategies, direct and indirect refusals",2016-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/1684,,,,disk0/00/00/16/84,['FKIP1'],public,,2017-05-26 07:31:49,pub,13,2017-05-26 07:31:49,,archive,1684,show,165-170,717,htttp:// jurnal.uns.ac.id/prosidingprasasti,2017-05-26 07:31:49,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/1546', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 1684, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Prosd Prasasti 2016.pdf', 'docid': 1546, 'files': [{'datasetid': 'document', 'fileid': 11587, 'mime_type': 'application/pdf', 'hash': 'fb9d609524c7fd97d66187b8df068452', 'objectid': 1546, 'filesize': 253317, 'uri': 'http://repository.lppm.unila.ac.id/id/file/11587', 'filename': 'Prosd Prasasti 2016.pdf', 'hash_type': 'MD5', 'mtime': '2017-05-25 04:28:32'}], 'format': 'text'}, {'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 11593, 'hash': '52e7ce95c27b903d358f88bbae2abd71', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2017-05-25 04:30:05', 'objectid': 1548, 'filesize': 793209, 'uri': 'http://repository.lppm.unila.ac.id/id/file/11593', 'filename': 'Prosd Prasati 2016 Cover.pdf'}], 'main': 'Prosd Prasati 2016 Cover.pdf', 'docid': 1548, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 1684, 'placement': 3, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1548', 'pos': 3}]","[{'id': 'nurweniari@gmail.com', 'name': {'given': 'Ari', 'honourific': None, 'family': 'Nurweni', 'lineage': None}}, {'id': None, 'name': {'given': 'Sudirman', 'lineage': None, 'family': 'Sudirman', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Mahpul', 'lineage': None, 'given': 'Mahpul'}, 'id': None}]",conference_item,"INDONESIAN SENIOR HIGH SCHOOL STUDENTS’ REFUSAL
STRATEGIES IN EFL CLASSES",TRUE,,conference,INTERNATIONAL SEMINAR PRASASTI III Current Research in Linguistics,paper,2 - 3 August 2016,"Program studi S3 Linguistik Pascasarjana Universitas Sebelas Maret, Solo",,,,,,,,,,,,,,
4,published,['PE'],"Kegiatan pengabdian kepada masyarakat (PkM) ini bertujuan untuk meningkatkan pengetahuan Bahasa Inggris kepariwisataan masyarakat pengelola Air Terjun Wiyono di Tahura WAR dalam Resort Gedung Tataan masih rendah dan untukmeningkatkan keterampilan berbahasa Inggris kepariwisataan masyarakat pengelola Air Terjun Wiyono di Tahura WAR dalam Resort Gedung Tataan masih rendah. Kegiatan PkM ini diikuti oleh 19 peserta yang merupakan masyarakat pengelola Air Terjun Wiyono di Kelurahan Gunungrejo, Wiyono, Kabupaten Pesawaran. Kegiatan berlangsung di rumah salah satu Ketua RT di Gunungrejo mulai tanggal 31 Agustus 2016 sampai dengan 5 Oktober 2016, yaitu dalam 1 minggu diadakan pelatihan setiap hari Rabu, yang terdiri dari dua sesi, yaitu, pukul 14.00-15.30 dan pukul 16.00-17.30. Setiap sesi pelatihan tersebut paling tidak dipandu oleh 2 dosen sebagai instruktur dan 2 mahasiswa sebagai asisten instruktur. Setiap peserta mendapatkan 1 bundel handouts pada setiap satu sesi pelatihan. Kemampuan Bahasa Inggris peserta dinilai dengan menggunakan angket dan melalui observasi ketika kegiatan pelatihan berlangsung. Hasil pelatihan menunjukkan adanya peningkatan kemampuan berbahasa Inggris meskipun kemampuan tersebut belum termasuk dalam kategori mampu berbahasa Inggris dengan lancar. Agar kemampuan berbahasa Inggris masyarakat pengelola Air Terjun Wiyono terus berkembang, kegiatan pelatihan perlu terus dilakukan dengan bentuk yang berbeda, misalnya melalui kelompok belajar masyarakat yang digerakkan oleh masyarakat tersebut.",2016-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/1807,[{'url': 'www: lppm.unila.ac.id'}],,,disk0/00/00/18/07,['FKIP1'],public,,2017-05-29 05:55:19,pub,8,2017-05-29 05:55:19,,archive,1807,show,27-36,717,https://drive.google.com/file/d/0B0kTHvH3qKxeUGdoUl8yVXpSczQ/view,2017-05-29 05:55:19,"[{'eprintid': 1807, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1668', 'format': 'text', 'files': [{'mtime': '2017-05-29 04:49:17', 'hash_type': 'MD5', 'filename': 'Prosiding Seminar Nasional Pengabdian Unila 2016.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/12562', 'filesize': 17172301, 'objectid': 1668, 'hash': '0c6423d04d97d53e6838e941b9526fcc', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 12562}], 'main': 'Prosiding Seminar Nasional Pengabdian Unila 2016.pdf', 'docid': 1668, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]","[{'id': 'nurweniari@gmail.com', 'name': {'given': 'Ari', 'honourific': None, 'lineage': None, 'family': 'Nurweni'}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Suparman', 'given': 'U'}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Mahpul', 'given': 'Mahpul'}}, {'name': {'given': 'GEDE EKA', 'honourific': None, 'lineage': None, 'family': 'PUTRAWAN'}, 'id': None}]",conference_item,PELATIHAN BAHASA INGGRIS KEPARIWISATAAN BAGI MASYARAKAT PENGELOLA AIR TERJUN WIYONO TAHURA WAR RESORT GEDUNG TATAAN KABUPATEN PESAWARAN,TRUE,,workshop,SEMINAR NASIONAL HASIL-HASIL PENGABDIAN KEPADA MASYARAKAT UNIVERSITAS LAMPUNG 2016,paper,1 Desember 2016,Bandar lampung,,,,['DIPA BLU Senior Uninersitas Lampung 2016'],['Pengabdian kepada Masyarakat'],,,,,,,,,
5,published,['PE'],,2016-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/3156,,Seminar Nasional Hasil-Hasil Pengabdian Kepada Masyarakat,LPPM Universitas lampung,disk0/00/00/31/56,['FKIP1'],public,978-602-0860-12-1,2017-07-20 08:59:25,pub,6,2017-07-20 08:59:25,,archive,3156,show,,1177,,2017-07-20 08:59:25,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3046', 'security': 'public', 'placement': 1, 'eprintid': 3156, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Prosiding Seminar Nasional Pengabdian Unila 2016.pdf', 'docid': 3046, 'files': [{'hash_type': 'MD5', 'mtime': '2017-06-02 09:46:06', 'objectid': 3046, 'filesize': 17239589, 'filename': 'Prosiding Seminar Nasional Pengabdian Unila 2016.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/21927', 'fileid': 21927, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '997b8897c2a3590916508531b4d13bd2'}], 'format': 'text'}]","[{'name': {'given': 'Ari', 'family': 'Nurweni', 'lineage': None, 'honourific': None}, 'id': 'nurweniari@gmail.com'}, {'id': None, 'name': {'family': 'Suparman', 'lineage': None, 'honourific': None, 'given': 'U'}}, {'id': None, 'name': {'given': 'Mahpul', 'honourific': None, 'family': 'Mahpul', 'lineage': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'PUTRAWAN', 'given': 'GEDE EKA'}, 'id': 'gputrawan08@gmail.com'}]",article,Pelatihan Bahasa Inggris Kepariwisataan bagi Masyarakat Pengelola Air Terjun Wiyono Tahura WAR Resort Gedung Tataan Kabupaten Pesawaran,TRUE,,,,,,,,,,,,,,,,,,,,
6,published,"['LG', 'PE']","This research was aimed to find out whether there is an effect of Metacognitive Reading Strategy Training (MRST) on the students’ reading comprehension. This research was carried out using a quantitative study with one group pre-test post-test design. The subjects numbering of 25 high school students were taken purposively. The instrument used was the reading comprehension test. This study used paired-sample t-test to analyze the effects of students’ reading comprehension. The result of the analyses indicated that there was a significant effect of students’ reading comprehension before and after metacognitive reading strategy training, within t-ratio 13.498 which means that it was higher than t-table 2.056. This finding indicates that the MRST was effective in impoving the students’ reading comprehension ability.",1970-01-01 00:00:00.000002016,http://repository.lppm.unila.ac.id/id/eprint/3312,[{'url': 'https://scholar.google.co.id/scholar?hl=en&q=ari+nurweni+emisari&btnG='}],U-JETOnline  Unila Journal of English Teaching,FKIP Universitas Lampung,disk0/00/00/33/12,['FKIP1'],public,,2017-06-12 02:43:53,pub,9,2017-06-12 02:43:53,,archive,3312,show,,717,http://jurnal.fkip.unila.ac.id/index.php/123/article/view/11604,2017-06-12 02:43:53,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3206', 'security': 'public', 'placement': 1, 'eprintid': 3312, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 3206, 'main': '11604-24434-1-PB.pdf', 'files': [{'mtime': '2017-06-04 06:49:00', 'hash_type': 'MD5', 'filename': '11604-24434-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/23017', 'filesize': 166442, 'objectid': 3206, 'hash': '3f6f4ffb1693cabd6e1ddb89bff09e50', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 23017}], 'format': 'text'}]","[{'id': 'emisari36@gmail.com', 'name': {'lineage': None, 'family': 'Sari', 'honourific': None, 'given': 'Emi'}}, {'id': 'raja_pid@yahoo.com', 'name': {'given': 'Patuan', 'honourific': None, 'lineage': None, 'family': 'Raja'}}, {'id': 'nurweniari@gmail.com', 'name': {'family': 'Nurweni', 'lineage': None, 'honourific': None, 'given': 'Ari'}}]",article,METACOGNITIVE READING STRATEGY TRAINING FOR HIGH SCHOOL STUDENTS,TRUE,,,,,,,,2,5,,,,,,,,,,,
7,published,['PE'],"Studies on motivation in language learning have been well documented. The role of motivation in determining the use
of learning strategies has been identified and the correlation between motivation and language performance has been determined. However, how language motivation in EFL context is classified and how language motivation is intercorrelated with the use of metacognitive and language performance has still not become widespread in the literature on language learning. The current study identified how language motivation in the context of EFL setting was classified and, then, how language motivation affected the use of metacognitive strategies and language performance. It was found that in the EFL setting three motivational orientations existed; the three motivational orientations were extrinsic motivation, international orientation and intrinsic motivation. The findings revealed that the EFL learners in the current study had more international orientation in learning English and were more extrinsically motivated than intrinsically
motivated. The empirical evidence suggests that language motivation predicted learning success through the mediation of the use of metacognitive strategies. Suggestions for further research are also discussed.",2016-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/1043,,International Journal of Applied Linguistics & English Literature,"Australian International Academic Centre, Australia",disk0/00/00/10/43,['FKIP1'],public,2200-3592,2016-11-03 04:37:05,pub,7,2016-11-03 04:37:05,,archive,1043,show,40-47,1088,http://www.journals.aiac.org.au/index.php/IJALEL/index,2016-11-03 04:37:05,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/932', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 1043, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'article.pdf', 'files': [{'mtime': '2016-11-02 11:31:29', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/6744', 'filename': 'article.pdf', 'filesize': 211167, 'objectid': 932, 'mime_type': 'application/pdf', 'hash': 'b4b3cd8be5b7e6758aef15f9766a0a4e', 'fileid': 6744, 'datasetid': 'document'}], 'docid': 932, 'format': 'text'}]","[{'id': 'Bambang', 'name': {'lineage': None, 'family': 'Setiyadi', 'honourific': None, 'given': 'Ag.'}}]",article,"Language Motivation, Metacognitive Strategies and Language
Performance: A Cause and Effect Correlation",TRUE,,,,,,,doi:10.7575/aiac.ijalel.v.5n.7p.40,7,5,,,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,,,
8,published,['PE'],"Studies on motivation in language learning have been well documented. The role of motivation in determining the use
of learning strategies has been identified and the correlation between motivation and language performance has been determined. However, how language motivation in EFL context is classified and how language motivation is intercorrelated with the use of metacognitive and language performance has still not become widespread in the literature on language learning. The current study identified how language motivation in the context of EFL setting was classified and, then, how language motivation affected the use of metacognitive strategies and language performance. It was found that in the EFL setting three motivational orientations existed; the three motivational orientations were extrinsic motivation, international orientation and intrinsic motivation. The findings revealed that the EFL learners in the current study had more international orientation in learning English and were more extrinsically motivated than intrinsically
motivated. The empirical evidence suggests that language motivation predicted learning success through the mediation of the use of metacognitive strategies. Suggestions for further research are also discussed.",2016-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/23282,,International Journal of Applied Linguistics & English Literature,"Australian International Academic Centre, Australia",disk0/00/02/32/82,['FKIP1'],public,2200-3592,2020-07-22 01:15:54,pub,9,2020-07-22 01:15:54,,archive,23282,show,40-47,1088,http://www.journals.aiac.org.au/index.php/IJALEL/index,2020-07-22 01:15:54,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 36850, 'main': 'Similarity index-Language_Motivation__Metacognitive_Strategies_and ....pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '7ad8280fc10aeaa77e86b475b08d50a8', 'fileid': 213100, 'datasetid': 'document', 'mtime': '2020-07-21 09:24:11', 'hash_type': 'MD5', 'filename': 'Similarity index-Language_Motivation__Metacognitive_Strategies_and ....pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/213100', 'objectid': 36850, 'filesize': 1844312}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36850', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 23282}, {'format': 'text', 'docid': 36854, 'main': 'article.pdf', 'files': [{'objectid': 36854, 'filesize': 211167, 'filename': 'article.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/213120', 'hash_type': 'MD5', 'mtime': '2020-07-21 09:35:32', 'datasetid': 'document', 'fileid': 213120, 'mime_type': 'application/pdf', 'hash': 'b4b3cd8be5b7e6758aef15f9766a0a4e'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 23282, 'placement': 2, 'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36854'}]","[{'id': 'Bambang', 'name': {'family': 'Setiyadi', 'lineage': None, 'honourific': None, 'given': 'Ag.'}}]",article,"Language Motivation, Metacognitive Strategies and Language
Performance: A Cause and Effect Correlation",TRUE,,,,,,,doi:10.7575/aiac.ijalel.v.5n.7p.40,7,5,,,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,,,,,,,
9,published,['PE'],"Studies on motivation in language learning have been well documented. The role of motivation in determining the use
of learning strategies has been identified and the correlation between motivation and language performance has been determined. However, how language motivation in EFL context is classified and how language motivation is intercorrelated with the use of metacognitive and language performance has still not become widespread in the literature on language learning. The current study identified how language motivation in the context of EFL setting was classified and, then, how language motivation affected the use of metacognitive strategies and language performance. It was found that in the EFL setting three motivational orientations existed; the three motivational orientations were extrinsic motivation, international orientation and intrinsic motivation. The findings revealed that the EFL learners in the current study had more international orientation in learning English and were more extrinsically motivated than intrinsically
motivated. The empirical evidence suggests that language motivation predicted learning success through the mediation of the use of metacognitive strategies. Suggestions for further research are also discussed.",2016-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/26603,,International Journal of Applied Linguistics & English Literature,"Australian International Academic Centre, Australia",disk0/00/02/66/03,['FKIP1'],public,2200-3592,2020-11-22 11:38:27,pub,6,2020-11-22 11:38:27,,archive,26603,show,40-47,1088,http://www.journals.aiac.org.au/index.php/IJALEL/index,2020-11-22 11:38:27,"[{'format': 'text', 'main': 'Similarity index-Language_Motivation__Metacognitive_Strategies_and ....pdf', 'files': [{'mtime': '2020-07-21 09:24:11', 'hash_type': 'MD5', 'filename': 'Similarity index-Language_Motivation__Metacognitive_Strategies_and ....pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/239124', 'objectid': 40519, 'filesize': 1844312, 'mime_type': 'application/pdf', 'hash': '7ad8280fc10aeaa77e86b475b08d50a8', 'fileid': 239124, 'datasetid': 'document'}], 'docid': 40519, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 5, 'eprintid': 26603, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40519', 'pos': 1}, {'main': '3. Review- Language Motivation, Metacognitive Strategies and.pdf', 'files': [{'filesize': 802407, 'objectid': 40521, 'uri': 'http://repository.lppm.unila.ac.id/id/file/239126', 'filename': '3. Review- Language Motivation, Metacognitive Strategies and.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-22 07:37:47', 'datasetid': 'document', 'fileid': 239126, 'hash': 'a8e6cce47744ee4d6e05b4944f3b0a44', 'mime_type': 'application/pdf'}], 'docid': 40521, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 3, 'eprintid': 26603, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40521', 'pos': 3, 'security': 'public'}, {'eprintid': 26603, 'placement': 4, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40522', 'pos': 4, 'format': 'text', 'main': '3. article-Language Motivation, Metacognitive Strategies and Language.pdf', 'files': [{'filename': '3. article-Language Motivation, Metacognitive Strategies and Language.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/239129', 'objectid': 40522, 'filesize': 211167, 'mtime': '2020-11-22 07:38:11', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'b4b3cd8be5b7e6758aef15f9766a0a4e', 'datasetid': 'document', 'fileid': 239129}], 'docid': 40522, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]","[{'id': 'Bambang', 'name': {'given': 'Ag.', 'family': 'Setiyadi', 'lineage': None, 'honourific': None}}]",article,"Language Motivation, Metacognitive Strategies and Language
Performance: A Cause and Effect Correlation",TRUE,,,,,,,doi:10.7575/aiac.ijalel.v.5n.7p.40,7,5,,,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],26602.0,,,,,,,
