,ispublished,rev_number,status_changed,full_text_status,divisions,publisher,dir,uri,date,subjects,title,creators,type,documents,lastmod,userid,metadata_visibility,eprintid,eprint_status,datestamp,pagerange,official_url,number,contributors,refereed,pres_type,projects,abstract,related_url,issn,event_title,date_type,volume,event_type,funders,publication,succeeds,corp_creators
0,unpub,7,2023-05-15 06:48:31,public,['FKIP15'],"Jurusan Pendidikan MIPA, FKIP Universitas Lampung",disk0_bak/00/05/16/55,http://repository.lppm.unila.ac.id/id/eprint/51655,1970-01-01 00:00:00.000002023,['L1'],"Check Smimilarity: STUDI PENDAHULUAN: PENGEMBANGAN E-LKPD DALAM UPAYA PEMAHAMAN KETERAMPILAN BERPIKIR KREATIF PADA
PEMBELAJARAN ILMU PENGETAHUAN ALAM","[{'name': {'family': 'Abdurrahman', 'lineage': None, 'honourific': None, 'given': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'id': 'dewi.lengkana@fkip.unila.ac.id', 'name': {'given': 'Dewi', 'honourific': None, 'lineage': None, 'family': 'Lengkana'}}, {'id': 'nenihasnunidah@gmail.com', 'name': {'given': 'Neni', 'lineage': None, 'family': 'Hasnunidah', 'honourific': None}}]",other,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Turnitin-Yuli budiasih-jurnal.pdf.pdf', 'docid': 249677, 'files': [{'mtime': '2023-05-15 05:43:16', 'hash_type': 'MD5', 'filename': 'Turnitin-Yuli budiasih-jurnal.pdf.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/611967', 'filesize': 683549, 'objectid': 249677, 'mime_type': 'application/pdf', 'hash': 'e2a16f3fda6294a60a8a818143d26aa0', 'datasetid': 'document', 'fileid': 611967}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/249677', 'security': 'public', 'placement': 1, 'eprintid': 51655}]",2023-05-15 06:48:31,986,show,51655,archive,2023-05-15 06:48:31,,,,,,,,,,,,,,,,,,
1,unpub,7,2023-05-15 01:20:12,public,['FKIP15'],"Jurusan Pendidikan MIPA, FKIP Universitas Lampung",disk0_bak/00/05/15/36,http://repository.lppm.unila.ac.id/id/eprint/51536,1970-01-01 00:00:00.000002023,['L1'],Bukti Pengesahan Artikel: Student conceptual and epistemic quality improvement argumentation with scaffolding on argument-driven inquiry,"[{'name': {'family': 'Hasnunidah', 'lineage': None, 'honourific': None, 'given': 'Neni'}, 'id': 'nenihasnunidah@gmail.com'}]",other,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 249117, 'main': 'CamScanner 12-05-2023 23.48_removed.pdf', 'files': [{'mtime': '2023-05-12 17:29:44', 'hash_type': 'MD5', 'filename': 'CamScanner 12-05-2023 23.48_removed.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/610537', 'filesize': 211946, 'objectid': 249117, 'mime_type': 'application/pdf', 'hash': '310e8290974d65a4a072affed54f6a29', 'datasetid': 'document', 'fileid': 610537}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/249117', 'eprintid': 51536, 'placement': 1}]",2023-05-15 01:20:12,986,show,51536,archive,2023-05-15 01:20:12,,,,,,,,,,,,,,,,,,
2,unpub,10,2023-05-15 01:20:09,public,['FKIP15'],"Jurusan Pendidikan MIPA, FKIP Universitas Lampung",disk0_bak/00/05/15/35,http://repository.lppm.unila.ac.id/id/eprint/51535,1970-01-01 00:00:00.000002023,['L1'],Bukti Pengesalahan Jurnal: Kajian Kemampuan Argumentasi Siswa pada Materi Pokok Animalia Melalui Pendekatan Saintifik di SMA dengan Peringkat Akreditasi yang Berbeda,"[{'name': {'given': 'Neni', 'lineage': None, 'family': 'Hasnunidah', 'honourific': None}, 'id': 'nenihasnunidah@gmail.com'}]",other,"[{'eprintid': 51535, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/249112', 'pos': 1, 'format': 'text', 'docid': 249112, 'main': 'CamScanner 12-05-2023 23.48_removed.pdf', 'files': [{'mtime': '2023-05-12 17:19:13', 'hash_type': 'MD5', 'filename': 'CamScanner 12-05-2023 23.48_removed.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/610523', 'filesize': 165615, 'objectid': 249112, 'hash': '166121322532b420fa118f8af050e87b', 'mime_type': 'application/pdf', 'fileid': 610523, 'datasetid': 'document'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2023-05-15 01:20:09,986,show,51535,archive,2023-05-15 01:20:09,,,,,,,,,,,,,,,,,,
3,pub,5,2023-05-09 03:09:40,public,['FKIP15'],Atlantis Press,disk0_bak/00/05/12/47,http://repository.lppm.unila.ac.id/id/eprint/51247,2023-05-02 00:00:00.000000000,['L1'],Developing a Project-Argumentative Learning Model with Blended Learning Approach for Junior High School Students,"[{'id': 'nenihasnunidah@gmail.com', 'name': {'given': 'Neni', 'honourific': None, 'family': 'Hasnunidah', 'lineage': None}}, {'id': 'dina.maulina@fkip.unila.ac.id', 'name': {'family': 'Maulina', 'lineage': None, 'honourific': None, 'given': 'Dina'}}, {'id': 'ismirakhmawati@gmail.com', 'name': {'given': 'Ismi', 'lineage': None, 'family': 'Rakhmawati', 'honourific': None}}]",conference_item,"[{'eprintid': 51247, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/191019', 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2023-05-03 08:14:40', 'objectid': 191019, 'filesize': 764548, 'uri': 'http://repository.lppm.unila.ac.id/id/file/550569', 'filename': '125986400_ULICoSS Neni.pdf', 'fileid': 550569, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '61ec7b35a8acf6b9d21840a25c4d1969'}], 'main': '125986400_ULICoSS Neni.pdf', 'docid': 191019, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 3}]",2023-05-09 03:09:40,986,show,51247,archive,2023-05-09 03:09:40,498-507,https://www.atlantis-press.com/proceedings/ulicoss-22/125986400,740.0,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AQT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AFT'}]",TRUE,paper,['Education'],"Project-based learning was becoming popular during at the end of school from home since Covid-19 pandemic. Although much research about project-based learning has been published, discussion in the learning process was still limited especially on argumentation. This study aims to integrate model of project-based learning (PjBL) and argument driven inquiry (ADI) with blended learning. This research developed project-argumentative learning model which integrated the syntax with worksheet that can be access online or called e-worksheet. This study used 4D research and development design (Define, Design, Develop, and Disseminate). The trial subjects included eight grade junior high school students in South Lampung, Indonesia. Project-argumentative learning model syntax in e-worksheet is valid and reached 90% of implementation to limited subject of observation. This development is expected to give students learning experience of making science project and having structured discussion of argumentation",[{'url': 'DOI:10.2991/978-2-38476-046-6_96'}],2352-5398,Proceedings of the 3rd Universitas Lampung International Conference on Social Sciences (ULICoSS 2022),published,ASSHER,conference,"['the Institute for Research and Community Services, Universitas Lampung, Indonesia']","Series:Advances in Social Science, Education and Humanities Research",51024.0,
4,pub,8,2023-05-09 03:09:51,public,['FKIP15'],,disk0_bak/00/05/12/46,http://repository.lppm.unila.ac.id/id/eprint/51246,2023-05-02 00:00:00.000000000,['L1'],Senior High School Students’ Argumentation Skills: Implementation of the Scientific Approach at Different Levels of Accreditation,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Maulina', 'given': 'Dina'}, 'id': 'dina.maulina@fkip.unila.ac.id'}, {'id': 'nenihasnunidah@gmail.com', 'name': {'given': 'Neni', 'family': 'Hasnunidah', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Ismi', 'honourific': None, 'family': 'Rakhmawati', 'lineage': None}, 'id': 'ismirakhmawati@gmail.com'}]",conference_item,"[{'format': 'text', 'docid': 191018, 'main': '125986426_ULICoSS Dina.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '728655144223c5731eaf5bf060ad6ed2', 'fileid': 550561, 'datasetid': 'document', 'filename': '125986426_ULICoSS Dina.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/550561', 'filesize': 311750, 'objectid': 191018, 'mtime': '2023-05-08 20:57:39', 'hash_type': 'MD5'}], 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'eprintid': 51246, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/191018', 'pos': 1}]",2023-05-09 03:09:51,986,show,51246,archive,2023-05-09 03:09:51,498-507,https://www.atlantis-press.com/proceedings/ulicoss-22/125986426,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AQT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AFT'}]",TRUE,paper,['Proceedings of the 3rd Universitas Lampung International Conference on Social Sciences (ULICoSS 2022)'],"This study was aims to analyze the argumentation ability of students at the high school level in Lampung Province at different levels of accreditation. Methods of this research was used ex post facto. This research will be conducted in
all high schools in Lampung Province. Determination of sampling using a purposive technique based on: (1) the determined area is an existing district/city expansion area which indicates that the area is in a phase of demographic development with education becoming urgent sectors in the fulfillment of human resources and demographics, (2) the same socio-economic and geographical conditions as considering the homogeneous evaluation of learning achievement in the Regency/City of Lampung Province in 2021. Therefore, the sample was 533 students with the distribution of schools in the Regency area North Lampung, Pesawaran and Way Kanan. Data obtained through: (i) quantitative data (test), and (ii) qualitative data, questionnaires, and interviews by teachers. The results of the research were found that all the schools studied had implemented a scientific approach as mandated by the 2013 Curriculum. This descriptive showed that there were differences in data implementation between schools accredited A, B, and C in Lampung Province. The argumentative aspects of Claim, Grounds, Warrants, backing in schools with different accreditation levels have a difference.",,,Proceedings of the 3rd Universitas Lampung International Conference on Social Sciences (ULICoSS 2022),published,,conference,['University of Lampung'],,51245.0,
5,pub,6,2023-02-27 07:32:58,public,['FKIP15'],Program Doktor Pendidikan FKIP Universitas Lampung,disk0_bak/00/04/86/01,http://repository.lppm.unila.ac.id/id/eprint/48601,1970-01-01 00:00:00.000002023,['L1'],"Students' Science Literacy Ability: Study on the Topic of Environmental
Pollution at SMPN 2 Merbau Mataram","[{'id': 'dina.maulina@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Maulina', 'lineage': None, 'given': 'Dina'}}, {'id': None, 'name': {'given': 'Fatimah', 'honourific': None, 'lineage': None, 'family': 'Triyaningsih'}}, {'id': 'bertiyolida@yahoo.com', 'name': {'given': 'Berti', 'honourific': None, 'lineage': None, 'family': 'Yolida'}}, {'name': {'family': 'cipta', 'lineage': None, 'honourific': None, 'given': 'Sayid'}, 'id': None}]",article,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'document-14.pdf', 'docid': 187943, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/529949', 'filename': 'document-14.pdf', 'objectid': 187943, 'filesize': 317040, 'mtime': '2023-02-27 05:41:04', 'hash_type': 'MD5', 'hash': 'bfed7339d241015ffefc9513f2725bd5', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 529949}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187943', 'security': 'public', 'placement': 1, 'eprintid': 48601}]",2023-02-27 07:32:58,513,show,48601,archive,2023-02-27 07:32:58,,,1.0,,TRUE,,,"Scientific literacy is one of the determining factors in preparing competent human
resources in the future. This study aimed to determine students' scientific literacy skills
based on the PISA framework. This research is ex post facto research, with a cross-
sectional survey design. The research sample was selected by purposive sampling of 224
students in class VIII SMP Negeri 2 Merbau Mataram. Quantitative data from students'
scientific literacy competency scores obtained with PISA questions were then analyzed
descriptively. The results of students' scientific literacy competence in this study were in
the ""very low"" category (30.06 ± 1.8). Based on the aspect of scientific competence,
identifying scientific problems (33.35 ± 2.58) has the highest score, then using scientific
evidence (36.18 ± 3.21), and the lowest score is the aspect of explaining scientific
phenomena (20.7 ± 1,7). Thus, the results of this study concluded that students' scientific
literacy abilities at SMPN 2 Merbau Mataram were in the very low category",,XXXX-XXXX,,published,1,,,JoAEdu,,
6,pub,6,2023-04-04 00:56:03,public,['FKIP15'],Universitas Siliwangi,disk0_bak/00/04/95/92,http://repository.lppm.unila.ac.id/id/eprint/49592,2023-03-31 00:00:00.000000000,['L1'],Integrasi TPACK Dalam Flipped Learning Untuk Meningkatkan Keterampilan Berpikir Kritis Peserta Didik Pada Pembelajaran Biologi di SMAN 1 Metro,"[{'id': 'dina.maulina@fkip.unila.ac.id', 'name': {'given': 'Dina', 'honourific': None, 'lineage': None, 'family': 'Maulina'}}, {'id': None, 'name': {'given': 'Yuni', 'honourific': None, 'family': 'sadikin', 'lineage': None}}, {'name': {'family': 'Marpaung', 'lineage': None, 'honourific': None, 'given': 'Rini Rita'}, 'id': 'ritamarpaung15@yahoo.co.id'}, {'id': 'bertiyolida@yahoo.com', 'name': {'given': 'Berti', 'family': 'Yolida', 'lineage': None, 'honourific': None}}]",article,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '4967-18768-1-PB(1).pdf', 'files': [{'objectid': 189225, 'filesize': 387500, 'uri': 'http://repository.lppm.unila.ac.id/id/file/537760', 'filename': '4967-18768-1-PB(1).pdf', 'hash_type': 'MD5', 'mtime': '2023-04-03 14:33:03', 'datasetid': 'document', 'fileid': 537760, 'mime_type': 'application/pdf', 'hash': '86932d1b0919eb21dda79fed65d8e539'}], 'docid': 189225, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189225', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 49592}]",2023-04-04 00:56:03,513,show,49592,archive,2023-04-04 00:56:03,201-209,,2.0,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",TRUE,,,"Abstract 
Learning based on Technological Pedagogical Content Knowledge (TPACK) is a requirement for implementing technology-based
learning. The integration of TPACK in the flipped learning model could be facilitate the implementation of online or blended
learning. This study was aims to analyze the integration of TPACK in Flipped Learning on the critical thinking skills of class XI
students of SMA Negeri 1 Metro. This study was used a quasi-experimental design with a pretest-posttest nonequivalent groups
design. The sample used in this study amounted to 61 people who were divided into Class XI IPA 3 (30 people) and Class XI IPA 3
(31 people) with the sampling technique of purposive sampling. The data in this study were quantitative data and qualitative data.
Quantitative data in the form of critical thinking results from the pretest, posttest and n-gain values were then analyzed by using the
Independent Sample t-test (α=0.05). The results showed that there was a significant effect of the application of the Flipped Learning
model on students' critical thinking skills (Sig. p<0.05). Qualitative data in the form of data on the value of the learning
implementation questionnaire with a score of 88.95% (very good category) for the observer's assessment results and a score of 64.8
(good category) for the assessment of students. As many as 67.4% of students feel they can think more critically in the application of
Flipped Learning. Therefore, the integration of TPACK in Flipped Learning has an effect on students' critical thinking skills in
online biology learning.

Keywords: Critical Thinking; Flipped Learning; Online Learning; New Normal",,2684-7604,,published,7,,,Bioedusiana,,
7,pub,6,2023-03-27 08:52:46,public,['FKIP15'],Futurity Research Publishing,disk0_bak/00/04/93/01,http://repository.lppm.unila.ac.id/id/eprint/49301,2023-03-25 00:00:00.000000000,['L1'],The Media Puzzle Assisted Guided Inquiry Model: Its Use of Students' Critical Thinking Skills,"[{'name': {'honourific': None, 'family': 'Yolida', 'lineage': None, 'given': 'Berti'}, 'id': 'bertiyolida@yahoo.com'}]",article,"[{'eprintid': 49301, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/188847', 'pos': 1, 'format': 'text', 'main': 'Yolida,+B.,+&+Marpaung,+R.+R.+T.+(2023)..pdf', 'files': [{'mtime': '2023-03-27 06:49:46', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/535399', 'filename': 'Yolida,+B.,+&+Marpaung,+R.+R.+T.+(2023)..pdf', 'objectid': 188847, 'filesize': 1376886, 'hash': '1583c699d94f83fc8b308add3f6ee30c', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 535399}], 'docid': 188847, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2023-03-27 08:52:46,513,show,49301,archive,2023-03-27 08:52:46,117-125,https://futurity-education.com/index.php/fed/issue/archive,1.0,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",TRUE,,,"The aim of this research was to photograph the application of the guided inquiry model (GIM)
with puzzle media to students' critical thinking skills (CTS). The used design was the enrollment of
pretest posttest non-equivalent control group. The research sample was VIIB class students as the
experimental class and VIIC class as the control class who were selected through cluster random
sampling technique. The research data was presented in the form of quantitative data, namely the
average pretest, posttest, and N-gain values which were then analyzed by statistical t-test with a
significance level of 5% using SPSS 22. The results showed that the GIM model media puzzle has a
significant effect on students' CTS with an average of N -the experimental class gain was higher (0.45)
while the control class (0.22), and sig. 0.00 < 0.0. Thus, it can be concluded that learning science using
GIM with puzzle media has a significant effect on students' CTS.

Keywords:   critical thinking skills, effect, guided inquiry learning model, puzzle media, students.",,2956-3402,,published,3,,,Futurity Education,,
8,pub,8,2023-04-04 00:55:53,public,['FKIP15'],Fakultas Keguruan dan Ilmu Pendidikan Universitas Lampung,disk0_bak/00/04/95/90,http://repository.lppm.unila.ac.id/id/eprint/49590,2023-03-17 00:00:00.000000000,['L1'],Pelatihan Model Pembelajaran IPA Terpadu untuk Profesionalisme Guru SMP Se-Kabupaten Pesawaran,"[{'id': 'bertiyolida@yahoo.com', 'name': {'given': 'Berti', 'family': 'Yolida', 'lineage': None, 'honourific': None}}, {'name': {'lineage': None, 'family': 'Lengkana', 'honourific': None, 'given': 'Dewi'}, 'id': 'dewi.lengkana@fkip.unila.ac.id'}, {'name': {'given': 'Rini Rita', 'honourific': None, 'lineage': None, 'family': 'Marpaung'}, 'id': 'ritamarpaung15@yahoo.co.id'}, {'id': 'dina.maulina@fkip.unila.ac.id', 'name': {'given': 'Dina', 'family': 'Maulina', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Ismi', 'honourific': None, 'lineage': None, 'family': 'Rakhmawati'}, 'id': 'ismirakhmawati@gmail.com'}, {'id': 'median.agus@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Priadi', 'lineage': None, 'given': 'Median. A'}}]",article,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 189223, 'main': 'artikel.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '04c1d4167ecbb37d10578ef30426da84', 'datasetid': 'document', 'fileid': 537748, 'mtime': '2023-04-03 14:18:46', 'hash_type': 'MD5', 'filename': 'artikel.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/537748', 'filesize': 536512, 'objectid': 189223}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189223', 'security': 'public', 'placement': 1, 'eprintid': 49590}]",2023-04-04 00:55:53,513,show,49590,archive,2023-04-04 00:55:53,1-10,,1.0,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",TRUE,,,"Abstract: Science concepts should not be compartmentalized but must complement one another. The purpose of this service activity is to increase teacher professionalism, especially in teaching aspects, especially science subjects. The target for the training is science teachers at junior high schools
in Pesawaran district. There are several training methods used, namely: need assessment, information discussion, task method, workshops on making integrated science lesson plans, presentations, discussions and information exploration, peer teaching. Improvement data was measured using a questionnaire instrument, essay test questions, teacher performance analysis test instruments, and peer teaching observation sheets. Data on increasing professionalism were analyzed descriptively. The conclusions are:
1) Training on the implementation of the integrated science learning model can increase teacher professionalism in aspects of knowledge, aspects of personality and social aspects. And the highest increase occurred in the
social and personality aspects. 2) Increasing the ability to make an integrated RPP IPA less significant. 

Keywords: junior high school in pesawaran; learning model of integrated science; teacher professionalism",,2829-5129,,published,2,,,NUWO ABDIMAS,,
9,pub,10,2023-04-18 08:27:17,public,['FKIP15'],Fakultas Keguruan dan Ilmu Pendidikan  Unversitas Lampung,disk0_bak/00/05/06/43,http://repository.lppm.unila.ac.id/id/eprint/50643,2023-03-17 00:00:00.000000000,['L1'],Pengabdian: Pelatihan Model Pembelajaran IPA Terpadu untuk Profesionalisme Guru SMP Se-Kabupaten Pesawaran,"[{'id': 'bertiyolida@yahoo.com', 'name': {'given': 'Berti', 'honourific': None, 'family': 'Yolida', 'lineage': None}}, {'id': 'dewi.lengkana@fkip.unila.ac.id', 'name': {'given': 'Dewi', 'family': 'Lengkana', 'lineage': None, 'honourific': None}}, {'name': {'family': 'Marpaung', 'lineage': None, 'honourific': None, 'given': 'Rini Rita'}, 'id': 'ritamarpaung15@yahoo.co.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Maulina', 'given': 'Dina'}, 'id': 'dina.maulina@fkip.unila.ac.id'}, {'id': 'ismirakhmawati@gmail.com', 'name': {'family': 'Rakhmawati', 'lineage': None, 'honourific': None, 'given': 'Ismi'}}, {'id': 'median.agus@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Priadi', 'lineage': None, 'given': 'Median. A'}}, {'name': {'given': 'M', 'lineage': None, 'family': 'Coesamin', 'honourific': None}, 'id': 'm.coesamin@fkip.unila.ac.id'}]",article,"[{'eprintid': 50643, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190345', 'pos': 1, 'format': 'text', 'docid': 190345, 'main': 'Jurnal PKM bu Berti.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/545853', 'filename': 'Jurnal PKM bu Berti.pdf', 'objectid': 190345, 'filesize': 244601, 'mtime': '2023-04-18 07:31:10', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '2fa0292a04377a599012b42a31059aba', 'fileid': 545853, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2023-04-18 08:27:17,724,show,50643,archive,2023-04-18 08:27:17,1-10,http://e-jurnal.fkip.unila.ac.id/index.php/nuwo/article/view/103/67,1.0,"[{'name': {'family': 'Yolida', 'lineage': None, 'honourific': None, 'given': 'Berti'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'bertiyolida@yahoo.com'}]",TRUE,,,"Konsep IPA sebaiknya tidak dikotak- kotakkan tetapi satu sama lain harus bisa saling melengkapi. Tujuan kegiatan pengabdian ini adalah untuk meningkatkan profesionalisme guru terutama dalam aspek  mengajar kususnya  mata  pel-ajaran  IPA.  Target pelatihan adalah guru IPA SMP se-kabupaten Pesawaran.  Metode pelatihan yang digunakan ada   beberapa yaitu:  need  assessment,  diskusi  informasi, metoda  tugas, workshop membuat  RPP  IPA  terpadu, Presen-tasi,  Diskusi  dan  eksplorasi informasi,  peer teaching.   Data peningkatan diukur menggunakan instrument angket,  soal tes esai, instrument tes Analisis   Kinerja Guru, dan lembar observasi peer teaching. Data peningkatan profesionalisme dianalisis secara deskriptif. Simpulannya yaitu: 1) Pe-latihan implementasi model pembelajaran IPA terpadu mampu meningkatkan profesionalisme guru pada aspek pengetahuan, aspek kepribadian dan aspek sosial. Dan peningkatan paling  tinggi terjadi pada aspek sosial dan kepribadian.2) Pe-ningkatan Kemampuan membuat RPP IPA terpadu  kurang signifikan.","[{'type': 'pub', 'url': 'http://e-jurnal.fkip.unila.ac.id/index.php/nuwo/article/view/103/67'}]",2829-5188 (Cetak); ISSN: 2829-5129 (Online),,submitted,2,,,Jurnal Nuwo Abdimas FKIP Unversitas Lampung,,['Universitas Lampung']
