,datestamp,eprintid,eprint_status,metadata_visibility,userid,number,official_url,lastmod,documents,type,creators,title,refereed,date_type,subjects,abstract,volume,date,uri,publication,publisher,divisions,dir,issn,full_text_status,status_changed,rev_number,ispublished,pagerange,corp_creators,related_url,id_number,contributors,succeeds
0,2021-05-31 09:49:38,31488,archive,show,435,1.0,https://iopscience.iop.org/article/10.1088/1742-6596/1572/1/012082/meta,2021-05-31 09:49:38,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/142360', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 31488, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'abe 3 2020 OK-.pdf', 'files': [{'mtime': '2021-05-31 06:49:40', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/373047', 'filename': 'abe 3 2020 OK-.pdf', 'filesize': 1395402, 'objectid': 142360, 'hash': '7b78b3d901b84720a1356c811f1aea10', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 373047}], 'docid': 142360, 'format': 'text'}]",article,"[{'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'given': 'Abdurrahman', 'family': 'Abdurrahman', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Ariyani', 'given': 'Farida'}, 'id': 'dulifarida@gmail.com'}, {'id': 'novintanurulsari@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Nurulsari', 'lineage': None, 'given': 'Novinta'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Maulina', 'given': 'Hervin'}, 'id': 'hervin.maulina@fkip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Sukamto', 'honourific': None, 'given': 'Ismu'}, 'id': 'ismusukamto.11@gmail.com'}]",The prospective ethnopedagogy-integrated STEM learning approach: science teacher perceptions and experiences,TRUE,published,['L1'],"Regarding the 4.0 industrial revolution, the STEM dimension is very important. Separately, the facts related to the development of ethnoscience in Indonesia are also very closely related to the student learning environment. STEM can play a role as an 'engaging tools' in local wisdom-based learning. However, there is no 'something' to integrate these dimensions. In this case, this study is focused on developing a preliminary form of product. We design the working framework of ethno-pedagogy-integrated STEM learning approach based on science teacher perception and experience. This study was carried out using a mixed method with a survey and analysis document on science teacher learning tools. The survey results showed that the teacher had utilized several ethno potentials that have developed in the community. The results of the document analysis have resulted in the finding that most teachers did not have a pattern yet for applying STEM learning that was related to local wisdom in their society. The ethnoscience facts that existed in the community from the survey results that had a big local potential to be integrated into STEM learning, for example, could be seen from the many traditional buildings and dances (Physics) and traditional food (Bio-Chemistry).",1572.0,2020-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/31488,Journal of Physics: Conference Series,IOP Publishing,['FKIP17'],disk0/00/03/14/88,Print : 1742-6588 Online : 1742-6596,public,2021-05-31 09:49:38,7,pub,,,,,,
1,2020-11-13 01:21:36,25114,archive,show,299,1.0,,2020-11-13 01:21:36,"[{'main': '2020, Novia Anggraini dkk Jurnal Tarbawi.pdf', 'docid': 38900, 'files': [{'mime_type': 'application/pdf', 'hash': '0f50620b93e6b7d914e795768e8a5edc', 'fileid': 227281, 'datasetid': 'document', 'mtime': '2020-11-12 22:23:12', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/227281', 'filename': '2020, Novia Anggraini dkk Jurnal Tarbawi.pdf', 'filesize': 294732, 'objectid': 38900}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 2, 'eprintid': 25114, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38900', 'pos': 2, 'security': 'public'}]",article,"[{'name': {'lineage': None, 'family': 'Anggraini', 'honourific': None, 'given': 'Novia'}, 'id': None}, {'name': {'lineage': None, 'family': 'Suana', 'honourific': None, 'given': 'Wayan'}, 'id': 'wsuane@gmail.com'}, {'name': {'lineage': None, 'family': 'Sesunan', 'honourific': None, 'given': 'Feriansyah'}, 'id': 'feriansyah_sesunan@yahoo.co.id'}]",PENGARUH PENERAPAN BLENDED LEARNING PADA MATERI HUKUM NEWTON TENTANG GERAK TERHADAP MOTIVASI BELAJAR DAN KEMAMPUAN PEMECAHAN MASALAH,TRUE,,['L1'],,16.0,2020-07-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/25114,Jurnal Tarbawi: Jurnal Ilmu Pendidikan,IAIN Kerinci,['FKIP17'],disk0/00/02/51/14,"p-ISSN 1858-1080, e-ISSN 2615-6547",public,2020-11-13 01:21:36,4,pub,25-39,,,,,
2,2020-11-19 11:30:51,26143,archive,show,679,1572.0,https://iopscience.iop.org/article/10.1088/1742-6596/1572/1/012033,2020-11-19 11:30:51,"[{'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'rev_number': 1, 'main': '2020-Asmayanti - Flipped Classroom Mode for Geometry Optics Teaching and Learning Teachers’ Perceptions and Expectations (1).docx', 'files': [{'mtime': '2020-11-19 01:21:26', 'hash_type': 'MD5', 'filename': '2020-Asmayanti - Flipped Classroom Mode for Geometry Optics Teaching and Learning Teachers’ Perceptions and Expectations (1).docx', 'uri': 'http://repository.lppm.unila.ac.id/id/file/235751', 'filesize': 106609, 'objectid': 40027, 'hash': '48e6560954c11ed7fb1a8917ef98f499', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'datasetid': 'document', 'fileid': 235751}], 'docid': 40027, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40027', 'security': 'public', 'placement': 1, 'eprintid': 26143}]",article,"[{'name': {'given': 'Diana', 'family': 'Asmayanti', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Abdurrahman', 'honourific': None, 'given': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Viyanti', 'honourific': None, 'given': 'Viyanti'}, 'id': 'viyanti.1980@fkip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'kartini herlina', 'lineage': None, 'given': 'KH'}, 'id': 'kkartini.herlina@gmail.com'}]",Flipped classroom mode for geometry optics teaching and learning: teachers’ perceptions and expectations,TRUE,published,['L1'],"Integrating active learning with traditional learning in the classroom can actually be done simply. However, teachers are still trying to find learning innovations so the learning process can be focused on each student. One of the learning models that can be used by teachers is flipped classroom. This study aims to analyze the perceptions and expectations of teachers towards the use of flipped classroom models for the learning process of physics. The research model used is a mixed-method with Sequential Explanatory Strategy. The study was conducted in high schools in the Lampung province with the subjects of the research were 60 physics teachers. Data collection used a four-point questionnaire instrument with Likert Scale and interviews. The results of the study showed that teachers had considerable expectations for the use of flipped classroom model. The flipped classroom learning model can help teachers to convey all the physics material easily so as students can understand the material, active, interest with physics, then communication and the relationship between teachers and students will increase. The flipped classroom model will work well if it is supported by appropriate media and teaching materials. The results of this study will be a reference for the next research.",1.0,2020-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/26143,IOP Conf. Series: Earth and Environmental Science,IOP Publishing,['FKIP17'],disk0/00/02/61/43,1755-1315,public,2020-11-19 11:30:51,8,pub,1-7,['Diana Asmayanti'],[{'url': 'https://iopscience.iop.org/article/10.1088/1742-6596/1572/1/012033'}],10.1088/1742-6596/1467/1/012041,,
3,2020-06-17 08:34:27,22573,archive,show,624,,,2020-06-17 08:34:27,"[{'format': 'text', 'main': '08 THE EFFECTIVENESS OF WASTE.pdf', 'docid': 36031, 'files': [{'datasetid': 'document', 'fileid': 207029, 'hash': '1d6a04e48b82afb6dde556d49ec9620d', 'mime_type': 'application/pdf', 'filesize': 757456, 'objectid': 36031, 'filename': '08 THE EFFECTIVENESS OF WASTE.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/207029', 'hash_type': 'MD5', 'mtime': '2020-06-17 07:35:30'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 22573, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36031', 'pos': 1}]",other,"[{'name': {'lineage': None, 'family': 'Diawati', 'honourific': None, 'given': 'Chansyanah'}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Kadaritna', 'given': 'Nina'}, 'id': 'kadaritna@yahoo.com'}]","The Effectiveness of Waste Cooking Oil Rycycling Project-Based Learning to Improve Students"" High Order Thinking Skills.",,,"['L1', 'LB1501', 'LC5201']",,,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/22573,,FKIP Unila,['FKIP17'],disk0/00/02/25/73,,public,2020-06-17 08:34:27,9,unpub,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Pendidikan MIPA FKIP Unila']",,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",
4,2020-06-17 08:34:41,22575,archive,show,624,,,2020-06-17 08:34:41,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36034', 'security': 'public', 'placement': 1, 'eprintid': 22575, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '10 THE EFFECTIVENESS OF PROBLEM-BASED.pdf', 'docid': 36034, 'files': [{'hash_type': 'MD5', 'mtime': '2020-06-17 07:38:23', 'objectid': 36034, 'filesize': 737144, 'filename': '10 THE EFFECTIVENESS OF PROBLEM-BASED.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/207049', 'fileid': 207049, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '1bf82473d6d06f51ec4b61bf1020c290'}], 'format': 'text'}]",other,"[{'id': 'chansyanah.diawati@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Diawati', 'given': 'Chansyanah'}}, {'id': 'kadaritna@yahoo.com', 'name': {'family': 'Kadaritna', 'lineage': None, 'honourific': None, 'given': 'Nina'}}]","The Effectiveness pf Problem-Based Learning on The Hoax Information to Improve Students "" Critical Thinking Skills.",,,"['L1', 'LB1501', 'LC5201']",,,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/22575,,FKIP Unila,['FKIP17'],disk0/00/02/25/75,,public,2020-06-17 08:34:41,9,unpub,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Pendidikan MIPA FKIP Unila']",,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",
5,2020-06-17 08:35:28,22585,archive,show,624,,,2020-06-17 08:35:28,"[{'eprintid': 22585, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36044', 'format': 'text', 'main': '02 ENHANCEMENT OF STUDENTS.pdf', 'files': [{'datasetid': 'document', 'fileid': 207131, 'hash': '6d3b597aec9ae2717e382fe9c3813b08', 'mime_type': 'application/pdf', 'filesize': 781221, 'objectid': 36044, 'filename': '02 ENHANCEMENT OF STUDENTS.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/207131', 'hash_type': 'MD5', 'mtime': '2020-06-17 07:54:38'}], 'docid': 36044, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",other,"[{'id': 'chansyanah.diawati@fkip.unila.ac.id', 'name': {'given': 'Chansyanah', 'honourific': None, 'family': 'Diawati', 'lineage': None}}, {'id': 'kadaritna@yahoo.com', 'name': {'given': 'Nina', 'family': 'Kadaritna', 'lineage': None, 'honourific': None}}]",Enhancement of students' creative thinking skills on mixture separation topic using project based student worksheet,,,"['L1', 'LB1501', 'LC5201']",,,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/22585,,FKIP Unila,['FKIP17'],disk0/00/02/25/85,,public,2020-06-17 08:35:28,9,unpub,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Pendidikan MIPA FKIP Unila']",,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",
6,2020-06-17 08:35:56,22589,archive,show,624,,,2020-06-17 08:35:56,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'hash': 'c6861e09bb1ca6a29e64486d577d9406', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 207165, 'uri': 'http://repository.lppm.unila.ac.id/id/file/207165', 'filename': '15 PERKEMBANGAN KONSEPSI.pdf', 'objectid': 36047, 'filesize': 11479202, 'mtime': '2020-06-17 07:59:30', 'hash_type': 'MD5'}], 'main': '15 PERKEMBANGAN KONSEPSI.pdf', 'docid': 36047, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36047', 'eprintid': 22589, 'placement': 1}]",other,"[{'id': 'chansyanah.diawati@fkip.unila.ac.id', 'name': {'given': 'Chansyanah', 'family': 'Diawati', 'lineage': None, 'honourific': None}}, {'id': 'kadaritna@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Kadaritna', 'given': 'Nina'}}]",Perkembangan Konsepsi Mahasiswa Semester Pertama Sampai Semester Tujuh Tentang Struktur Atom (Suatu Studi Deskriptif Cross-Sectional).,,,"['L1', 'LB1501', 'LC5201']",,,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/22589,,FKIP Unila,['FKIP17'],disk0/00/02/25/89,,public,2020-06-17 08:35:56,9,unpub,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Pendidikan MIPA FKIP Unila']",,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",
7,2020-06-17 08:34:19,22571,archive,show,624,,,2020-06-17 08:34:19,"[{'main': '07 REVEALING PRE SERVICE.pdf', 'docid': 36030, 'files': [{'mtime': '2020-06-17 07:33:23', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/207018', 'filename': '07 REVEALING PRE SERVICE.pdf', 'objectid': 36030, 'filesize': 720771, 'mime_type': 'application/pdf', 'hash': 'de9376e57a00676fe1d318cde6f0b661', 'datasetid': 'document', 'fileid': 207018}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 22571, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36030', 'pos': 1, 'security': 'public'}]",other,"[{'name': {'family': 'Diawati', 'lineage': None, 'honourific': None, 'given': 'Chansyanah'}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Kadaritna', 'given': 'Nina'}, 'id': 'kadaritna@yahoo.com'}]",Revealing Pre-Service Chemistry Teachers' Conception of Hydrogen Atomic Arbitals Using Open-Ended Tests: A Case Studi in Indonesia.,,,"['L1', 'LB1501', 'LC5201']",,,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/22571,,FKIP Unila,['FKIP17'],disk0/00/02/25/71,,public,2020-06-17 08:34:19,9,unpub,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Pendidikan MIPA FKIP Unila']",,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",
8,2020-06-17 08:34:54,22578,archive,show,624,,,2020-06-17 08:34:54,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': '12 SCIENCE TEACHER.pdf', 'files': [{'fileid': 207074, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '62bb44622ed0af7731f3e0b1a18ea61e', 'objectid': 36037, 'filesize': 778403, 'uri': 'http://repository.lppm.unila.ac.id/id/file/207074', 'filename': '12 SCIENCE TEACHER.pdf', 'hash_type': 'MD5', 'mtime': '2020-06-17 07:42:33'}], 'docid': 36037, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36037', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 22578}]",other,"[{'name': {'given': 'Chansyanah', 'honourific': None, 'family': 'Diawati', 'lineage': None}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}, {'name': {'given': 'Nina', 'lineage': None, 'family': 'Kadaritna', 'honourific': None}, 'id': 'kadaritna@yahoo.com'}]","Science Teacher ""Perception About Laboratory Activity on Mixture Separation Topics.",,,"['L1', 'LB1501', 'LC5201']",,,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/22578,,FKIP Unila,['FKIP17'],disk0/00/02/25/78,,public,2020-06-17 08:34:54,9,unpub,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Pendidikan MIPA FKIP Unila']",,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",
9,2020-06-17 08:34:34,22574,archive,show,624,,,2020-06-17 08:34:34,"[{'eprintid': 22574, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36033', 'format': 'text', 'main': '09 USING PROJECT-BASED.pdf', 'docid': 36033, 'files': [{'mtime': '2020-06-17 07:37:00', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/207040', 'filename': '09 USING PROJECT-BASED.pdf', 'objectid': 36033, 'filesize': 753857, 'mime_type': 'application/pdf', 'hash': 'fff577fd4571e31f962d9fbb4105b9f2', 'datasetid': 'document', 'fileid': 207040}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",other,"[{'id': 'chansyanah.diawati@fkip.unila.ac.id', 'name': {'family': 'Diawati', 'lineage': None, 'honourific': None, 'given': 'Chansyanah'}}, {'name': {'given': 'Nina', 'honourific': None, 'lineage': None, 'family': 'Kadaritna'}, 'id': 'kadaritna@yahoo.com'}]","Using Project-Based Learning in Improving Students ""Critical Thinking Skills to Separate of Mixtures",,,"['L1', 'LB1501', 'LC5201']",,,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/22574,,FKIP Unila,['FKIP17'],disk0/00/02/25/74,,public,2020-06-17 08:34:34,9,unpub,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Pendidikan MIPA FKIP Unila']",,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",
