,subjects,volume,abstract,uri,date,divisions,publisher,publication,dir,related_url,status_changed,full_text_status,issn,rev_number,ispublished,eprint_status,eprintid,datestamp,pagerange,metadata_visibility,number,userid,documents,official_url,lastmod,type,creators,refereed,title,contact_email,date_type,referencetext,patent_applicant,id_number,corp_creators,place_of_pub,pages,funders,book_title,projects,contributors,isbn,editors,event_title,event_type,event_location,event_dates,pres_type
0,['G1'],20.0,"This study aims to see at student motivation arising from the application
of the blended learning model, student competencies formed due to the
application of the blended learning model, the effectiveness of the
application of the blended learning model in increasing student
motivation and competence in the meteorology climatology course, also
providing references for the use of the model blended learning to other
courses so that lectures can run effectively and efficiently. The method is a
quasi-experiment method. The sample was student on their first semester
in 2019 of the Geography Education Study Program in the Class of
Meteorology Climatology. The results of the study are as follows: 1) The
application of the blended learning model in the Climatology Meteorology
Course in Geography Education Study Program students influences
student motivation in learning. 2) The application of the blended learning
model in the Climatology Meteorology Course for Geography Education
Study Program students increases the level of student competency. 3) The
blended learning model is one of the effective learning models for
increasing student motivation and competence. This can be seen from the
formed student motivation and increased student competence. 4) The use
of the blended learning model can be applied to other subjects as an
alternative so that lectures can run effectively and efficiently.",http://repository.lppm.unila.ac.id/id/eprint/23543,2020-03-31 00:00:00.000000000,['FKIP18'],UNJ,Jurnal Spatial Wahana Komunikasi dan Informasi Geografi,disk0/00/02/35/43,[{'url': 'http://journal.unj.ac.id/unj/index.php/spatial/article/view/14333'}],2020-08-06 05:56:23,public,2580-9830,6,pub,archive,23543,2020-08-06 05:56:23,28-32,show,1.0,5092,"[{'files': [{'mtime': '2020-08-06 04:41:23', 'hash_type': 'MD5', 'filename': 'jurnal unj.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/215213', 'objectid': 37170, 'filesize': 153497, 'hash': '49cb528d2205d1058035b7f79d1d383b', 'mime_type': 'application/pdf', 'fileid': 215213, 'datasetid': 'document'}], 'main': 'jurnal unj.pdf', 'docid': 37170, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 23543, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37170', 'security': 'public'}]",http://journal.unj.ac.id/unj/index.php/spatial/index,2020-08-06 05:56:23,article,"[{'id': 'annisa.salsabilla@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Annisa Salsabilla', 'given': 'Mrs'}}, {'name': {'given': 'Mrs', 'lineage': None, 'family': 'Dian Utami', 'honourific': None}, 'id': 'dian.utami@fkip.unila.ac.id'}, {'name': {'given': 'Mr', 'family': 'Listumbinang Halengkara', 'lineage': None, 'honourific': None}, 'id': 'listumbinang.halengkara@fkip.unila.ac.id'}]",TRUE,"Effectiveness of Blended Learning Model on Students Motivation and
Competency Level In Meteorology Climatology Subject",,,,,,,,,,,,,,,,,,,
1,"['G1', 'L1']",20.0,"This study aims to see at student motivation arising from the application of the blended learning model, student competencies formed due to the application  of  the  blended  learning  model,  the  effectiveness  ofthe application   of   the   blended   learning   model   in   increasing   student motivation and competence in the meteorology climatology course, also providing references for the  use of the model blended  learning to other courses so that lectures can run effectively and efficiently. The method is a quasi-experiment method. The sample was student on their first semester in  2019  of  the  Geography  Education  Study  Program  in  the  Class  of Meteorology  Climatology.The  results  of  the  study  are  as  follows:  1)  The application of the blended learning model in the Climatology Meteorology Course   in   Geography   Education   Study   Program   students   influences student motivation in learning. 2) The application of the blended learning model  in  the  Climatology  Meteorology  Course  for  GeographyEducation Study Program students increases the level of student competency. 3) The blended  learning  model  is  one  of  the  effective  learning  models  for increasing student motivation and competence. This can be seen from the formed student motivation and increased student competence. 4) The use of  the  blended  learning  model  can  be  applied  to  other  subjects  as  an alternative so that lectures can run effectively and efficiently.",http://repository.lppm.unila.ac.id/id/eprint/23002,2020-03-31 00:00:00.000000000,['FKIP18'],Universitas Negeri Jakarta,Jurnal Spasial Wahana Komunikasi dan Informasi Geografi,disk0/00/02/30/02,"[{'url': 'http://journal.unj.ac.id/unj/index.php/spatial/article/view/14333/8904', 'type': 'author'}]",2020-08-06 04:26:56,public,E-ISSN 2580 9830,8,pub,archive,23002,2020-08-06 04:26:56,28-32,show,1.0,1242,"[{'eprintid': 23002, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/37169', 'pos': 1, 'format': 'text', 'docid': 37169, 'main': '14333-Article Text-37819-1-10-20200710.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-08-06 04:10:36', 'objectid': 37169, 'filesize': 155282, 'uri': 'http://repository.lppm.unila.ac.id/id/file/215199', 'filename': '14333-Article Text-37819-1-10-20200710.pdf', 'datasetid': 'document', 'fileid': 215199, 'mime_type': 'application/pdf', 'hash': '4b981a945dd7e6893c596c4c33c5d8db'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",http://journal.unj.ac.id/unj/index.php/spatial/index,2020-08-06 04:26:56,article,"[{'name': {'given': 'Mrs', 'honourific': None, 'family': 'Annisa Salsabilla', 'lineage': None}, 'id': 'annisa.salsabilla@fkip.unila.ac.id'}, {'id': 'dian.utami@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Dian Utami', 'lineage': None, 'given': 'Mrs'}}, {'id': 'listumbinang.halengkara@fkip.unila.ac.id', 'name': {'given': 'Mr', 'honourific': None, 'family': 'Listumbinang Halengkara', 'lineage': None}}]",TRUE,Effectiveness of Blended Learning Model on Students Motivation and Competency Level In Meteorology Climatology Subject,annisa.salsabilla@fkip.unila.ac.id,published,"Husamah  2014,    Pembelajaran  Bauran,    Prestasi Pustakara., Jakarta.Spencer,  L  &  Spencer,  SM  1993,  Competence  at Work,  Models  For  Superior  Performance, John Wiley & Sons, Inc., Canada.Staker,  H.,  &  Horn,  MB  2012,  Classifying  K-12 Blended Learning. Mountain View, Canada.Suharsimi,  A  2012,  Prosedur  Penelitian,  Rineka Cipta, Jakarta.",,,,,,,,,,,,,,,,
2,['G1'],,"Modul ini bertujuan membantu siswa memahami materi SIG, terutama dalam mengaplikasikan SIG untuk perencanaan pembangunan suatu wilayah, dll.",http://repository.lppm.unila.ac.id/id/eprint/17635,2020-01-16 00:00:00.000000000,['FKIP18'],,,disk0/00/01/76/35,,2020-02-17 03:37:55,public,,7,pub,archive,17635,2020-02-17 03:37:55,,show,,409,"[{'format': 'text', 'main': 'sertifikat_EC00202002038_SIG.pdf', 'docid': 30773, 'files': [{'mime_type': 'application/pdf', 'hash': 'fd6a602dd232effbb98964f5fa5b2e6f', 'datasetid': 'document', 'fileid': 148988, 'filename': 'sertifikat_EC00202002038_SIG.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/148988', 'objectid': 30773, 'filesize': 772935, 'mtime': '2020-01-20 07:18:05', 'hash_type': 'MD5'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 17635, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30773', 'pos': 1}]",https://e-hakcipta.dgip.go.id/index.php/list/94460,2020-02-17 03:37:55,patent,"[{'name': {'honourific': None, 'family': 'Dedy', 'lineage': None, 'given': 'Miswar'}, 'id': 'de_miswar@yahoo.com'}, {'name': {'given': 'Widodo', 'honourific': None, 'lineage': None, 'family': 'Sugeng'}, 'id': 'sugeng.widodo@fkip.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Dian', 'given': 'Utami'}, 'id': 'dian.utami@fkip.unila.ac.id'}, {'name': {'given': 'SR', 'lineage': None, 'family': 'Salsabila Ramadhania', 'honourific': None}, 'id': 'salsabilaramadhani@gmail.com'}]",,Modul Pengetahuan Dasar Sistem Informasi Geografi,,published,,"Dr. Freddy Harris, S.H., LL.M., ACCS.",EC00202002038,,,,,,,,,,,,,,
3,['G1'],,"Tujuan pendidikan mitigasi bencana ini adalah untuk memberikan informasi kepada masyarakat yang berada di daerah rawan bencana, terutama untuk msayarakat Kecamatan Kelumbayan.",http://repository.lppm.unila.ac.id/id/eprint/17633,2020-01-16 00:00:00.000000000,['FKIP18'],,,disk0/00/01/76/33,,2020-02-17 03:37:51,public,,7,pub,archive,17633,2020-02-17 03:37:51,,show,,409,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'sertifikat_EC00202002029_Pendidikan Mitigasi.pdf', 'docid': 30771, 'files': [{'datasetid': 'document', 'fileid': 148973, 'mime_type': 'application/pdf', 'hash': 'e268c39ff41cae348cfb57e6664145a2', 'objectid': 30771, 'filesize': 772781, 'filename': 'sertifikat_EC00202002029_Pendidikan Mitigasi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/148973', 'hash_type': 'MD5', 'mtime': '2020-01-20 05:50:24'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/30771', 'pos': 1, 'eprintid': 17633, 'placement': 1}]",https://e-hakcipta.dgip.go.id/index.php/list/94457,2020-02-17 03:37:51,patent,"[{'name': {'given': 'Miswar', 'honourific': None, 'family': 'Dedy', 'lineage': None}, 'id': 'de_miswar@yahoo.com'}, {'name': {'given': 'Widodo', 'lineage': None, 'family': 'Sugeng', 'honourific': None}, 'id': 'sugeng.widodo@fkip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Nani', 'honourific': None, 'given': 'Suwarni'}, 'id': 'nani.suwarni@fkip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Amalia Anisafira', 'lineage': None, 'given': 'Budi'}, 'id': 'amaliaanisafirbudi@gmail.com'}]",,Pendidikan Mitigasi Bencana,,published,,"Dr. Freddy Harris, S.H., LL.M., ACCS.",EC00202002029,,,,,,,,,,,,,,
4,['GB'],,"Pop up Book ini bertujuan untuk membantu siswa dalam memahami materi dinamika planet bumi sebagai ruang kehidupan, bentuk pop up book ini tiga dimensi, sehingga siswa dapat melihat proses pembentukan dinamika planet bumi.",http://repository.lppm.unila.ac.id/id/eprint/17634,2020-01-16 00:00:00.000000000,['FKIP18'],,,disk0/00/01/76/34,,2020-02-17 03:37:53,public,,8,pub,archive,17634,2020-02-17 03:37:53,,show,,409,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'sertifikat_EC00202002037_Pop Up Book.pdf', 'files': [{'objectid': 30772, 'filesize': 772890, 'filename': 'sertifikat_EC00202002037_Pop Up Book.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/148980', 'hash_type': 'MD5', 'mtime': '2020-01-20 06:54:07', 'fileid': 148980, 'datasetid': 'document', 'hash': '087f9e7b6014d06e49e0f82d6c54f9cd', 'mime_type': 'application/pdf'}], 'docid': 30772, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/30772', 'security': 'public', 'placement': 1, 'eprintid': 17634}]",https://e-hakcipta.dgip.go.id/index.php/list/94459,2020-02-17 03:37:53,patent,"[{'name': {'given': 'Miswar', 'honourific': None, 'family': 'Dedy', 'lineage': None}, 'id': 'de_miswar@yahoo.com'}, {'name': {'lineage': None, 'family': 'ZULKARNAIN', 'honourific': None, 'given': 'ZULKARNAIN'}, 'id': None}, {'id': 'pargito.1959@fkip.unila.ac.id', 'name': {'given': 'Pargito', 'family': 'Pargito', 'lineage': None, 'honourific': None}}, {'id': 'enyayulestari@gmail.com', 'name': {'lineage': None, 'family': 'Eni Ayu Lestari', 'honourific': None, 'given': 'EAL'}}]",,Pop Up Book ''Dinamika Planet Bumi Sebagai Ruang Kehidupan'',,published,,"Dr. Freddy Harris, S.H., LL.M., ACCS.",EC00202002037,,,,,,,,,,,,,,
5,"['G1', 'GE']",21.0,"This study aims to analyze changes in paddy field use based on Sustainable Food
Agricultural Land (LP2B), the factors causing and the direction of land changes in Pagelaran Utara
District, Pringsewu Regency, Lampung Province. This research uses survey and overlapping
methods. The object of this research is paddy field which has turned into a settlement. Collecting
data in research using observation techniques, literature study, interviews, and documentation
supported by data from related agencies. The data analysis used in this research is descriptive
with a geospatial approach. The results of the study were: (1) There was a change of 16.08 ha of
paddy fields into settlements; (2) The factors causing changes in the use of paddy fields in North
Pagelaran District, Pringsewu Regency consist of physical and non-physical factors; and (3) The
direction of changing from paddy fields to settlements in North Pagelaran Subdistrict, Pringsewu
Regency is towards the East, with an elongated settlement pattern, namely following the highway.

Key words: Geospatial; Paddy Fields; LP2B

Penelitian ini bertujuan untuk menganalisis perubahan penggunaan lahan sawah
berbasis Lahan Pertanian Pangan Berkelanjutan (LP2B), faktor penyebab dan arah perubahan
lahan di Kecamatan Pagelaran Utara Kabupaten Pringsewu Propinsi Lampung. Penelitian ini
menggunakan metode survei dan tumpang susun. Objek dalam penelitian ini adalah lahan sawah
yang berubah menjadi permukiman. Pengumpulan data dalam penelitian menggunakan teknik
observasi, studi literatur, wawancara, dan dokumentasi yang didukung dengan data dari dinasdinas

terkait. Analisis data yang digunakan dalam penelitian ini adalah deskriptif dengan
pendekatan geospasial. Hasil dalam penelitian, yaitu: (1) Adanya perubahan lahan sawah seluas
16,08 ha menjadi permukiman; (2) Faktor penyebab terjadinya perubahan penggunaan lahan
sawah di Kecamatan Pagelaran Utara Kabupaten Pringsewu terdiri dari faktor fisik dan non fisik;
dan (3) Arah perubahan lahan sawah menjadi permukiman di Kecamatan Pagelaran Utara
Kabupaten Pringsewu mengarah ke Timur, dengan pola permukiman memanjang yaitu mengikuti
jalan raya. 
Kata kunci: Geospasial; Lahan Sawah; LP2B",http://repository.lppm.unila.ac.id/id/eprint/27312,2020-12-01 00:00:00.000000000,['FKIP18'],FHIS UNDIKSHA dan IGI,Media Komunikasi geografi,disk0/00/02/73/12,,2021-01-14 06:51:50,public,P-ISSN 0216-8138 | E-ISSN 2580-0183,7,pub,archive,27312,2021-01-14 06:51:50,130-143,show,2.0,409,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41318', 'eprintid': 27312, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 41318, 'main': 'Analisis Geospasial Perubahan Penggunaan Lahan.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/244435', 'filename': 'Analisis Geospasial Perubahan Penggunaan Lahan.pdf', 'objectid': 41318, 'filesize': 307115, 'mtime': '2021-01-14 06:41:17', 'hash_type': 'MD5', 'hash': '0c13807e1d63cd7215e1b641809705eb', 'mime_type': 'application/pdf', 'fileid': 244435, 'datasetid': 'document'}]}]",http://dx.doi.org/10.23887/mkg.v21i2.27760,2021-01-14 06:51:50,article,"[{'id': 'dedy.miswar@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Dedy Miswar', 'lineage': None, 'given': 'DM'}}, {'id': 'igede.sugiyanta@fkip.unila.ac.id', 'name': {'given': 'GS', 'honourific': None, 'family': 'I Gede Sugiyanta', 'lineage': None}}, {'id': 'yarmaidi@fkip.unila.ac.id', 'name': {'given': 'Y', 'honourific': None, 'family': 'Yarmaidi', 'lineage': None}}]",TRUE,"Analisis Geospasial Perubahan Penggunaan Lahan
Sawah Berbasis LP2B Kecamatan Pagelaran Utara",,published,,,,,,,,,,,,,,,,,
6,"['G1', 'GB']",18.0,"Regional potential is the ability of an area in the form of resources that can be used, exploited, and taken advantage of for further development so that it can improve and create regional capabilities. This study aims to make the potential of the physical region contained in the Geospatial based Pringsewu Regency, and the potential of the social area contained in the Geospatial based Pringsewu Regency. The method used is descriptive with a spatial approach. The results of the study are physical and social spatial data of the region including: administration, rainfall, groundwater basins, rivers and watersheds, landforms, slope, soil type, contour and height lines, land use, road networks, land capability, landslides, floods , population, and population density, so that it can be used as a reference in regional development planning",http://repository.lppm.unila.ac.id/id/eprint/23091,2020-06-01 00:00:00.000000000,['FKIP18'],La Geografia,La Geografia,disk0/00/02/30/91,,2020-07-10 03:42:26,public,1412-8187 e-ISSN: 2655-1284,8,pub,archive,23091,2020-07-10 03:42:26,255-268,show,3.0,409,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/36643', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 23091, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 36643, 'main': 'jurnal lageografia_2020_Juni.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-07-10 02:38:18', 'filesize': 924795, 'objectid': 36643, 'uri': 'http://repository.lppm.unila.ac.id/id/file/211719', 'filename': 'jurnal lageografia_2020_Juni.pdf', 'datasetid': 'document', 'fileid': 211719, 'hash': '21cae0e584effa7762ac52b18d250c2f', 'mime_type': 'application/pdf'}], 'format': 'text'}]",,2020-07-10 03:42:26,article,"[{'id': 'dedy.miswar@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Dedy Miswar', 'lineage': None, 'given': 'DM'}}, {'id': 'igede.sugiyanta@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'I Gede Sugiyanta', 'given': 'GS'}}, {'id': 'yarmaidi@fkip.unila.ac.id', 'name': {'family': 'Yarmaidi', 'lineage': None, 'honourific': None, 'given': 'Y'}}]",TRUE,Geographical Study of Regional Potential Geospatial Based on Pringsewu District,,published,,,,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",,,,,,,,,,,,,
7,['G1'],,"Regional potential is the ability of an area in the form of resources that can be used, exploited, and taken advantage of for further development so that it can improve and create regional capabilities. This study aims to make the potential of the physical region contained in the Geospatial based Pringsewu Regency, and the potential of the social area contained in the Geospatial based Pringsewu Regency. The method used is descriptive with a spatial approach. The results of the study are physical and social spatial data of the region including: administration, rainfall, groundwater basins, rivers and watersheds, landforms, slope, soil type, contour and height lines, land use, road networks, land capability, landslides, floods , population, and population density, so that it can be used as a reference in regional development planning",http://repository.lppm.unila.ac.id/id/eprint/43250,2020-05-05 00:00:00.000000000,['FKIP18'],Jurusan Geografi FMIPA UNM,,disk0/00/04/32/50,,2022-07-12 08:37:15,public,,8,pub,archive,43250,2022-07-12 08:37:15,,show,,409,"[{'placement': 1, 'eprintid': 43250, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165110', 'pos': 1, 'security': 'public', 'main': 'review gegraphycal potential.pdf', 'docid': 165110, 'files': [{'hash': 'df1917553afdf19c0199f14541bbf322', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 472638, 'filename': 'review gegraphycal potential.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/472638', 'filesize': 190281, 'objectid': 165110, 'mtime': '2022-07-12 05:41:38', 'hash_type': 'MD5'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",https://ojs.unm.ac.id/Lageografia/article/view/13609/pdf,2022-07-12 08:37:15,other,"[{'id': 'dedy.miswar@fkip.unila.ac.id', 'name': {'given': 'DM', 'family': 'Dedy Miswar', 'lineage': None, 'honourific': None}}, {'name': {'given': 'GS', 'lineage': None, 'family': 'I Gede Sugiyanta', 'honourific': None}, 'id': 'igede.sugiyanta@fkip.unila.ac.id'}, {'id': 'yarmaidi@fkip.unila.ac.id', 'name': {'given': 'Y', 'honourific': None, 'lineage': None, 'family': 'Yarmaidi'}}]",,Peer Review: Geographical Study of Regional Potential Geospatial Based on Pringsewu District,,published,,,https://doi.org/10.35580/lageografia.v18i3.13609,['Universitas Lampung'],La Gegrafia,,,,,,,,,,,,
8,['G1'],,"Potensi wilayah adalah kemampuan suatu daerah yang berupa sumber daya yang bisa digunakan, dieksploitasi, dan diambil manfaatnya untuk dikembangkan secara lebih lanjut sehingga bisa meningkatkan dan menciptakan kemampuan wilayah yang memadai. Penelitian ini bertujuan untuk untuk membuat potensi wilayah fisik yang terdapat di Kabupaten Pringsewu berbasis geospasial, dan potensi wilayah sosial yang terdapat di Kabupaten Pringsewu berbasis geospasial. Metode yang digunakan adalah deskriptif dengan pendekatan spasial. Hasil penelitian berupa data spasial fisik dan sosial wilayah antara lain: administrasi, curah hujan, cekungan air tanah, sungai dan DAS, bentuklahan, kemiringan lereng, jenis tanah, garis kontur dan ketinggian, penggunaan lahan, jaringan jalan, kemampuan lahan, longsor, banjir, jumlah penduduk, dan kepadatan penduduk, sehingga dapat digunakan sebagai acuan dalam perencanaan pembangunan wilayah.",http://repository.lppm.unila.ac.id/id/eprint/41789,2020-06-05 00:00:00.000000000,['FKIP18'],Jurusan Geografi FMIPA UNM,,disk0/00/04/17/89,,2022-05-31 06:54:45,public,,7,pub,archive,41789,2022-05-31 06:54:45,,show,,409,"[{'main': 'Geographycal Study of Regional.pdf', 'docid': 163458, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/461637', 'filename': 'Geographycal Study of Regional.pdf', 'filesize': 420640, 'objectid': 163458, 'mtime': '2022-05-24 08:06:03', 'hash_type': 'MD5', 'hash': 'c4d760f394fe2aade370039f0532f981', 'mime_type': 'application/pdf', 'fileid': 461637, 'datasetid': 'document'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 41789, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163458', 'pos': 1, 'security': 'public'}]",https://ojs.unm.ac.id/Lageografia/article/view/13609/pdf,2022-05-31 06:54:45,other,"[{'id': 'dedy.miswar@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Dedy Miswar', 'lineage': None, 'given': 'DM'}}, {'name': {'given': 'GS', 'lineage': None, 'family': 'I Gede Sugiyanta', 'honourific': None}, 'id': 'igede.sugiyanta@fkip.unila.ac.id'}, {'id': 'yarmaidi@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Yarmaidi', 'honourific': None, 'given': 'Y'}}]",,Peer Reviewer: Geographical Study of Regional Potential Geospatial Based on Pringsewu District,,published,,,https://ojs.unm.ac.id/Lageografia/article/view/13609,,,,,,,,,,,,,,
9,['G1'],,"This study aims to analyze changes in paddy field use based on Sustainable Food Agricultural Land (LP2B), the factors causing and the direction of land changes in Pagelaran Utara District, Pringsewu Regency, Lampung Province. This research uses survey and overlapping methods. The object of this research is paddy field which has turned into a settlement. Collecting data in research using observation techniques, literature study, interviews, and documentation supported by data from related agencies. The data analysis used in this research is descriptive with a geospatial approach. The results of the study were: (1) There was a change of 16.08 ha of paddy fields into settlements; (2) The factors causing changes in the use of paddy fields in North Pagelaran District, Pringsewu Regency consist of physical and non-physical factors; and (3) The direction of changing from paddy fields to settlements in North Pagelaran Subdistrict, Pringsewu Regency is towards the East, with an elongated settlement pattern, namely following the highway.",http://repository.lppm.unila.ac.id/id/eprint/43248,2020-12-05 00:00:00.000000000,['FKIP18'],Universitas Pendidikan Ganesha,,disk0/00/04/32/48,,2022-07-12 08:37:10,public,,7,pub,archive,43248,2022-07-12 08:37:10,,show,,409,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/165108', 'eprintid': 43248, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 165108, 'main': 'peer review analisis geospasial.pdf', 'files': [{'mtime': '2022-07-12 04:47:46', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/472621', 'filename': 'peer review analisis geospasial.pdf', 'filesize': 218874, 'objectid': 165108, 'hash': '5fe3988cde06b5434cf679258bb46a6a', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 472621}]}]",https://ejournal.undiksha.ac.id/index.php/MKG/article/view/27760/17281,2022-07-12 08:37:10,other,"[{'name': {'given': 'DM', 'lineage': None, 'family': 'Dedy Miswar', 'honourific': None}, 'id': 'dedy.miswar@fkip.unila.ac.id'}, {'id': 'igede.sugiyanta@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'I Gede Sugiyanta', 'given': 'GS'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Yarmaidi', 'given': 'Y'}, 'id': 'yarmaidi@fkip.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Reno Deri Yasta', 'given': 'RDY'}, 'id': None}]",,Peer Review: Analisis Geospasial Perubahan Penggunaan Lahan Sawah Berbasis LP2B Kecamatan Pagelaran Utara,,published,,,http://dx.doi.org/10.23887/mkg.v21i2.27760,['Universitas Lampung'],Media Komunikasi Geografi,,,,,,,,,,,,
