,full_text_status,status_changed,ispublished,rev_number,related_url,divisions,dir,event_type,abstract,uri,date,date_type,event_title,subjects,event_location,creators,pres_type,type,title,event_dates,refereed,userid,official_url,lastmod,documents,datestamp,eprint_status,eprintid,metadata_visibility,pagerange,number,issn,publisher,publication,corp_creators,volume,contributors,id_number
0,public,2020-06-11 03:53:02,pub,7,[{'url': 'https://drive.google.com/file/d/1gGQkWMPQTDG6o7Ik71Ktty0U02o0TPfc/view'}],['FKIP19'],disk0/00/02/22/45,conference,"Era revolusi industri 4.0 menuntut anak mampu beradaptasi menghadapi persaingan global. Kecakapan hidup pada era globalisasi tidak hanya dipandang dari nilai akademik atau hasil belajarnya saja, tetapi juga dinilai dari bagaimana seseorang tersebut mampu memecahkan masalah-masalah kehidupan yang akan datang. Salah satu persiapan menghadapi era tersebut adalah siswa memiliki kemampuan pemecahan masalah. Pada kenyataanya pembelajaran matematika di SD yang mengembangkan kemampuan masalah masih belum maksimal. Hal ini karena kurangnya perhatian guru dalam pengembangan kemampuan pemecahan masalah dalam proses pembelajaran. Maka dari itu diperlukan pendekatan
pembelajaran yang mengintegrasikan pengetahuan, keterampilan dan pengalaman anak sehingga siswa terlibat aktif dalam proses memecahkan masalah. Salah satu pendekatan pembelajaran yang dapat mengembangkan kemampuan pemecahan masalah yaitu dengan menggunakan pendekatan matematika realistic. Tujuan penelitian ini untuk mengetahui pengaruh penerapan pendekatan matematika
realistic terhadap kemampuan pemecahan masalah siswa kelas V Sekolah Dasar di Tangerang. Jenis penelitian ini adalah experiment dengan menggunakan teknik simple random sampling yang telah dilakukan kepada 60 siswa. Pengambilan data diperoleh melalui tes dan dianalisis dengan uji Independent Samples Test, uji Mann Whitney-U dan analisis deskriptif. Hasil penelitian menunjukan bahwa pendekatan matematika realistik dapat mengembangkan kemampuan pemecahan masalah siswa dari pada yang diajarkan menggunakan metode konvensional dan  terdapat pengaruh interaksi antara penerapan pendekatan matematika realistik terhadap kemampuan pemecahan masalah.
Kata kunci: Pendekatan Matematika Realistik, Pemecahan Masalah,Sekolah Dasar",http://repository.lppm.unila.ac.id/id/eprint/22245,2019-09-28 00:00:00.000000000,published,Seminar Nasional Pendidikan FKIP 2019,['LB1501'],FKIP Universitas Lampung,"[{'name': {'given': 'Frida', 'lineage': None, 'family': 'Destini', 'honourific': None}, 'id': 'frida.destini@fkip.unila.ac.id'}]",paper,conference_item,"PENGGUNAAN PENDEKATAN RME TERHADAP KEMAMPUAN
PEMECAHAN MASALAH SISWA",28 September 2019,TRUE,2810,http://semnaspend.fkip.unila.ac.id/2019/08/14/prosiding/,2020-06-11 03:53:02,"[{'format': 'text', 'main': 'Prosiding Semnas 28 Sep 2019_Rev_Artikel_frida Destini.pdf', 'docid': 35663, 'files': [{'mtime': '2020-06-11 03:37:18', 'hash_type': 'MD5', 'filename': 'Prosiding Semnas 28 Sep 2019_Rev_Artikel_frida Destini.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/204664', 'objectid': 35663, 'filesize': 389912, 'mime_type': 'application/pdf', 'hash': '7f7720a75300e428b303fb7860a3e1fe', 'fileid': 204664, 'datasetid': 'document'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 22245, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/35663', 'pos': 1}]",2020-06-11 03:53:02,archive,22245,show,288-297,,,,,,,,
1,public,2020-06-24 01:37:03,pub,8,,['FKIP19'],disk0/00/02/27/29,,"The purpose of this research and development is to produce student worksheets in the Project Based Learning
model oriented project assessment that are suitable for use in learning, and to know the difference in learning
outcomes between students using student worksheets in the Project Based Learning model oriented project
assessment with do not use student worksheets in the Project Based Learning model oriented project assessment
in thematic learning in fourth grade of elementary school. This type of research is research and development
referring to the theory of Borg and Gall. The population of the study was 151 students of fourth grade of
elementary school, and the sample was determined by purposive sampling as many as 20 students. The data was
collected through observation sheets, questionnaires, and test questions. The test instrument that used fulfills the
validity and reliability, taking into account the level of difficulty, and the power of the different questions. The
data analysis technique used t test. The results of the validation of the student worksheets in the Project Based
Learning model oriented project assessment conducted by material experts, media experts, and linguists who
were suitable to be used in learning. The results of the study showed that the student worksheets in the Project
Based Learning model oriented project assessment of the project tcount = 2,838 > ttable = 1,697. It means there are
differences in learning outcomes between students who use student worksheets in the Project Based Learning
model oriented project assessment with with do not use student worksheets in the Project Based Learning model
oriented project assessment.",http://repository.lppm.unila.ac.id/id/eprint/22729,1970-01-01 00:00:00.000002019,published,,"['L1', 'LB1501', 'LC5201']",,"[{'name': {'given': 'Astuti', 'honourific': None, 'lineage': None, 'family': 'Fifi'}, 'id': None}, {'id': 'alben_ambarita57@yahoo.com', 'name': {'given': 'Alben', 'honourific': None, 'lineage': None, 'family': 'Alben Ambarita'}}, {'name': {'given': 'LS', 'honourific': None, 'lineage': None, 'family': 'Lilik'}, 'id': 'lilik.sabdaningtyas@fkip.unila.ac.id'}, {'name': {'given': 'Darsono', 'family': 'Darsono', 'lineage': None, 'honourific': None}, 'id': 'darsono.1954@fkip.unila.ac.id'}]",,article,"The Development of Student Worksheets in the Project Based
Learning Model Oriented Project Assessment in the Thematic
Learning in Fourth Grade of Elementary School",,TRUE,758,http://www.iiste.org,2020-06-24 01:37:03,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': '8__The_Development_of_Student_Worksheets_in_the_Pr.pdf', 'files': [{'fileid': 208582, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '9b0edc35f67624c2713b1b20445f03f5', 'hash_type': 'MD5', 'mtime': '2020-06-23 08:46:12', 'filesize': 2820157, 'objectid': 36231, 'uri': 'http://repository.lppm.unila.ac.id/id/file/208582', 'filename': '8__The_Development_of_Student_Worksheets_in_the_Pr.pdf'}], 'docid': 36231, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36231', 'security': 'public', 'placement': 1, 'eprintid': 22729}]",2020-06-24 01:37:03,archive,22729,show,65-73,17.0,2222-288X,Journal of Education and Practice,Journal of Education and Practice,"['Faculty of Teacher Training and Education, University of Lampung']",10.0,,
2,public,2020-06-24 01:37:10,pub,9,,['FKIP19'],disk0/00/02/27/30,,"The purpose of this research and development is to produce student worksheets in the Project Based Learning
model oriented project assessment that are suitable for use in learning, and to know the difference in learning
outcomes between students using student worksheets in the Project Based Learning model oriented project
assessment with do not use student worksheets in the Project Based Learning model oriented project assessment
in thematic learning in fourth grade of elementary school. This type of research is research and development
referring to the theory of Borg and Gall. The population of the study was 151 students of fourth grade of
elementary school, and the sample was determined by purposive sampling as many as 20 students. The data was
collected through observation sheets, questionnaires, and test questions. The test instrument that used fulfills the
validity and reliability, taking into account the level of difficulty, and the power of the different questions. The
data analysis technique used t test. The results of the validation of the student worksheets in the Project Based
Learning model oriented project assessment conducted by material experts, media experts, and linguists who
were suitable to be used in learning. The results of the study showed that the student worksheets in the Project
Based Learning model oriented project assessment of the project tcount = 2,838 > ttable = 1,697. It means there are
differences in learning outcomes between students who use student worksheets in the Project Based Learning
model oriented project assessment with with do not use student worksheets in the Project Based Learning model
oriented project assessment",http://repository.lppm.unila.ac.id/id/eprint/22730,1970-01-01 00:00:00.000002019,published,,"['L1', 'LB1501', 'LC5201']",,"[{'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Fifi', 'given': 'Astuti'}}, {'id': 'alben_ambarita57@yahoo.com', 'name': {'family': 'Alben Ambarita', 'lineage': None, 'honourific': None, 'given': 'Alben'}}, {'id': 'lilik.sabdaningtyas@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Lilik', 'lineage': None, 'given': 'LS'}}, {'name': {'given': 'Darsono', 'lineage': None, 'family': 'Darsono', 'honourific': None}, 'id': 'darsono.1954@fkip.unila.ac.id'}]",,other,"The Development of Student Worksheets in the Project Based
Learning Model Oriented Project Assessment in the Thematic
Learning in Fourth Grade of Elementary School",,,758,http://www.iiste.org,2020-06-24 01:37:10,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36232', 'pos': 1, 'eprintid': 22730, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 36232, 'main': '8__The_Development_of_Student_Worksheets_in_the_Pr.pdf', 'files': [{'filesize': 2820157, 'objectid': 36232, 'uri': 'http://repository.lppm.unila.ac.id/id/file/208595', 'filename': '8__The_Development_of_Student_Worksheets_in_the_Pr.pdf', 'hash_type': 'MD5', 'mtime': '2020-06-23 08:49:45', 'fileid': 208595, 'datasetid': 'document', 'hash': '9b0edc35f67624c2713b1b20445f03f5', 'mime_type': 'application/pdf'}]}]",2020-06-24 01:37:10,archive,22730,show,,,,Journal of Education and Practice,,"['Faculty of Teacher Training and Education, University of Lampung']",,,
3,public,2020-06-23 08:44:38,pub,9,,['FKIP19'],disk0/00/02/27/25,,"This study was aimed at developing a higher order thinking skills (HOTS)-based test instrument that is empirically
and theoretically feasible for elementary school integrated thematic learning. This study was conducted through a
Research and Development methodology (Borg & Gall, 1983) to a population of an elementary school fourthgrade students in Central Lampung by using a purposive sampling. A total of 64 participants took part in this study. The data were collected through questionnaires and tests. The results show that the test instrument developed was theoretically feasible with an average expert score of 90.14. This fell into very good category and was empirically feasible. A total of 29 questions were valid and internally consistent with a moderate level of difficulty,good discrimination power, and good distractor.",http://repository.lppm.unila.ac.id/id/eprint/22725,1970-01-01 00:00:00.000002019,published,,"['L1', 'LB1501', 'LC5201']",,"[{'name': {'given': 'Okayana', 'family': 'Komang', 'lineage': None, 'honourific': None}, 'id': None}, {'id': None, 'name': {'family': 'Irawan', 'lineage': None, 'honourific': None, 'given': 'Suntoro'}}, {'id': 'lilik.sabdaningtyas@fkip.unila.ac.id', 'name': {'given': 'LS', 'honourific': None, 'lineage': None, 'family': 'Lilik'}}, {'name': {'given': 'Darsono', 'family': 'Darsono', 'lineage': None, 'honourific': None}, 'id': 'darsono.1954@fkip.unila.ac.id'}]",,other,"The Development of Higher Order Thinking Skills-Based
Assessment Instrument for Elementary School Integrated Thematic Learning",,,758,http://www.iiste.org,2020-06-23 08:44:38,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36227', 'security': 'public', 'placement': 1, 'eprintid': 22725, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'hash': '34af6abd54d654011d0181c48ed908a4', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 208543, 'uri': 'http://repository.lppm.unila.ac.id/id/file/208543', 'filename': '5__The_Development_of_Higher_Order_Thinking_Skills.pdf', 'filesize': 1651562, 'objectid': 36227, 'mtime': '2020-06-23 08:34:06', 'hash_type': 'MD5'}], 'main': '5__The_Development_of_Higher_Order_Thinking_Skills.pdf', 'docid': 36227, 'format': 'text'}]",2020-06-23 08:44:38,archive,22725,show,,,,Journal of Education and Practice,,"['Faculty of Teacher Training and Education, University of Lampung']",,,
4,public,2020-06-24 01:37:20,pub,9,,['FKIP19'],disk0/00/02/27/31,,"The purpose of this research and development is to develop and describe the feasibility and effectiveness of developing integrative thematic learning tools based on Problem Based Learning in improving students' critical thinking. This type of research is research and development that refers to Borg and Gall theory. The population of this study was the fourth-grade students of elementary schools in Argomulyo Village, Banjit District, and the sample was determined by a purposive sampling of 27 students. Data were collected through observation sheets,
questionnaires, and test questions. The test instrument that used able to fulfills validity and reliability, taking into
account the level of difficulty, and the different power of the questions. The data analysis technique used is then-Gain test to determine its effectiveness. The results of validating thematic learning tools based on Problem Based Learning are done by curriculum experts and learning experts. The results showed that the product development of integrated thematic learning tools based on Problem Based Learning produced is effective for use in the learning process for fourth-grade students. This is proved by the increase in student learning outcomes and students' critical thinking skills after using an integrative thematic learning tool based on Problem Based
Learning.",http://repository.lppm.unila.ac.id/id/eprint/22731,1970-01-01 00:00:00.000002019,published,,"['L1', 'LB1501', 'LC5201']",,"[{'name': {'given': 'LS', 'lineage': None, 'family': 'Lilik', 'honourific': None}, 'id': 'lilik.sabdaningtyas@fkip.unila.ac.id'}, {'id': 'alben_ambarita57@yahoo.com', 'name': {'honourific': None, 'family': 'Alben Ambarita', 'lineage': None, 'given': 'Alben'}}]",,other,"The Development of Integrative Thematic Learning Tools Based
on Problem Based Learning to Improve Critical Thinking of
Students in Fourth Grade in Elementary School",,,758,http://www.iiste.org,2020-06-24 01:37:20,"[{'placement': 1, 'eprintid': 22731, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36233', 'security': 'public', 'main': '9__The_Development_of_Integrative_Thematic_Learnin.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-06-23 08:53:30', 'filesize': 2386527, 'objectid': 36233, 'filename': '9__The_Development_of_Integrative_Thematic_Learnin.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/208604', 'datasetid': 'document', 'fileid': 208604, 'hash': 'dde928de9f2c440b73d1918d76d31687', 'mime_type': 'application/pdf'}], 'docid': 36233, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2020-06-24 01:37:20,archive,22731,show,,,,Journal of Education and Practice,,"['Faculty of Teacher Training and Education, University of Lampung']",,,
5,public,2022-09-12 04:13:06,pub,17,,['FKIP19'],disk0/00/04/48/98,,"The purpose of this study (1) to find out the relevance of the curriculum model development of Elementary School Teacher Education with the Elementary School curriculum, (2) to produce a level of improvement in courses that have relevance to the Elementary School curriculum, 3) produce textbooks. the method used in this study is Research and Development. Data collection used questionnaire. The results of the study showed that the average score of elementary school teacher's pedagogical competence was included in the excellent category as well as teacher professionalism. The average score was included in the excellent category. The pedagogical abilities and professional abilities of teachers in relation to the relevance of the Elementary School Teacher Education curriculum with the curriculum in Elementary Schools are related in the excellent categories.",http://repository.lppm.unila.ac.id/id/eprint/44898,2019-07-01 00:00:00.000000000,published,,['L1'],,"[{'name': {'given': 'Deviyanti', 'honourific': None, 'lineage': None, 'family': 'Pangestu'}, 'id': 'deviyanti.pangestu@fkip.unila.ac.id'}]",,article,EVALUATIVE STUDY RELEVANCE OF CURRICULUM DEVELOPMENT MODEL OF ELEMENTARY SCHOOL TEACHER EDUCATION WITH ELEMENTARY SCHOOL CURRICULUM,,TRUE,25561,http://ejournal.radenintan.ac.id/index.php/terampil/article/view/3827,2022-09-12 04:13:06,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'hash': '36d8447a7172ebe149e9d4846d6c8473', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 484440, 'mtime': '2022-09-11 06:49:05', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/484440', 'filename': '3827-13435-1-PB.pdf', 'objectid': 166813, 'filesize': 184706}], 'main': '3827-13435-1-PB.pdf', 'docid': 166813, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166813', 'eprintid': 44898, 'placement': 1}]",2022-09-12 04:13:06,archive,44898,show,14-22,1.0,2355-1925,Jurnal Terampil,Jurnal Pendidikan dan Pembelajaran Dasar,,6.0,"[{'name': {'family': 'Pangestu', 'lineage': None, 'honourific': None, 'given': 'Deviyanti'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'deviyanti.pangestu@fkip.unila.ac.id'}]",
6,public,2020-06-17 06:10:08,unpub,9,,['FKIP19'],disk0/00/02/25/40,,,http://repository.lppm.unila.ac.id/id/eprint/22540,1970-01-01 00:00:00.000002019,,,"['L1', 'LB1501', 'LC5201']",,"[{'id': 'undangros@yahoo.com', 'name': {'given': 'Undang', 'lineage': None, 'family': 'Rosidin', 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Rini', 'given': 'Riswanti'}, 'id': None}]",,other,The Development of Assessment Instruments Based on Multiple Intelligence in Elementary School,,,758,,2020-06-17 06:10:08,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35997', 'eprintid': 22540, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 35997, 'main': '04 THE DEV OF ASESSMENT.pdf', 'files': [{'fileid': 206710, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'aa5ae7d3829c88dfcb224e839b3aa37c', 'hash_type': 'MD5', 'mtime': '2020-06-17 05:46:05', 'objectid': 35997, 'filesize': 756622, 'filename': '04 THE DEV OF ASESSMENT.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/206710'}]}]",2020-06-17 06:10:08,archive,22540,show,,,,FKIP Unila,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Ilmu Pendidikan FKIP Unila']",,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",
7,public,2020-06-17 03:29:40,unpub,9,,['FKIP19'],disk0/00/02/25/23,,,http://repository.lppm.unila.ac.id/id/eprint/22523,1970-01-01 00:00:00.000002019,,,['LB1501'],,"[{'id': 'undangros@yahoo.com', 'name': {'given': 'Undang', 'family': 'Rosidin', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Rini', 'given': 'Riswanti'}}]",,other,The Development of Ciritcal Thinking Assessment Instrument on Elementary Scool,,,758,,2020-06-17 03:29:40,"[{'placement': 1, 'eprintid': 22523, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35979', 'pos': 1, 'security': 'public', 'main': '01 THE DEV OF CRIT THINKING.pdf', 'files': [{'mtime': '2020-06-17 03:14:39', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/206593', 'filename': '01 THE DEV OF CRIT THINKING.pdf', 'filesize': 761930, 'objectid': 35979, 'mime_type': 'application/pdf', 'hash': '7000836709615fc86452e68291f99f1e', 'datasetid': 'document', 'fileid': 206593}], 'docid': 35979, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2020-06-17 03:29:40,archive,22523,show,,,,FKIP Unila,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Ilmu Pendidikan FKIP Unila']",,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",
8,public,2020-06-17 06:09:55,unpub,11,,['FKIP19'],disk0/00/02/25/42,,,http://repository.lppm.unila.ac.id/id/eprint/22542,1970-01-01 00:00:00.000002019,,,"['L1', 'LB', 'LB1501', 'LC', 'LC5201']",,"[{'id': 'undangros@yahoo.com', 'name': {'lineage': None, 'family': 'Rosidin', 'honourific': None, 'given': 'Undang'}}, {'name': {'family': 'Rini', 'lineage': None, 'honourific': None, 'given': 'Riswanti'}, 'id': None}]",,other,Development of Description Test Instruments Based Saintific  Approach to Measure Ability to Create Critical Participants in Class V Basic School,,,758,,2020-06-17 06:09:55,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/35999', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 22542, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': '06 DEV OF DESC.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/206730', 'filename': '06 DEV OF DESC.pdf', 'objectid': 35999, 'filesize': 767841, 'mtime': '2020-06-17 05:51:45', 'hash_type': 'MD5', 'hash': '9b96d34f177249822087a052c82ea0e7', 'mime_type': 'application/pdf', 'fileid': 206730, 'datasetid': 'document'}], 'docid': 35999, 'format': 'text'}]",2020-06-17 06:09:55,archive,22542,show,,,,FKIP Unila,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Ilmu Pendidikan FKIP Unila']",,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",
9,public,2020-06-17 06:10:15,unpub,9,,['FKIP19'],disk0/00/02/25/43,,,http://repository.lppm.unila.ac.id/id/eprint/22543,1970-01-01 00:00:00.000002019,,,"['L1', 'LB1501', 'LC5201']",,"[{'id': 'undangros@yahoo.com', 'name': {'given': 'Undang', 'lineage': None, 'family': 'Rosidin', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Rini', 'lineage': None, 'given': 'Riswanti'}, 'id': None}]",,other,Development of Instrument Test on Mathematical Literature Learning in Elementary School,,,758,,2020-06-17 06:10:15,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 36000, 'filesize': 765609, 'uri': 'http://repository.lppm.unila.ac.id/id/file/206741', 'filename': '07 DEV OF INSTRUMENT.pdf', 'hash_type': 'MD5', 'mtime': '2020-06-17 05:54:15', 'fileid': 206741, 'datasetid': 'document', 'hash': '9feb0959c0d6887f88140aa3c6966a09', 'mime_type': 'application/pdf'}], 'main': '07 DEV OF INSTRUMENT.pdf', 'docid': 36000, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36000', 'security': 'public', 'placement': 1, 'eprintid': 22543}]",2020-06-17 06:10:15,archive,22543,show,,,,FKIP Unila,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Ilmu Pendidikan FKIP Unila']",,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",
