,full_text_status,status_changed,ispublished,rev_number,related_url,divisions,publisher,publication,dir,abstract,volume,uri,date,subjects,creators,type,title,refereed,userid,number,lastmod,official_url,documents,datestamp,eprint_status,eprintid,metadata_visibility,pagerange,isbn,place_of_pub,date_type,pres_type,event_title,event_type,issn,contributors,id_number,contact_email,pages,corp_creators,referencetext,succeeds
0,public,2021-06-03 06:39:12,pub,7,[{'url': 'https://ijesss.com/journal/article/view/4/4'}],['FKIP19'],Lighthouse Publishing,INTERNATIONAL JOURNAL OF EDUCATIONAL STUDIES IN SOCIAL SCIENCES,disk0/00/03/18/13,"This study aimed to determine the role of scout extracurricular activities toward student characters, between the learning environment at school and the student characters,   and   between   scout extracurricular   activities   and   the   learning environment at school along with students’characters. The research adopted an ex-post-facto correlation with a total population of112 students and 54 of them were  taken as  samples.  Observation  and  questionnaires were  used  fordata collection.    Product    Moment    Correlation    and    Multiple    Correlation were undertaken to analyze the collected data. Based on the analysis, the results of the study indicated that  there  was  a  relationship  between  scout  extracurricular activities andlearning environment at school toward students’characters.",1,http://repository.lppm.unila.ac.id/id/eprint/31813,1970-01-01 00:00:00.000002021,['L1'],"[{'id': 'nelly.astuti@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'ASTUTI', 'honourific': None, 'given': 'NELLY'}}, {'name': {'given': 'Fadhilah', 'honourific': None, 'family': 'Khairani', 'lineage': None}, 'id': None}, {'id': 'frida.destini@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Destini', 'lineage': None, 'given': 'Frida'}}, {'name': {'lineage': None, 'family': 'sulistyawati', 'honourific': None, 'given': 'sulistyawati'}, 'id': None}]",article,The role of scout  activities and learning  environment atschool  toward students’ characters,TRUE,818,1,2021-06-03 06:39:12,https://ijesss.com/journal/index,"[{'placement': 1, 'eprintid': 31813, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/144094', 'security': 'public', 'docid': 144094, 'main': '4-Article Text-66-1-10-20210204.pdf', 'files': [{'hash': '475d0919d84eac17d70a49058ec0be39', 'mime_type': 'application/pdf', 'fileid': 376777, 'datasetid': 'document', 'mtime': '2021-06-03 02:47:39', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/376777', 'filename': '4-Article Text-66-1-10-20210204.pdf', 'filesize': 345106, 'objectid': 144094}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2021-06-03 06:39:12,archive,31813,show,28-37,,,,,,,,,,,,,,
1,public,2023-04-18 05:41:05,pub,7,,['FKIP19'],Graha Ilmu,,disk0_bak/00/05/06/38,,,http://repository.lppm.unila.ac.id/id/eprint/50638,2021-05-01 00:00:00.000000000,['L1'],"[{'id': 'mohammad.monaadha@fkip.unila.ac.id', 'name': {'given': 'Muhammad Mona', 'lineage': None, 'family': 'Adha', 'honourific': None}}, {'name': {'given': 'RAPANI', 'honourific': None, 'family': 'RAPANI', 'lineage': None}, 'id': 'rapani@fkip.unila.ac.id'}, {'id': 'dayurika.perdana@fkip.unila.ac.id', 'name': {'given': 'Dayu Rika', 'family': 'Perdana', 'lineage': None, 'honourific': None}}]",book,Kajian Pendidikan Kewarganegaraan SD,TRUE,19245,,2023-04-18 05:41:05,,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Buku Kajian PKN SD.pdf', 'docid': 190340, 'files': [{'objectid': 190340, 'filesize': 988030, 'filename': 'Buku Kajian PKN SD.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/545815', 'hash_type': 'MD5', 'mtime': '2023-04-18 04:29:41', 'fileid': 545815, 'datasetid': 'document', 'hash': '2b67c8a00499bb0a6f18438e7cb2bc26', 'mime_type': 'application/pdf'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190340', 'eprintid': 50638, 'placement': 1}]",2023-04-18 05:41:05,archive,50638,show,,978-602-5584-73-2,Media Akademi,published,,,,,,,,,,,
2,public,2021-06-04 11:47:58,pub,7,[{'url': 'https://dl.acm.org/doi/10.1145/3452144.3452153'}],['FKIP19'],,,disk0/00/03/20/62,"This research and development aim to develop a Lesson Plan Based on Backward Design that is feasible to improve the critical thinking of elementary school students. Research and development refer to Borg & Gall's theory. The study population was fifth-grade educators at Elementary School Dr. Wahidin Husodo in Metro, Lampung. The sample was determined using a purposive sampling technique of seven educators from different elementary schools. Data was collected through a questionnaire,
observation and test results. The results showed that the Lesson Plan that developed was feasible to use and showed that it could improve students' critical thinking. This is proved by the increase in student learning outcomes and students' critical thinking skills after using a backward design lesson plan.",,http://repository.lppm.unila.ac.id/id/eprint/32062,1970-01-01 00:00:00.000002021,['LB1501'],"[{'id': 'alben.ambarita@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Ambarita', 'honourific': None, 'given': 'Alben'}}, {'name': {'honourific': None, 'family': 'Destini', 'lineage': None, 'given': 'Frida'}, 'id': 'frida.destini@fkip.unila.ac.id'}]",conference_item,"The Development of Lesson Plan Based on Backward Design to
Improve Students’ Critical Thinking at Elementary School",TRUE,2810,,2021-06-04 11:47:58,https://dl.acm.org/doi/proceedings/10.1145/3452144,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 145306, 'main': 'Article 9_3452144.3452153.pdf', 'files': [{'mtime': '2021-06-04 08:23:30', 'hash_type': 'MD5', 'filename': 'Article 9_3452144.3452153.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/379473', 'filesize': 216844, 'objectid': 145306, 'mime_type': 'application/pdf', 'hash': 'f3cd794e99c1a793a892a366e21ad0f1', 'datasetid': 'document', 'fileid': 379473}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145306', 'security': 'public', 'placement': 1, 'eprintid': 32062}]",2021-06-04 11:47:58,archive,32062,show,1-5,,,,paper,ICLIQE 2020: Proceedings of the 4th International Conference on Learning Innovation and Quality Education,conference,,,,,,,,
3,public,2021-11-11 08:48:34,pub,8,[{'url': 'https://ijmmu.com/index.php/ijmmu/article/view/2831'}],['FKIP19'],,International Journal of Multicultural and Multireligious Understanding,disk0/00/03/61/80,"One of the abilities and qualifications of prospective teachers is the result of their participation in the School Field Introduction (PLP) program. PLP is expected to be one of the efforts to prepare competent and prospective teacher candidates in the world of work. Field experience in teacher education programs helps students grow and develop as teachers. Field experience, an important component of teacher preparation. PLP aims to strengthen students' academic abilities in education and learning through activities in schools. The method used is descriptive qualitative with interview instruments and drawing conclusions. Sources of data are student teacher candidates who do PLP in schools in Bandar Lampung. The subjects in the study were student teacher candidates who held PLP in schools in Bandar Lampung. The research subject selection technique used snowball sampling technique. The results of this study, the PLP activity planning indicators are carried out by procedurally making activity agendas in the form of circulars addressed to students, heads of study programs and heads of departments, collaborating with the Education Office, determining partner schools, placing placements, preparing orientation and debriefing materials. implementation indicators during the Coronavirus Disease (Covid-19) emergency period, teaching exercises and extracurricular assistance cannot be optimal because most of the implementation is online. And the indicators for the assessment of components and weights of the PLP assessment consist of: 10% attendance on campus and schools and 40% Oral Examination by PLP supervisors.
Keywords: Introduction to School Fields; FKIP; Colleges",8,http://repository.lppm.unila.ac.id/id/eprint/36180,1970-01-01 00:00:00.000002021,"['L1', 'LB', 'LB1501']","[{'name': {'given': 'Tasviri', 'family': 'Efkar', 'lineage': None, 'honourific': None}, 'id': 'tasviriefkar@yahoo.com.'}, {'name': {'honourific': None, 'lineage': None, 'family': 'RAPANI', 'given': 'RAPANI'}, 'id': 'rapani@fkip.unila.ac.id'}, {'name': {'given': 'Fitriadi', 'lineage': None, 'family': 'Fitriadi', 'honourific': None}, 'id': None}]",article,Implementation of the Introduction to the School Field at FKIP University of Lampung,TRUE,1115,7,2021-11-11 08:48:34,https://ijmmu.com/index.php/ijmmu/article/view/2831,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157123', 'eprintid': 36180, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'fileid': 418804, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '249e4d7c6537987111d86331de2a6a09', 'objectid': 157123, 'filesize': 589637, 'filename': '1. Jurnal Internasional. (Juli-2021).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/418804', 'hash_type': 'MD5', 'mtime': '2021-11-11 08:39:47'}], 'main': '1. Jurnal Internasional. (Juli-2021).pdf', 'docid': 157123}]",2021-11-11 08:48:34,archive,36180,show,446-452,,,published,,,,2364-5369,,,,,,,
4,public,2022-01-25 07:17:35,pub,7,"[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/JPF/index', 'type': 'pub'}]",['FKIP19'],"Program Studi Pendidikan Fisika, FKIP, Unila",,disk0/00/03/82/99,"Computational Thinking (CT) skill is the ability to solve problems with computer thinking. In addition, CT can be seen as a structured and systematic approach that can be implemented in learning. This study aims to bring the computational thinking approach to the non-computer science student’s class and involved 35 undergraduate students of physics education in the computational physics course. The research method used was the mixed method sequential explanatory design (Creswell & Plano Clark, 2011), with the following design. Broadly speaking, the flow of the mixed method research method with an explanatory sequential design in this study includes the collection of quantitative data obtained from student self-evaluation instruments related to the understanding of the CT approach stage. The results showed that the Computational Thinking (CT) approach can be applied to non-computer science students in online learning which includes 6 stages of implementation and 6 stages of implementation. Other results indicate that this method can be used in improving student CT skills.",,http://repository.lppm.unila.ac.id/id/eprint/38299,2021-07-14 00:00:00.000000000,['L1'],"[{'id': 'hervin.maulina@fkip.unila.ac.id', 'name': {'given': 'Hervin', 'honourific': None, 'family': 'Maulina', 'lineage': None}}, {'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Abdurrahman', 'lineage': None, 'given': 'Abdurrahman'}}, {'name': {'family': 'Sukamto', 'lineage': None, 'honourific': None, 'given': 'Ismu'}, 'id': 'ismusukamto.11@gmail.com'}]",other,Hasil Review : How to Bring Computational Thinking Approach to The Non-Computer Science Student’s Class???,,19811,,2022-01-25 07:17:35,http://jurnal.fkip.unila.ac.id/index.php/JPF/article/view/22587,"[{'eprintid': 38299, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/159361', 'pos': 1, 'format': 'text', 'main': 'Review_JPF_Lengkap.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-01-25 04:11:59', 'objectid': 159361, 'filesize': 631548, 'filename': 'Review_JPF_Lengkap.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/434441', 'datasetid': 'document', 'fileid': 434441, 'hash': 'e65313f031a102dc3cb05fc5fcf8a6c6', 'mime_type': 'application/pdf'}], 'docid': 159361, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2022-01-25 07:17:35,archive,38299,show,,,Jurnal Pembelajaran Fisika,published,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV', 'name': {'given': 'Lungit', 'honourific': None, 'lineage': None, 'family': 'Wicaksono'}}, {'name': {'lineage': None, 'family': 'Mujiyati', 'honourific': None, 'given': 'Mujiyati'}, 'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",10.23960/jpf.v9.n1.202109,,,,,
5,none,2021-11-18 01:21:45,pub,5,"[{'url': 'https://ejournal.umm.ac.id/index.php/jurnalcivichukum/article/view/13907', 'type': 'pub'}]",['FKIP19'],Juruan Agribisnis Fakultas Pertanian Universitas Lampung,Jurnal Ilmu-Ilmu Agribisnis,disk0/00/03/69/43,b,6,http://repository.lppm.unila.ac.id/id/eprint/36943,2021-10-01 00:00:00.000000000,['L1'],"[{'id': 'ana.mentari@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Mentari', 'given': 'Ana'}}]",article,a,TRUE,3045,1,2021-11-18 01:21:45,https://ejournal.umm.ac.id/index.php/jurnalcivichukum/article/view/13907,,2021-11-18 01:21:45,archive,36943,show,43-47,,,published,,,,2337 7070,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'family': 'Mentari', 'lineage': None, 'honourific': None, 'given': 'Ana'}, 'id': 'ana.mentari@fkip.unila.ac.id'}, {'id': None, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': None, 'family': None, 'lineage': None, 'honourific': None}}]",,,,,,
6,public,2021-12-14 07:15:37,pub,9,,['FKIP19'],,EVELOPMENT OF DIGITAL-BASED STUDENT WORKSHEETS ON ANTI-CORRUPTION SUBJECTS AT SMKN 1 TULANG BAWANG TENGAH,disk0/00/03/73/03,"Corruption is a criminal act which is still a scourge for all countries in the world, including Indonesia. The lack of awareness of the Indonesian public regarding the value of honesty has made corruption an appropriate act. In addition, the Covid-19 pandemic that entered Indonesia posed a challenge for teachers to create fun and easy-to-understand learning by utilizing technology. One of them is anti-corruption education which can be provided to students by utilizing various websites and applications. The need for action from an early age on the dangers of corruption with outreach to students, especially with anti-corruption education that is applied to schools. Anti-corruption education aims to provide understanding or awareness to the intended subject regarding the dangers and impacts of corruption, both in formal and non-formal environments. The study of this article emphasizes the formal environment, namely SMKN 1 Tulang Bawang Tengah with the provision of provision of socialization about anti-corruption education and an evaluation of the process and results carried out through digital-based Student Worksheets.

Keywords: Education, Anti-Corruption, Digital-Based Student Worksheets.",,http://repository.lppm.unila.ac.id/id/eprint/37303,2021-12-14 00:00:00.000000000,['L1'],"[{'name': {'family': 'Mualimin', 'lineage': None, 'honourific': None, 'given': 'Mualimin'}, 'id': 'saudinsaudin@yahoo.co.id'}, {'name': {'family': 'Frimayanti', 'lineage': None, 'honourific': None, 'given': 'Ade Imelda'}, 'id': 'ade.imelda@fkip.unila.ac.id'}, {'id': 'dayurika.perdana@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Perdana', 'lineage': None, 'given': 'Dayu Rika'}}]",article,DEVELOPMENT OF DIGITAL-BASED STUDENT WORKSHEETS ON ANTI-CORRUPTION SUBJECTS AT SMKN 1 TULANG BAWANG TENGAH,TRUE,19245,,2021-12-14 07:15:37,,"[{'placement': 1, 'eprintid': 37303, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158207', 'security': 'public', 'main': 'ARTIKEL PENELITIAN DI SMKN 1 TULANG BAWANG TENGAH.docx', 'docid': 158207, 'files': [{'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash': 'a597c7bd76a1de0bb8218ac9eb0dc245', 'fileid': 426942, 'datasetid': 'document', 'mtime': '2021-12-14 04:15:03', 'hash_type': 'MD5', 'filename': 'ARTIKEL PENELITIAN DI SMKN 1 TULANG BAWANG TENGAH.docx', 'uri': 'http://repository.lppm.unila.ac.id/id/file/426942', 'filesize': 117980, 'objectid': 158207}], 'format': 'text', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'language': 'en', 'rev_number': 1}]",2021-12-14 07:15:37,archive,37303,show,,,,published,,,,,"[{'id': 'saudinsaudin@yahoo.co.id', 'name': {'given': 'Mualimin', 'lineage': None, 'family': 'Mualimin', 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'name': {'honourific': None, 'family': 'Frimayanti', 'lineage': None, 'given': 'Ade Imelda'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'ade.imelda@fkip.unila.ac.id'}, {'id': 'dayurika.perdana@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Perdana', 'given': 'Dayu Rika'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",,,,,,
7,public,2022-01-31 01:18:15,pub,9,,['FKIP19'],Graha Ilmu,,disk0/00/03/86/79,,,http://repository.lppm.unila.ac.id/id/eprint/38679,1970-01-01 00:00:00.000002021,['L1'],"[{'name': {'honourific': None, 'lineage': None, 'family': 'Perdana', 'given': 'Dayu Rika'}, 'id': 'dayurika.perdana@fkip.unila.ac.id'}, {'id': 'mohammad.monaadha@fkip.unila.ac.id', 'name': {'given': 'Muhammad Mona', 'family': 'Adha', 'lineage': None, 'honourific': None}}, {'id': 'rapani@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'RAPANI', 'lineage': None, 'given': 'RAPANI'}}, {'id': 'rhabibi615@gmail.com', 'name': {'lineage': None, 'family': 'Habibi', 'honourific': None, 'given': 'Roy Kembar'}}]",book,PEMBELAJARAN PENDIDIKAN KEWARGANEGARAAN SEKOLAH DASAR,TRUE,531,,2022-01-31 01:18:15,,"[{'placement': 1, 'eprintid': 38679, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159784', 'formatdesc': 'Buku Pembelajaran PKN SD', 'security': 'public', 'docid': 159784, 'main': 'Buku Pembelajaran PKN SD.pdf', 'files': [{'hash': 'f7d34425e3c343b8654bda54b8338328', 'mime_type': 'application/pdf', 'fileid': 437393, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/437393', 'filename': 'Buku Pembelajaran PKN SD.pdf', 'objectid': 159784, 'filesize': 703318, 'mtime': '2022-01-28 11:16:28', 'hash_type': 'MD5'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'id', 'rev_number': 2, 'content': 'published'}, {'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Buku Pembelajaran PKN SD.pdf', 'files': [{'filename': 'Buku Pembelajaran PKN SD.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/437395', 'filesize': 703318, 'objectid': 159785, 'mtime': '2022-01-28 11:20:18', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'f7d34425e3c343b8654bda54b8338328', 'fileid': 437395, 'datasetid': 'document'}], 'docid': 159785, 'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159785', 'eprintid': 38679, 'placement': 2}]",2022-01-31 01:18:15,archive,38679,show,,978-602-5584-84-8,Yogyakarta,published,,,,,,,mohammad.monaadha@fkip.unila.ac.id,153.0,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",,
8,public,2023-04-18 05:40:57,pub,7,,['FKIP19'],Graha Ilmu,,disk0_bak/00/05/06/36,,,http://repository.lppm.unila.ac.id/id/eprint/50636,2021-10-01 00:00:00.000000000,['L1'],"[{'id': 'dayurika.perdana@fkip.unila.ac.id', 'name': {'family': 'Perdana', 'lineage': None, 'honourific': None, 'given': 'Dayu Rika'}}, {'id': 'mohammad.monaadha@fkip.unila.ac.id', 'name': {'family': 'Adha', 'lineage': None, 'honourific': None, 'given': 'Muhammad Mona'}}, {'id': 'rapani@fkip.unila.ac.id', 'name': {'given': 'RAPANI', 'honourific': None, 'lineage': None, 'family': 'RAPANI'}}, {'name': {'given': 'Roy Kembar', 'family': 'Habibi', 'lineage': None, 'honourific': None}, 'id': 'rhabibi615@gmail.com'}]",book,Pembelajaran PKn SD,TRUE,19245,,2023-04-18 05:40:57,https://grahailmu.id/media-akademi/produk/pembelajaran-pendidikan-kewarganegaraan-sekolah-dasar/,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Pembelajaran PKN SD.pdf', 'docid': 190338, 'files': [{'mtime': '2023-04-18 04:23:33', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/545801', 'filename': 'Pembelajaran PKN SD.pdf', 'objectid': 190338, 'filesize': 1003022, 'mime_type': 'application/pdf', 'hash': '12fd17e178e24566034b7635cd3d3cd8', 'datasetid': 'document', 'fileid': 545801}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190338', 'eprintid': 50636, 'placement': 1}]",2023-04-18 05:40:57,archive,50636,show,,978-602-5584-84-8,Media Akademi,published,,,,,,,,,,,
9,public,2022-04-11 01:04:07,pub,8,,['FKIP19'],Jurnal Kognisi,Jurnal Penelitian Pendidikan Sekolah Dasar,disk0/00/04/11/87,"Tujuan penelitian ini untuk mendeskripsikan dan menganalisis hubungan pola asuh orang tua dan minat belajar dengan hasil belajar. Jenis penelitian yaitu ex-post facto korelasi. Populasi penelitian berjumlah 170 peserta didik. Penentuan sampel menggunakan teknik probability sampling yaitu proporsionate stratified random sampling. Hasil penelitian menunjukkan pertama, terdapat hubungan yang positif dan signifikan antara pola asuh orang tua dengan hasil belajar tematik peserta didik kelas IV SD Negeri se-Gugus Merpati Kecamatan Metro Utara. Hubungan tersebut ditunjukkan dengan koefisien korelasi sebesar 0,695 dengan kontribusi variabel sebesar 48,30% berada pada kriteria “tinggi”. Kedua, terdapat hubungan yang positif dan signifikan antara minat belajar dengan hasil belajar tematik peserta didik  ditunjukkan dengan koefisien korelasi sebesar dengan kontribusi variabel sebesar 41,09%. Ketiga, terdapat hubungan yang positif dan signifikan antara pola asuh orang tua dan minat belajar secara bersama-sama dengan hasil belajar tematik, ditunjukkan dengan koefisien korelasi sebesar 0,717 dengan kontribusi variabel sebesar 51,41 % berada pada kriteria “tinggi”",1,http://repository.lppm.unila.ac.id/id/eprint/41187,2021-08-01 00:00:00.000000000,"['AI', 'H1', 'L1']","[{'id': 'dayurika.perdana@fkip.unila.ac.id', 'name': {'given': 'Dayu Rika', 'honourific': None, 'family': 'Perdana', 'lineage': None}}, {'name': {'given': 'Indah', 'honourific': None, 'lineage': None, 'family': 'Mujiati'}, 'id': None}]",article,Hubungan Pola Asuh Orang Tua dan Minat Belajar dengan Hasil Belajar Tematik Peserta Didik,TRUE,19245,8,2022-04-11 01:04:07,https://journal.actual-insight.com/index.php/kognisi/article/view/510,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/162657', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 41187, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '510-Article Text-1244-1-10-20220218.pdf', 'docid': 162657, 'files': [{'objectid': 162657, 'filesize': 292335, 'filename': '510-Article Text-1244-1-10-20220218.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/457052', 'hash_type': 'MD5', 'mtime': '2022-04-09 00:17:20', 'datasetid': 'document', 'fileid': 457052, 'hash': '47cfe5f57aa641d10b445cebf66d54a5', 'mime_type': 'application/pdf'}], 'format': 'text'}]",2022-04-11 01:04:07,archive,41187,show,1-8,,,published,,,,,,,,,,,
