,rev_number,ispublished,status_changed,succeeds,full_text_status,divisions,dir,date,uri,patent_applicant,subjects,date_type,title,creators,type,documents,lastmod,userid,metadata_visibility,id_number,eprint_status,eprintid,datestamp,official_url,number,pagerange,refereed,volume,corp_creators,abstract,issn,publisher,publication,isbn,pages,book_title,series,related_url,contributors,place_of_pub,event_type,event_title,event_location,event_dates,pres_type
0,6,pub,2021-05-24 01:32:16,27905.0,public,['FKIP2'],disk0/00/03/04/24,2020-11-06 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/30424,EC00202046872,['L1'],published,Konseling Individual: Konsep dan Aplikasi,"[{'id': 'syarifuddin.d@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Dahlan', 'honourific': None, 'given': 'Syarifuddin'}}]",patent,"[{'placement': 1, 'eprintid': 30424, 'uri': 'http://repository.lppm.unila.ac.id/id/document/136830', 'pos': 1, 'security': 'public', 'main': 'sertifikat_EC00202046872-Syarifuddin_dahlan.pdf', 'files': [{'hash': 'e3268f7cf63479bda7c138313204fd45', 'mime_type': 'application/pdf', 'fileid': 360599, 'datasetid': 'document', 'mtime': '2021-02-16 05:26:07', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/360599', 'filename': 'sertifikat_EC00202046872-Syarifuddin_dahlan.pdf', 'filesize': 769992, 'objectid': 136830}], 'docid': 136830, 'format': 'text', 'rev_number': 3, 'language': 'ie', 'mime_type': 'application/pdf'}, {'uri': 'http://repository.lppm.unila.ac.id/id/document/136837', 'pos': 7, 'security': 'public', 'placement': 7, 'eprintid': 30424, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'filesize': 1564260, 'objectid': 136837, 'uri': 'http://repository.lppm.unila.ac.id/id/file/360621', 'filename': 'Nilai review HKI_Konseling Individual....pdf', 'hash_type': 'MD5', 'mtime': '2021-05-21 09:49:53', 'fileid': 360621, 'datasetid': 'document', 'hash': '0e08ff895da47bba4d98dfb0f93c6362', 'mime_type': 'application/pdf'}], 'main': 'Nilai review HKI_Konseling Individual....pdf', 'docid': 136837, 'format': 'text'}]",2021-05-24 01:32:16,815,show,219423,archive,30424,2021-05-24 01:32:16,,,,,,,,,,,,,,,,,,,,,,
1,5,pub,2021-04-15 10:24:39,29298.0,public,['FKIP2'],disk0/00/02/93/36,2020-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29336,,['LB'],published,Improve student career certainty using self-information: A career counseling in the school,"[{'id': 'syarifuddin.d@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Dahlan', 'lineage': None, 'given': 'Syarifuddin'}}, {'name': {'given': 'Evalia', 'honourific': None, 'family': 'Idris', 'lineage': None}, 'id': 'evaliaidris64@gmail.com'}, {'id': 'ekobkum@gmail.com', 'name': {'given': 'Eko', 'honourific': None, 'lineage': None, 'family': 'Susanto'}}]",article,"[{'placement': 1, 'eprintid': 29336, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43457', 'pos': 1, 'security': 'public', 'main': '5292-Article Text-22069-1-10-20201221.pdf', 'docid': 43457, 'files': [{'hash_type': 'MD5', 'mtime': '2021-04-13 02:41:18', 'filesize': 459103, 'objectid': 43457, 'uri': 'http://repository.lppm.unila.ac.id/id/file/259954', 'filename': '5292-Article Text-22069-1-10-20201221.pdf', 'datasetid': 'document', 'fileid': 259954, 'hash': 'f01a515a73260f09fec32a02f0d1856f', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf'}, {'uri': 'http://repository.lppm.unila.ac.id/id/document/43458', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 29336, 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Artikel CJES.pdf', 'files': [{'fileid': 259955, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '616e00dad9fe182e42bf14943b24787d', 'objectid': 43458, 'filesize': 2640517, 'filename': 'Artikel CJES.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/259955', 'hash_type': 'MD5', 'mtime': '2021-04-13 02:41:52'}], 'docid': 43458, 'format': 'text'}, {'placement': 3, 'eprintid': 29336, 'pos': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43459', 'security': 'public', 'main': 'Improve student career certainty using self-information A career counseling in the school.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-04-14 23:42:31', 'filesize': 3007980, 'objectid': 43459, 'filename': 'Improve student career certainty using self-information A career counseling in the school.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/259957', 'fileid': 259957, 'datasetid': 'document', 'hash': '31773e69494f3db8fd7fdc30cd58383b', 'mime_type': 'application/pdf'}], 'docid': 43459, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2021-04-15 10:24:39,815,show,,archive,29336,2021-04-15 10:24:39,http://www.cjes.eu/,6.0,1480-1494,TRUE,15.0,['Fakultas Keguruan dan Ilmu Pendidikan Universitas Lampung'],"This study aims to examine the effectiveness of counseling interventions using self-information to increase student career
certainty. This study was conducted with a quasi-experimental pre-test–post-test non-equivalent group design. The number
of subjects was 94 high school students, out of which 44 were male and 50 were female; the experimental group consisted of
39 people and the control group consisted of 55 people. The Self-information used in this study was provided through the
Self-Directed Career Exploration Inventory, while research data was obtained through the Career Plan Certainty Scale. The
results showed that career counseling services using self-information were effective in helping high school students to
increase their career choice certainty. The mean score of the students of the specialization group in the experimental group
increased and was significantly different from the mean score of the students in the control group. In addition, the mean
score for the study plans of male and female students was not significantly different.

Keywords: Career certainty, self-information, career counseling, career intervention.",1305-905X 13059076,Birlesik Dunya Yenilik Arastirma ve yayincilik Merkezi,Cypriot Journal of Educational Sciences,,,,,,,,,,,,
2,6,pub,2021-04-19 01:25:02,29349.0,public,['FKIP2'],disk0/00/02/94/34,2020-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29434,,['LB'],published,Improve student career certainty using self-information: A career counseling in the school,"[{'name': {'given': 'Syarifuddin', 'honourific': None, 'family': 'Dahlan', 'lineage': None}, 'id': 'syarifuddin.d@fkip.unila.ac.id'}, {'id': 'evaliaidris64@gmail.com', 'name': {'honourific': None, 'family': 'Idris', 'lineage': None, 'given': 'Evalia'}}, {'id': 'ekobkum@gmail.com', 'name': {'lineage': None, 'family': 'Susanto', 'honourific': None, 'given': 'Eko'}}]",article,"[{'format': 'text', 'docid': 43575, 'main': '5292-Article Text-22069-1-10-20201221.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-04-13 02:41:18', 'objectid': 43575, 'filesize': 459103, 'filename': '5292-Article Text-22069-1-10-20201221.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/260757', 'fileid': 260757, 'datasetid': 'document', 'hash': 'f01a515a73260f09fec32a02f0d1856f', 'mime_type': 'application/pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 3, 'eprintid': 29434, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43575'}, {'placement': 2, 'eprintid': 29434, 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43576', 'security': 'public', 'main': 'Artikel CJES.pdf', 'docid': 43576, 'files': [{'hash_type': 'MD5', 'mtime': '2021-04-13 02:41:52', 'objectid': 43576, 'filesize': 2640517, 'uri': 'http://repository.lppm.unila.ac.id/id/file/260758', 'filename': 'Artikel CJES.pdf', 'datasetid': 'document', 'fileid': 260758, 'hash': '616e00dad9fe182e42bf14943b24787d', 'mime_type': 'application/pdf'}], 'format': 'text', 'rev_number': 3, 'language': 'en', 'mime_type': 'application/pdf'}, {'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 43578, 'main': 'Improve_student_career_certainty_using_self_inform_compressed_compressed.pdf', 'files': [{'hash': 'e633ece9ed5b28cac74a3c64e215953f', 'mime_type': 'application/pdf', 'fileid': 260762, 'datasetid': 'document', 'filename': 'Improve_student_career_certainty_using_self_inform_compressed_compressed.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/260762', 'objectid': 43578, 'filesize': 1354087, 'mtime': '2021-04-17 09:04:16', 'hash_type': 'MD5'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43578', 'pos': 3, 'eprintid': 29434, 'placement': 3}]",2021-04-19 01:25:02,815,show,,archive,29434,2021-04-19 01:25:02,http://www.cjes.eu/,6.0,1480-1494,TRUE,15.0,['Fakultas Keguruan dan Ilmu Pendidikan Universitas Lampung'],"This study aims to examine the effectiveness of counseling interventions using self-information to increase student career
certainty. This study was conducted with a quasi-experimental pre-test–post-test non-equivalent group design. The number
of subjects was 94 high school students, out of which 44 were male and 50 were female; the experimental group consisted of
39 people and the control group consisted of 55 people. The Self-information used in this study was provided through the
Self-Directed Career Exploration Inventory, while research data was obtained through the Career Plan Certainty Scale. The
results showed that career counseling services using self-information were effective in helping high school students to
increase their career choice certainty. The mean score of the students of the specialization group in the experimental group
increased and was significantly different from the mean score of the students in the control group. In addition, the mean
score for the study plans of male and female students was not significantly different.

Keywords: Career certainty, self-information, career counseling, career intervention.",1305-905X 13059076,Birlesik Dunya Yenilik Arastirma ve yayincilik Merkezi,Cypriot Journal of Educational Sciences,,,,,,,,,,,,
3,10,pub,2021-04-15 10:24:43,,public,['FKIP2'],disk0/00/02/93/38,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/29338,,['LB'],published,"Analysis of Mathematical Communication Skills of
Junior High School Students Reviewed from Gender 
and School Origin","[{'id': None, 'name': {'given': 'Puji', 'honourific': None, 'family': 'Hayati', 'lineage': None}}, {'id': 'sugeng.sutiarso@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Sutiarso', 'given': 'Sugeng'}}, {'name': {'given': 'Syarifuddin', 'honourific': None, 'lineage': None, 'family': 'Dahlan'}, 'id': 'syarifuddin.d@fkip.unila.ac.id'}]",book_section,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 43463, 'main': '125937552.pdf', 'files': [{'hash': 'fe07e129a12e68b034104d6d58c7288b', 'mime_type': 'application/pdf', 'fileid': 259967, 'datasetid': 'document', 'mtime': '2021-04-14 23:54:54', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/259967', 'filename': '125937552.pdf', 'filesize': 351067, 'objectid': 43463}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43463', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 29338}, {'format': 'text', 'docid': 43464, 'main': 'Prosiding ICOPE.pdf', 'files': [{'filesize': 2751927, 'objectid': 43464, 'filename': 'Prosiding ICOPE.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/259969', 'hash_type': 'MD5', 'mtime': '2021-04-14 23:55:25', 'fileid': 259969, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '7bd8119723a4a99aa6f11dca62e1acab'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 29338, 'placement': 2, 'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43464'}, {'eprintid': 29338, 'placement': 3, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43465', 'pos': 3, 'format': 'text', 'files': [{'hash': 'decf3f97f6571a1f1feda0b672109bf0', 'mime_type': 'application/pdf', 'fileid': 259971, 'datasetid': 'document', 'filename': 'Analysis of Mathematical Communication Skills of Junior High School Students Reviewed from Gender and School Origin(1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/259971', 'objectid': 43465, 'filesize': 1507344, 'mtime': '2021-04-14 23:56:00', 'hash_type': 'MD5'}], 'main': 'Analysis of Mathematical Communication Skills of Junior High School Students Reviewed from Gender and School Origin(1).pdf', 'docid': 43465, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2021-04-15 10:24:43,815,show,,archive,29338,2021-04-15 10:24:43,https://www.atlantis-press.com/proceedings/icope-19/sessions/3311,,147-151,TRUE,422.0,['Fakultas Keguruan dan Ilmu Pendidikan Universitas Lampung'],"This study aims to analyze and describe the
mathematical communication skills of junior high school
students reviewed from gender and school origin. This
reaserch is a qualitative descriptive study, with the subject
of the study being the eighth grade students of Pasir Sakti
State 2 Junior High School, which subject of study eight
students, namely 4 students from State elementary schools
(2 males and 2 females) and 4 students from Private
elementary  schools (2 males and 2 females). The data
collection technique was mathematical communication
skills tests used the data presentation material consisting
two questions. The research data was collected by
researchers directly. Technique of data analysis in this
study are Data Reduction, Data Display, and Conclusions
Drawing/Verification. The results showed: The
mathematical communication skills of junior high school
students overall are (1) The ability of female students
were higher than male students with a difference of
11.11%. (2) The ability of students from public
elementary schools were higher than students from
private elementary schools with a difference of 2.78%. (3)
The ability of students in Drawing aspect were higher
than Written Text aspect, and Mathematical Expression
aspect. 
Keywords: mathematical communication skills, gender,
school origin",978-94-6252-938-0/ 2352-5398,Atlantis Press SARL,"Advances in Social Science, Education and Humanities Research",978-94-6252-938-0,6.0,Proceedings of the International Conference on Progressive Education (ICOPE 2019),"Advances in Social Science, Education and Humanities Research",,,,,,,,
4,7,pub,2023-01-30 04:34:21,,public,['FKIP2'],disk0_bak/00/04/81/62,2020-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/48162,,['L1'],published,ARAKTERISTIK KONSELOR PADA CALON KONSELOR BERDASARKAN PERBEDAAN KELOMPOK GENDER,"[{'id': 'shinta.mayasari@fkip.unila.ac.id', 'name': {'given': 'Shinta', 'honourific': None, 'family': 'Mayasari', 'lineage': None}}]",other,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'image/jpeg', 'main': 'Karakteristik konselor pada calon konselor berdasarkan perbedaan kelompok gender.jpeg', 'docid': 187394, 'files': [{'datasetid': 'document', 'fileid': 526453, 'mime_type': 'image/jpeg', 'hash': '72e06995f10656b13479858f2b6ae22b', 'objectid': 187394, 'filesize': 130985, 'filename': 'Karakteristik konselor pada calon konselor berdasarkan perbedaan kelompok gender.jpeg', 'uri': 'http://repository.lppm.unila.ac.id/id/file/526453', 'hash_type': 'MD5', 'mtime': '2023-01-30 02:42:51'}], 'format': 'image', 'uri': 'http://repository.lppm.unila.ac.id/id/document/187394', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 48162}]",2023-01-30 04:34:21,20,show,,archive,48162,2023-01-30 04:34:21,http://ejurnalmalahayati.ac.id/index.php/PSIKOLOGI/article/view/3023,,,,,,"Konselor yang berkualitas akan menentukan keberhasilan proses konseling. Tiga karakteristik yang diperlukan dan menentukan kualitas konselor, yaitu: (1) congruence (otentik), (2) unconditional positive regard (penerimaan), dan (3) empathy (empati). Penelitian ini bertujuan untuk melihat gambaran karakteristik konselor berdasarkan kelompok gender. Sampel penelitian merupakan 68 mahasiswa calon konselor yang dibagi berdasarkan kelompok gender. Alat ukur menggunakan tes karakteristik konselor yang dikembangkan dengan menggunakan pernyataan kontroversial dengan alternatif jawaban skala Likert. Hasil penelitian menemukan ada perbedaan yang signifikan dalam karakteristik konselor pada mahasiswa program studi bimbingan dan konseling berdasarkan perbedaan kelompok gender. Ada perbedaan yang signifikan antara kebutuhan pengembangan program pendidikan dan pelatihan konselor yang efektif bagi mahasiswa laki-laki dan perempuan. Pengembangan karakteristik congruence lebih dibutuhkan untuk mahasiswa laki-laki, sementara mahasiswa perempuan pada karakteristik unconditional positive regard. Jumlah sampel yang lebih besar diperlukan untuk meningkatkan heterogenitas, dan melakukan wawancara tambahan secara individual untuk memperdalam diskusi.


Kata kunci: karakteristik konselor, gender, pengukuran empati, instrumen psikologi.",,Jurnal Psikologi Malahayati,,,,,,,,,,,,,
5,8,pub,2021-06-04 01:37:24,,none,['FKIP2'],disk0/00/03/19/91,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/31991,,['BF'],published,COUNSELOR CHARACTERISTIC AMONG CANDIDATED COUNSELOR BASED ON GENDER GROUP DIFFERENCES,"[{'name': {'family': 'Mayasari', 'lineage': None, 'honourific': None, 'given': 'Shinta'}, 'id': 'shinta.mayasari@fkip.unila.ac.id'}]",article,,2021-06-04 01:37:24,20,show,,archive,31991,2021-06-04 01:37:24,http://ejurnalmalahayati.ac.id/index.php/PSIKOLOGI/article/view/3023,2.0,,TRUE,2.0,['Universitas Lampung'],"A qualified counselor will determine the success of the counseling process. Three characteristics are needed and determine the quality of a counselor, namely: (1) congruence (authentic), (2) unconditional positive regard (acceptance), and (3) empathy (empathy). This study aims to describe the characteristics of counselors based on gender groups. The research sample consisted of 68 prospective counselor students who were divided into gender groups. The measuring instrument uses a counselor characteristic test developed using controversial statements with alternative Likert scale answers. The results of the study found that there were significant differences in the characteristics of counselors among students of the guidance and counseling study program based on differences in gender groups. There is a significant difference between the need to develop educational programs and effective counselor training for male and female students. The development of congruence characteristics is more needed for male students, while female students on the characteristics of unconditional positive regard. A larger sample size is needed to increase heterogeneity, and additional interviews are conducted individually to deepen the discussion.",,Universitas Malahayati,Jurnal Psikologi Malahayati,,,,,"[{'url': 'http://ejurnalmalahayati.ac.id/index.php/PSIKOLOGI/article/view/3023', 'type': 'pub'}]","[{'name': {'given': 'shinta', 'honourific': None, 'lineage': None, 'family': 'mayasari'}}]",,,,,,
6,7,pub,2023-01-30 10:47:37,,public,['FKIP2'],disk0_bak/00/04/81/86,2020-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/48186,,['L1'],published,KARAKTERISTIK KONSELOR PADA CALON KONSELOR BERDASARKAN PERBEDAAN KELOMPOK GENDER,"[{'name': {'given': 'Shinta', 'honourific': None, 'family': 'Mayasari', 'lineage': None}, 'id': 'shinta.mayasari@fkip.unila.ac.id'}]",other,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/187421', 'pos': 1, 'eprintid': 48186, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 187421, 'main': 'karakteristik konselor.pdf', 'files': [{'datasetid': 'document', 'fileid': 526648, 'mime_type': 'application/pdf', 'hash': '99e0e4fe54e704b607135fb3f7845630', 'filesize': 1543186, 'objectid': 187421, 'uri': 'http://repository.lppm.unila.ac.id/id/file/526648', 'filename': 'karakteristik konselor.pdf', 'hash_type': 'MD5', 'mtime': '2023-01-30 08:18:05'}]}]",2023-01-30 10:47:37,20,show,,archive,48186,2023-01-30 10:47:37,http://ejurnalmalahayati.ac.id/index.php/PSIKOLOGI/article/view/3023,,,,,,"A qualified counselor will determine the success of the counseling process. Three characteristics are needed and determine the quality of a counselor, namely: (1) congruence (authentic), (2) unconditional positive regard (acceptance), and (3) empathy (empathy). This study aims to describe the characteristics of counselors based on gender groups. The research sample consisted of 68 prospective counselor students who were divided into gender groups. The measuring instrument uses a counselor characteristic test developed using controversial statements with alternative Likert scale answers. The results of the study found that there were significant differences in the characteristics of counselors among students of the guidance and counseling study program based on differences in gender groups. There is a significant difference between the need to develop educational programs and effective counselor training for male and female students. The development of congruence characteristics is more needed for male students, while female students on the characteristics of unconditional positive regard. A larger sample size is needed to increase heterogeneity, and additional interviews are conducted individually to deepen the discussion.
Key words: counselor characteristics, gender, measurement of emphaty, psychological instrument.",,Jurnal Psikologi Malahayati,,,,,,,,,,,,,
7,7,pub,2023-02-02 07:51:37,,public,['FKIP2'],disk0_bak/00/04/82/62,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/48262,,['L1'],published,KARAKTERISTIK KONSELOR PADA CALON KONSELOR BERDASARKAN PERBEDAAN KELOMPOK GENDER,"[{'id': 'shinta.mayasari@fkip.unila.ac.id', 'name': {'given': 'Shinta', 'honourific': None, 'lineage': None, 'family': 'Mayasari'}}]",other,"[{'placement': 1, 'eprintid': 48262, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187522', 'pos': 1, 'security': 'public', 'main': '3 Karakteristik konselor.pdf', 'docid': 187522, 'files': [{'hash_type': 'MD5', 'mtime': '2023-02-02 03:18:45', 'filesize': 1372250, 'objectid': 187522, 'uri': 'http://repository.lppm.unila.ac.id/id/file/527254', 'filename': '3 Karakteristik konselor.pdf', 'datasetid': 'document', 'fileid': 527254, 'mime_type': 'application/pdf', 'hash': '1ec774a0635aaa71f93c591be6207c7b'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2023-02-02 07:51:37,20,show,,archive,48262,2023-02-02 07:51:37,http://ejurnalmalahayati.ac.id/index.php/PSIKOLOGI/article/view/3023,,,,,,"A qualified counselor will determine the success of the counseling process. Three characteristics are needed and determine the quality of a counselor, namely: (1) congruence (authentic), (2) unconditional positive regard (acceptance), and (3) empathy (empathy). This study aims to describe the characteristics of counselors based on gender groups. The research sample consisted of 68 prospective counselor students who were divided into gender groups. The measuring instrument uses a counselor characteristic test developed using controversial statements with alternative Likert scale answers. The results of the study found that there were significant differences in the characteristics of counselors among students of the guidance and counseling study program based on differences in gender groups. There is a significant difference between the need to develop educational programs and effective counselor training for male and female students. The development of congruence characteristics is more needed for male students, while female students on the characteristics of unconditional positive regard. A larger sample size is needed to increase heterogeneity, and additional interviews are conducted individually to deepen the discussion.",,Jurnal Psikologi Malahayati,,,,,,,,http://ejurnalmalahayati.ac.id/index.php/PSIKOLOGI/article/view/3023,,,,,
8,7,pub,2023-02-03 02:41:01,,public,['FKIP2'],disk0_bak/00/04/82/76,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/48276,,['L1'],published,KARAKTERISTIK KONSELOR PADA CALON KONSELOR BERDASARKAN PERBEDAAN KELOMPOK GENDER,"[{'name': {'given': 'Shinta', 'family': 'Mayasari', 'lineage': None, 'honourific': None}, 'id': 'shinta.mayasari@fkip.unila.ac.id'}]",other,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 187542, 'main': 'korespondensi malahayati.pdf', 'files': [{'mtime': '2023-02-02 13:41:19', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/527374', 'filename': 'korespondensi malahayati.pdf', 'filesize': 1130998, 'objectid': 187542, 'mime_type': 'application/pdf', 'hash': '8ccb5d591219d8f0046ff4bff5f4cd84', 'datasetid': 'document', 'fileid': 527374}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187542', 'eprintid': 48276, 'placement': 1}]",2023-02-03 02:41:01,20,show,,archive,48276,2023-02-03 02:41:01,http://ejurnalmalahayati.ac.id/index.php/PSIKOLOGI/article/view/3023,,,,,,"A qualified counselor will determine the success of the counseling process. Three characteristics are needed and determine the quality of a counselor, namely: (1) congruence (authentic), (2) unconditional positive regard (acceptance), and (3) empathy (empathy). This study aims to describe the characteristics of counselors based on gender groups. The research sample consisted of 68 prospective counselor students who were divided into gender groups. The measuring instrument uses a counselor characteristic test developed using controversial statements with alternative Likert scale answers. The results of the study found that there were significant differences in the characteristics of counselors among students of the guidance and counseling study program based on differences in gender groups. There is a significant difference between the need to develop educational programs and effective counselor training for male and female students. The development of congruence characteristics is more needed for male students, while female students on the characteristics of unconditional positive regard. A larger sample size is needed to increase heterogeneity, and additional interviews are conducted individually to deepen the discussion.",,Jurnal Psikologi Malahayati,,,,,,,,http://ejurnalmalahayati.ac.id/index.php/PSIKOLOGI/article/view/3023,,,,,
9,7,pub,2021-05-30 15:36:17,,public,['FKIP2'],disk0/00/03/13/91,2020-09-30 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/31391,,['L1'],published,A comparison of accountability models in school counseling programs,"[{'name': {'honourific': None, 'family': 'Mujiyati', 'lineage': None, 'given': 'Mujiyati'}, 'id': 'mujiyati@fkip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Mayasari', 'lineage': None, 'given': 'Shinta'}, 'id': 'shinta.mayasari@fkip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Adiputra', 'honourific': None, 'given': 'Sofwan'}, 'id': 'sofwan@konselor.org'}]",article,"[{'eprintid': 31391, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/141870', 'pos': 1, 'format': 'text', 'docid': 141870, 'main': 110561, 'files': [{'mtime': '2021-05-30 12:20:33', 'hash_type': 'MD5', 'filename': 110561, 'uri': 'http://repository.lppm.unila.ac.id/id/file/371873', 'objectid': 141870, 'filesize': 51418, 'mime_type': 'text/html', 'hash': '9602e092abcd117a5bba8c31c6feb71b', 'fileid': 371873, 'datasetid': 'document'}], 'content': 'published', 'language': 'en', 'rev_number': 3, 'mime_type': 'text/html'}]",2021-05-30 15:36:17,2786,show,https://doi.org/10.24036/0202093110561-0-00,archive,31391,2021-05-30 15:36:17,http://ejournal.unp.ac.id/index.php/konselor/article/view/110561,3.0,117-124,TRUE,9.0,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Muhammadiyah Pringsewu']","The purpose of this study is to analyze the strengths and weaknesses of each accountability evaluation model, in order to make counseling programs easier for counselors to carry out. The method used was qualitative research, which focuses on meanings, definitions, characteristics, symbols and explanations of the concepts learned. The research data was collected through literature reviews and document analysis. In this study, descriptive document analysis methods were also used in data measurement. Descriptive analysis method aims to test the facts and meanings of a research systematically. This model was formed based on different initial goals in the implementation of counseling services. Moreover, Accountability Evaluation Models of School Counseling Program has each of its advantages and disadvantages. The counselor should choose part of the models which is appropriate to the situation and easy to implement in the school, in order for the implementation processes of the institution counseling program to be measured and planned in the future.",2541-5948,Universitas Negeri Padang,Konselor,,,,,"[{'type': 'pub', 'url': 'http://ejournal.unp.ac.id/index.php/konselor/article/view/110561'}]",,,,,,,
