,datestamp,eprintid,eprint_status,metadata_visibility,userid,lastmod,documents,pres_type,creators,type,title,event_dates,refereed,event_location,subjects,event_title,abstract,uri,divisions,dir,event_type,full_text_status,status_changed,rev_number,ispublished,publisher,isbn,place_of_pub,official_url,pages,number,series,date_type,volume,corp_creators,publication,pagerange,referencetext,id_number,issn,related_url
0,2017-06-02 07:40:32,2511,archive,show,140,2017-06-02 07:40:32,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/2396', 'pos': 1, 'eprintid': 2511, 'placement': 1, 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'format': 'text', 'docid': 2396, 'main': 'Ethnopedagogy Proceeding_Abdurrahman.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/17379', 'filename': 'Ethnopedagogy Proceeding_Abdurrahman.pdf', 'objectid': 2396, 'filesize': 1975674, 'mtime': '2017-05-31 06:52:25', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'b8e97b4fa1a39636aec1427db4b10686', 'datasetid': 'document', 'fileid': 17379}]}]",paper,"[{'name': {'given': 'Abdurrahman', 'honourific': None, 'family': 'Abdurrahman', 'lineage': None}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'id': 'diahutaminingsih@yahoo.co.id', 'name': {'honourific': None, 'family': 'Utaminingsih', 'lineage': None, 'given': 'Diah'}}, {'name': {'given': 'Budi', 'lineage': None, 'family': 'Kadaryanto', 'honourific': None}, 'id': 'kadaryanto@gmail.com'}, {'name': {'honourific': None, 'family': 'Saputra', 'lineage': None, 'given': 'Andrian'}, 'id': 'andriansaputra@fkip.unila.ac.id'}]",conference_item,The Learning Community Based Model In The Context Of Teacher-Parent Partnership For Preparing Post-Disaster Recovery And Resilience Of Elementary Student At Risk Area In Indonesia.,14 November 2015,TRUE,Faculty of Teacher Training and Education Lambung Mangkurat University,"['BF', 'LB']",International Seminar on Ethnopedagogy,"The frequent disaster events in Indonesia have been a major challenge for concerning more consideration on integrating disaster education curricula'. Models of Learning Community to enhance the students' disaster recovery and resilience have been criticized for not being embedded in the context of partnership between school and society. This paper highlighted an adapted Learning Community model, which the qualitative investigations indicated that it was potentially effective in facilitating students' disaster literacy, attitudes and skills for preparing post-disaster recovery and resilience in the context of learning community approach. The role shift needed to embed and extend the optimalization of teacher-parents involved in the school program that was achieved through the positive support and commitment of them in the engaging of schools program development.",http://repository.lppm.unila.ac.id/id/eprint/2511,['FKIP2'],disk0/00/00/25/11,conference,public,2017-06-02 07:40:32,11,pub,,,,,,,,,,,,,,,,
1,2021-06-14 06:08:16,32548,archive,show,815,2021-06-14 06:08:16,"[{'docid': 147817, 'main': 'Reviewer pada 2 jurnal internasional bereputasi.pdf', 'files': [{'filesize': 1907140, 'objectid': 147817, 'uri': 'http://repository.lppm.unila.ac.id/id/file/385204', 'filename': 'Reviewer pada 2 jurnal internasional bereputasi.pdf', 'hash_type': 'MD5', 'mtime': '2021-06-14 04:18:10', 'datasetid': 'document', 'fileid': 385204, 'mime_type': 'application/pdf', 'hash': 'e4579c7b47a98b8483c0aa54fa99744a'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 32548, 'uri': 'http://repository.lppm.unila.ac.id/id/document/147817', 'pos': 1, 'security': 'public'}]",,"[{'id': 'syarifuddin.d@fkip.unila.ac.id', 'name': {'given': 'Syarifuddin', 'honourific': None, 'lineage': None, 'family': 'Dahlan'}}]",other,REVIEWER PADA DUA JURNAL INTERNASIONAL BEREPUTASI,,,,['L1'],,,http://repository.lppm.unila.ac.id/id/eprint/32548,['FKIP2'],disk0/00/03/25/48,,public,2021-06-14 06:08:16,8,pub,FKIP Universitas Lampung,,,,,,,,,,,,,,,
2,2021-06-18 01:50:00,32655,archive,show,815,2021-06-18 01:50:00,"[{'placement': 1, 'eprintid': 32655, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148355', 'pos': 1, 'security': 'public', 'main': 'Permintaan reviewer, bukti review dan publikasi artike IJI_2019.pdf', 'files': [{'datasetid': 'document', 'fileid': 386382, 'mime_type': 'application/pdf', 'hash': 'bf216e3abdb3b1f88f12b14e4db73dc5', 'hash_type': 'MD5', 'mtime': '2021-06-17 09:09:10', 'objectid': 148355, 'filesize': 1192678, 'filename': 'Permintaan reviewer, bukti review dan publikasi artike IJI_2019.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/386382'}], 'docid': 148355, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",,"[{'id': 'syarifuddin.d@fkip.unila.ac.id', 'name': {'given': 'Syarifuddin', 'family': 'Dahlan', 'lineage': None, 'honourific': None}}]",other,Reviewer pada International Journal of Instruction,,,,['L1'],,,http://repository.lppm.unila.ac.id/id/eprint/32655,['FKIP2'],disk0/00/03/26/55,,public,2021-06-18 01:50:00,7,pub,FKIP Universitas Lampung,,,,,,,,,,,,,,,
3,2020-12-16 01:53:38,4300,archive,show,815,2020-12-16 01:53:38,"[{'format': 'text', 'docid': 41126, 'main': 'PROSIDING2013f.pdf', 'files': [{'datasetid': 'document', 'fileid': 243066, 'hash': '44345357d58938853f7e1b0918fc4002', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-12-16 01:07:13', 'objectid': 41126, 'filesize': 320942, 'uri': 'http://repository.lppm.unila.ac.id/id/file/243066', 'filename': 'PROSIDING2013f.pdf'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'eprintid': 4300, 'placement': 1, 'security': 'public', 'formatdesc': 'Prosiding seminar nasional pendidikan', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41126'}]",,"[{'id': 'syarifuddin.d@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Dahlan', 'given': 'Syarifuddin'}}]",book,"THE VOCATIONAL PERSONALITY PROFILE OF THE HIGH SCHOOL STUDENT:
A Classification According Holland’s Categories",,TRUE,,['LB1603'],,"Role of the vocational personality to determine individual’s succesfull in the his or her career is so long recognized. It has significant effect to job satisfiction of people career. Becase of that, helping the student to understand his or her vocational personality pattern is important part of the career counseling and guidance service in the schools. This study has investigated vocational personality pattern of the high school students according sexes: female and feminime, and study program: IPA and IPS classification to Holland’s category: Realistic, Investigative, Artistic, Social, Enterprising, and Conventional (RIASEC). Result of study was indicate that vocational personality type is diversities, both the pattern or subtypes of the female or feminime students. The general pattern of the student’s  vocational personality is IAR (Investigative, Artistic, Realistic). Further discussion of the researh findings are presented in this article.",http://repository.lppm.unila.ac.id/id/eprint/4300,['FKIP2'],disk0/00/00/43/00,,public,2020-12-16 01:53:38,19,pub,FKIP Universitas Lampung,978-979-3262-09-3,Bandar Lampung,http://repository.lppm.unila.ac.id/id/eprint/4300,223.0,-,5 Januari 2013,published,-,,,,,,,
4,2021-11-11 08:44:32,36170,archive,show,815,2021-11-11 08:44:32,"[{'placement': 1, 'eprintid': 36170, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157112', 'security': 'public', 'files': [{'datasetid': 'document', 'fileid': 418731, 'mime_type': 'application/pdf', 'hash': 'ccb4e2f9c3d8ef118258121a465c1f6f', 'hash_type': 'MD5', 'mtime': '2021-11-11 08:17:23', 'filesize': 1044399, 'objectid': 157112, 'filename': 'Syarifuddin D_FKIP_PKMU_Laporan Akhir.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/418731'}], 'main': 'Syarifuddin D_FKIP_PKMU_Laporan Akhir.pdf', 'docid': 157112, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",,"[{'id': 'syarifuddin.d@fkip.unila.ac.id', 'name': {'family': 'Dahlan', 'lineage': None, 'honourific': None, 'given': 'Syarifuddin'}}, {'id': 'ranni.rahmayanthi@fkip.unila.ac.id', 'name': {'given': 'Ranni', 'honourific': None, 'lineage': None, 'family': 'Rahmayanthi'}}, {'name': {'given': 'Mujiyati', 'family': 'Mujiyati', 'lineage': None, 'honourific': None}, 'id': 'mujiyati@fkip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Abriani Maharani', 'honourific': None, 'given': 'Citra'}, 'id': None}]",other,"Pelatihan Penggunaan Informasi Diri dalam Konseling Karier pada  
  Guru-guru  Bimbingan dan Konseling Sekolah Menengah di 
  Kabupaten Tanggamus.",,,,['L1'],,"PELATIHAN PENGGUNAAN INFORMASI DIRI DALAM KONSELING KARIER PADA GURU-GURU BIMBINGAN DAN KONSELING SEKOLAH MENENGAH DI KABUPATEN TANGGAMUS

Syarifuddin Dahlan, Citra Abrani M, Ranni Rahmayanthi Z, dan Mujiati

ABSTRAK

Guru Bimbingan dan Konseling (Guru BK) di sekolah dituntut agar terampil dalam menyediakan berbagai informasi yang diperlukan bagi layanannya, terutama informasi diri. Kegiatan pengabdian ini bertujuan ingin membekali peserta pelatihan suatu keterampilan menggunakan informasi diri, khususnya dalam konseling karier. 
Kegiatan telah dilaksanakan pada Tahun 2021 di Kabupaten Tanggamus dengan peserta 36 orang Guru BK sekolah menengah, baik dari negeri maupun swasta. Kegiatan pelatihan telah diawali dengan pemberian bekal cara penggunaan inventori dalam menjaring informasi diri, mulai dari pemahaman konsep dasar, petunjuk pelaksanaan, dan organisasi hasil yang siap digunakan dalam pelayanan konseling karier. Evaluasi atas kegiatan ini dilakukan dengan berorientasi proses dan hasil. Evaluasi hasil akan menggunakan Skala Keterampilan Konselor dalam penyelenggaraan konseling karier.
Secara umum hasil evaluasi kegiatan menunjukan bahwa semua peserta telah terlibat secara aktif pada seluruh rangkaian kegiatan pelatihan, baik ketika pembekalan materi maupun  praktik lapangan terbimbing. Selanjutnya, dengan menggunakan Skala Keterampilan Konseling (SKK) pada evaluasi hasil, diperoleh informasi bahwa pada umumnya peserta pelatihan sudah terampil dalam menggunakan informasi diri dalam konseling karier di sekolah menengah, khususnya dalam membantu siswa menemukan dan memantapkan rencana pilihan karier. Meskipun secara rerata skor keterampilan peserta ada pada kategori “Cukup Terampil”, namun dapat disimpulkan bahwa tujuan pelatihan ini telah tercapai.
Untuk tindak lanjut kegiatan pelatihan ini disarankan kepada peserta pelatihan agar (1) senantiasa mengaplikasikan keterampilan yang telah diperoleh, (2) mendalami materi penggunaan informasi diri dalam konseling karier  secara lebih jauh, (3) memperkenalkan cara layanan konseling karier ini kepada para pengambil kebijakan pendidikan, baik pada tingkat sekolah seperti para kepala sekolah maupun pada tataran dinas-dinas pendidikan. Upaya ini sangat berguna, selain untuk maksud sosialiasi, juga sekaligus untuk keperluan dukungan bagi aplikasi model konseling di lapangan. Bagi kegiatan pengabdian lanjutan disarankan agar pelatihan konseling semacam ini dilakukan secara berkelanjutan dengan khalayak sasaran yang diperluas sehingga dapat dikenakan kepada semua guru pembing yang ada di sekolah-sekolah menengah, baik sekolah menengah pertama maupun lanjutan. 

Kata kunci: Informasi diri, konseling karier, Guru BK, sekolah menengah.",http://repository.lppm.unila.ac.id/id/eprint/36170,['FKIP2'],disk0/00/03/61/70,,public,2021-11-11 08:44:32,7,unpub,Fakultas Keguruan dan Ilmu Pendidikan Unila,,,,,,,,,,,,,,,
5,2021-11-11 08:43:48,36153,archive,show,815,2021-11-11 08:43:48,"[{'main': 'Syarifuddin D_FKIP_PPr_Laporan Akhir.pdf', 'files': [{'mtime': '2021-11-11 07:55:23', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/418595', 'filename': 'Syarifuddin D_FKIP_PPr_Laporan Akhir.pdf', 'objectid': 157094, 'filesize': 260774, 'hash': 'ef994df2267b7dbbb9dda98a9d705a97', 'mime_type': 'application/pdf', 'fileid': 418595, 'datasetid': 'document'}], 'docid': 157094, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 36153, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157094', 'pos': 1, 'security': 'public'}]",,"[{'id': 'syarifuddin.d@fkip.unila.ac.id', 'name': {'given': 'Syarifuddin', 'honourific': None, 'lineage': None, 'family': 'Dahlan'}}, {'name': {'given': 'Sugeng', 'honourific': None, 'family': 'Sutiarso', 'lineage': None}, 'id': 'sugeng.sutiarso@fkip.unila.ac.id'}, {'id': None, 'name': {'lineage': None, 'family': 'Hermawan', 'honourific': None, 'given': 'Rahmat'}}, {'name': {'given': 'Patuan', 'lineage': None, 'family': 'Raja', 'honourific': None}, 'id': 'raja_pid@yahoo.com'}]",other,"Kriteria dan Prediksi Capaian Penjurusan Studi di SMA Berbasis 
         Kesesuaian Tipe Kepribadian - Kelompok Mata Pelajaran",,,,['L1'],,"Kriteria dan Prediksi Capaian Penjurusan Studi di SMA Berbasis
Kesesuaian Tipe Kepribadian - Kelompok Mata Pelajaran

Syarifuddin Dahlan, Sugeng Sutiarso, Rahmat Hermawan, Patuan Raja

ABSTRAK

Pemilihan jurusan studi di sekolah menengah menuntut adanya kecocokkan antara diri dan kelompok mata pelajaran pilihan siswa, namun hingga kini bukti emperik tentang pertimbangan efektif dalam penjurusan itu masih langka. Studi ini bertujuan ingin merumuskan kriteria penjurusan studi dan memeriksa nilai prediksi capaian belajar siswa SMA berbasis kesesuaian antara tipe kepribadian – kelompok mata pelajaran pilihan siswa. 
Penelitian dilaksanakan di sekolah menengah pada tahun 2021 menggunakan metoda korelasional kuwantitatif dengan sampel 145 orang siswa (IPA= 46; laki-laki & perempuan,  IPS= 48; laki-laki & perempuan, Bahasa= 25; laki-laki & perempuan, dan Agama= 26; laki-laki & perempuan). Data Tipe Kepribadian dijaring mengunakan IEKAD, sedangkan capaian belajar kelompok mata pelajaran siswa dikumpulkan melalui dokumentasi atas nilai raport mereka. Analisis dan perhitungan data penelitian secara kuwantitatif akan dilakukan menggunakan teknik analisis statistik dengan bantuan fasilitas SPSS.
Penelitian ini diharapkan menghasilkan suatu model penjurusan studi di SMA yang berupa kriteria pilihan bagi pola kepribadian dan kelompok mata pekajaran tertentu. Artikel hasil  penelitian akan dipresentasikan pada seminar tingkat universitas dan dipublikasikan pada jurnal internasional minimal terindeks SCOPUS Q3. Tingkat Kesiapan Teknologi luaran penelitian ini ada pada level 5
Penelitian menemukan bahwa skor tipe kepribadian siswa berpengaruh besar pada prestasi akademik kelompok mata pelajaran peminatan di SMA. Pengaruh setiap tipe pada masing-masing kelompok mata pelajaran peminatan beragam dan sangat berarti. Kombinasi tiga tipe kepribadian vokasional telah melahirkan suatu kriteria pelayanan penjurusan (peminatan kelompok mata pelajaran) di SMA. 
Hasil uji regresi kriteria semua kombinasi tersebut menunjukkan pengaruh yang sangat berarti. Disarankan kepada para peneliti untuk melakukan penelitian lanjutan yang serupa guna memantapkan temuan studi ini. Kepada para konselor sekolah disarankan untuk mempertimbangkan penggunaan kriteria penjurusan studi ini dalam pelayanan peminatan kelompok mata pelajaran siswa.  

Kata kunci: Tipe kepribadian, kelompok mata pelajaran, siswa, kriteria penjurusan.",http://repository.lppm.unila.ac.id/id/eprint/36153,['FKIP2'],disk0/00/03/61/53,,public,2021-11-11 08:43:48,7,unpub,Fakultas Keguruan dan Ilmu Pendidikan Unila,,,,,,,,,['Fakultas Keguruan dan Ilmu Pendidikan Unila'],,,,,,
6,2017-09-25 05:06:23,3955,archive,show,228,2017-09-25 05:06:23,"[{'eprintid': 3955, 'placement': 1, 'security': 'validuser', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3807', 'pos': 1, 'format': 'text', 'main': 'jurnalku.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '145c8c35b8b1449215fa7a6631f51129', 'fileid': 27652, 'datasetid': 'document', 'mtime': '2017-09-25 04:56:32', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/27652', 'filename': 'jurnalku.pdf', 'objectid': 3807, 'filesize': 466151}], 'docid': 3807, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2}]",,"[{'name': {'lineage': None, 'family': 'EKA ANDRIYANTO', 'honourific': None, 'given': 'REDI'}}]",article,"POLA ASUH ORANG TUA, KONSEP DIRI DAN KAITANNYA DENGAN KEMATANGAN ARAH PILIHAN KARIR MAHASISWA",,TRUE,,['BF'],,"Abstract; The contribution of parental involvement, self concept in increasing the maturity of the students ' career choices. The purpose of this study was to describe the contribution of parental involvement and self concept of students career choices towards maturity. The population of this research is the final level students majoring in science education FKIP Unila with number of samples as much as 88 people with simple random sampling techniques.The research consists of three Data questionnaire; parental involvement, self concept and the maturity of the students career choices.  The data analysis done in a descriptive and for testing the hypotheses used simple regression analysis techniques and multiple regression. The results showed that 1) parental involvement contribute to the maturity of the students career choices, 2) concept of themselves contribute to the maturity of the students career choices, 3) parental involvement and self Concept together also contribute to the maturity of the students career choices. This research it can be concluded that parental involvement and good self concept separate and jointly contribute to the maturity of the students ' career choices.

Keywords: Parental Involvement, Self-Concept, Career Choices Maturity",http://repository.lppm.unila.ac.id/id/eprint/3955,['FKIP2'],disk0/00/00/39/55,,restricted,2017-09-25 05:06:23,12,unpub,,,,,,,,,,['UNIVERSITAS LAMPUNG'],repository unila,,,,,
7,2023-02-02 07:51:34,48261,archive,show,20,2023-02-02 07:51:34,"[{'main': '2 Cognitive restructuring.pdf', 'docid': 187521, 'files': [{'mtime': '2023-02-02 02:57:35', 'hash_type': 'MD5', 'filename': '2 Cognitive restructuring.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/527247', 'filesize': 1346343, 'objectid': 187521, 'hash': 'a35a4369f7d489174dad682c0505b0b8', 'mime_type': 'application/pdf', 'fileid': 527247, 'datasetid': 'document'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 48261, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187521', 'pos': 1, 'security': 'public'}]",,"[{'id': 'shinta.mayasari@fkip.unila.ac.id', 'name': {'given': 'Shinta', 'family': 'Mayasari', 'lineage': None, 'honourific': None}}, {'name': {'family': 'Mujiyati', 'lineage': None, 'honourific': None, 'given': 'Mujiyati'}, 'id': 'mujiyati@fkip.unila.ac.id'}, {'id': 'sofwan@konselor.org', 'name': {'family': 'Adiputra', 'lineage': None, 'honourific': None, 'given': 'Sofwan'}}]",other,Cognitive Restructuring Techniques in Developing Student Self-Compassion,,,,['L1'],,"Self-compassion is one of the predictors that can explain how individuals are able to survive, understand and realize the meaning of a difficulty as a positive thing. Individuals who have good Self-compassion will show better psychological health than those who have a low level of Self-compassion. The purpose of this study is to develop cognitive restructuring techniques that can develop students' self-compassion. The study was conducted using the quasi-experiment method. The samples of this study were 20 students who were indicated to have low self-compassion.  Data collection techniques in this study used a self-compassion scale (SCC) instrument, which was adapted into Indonesian. The data analysis technique used t-test. The results of the t-test show that the t-count ≥ t-table, which is 7.312 ≥ 2.101. Thus it can be stated that cognitive restructuring techniques are effective for increasing student self-compassion. Interventions are given to produce changes in individuals through students' ways of thinking, which have implications for emotions and behavior. The target to be achieved is to restructure negative thoughts in response to events into positive thoughts.",http://repository.lppm.unila.ac.id/id/eprint/48261,['FKIP2'],disk0_bak/00/04/82/61,,public,2023-02-02 07:51:34,7,pub,https://www.journalppw.com/index.php/jpsp/article/view/2010,,,https://www.journalppw.com/index.php/jpsp/article/view/2010,,,,,,,,,,,,
8,2023-02-02 07:51:42,48264,archive,show,20,2023-02-02 07:51:42,"[{'main': '5 Dimensi Identitas.pdf', 'files': [{'mtime': '2023-02-02 03:27:31', 'hash_type': 'MD5', 'filename': '5 Dimensi Identitas.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/527268', 'objectid': 187524, 'filesize': 1432705, 'hash': 'ee99262786f0d8557fa406c0998a7cbd', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 527268}], 'docid': 187524, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 48264, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187524', 'security': 'public'}]",,"[{'id': 'shinta.mayasari@fkip.unila.ac.id', 'name': {'given': 'Shinta', 'honourific': None, 'lineage': None, 'family': 'Mayasari'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Mujiyati', 'given': 'Mujiyati'}, 'id': 'mujiyati@fkip.unila.ac.id'}, {'id': None, 'name': {'given': 'Ashari', 'lineage': None, 'family': 'Mahfud', 'honourific': None}}]",other,Dimensi Identitas Pi’il Pesenggiri Ulun Lampung dalam Pengembangan Konseling Indigenous: Suatu Tinjauan Sistematis,,,,['L1'],,"DIMENSIONS OF PI'IL PESENGGIRI ULUN LAMPUNG'S IDENTITY IN INDIGENOUS COUNSELING DEVELOPMENT: A SYSTEMATIC REVIEW.
This research was conducted to find out and understand the meaning of pi'il pesenggiri as one of the dimensions of Lampung's ulun identity in the development of indigenous counseling. The method used is a systematic review of a number of articles about pi'il pesenggiri in reputable journals. A search on journal databases such as DOAJ, microsoft academic, and researchgate found 234 journals with the keyword pi'il pesenggiri. Furthermore, the journals were collected for a screening process and their eligibility according to the inclusion and exclusion criteria determined by the researcher. Based on the screening process, 5 articles were obtained which were the subject of research studies. The results showed that pi'il pesenggiri is the philosophy of life of ulun Lampung which refers to self-esteem and honor. Includes aspects of 1) Bejuluk Adek, 2) Nemui Nyimah, 3) Nengah Nyappur, and 4) Sakai Sambaiyan. The value of pi'il pesenggiri can be a potential in the development of customary extension. These values ​​can be the basis for increasing the multicultural competence of counselors in terms of understanding and knowledge of local wisdom. This is based on the content possessed by pi'il pesenggiri for ulun Lampung in the form of divine values ​​(holiness), religious values, spiritual values, moral values, intellectual values, individual values, social values, and material values. These values ​​can be re-condensed into divine values, human values, and life values.",http://repository.lppm.unila.ac.id/id/eprint/48264,['FKIP2'],disk0_bak/00/04/82/64,,public,2023-02-02 07:51:42,7,pub,INDONESIAN JOURNAL OF EDUCATIONAL COUNSELING,,http://ijec.ejournal.id/index.php/counseling/article/view/185,http://ijec.ejournal.id/index.php/counseling/article/view/185,,,,,,,,,,,,
9,2021-11-11 03:23:41,35899,archive,show,20,2021-11-11 03:23:41,"[{'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 416807, 'hash': '7738ebdc783c7aca0a03e4b1f8342a0d', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-11-11 03:04:34', 'objectid': 156847, 'filesize': 334010, 'filename': 'Seminar Pengabdian.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/416807'}], 'main': 'Seminar Pengabdian.pdf', 'docid': 156847, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 35899, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/156847'}]",,"[{'id': 'shinta.mayasari@fkip.unila.ac.id', 'name': {'given': 'Shinta', 'honourific': None, 'family': 'Mayasari', 'lineage': None}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'yusmansyah', 'given': 'yusmansyah'}}, {'id': None, 'name': {'given': 'Eka', 'honourific': None, 'lineage': None, 'family': 'Kurniawati'}}]",article,"PENINGKATAN SELF COMPASSION DAN COMPASSION FOR OTHER SKILL MELALUI KONSELING SPIRITUAL, SEBAGAI STRATEGI MEMINIMALISIR TINGGINYA ANGKA PERCERAIAN DI MASA PANDEMI",,FALSE,,['L1'],,"PENINGKATAN SELF COMPASSION DAN COMPASSION FOR OTHER SKILL MELALUI KONSELING SPIRITUAL, SEBAGAI STRATEGI MEMINIMALISIR TINGGINYA ANGKA PERCERAIAN DI MASA PANDEMI

Yusmansyah*, Eka Kurniawati, Shinta Mayasari, Moch Johan Pratama
1Bimbingan dan Konseling, Fakultas Keguruan dan Ilmu Pendidikan, Universitas Lampung, 
Jl. Prof. Dr. Soemantri Brojonegoro No. 1 Bandar Lampung, Indonesia
*e-mail: yusmansyah.1960@fkip.unila.ac.id

Abstrak

Kegiatan Pengabdian Kepada Masyarakat bertujuan untuk memberikan solusi dari permasalahan perceraian yang semakin tinggi di masa pandemi. Berdasarkan informasi, gugatan perceraian selama tahun 2020 di Lampung mencapai 14 ribu permohonan. Beberapa peneliti memprediksi, kasus perceraian yang terjadi akan terus meningkat hingga 10-25 persen sampai dengan akhir tahun 2021. Hal ini memberikan gambaran bahwa terjadi penurunan tingkat self compassion dan compassion for other skill pada pasangan suami istri yang mengakibatkan mereka gagal memperlakukan diri sendiri dan pasangannya dengan baik di masa-masa sulit. Pasangan suami istri tidak mampu untuk keluar dari tingkat stress yang mendalam. Hal ini membuat mereka tidak mampu saling memunculkan rasa empati satu sama lain terhadap permasalahan dan beban hidup utamanya di tengah masa pandemi. Metode Pengabdian Kepada Masyarakat adalah pelatihan yang meliputi pemberian materi dan praktik layanan konseling dalam seting kelompok. Sasaran kegiatan adalah 32 orang konselor yang bertugas menangani kasus pasangan suami istri yang mengajukan permohonan perceraian di Bandar Lampung. Pelatihan self compassion dan compassion for other skill dilakukan dengan pendekatan spiritual yang terdiri dari pengenalan kondisi self compassion, compassion for other, role playing, diskusi, praktik konseling, dan pengisian pre-post test. Pemahaman konsep self compassion, compassion for other skil.l dan pelaksanaan konseling spiritual ditandai dengan adanya peningkatan skor pre test dan post test pada klasifikasi tidak tahu dari 62,5% menjadi 0%; pada klasifikasi ragu-ragu dari 37,5% tetap 37,5%; dan pada klasifikasi tahu dari 0% menjadi 62, 5%.

Kata Kunci: Self Compassion, Compassion For Other Skill, Konseling Spiritual, Perceraian",http://repository.lppm.unila.ac.id/id/eprint/35899,['FKIP2'],disk0/00/03/58/99,,public,2021-11-11 03:23:41,9,unpub,,,,,,,,,,,Prosiding Seminar Pengabdian FKIP Universitas Lampung,,,,,
