,publication,publisher,divisions,dir,full_text_status,issn,status_changed,rev_number,ispublished,date_type,subjects,abstract,volume,uri,date,creators,type,title,refereed,datestamp,eprintid,eprint_status,metadata_visibility,pagerange,userid,number,official_url,lastmod,documents,contact_email,related_url,corp_creators,contributors,id_number,event_type,event_title,event_location,event_dates,pres_type,referencetext,funders
0,Jurnal Pendidikan Matematika Unila,FKIP Universitas Lampung,['FKIP22'],disk0/00/02/18/85,public,2338-1183,2020-06-04 17:07:24,6,pub,published,['LB1603'],"The Effectiveness of Cooperative Learning of Think Pair Share
Type Interm of Student’s Mathematical Conceptual Understanding. This
experimental research aimed to know the effectiveness of cooperative learning of
TPS tipe interm of student’s mathematical conceptual understanding. The
population of this research was all grade 7th students in second semester of
SMPN 8 Bandarlampung in the academic year of 2016/2017 as many as 366
students that were distributed into 12 classes, with two classes as a sample of the
research which was taken by using the purposive sampling technique. This
research was quasi experiment with posttest control design. Research instrument
was concept comprehension test and data analysis technique by using t-test. The
result of research and discussion, the mathematical conceptual understanding
cooperative learning of TPS tipe more than effective of mathematical conceptual
understanding of conventional learning.
Keywords : cooperative learning, TPS, understanding of mathematical concept",7,http://repository.lppm.unila.ac.id/id/eprint/21885,2019-09-30 00:00:00.000000000,"[{'name': {'given': 'RITA', 'honourific': None, 'lineage': None, 'family': 'ARLINDA'}, 'id': 'ritaarlinda16@gmail.com'}, {'name': {'given': 'Sugeng', 'honourific': None, 'family': 'Sutiarso', 'lineage': None}, 'id': 'sugeng.sutiarso@fkip.unila.ac.id'}, {'name': {'given': 'Rini', 'lineage': None, 'family': 'Asnawati', 'honourific': None}, 'id': 'rini.asnawati@fkip.unila.ac.id'}]",article,"EFEKTIVITAS MODEL PEMBELAJARAN KOOPERATIF TIPE TPS
DITINJAU DARI PEMAHAMAN KONSEP MATEMATIKA SISWA",TRUE,2020-06-04 17:07:24,21885,archive,show,539-550,806,4,http://jurnal.fkip.unila.ac.id/index.php/MTK/index,2020-06-04 17:07:24,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': '19287-45766-1-PB_RITA ARLINDA_compressed (2).pdf', 'docid': 35305, 'files': [{'hash_type': 'MD5', 'mtime': '2020-06-04 15:51:06', 'filesize': 173263, 'objectid': 35305, 'uri': 'http://repository.lppm.unila.ac.id/id/file/202221', 'filename': '19287-45766-1-PB_RITA ARLINDA_compressed (2).pdf', 'fileid': 202221, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'b95b1868dbaf8b4dcf2a7eb537f40219'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/35305', 'pos': 1, 'eprintid': 21885, 'placement': 1}]",,,,,,,,,,,,
1,Jurnal Pendidikan Matematika Unila,FKIP Universitas Lampung,['FKIP22'],disk0/00/02/04/62,public,2338-1183,2020-05-26 01:51:58,6,pub,published,['L1'],This research aimed to find out the influence of cooperative learning model of think-talk-write type towards student’s mathematical representation skill. The population of this research was all of 8th grade students of SMPN 34 Bandarlampung in academic year of 2018/2019 with 177 students that distributed into six classes. The sample of this research were student of VIII B and VIII D class with 58 students which chosen by cluster random sampling technique. The pretest-posttest control group design was used as the design of this research.  The data of this research was quantitave data that obtained by mathematical representation skill test in the form of essay test on statistics. By using,7,http://repository.lppm.unila.ac.id/id/eprint/20462,2019-09-30 00:00:00.000000000,"[{'id': 'mirandaabung57@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Abung', 'given': 'Miranda'}}, {'name': {'given': 'Rini', 'honourific': None, 'lineage': None, 'family': 'Asnawati'}, 'id': 'rini.asnawati@fkip.unila.ac.id'}, {'id': 'agung.wijaya@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Wijaya', 'lineage': None, 'given': 'Agung Putra'}}]",article,PENGARUH PEMBELAJARAN KOOPERATIF TIPE THINK TALK WRITE TERHADAP KEMAMPUAN REPRESENTASI MATEMATIS SISWA,TRUE,2020-05-26 01:51:58,20462,archive,show,499-512,1116,4,http://jurnal.fkip.unila.ac.id/index.php/MTK/article/view/19019,2020-05-26 01:51:58,"[{'format': 'text', 'main': '19019-45763-1-PB_Miranda Abung.pdf', 'files': [{'fileid': 192266, 'datasetid': 'document', 'hash': 'cfec90f25403d80765a2f04194cc8544', 'mime_type': 'application/pdf', 'objectid': 33802, 'filesize': 379621, 'filename': '19019-45763-1-PB_Miranda Abung.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/192266', 'hash_type': 'MD5', 'mtime': '2020-05-25 12:52:49'}], 'docid': 33802, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 20462, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33802'}]",,,,,,,,,,,,
2,Jurnal Pendidikan Matematika Unila,FKIP Universitas Lampung,['FKIP22'],disk0/00/02/19/97,public,2338-1183,2020-06-05 09:28:51,6,pub,published,['LB1603'],"The Influence of Cooperative Learning Model of Think Talk Write Type
Towards Student’s Mathematical Conceptual Understanding. This research aimed to find
out the influence of cooperative learning model of think-talk-write type towards student’s
mathematical conceptual understanding. The population of this research was all of 8th grade
students of SMPN 34 Bandarlampung in academic year of 2019/2020 with 207 students that
distributed into seven classes. The sample of this research were student of VIII C which
consist of 29 students and VIII D which consist of 29 students who were selected based on
cluster random sampling technique. The pretest-posttest control group design was used as
the design of this research. The research data were obtained by the essay test of
mathematical conceptual understanding on topic of number pattern. t-test was used to
analyze the data with significance level α = 0,05. The result of this research show that
enhancement on understanding students' mathematical concepts of student who follow
learning with think talk write higher than understanding students' mathematical concepts of
student who follow learning with convensional.Based on the results of the research and
discussion, it was concluded that cooperative learning model type TTW was influenced
student’s mathematical conceptual understanding",7,http://repository.lppm.unila.ac.id/id/eprint/21997,2019-12-30 00:00:00.000000000,"[{'id': 'zakiyaazr@gmail.com', 'name': {'given': 'Zakiya', 'family': 'Afriyanti', 'lineage': None, 'honourific': None}}, {'id': 'mcaswita@gmail.com', 'name': {'lineage': None, 'family': 'Caswita', 'honourific': None, 'given': 'Caswita'}}, {'id': 'rini.asnawati@fkip.unila.ac.id', 'name': {'given': 'Rini', 'family': 'Asnawati', 'lineage': None, 'honourific': None}}]",article,Pengaruh Model Pembelajaran Kooperatif Think Talk Write Terhadap Pemahaman Konsep Matematis Siswa,TRUE,2020-06-05 09:28:51,21997,archive,show,739-750,806,6,http://jurnal.fkip.unila.ac.id/index.php/MTK/index,2020-06-05 09:28:51,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': '20204-46753-1-TTW_PEMAHAMAN KONSEP_compressed.pdf', 'docid': 35411, 'files': [{'mime_type': 'application/pdf', 'hash': '2dfa0059ca5ce9f8be63beda162a0a95', 'datasetid': 'document', 'fileid': 202969, 'uri': 'http://repository.lppm.unila.ac.id/id/file/202969', 'filename': '20204-46753-1-TTW_PEMAHAMAN KONSEP_compressed.pdf', 'filesize': 152812, 'objectid': 35411, 'mtime': '2020-06-05 08:46:23', 'hash_type': 'MD5'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/35411', 'eprintid': 21997, 'placement': 1}]",,,,,,,,,,,,
3,Al-Jabar: Jurnal Pendidikan Matematika,Mathematics Education UIN Raden Intan Lampung,['FKIP22'],disk0/00/01/94/30,restricted,2540-7562,2020-05-05 04:52:57,11,pub,published,['L1'],"The purpose of this research is to find out whether there is an influence of learning styles, mathematical disposition, and mathematical anxiety on metacognitive reconstruction in mathematics learning and to know how learning styles, mathematical disposition, and Mathematical anxiety effect metacognitive reconstruction in mathematics learning. This research was conducted using the Mixed Method. The data processing in this research uses the Structural Equation Model (SEM) through the application of the Lisrel 8.80 program. Based on the data and research results, it can be concluded that: 1) there is an influence of learning style, mathematical disposition, and mathematical anxiety on metacognitive reconstruction in mathematics learning; 2) students with good metacognitive reconstruction prefer visual learning style and have a high mathematical disposition and low level of anxiety. Students with medium metacognitive reconstructions category prefer kinesthetic learning styles and have a moderate mathematical disposition and moderate levels of anxiety. Students with low metacognitive reconstruction categories prefer audio learning styles and have a low mathematical disposition and a high level of anxiety.",10,http://repository.lppm.unila.ac.id/id/eprint/19430,1970-01-01 00:00:00.000002019,"[{'name': {'family': 'Anggoro', 'lineage': None, 'honourific': None, 'given': 'Bambang Sri'}, 'id': 'bambangsrianggoro@gmail.com'}, {'name': {'given': 'Safitri', 'honourific': None, 'lineage': None, 'family': 'Agustina'}, 'id': None}, {'id': None, 'name': {'given': 'Rhomadana', 'honourific': None, 'lineage': None, 'family': 'Komala'}}, {'name': {'given': 'Komarudin', 'family': 'Komarudin', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'given': 'Kittisak', 'honourific': None, 'lineage': None, 'family': 'Jermsittiparsert'}, 'id': None}, {'name': {'given': 'Widyastuti', 'honourific': None, 'lineage': None, 'family': 'Widyastuti'}, 'id': 'widyaa58@gmail.com'}]",article,"An Analysis of Students' Learning Style, Mathematical Disposition, and Mathematical Anxiety toward Metacognitive Reconstruction in Mathematics Learning Process",TRUE,2020-05-05 04:52:57,19430,archive,show,187-200,1140,2,http://ejournal.radenintan.ac.id/index.php/al-jabar,2020-05-05 04:52:57,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 4, 'format': 'text', 'docid': 32654, 'main': 'Jurnal dr Kak Bambang 2020.pdf', 'files': [{'datasetid': 'document', 'fileid': 162437, 'mime_type': 'application/pdf', 'hash': 'c9e13d06fe313cb3953d1ad4b3399ab8', 'hash_type': 'MD5', 'mtime': '2020-05-04 14:26:54', 'filesize': 739494, 'objectid': 32654, 'uri': 'http://repository.lppm.unila.ac.id/id/file/162437', 'filename': 'Jurnal dr Kak Bambang 2020.pdf'}], 'security': 'validuser', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32654', 'pos': 1, 'eprintid': 19430, 'placement': 1}]",widyaa58@gmail.com,[{'url': 'http://ejournal.radenintan.ac.id/index.php/al-jabar/article/view/3541'}],,,,,,,,,,
4,Jurnal Pendidikan Matematika Unila,FKIP Universitas Lampung,['FKIP22'],disk0/00/01/62/85,public,2338-1183,2019-11-14 10:18:41,6,pub,published,['LB1603'],"Penelitian quasi experiment ini bertujuan untuk mengetahui pengaruh model PBL terhadap pemahaman konsep matematis siswa. Populasi penelitian ini adalah seluruh siswa kelas VIII SMP Negeri 7 Bandar-lampung semester ganjil tahun pelajaran 2018/2019 sebanyak 305 siswa yang terdistribusi ke dalam 10 kelas. Sampel penelitian ini adalah siswa kelas VIII-2 sebanyak 30 siswa dan kelas VIII-3 sebanyak 29 siswa yang dipilih menggunakan teknik cluster random sampling. Desain yang digunakan adalah the randomized control group pretest posttest design. Analisis data yang digunakan adalah uji Mann-Whitney U. Hasil analisis data menunjukkan bahwa median gain skor pemahaman konsep matematis siswa dengan model PBL lebih tinggi daripada median gain skor pemahaman konsep matematis siswa dengan pembelajaran konvensional. Dengan demikian, model PBL berpengaruh terhadap pemahaman konsep matematis siswa.

Kata kunci: pemahaman konsep matematis,  problem based learning",7,http://repository.lppm.unila.ac.id/id/eprint/16285,2019-06-01 00:00:00.000000000,"[{'id': 'ekaseptiabudiasih@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Asih', 'given': 'Eka Septia Budi'}}, {'id': 'sugeng.sutiarso@fkip.unila.ac.id', 'name': {'given': 'Sugeng', 'lineage': None, 'family': 'Sutiarso', 'honourific': None}}, {'id': 'agung.wijaya@fkip.unila.ac.id', 'name': {'given': 'Agung Putra', 'honourific': None, 'family': 'Wijaya', 'lineage': None}}]",article,Pengaruh Model Problem Based Learning Terhadap Pemahaman Konsep Matematis Siswa,TRUE,2019-11-14 10:18:41,16285,archive,show,146-157,864,2,http://jurnal.fkip.unila.ac.id/index.php/MTK/index,2019-11-14 10:18:41,"[{'format': 'text', 'main': 'SugengSutiarso_Juni2-2019.pdf', 'files': [{'fileid': 139165, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '4b10ef85adeaa3b1ec1f0a797d008f65', 'hash_type': 'MD5', 'mtime': '2019-11-13 09:49:52', 'filesize': 374099, 'objectid': 29391, 'uri': 'http://repository.lppm.unila.ac.id/id/file/139165', 'filename': 'SugengSutiarso_Juni2-2019.pdf'}], 'docid': 29391, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 16285, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/29391', 'pos': 1}]",,[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/MTK/article/view/17749'}],['Universitas Lampung'],"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/THS'}, {'type': 'http://www.loc.gov/loc.terms/relators/THS'}]",,,,,,,,
5,Jurnal Pendidikan Matematika Unila,FKIP Universitas Lampung,['FKIP22'],disk0/00/02/04/64,public,2338-1183,2020-05-26 01:52:10,6,pub,published,['L1'],"This research aimed to find out the influence of discovery learning model towards student’s understanding of mathematical concepts. The population of this research was all of 7th grade students of SMPN 31 Bandarlampung in academic year of 2018/2019 that distributed into nine classes. The samples of this research were students of VII E and VII F class which chosen by cluster random sampling technique. The randomized pretest-posttest control group design was used as the design of this research.  The data of this research was  score of understanding of mathematical concepts that obtained by essay test on quadrilaterals and triangle. By using t’ test analysis,  it was concluded that discovery learning model was influenced student’s understanding of mathematical concepts. 
 
Keywords:influence, understanding of mathematical concepts, discovery learning",7,http://repository.lppm.unila.ac.id/id/eprint/20464,2019-10-30 00:00:00.000000000,"[{'id': 'ronaldoredicaprio30@gmail.com', 'name': {'family': 'Caprio', 'lineage': None, 'honourific': None, 'given': 'Ronaldo Redi'}}, {'name': {'given': 'Sri Hastuti', 'lineage': None, 'family': 'Noer', 'honourific': None}, 'id': 'hastuti_noer@yahoo.com'}, {'id': 'agung.wijaya@fkip.unila.ac.id', 'name': {'family': 'Wijaya', 'lineage': None, 'honourific': None, 'given': 'Agung Putra'}}]",article,PENGARUH MODEL PEMBELAJARAN DISCOVERY TERHADAP PEMAHAMAN KONSEP MATEMATIS SISWA,TRUE,2020-05-26 01:52:10,20464,archive,show,630-644,1116,5,http://jurnal.fkip.unila.ac.id/index.php/MTK/article/view/19442,2020-05-26 01:52:10,"[{'placement': 1, 'eprintid': 20464, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33804', 'security': 'public', 'docid': 33804, 'main': '19442-45982-1-PB_Ronaldo Redi Caprio.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '8bbe274af40ce7104c7eca50628e5923', 'fileid': 192278, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/192278', 'filename': '19442-45982-1-PB_Ronaldo Redi Caprio.pdf', 'filesize': 347513, 'objectid': 33804, 'mtime': '2020-05-25 13:13:33', 'hash_type': 'MD5'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",,,,,,,,,,,,
6,Jurnal Pendidikan Matematika Unila,FKIP Universitas Lampung,['FKIP22'],disk0/00/01/62/80,public,2338-1183,2019-11-14 10:10:29,6,pub,published,['LB1603'],Penelitian eksperimen semu ini bertujuan untuk mengetahui pengaruh discovery learning terhadap kemampuan pemecahan masalah matematis. Populasi penelitian ini adalah seluruh siswa kelas VIII SMP Negeri 1 Pesawaran tahun pelajaran 2018/2019 sebanyak 252 siswa yang terdistribusi dalam sembilan kelas. Sampel dari penelitian adalah seluruh siswa kelas VIII-A sebanyak 28 siswa dan VIII-B sebanyak 27 siswa yang dipilih melalui teknik purposive sampling. Desain penelitian ini adalah pretest-posttest control group design. Data penelitian diperoleh dari tes kemampuan pemecahan masalah matematis berbentuk essay. Analisis data penelitian ini menggunakan uji non parametrik yaitu uji Mann-Whitney U. Berdasarkan hasil penelitian dan pembahasan diperoleh kesimpulan bahwa discovery learning berpengaruh terhadap kemampuan pemecahan masalah matematis siswa.,7,http://repository.lppm.unila.ac.id/id/eprint/16280,2019-03-01 00:00:00.000000000,"[{'id': 'dinaekachayanii@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Chayani', 'given': 'Dina Eka'}}, {'id': 'sugeng.sutiarso@fkip.unila.ac.id', 'name': {'given': 'Sugeng', 'lineage': None, 'family': 'Sutiarso', 'honourific': None}}, {'id': 'hanindabharataa@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Bharata', 'given': 'Haninda'}}]",article,Pengaruh Model Discovery Learning Terhadap Kemampuan Pemecahan Masalah Matematis Siswa,TRUE,2019-11-14 10:10:29,16280,archive,show,170-181,864,2,http://jurnal.fkip.unila.ac.id/,2019-11-14 10:10:29,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'SugengSutiarso_Maret_2019.pdf', 'files': [{'filename': 'SugengSutiarso_Maret_2019.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/139127', 'filesize': 332650, 'objectid': 29384, 'mtime': '2019-11-13 08:58:49', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '27f085bd697bdb9f20dbb381d3c6eadb', 'fileid': 139127, 'datasetid': 'document'}], 'docid': 29384, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29384', 'security': 'public', 'placement': 1, 'eprintid': 16280}]",,[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/MTK/article/view/17776'}],['Universitas Lampung'],"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/THS'}, {'type': 'http://www.loc.gov/loc.terms/relators/THS'}]",2338-1183,,,,,,,
7,,,['FKIP22'],disk0/00/01/63/58,public,,2019-11-14 11:05:19,11,inpress,submitted,"['LB', 'LB1603']","Pemecahan masalah merupakan kemampuan yang tidak mudah dicapai  oleh siswa, bagian yang sulit bagi guru untuk mengajarkannya, tetapi merupakan salah satu sasaran capaian penting dalam pembelajaran matematika. Tujuan penelitian untuk mendeskripsikan kemampuan pemecahan masalah siswa SMP kelas VIII Semester Genap Tahun Akademik 2014/2015 setelah mengikuti pembelajaran dengan pendekatan konstruktivis. Pengambilan data dilakukan melalui tes tertulis dan wawancara untuk memperoleh objektivitas terhadap jawaban siswa yang diberikan melalui tes tersebut, juga tentang kemampuan yang tidak terekam melalui jawaban tes. Wawancara tersebut dilakukan terhadap enam orang siswa yang dikenai penelitian. Penelitian ini menyimpulkan bahwa siswa yang dikenai penelitian lebih mampu memecahkan masalah yang berkaitan dengan bangun ruang yang semua rusuk tegaknya tegak lurus terhadap sisi alasnya dibandingkan dengan masalah-masalah yang berkaitan dengan bangun ruang yang rusuk-rusuk tegaknya tidak tegak lurus terhadap sisi alasnya.

Kata Kunci: Analisis, Konstruktivisme, Pemecahan Masalah.",,http://repository.lppm.unila.ac.id/id/eprint/16358,2019-10-31 00:00:00.000000000,"[{'name': {'honourific': None, 'family': 'Coesamin', 'lineage': None, 'given': 'Coesamin'}, 'id': 'mcoesamin@gmail.com'}]",conference_item,"Analisis Kemampuan  Pemecahan Masalah Matematis Siswa Smp Kelas Viii Pada Pembelajaran Dengan 
Pendekatan Konstruktivis",TRUE,2019-11-14 11:05:19,16358,archive,show,1-9,724,,http://jurnal.fkip.unila.ac.id,2019-11-14 11:05:19,"[{'eprintid': 16358, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/29463', 'pos': 1, 'format': 'text', 'docid': 29463, 'main': '1. M.Coesamin_2019_Jurnal.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/139629', 'filename': '1. M.Coesamin_2019_Jurnal.pdf', 'objectid': 29463, 'filesize': 522600, 'mtime': '2019-11-14 02:10:03', 'hash_type': 'MD5', 'hash': 'de2e227896109453abddb29b2fe7295d', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 139629}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",,,['Universitas Lampung'],[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],,conference,Seminar Nasional Jurusan PMIPA FKIP 2019,Bandar Lampung,31 Oktober 2019,paper,,
8,"Prosiding Seminar Nasional Pendidikan FKIP Universitas Lampung Pendidikan Matematika dan Ilmu Pengetahuan Alam, Tema: Inovasi Pembelajaran Media Digital bagi Calon Guru MIPA Untuk Membentuk Generasi Z Yang Berkarakter",,['FKIP22'],disk0/00/01/79/16,public,2761-053X,2020-02-17 03:49:33,6,pub,submitted,['L1'],"Pemecahan masalah merupakan kemampuan yang tidak mudah dicapai oleh siswa, bagian yang sulit bagi guru untuk mengajarkannya, tetapi merupakan salah satu sasaran capaian penting dalam pembelajaran matematika.Tujuan penelitian untuk mendeskripsikan kemampuan pemecahan masalah siswa SMP kelas VIII Semester Genap Tahun Akademik 2014/2015 setelah mengikuti pembelajaran dengan pendekatan konstruktivis. Pengambilan data dilakukan melalui tes tertulis dan wawancara untuk memperoleh objektivitas terhadap jawaban siswa yang diberikan melalui tes tersebut, juga tentang kemampuan yang tidak terekam melalui jawaban tes. Wawancara tersebut dilakukan terhadap enam orang siswa yang dikenai penelitian.Penelitian ini menyimpulkan bahwa siswa yang dikenai penelitian lebih mampu memecahkan masalah yang berkaitan dengan bangun ruang yang semua rusuk tegaknya tegak lurus terhadap sisi alasnya dibandingkan dengan masalah-masalah yang berkaitan dengan bangun ruang yang rusuk-rusuk tegaknya tidak tegak lurus terhadap sisi alasnya.",1,http://repository.lppm.unila.ac.id/id/eprint/17916,2019-10-31 00:00:00.000000000,"[{'id': 'mcoesamin@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Coesamin', 'given': 'M'}}]",article,Analisis Kemampuan  Pemecahan Masalah Matematis Siswa SMP Kelas VIII Pada Pembelajaran Dengan Pendekatan Konstruktivis,TRUE,2020-02-17 03:49:33,17916,archive,show,76-82,724,2,,2020-02-17 03:49:33,"[{'format': 'text', 'docid': 31053, 'main': 'Prosiding Semnas PMIPA Okt 2020.pdf', 'files': [{'hash': '8ea25fc8e3edc0dccc0bf0b5e932ba34', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 150984, 'uri': 'http://repository.lppm.unila.ac.id/id/file/150984', 'filename': 'Prosiding Semnas PMIPA Okt 2020.pdf', 'objectid': 31053, 'filesize': 2558244, 'mtime': '2020-02-06 21:52:35', 'hash_type': 'MD5'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 17916, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/31053', 'pos': 1}]",,,['Universitas Lampung'],"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'M', 'family': 'Coesamin', 'lineage': None, 'honourific': None}, 'id': 'mcoesamin@gmail.com'}]",,,,,,,,
9,"Prosiding Seminar Nasional Pendidikan FKIP Universitas Lampung Pendidikan Matematika dan Ilmu Pengetahuan Alam, Tema: Inovasi Pembelajaran Media Digital bagi Calon Guru MIPA Untuk Membentuk Generasi Z Yang Berkarakter",,['FKIP22'],disk0/00/02/04/26,public,2761-053X,2020-05-24 08:10:46,6,pub,submitted,['L1'],"Pemecahan masalah merupakan kemampuan yang tidak mudah dicapai oleh siswa, bagian yang
sulit bagi guru untuk mengajarkannya, tetapi merupakan salah satu sasaran capaian penting
dalam pembelajaran matematika.Tujuan penelitian untuk mendeskripsikan kemampuan
pemecahan masalah siswa SMP kelas VIII Semester Genap Tahun Akademik 2014/2015
setelah mengikuti pembelajaran dengan pendekatan konstruktivis. Pengambilan data dilakukan
melalui tes tertulis dan wawancara untuk memperoleh objektivitas terhadap jawaban siswa
yang diberikan melalui tes tersebut, juga tentang kemampuan yang tidak terekam melalui
jawaban tes. Wawancara tersebut dilakukan terhadap enam orang siswa yang dikenai
penelitian.Penelitian ini menyimpulkan bahwa siswa yang dikenai penelitian lebih mampu
memecahkan masalah yang berkaitan dengan bangun ruang yang semua rusuk tegaknya tegak
lurus terhadap sisi alasnya dibandingkan dengan masalah-masalah yang berkaitan dengan
bangun ruang yang rusuk-rusuk tegaknya tidak tegak lurus terhadap sisi alasnya.",1,http://repository.lppm.unila.ac.id/id/eprint/20426,2019-10-31 00:00:00.000000000,"[{'id': 'mcoesamin@gmail.com', 'name': {'given': 'M', 'family': 'Coesamin', 'lineage': None, 'honourific': None}}]",article,Analisis Kemampuan  Pemecahan Masalah Matematis Siswa SMP Kelas VIII Pada Pembelajaran Dengan Pendekatan Konstruktivis,TRUE,2020-05-24 08:10:46,20426,archive,show,75-81,724,2,,2020-05-24 08:10:46,"[{'files': [{'mtime': '2020-05-24 02:01:06', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/192021', 'filename': 'Prosiding Semnas PMIPA Okt 2020.pdf', 'filesize': 2558244, 'objectid': 33773, 'mime_type': 'application/pdf', 'hash': '8ea25fc8e3edc0dccc0bf0b5e932ba34', 'datasetid': 'document', 'fileid': 192021}], 'main': 'Prosiding Semnas PMIPA Okt 2020.pdf', 'docid': 33773, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 20426, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/33773', 'security': 'public'}]",,,['Universitas Lampung'],"[{'id': 'mcoesamin@gmail.com', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'given': 'M', 'honourific': None, 'family': 'Coesamin', 'lineage': None}}]",,,,,,,,
