,date,abstract,ispublished,full_text_status,issn,publisher,documents,official_url,number,userid,pagerange,eprintid,eprint_status,datestamp,event_location,event_dates,refereed,pres_type,uri,volume,event_title,subjects,date_type,rev_number,status_changed,event_type,divisions,publication,dir,lastmod,metadata_visibility,title,type,creators,succeeds,corp_creators,contributors,id_number,place_of_pub,related_url
0,2019-02-01 00:00:00.000000000,"The need for higher education to respond is urgent  as the power of 4IR technologies and 21st century challenges for either positive social impacts or devastating environmental damage. Recent researches on how to make an alternative solution in the form of STEM learning methods and strategies to address the challenges of the 21st century and 4IR technology had been widely investigated. However, the implementation in the term of integrated-STEM field. The implementation of integrated STEM was still fragmented so that the essence of a whole STEM meaning had not been described. Recent studies oriented to the development of learning strategies had not emphasized the makerspace concept, even though a good understanding of makerspace concept was the start point in implementing integrated-STEM essence. Makerspace in STEM is the deliberate positioning of student learning in contexts that require the drawing together of skills and knowledge from the areas of science, technology, engineering, and mathematics to create, construct, and critique a product or artefact. The research presented in this paper describes a type of STEM makerspace that was defined by its purpose: to foster Student’s 21st Century Skills in  4IR technologies and 21st century challenges. This approach is innovative into STEM education. A new model of STEM makerspace that is currently being validated in an extended, funded project framed this research that involved secondary students in Indonesia. A large set of qualitative data was collected, this paper reports on the progress and reflections of the teacher education students, and shares insights into their personal learning and development as teachers. A quasi-experimental study  in Heat transfer STEM makerspace was conducted. Results of samples paired  t-test showed Sig.(2-tailed) 0.000 which indicated that there were differences in results pretest and posttest when STEM makerspace was implemented with the effect size data was in a high category.",pub,public,Print : 1742-6588 Online : 1742-6596,IOP Publishing,"[{'eprintid': 11132, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/24154', 'pos': 1, 'format': 'text', 'docid': 24154, 'main': '15.  Abdurrahman_2019_J._Phys.__Conf._Ser._1155_012002 (3).pdf', 'files': [{'fileid': 101935, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '7221fe2f48d735cc95c09886d2c815c3', 'hash_type': 'MD5', 'mtime': '2019-04-15 06:49:28', 'objectid': 24154, 'filesize': 598470, 'uri': 'http://repository.lppm.unila.ac.id/id/file/101935', 'filename': '15.  Abdurrahman_2019_J._Phys.__Conf._Ser._1155_012002 (3).pdf'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012002,1.0,435,1-6,11132,archive,2019-04-29 07:55:17,"emersia hotel, bandar lampung","November 9, 2018",TRUE,keynote,http://repository.lppm.unila.ac.id/id/eprint/11132,1155,YOUNG SCHOLAR SYMPOSIUM ON TRANSDISCIPLINARY IN EDUCATION AND ENVIRONMENT 2018,['LB'],published,7,2019-04-29 07:55:17,conference,['FKIP4'],Journal of Physics: Conference Series,disk0/00/01/11/32,2019-04-29 07:55:17,show,Developing STEM Learning Makerspace for Fostering Student’s 21st Century Skills in The Fourth Industrial Revolution Era,article,"[{'name': {'given': 'Abdurrahman', 'honourific': None, 'family': 'Abdurrahman', 'lineage': None}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}]",,,,,,
1,2019-02-01 00:00:00.000000000,"In response to pedagogical challenges in 21st century education, embedded STEM across the primary-secondary school transition had been widely investigated. However, integrated-STEM implementation had not shown practical packaging and could not reach all the skills needed in the 21st century. We proposed an inquiry-based STEM learning strategy to fostering student inquiry skills through investigation. The purpose of this study was to design a hypothetical model of an inquiry-basedSTEM learning strategy design that could systematically guide instructors or designers in creating an appropriate learning activities oriented to 21st century skills. Before conducting the strategy design, we do need assessment survey teacher in Lampung Indonesia to describe teachers’  perceptions about STEM education and career as a starting point for designing a strategy that could follow up the 21st century learning framework. We conduct a cross-sectional non-experimental descriptive survey approach using quetionnaire to 75 teachers in Lampung, Indonesia. Based on data analysis, it indicated that all of the teachers realized about the importance of STEM in education and career dimension and they should take a part in overcoming the 21st century challenging.",pub,public,Print : 1742-6588 Online : 1742-6596,IOP Publishing,"[{'placement': 1, 'eprintid': 11111, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24111', 'security': 'public', 'files': [{'fileid': 101568, 'datasetid': 'document', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'hash': 'e043051e9ed05dd1609a1fe3d5d3971f', 'filesize': 309047, 'objectid': 24111, 'uri': 'http://repository.lppm.unila.ac.id/id/file/101568', 'filename': 'revision - artikel YSSTEE (abdurrahman).docx', 'hash_type': 'MD5', 'mtime': '2018-11-19 02:17:49'}], 'main': 'revision - artikel YSSTEE (abdurrahman).docx', 'docid': 24111, 'format': 'archive', 'language': 'en', 'mime_type': 'application/vnd.openxmlformats-officedocument.wordprocessingml.document', 'rev_number': 3, 'content': 'accepted'}]",https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012087,1.0,435,1-6,11111,archive,2019-04-29 07:54:24,"emersia hotel, bandar lampung","November 9, 2018",TRUE,paper,http://repository.lppm.unila.ac.id/id/eprint/11111,1155,YOUNG SCHOLAR SYMPOSIUM ON TRANSDISCIPLINARY IN EDUCATION AND ENVIRONMENT 2018,['LB'],published,8,2019-04-29 07:54:24,conference,['FKIP4'],Journal of Physics: Conference Series,disk0/00/01/11/11,2019-04-29 07:54:24,show,Designing an Inquiry-based STEM Learning strategy as a Powerful Alternative Solution to Enhance Students’ 21st Century Skills: A Preliminary Research,article,"[{'name': {'family': 'Abdurrahman', 'lineage': None, 'honourific': None, 'given': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Ariyani', 'lineage': None, 'given': 'Farida'}, 'id': 'dulifarida@gmail.com'}, {'name': {'family': 'achmad', 'lineage': None, 'honourific': None, 'given': 'arwin'}, 'id': None}, {'name': {'honourific': None, 'family': 'Nurulsari', 'lineage': None, 'given': 'Novinta'}, 'id': 'novintanurulsari@ymail.com'}]",10298.0,,,,,
2,2019-03-01 00:00:00.000000000,"This study aimed to foster students' critical thinking skills through the use of multiple representation-based worksheet. Through a quasi-experimental research design (non-equivalent control group design), the sample of the study consisted of 74 students drawn from a junior high school in North Lampung. This sample was divided into two groups to assign the experimental and control groups. The experimental group was exposed to multiple representation-based worksheet, while the control group was instructed with conventional worksheet The results of independent samples t-test showed that the experimental group was effective in fostering critical thinking skills (N-Gain = 0,34 --medium category). Furthermore, the study found the following indicators: providing an elementary clarification (N-Gain = 0,51 --medium category), building basic support (N-Gain = 0,39 --medium category), inferring (N-Gain = 0,24 --low category), making advance clarification (N-Gain = 0,46 –medium category), and setting the strategies and tactics (N-Gain = 0,10 --low category).",pub,public,ISSN:1304-6020,,"[{'eprintid': 11286, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/24289', 'pos': 1, 'format': 'text', 'main': 'artikel trijalmo-1.pdf', 'docid': 24289, 'files': [{'hash': 'f502c03411c630508b698150045388c7', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 102823, 'mtime': '2019-04-24 09:03:39', 'hash_type': 'MD5', 'filename': 'artikel trijalmo-1.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/102823', 'filesize': 746458, 'objectid': 24289}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",,1.0,812,138-155,11286,archive,2019-04-29 08:17:53,,,TRUE,,http://repository.lppm.unila.ac.id/id/eprint/11286,16,,['L1'],published,6,2019-04-29 08:17:53,,['FKIP4'],Journal of TURKISH SCIENCE EDUCATION,disk0/00/01/12/86,2019-04-29 08:17:53,show,Implementating Multiple Representation-Based Worksheet to Develop Critical Thinking Skills,article,"[{'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'given': 'Abdurrahman', 'honourific': None, 'lineage': None, 'family': 'Abdurrahman'}}, {'id': None, 'name': {'family': 'Setyaningsih', 'lineage': None, 'honourific': None, 'given': 'Cris Ayu'}}, {'name': {'given': 'tri', 'family': 'Jalmo', 'lineage': None, 'honourific': None}, 'id': 'tri.jalmo@fkip.unila.ac.id'}]",,"['Universitas Lampung', 'STKIP Muhammadiyah Pringsewu Lampung', 'Universitas Lampung']",,,,
3,2019-03-01 00:00:00.000000000,"This study aimed to foster students' critical thinking skills through the use of multiple representationbased worksheet. Through a quasi-experimental research design (non-equivalent control group design), the sample of the study consisted of 74 students drawn from a junior high school in North Lampung. This sample was divided into two groups to assign the experimental and control groups. The experimental group was exposed to multiple representation-based worksheet, while the control group was instructed with conventional worksheet The results of independent samples t-test showed that the experimental group was effective in fostering critical thinking skills (N-Gain = 0,34 --medium category). Furthermore, the study found the following indicators: providing an elementary clarification (N-Gain = 0,51 --medium category), building basic support (N-Gain = 0,39 --medium category), inferring (N-Gain = 0,24 --low category), making advance clarification (N-Gain = 0,46 –medium category), and setting the strategies and tactics (N-Gain = 0,10 --low category).",pub,public,ISSN:1304-6020,,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24827', 'security': 'public', 'placement': 1, 'eprintid': 11834, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': '21.  10-1057.pdf', 'docid': 24827, 'files': [{'fileid': 106475, 'datasetid': 'document', 'hash': 'd065898bf6d4bbe19760997a665a4ee6', 'mime_type': 'application/pdf', 'filesize': 762208, 'objectid': 24827, 'uri': 'http://repository.lppm.unila.ac.id/id/file/106475', 'filename': '21.  10-1057.pdf', 'hash_type': 'MD5', 'mtime': '2019-05-07 01:18:12'}], 'format': 'text'}]",http://www.tused.org/internet/tused/archive/v16/i1/10-1057.pdf,1.0,435,,11834,archive,2019-05-08 07:28:06,,,TRUE,,http://repository.lppm.unila.ac.id/id/eprint/11834,16,,['LB'],published,6,2019-05-08 07:28:06,,['FKIP4'],Journal of TURKISH SCIENCE EDUCATION,disk0/00/01/18/34,2019-05-08 07:28:06,show,Implementating Multiple Representation-Based Worksheet to Develop Critical Thinking Skills,article,"[{'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'given': 'Abdurrahman', 'lineage': None, 'family': 'Abdurrahman', 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Setyaningsih', 'given': 'Cris Ayu'}, 'id': None}, {'id': 'tri.jalmo@fkip.unila.ac.id', 'name': {'given': 'tri', 'family': 'Jalmo', 'lineage': None, 'honourific': None}}]",,,,,,
4,2019-09-01 00:00:00.000000000,"In mushroom cultivation of white oyster mushroom (P. ostreatus), problems in the contamination during the production are typically found. This contamination is due to the issue in controlling temperature during the media sterilization for growing the fungus (bag-log). This suboptimal sterilization causes unwanted bacteria and spores to grow. To reduce the amount of contamination, the purpose of this study was to demonstrate and evaluate the temperature distribution using one convection pipe with diameter of 6 and 8 cm. The fuel used for this sterilization process is rice husk. Sterilization itself aims to kill other unwanted bacteria and spores on the bag-log. Sterilization was done by traditional steaming bag-log drums arranged in four rows upwards for 6 hours. Convection pipes were built in drums. The steamer was done by performing two retrievals of data. From the experiment results, the use of convection pipe of 8 cm was better than the convection pipe of 6 cm. This is shown from the amount of fungal contamination in convection pipes were less in 8. The result of temperature measurement using dual laser infrared thermometer was also completed and interpreted using Matrix Laboratory with interpolation method to get heat distribution result.",pub,public,2527-8045,,"[{'placement': 1, 'eprintid': 16885, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/29970', 'security': 'public', 'docid': 29970, 'main': '18177-39017-4-PB optimization.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-11-18 04:30:01', 'objectid': 29970, 'filesize': 1620621, 'uri': 'http://repository.lppm.unila.ac.id/id/file/143330', 'filename': '18177-39017-4-PB optimization.pdf', 'datasetid': 'document', 'fileid': 143330, 'mime_type': 'application/pdf', 'hash': '42d18ea684bf9a93ed9c6e960b6262a8'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",,2.0,435,204-219,16885,archive,2019-11-18 07:14:45,,,TRUE,,http://repository.lppm.unila.ac.id/id/eprint/16885,4,,['H1'],published,8,2019-11-18 07:14:45,,['FKIP4'],Indonesian Journal of Science & Technology,disk0/00/01/68/85,2019-11-18 07:14:45,show,Optimization and Interpretation of Heat Distribution in Sterilization Room Using Convection Pipe,article,"[{'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Abdurrahman', 'lineage': None, 'given': 'Abdurrahman'}}, {'name': {'given': 'R', 'honourific': None, 'lineage': None, 'family': 'Umam'}, 'id': 'umamr@gmail.com'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Irzaman', 'given': 'Irzaman'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Palupi', 'lineage': None, 'given': 'Endah Kinarya'}}, {'id': None, 'name': {'given': 'antomi', 'family': 'Saregar', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Syazali', 'given': 'Muhamad'}}, {'id': None, 'name': {'honourific': None, 'family': 'Junaidi', 'lineage': None, 'given': 'Rahmad'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Wahyudianto', 'given': 'Benny'}, 'id': None}, {'id': None, 'name': {'family': 'Adi', 'lineage': None, 'honourific': None, 'given': 'Langit Cahya'}}]",,,,,,
5,1970-01-01 00:00:00.000002019,,unpub,public,,FKIP Unila,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/152891', 'security': 'public', 'placement': 1, 'eprintid': 33394, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'filesize': 2063055, 'objectid': 152891, 'filename': 'Kontrak Penelitian Unggulan BLU Unila.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/395998', 'hash_type': 'MD5', 'mtime': '2021-08-10 09:00:53', 'fileid': 395998, 'datasetid': 'document', 'hash': '2855f6454d8c2b6ab4baafef3830b6e3', 'mime_type': 'application/pdf'}], 'main': 'Kontrak Penelitian Unggulan BLU Unila.pdf', 'docid': 152891, 'format': 'text'}]",,,958,,33394,archive,2021-08-12 00:36:20,,,,,http://repository.lppm.unila.ac.id/id/eprint/33394,,,['LB1603'],,7,2021-08-12 00:36:20,,['FKIP4'],,disk0/00/03/33/94,2021-08-12 00:36:20,show,Pengembangan Program Pembelajaran IPA Terpadu  Immersed Berbasis Proyek Isu Limbah Kotoran Sapi Untuk Meningkatkan Keterampilan Berpikir Kreatif Siswa SMP,other,"[{'name': {'lineage': None, 'family': 'Diawati', 'honourific': None, 'given': 'Chansyanah'}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Fadiawati', 'lineage': None, 'given': 'Noor'}, 'id': 'noor.fadiawati@fkip.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Herlina', 'honourific': None, 'given': 'Kartini'}, 'id': 'kkartini.herlina@gmail.com'}]",,,,,,
6,2019-02-01 00:00:00.000000000,"This meta-analysis is the result of preliminary research which aims to describe the effectiveness of inquiri-based science learning in effort to improve students' inquiry skills. The study of meta-analysis with observation method and analyzed of fifteen journals, literature review using Google search engine in Journal of Baltic data base, ERIC journals (Education Resources Information Center and Google Scholar). Calculation of analysis used average Effect Size (ES) , analyzed the articles as research samples, then categorized based on Cohen's criteria The results of the data analysis obtained average Effect Size of 0.45, with the category ""medium"". Variations between levels of education and the country of researchers in the journals, the highest effect was on the state of America with a score was 0.88, with the category ""high"" in elementary school level. Based on the analysis of all samples of this study concluded that inquiry-based learning can be used in the development of science learning and improving of students inquiry skills on each level of education.",pub,public,Print : 1742-6588 Online : 1742-6596,IOP Publishing,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'files': [{'datasetid': 'document', 'fileid': 102086, 'mime_type': 'application/pdf', 'hash': '23cb7bafc569a9e5f52165158a427512', 'filesize': 1001872, 'objectid': 24174, 'uri': 'http://repository.lppm.unila.ac.id/id/file/102086', 'filename': '12.  Firman_2019_J._Phys.__Conf._Ser._1157_022018.pdf', 'hash_type': 'MD5', 'mtime': '2019-04-16 06:07:40'}], 'main': '12.  Firman_2019_J._Phys.__Conf._Ser._1157_022018.pdf', 'docid': 24174, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24174', 'security': 'public', 'placement': 1, 'eprintid': 11180}]",https://iopscience.iop.org/article/10.1088/1742-6596/1157/2/022018,2.0,435,1-7,11180,archive,2019-04-29 08:12:15,,,TRUE,,http://repository.lppm.unila.ac.id/id/eprint/11180,1157,,['LB'],published,6,2019-04-29 08:12:15,,['FKIP4'],Journal of Physics: Conference Series,disk0/00/01/11/80,2019-04-29 08:12:15,show,Description of meta-analysis of inquiry-based learning of science in improving students’ inquiry skills,article,"[{'name': {'given': 'M. A.', 'lineage': None, 'family': 'Firman', 'honourific': None}, 'id': 'andii.firman2@gmail.com'}, {'name': {'family': 'Ertikanto', 'lineage': None, 'honourific': None, 'given': 'Chandra'}, 'id': 'chandrafkipunila@gmail.com'}, {'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'given': 'Abdurrahman', 'honourific': None, 'lineage': None, 'family': 'Abdurrahman'}}]",,,,,,
7,1970-01-01 00:00:00.000002019,"This meta-analysis is the result of preliminary research which aims to describe the effectiveness of inquiri-based science learning in effort to improve students' inquiry skills. The study of meta-analysis with observation method and analyzed of fifteen journals, literature review using Google search engine in Journal of Baltic data base, ERIC journals (Education Resources Information Center and Google Scholar). Calculation of analysis used average Effect Size (ES) , analyzed the articles as research samples, then categorized based on Cohen's criteria The results of the data analysis obtained average Effect Size of 0.45, with the category ""medium"". Variations between levels of education and the country of researchers in the journals, the highest effect was on the state of America with a score was 0.88, with the category ""high"" in elementary school level. Based on the analysis of all samples of this study concluded that inquiry-based learning can be used in the development of science learning and improving of students inquiry skills on each level of education.",pub,none,Print : 1742-6588 Online : 1742-6596,IOP Publishing,,,,435,,17031,archive,2019-11-18 10:26:46,,,TRUE,,http://repository.lppm.unila.ac.id/id/eprint/17031,1157,,['H1'],published,5,2019-11-18 10:26:46,,['FKIP4'],Journal of Physics: Conference Series,disk0/00/01/70/31,2019-11-18 10:26:46,show,Description of meta-analysis of inquiry-based learning of science in improving students' inquiry skills,article,"[{'name': {'given': 'M.A', 'lineage': None, 'family': 'Firman', 'honourific': None}, 'id': None}, {'id': 'chandrafkipunila@gmail.com', 'name': {'lineage': None, 'family': 'Ertikanto', 'honourific': None, 'given': 'Chandra'}}, {'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'given': 'Abdurrahman', 'family': 'Abdurrahman', 'lineage': None, 'honourific': None}}]",,,,,,
8,2019-04-01 00:00:00.000000000,"Successful investigation in the laboratory was
supported by a student worksheet. This study aims to measures the validity and effectiveness of laboratory worksheet on a topic the Excretory Systems in Humans that has been developed based on the Argument-Driven Inquiry Model. The result of the research shows that the laboratory worksheet is proper to use aslearning resource that validity average is 84.25% are considered theoretically feasible and student response average is 96.40% is considered very good. Improvement of argumentation skill is shown with gain scores of 0.43.",pub,public,,,"[{'files': [{'filename': 'ICETEP054.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/101324', 'objectid': 24081, 'filesize': 2490581, 'mtime': '2019-04-05 05:10:58', 'hash_type': 'MD5', 'hash': 'f40201469aca1e6996543c9a39f34f02', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 101324}], 'main': 'ICETEP054.pdf', 'docid': 24081, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 11086, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24081', 'security': 'public'}]",file:///C:/Users/Admin/Downloads/ICETEP054.pdf,,986,223-231,11086,archive,2019-04-09 02:28:03,"Bengkulu, Indonesia","October 26-28, 2018",TRUE,paper,http://repository.lppm.unila.ac.id/id/eprint/11086,,International Conference on Educational Sciences and Teacher Profession (ICETeP 2018),['L1'],published,7,2019-04-09 02:28:03,conference,['FKIP4'],,disk0/00/01/10/86,2019-04-09 02:28:03,show,"Development of Laboratory Worksheet with
Argument-Driven Inquiry Model to Enhance the
Student's Argumentation Skills",conference_item,"[{'id': 'nenihasnunidah@gmail.com', 'name': {'lineage': None, 'family': 'Hasnunidah', 'honourific': None, 'given': 'Neni'}}, {'id': 'undangros@yahoo.com', 'name': {'given': 'Undang', 'honourific': None, 'lineage': None, 'family': 'Rosidin'}}]",,,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AQT'}]",,,
9,2019-10-01 00:00:00.000000000,"This research aims to describe the effectiveness of multiple representation basedstudent worksheets in improving students' critical thinking skills. The research method used is a quasi-experiment by using pretest-posttest design. This research was conducted in one of the Lampung provincial junior high schools. The sample in this study amounted to 58 students consisting of two experimental classes obtained by using a purposive sampling technique. The data was gained by using questionnaire and test, and it analyzed by using paired sample t-test to investigate the effectiveness of the learning method in both groups of samples. The proposed methods show that there were differences of pretest and posttest score between the first and second experiment class as well as the size effect. Furthermore, students also give good responses to the learning process by using students’ worksheet based on multiple representations. For all test cases, the experimental results imply that Multiple Representationbased Student Worksheet is one of the effective ways of improving students' critical thinking skills in the inheritance properties topic. This is evidenced by an average increase in all significant critical thinking indicators, especially indicators that advance clarification in the high category.",pub,public,Print : 1742-6588 Online : 1742-6596,IOP Publishing,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34637', 'eprintid': 21247, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 34637, 'main': '1. Hidayati_2019_J._Phys. _Conf._Ser._1321_032063.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-05-31 04:29:08', 'objectid': 34637, 'filesize': 1863063, 'uri': 'http://repository.lppm.unila.ac.id/id/file/197756', 'filename': '1. Hidayati_2019_J._Phys. _Conf._Ser._1321_032063.pdf', 'datasetid': 'document', 'fileid': 197756, 'hash': '3539fc81d00114b214b5b9d22f3f719a', 'mime_type': 'application/pdf'}]}]",https://iopscience.iop.org/article/10.1088/1742-6596/1321/3/032063/meta,3.0,435,,21247,archive,2020-05-31 06:25:26,,,TRUE,,http://repository.lppm.unila.ac.id/id/eprint/21247,1321,,['L1'],published,6,2020-05-31 06:25:26,,['FKIP4'],Journal of Physics: Conference Series,disk0/00/02/12/47,2020-05-31 06:25:26,show,The effectiveness of multiple representation-based student worksheet of inheritance properties topic to improve students’ critical thinking skill,article,"[{'id': 'dwifebrihidayati@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Hidayati', 'given': 'D.F.'}}, {'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'given': 'Abdurrahman', 'honourific': None, 'family': 'Abdurrahman', 'lineage': None}}, {'id': 'sunyono.1965@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Sunyono', 'honourific': None, 'given': 'Sunyono'}}]",,,,,,
