,subjects,date,uri,publisher,dir,divisions,status_changed,full_text_status,ispublished,rev_number,eprint_status,eprintid,datestamp,metadata_visibility,contributors,userid,documents,lastmod,type,creators,title,date_type,abstract,volume,publication,issn,pagerange,official_url,number,refereed,corp_creators,related_url,event_title,event_type,event_location,event_dates,pres_type,id_number,succeeds,place_of_pub
0,['L1'],2020-07-14 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/50673,IOP Publishing Ltd,disk0_bak/00/05/06/73,['FKIP4'],2023-04-25 11:20:42,public,unpub,12,archive,50673,2023-04-25 11:20:42,show,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AQT'}]",986,"[{'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190378', 'security': 'public', 'placement': 2, 'eprintid': 50673, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'fileid': 546078, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'bdf0eca80a097355728fce7326ee6d6d', 'hash_type': 'MD5', 'mtime': '2023-04-23 06:28:51', 'filesize': 1250452, 'objectid': 190378, 'filename': 'Miranti_2020_J._Phys.__Conf._Ser._1572_012049.pdf.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/546078'}], 'main': 'Miranti_2020_J._Phys.__Conf._Ser._1572_012049.pdf.pdf', 'docid': 190378, 'format': 'text'}]",2023-04-25 11:20:42,other,"[{'name': {'honourific': None, 'family': 'Abdurrahman', 'lineage': None, 'given': 'Abdurrahman'}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'name': {'given': 'Neni', 'honourific': None, 'lineage': None, 'family': 'Hasnunidah'}, 'id': 'nenihasnunidah@gmail.com'}]",Check Similarity: Perspective of students' science communication in science learning: opportunity in developing makerspace STEM learning approach,,,,,,,,,,,,,,,,,,,
1,['L1'],2020-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/21253,IOP Publishing,disk0/00/02/12/53,['FKIP4'],2020-05-31 06:25:45,public,pub,7,archive,21253,2020-05-31 06:25:45,show,,435,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': '8. Abdurrahman_2020_IOP_Conf._Ser. _Earth_Environ._Sci._460_012041.pdf', 'docid': 34646, 'files': [{'hash': '34c1726a698fc1e745607a006bdfa9ae', 'mime_type': 'application/pdf', 'fileid': 197799, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/197799', 'filename': '8. Abdurrahman_2020_IOP_Conf._Ser. _Earth_Environ._Sci._460_012041.pdf', 'filesize': 752138, 'objectid': 34646, 'mtime': '2020-05-31 04:55:59', 'hash_type': 'MD5'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/34646', 'pos': 1, 'eprintid': 21253, 'placement': 1}]",2020-05-31 06:25:45,article,"[{'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'given': 'Abdurrahman', 'lineage': None, 'family': 'Abdurrahman', 'honourific': None}}, {'id': None, 'name': {'family': 'Irwansyah', 'lineage': None, 'honourific': None, 'given': 'R.F'}}, {'name': {'given': 'Rofiqul', 'family': 'Umam', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'family': 'Syazali', 'lineage': None, 'given': 'Muhamad'}, 'id': None}, {'id': None, 'name': {'given': 'Rahmad', 'honourific': None, 'family': 'Junaidi', 'lineage': None}}, {'id': None, 'name': {'given': 'E.K.', 'lineage': None, 'family': 'Palupi', 'honourific': None}}, {'name': {'given': 'Irzaman', 'honourific': None, 'lineage': None, 'family': 'Irzaman'}, 'id': None}]","Biomass (rice husk) as a fuel for sterilizing oyster mushrooms: a case study of fuel efficiency comparison, temperature distribution and production effectiveness",published,"The study on the efficiency of biomass fuel (rice husk) was carried out in the sterilization of oyster mushrooms by using drums as sterilization media and convection pipes as accelerators for heat transfer throughout the sterilization chamber. Variations in diameter and number of convection pipes were used as a comparison in this study. The measurement of thermal temperature was carried out using a thermo laser. In addition, the interpretation of the thermal distribution of the room was analyzed using Surfer software that was performed as a comparison between the number and diameter of convection pipes and determining the distribution of temperature using numeric interpolation. The use of oyster mushroom production using convection pipes 1 rod with a diameter of 8 cm showed the best results, temperature distribution, the efficiency of fuel use in this study. In addition, the comparison of the number of pipes also proved that convection pipes have a temperature distribution that is more equivalent to the number of convection pipes 3 rods. However, the efficiency in the use of fuel using convection pipes 1 rod with a diameter of 6 cm showed a better value than the other.",460.0,IOP Conference Series: Earth and Environmental Science,1755-1315,445-455,https://iopscience.iop.org/article/10.1088/1755-1315/460/1/012041,1.0,TRUE,,,,,,,,,,
2,"['L1', 'LB2300']",2020-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29030,FKIP Univeresitas Lampung,disk0/00/02/90/30,['FKIP4'],2021-04-08 06:42:00,public,unpub,8,archive,29030,2021-04-08 06:42:00,show,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",1028,"[{'docid': 43138, 'main': 'Enhancing Students Activity and Science Concept Mastery using Guided Inquiry Based Practical Manual.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/257552', 'filename': 'Enhancing Students Activity and Science Concept Mastery using Guided Inquiry Based Practical Manual.pdf', 'filesize': 3416654, 'objectid': 43138, 'mtime': '2021-04-08 04:00:47', 'hash_type': 'MD5', 'hash': 'd202ebd1185a51089dae2349365437de', 'mime_type': 'application/pdf', 'fileid': 257552, 'datasetid': 'document'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 29030, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43138', 'security': 'public'}]",2021-04-08 06:42:00,other,"[{'id': None, 'name': {'given': 'Lis', 'honourific': None, 'lineage': None, 'family': 'Andriani'}}, {'id': 'sunyono.1965@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Sunyono', 'honourific': None, 'given': 'Sunyono'}}, {'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Abdurrahman', 'honourific': None, 'given': 'Abdurrahman'}}]",Enhancing Students’ Activity and Science Concept Mastery using Guided Inquiry-Based Practical Manual.,completed,,,,,,,,,"['Prodi S1 Pendidikan Kimia', 'Prodi S2 Keguruan IPA', 'Prodi S2 Pendidikan Fisika']",,,,,,,,,
3,['LB1501'],2020-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/26216,Universitas Malikussaleh,disk0/00/02/62/16,['FKIP4'],2020-11-19 11:33:26,public,pub,8,archive,26216,2020-11-19 11:33:26,show,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",553,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 40174, 'main': 'Developing PBL To Improve Mathematical Problem Solving And Self Efficacy.pdf', 'files': [{'objectid': 40174, 'filesize': 802807, 'filename': 'Developing PBL To Improve Mathematical Problem Solving And Self Efficacy.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/236677', 'hash_type': 'MD5', 'mtime': '2020-11-19 10:41:21', 'fileid': 236677, 'datasetid': 'document', 'hash': '4d0ecb0f36614c7d97bce93647ec689d', 'mime_type': 'application/pdf'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/40174', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 26216}]",2020-11-19 11:33:26,article,"[{'id': None, 'name': {'family': 'Anggalia', 'lineage': None, 'honourific': None, 'given': 'Fransisca'}}, {'name': {'given': 'Haninda', 'family': 'Bharata', 'lineage': None, 'honourific': None}, 'id': 'hanindabharataa@gmail.com'}, {'name': {'lineage': None, 'family': 'Rosidin', 'honourific': None, 'given': 'Undang'}, 'id': 'undangros@yahoo.com'}]",Developing PBL To Improve Mathematical Problem Solving And Self Efficacy,published,"This study is a research development (R&D) that aims to find out developing Problem-Based Learning (PBL) to improve students' mathematical problem solving abilities and valid, practical and effective student self-efficacy. The procedure of this research uses research development by Borg & gall, Research and Information Collecting, Planning, Developing Preliminary of Products, Preliminary Testing ,Main Product Revision, Main Field Test, Operational Product Revision, Operational Field Testing, Final Product Revision, Dissemination and Implementation, but in this study it was carried out only to the sixth stage. Data collection techniques using observation, interviews, questionnaires, and tests. The design is validated by the learning model design expert,
while the learning device is validated by the material expert, media expert and education practitioner. Furthermore the design was revised according to expert opinion. It was concluded that the ability to solve mathematical problems and self efficacy with problem based learning is more effective than the ability to solve mathematical problems with conventional learning.",3.0,International Journal of Trends in Mathematics Education Research,2621-8488,24-30,http://ijtmer.com,1.0,TRUE,"['Jurusan Pendidikan MIPA, FKIP UNILA', 'Jurusan Pendidikan MIPA, FKIP UNILA', 'Jurusan Pendidikan MIPA, FKIP UNILA']","[{'type': 'pub', 'url': 'https://library.laredo.edu/eds/detail?db=edsdoj&an=edsdoj.bcd97280978c4b5b8e52079adf209ad7&isbn=26218488'}]",,,,,,,,
4,['L1'],2020-10-18 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/24822,,disk0/00/02/48/22,['FKIP4'],2020-11-10 07:13:52,public,pub,7,archive,24822,2020-11-10 07:13:52,show,"[{'id': None, 'name': {'lineage': None, 'family': 'Apriyani Nurtika', 'honourific': None, 'given': 'Apriyani Nurtika'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/CCP', 'name': {'lineage': None, 'family': 'Sunyono', 'honourific': None, 'given': 'Sunyono'}, 'id': None}, {'id': 'dewilengkana76@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Dewi Lengkana', 'given': 'Dewi Lengkana'}, 'type': 'http://www.loc.gov/loc.terms/relators/CCP'}]",992,"[{'main': 'Dewi  ICOPE2020.doc', 'docid': 38571, 'files': [{'hash': 'bc13007d9dcd232d19858c7074168fad', 'mime_type': 'application/msword', 'fileid': 225021, 'datasetid': 'document', 'filename': 'Dewi  ICOPE2020.doc', 'uri': 'http://repository.lppm.unila.ac.id/id/file/225021', 'filesize': 127488, 'objectid': 38571, 'mtime': '2020-11-10 05:30:29', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/msword', 'rev_number': 1, 'placement': 1, 'eprintid': 24822, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38571', 'security': 'public'}]",2020-11-10 07:13:52,conference_item,"[{'id': None, 'name': {'given': 'Apriyani Nurtika', 'family': 'Apriyani Nurtika', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Sunyono', 'honourific': None, 'lineage': None, 'family': 'Sunyono'}, 'id': None}, {'name': {'family': 'Dewi Lengkana', 'lineage': None, 'honourific': None, 'given': 'Dewi Lengkana'}, 'id': 'dewilengkana76@gmail.com'}]",Teachers’ and Students’ Perceptions on The Use of SSI-based Assessment Instrument for Measuring Students’ Ability to Collaborate,published,"The purpose of this study was to analyze and explain teachers’ and students’ perceptions on the SSI-based assessment instrument for measuring students’ ability to collaborate. The method used was the descriptive method. The samples of this study cover ten junior high school teachers and one hundred junior high school students from ten different schools. Data collection was administered by means of questionnaires, while the proportions technique was used for analyzing the collected data. The results show that teachers' perceptions on the SSI-based instrument assessment in the implementation aspect were in low category, because in the learning process the teachers did not raised the issue of science (SSI) often (medium category). Learners' perceptions of the aspect of collaboration ability were also in low category as teachers have not assessed learners' ability to collaborate. It can be concluded that the SSI-based assessment instrument is needed by both teachers and learners to accurately measure learners’ ability to collaborate.
KEYWORDS 
assessment instrument, issue of science (SSI), collaborate skills",,,,1-4,,,TRUE,,,"The 2nd ICOPE 2020, October 17-18, Lampung, Indonesia",conference,Bandar Lampung,October 17-18,paper,,,
5,['L1'],2020-03-25 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/21249,International Organization of Scientific Research,disk0/00/02/12/49,['FKIP4'],2020-05-31 06:25:34,public,pub,6,archive,21249,2020-05-31 06:25:34,show,,812,"[{'format': 'text', 'docid': 34640, 'main': 'trijalmo-retno.pdf', 'files': [{'fileid': 197767, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'b3042c4a6178cc8cbffddc2f490a2a6b', 'objectid': 34640, 'filesize': 431657, 'filename': 'trijalmo-retno.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/197767', 'hash_type': 'MD5', 'mtime': '2020-05-31 04:36:45'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 21249, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/34640', 'pos': 1}]",2020-05-31 06:25:34,article,"[{'id': None, 'name': {'given': 'Retno Dwi', 'honourific': None, 'lineage': None, 'family': 'Astuti'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Setyarini', 'given': 'M.'}, 'id': 'marina_setyorini@yahoo.com'}, {'id': 'tri.jalmo@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Jalmo', 'given': 'Tri'}}]",The Importance of Guided Inquiry Learning Models to Train Communication Skills,published,"In 21st century, communication skills are skill that must be developed in addition to cognitive abilities. Teachers must be able to use appropriate strategies in learning activities so that students can have good communication skills which will make thesituation more interactive and effective and have an impact on high intensity discussions and deep learning understanding.This study aims to describe the importance of guided inquiry learning models in training communication skills.Data in this study were obtained using a needs analysis questionnaire involving 180 junior high school students in six districts of Lampung Province. The method used in this research is descriptive qualitative method and data collection using questionnaires. Data analysis of student questionnaire results was categorized into five criteria: very high, high, medium, low, and very low.The results of the analysis had an average of 52.9% categorized as ""moderate"". The results of a survey of students in six districts in Lampung Province revealed that natural science learning with the guided inquiry learning model has not all been carried out optimally such as in making problem formulations, making provisional assumptions (hypotheses), and proving provisional conjectures (hypotheses).Furthermore, students’ communication skills were not optimal in showing the truth of the data or opinions obtained from the results of the experiment and responding to statements from friends. The application of guided inquiry is not only to enhance students' ability to understand the material but also to train communication skills which are very important for students for more complex lives and to compete globally in 21st century.",10.0,IOSR Journal of Research & Method in Education (IOSR-JRME),2320–1959,46-50,https://www.iosrjournals.org/iosr-jrme/papers/Vol-10%20Issue-2/Series-3/K1002036569.pdf,2.0,TRUE,,,,,,,,10.9790/7388-1002034650,,
6,['L1'],2020-03-26 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/21246,International Organization of Scientific Research,disk0/00/02/12/46,['FKIP4'],2020-05-31 06:25:21,public,pub,6,archive,21246,2020-05-31 06:25:21,show,,812,"[{'eprintid': 21246, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/34638', 'format': 'text', 'main': 'rizki-setyarini-trijalmo.pdf', 'files': [{'hash': '1dd4816bff6f79a3f72ce89efb183331', 'mime_type': 'application/pdf', 'fileid': 197758, 'datasetid': 'document', 'mtime': '2020-05-31 04:29:20', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/197758', 'filename': 'rizki-setyarini-trijalmo.pdf', 'filesize': 454850, 'objectid': 34638}], 'docid': 34638, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2020-05-31 06:25:21,article,"[{'id': None, 'name': {'honourific': None, 'family': 'Ayuningtyas', 'lineage': None, 'given': 'Rizky'}}, {'name': {'given': 'M.', 'honourific': None, 'lineage': None, 'family': 'Setyarini'}, 'id': 'marina_setyorini@yahoo.com'}, {'name': {'given': 'Tri', 'lineage': None, 'family': 'Jalmo', 'honourific': None}, 'id': 'tri.jalmo@fkip.unila.ac.id'}]",The Importance of Guided Inquiry on Human Respiratory System Material to Improve Scientific Attitude of Students,published,"The purpose of this study was to obtain preliminary study data on the scientific attitude of students through the guided inquiry learning model on the topic of the human respiratory system. Data were collected by using needs analysison 153 junior high school students spread across five regencies in Lampung Province. This study used descriptive qualitative method and the data were collected by using questionnaire. The results of the study indicated that not all stages of guided inquiry were implemented to natural science learning with the guided inquiry learning model properly. The results of a survey on students at five regencies in Lampung Province showed that natural science learning with the guided inquiry learning model was not all in accordance with the stage scarried out such as making problem formulations and making temporary hypotheses. The scientific attitude showed honest and disciplined indicators, the truth of the data or opinions obtained from the results of the experiment and respond to the statements of friends who did not understand. The implementation of guided inquiry learning is believed to not only increase the abilities of students to understand the material but it can also improve scientific attitude which is a 21st-century skill that students must have to be able to prepare for more complex lives to compete globally. It is believed that the use of the guided inquiry learning model in the learning process is very necessary because it can have a positive influence on the scientific attitude of students on some thing abstract",10.0,IOSR Journal of Research & Method in Education (IOSR-JRME),2320–1959,65-69,https://www.iosrjournals.org/iosr-jrme/papers/Vol-10%20Issue-2/Series-3/K1002036569.pdf,2.0,TRUE,,,,,,,,10.9790/7388-1002035155,,
7,"['L1', 'LB1501', 'LC5201']",1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/28769,Periódico Tchê Química,disk0/00/02/87/69,['FKIP4'],2021-04-01 01:55:46,public,pub,9,archive,28769,2021-04-01 01:55:46,show,,705,"[{'eprintid': 28769, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42831', 'format': 'text', 'files': [{'hash': 'ce2fc70acd035eb852a613be52415d41', 'mime_type': 'application/pdf', 'fileid': 255200, 'datasetid': 'document', 'mtime': '2021-03-31 04:19:00', 'hash_type': 'MD5', 'filename': 'Utilization of Salacca Zalacca Seeds as Chromium (VI) Adsorbents.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/255200', 'objectid': 42831, 'filesize': 4066976}], 'main': 'Utilization of Salacca Zalacca Seeds as Chromium (VI) Adsorbents.pdf', 'docid': 42831, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2021-04-01 01:55:46,other,"[{'id': None, 'name': {'given': 'Farhan', 'family': 'Baehaki', 'lineage': None, 'honourific': None}}, {'id': 'ratubetta.rudibyani@fkip.unila.ac.id', 'name': {'given': 'Ratu Betta', 'family': 'Rudibyani', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Suci Rizki Nurul', 'honourific': None, 'family': 'Aeni', 'lineage': None}, 'id': None}, {'name': {'family': 'Perdana', 'lineage': None, 'honourific': None, 'given': 'Ryzal'}, 'id': None}]",Utilization of Salacca Zalacca Seeds as Chromium (VI) Adsorbents.,,,,,,,,,,,,,,,,,,,
8,"['L1', 'LB2300']",2020-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/29016,FKIP Univeresitas Lampung,disk0/00/02/90/16,['FKIP4'],2021-04-08 01:12:04,public,unpub,8,archive,29016,2021-04-08 01:12:04,show,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",1028,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'files': [{'datasetid': 'document', 'fileid': 257398, 'mime_type': 'application/pdf', 'hash': '33920705ba135139d4ce5dda2440dca5', 'hash_type': 'MD5', 'mtime': '2021-04-07 10:10:58', 'filesize': 2341991, 'objectid': 43122, 'uri': 'http://repository.lppm.unila.ac.id/id/file/257398', 'filename': 'Implementation of Discovery Learning Based Worksheet To Improve Students Concept Mastery of Science.pdf'}], 'main': 'Implementation of Discovery Learning Based Worksheet To Improve Students Concept Mastery of Science.pdf', 'docid': 43122, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43122', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 29016}]",2021-04-08 01:12:04,other,"[{'id': None, 'name': {'family': 'Ceriasari', 'lineage': None, 'honourific': None, 'given': 'Berti Ayu'}}, {'name': {'lineage': None, 'family': 'Sunyono', 'honourific': None, 'given': 'Sunyono'}, 'id': 'sunyono.1965@fkip.unila.ac.id'}, {'id': 'ratubetta.rudibyani@fkip.unila.ac.id', 'name': {'given': 'Ratu Betta', 'family': 'Rudibyani', 'lineage': None, 'honourific': None}}]",Implementation of Discovery Learning Based Worksheet To Improve Students’ Concept Mastery of Science.,completed,,,,,,,,,"['Prodi S1 Pendidikan Kimia', 'Prodi S2 Keguruan IPA', 'Prodi S1 Pendidikan Kimia`']",,,,,,,,,
9,['L1'],2020-10-18 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/24797,,disk0/00/02/47/97,['FKIP4'],2020-11-10 07:13:42,public,pub,8,archive,24797,2020-11-10 07:13:42,show,"[{'id': None, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'honourific': None, 'family': 'Dwi Septirawati', 'lineage': None, 'given': 'Dwi Septirawati'}}, {'type': 'http://www.loc.gov/loc.terms/relators/CCP', 'name': {'given': 'Sunyono', 'family': 'Sunyono', 'lineage': None, 'honourific': None}, 'id': None}, {'id': 'dewilengkana76@gmail.com', 'type': 'http://www.loc.gov/loc.terms/relators/CCP', 'name': {'given': 'Dewi Lengkana', 'lineage': None, 'family': 'Dewi Lengkana', 'honourific': None}}]",992,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'artikel E-LKPD (dewi ICOPE2).pdf', 'docid': 38553, 'files': [{'filename': 'artikel E-LKPD (dewi ICOPE2).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/224921', 'filesize': 442737, 'objectid': 38553, 'mtime': '2020-11-10 04:52:03', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '25b29116e708280d904ed925932c40e8', 'fileid': 224921, 'datasetid': 'document'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38553', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 24797}]",2020-11-10 07:13:42,conference_item,"[{'name': {'family': 'Dwi Septirawati,', 'lineage': None, 'honourific': None, 'given': 'Dwi Septirawati,'}, 'id': None}, {'name': {'family': 'Sunyono,', 'lineage': None, 'honourific': None, 'given': 'Sunyono'}, 'id': None}, {'name': {'given': 'Dewi Lengkana', 'family': 'Dewi', 'lineage': None, 'honourific': None}, 'id': 'dewilengkana76@gmail.com'}]",Teachers’ and Students’ Perceptions of the Socio-Scientific Issues (SSI)-based Electronic Student Worksheets for Improving Scientific Literacy and Collaboration Skills,published,"Abstract. The purpose of this study was to analyze and explain Teacher and Student Perceptions in Learning Using SSI-based electronic student worksheets in improving scientific literacy and collaboration skills. The research method is descriptive method. The population in this study were ten junior high school teachers and one hundred junior high school students from ten different schools. Data collection using questionnaires and data analysis techniques using percentages. The results showed that the teacher's perception of learning using SSI-based electronic student worksheets in the implementation aspect was in the very low category, because teachers still used conventional worksheets and books. Teachers' perceptions of aspects of scientific literacy are still low, but teachers have tried to apply them in learning. Furthermore, teachers' perceptions about student collaboration are in the ""low"" category. Students' perceptions of aspects of the SSI-based electronic Student Worksheet learning science literacy and collaboration skills are still very low. Then the percentage of student needs in using SSI-based electronic Student Worksheets in learning is in the ""high"" category. It can be concluded that the use of SSI-based electronic Student Worksheets can improve scientific literacy and student collaboration skills.",,,,1-6,,,TRUE,,,"The 2nd ICOPE 2020, October 17-18, Lampung, Indonesia",conference,Bandar Lampung,October 17-18,paper,,,
