,metadata_visibility,editors,eprint_status,eprintid,datestamp,pages,documents,lastmod,userid,refereed,title,type,isbn,subjects,date_type,uri,date,divisions,publisher,dir,related_url,ispublished,rev_number,status_changed,full_text_status,thesis_name,creators,thesis_type,department,institution,official_url,number,pagerange,abstract,volume,issn,publication,id_number,succeeds,pres_type,event_title,event_type
0,show,"[{'name': {'given': 'Sowiyah', 'honourific': None, 'lineage': None, 'family': 'Sowiyah'}}]",archive,33973,2021-09-20 01:06:38,122.0,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Buku Pendidikan Inklusif (Konsep & implementasi).pdf', 'files': [{'fileid': 401386, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'edc37f54bd0f2faf22a82cca75d4e1d0', 'objectid': 154221, 'filesize': 762695, 'filename': 'Buku Pendidikan Inklusif (Konsep & implementasi).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/401386', 'hash_type': 'MD5', 'mtime': '2021-09-19 13:44:21'}], 'docid': 154221, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154221', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 33973}]",2021-09-20 01:06:38,968,TRUE,Pendidikan Inklusif (Konsep & Implementasi),book,978-623-228-021-2,['L1'],published,http://repository.lppm.unila.ac.id/id/eprint/33973,1970-01-01 00:00:00.000002019,['FKIP5'],Graha Ilmu,disk0/00/03/39/73,[{'type': 'pub'}],pub,7,2021-09-20 01:06:38,public,,,,,,,,,,,,,,,,,
1,show,,archive,29793,2021-04-30 01:14:27,,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43996', 'pos': 1, 'eprintid': 29793, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': '11 Tri Ardila.pdf', 'docid': 43996, 'files': [{'hash_type': 'MD5', 'mtime': '2021-04-29 10:47:38', 'objectid': 43996, 'filesize': 502393, 'uri': 'http://repository.lppm.unila.ac.id/id/file/263625', 'filename': '11 Tri Ardila.pdf', 'fileid': 263625, 'datasetid': 'document', 'hash': '7145b8adc664c4ff84e86395719577d8', 'mime_type': 'application/pdf'}]}]",2021-04-30 01:14:27,214,,"Pengaruh Pembiayaan Pendidikan, Sarana Prasarana, dan Kompetensi Profesional Guru terhadap Mutu Sekolah Dasar",thesis,,['L1'],completed,http://repository.lppm.unila.ac.id/id/eprint/29793,1970-01-01 00:00:00.000002019,['FKIP5'],,disk0/00/02/97/93,,unpub,7,2021-04-30 01:14:27,public,other,"[{'name': {'family': 'Ardila', 'lineage': None, 'honourific': None, 'given': 'Tri'}}]",masters,MAP,Universitas Lampung,,,,,,,,,,,,
2,show,,archive,28835,2021-04-05 04:49:51,,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'The Novel Work Environment Model to Improve Teacher Performance A Study at SMAN 1 Sungkai Jaya, North Lampung.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '9547997fb45294f1eaa8d12e287b8cf8', 'fileid': 255860, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/255860', 'filename': 'The Novel Work Environment Model to Improve Teacher Performance A Study at SMAN 1 Sungkai Jaya, North Lampung.pdf', 'objectid': 42928, 'filesize': 3173317, 'mtime': '2021-04-01 08:43:27', 'hash_type': 'MD5'}], 'docid': 42928, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42928', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28835}]",2021-04-05 04:49:51,214,,"The Novel Work Environment Model to Improve Teacher Performance: A Study at SMAN 1 Sungkai Jaya, North Lampung.",other,,"['L1', 'LB1501', 'LC5201']",,http://repository.lppm.unila.ac.id/id/eprint/28835,2019-11-01 00:00:00.000000000,['FKIP5'],JPP FKIP Universitas Lampung,disk0/00/02/88/35,,pub,9,2021-04-05 04:49:51,public,,"[{'id': None, 'name': {'lineage': None, 'family': 'Desy', 'honourific': None, 'given': 'Nitalinda'}}, {'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'family': 'Abdurrahman', 'lineage': None, 'honourific': None, 'given': 'Abdurrahman'}}, {'name': {'given': 'Hasan', 'honourific': None, 'family': 'Hariri', 'lineage': None}, 'id': 'hasan.hariri@staff.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Sowiyah', 'honourific': None, 'given': 'Sowiyah'}, 'id': None}]",,,,,,,,,,,,,,,
3,show,,archive,33983,2021-09-20 01:07:12,,"[{'placement': 1, 'eprintid': 33983, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154231', 'security': 'public', 'docid': 154231, 'main': '2. Nitalinda et al inc Hariri 2019 The Novel Work Environment Model to Improve Teacher Performance.pdf', 'files': [{'mtime': '2021-09-19 15:23:52', 'hash_type': 'MD5', 'filename': '2. Nitalinda et al inc Hariri 2019 The Novel Work Environment Model to Improve Teacher Performance.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/401450', 'filesize': 1864331, 'objectid': 154231, 'mime_type': 'application/pdf', 'hash': 'f81c21295d62bbc9d5cae53f8cbf5b7f', 'fileid': 401450, 'datasetid': 'document'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2021-09-20 01:07:12,968,TRUE,"The Novel Work Environment Model to Improve Teacher Performance:
A Study at SMAN 1 Sungkai Jaya, North Lampung",article,,['L1'],published,http://repository.lppm.unila.ac.id/id/eprint/33983,2019-11-11 00:00:00.000000000,['FKIP5'],FKIP Universitas Lampung,disk0/00/03/39/83,"[{'type': 'pub', 'url': 'http://jurnal.fkip.unila.ac.id/index.php/jpp/'}]",pub,7,2021-09-20 01:07:12,public,,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Desy Nitalinda', 'given': 'Desy'}}, {'name': {'lineage': None, 'family': 'Abdurrahman', 'honourific': None, 'given': 'Abdurrahman'}}, {'name': {'honourific': None, 'family': 'Hasan', 'lineage': None, 'given': 'Hariri'}}, {'name': {'family': 'Sowiyah', 'lineage': None, 'honourific': None, 'given': 'Sowiyah'}}, {'name': {'given': 'Dedy', 'honourific': None, 'family': 'Dedy hermanto Karwan', 'lineage': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Bujang Rahman', 'given': 'Rahman'}}]",,,,http://jurnal.fkip.unila.ac.id/index.php/jpp/,2.0,54-62,"This study aims to create a good
environment in order to improve teacher performance in SMA Negeri 1 Sungkai Jaya, North Lampung.
In this study, a combination of two aspects of the work environment model was carried out to create
a reflective and appropriate work environment model. Methods: This study uses qualitative methods
with 50 respondents. Data collection techniques were carried out through observation, interviews,
documentation, and Focus Group Discussions (FGD). Findings: The results showed that the social
environment at SMAN 1 was good enough to produce good teacher outcomes, but improving
communication caused discomfort between the teacher and school principal relations. The artistic
environment at SMAN 1 shows that the teachers in carrying out the assignments given by the principal
are going well, in an orderly and disciplined manner, but the quality of the learning tools is better than
the difficulties in time. Conclusions: Model The reflective work environment has a good status on
the relationship between the principal and the teacher because the teacher and the principal are not
directly related.",9.0,e-ISSN: 2550-1313 | p-ISSN: 2087-9849,Jurnal Pendidikan Progresif,,,,,
4,show,,archive,33985,2021-09-20 01:07:17,,"[{'eprintid': 33985, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154233', 'pos': 1, 'format': 'text', 'main': '5. 18653-42679-1-PB.pdf', 'docid': 154233, 'files': [{'hash_type': 'MD5', 'mtime': '2021-09-19 15:39:45', 'filesize': 427474, 'objectid': 154233, 'uri': 'http://repository.lppm.unila.ac.id/id/file/401463', 'filename': '5. 18653-42679-1-PB.pdf', 'fileid': 401463, 'datasetid': 'document', 'hash': 'e59d44671caa77d0d62af8a8a5747221', 'mime_type': 'application/pdf'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2021-09-20 01:07:17,968,TRUE,The Correlation of The Skill Variations and Learning Interest with Learning Result of Class 5th,article,,['L1'],published,http://repository.lppm.unila.ac.id/id/eprint/33985,1970-01-01 00:00:00.000002019,['FKIP5'],,disk0/00/03/39/85,"[{'type': 'pub', 'url': 'http://jurnal.fkip.unila.ac.id/index.php/pgsd/article/view/18774'}]",pub,6,2021-09-20 01:07:17,public,,"[{'name': {'given': 'Fitria', 'honourific': None, 'family': 'Fitria Agustina', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Sowiyah', 'lineage': None, 'given': 'Sowiyah'}}, {'name': {'given': 'Siswantoro', 'family': 'Siswantoro', 'lineage': None, 'honourific': None}}]",,,,http://jurnal.fkip.unila.ac.id/index.php/pgsd/article/view/18774,8.0,,"The purpose of the research was to analyze and to know the positive and significant correlation between the skill variations and learning interest with students learning result of class 5th at elementary school gugus cut nyak dien east metro distric. The Method used of this research is ex-postfacto correlational. The population are 195 students and the research sample are 64 students. The data collection used the techniques observation, quetionnaire, and study documentations. The result showed that there were positive and significant correlation between the skill variations and learning interest with students learning result of class 5th at elementary school gugus cut nyak dien east metro distric with coefficient correlation 0,568 marked positive with strong enough criteria.",7.0,,Pedagogi : Jurnal Pendidikan Dasar,,,,,
5,show,,archive,30006,2021-05-05 07:39:20,,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'fileid': 355668, 'datasetid': 'document', 'hash': 'd676d38d6febc59b20fc67a11b55bb8d', 'mime_type': 'application/pdf', 'filesize': 99062, 'objectid': 134672, 'filename': '1 Reviewer SAGE Open Juli 2019.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/355668', 'hash_type': 'MD5', 'mtime': '2021-05-05 07:11:24'}], 'main': '1 Reviewer SAGE Open Juli 2019.pdf', 'docid': 134672, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/134672', 'pos': 1, 'eprintid': 30006, 'placement': 1}]",2021-05-05 07:39:20,214,,"Reviewing manuscript # SO-19-0339 entitled ""Principal Leadership Style and Teacher Job Performance: Evidence from Pakistan"" for SAGE Open in July 2019",other,,['L1'],completed,http://repository.lppm.unila.ac.id/id/eprint/30006,1970-01-01 00:00:00.000002019,['FKIP5'],SAGE open,disk0/00/03/00/06,,pub,10,2021-05-05 07:39:20,public,,"[{'name': {'lineage': None, 'family': 'Hariri', 'honourific': None, 'given': 'Hasan'}, 'id': 'hasan.hariri@staff.unila.ac.id'}]",,,,,,,"Menjadi reviewer pada jurnal internasional bereputasi SAGE Open: reviewing manuscript # SO-19-0339 entitled ""Principal Leadership Style and Teacher Job Performance: Evidence from Pakistan"" for SAGE Open (bukti: email dari SAGE Open terlampir tanggal 06-Jul-2019).",,,,,,,,
6,show,,archive,30007,2021-05-05 07:39:22,,"[{'eprintid': 30007, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/134674', 'format': 'text', 'files': [{'fileid': 355675, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '05f06003d6327cc4d542084c272204b3', 'filesize': 99699, 'objectid': 134674, 'filename': '2 Reviewer SAGE Open Desember 2019.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/355675', 'hash_type': 'MD5', 'mtime': '2021-05-05 07:17:46'}], 'main': '2 Reviewer SAGE Open Desember 2019.pdf', 'docid': 134674, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2021-05-05 07:39:22,214,,"Reviewing manuscript # SO-19-3132 entitled ""The Relationship Between School Principals’ Paternalistic Leadership and Teachers’ Job Burnout: An Action Research*"" for SAGE Open on December 2019",other,,['L1'],completed,http://repository.lppm.unila.ac.id/id/eprint/30007,1970-01-01 00:00:00.000002019,['FKIP5'],SAGE open,disk0/00/03/00/07,,pub,7,2021-05-05 07:39:22,public,,"[{'id': 'hasan.hariri@staff.unila.ac.id', 'name': {'given': 'Hasan', 'lineage': None, 'family': 'Hariri', 'honourific': None}}]",,,,,,,"Menjadi reviewer pada jurnal internasional bereputasi SAGE Open: reviewing manuscript # SO-19-3132 entitled ""The Relationship Between School Principals’ Paternalistic Leadership and Teachers’ Job Burnout: An Action Research*"" for SAGE Open (bukti: email dari SAGE Open terlampir tanggal 15-Dec-2019).",,,,,,,,
7,show,,archive,29961,2021-05-05 01:03:25,,"[{'placement': 1, 'eprintid': 29961, 'uri': 'http://repository.lppm.unila.ac.id/id/document/134434', 'pos': 1, 'security': 'public', 'main': '17 Nurlaely Kholidah p2.pdf', 'files': [{'fileid': 355137, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'eefb06a123755e906c14181e97dc7504', 'hash_type': 'MD5', 'mtime': '2021-05-04 14:34:00', 'objectid': 134434, 'filesize': 226588, 'uri': 'http://repository.lppm.unila.ac.id/id/file/355137', 'filename': '17 Nurlaely Kholidah p2.pdf'}], 'docid': 134434, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2021-05-05 01:03:25,214,,Manajemen Hubungan Sekolah dan Masyarakat di SMA Diniyyah Putri Lampung,thesis,,['L1'],completed,http://repository.lppm.unila.ac.id/id/eprint/29961,1970-01-01 00:00:00.000002019,['FKIP5'],,disk0/00/02/99/61,,unpub,8,2021-05-05 01:03:25,public,other,"[{'name': {'given': 'Nurlalely', 'honourific': None, 'lineage': None, 'family': 'Kholidah'}}]",other,MAP,Universitas Lampung,,,,,,,,,,,,
8,show,,archive,29788,2021-04-30 01:14:15,,"[{'docid': 43991, 'main': '6 Tesis Lourena Fitri.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-04-29 10:34:40', 'filesize': 258204, 'objectid': 43991, 'filename': '6 Tesis Lourena Fitri.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/263590', 'datasetid': 'document', 'fileid': 263590, 'hash': '6a821227401496400f46ec828f4a6d9f', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 29788, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43991', 'pos': 1, 'security': 'public'}]",2021-04-30 01:14:15,214,,"Pengaruh Keterampilan Manajerial Kepala Sekolah, Disiplin Kerja, dan Motivasi Berprestasi terhadap Kinerja Guru pada SMKN di Kota Bandar Lampung",thesis,,['L1'],completed,http://repository.lppm.unila.ac.id/id/eprint/29788,1970-01-01 00:00:00.000002019,['FKIP5'],,disk0/00/02/97/88,,unpub,7,2021-04-30 01:14:15,public,other,"[{'name': {'family': 'May', 'lineage': None, 'honourific': None, 'given': 'Lourena Fitri'}}]",masters,MAP,Universitas Lampung,,,,,,,,,,,,
9,show,,archive,22881,2020-06-30 03:47:36,,"[{'eprintid': 22881, 'placement': 1, 'formatdesc': 'Reflective work environment has a good status on the relationship between principals and teachers.', 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36426', 'format': 'text', 'docid': 36426, 'main': 'Nitalinda et al inc Hariri 2019 The Novel Work Environment Model to Improve Teacher Performance.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'f81c21295d62bbc9d5cae53f8cbf5b7f', 'datasetid': 'document', 'fileid': 209960, 'mtime': '2019-11-14 14:47:30', 'hash_type': 'MD5', 'filename': 'Nitalinda et al inc Hariri 2019 The Novel Work Environment Model to Improve Teacher Performance.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/209960', 'objectid': 36426, 'filesize': 1864331}], 'content': 'published', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 4}, {'docid': 36428, 'main': 19832, 'files': [{'fileid': 209989, 'datasetid': 'document', 'mime_type': 'application/xml', 'hash': '4a9dfc8e3edc5acbd8b4e32f3a6fb9d3', 'hash_type': 'MD5', 'mtime': '2020-06-30 03:32:10', 'filesize': 36915, 'objectid': 36428, 'filename': 19832, 'uri': 'http://repository.lppm.unila.ac.id/id/file/209989'}], 'format': 'other', 'rev_number': 4, 'language': 'en', 'mime_type': 'application/xml', 'content': 'published', 'placement': 2, 'eprintid': 22881, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36428', 'pos': 2, 'formatdesc': 'Reflective work environment has a good status on the relationship between principals and teachers.', 'security': 'public'}]",2020-06-30 03:47:36,214,TRUE,"The Novel Work Environment Model to Improve Teacher Performance:A Study at SMAN 1 Sungkai Jaya, North Lampung",article,,['L1'],published,http://repository.lppm.unila.ac.id/id/eprint/22881,2019-11-11 00:00:00.000000000,['FKIP5'],FKIP Unila,disk0/00/02/28/81,,pub,6,2020-06-30 03:47:36,public,,"[{'id': None, 'name': {'given': 'Desy', 'honourific': None, 'lineage': None, 'family': 'Nitalinda'}}, {'name': {'honourific': None, 'family': 'Abdurrahman', 'lineage': None, 'given': 'Abdurrahman'}, 'id': None}, {'id': 'hasan.hariri@staff.unila.ac.id', 'name': {'given': 'Hasan', 'family': 'Hariri', 'lineage': None, 'honourific': None}}, {'name': {'lineage': None, 'family': 'Sowiyah', 'honourific': None, 'given': 'Sowiyah'}, 'id': None}, {'name': {'given': 'Dedy Hermanto', 'honourific': None, 'family': 'Karwan', 'lineage': None}, 'id': None}, {'id': None, 'name': {'given': 'Bujang', 'family': 'Rahman', 'lineage': None, 'honourific': None}}]",,,,http://jurnal.fkip.unila.ac.id/index.php/jpp/,2.0,54-62,"The Novel Work Environment Model to Improve Teacher Performance: A Study
at SMAN 1 Sungkai Jaya, North Lampung. Objectives: This study aims to create a good
environment in order to improve teacher performance in SMA Negeri 1 Sungkai Jaya, North LampungIn this study, a combination of two aspects of the work environment model was carried out to create
a reflective and appropriate work environment model. Methods: This study uses qualitative methods
with 50 respondents. Data collection techniques were carried out through observation, interviewsdocumentation, and Focus Group Discussions (FGD). Findings: The results showed that the sociaenvironment at SMAN 1 was good enough to produce good teacher outcomes, but improving
communication caused discomfort between the teacher and school principal relations. The artistic
environment at SMAN 1 shows that the teachers in carrying out the assignments given by the principaare going well, in an orderly and disciplined manner, but the quality of the learning tools is better than the difficulties in time. Conclusions: Model of The reflective work environment has a good status on the relationship between the principal and the teacher because the teacher and the principal are not directly related.
Keywords: Reflective work environment model, school, teacher performance.",9.0,e-ISSN: 2550-1313 | p-ISSN: 2087-9849,Jurnal Pendidikan Progresif (JPP),10.23960/jpp.v9.i2.201906,16471.0,,,
