,ispublished,rev_number,full_text_status,issn,status_changed,divisions,publisher,publication,dir,uri,date,abstract,volume,date_type,subjects,title,refereed,creators,type,lastmod,official_url,documents,userid,number,metadata_visibility,pagerange,datestamp,eprintid,eprint_status,related_url,id_number,corp_creators,contributors,contact_email,patent_applicant,succeeds
0,pub,11,public,"e-ISSN: 2320–7388, p- ISSN: 2320-737x",2021-08-05 09:08:23,['FKIP8'],IOSR Journal of Research & Method in Education (IOSR-JRME),IOSR Journal of Research & Method in Education (IOSR-JRME),disk0/00/03/33/27,http://repository.lppm.unila.ac.id/id/eprint/33327,2021-02-01 00:00:00.000000000,"Background: The problem in this study is the low skills of writing negotiation text of class X IPS Al Azhar 3
Bandar Lampung High School in the 2019/2020 academic year. This study aims to describe (1) the learning
plan, (2) implementation with a Project Based Learning model. The benefits of this research are to foster
student learning activity and motivation, broaden insight and knowledge for educators/researchers, contribute
to school principals to determine school policies to improve the quality of learning, especially writing lessons.
This study used a Classroom Action Research design, the process consisted of four stages, namely planning,
implementing, observing, and reflecting. This action research was conducted in three cycles, and each cycle
consisted of two meetings.
Materials and Methods: The type of research used is Classroom Action Research which is conducted in three cycles. Place of research at Al Azhar 3 Bandar Lampung High School. Cycle I, cycle II, and cycle III through the application of a project based learning model. The cycle consists of planning, implementing, observing, and reflecting.
Results: The results of this study indicate that (1) the learning plan to write negotiating texts through the
application of the project based learning model for class X IPS 3 Al Azhar 3 Bandar Lampung High School in the precondition is 58.65 with a poor category, cycle I is 70.67 with adequate category, cycle II was 80.76 with a good category, and cycle III was 95.19 with a very good category; (2) the implementation of learning in the precondition 62.91 in the sufficient category, the first cycle of 72.5 in the sufficient category, the second cycle of 81.25 with the good category, and the third cycle of 95.83 with the very good category; (3) the average increase in the quality of learning to write negotiating text for students in class X IPS 3 Al Azhar 3 Bandar Lampung High School in precondition is 64.09 with sufficient category, cycle I is 70.93 with enough category, cycle II is 74.78 with good category, and cycle III of 90.65 with a very good category.
Conclusion: Learning activities as a whole, both from lesson planning, learning implementation, and learning
assessment from preconditions, cycle I, cycle II, and cycle III have increased.
Keywords: Project based learning model, negotiation text, classroom action research.",11.0,published,"['L1', 'LB1501', 'LC5201']",The Application of Project Based Learning Models to Improve The Skills of Writing Negotiation Text for Students in Al Azhar 3 Bandar Lampung High School,TRUE,"[{'id': None, 'name': {'family': 'Angeliqe', 'lineage': None, 'honourific': None, 'given': 'Delavega'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Muhammad Fuad', 'given': 'Muhammad Fuad'}, 'id': 'abuazisah59@yahoo.co.id'}, {'id': None, 'name': {'given': 'Nurlaksana eko', 'lineage': None, 'family': 'Nurlaksana eko', 'honourific': None}}]",article,2021-08-05 09:08:23,http://www.iosrjournals.org/iosr-jrme/papers/Vol-11%20Issue-1/Ser-7/A1101070109.pdf,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'format': 'text', 'files': [{'fileid': 395001, 'datasetid': 'document', 'hash': '85434b52b5bc602a65853ad644cf0837', 'mime_type': 'application/pdf', 'filesize': 402788, 'objectid': 152404, 'filename': '5. A1101070109.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/395001', 'hash_type': 'MD5', 'mtime': '2021-08-05 04:02:45'}], 'main': '5. A1101070109.pdf', 'docid': 152404, 'security': 'public', 'formatdesc': 'Artikel', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/152404', 'eprintid': 33327, 'placement': 1}, {'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'main': '5.pdf', 'docid': 152405, 'files': [{'hash_type': 'MD5', 'mtime': '2021-08-05 04:03:03', 'objectid': 152405, 'filesize': 1026712, 'filename': '5.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/395003', 'fileid': 395003, 'datasetid': 'document', 'hash': '27346b5a41e5cf6a02e2309fd6f356e0', 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/152405', 'security': 'public', 'formatdesc': 'Reviewer', 'placement': 2, 'eprintid': 33327}, {'main': 'The_Application_of_Project_Based_Learning_Models_t.pdf', 'docid': 152406, 'files': [{'filename': 'The_Application_of_Project_Based_Learning_Models_t.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/395005', 'filesize': 2262757, 'objectid': 152406, 'mtime': '2021-08-05 04:03:28', 'hash_type': 'MD5', 'hash': 'dc927ddfca23c18db260ef7bf01f94fd', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 395005}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'placement': 3, 'eprintid': 33327, 'pos': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/152406', 'formatdesc': 'Similaritas', 'security': 'public'}]",941,1.0,show,1-9,2021-08-05 09:08:23,33327,archive,,,,,,,
1,pub,9,public,"e-ISSN: 2320–7388,p-ISSN: 2320–737X",2022-12-10 05:07:37,['FKIP8'],IOSR Journal of Research & Method in Education (IOSR-JRME),IOSR Journal of Research & Method in Education (IOSR-JRME),disk0/00/04/71/76,http://repository.lppm.unila.ac.id/id/eprint/47176,2021-02-18 00:00:00.000000000,"Background: The problem in this study is the low skills of writing negotiation text of class X IPS Al Azhar 3 Bandar Lampung High School in the 2019/2020 academic year. This study aims to describe (1) the learning plan, (2) implementation with a Project Based Learning model. The benefits of this research are to foster student learning activity and motivation, broaden insight and knowledge for educators/researchers, contribute to school principals to determine school policies to improve the quality of learning, especially writing lessons. This study used a Classroom Action Research design, the process consisted of four stages, namely planning, implementing, observing, and reflecting. This action research was conducted in three cycles, and each cycle consisted of two meetings.
Materials and Methods: The type of research used is Classroom Action Research which is conducted in three
cycles. Place of research at Al Azhar 3 Bandar Lampung High School. Cycle I, cycle II, and cycle III through
the application of a project based learning model. The cycle consists of planning, implementing, observing, and
reflecting.
Results: The results of this study indicate that (1) the learning plan to write negotiating texts through the
application of the project based learning model for class X IPS 3 Al Azhar 3 Bandar Lampung High School in
the precondition is 58.65 with a poor category, cycle I is 70.67 with adequate category, cycle II was 80.76 with
a good category, and cycle III was 95.19 with a very good category; (2) the implementation of learning in the precondition 62.91 in the sufficient category, the first cycle of 72.5 in the sufficient category, the second cycle of 81.25 with the good category, and the third cycle of 95.83 with the very good category; (3) the average increase
in the quality of learning to write negotiating text for students in class X IPS 3 Al Azhar 3 Bandar Lampung High School in precondition is 64.09 with sufficient category, cycle I is 70.93 with enough category, cycle II is 74.78 with good category, and cycle III of 90.65 with a very good category.",11.0,published,['L1'],The Application of Project Based Learning Models to Improve The Skills of Writing Negotiation Text for Students in Al Azhar 3 Bandar Lampung High School,FALSE,"[{'name': {'given': 'Delavega', 'lineage': None, 'family': 'Angeliqe', 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Muhammad Fuad', 'given': 'Muhammad Fuad'}, 'id': 'abuazisah59@yahoo.co.id'}, {'id': None, 'name': {'given': 'Nurlaksana eko', 'honourific': None, 'lineage': None, 'family': 'Nurlaksana eko'}}]",article,2022-12-10 05:07:37,http://www.iosrjournals.org/iosr-jrme/papers/Vol-11%20Issue-1/Ser-7/A1101070109.pdf,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/186146', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 47176, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'content': 'coverimage', 'main': 'cover-page.pdf', 'docid': 186146, 'files': [{'mtime': '2022-12-09 14:42:33', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/518093', 'filename': 'cover-page.pdf', 'objectid': 186146, 'filesize': 699728, 'mime_type': 'application/pdf', 'hash': 'f48275a5845fe7644886d53f706eb641', 'fileid': 518093, 'datasetid': 'document'}], 'format': 'text'}, {'format': 'text', 'main': 'A1101070109.pdf', 'files': [{'mtime': '2022-12-09 14:42:49', 'hash_type': 'MD5', 'filename': 'A1101070109.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/518095', 'filesize': 402788, 'objectid': 186147, 'mime_type': 'application/pdf', 'hash': '85434b52b5bc602a65853ad644cf0837', 'datasetid': 'document', 'fileid': 518095}], 'docid': 186147, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'eprintid': 47176, 'placement': 2, 'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186147'}, {'uri': 'http://repository.lppm.unila.ac.id/id/document/186148', 'pos': 3, 'security': 'public', 'placement': 3, 'eprintid': 47176, 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'content': 'other', 'main': 'Uji Turnitin_The Application of Project Based Learning Models to Improve The Skills of Writing Negotiation Text for Students in Al Azhar 3 Bandar Lampung High School.pdf', 'files': [{'filename': 'Uji Turnitin_The Application of Project Based Learning Models to Improve The Skills of Writing Negotiation Text for Students in Al Azhar 3 Bandar Lampung High School.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/518097', 'objectid': 186148, 'filesize': 2234975, 'mtime': '2022-12-09 14:43:12', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '9f877530f748960cec51cf51c7ede50a', 'fileid': 518097, 'datasetid': 'document'}], 'docid': 186148, 'format': 'text'}]",709,1.0,show,01-09,2022-12-10 05:07:37,47176,archive,"[{'url': 'http://www.iosrjournals.org/iosr-jrme/papers/Vol-11%20Issue-1/Ser-7/A1101070109.pdf', 'type': 'pub'}]",DOI: 10.9790/7388-1101070109,,,,,
2,unpub,10,public,,2022-01-20 01:35:55,['FKIP8'],Universitas Lampung,,disk0/00/03/80/54,http://repository.lppm.unila.ac.id/id/eprint/38054,2021-12-17 00:00:00.000000000,"Judul	Paper pd Jurnal: Long-term Deformation of Beam and Column of High-performance Concrete (IJTech)	
Prof Suharno Prof Stefanus Prof Sri Tudjono Author    N fx Rt2
     38	          36	         38	    Pertama	22.4",,,['ZA4450'],Peer Review Long-term Deformation of Beam-Column of High,,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Chatarina', 'given': 'Niken'}, 'id': 'chatarinaniken@yahoo.com'}, {'name': {'lineage': None, 'family': 'Elly', 'honourific': None, 'given': 'Tjahjono'}, 'id': 'elly@eng.ui.ac.id'}, {'id': 'fxsupartono@gmail.com', 'name': {'given': 'Supartono', 'lineage': None, 'family': 'FX', 'honourific': None}}]",other,2022-01-20 01:35:55,,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Peer Review Beam Column.pdf', 'docid': 159012, 'files': [{'hash': '9801ed35b4ea1e3837f4b7a06a92d67e', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 432462, 'uri': 'http://repository.lppm.unila.ac.id/id/file/432462', 'filename': 'Peer Review Beam Column.pdf', 'objectid': 159012, 'filesize': 352524, 'mtime': '2022-01-19 14:25:18', 'hash_type': 'MD5'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159012', 'eprintid': 38054, 'placement': 1}]",846,,show,,2022-01-20 01:35:55,38054,archive,,,['Universitas Indonesia'],"[{'name': {'family': 'Indocement, Ltd', 'lineage': None, 'honourific': None, 'given': 'Indonesia'}, 'id': 'corpsec@indocement.co.id'}, {'name': {'honourific': None, 'family': 'Sika, Ltd', 'lineage': None, 'given': 'Indonesia'}, 'id': 'sikacare@id.sika.com'}]",,,
3,pub,6,public,2320–7388,2022-12-22 03:01:25,['FKIP8'],International Organization of Scientific Research (IOSR),IOSR Journal of Research & Method in Education (IOSR-JRME),disk0_bak/00/04/73/79,http://repository.lppm.unila.ac.id/id/eprint/47379,2021-03-01 00:00:00.000000000,,11.0,published,['L1'],Development of Interactive Multimedia Based Procedure Learning Media for Class Vii Students,TRUE,"[{'id': 'diah.berta@gmail.com', 'name': {'given': 'Berta Alpia', 'lineage': None, 'family': 'Diyah', 'honourific': None}}, {'id': 'munaris.1970@fkip.unila.ac.id', 'name': {'given': 'Munaris', 'honourific': None, 'family': 'Munaris', 'lineage': None}}, {'id': 'mulyanto.widodo@fkip.unila.ac.id', 'name': {'given': 'widodo', 'family': 'Mulyanto', 'lineage': None, 'honourific': None}}]",article,2022-12-22 03:01:25,https://www.iosrjournals.org,"[{'files': [{'datasetid': 'document', 'fileid': 519859, 'mime_type': 'application/pdf', 'hash': '9e4ce60a40f9eea5275b86f2dd937ca9', 'hash_type': 'MD5', 'mtime': '2022-12-22 02:41:13', 'filesize': 201864, 'objectid': 186428, 'uri': 'http://repository.lppm.unila.ac.id/id/file/519859', 'filename': '5513.pdf'}], 'main': '5513.pdf', 'docid': 186428, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 47379, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186428', 'pos': 1, 'security': 'public'}]",77,2.0,show,26-30,2022-12-22 03:01:25,47379,archive,[{'url': 'https://www.iosrjournals.org'}],,,,,,
4,pub,10,public,P-ISSN: 1411-2051 / E-ISSN: 2620-3928,2021-08-05 09:08:44,['FKIP8'],Universitas Lampung,AKSARA: Jurnal Bahasa dan Sastra,disk0/00/03/33/32,http://repository.lppm.unila.ac.id/id/eprint/33332,1970-01-01 00:00:00.000002021,"Penelitian ini bertujuan mengidentifikasi dan menganalisis strategi yang digunakan siswa dalam menulis kreatif melalui pembelajaran daring, serta kendala yang dihadapi siswa Kelas VIII SMP di Kabupaten Pringsewu Tahun 2020. Penelitian ini menggunakan metode deskripstif kualitatif, berupa studi kasus. Sumber data berupa proses menulis, termasuk guru dan hasil pembelajaran. Sampel dalam penelitian ini berjumlah 29 siswa, yang ditentukan secara purposif, khususnya siswa yang memiliki kemampuan menulis dengan kategori sepuluh terbaik di sekolahnya. Hasil penelitian menunjukkan keseluruhan siswa dominan menggunakan strategi dalam menulis kreatif, yakni sebanyak 71,55% dengan kategori baik. Strategi yang dilakukan siswa terkait dengan proses penulisan (79,31%), penetapan tujuan (48,28%), pengaturan waktu (58,62%), dan pemanfaatan bahan (100%). Untuk produk tulisan ditemukan rerata nilai siswa untuk semua komponen sebesar 77,75 (83,62%) dengan kategori baik. Selama proses penulisan ditemukan beberapa kendala, yakni 6,90% siswa kurang paham dalam hal menetapkan tujuan menulis dan 16,38% siswa kurang mampu mengelola waktu karena penulisan dilakukan di rumah (terlalu leluasa)",22.0,published,"['L1', 'LB1501', 'LC5201']",Strategi menulis kreatif dalam pembelajaran daring siswa SMP di Kabupaten Pringsewu tahun 2020,TRUE,"[{'id': 'doktor_edy@yahoo.com', 'name': {'honourific': None, 'family': 'Edi Suyanto', 'lineage': None, 'given': 'ES'}}, {'id': 'abuazisah59@yahoo.co.id', 'name': {'honourific': None, 'family': 'Muhammad Fuad', 'lineage': None, 'given': 'Muhammad Fuad'}}]",article,2021-08-05 09:08:44,http://jurnal.fkip.unila.ac.id/index.php/aksara/article/view/22159,"[{'eprintid': 33332, 'placement': 1, 'formatdesc': 'Artikel', 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/152474', 'format': 'text', 'files': [{'filesize': 655696, 'objectid': 152474, 'uri': 'http://repository.lppm.unila.ac.id/id/file/395120', 'filename': '10. 22159-53092-2-PB.pdf', 'hash_type': 'MD5', 'mtime': '2021-08-05 04:34:28', 'fileid': 395120, 'datasetid': 'document', 'hash': '1cc175b0136f0eaa1f77cb878812d2b2', 'mime_type': 'application/pdf'}], 'main': '10. 22159-53092-2-PB.pdf', 'docid': 152474, 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf'}, {'format': 'text', 'docid': 152475, 'main': '10.pdf', 'files': [{'filename': '10.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/395122', 'filesize': 1089989, 'objectid': 152475, 'mtime': '2021-08-05 04:34:42', 'hash_type': 'MD5', 'hash': '4528bc3099bb3f2d802deba9cb33adbf', 'mime_type': 'application/pdf', 'fileid': 395122, 'datasetid': 'document'}], 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 33332, 'placement': 2, 'security': 'public', 'formatdesc': 'Reviewer', 'uri': 'http://repository.lppm.unila.ac.id/id/document/152475', 'pos': 2}]",941,1.0,show,105-115,2021-08-05 09:08:44,33332,archive,,,,,,,
5,pub,8,public,,2021-03-01 04:54:47,['FKIP8'],,,disk0/00/02/81/37,http://repository.lppm.unila.ac.id/id/eprint/28137,2021-02-22 00:00:00.000000000,REPRESENTASI DAKWAH DALAM SASTRA INDONESIA,,published,['L1'],REPRESENTASI DAKWAH DALAM SASTRA INDONESIA,,"[{'name': {'honourific': None, 'family': 'Fuad', 'lineage': None, 'given': 'Muhammad'}, 'id': 'muhammad.fuadum@fkip.unila.ac.id'}]",patent,2021-03-01 04:54:47,,"[{'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'main': 'sertifikat_EC00202112550_REPRESENTASI DAKWAH DALAM SASTRA INDONESIA.pdf', 'files': [{'objectid': 42189, 'filesize': 2178620, 'filename': 'sertifikat_EC00202112550_REPRESENTASI DAKWAH DALAM SASTRA INDONESIA.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/250358', 'hash_type': 'MD5', 'mtime': '2021-03-01 01:46:20', 'fileid': 250358, 'datasetid': 'document', 'hash': '91da600cefe66fd0f0a9d7f9204fdf08', 'mime_type': 'application/pdf'}], 'docid': 42189, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42189', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28137}]",941,,show,,2021-03-01 04:54:47,28137,archive,,EC00202112550,,,muhammad.fuadum@fkip.unila.ac.id,REPRESENTASI DAKWAH DALAM SASTRA INDONESIA,
6,pub,9,restricted,,2021-11-09 10:04:58,['FKIP8'],,,disk0/00/03/56/33,http://repository.lppm.unila.ac.id/id/eprint/35633,2021-02-22 00:00:00.000000000,REPRESENTASI DAKWAH DALAM SASTRA INDONESIA,,published,"['L1', 'LB1501', 'LC5201', 'P1']",REPRESENTASI DAKWAH DALAM SASTRA INDONESIA,,"[{'name': {'lineage': None, 'family': 'Fuad', 'honourific': None, 'given': 'Muhammad'}}]",patent,2021-11-09 10:04:58,https://pdki-indonesia.dgip.go.id/detail/EC00202112550?type=copyright&keyword=000239388,"[{'security': 'validuser', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/156531', 'eprintid': 35633, 'placement': 1, 'content': 'published', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 3, 'format': 'text', 'main': 'sertifikat_EC00202112550_REPRESENTASI DAKWAH DALAM SASTRA INDONESIA.pdf', 'docid': 156531, 'files': [{'hash': '91da600cefe66fd0f0a9d7f9204fdf08', 'mime_type': 'application/pdf', 'fileid': 414776, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/414776', 'filename': 'sertifikat_EC00202112550_REPRESENTASI DAKWAH DALAM SASTRA INDONESIA.pdf', 'objectid': 156531, 'filesize': 2178620, 'mtime': '2021-02-23 03:07:52', 'hash_type': 'MD5'}]}, {'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'main': '16.pdf', 'docid': 156537, 'files': [{'hash_type': 'MD5', 'mtime': '2021-11-09 04:40:18', 'filesize': 890484, 'objectid': 156537, 'uri': 'http://repository.lppm.unila.ac.id/id/file/414783', 'filename': '16.pdf', 'fileid': 414783, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'ca5b6d51a2c21fc06f0d55a06d698c88'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/156537', 'pos': 7, 'security': 'public', 'formatdesc': 'Reviewer', 'placement': 7, 'eprintid': 35633}]",941,,show,,2021-11-09 10:04:58,35633,archive,,EC00202112550,,,,Buku,28054.0
7,pub,10,public,,2021-11-09 10:05:00,['FKIP8'],,,disk0/00/03/56/34,http://repository.lppm.unila.ac.id/id/eprint/35634,2021-02-22 00:00:00.000000000,REPRESENTASI DAKWAH DALAM SASTRA INDONESIA,,published,"['L1', 'LB1501', 'LC5201', 'P1']",REPRESENTASI DAKWAH DALAM SASTRA INDONESIA,,"[{'name': {'family': 'Fuad', 'lineage': None, 'honourific': None, 'given': 'Muhammad'}, 'id': 'muhammad.fuadum@fkip.unila.ac.id'}]",patent,2021-11-16 08:19:06,https://pdki-indonesia.dgip.go.id/detail/EC00202112550?type=copyright&keyword=000239388,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 5, 'content': 'published', 'main': 'sertifikat_EC00202112550_REPRESENTASI DAKWAH DALAM SASTRA INDONESIA.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-02-23 03:07:52', 'filesize': 2178620, 'objectid': 156538, 'uri': 'http://repository.lppm.unila.ac.id/id/file/414795', 'filename': 'sertifikat_EC00202112550_REPRESENTASI DAKWAH DALAM SASTRA INDONESIA.pdf', 'fileid': 414795, 'datasetid': 'document', 'hash': '91da600cefe66fd0f0a9d7f9204fdf08', 'mime_type': 'application/pdf'}], 'docid': 156538, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/156538', 'security': 'public', 'formatdesc': 'Sertifikat', 'placement': 1, 'eprintid': 35634}, {'uri': 'http://repository.lppm.unila.ac.id/id/document/156544', 'pos': 7, 'security': 'public', 'formatdesc': 'Reviewer', 'placement': 7, 'eprintid': 35634, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'main': '16.pdf', 'docid': 156544, 'files': [{'mime_type': 'application/pdf', 'hash': 'ca5b6d51a2c21fc06f0d55a06d698c88', 'fileid': 414802, 'datasetid': 'document', 'mtime': '2021-11-09 04:45:17', 'hash_type': 'MD5', 'filename': '16.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/414802', 'filesize': 890484, 'objectid': 156544}], 'format': 'text'}]",941,,show,,2021-11-09 10:05:00,35634,archive,,EC00202112550,,,,Buku,28054.0
8,pub,9,public,,2021-11-09 10:05:04,['FKIP8'],,,disk0/00/03/56/35,http://repository.lppm.unila.ac.id/id/eprint/35635,2021-02-22 00:00:00.000000000,Representasi Ukhuwah Dalam Karya Sastra Santri,,completed,"['L1', 'LB1501', 'LC5201']",Representasi Ukhuwah Dalam Karya Sastra Santri,,"[{'id': 'muhammad.fuadum@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Fuad', 'given': 'Muhammad'}}]",patent,2021-11-09 10:05:04,https://pdki-indonesia.dgip.go.id/detail/EC00202112549?type=copyright&keyword=000239792,"[{'eprintid': 35635, 'placement': 1, 'formatdesc': 'Sertifikat', 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/156545', 'pos': 1, 'format': 'text', 'docid': 156545, 'main': 'sertifikat_EC00202112549.pdf', 'files': [{'datasetid': 'document', 'fileid': 414813, 'mime_type': 'application/pdf', 'hash': '40c7f17b5c165aa7a0dd6c9548b0a01c', 'objectid': 156545, 'filesize': 2178550, 'uri': 'http://repository.lppm.unila.ac.id/id/file/414813', 'filename': 'sertifikat_EC00202112549.pdf', 'hash_type': 'MD5', 'mtime': '2021-03-01 01:40:20'}], 'content': 'published', 'rev_number': 4, 'language': 'en', 'mime_type': 'application/pdf'}, {'eprintid': 35635, 'placement': 7, 'security': 'public', 'formatdesc': 'Reviewer', 'pos': 7, 'uri': 'http://repository.lppm.unila.ac.id/id/document/156551', 'format': 'text', 'docid': 156551, 'main': '15.pdf', 'files': [{'datasetid': 'document', 'fileid': 414820, 'hash': '199c2fcba0d6a673066b6745e1ef8c4d', 'mime_type': 'application/pdf', 'filesize': 913430, 'objectid': 156551, 'uri': 'http://repository.lppm.unila.ac.id/id/file/414820', 'filename': '15.pdf', 'hash_type': 'MD5', 'mtime': '2021-11-09 04:49:45'}], 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf'}]",941,,show,,2021-11-09 10:05:04,35635,archive,,EC00202112549,,,,Representasi Ukhuwah Dalam Karya Sastra Santri,28136.0
9,pub,5,public,,2022-05-24 04:51:49,['FKIP8'],Balai Bahasa DIY,,disk0/00/04/17/75,http://repository.lppm.unila.ac.id/id/eprint/41775,2021-11-08 00:00:00.000000000,Review Cerita Rakyat Komering,,published,"['L1', 'LB1501', 'LC5201']",UNSUR BUDAYA DAN NILAI MORAL DALAM CERITA RAKYAT KOMERING SEHARUK: SEBUAH TINJAUAN SOSIOLOGI SASTRA,,"[{'id': 'iingsunarti58@gmail.com', 'name': {'given': 'Sunarti', 'honourific': None, 'lineage': None, 'family': 'Iing'}}]",other,2022-05-24 04:51:49,https://widyaparwa.kemdikbud.go.id/index.php/widyaparwa/article/download/898/pdf_1,"[{'eprintid': 41775, 'placement': 1, 'security': 'public', 'formatdesc': 'Reviewer', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163440', 'format': 'text', 'main': 'Hasil Penilaian sejawat sebidang atau peer review.pdf', 'files': [{'fileid': 461521, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'd0ca4f95b666a42daabc9f313ddd95d9', 'hash_type': 'MD5', 'mtime': '2022-01-25 15:22:32', 'filesize': 1411368, 'objectid': 163440, 'uri': 'http://repository.lppm.unila.ac.id/id/file/461521', 'filename': 'Hasil Penilaian sejawat sebidang atau peer review.pdf'}], 'docid': 163440, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 4}, {'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'files': [{'fileid': 461523, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '4dea94e24909b2e58b8f1580d5b1f3df', 'hash_type': 'MD5', 'mtime': '2022-05-24 03:35:34', 'filesize': 235392, 'objectid': 163441, 'uri': 'http://repository.lppm.unila.ac.id/id/file/461523', 'filename': 'UNSUR BUDAYA DAN NILAI MORAL DALAM CERITA RAKYAT KOMERING SEHARUK SEBUAH TINJAUAN SOSIOLOGI SASTRA.pdf'}], 'main': 'UNSUR BUDAYA DAN NILAI MORAL DALAM CERITA RAKYAT KOMERING SEHARUK SEBUAH TINJAUAN SOSIOLOGI SASTRA.pdf', 'docid': 163441, 'format': 'text', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163441', 'security': 'public', 'placement': 2, 'eprintid': 41775}]",521,,show,,2022-05-24 04:51:49,41775,archive,,,,,,,38751.0
