,id_number,eprintid,eprint_status,datestamp,metadata_visibility,number,userid,documents,official_url,lastmod,creators,type,refereed,title,subjects,date_type,volume,abstract,uri,date,publisher,divisions,publication,dir,status_changed,full_text_status,issn,ispublished,rev_number,pagerange,related_url,contact_email
0,http://dx.doi.org/10.18415/ijmmu.v9i8.3901,48765,archive,2023-03-06 01:57:07,show,8,500,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/188147', 'pos': 1, 'formatdesc': 'Article', 'security': 'public', 'placement': 1, 'eprintid': 48765, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'content': 'published', 'main': '3901-12085-1-PB.pdf', 'docid': 188147, 'files': [{'mime_type': 'application/pdf', 'hash': 'c3bcb0320602172b66d0038d61afbf57', 'datasetid': 'document', 'fileid': 531199, 'uri': 'http://repository.lppm.unila.ac.id/id/file/531199', 'filename': '3901-12085-1-PB.pdf', 'objectid': 188147, 'filesize': 870560, 'mtime': '2023-03-05 12:34:58', 'hash_type': 'MD5'}], 'format': 'text'}, {'placement': 2, 'eprintid': 48765, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188148', 'pos': 2, 'security': 'public', 'formatdesc': 'Similarity Report', 'docid': 188148, 'main': 'The Theory of Roland Barthes Suatu Siang Di Teras Masjid Works of Gola Gong.pdf', 'files': [{'hash': 'e93924eb4e10069576c89a3e0da22425', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 531201, 'mtime': '2023-03-05 12:55:11', 'hash_type': 'MD5', 'filename': 'The Theory of Roland Barthes Suatu Siang Di Teras Masjid Works of Gola Gong.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/531201', 'filesize': 1847689, 'objectid': 188148}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2}]",https://ijmmu.com/index.php/ijmmu/article/view/3901/3429,2023-03-06 01:57:07,"[{'id': None, 'name': {'family': 'AR', 'lineage': None, 'honourific': None, 'given': 'Ridha Adilla'}}, {'name': {'lineage': None, 'family': 'Samhati', 'honourific': None, 'given': 'Siti'}, 'id': 'samhati.siti@gmail.com'}, {'id': 'mulyanto.widodo@gmail.com', 'name': {'given': 'Mulyanto', 'honourific': None, 'family': 'Widodo', 'lineage': None}}, {'name': {'family': 'Ariyani', 'lineage': None, 'honourific': None, 'given': 'Farida'}, 'id': 'farida.ariyani@fkip.unila.ac.id'}]",article,FALSE,The Theory of Roland Barthes Suatu Siang Di Teras Masjid Works of Gola Gong,['PN'],published,9,"This study aims to determine the meaning of short stories Suatu Siang di Teras Masjid by Gola Gong through the semiotics approach. Roland Barthers's theory of semiotics was chosen to find out the meaning of the short story. The source used in this study is the meaning contained in the short story Suatu Siang di Teras Masjid by Gola Gong. The research method used in this research is descriptive qualitative. The technique used in this research is observation technique, which is to read critically and thoroughly all discourse and dialogue in literary texts. The results of the research that will be presented are data obtained from observation techniques. The data is in the form of meaning contained in the short story which is based on Roland Barthes's five semiotic codes, namely hermeneutic code, semic code, symbolic code, proaretic code, and gromic code.",http://repository.lppm.unila.ac.id/id/eprint/48765,2022-08-01 00:00:00.000000000,IJMMU,['FKIP8'],International Journal of Multicultural and Multireligious Understanding (IJMMU),disk0_bak/00/04/87/65,2023-03-06 01:57:07,public,2364-5369,pub,8,,,
1,http://dx.doi.org/10.18415/ijmmu.v9i8.3978,48763,archive,2023-03-06 01:57:05,show,8,500,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188143', 'security': 'public', 'formatdesc': 'Article', 'placement': 1, 'eprintid': 48763, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'content': 'published', 'main': '3978-12332-1-PB.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '7d1d8137032ab24c9c388c0a01add4df', 'fileid': 531175, 'datasetid': 'document', 'mtime': '2023-03-05 11:34:22', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/531175', 'filename': '3978-12332-1-PB.pdf', 'filesize': 896759, 'objectid': 188143}], 'docid': 188143, 'format': 'text'}, {'eprintid': 48763, 'placement': 2, 'formatdesc': 'Similarity Report', 'security': 'public', 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188144', 'format': 'text', 'main': 'The Development of Learning Module Based on Problem Based Learning Observation Result for Class X High School Students.pdf', 'files': [{'objectid': 188144, 'filesize': 2910497, 'filename': 'The Development of Learning Module Based on Problem Based Learning Observation Result for Class X High School Students.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/531177', 'hash_type': 'MD5', 'mtime': '2023-03-05 11:34:35', 'datasetid': 'document', 'fileid': 531177, 'hash': '853236364274affe1ab2dcfb8eada199', 'mime_type': 'application/pdf'}], 'docid': 188144, 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf'}]",https://ijmmu.com/index.php/ijmmu/article/view/3978/3503,2023-03-06 01:57:05,"[{'name': {'given': 'Eka', 'honourific': None, 'family': 'Anista', 'lineage': None}, 'id': None}, {'id': 'farida.ariyani@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Ariyani', 'lineage': None, 'given': 'Farida'}}, {'id': None, 'name': {'given': 'Edi', 'family': 'Suyanto', 'lineage': None, 'honourific': None}}]",article,FALSE,The Development of Learning Module Based on Problem Based Learning Observation Result for Class X High School Students,['LB1603'],published,9,"The problem in this research was to identify the process of developing Learning Module Based on Problem Based Learning Observation Result for class X High School students. Based on these problems, this study aimed to produce learning module and describe the feasibility of the learning module developed. The research method used a research and development design that adapts seven of the ten steps in the research and development procedure according to Borg and Gall. Data collecting technique was done by observation, interviews and questionnaires. The results of the study showed that (1) the Learning Module Based on Problem Based Learning Observation Result was successfully developed using seven stages of Borg and Gall development; (2) the learning module developed was suitable to use in learning of Observation Results for ten grades High School students. The test results of content, language, and learning media experts received very good assessments. The product feasibility test by the Indonesian teacher obtained an average score of 84,17 with a very good category. Small-scale product trials obtained an average value of 86,25 with a feasible category and broad-scale trials obtained an average value of 84,69 with a very feasible category.",http://repository.lppm.unila.ac.id/id/eprint/48763,2022-08-01 00:00:00.000000000,IJMMU,['FKIP8'],International Journal of Multicultural and Multireligious Understanding (IJMMU),disk0_bak/00/04/87/63,2023-03-06 01:57:05,public,2364-5369,pub,10,244-255,,
2,2684-7167,47373,archive,2022-12-22 02:16:27,show,1,77,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': '5507.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'a834b03d3d971e2bdf4a72fc34e8d965', 'datasetid': 'document', 'fileid': 519820, 'uri': 'http://repository.lppm.unila.ac.id/id/file/519820', 'filename': '5507.pdf', 'objectid': 186422, 'filesize': 406782, 'mtime': '2022-12-22 00:35:48', 'hash_type': 'MD5'}], 'docid': 186422, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186422', 'pos': 1, 'eprintid': 47373, 'placement': 1}]",https://journals.researchsynergypress.com/index.php/ijtaese/article/view/797,2022-12-22 02:16:27,"[{'name': {'given': 'Dilivia Fitri', 'honourific': None, 'lineage': None, 'family': 'Arsy'}, 'id': 'Dilivia.Fitri@gmail.com'}, {'id': 'munaris.1970@fkip.unila.ac.id', 'name': {'given': 'Munaris', 'honourific': None, 'family': 'Munaris', 'lineage': None}}, {'id': 'caswita.1967@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Caswita', 'honourific': None, 'given': 'Caswita'}}]",article,TRUE,Development of Literacy-Based Performance Assessment Instruments to  Improve Communication Skills in Thematic Learning of Class V,['L1'],published,4,,http://repository.lppm.unila.ac.id/id/eprint/47373,2022-04-03 00:00:00.000000000,FKIP Universitas Terbuka,['FKIP8'],International Journal of Theory and Application in Elementary and Secondary School Education  (IJTAESE),disk0_bak/00/04/73/73,2022-12-22 02:16:27,public,2684-7167,pub,9,53-64,[{'url': 'https://journals.researchsynergypress.com/index.php/ijtaese/article/view/797'}],
3,DOI: 10.9790/0853-XXXXXXX,47217,archive,2022-12-14 09:12:58,show,X,77,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186191', 'security': 'public', 'placement': 1, 'eprintid': 47217, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '5506.pdf', 'docid': 186191, 'files': [{'mime_type': 'application/pdf', 'hash': 'ae480632c209ba5639be00f3f88bb79b', 'fileid': 518414, 'datasetid': 'document', 'filename': '5506.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/518414', 'filesize': 2731974, 'objectid': 186191, 'mtime': '2022-12-14 09:05:45', 'hash_type': 'MD5'}], 'format': 'text'}]",HTTPS://www.iosrjournals.org,2022-12-14 09:12:58,"[{'id': 'edi.suyanto@fkip.unila.ac.id', 'name': {'given': 'Suyanto', 'family': 'Edi', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Munaris', 'given': 'Munaris'}, 'id': 'munaris.1965@fkip.unila.ac.id'}, {'id': 'joko.setyonugroho@gmail.com', 'name': {'given': 'Setyo Nugroho', 'lineage': None, 'family': 'Joko', 'honourific': None}}]",article,TRUE,WOMEN EXISTENCY IN THE DRUPADI NOVEL BY SENO GUMIRA AJIDARMA (AN EXISTENTIALIST FEMINISM STUDY OF SIMONE DE BEAVIOUR),['L1'],published,X,"Based on a press release conducted by the National Commission on Violence Against Women (Komisi Nasional Anti Kekerasan terhadap Perempuan) on March 6, 2020, various spectrums and forms of violence against women have been recorded in the Komnas Perempuan Annual Notes 2020  with several findings including, 1) over a period of 12 years, violence against women increased by 792%; 2) there was Violence Against Girls that jumped by 2,341 cases or a 65% increase from the previous year; 3) complaints of cybercrime cases that jumped 300% with the most cases in the form of threats of spreading pornographic photos and videos; 4) sexual violence against women with disabilities increased by 47%. The expression of gender equality is often carried out through thoughts that are documented in a written work, one of which is in the form of literary works, namely novels. Based on this explanation,  this  research  was  conducted  to  describe  the  forms  of  oppression  against  women  and  women's resistance as a manifestation of their existence in the Drupadi novel by Seno Gumira Ajidarma from the perspective of Simone de Beaviour's existentialist feminism. 
Materials and Methods: This study uses a qualitative approach with descriptive methods. The data source in this study is the Drupadi novel by Seno Gumira Ajidarma. Data collection in this study was carried out by using documentation techniques. The data in the form of quotations in the novel were then studied with the feminism- existentialist theory of Simone de Beaviour 
Results:	Forms  of  oppression  against  women  are  conditions  experienced  by  female  characters  who  are  not respected and made second to men. After the research was carried out, there was data in the form of quotations regarding forms of oppression against women which were divided into two parts, namely, 1) oppression against women physically and 2) oppression against women non-physically. 
Then women's resistance as a manifestation of their existence is the events experienced by female characters who relate to other people and their environment that show and strengthen their existence as a woman. After conducting the research, data was found in the form of quotations regarding forms of resistance as a form of women's existence which  were  divided  into  three  parts,  namely,	1)  working,  2)  becoming  intellectual  agents,  3)  carrying  out transformation in society. 
Conclusion: Based on the research results of Feminism-Existentialist in Drupadi Novel by Seno Gumira Ajidarma, the researcher concludes; 1) In the Drupadi novel by Seno Gumira Ajidarma, data on forms of oppression against women are found, consisting of a) physical oppression of women; and b) non-physical oppression of women; 2) In the Drupadi novel by Seno Gumira Ajidarma, it is found data on the forms of resistance as a manifestation of the existence of women consisting of a) work; b) become an intellectual agent, and c) make a transformation in society.",http://repository.lppm.unila.ac.id/id/eprint/47217,1970-01-01 00:00:00.000002022,Advances in Social Science Research Journal,['FKIP8'],IOSR Journal Of Humanities And Social Science (IOSR-JHSS),disk0/00/04/72/17,2022-12-14 09:12:58,public,"e-ISSN: 2279-0837, p-ISSN: 2279-0845.",pub,9,27-33,[{'url': 'https://www.iosrjournals.org'}],
4,https://doi.org/10.26499/surbet.v17i1.313,48826,archive,2023-03-07 02:26:23,show,1,727,"[{'placement': 1, 'eprintid': 48826, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/188253', 'security': 'public', 'formatdesc': 'Article', 'main': '313-1813-1-PB.pdf', 'files': [{'hash': '7f68aaa9d7517d6fbc4e0a2fd50619d3', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 531694, 'mtime': '2023-03-07 02:00:46', 'hash_type': 'MD5', 'filename': '313-1813-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/531694', 'filesize': 254807, 'objectid': 188253}], 'docid': 188253, 'format': 'text', 'language': 'id', 'mime_type': 'application/pdf', 'rev_number': 2, 'content': 'published'}, {'rev_number': 2, 'language': 'id', 'mime_type': 'application/pdf', 'main': 'PENGGUNAAN DEIKSIS DALAM KISAH NEGERI LAIN KARYA KAHLIL GIBRAN.pdf', 'docid': 188254, 'files': [{'hash': '9ab264e236906d7248b58b03042bd32c', 'mime_type': 'application/pdf', 'fileid': 531696, 'datasetid': 'document', 'mtime': '2023-03-07 02:00:55', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/531696', 'filename': 'PENGGUNAAN DEIKSIS DALAM KISAH NEGERI LAIN KARYA KAHLIL GIBRAN.pdf', 'objectid': 188254, 'filesize': 3193321}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/188254', 'pos': 2, 'security': 'public', 'formatdesc': 'Similarity Report', 'placement': 2, 'eprintid': 48826}]",http://suarbetang.kemdikbud.go.id/jurnal/index.php/BETANG/article/view/313/194,2023-03-07 02:26:23,"[{'name': {'family': 'Febriyanto', 'lineage': None, 'honourific': None, 'given': 'Dedi'}, 'id': 'dedifebri97@gmail.com'}, {'name': {'given': 'Mulyanto', 'honourific': None, 'lineage': None, 'family': 'Widodo'}, 'id': 'mulyanto.widodo@gmail.com'}, {'id': None, 'name': {'family': 'Rahayu', 'lineage': None, 'honourific': None, 'given': 'Eka Putri'}}]",article,FALSE,Penggunaan Deiksis dalam Kisah Negeri Lain Karya Kahlil Gibran,['P1'],published,17,"Kajian ini bertujuan mendeskripsikan bentuk dan fungsi deiksis dalam Kisah Negeri Lain karya Kahlil Gibran. Metode yang digunakan ialah deskriptif-kualitatif. Data dikumpulkan dengan teknik baca-catat. Adapun analisis data dilakukan dengan menggunakan model interaktif yang meliputi (1) pereduksian data, (2) penyajian data, (3) penarikan simpulan sementara, dan (4) verifikasi. Hasil penelitian menunjukkan bahwa dalam Kisah Negeri Lain karya Kahlil Gibran ditemukan bentuk dan fungsi deiksis yang beragam. Bentuk deiksis yang dimaksud ialah (1) deiksis persona yang terdiri atas persona pertama, persona kedua, dan persona ketiga; (2) deiksis tempat; (3) deiksis waktu yang terdiri atas waktu lampau, sekarang, dan mendatang; (4) deiksis wacana yang terdiri atas anafora dan katafora; dan (4) deiksis sosial. Adapun fungsi deiksis yang ditemukan meliputi (1) fungsi ekspresif, (2) fungsi konatif, (3) fungsi referensial, dan (4) fungsi fatis.",http://repository.lppm.unila.ac.id/id/eprint/48826,1970-01-01 00:00:00.000002022,Balai Bahasa Kalimantan Tengah,['FKIP8'],SUAR BETANG,disk0_bak/00/04/88/26,2023-03-07 02:26:23,public,2686-4975,pub,8,13-23,,
5,,44528,archive,2022-08-29 03:04:46,show,3,941,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166399', 'eprintid': 44528, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': 'f40a2e3a3f3dc8bfde22cb2cf6133e54', 'datasetid': 'document', 'fileid': 481617, 'mtime': '2022-08-29 02:29:49', 'hash_type': 'MD5', 'filename': 'Muhammad Fuad - Analysis of Symbolic Meaning in Drama Scripts and Its Implications.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/481617', 'objectid': 166399, 'filesize': 1177872}], 'main': 'Muhammad Fuad - Analysis of Symbolic Meaning in Drama Scripts and Its Implications.pdf', 'docid': 166399}]",http://jurnal.fkip.unila.ac.id/index.php/jpp/article/download/24824/pdf,2022-08-29 03:04:46,"[{'id': 'abuazisah59@yahoo.co.id', 'name': {'given': 'Muhammad', 'family': 'Fuad', 'lineage': None, 'honourific': None}}, {'name': {'family': 'Sisi', 'lineage': None, 'honourific': None, 'given': 'Nalan Meilia'}, 'id': None}, {'name': {'honourific': None, 'family': 'Suyanto', 'lineage': None, 'given': 'Edi'}, 'id': 'doktor_edy@yahoo.com'}, {'name': {'lineage': None, 'family': 'muhammad', 'honourific': None, 'given': 'ulul azmi'}, 'id': None}, {'id': None, 'name': {'given': 'Istiqomah Ahsanu', 'honourific': None, 'family': 'Amala', 'lineage': None}}]",article,TRUE,Analysis of Symbolic Meaning in Drama Scripts and Its Implications toward Indonesian Language Learning of High School Students,['L1'],published,12,,http://repository.lppm.unila.ac.id/id/eprint/44528,2022-07-29 00:00:00.000000000,,['FKIP8'],Jurnal Pendidikan Progresif,disk0/00/04/45/28,2022-08-29 03:04:46,public,e-ISSN: 2550-1313 | p-ISSN: 2087-9849,pub,7,1334-1345,,abuazisah59@yahoo.co.id
6,,44527,archive,2022-08-29 03:04:45,show,10,941,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '3168c04524d287f6c2678e7ebf4011f8', 'datasetid': 'document', 'fileid': 481611, 'uri': 'http://repository.lppm.unila.ac.id/id/file/481611', 'filename': 'Muhammad Fuad - A Bibliometric Analysis of Technology-based Foreign.pdf', 'objectid': 166398, 'filesize': 1745409, 'mtime': '2022-08-29 02:20:59', 'hash_type': 'MD5'}], 'main': 'Muhammad Fuad - A Bibliometric Analysis of Technology-based Foreign.pdf', 'docid': 166398, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/166398', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 44527}]",,2022-08-29 03:04:45,"[{'id': 'abuazisah59@yahoo.co.id', 'name': {'honourific': None, 'family': 'Fuad', 'lineage': None, 'given': 'Muhammad'}}, {'name': {'lineage': None, 'family': 'Suyanto', 'honourific': None, 'given': 'Edi'}, 'id': 'doktor_edy@yahoo.com'}, {'name': {'honourific': None, 'family': 'muhammad', 'lineage': None, 'given': 'ulul azmi'}, 'id': None}, {'name': {'honourific': None, 'family': 'suparman', 'lineage': None, 'given': 'suparman'}, 'id': None}]",article,TRUE,A Bibliometric Analysis of Technology-Based Foreign Language Learning during the COVID-19 Pandemic: Direction for Indonesia Language Learning,['L1'],published,12,,http://repository.lppm.unila.ac.id/id/eprint/44527,2022-10-01 00:00:00.000000000,,['FKIP8'],International Journal of Information and Education Technology,disk0/00/04/45/27,2022-08-29 03:04:45,public,2010-3689,pub,6,983-995,,abuazisah59@yahoo.co.id
7,http://dx.doi.org/10.18415/ijmmu.v9i2.3461,47172,archive,2022-12-09 02:19:53,show,2,709,"[{'docid': 186136, 'main': '3461-10779-1-PB.pdf', 'files': [{'mtime': '2022-12-08 14:36:59', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/518044', 'filename': '3461-10779-1-PB.pdf', 'filesize': 579867, 'objectid': 186136, 'hash': '5781e8f2bcee1eac6abf1106575b81ad', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 518044}], 'format': 'text', 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'content': 'published', 'placement': 1, 'eprintid': 47172, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186136', 'security': 'public'}, {'mime_type': 'image/png', 'language': 'en', 'rev_number': 2, 'content': 'coverimage', 'main': 'Cover.png', 'files': [{'mime_type': 'image/png', 'hash': '848037868cd673e2a0a5f5fb70f4ff41', 'datasetid': 'document', 'fileid': 518046, 'uri': 'http://repository.lppm.unila.ac.id/id/file/518046', 'filename': 'Cover.png', 'filesize': 99057, 'objectid': 186137, 'mtime': '2022-12-08 14:37:21', 'hash_type': 'MD5'}], 'docid': 186137, 'format': 'image', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186137', 'pos': 2, 'security': 'public', 'placement': 2, 'eprintid': 47172}, {'placement': 3, 'eprintid': 47172, 'pos': 3, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186138', 'security': 'public', 'files': [{'hash_type': 'MD5', 'mtime': '2022-12-08 14:38:01', 'filesize': 1791842, 'objectid': 186138, 'uri': 'http://repository.lppm.unila.ac.id/id/file/518048', 'filename': 'Uji Turnitin_Development of Official Letter Writing Module as Indonesian Language Training Teaching Material.pdf', 'fileid': 518048, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'cc17d2bc0a7c3f9f62518d3c1ad50b9b'}], 'main': 'Uji Turnitin_Development of Official Letter Writing Module as Indonesian Language Training Teaching Material.pdf', 'docid': 186138, 'format': 'text', 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'content': 'other'}]",https://ijmmu.com/index.php/ijmmu/article/view/3461,2022-12-09 02:19:53,"[{'name': {'given': 'Nasution', 'lineage': None, 'family': 'Hasnawati Nasution', 'honourific': None}, 'id': None}, {'name': {'given': 'Farida', 'lineage': None, 'family': 'Farida Ariyani', 'honourific': None}, 'id': 'farida.ariyani@fkip.unila.ac.id'}, {'id': 'siti_samhati@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Siti Samhati', 'given': 'Siti Samhati'}}, {'name': {'given': 'Nurlaksana eko', 'honourific': None, 'family': 'Nurlaksana eko', 'lineage': None}, 'id': None}]",article,FALSE,Development of Official Letter Writing Module as Indonesian Language Training Teaching Material,['L1'],published,9,"One of the teaching materials for Indonesian language training is writing official letters. The purpose of this study is to develop a module that is used for Indonesian language training activities. This research method follows the stages of Borg and Gall development research. The research stages include preliminary research, collecting data for compiling modules, designing products, validating the product, design revisions, product trials, and product revisions. At the validation stage, the module was assessed
for its feasibility as teaching material by three experts, namely material experts, media experts, and practitioners. After the module is validated, a trial of using the module as teaching material is carried out. Respondents who took part in the counseling were selected using a simple random sampling method. Based on the research, the results of the feasibility assessment were obtained by validators, trial
participants and Indonesian language instructors. The results of the assessment show that the value of the feasibility of the module based on aspects of module content, language, presentation of material and graphics is between 89-95% with very worthy criteria. So it can be concluded that after going through the assessment and trial stages, the official letter writing module is suitable for use as teaching material in Indonesian language extension activities.",http://repository.lppm.unila.ac.id/id/eprint/47172,2022-02-09 00:00:00.000000000,International Journal of Multicultural and Multireligious Understanding,['FKIP8'],International Journal of Multicultural and Multireligious Understanding,disk0/00/04/71/72,2022-12-09 02:19:53,public,2364-5369,pub,9,536-543,"[{'url': 'https://ijmmu.com/index.php/ijmmu/article/view/3461', 'type': 'pub'}]",
8,,44530,archive,2022-08-29 03:07:28,show,3,941,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 166401, 'main': 'Muhammad Fuad - JSRR_Development of Student Worksheets Write Project Based Learning-based.pdf', 'files': [{'objectid': 166401, 'filesize': 1786237, 'filename': 'Muhammad Fuad - JSRR_Development of Student Worksheets Write Project Based Learning-based.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/481630', 'hash_type': 'MD5', 'mtime': '2022-08-29 02:43:19', 'datasetid': 'document', 'fileid': 481630, 'mime_type': 'application/pdf', 'hash': '128471052ce34e1e748c05936e3ad107'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166401', 'eprintid': 44530, 'placement': 1}]",https://journaljsrr.com/index.php/JSRR/article/view/30509/57251,2022-08-29 03:07:28,"[{'id': None, 'name': {'given': 'Miftakhul', 'honourific': None, 'family': 'Hidayati', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Rusminto', 'lineage': None, 'given': 'N E'}, 'id': 'nurlaksana.eko@fkip.unila.ac.id'}, {'id': 'abuazisah59@yahoo.co.id', 'name': {'given': 'Muhammad', 'honourific': None, 'family': 'Fuad', 'lineage': None}}]",article,TRUE,Development of Student Worksheets Write Project Based Learning-based Explanatory Text for Class XI Senior High School,['L1'],published,28,,http://repository.lppm.unila.ac.id/id/eprint/44530,2022-04-21 00:00:00.000000000,,['FKIP8'],Journal of Scientific Research & Reports,disk0/00/04/45/30,2022-08-29 03:07:28,public,2320-0227,pub,6,58-66,,abuazisah59@yahoo.co.id
9,,44529,archive,2022-08-29 03:04:48,show,1,941,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/166400', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 44529, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-08-29 02:36:49', 'objectid': 166400, 'filesize': 1478690, 'filename': 'Muhammad Fuad - IOSR-JRME_Development Student Worksheet (Lkpd) Write Review.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/481624', 'fileid': 481624, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'e965ccfba7691d8b2015ee19f18f30f2'}], 'main': 'Muhammad Fuad - IOSR-JRME_Development Student Worksheet (Lkpd) Write Review.pdf', 'docid': 166400, 'format': 'text'}]",https://www.iosrjournals.org/iosr-jrme/papers/Vol-12%20Issue-1/Ser-2/A1201020106.pdf,2022-08-29 03:04:48,"[{'id': None, 'name': {'honourific': None, 'family': 'Irmasari', 'lineage': None, 'given': 'Hesti'}}, {'id': 'abuazisah59@yahoo.co.id', 'name': {'given': 'muhammad', 'lineage': None, 'family': 'fuad', 'honourific': None}}, {'id': 'gragemarti@yahoo.co.id', 'name': {'given': 'Sumarti', 'lineage': None, 'family': 'Sumarti', 'honourific': None}}]",article,TRUE,Development Student Worksheet (Lkpd) Write Review For Senior High School Basic Stronger Character Education,['L1'],published,12,,http://repository.lppm.unila.ac.id/id/eprint/44529,2022-01-14 00:00:00.000000000,,['FKIP8'],IOSR Journal of Research & Method in Education (IOSR-JRME),disk0/00/04/45/29,2022-08-29 03:04:48,public,"e-ISSN: 2320–7388, p- ISSN: 2320-737x",pub,6,1-6,,abuazisah59@yahoo.co.id
