,subjects,uri,date,publisher,divisions,dir,rev_number,ispublished,full_text_status,status_changed,metadata_visibility,datestamp,eprint_status,eprintid,lastmod,official_url,userid,title,creators,type,contact_email,date_type,documents,id_number,place_of_pub,related_url,succeeds,corp_creators,abstract,publication,volume,issn,refereed,pagerange,number,contributors,event_dates,pres_type,event_location,event_title,event_type,referencetext
0,['L1'],http://repository.lppm.unila.ac.id/id/eprint/28672,2019-06-23 00:00:00.000000000,Lampung Post,['FKIP9'],disk0/00/02/86/72,8,pub,none,2021-03-29 09:03:24,show,2021-03-29 09:03:24,archive,28672,2021-03-29 09:03:24,https://lampungpost.id/kolom/bijak-memaknai-sistem-zonasi/,435,Bijak Memaknai Sistem Zonasi,"[{'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'family': 'Abdurrahman', 'lineage': None, 'honourific': None, 'given': 'Abdurrahman'}}]",other,abdurrahman.1968@fkip.unila.ac.id,,,,,,,,,,,,,,,,,,,,,
1,['L1'],http://repository.lppm.unila.ac.id/id/eprint/28671,2019-01-07 00:00:00.000000000,Lampung Post,['FKIP9'],disk0/00/02/86/71,6,pub,none,2021-03-29 08:18:27,show,2021-03-29 08:18:27,archive,28671,2021-03-29 08:18:27,,435,Darurat Kurikulum Kebencanaan,"[{'name': {'given': 'Abdurrahman', 'lineage': None, 'family': 'Abdurrahman', 'honourific': None}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}]",other,abdurrahman.1968@fkip.unila.ac.id,completed,,,,,,,,,,,,,,,,,,,,
2,['L1'],http://repository.lppm.unila.ac.id/id/eprint/28670,2019-03-17 00:00:00.000000000,Lampung Post,['FKIP9'],disk0/00/02/86/70,9,pub,none,2021-03-29 07:58:18,show,2021-03-29 07:58:18,archive,28670,2021-03-29 07:58:18,https://epaper.lampungpost.id/kolom/peran-masyarakat-dalam-pendidikan/,435,Peran Masyarakat dalam Pendidikan,"[{'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'lineage': None, 'family': 'Abdurrahman', 'honourific': None, 'given': 'Abdurrahman'}}]",other,abdurrahman.1968@fkip.unila.ac.id,completed,,,,,,,,,,,,,,,,,,,,
3,['L1'],http://repository.lppm.unila.ac.id/id/eprint/28669,2019-08-10 00:00:00.000000000,DJKI Kemenkumham RI,['FKIP9'],disk0/00/02/86/69,7,pub,public,2021-03-29 08:18:24,show,2021-03-29 08:18:24,archive,28669,2021-03-29 08:18:24,,435,Lembar Kerja Peserta Didik Materi Difraksi Dengan Pendekatan Flipped Classroom Terintegrasi STEM,"[{'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'given': 'Abdurrahman', 'honourific': None, 'lineage': None, 'family': 'Abdurrahman'}}, {'name': {'honourific': None, 'family': 'Herlina', 'lineage': None, 'given': 'Kartini'}, 'id': 'kkartini.herlina@gmail.com'}, {'id': None, 'name': {'honourific': None, 'family': 'Normayanti', 'lineage': None, 'given': 'E'}}]",other,abdurrahman.1968@fkip.unila.ac.id,published,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/42725', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28669, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 42725, 'main': 'Lembar Kerja Peserta Didik Materi Difraksi Dengan Pendekatan Flipped Classroom Terintegrasi STEM.pdf', 'files': [{'filename': 'Lembar Kerja Peserta Didik Materi Difraksi Dengan Pendekatan Flipped Classroom Terintegrasi STEM.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/254357', 'objectid': 42725, 'filesize': 772803, 'mtime': '2021-03-29 06:21:34', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'ef328cfdf2422f72cd83c0117ce17f6a', 'fileid': 254357, 'datasetid': 'document'}], 'format': 'text'}]",EC00201989701,,,,,,,,,,,,,,,,,,
4,['L1'],http://repository.lppm.unila.ac.id/id/eprint/28666,2019-09-09 00:00:00.000000000,DJKI Kemenkumham RI,['FKIP9'],disk0/00/02/86/66,7,pub,public,2021-03-29 07:58:22,show,2021-03-29 07:58:22,archive,28666,2021-03-29 07:58:22,,435,Instrumen Asesmen Literasi STEM Untuk Mengukur Kemampuan Berpikir Kritis Pada Materi Tekanan,"[{'name': {'given': 'Abdurrahman', 'honourific': None, 'family': 'Abdurrahman', 'lineage': None}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}, {'id': 'jalmotri@yahoo.com', 'name': {'given': 'Tri', 'family': 'Jalmo', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'given': 'Ibrohim', 'family': 'Ibrohim', 'lineage': None, 'honourific': None}}]",other,abdurrahman.1968@fkip.unila.ac.id,published,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'docid': 42722, 'main': 'Instrumen Asesmen Literasi STEM Untuk Mengukur Kemampuan Berpikir Kritis Pada Materi Tekanan.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'c87c4d495cf91e56b6fa7a25716b89e3', 'fileid': 254336, 'datasetid': 'document', 'mtime': '2021-03-29 06:13:55', 'hash_type': 'MD5', 'filename': 'Instrumen Asesmen Literasi STEM Untuk Mengukur Kemampuan Berpikir Kritis Pada Materi Tekanan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/254336', 'filesize': 772802, 'objectid': 42722}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42722', 'pos': 1, 'eprintid': 28666, 'placement': 1}]",EC00201989702,,,,,,,,,,,,,,,,,,
5,['L1'],http://repository.lppm.unila.ac.id/id/eprint/29599,1970-01-01 00:00:00.000002019,IOP Publishing,['FKIP9'],disk0/00/02/95/99,4,pub,public,2021-04-24 03:06:29,show,2021-04-24 03:06:29,archive,29599,2021-04-24 03:06:29,https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012050/pdf,1075,Cek SimilarityOriginality: The Effectiveness of Interactive E-Book for Self-Study and Increasing Students’ Critical Thinking Skills in Electromagnetic Radiation Topic,"[{'name': {'given': 'Desih', 'honourific': None, 'lineage': None, 'family': 'Ambarwati'}, 'id': 'ambarwati_desih@yahoo.com'}, {'id': 'asuyatna@yahoo.com', 'name': {'given': 'Agus', 'lineage': None, 'family': 'Suyatna', 'honourific': None}}, {'id': 'chandrafkipunila@gmail.com', 'name': {'honourific': None, 'family': 'Ertikanto', 'lineage': None, 'given': 'Chandra'}}]",other,,published,"[{'format': 'text', 'files': [{'fileid': 261988, 'datasetid': 'document', 'hash': '19f723075579e2e466fe52f51540c7e8', 'mime_type': 'application/pdf', 'filesize': 3309539, 'objectid': 43788, 'uri': 'http://repository.lppm.unila.ac.id/id/file/261988', 'filename': 'The Effectiveness of Interactive E-Book for Self-Study and Increasing Students’ Critical Thinking Skills in Electromagnetic Radiation Topic.pdf', 'hash_type': 'MD5', 'mtime': '2021-01-26 10:34:08'}], 'main': 'The Effectiveness of Interactive E-Book for Self-Study and Increasing Students’ Critical Thinking Skills in Electromagnetic Radiation Topic.pdf', 'docid': 43788, 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'eprintid': 29599, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/43788', 'pos': 1}, {'docid': 43789, 'main': 'PR-21.pdf', 'files': [{'objectid': 43789, 'filesize': 758311, 'uri': 'http://repository.lppm.unila.ac.id/id/file/261989', 'filename': 'PR-21.pdf', 'hash_type': 'MD5', 'mtime': '2021-04-23 03:05:11', 'fileid': 261989, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'babbc0791af11eaa0173346268deff5d'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 2, 'eprintid': 29599, 'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43789', 'security': 'public'}]",10.1088/1742-6596/1155/1/012050,"Journal of Physics: Conference Series, Volume 1155","[{'url': 'https://iopscience.iop.org/issue/1742-6596/1155/1', 'type': 'pub'}]",27469.0,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']","This research aims to develop interactive e-book on electromagnetic radiation topic, which can be used for self-study, and to increase students critical thinking skill. The methodology in this research is based on ADDIE 
model research and development (R&D) design which consist of analysis, design, development, implementation, and evaluation. The data resource was the students and teachers of XII grade of senior high schools in Lampung Province. The instrument used were questionnaire and test instrument. Data analysis technique was conducted
descriptively with interval using n-gain, independent t-test, and paired t-test. The research showed that interactive e-book on electromagnetic radiation was effective for self-study and to increase critical thinking skill of the students significantly at a confidence level of 95%,  with Ngaining experimental group <g> = 0.76 which was higher than in control group <g> = 0.55. Therefore, it can be concluded that the product which was developed namely interactive e-book
on electromagnetic radiation is effective for self-study and to increase students' critical thinking skill.",,,,,,,,,,,,,
6,['L1'],http://repository.lppm.unila.ac.id/id/eprint/11221,1970-01-01 00:00:00.000002019,IOP Publishing,['FKIP9'],disk0/00/01/12/21,6,pub,public,2019-04-29 08:14:06,show,2019-04-29 08:14:06,archive,11221,2019-04-29 08:14:06,https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012050/meta,1075,"The Effectiveness of Interactive E-Book for Self-Study and
Increasing Students’ Critical Thinking Skills in
Electromagnetic Radiation Topic","[{'id': 'ambarwati_desih@yahoo.com', 'name': {'honourific': None, 'family': 'Ambarwati', 'lineage': None, 'given': 'Desih'}}, {'id': 'asuyatna@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Suyatna', 'given': 'Agus'}}, {'name': {'given': 'Chandra', 'honourific': None, 'lineage': None, 'family': 'Ertikanto'}, 'id': 'chandrafkipunila@gmail.com'}]",article,,published,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'Ambarwati_2019_J._Phys.__Conf._Ser._1155_012050.pdf', 'docid': 24219, 'files': [{'hash_type': 'MD5', 'mtime': '2019-04-22 12:24:37', 'filesize': 858885, 'objectid': 24219, 'uri': 'http://repository.lppm.unila.ac.id/id/file/102368', 'filename': 'Ambarwati_2019_J._Phys.__Conf._Ser._1155_012050.pdf', 'fileid': 102368, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '8f0919cc9bb3f861cb18d615592aa7b4'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24219', 'eprintid': 11221, 'placement': 1}]",doi:10.1088/1742-6596/1155/1/012050,,"[{'type': 'pub', 'url': 'https://iopscience.iop.org/article/10.1088/1742-6596/1155/1/012050/meta'}]",,['Universitas Lampung'],"Abstract. This research aims to develop interactive e-book on electromagnetic radiation topic, which can be used for self-study, and to increase students critical thinking skill. The methodology in this research is based on ADDIE model research and development (R&D) design which consist of analysis, design, development, implementation, and evaluation. The data resource was
the students and teachers of XII grade of senior high schools in Lampung Province. The instrument used were questionnaire and test instrument. Data analysis technique was conducted descriptively with interval using n-gain, independent t-test, and paired t-test. The research showed that interactive e-book on electromagnetic radiation was effective for self-study and to increase critical thinking skill of the students significantly at a confidence level of 95%,  with Ngaining experimental group <g> = 0.76 which was higher than in control group <g> = 0.55. Therefore, it can be concluded that the product which was developed namely interactive e-book on electromagnetic radiation is effective for self-study and to increase students' critical thinking skill.",Journal of Physics: Conf. Series,1155.0,1742-6588 Online ISSN: 1742-6596,TRUE,1-13,2019.0,,,,,,,
7,"['L1', 'LB1501', 'LC5201']",http://repository.lppm.unila.ac.id/id/eprint/22566,1970-01-01 00:00:00.000002019,FKIP Unila,['FKIP9'],disk0/00/02/25/66,9,unpub,public,2020-06-17 08:31:11,show,2020-06-17 08:31:11,archive,22566,2020-06-17 08:31:11,,624,Enhancement of students' creative thinking skills on mixture separation topic using project based student worksheet,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Diawati', 'given': 'Chansyanah'}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}, {'id': 'kadaritna@yahoo.com', 'name': {'lineage': None, 'family': 'Kadaritna', 'honourific': None, 'given': 'Nina'}}]",other,,,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 36025, 'main': '02 ENHANCEMENT OF STUDENTS.pdf', 'files': [{'filesize': 781221, 'objectid': 36025, 'uri': 'http://repository.lppm.unila.ac.id/id/file/206973', 'filename': '02 ENHANCEMENT OF STUDENTS.pdf', 'hash_type': 'MD5', 'mtime': '2020-06-17 07:21:52', 'fileid': 206973, 'datasetid': 'document', 'hash': '6d3b597aec9ae2717e382fe9c3813b08', 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36025', 'security': 'public', 'placement': 1, 'eprintid': 22566}]",,,,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Pendidikan MIPA FKIP Unila']",,,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",,,,,,
8,"['L1', 'LB1501', 'LC5201']",http://repository.lppm.unila.ac.id/id/eprint/22567,1970-01-01 00:00:00.000002019,FKIP Unila,['FKIP9'],disk0/00/02/25/67,9,unpub,public,2020-06-17 08:31:20,show,2020-06-17 08:31:20,archive,22567,2020-06-17 08:31:20,,624,Visualizing Three-Dimensional Hybrid Atomic Orbitals Using Winplot: An Application for Student Self Instruction,"[{'id': 'chansyanah.diawati@fkip.unila.ac.id', 'name': {'family': 'Diawati', 'lineage': None, 'honourific': None, 'given': 'Chansyanah'}}, {'id': 'kadaritna@yahoo.com', 'name': {'family': 'Kadaritna', 'lineage': None, 'honourific': None, 'given': 'Nina'}}]",other,,,"[{'eprintid': 22567, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36026', 'pos': 1, 'format': 'text', 'docid': 36026, 'main': '03 VISUALIZING THREE.pdf', 'files': [{'hash': '57b9358e4511b1d4df39a19334154e87', 'mime_type': 'application/pdf', 'fileid': 206982, 'datasetid': 'document', 'filename': '03 VISUALIZING THREE.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/206982', 'filesize': 756028, 'objectid': 36026, 'mtime': '2020-06-17 07:23:55', 'hash_type': 'MD5'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",,,,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Pendidikan MIPA FKIP Unila']",,,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",,,,,,
9,"['L1', 'LB1501', 'LC5201']",http://repository.lppm.unila.ac.id/id/eprint/22568,1970-01-01 00:00:00.000002019,FKIP Unila,['FKIP9'],disk0/00/02/25/68,9,unpub,public,2020-06-17 08:33:59,show,2020-06-17 08:33:59,archive,22568,2020-06-17 08:33:59,,624,The development of interactivee-book based chemistry representations referred to the curriculum of 2013,"[{'name': {'given': 'Chansyanah', 'honourific': None, 'family': 'Diawati', 'lineage': None}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}, {'name': {'given': 'Nina', 'honourific': None, 'family': 'Kadaritna', 'lineage': None}, 'id': 'kadaritna@yahoo.com'}]",other,,,"[{'eprintid': 22568, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36027', 'format': 'text', 'main': '04 THE DEVELOVMENT OF INTERACTIVE.pdf', 'files': [{'hash': 'a05079f38716904f00dfc8d064b0a2e6', 'mime_type': 'application/pdf', 'fileid': 206991, 'datasetid': 'document', 'mtime': '2020-06-17 07:25:34', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/206991', 'filename': '04 THE DEVELOVMENT OF INTERACTIVE.pdf', 'filesize': 769732, 'objectid': 36027}], 'docid': 36027, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",,,,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Pendidikan MIPA FKIP Unila']",,,,,,,,"[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/RBR'}]",,,,,,
