,metadata_visibility,datestamp,eprintid,eprint_status,lastmod,documents,userid,number,title,refereed,creators,type,date_type,subjects,uri,date,abstract,volume,publication,publisher,divisions,dir,rev_number,ispublished,full_text_status,issn,status_changed,official_url,pagerange,event_location,event_dates,pres_type,event_title,event_type,id_number,related_url,corp_creators,contributors,place_of_pub,succeeds,note,contact_email,keywords,referencetext
0,show,2020-11-20 04:38:27,26438,archive,2020-11-20 04:38:27,"[{'eprintid': 26438, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40332', 'format': 'text', 'main': '3. artikel-JPF.pdf', 'docid': 40332, 'files': [{'datasetid': 'document', 'fileid': 238020, 'mime_type': 'application/pdf', 'hash': '937a2723c0048059e773cbd3aee5c8a3', 'hash_type': 'MD5', 'mtime': '2020-11-20 04:29:13', 'filesize': 349982, 'objectid': 40332, 'uri': 'http://repository.lppm.unila.ac.id/id/file/238020', 'filename': '3. artikel-JPF.pdf'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",435,2,"Teacher’s belief, expectation, and student’s intention towards augmented reality in learning physics during the pandemic",TRUE,"[{'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'given': 'Abdurrahman', 'lineage': None, 'family': 'Abdurrahman', 'honourific': None}}, {'name': {'given': 'Doni', 'honourific': None, 'family': 'Andra', 'lineage': None}, 'id': 'doniandra.fisika10@gmail.com'}, {'name': {'given': 'Agustina', 'family': 'Linda', 'lineage': None, 'honourific': None}, 'id': None}, {'id': 'novintanurulsari@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Nurulsari', 'lineage': None, 'given': 'Novinta'}}, {'id': 'hervin.maulina@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Maulina', 'lineage': None, 'given': 'Hervin'}}, {'name': {'family': 'Sukamto', 'lineage': None, 'honourific': None, 'given': 'Ismu'}, 'id': 'ismusukamto.11@gmail.com'}]",article,published,['L1'],http://repository.lppm.unila.ac.id/id/eprint/26438,2020-12-01 00:00:00.000000000,"The Covid-19 pandemic has a major impact on various sectors, one of which is education. Educators are required to design learning media as an innovation by utilizing online media. Especially for educators, they are demanded to be creative in delivering material through online learning media. This also needs to be adjusted to the level of education in its needs. This is certainly not an easy thing, because the teacher is not fully prepared. Along with the development of technology in the era of the industrial revolution 4.0, Augmented Reality (AR) provides the widest possible opportunity for the involvement of students in conducting exploration, elaboration, and creativity in an integrative manner by bridging the virtual and real world in physical phenomena. Several recent studies or even in our previous research, only reviewed how general and general teacher perceptions of AR content in the media developed, but not yet at the stage of exploring student's intention and teacher beliefs about the potential of STEM-AR if applied. We used explanatory sequential mixed method design involving 195 teachers and 183 students in Lampung Province. The results show that the level of teacher belief and expectation on the application of STEM-AR in physics learning is also in a very high category. In addition, student's intention to learn with STEM-AR is in a high category which can be described from the aspects of interest, motivation, and commitment.",8.0,Jurnal Pembelajaran Fisika,Universitas Lampung,['FKIP9'],disk0/00/02/64/38,7,pub,public,2302-0105,2020-11-20 04:38:27,,,,,,,,,,,,,,,,,
1,show,2020-11-16 01:25:02,25161,archive,2020-11-16 01:25:02,"[{'format': 'text', 'main': 'EU-JER April 2020.pdf', 'docid': 38941, 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/227608', 'filename': 'EU-JER April 2020.pdf', 'objectid': 38941, 'filesize': 960435, 'mtime': '2020-11-13 13:22:10', 'hash_type': 'MD5', 'hash': 'f2c0abb56471da99a620aeda48011376', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 227608}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 25161, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38941'}]",435,2,Development and Validation of Open Ended Based on Worksheet for Growing Higher Level Thinking Skills of Students,TRUE,"[{'id': 'abdurrahman.1968@fkip.unila.ac.id', 'name': {'given': 'Abdurrahman', 'lineage': None, 'family': 'Abdurrahman', 'honourific': None}}, {'name': {'family': 'Romli', 'lineage': None, 'honourific': None, 'given': 'S'}, 'id': 'sunaryoromli@gmail.com'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Distrik', 'given': 'I Wayan'}, 'id': 'wayandistrik8@gmail.com'}, {'id': 'kkartini.herlina@gmail.com', 'name': {'given': 'Kartini', 'honourific': None, 'family': 'Herlina', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Umam', 'honourific': None, 'given': 'Rofiqul'}, 'id': None}, {'id': None, 'name': {'family': 'Ramadhani', 'lineage': None, 'honourific': None, 'given': 'Rahmi'}}, {'name': {'family': 'Sumarni', 'lineage': None, 'honourific': None, 'given': 'Sri'}, 'id': None}]",article,published,['L1'],http://repository.lppm.unila.ac.id/id/eprint/25161,2020-04-01 00:00:00.000000000,"This research aims to develop open ended-based worksheet in improving students' high-level thinking skills on static fluid materials. The method used in this research is Research and Development (R&D) with 3 steps namely, the initial stage, then the design and development of the product, and finally the product testing. The data analysis technique for product effectiveness is with the main field trials, namely (1) N-gain analysis, (2) paired t-test, (3) ANCOVA, and finally (4) effect size test. From the test results obtained information that conducted 10 students showed the results of the development worksheets obtained the average worth of development products by 90% this value is included in the very high category, while the student response of the average of 88% and also the readability response of 89% in the very high category. In the results of the n-gain analysis also show the value is0.70, that mean medium category. From the results of this study, it can be concluded that worksheets based on open ended can improve students' higher-order thinking skills. So, in further development we suggest that open ended-based on worksheet is not only applied to static fluid material, but also in other materials.",9.0,European Journal of Educational Research,Eurasian Society of Educational Research,['FKIP9'],disk0/00/02/51/61,7,pub,public,2165-8714,2020-11-16 01:25:02,https://www.eu-jer.com/development-and-validation-of-open-ended-based-on-worksheet-for-growing-higher-level-thinking-skills-of-students,445-455,,,,,,,,,,,,,,,
2,show,2021-11-14 02:08:26,36720,archive,2021-11-14 02:08:26,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 157633, 'main': 'Anggraeni_2021_J._Phys.__Conf._Ser._1796_012016 (1).pdf', 'files': [{'datasetid': 'document', 'fileid': 422662, 'mime_type': 'application/pdf', 'hash': 'e3f90d033bc079d185892e6bf4ad9c01', 'hash_type': 'MD5', 'mtime': '2021-11-14 00:10:43', 'objectid': 157633, 'filesize': 619724, 'uri': 'http://repository.lppm.unila.ac.id/id/file/422662', 'filename': 'Anggraeni_2021_J._Phys.__Conf._Ser._1796_012016 (1).pdf'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157633', 'eprintid': 36720, 'placement': 1}]",706,,The validity and practicality of the student worksheet using STEMbased multiple representations in physics learning,TRUE,"[{'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Anggraeni', 'given': 'AA'}}, {'name': {'lineage': None, 'family': 'Distrik', 'honourific': None, 'given': 'I Wayan'}, 'id': 'wayandistrik8@gmail.com'}, {'id': 'undangros@yahoo.com', 'name': {'given': 'Undang', 'lineage': None, 'family': 'Rosidin', 'honourific': None}}]",conference_item,published,['L1'],http://repository.lppm.unila.ac.id/id/eprint/36720,1970-01-01 00:00:00.000002020,". The objective of this research was to produce a valid and practical student worksheet
using Science Technology Engineering and Mathematics (STEM)-based multiple
representations and integrated with twenty first century learning in vibration and wave topic.
This research used Research and Development (R & D) method by following 4-D model steps.
15 sample students of grade XI were taken with random sampling. Research instruments were
validation sheets, student worksheet implementation observation sheets, and questionnaires.
Data were analyzed descriptively and qualitatively. The result showed that the student worksheet
by using STEM approach based on integrated multiple representations and integrated with
twenty first century learning was: 1) valid by content with average score of 85.41 and valid by
construct with average score of 83.88; 2) practical to use in vibrations and waves learning
materials and it was shown by average student worksheet implementation by above 80% and
86.66% positive students’ responses to the student worksheet.
Keyword: Student worksheet, STEM approach, multiple representations.",,Young Scholar Symposium on Science Education and Environment (YSSSEE) 2020,,['FKIP9'],disk0/00/03/67/20,8,pub,public,,2021-11-14 02:08:26,https://iopscience.iop.org/article/10.1088/1742-6596/1796/1/012016,,Bandar Lampung,20-23 September 2020,paper,Young Scholar Symposium on Science Education and Environment (YSSSEE),conference,,,,,,,,,,
3,show,2021-05-30 15:26:57,31315,archive,2021-05-30 15:26:57,"[{'placement': 1, 'eprintid': 31315, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141500', 'security': 'public', 'docid': 141500, 'main': 'Farah-AS-Vi 2020.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-05-29 14:59:14', 'objectid': 141500, 'filesize': 549667, 'uri': 'http://repository.lppm.unila.ac.id/id/file/371046', 'filename': 'Farah-AS-Vi 2020.pdf', 'fileid': 371046, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'f1bd9f1d477d195de4d39ba9b9c12ab3'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",1075,2,STEM-Based Multimedia Design for Stimulating HOTS in Theory Bioenergy and Wind Energy: Perception Physics Teacher,TRUE,"[{'id': None, 'name': {'given': 'Farah', 'family': 'Aulia', 'lineage': None, 'honourific': None}}, {'id': 'asuyatna@yahoo.com', 'name': {'honourific': None, 'family': 'Suyatna', 'lineage': None, 'given': 'Agus'}}, {'name': {'given': 'Viyanti', 'lineage': None, 'family': 'Viyanti', 'honourific': None}, 'id': 'viyanti.1980@fkip.unila.ac.id'}]",article,published,['L1'],http://repository.lppm.unila.ac.id/id/eprint/31315,1970-01-01 00:00:00.000002020,"The purpose of thiis research is to develop multimedia with the STEM approach to stimulate HOTS on bioenergy and wind energy materials. The research and development (R&D) method uses the ADDIE design which consists of 5 step, namely: analysis, design, development, implementation, and evaluation. This article will only report the first two stages namely analysis and design. The instrument used was a product needs analysis questionnaire and a practitioner validation sheet using a Likert scale. The data source of the needs analysis phase is high school students and physics teachers in Lampung Province. Product design validation was carried out by professional physics-teacher teachers with a Masters in Physics Education qualification. Where data is collected via Google Form and analyzed using descriptive qualitative. The results showed that multimeEdia to stimulate HOTS on bioenergy and wind energy was needed in the field. Multimedia which has the potential to stimulate HOTS on bioenergy and wind energy materials consists of videos and simulation of bioenergy and wind energy plants that contain all STEM.

Keywords: bioenergy, multimedia, stimulating HOTS, STEM, wind energy",8.0,Jurnal Pembelajaran Fisika,Universitas Lampung,['FKIP9'],disk0/00/03/13/15,7,pub,public,2302-0105,2021-05-30 15:26:57,http://jurnal.fkip.unila.ac.id/index.php/JPF/article/view/21268,136-139,,,,,,http://dx.doi.org/10.23960/jpf.v8.n2.202001,"[{'url': 'http://jurnal.fkip.unila.ac.id/index.php/JPF/article/view/21268', 'type': 'pub'}]","['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",,,,,,,
4,show,2020-06-17 08:34:12,22570,archive,2020-06-17 08:34:12,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/36029', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 22570, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'fileid': 207009, 'hash': 'b928c0bc79b5a954d99c4afacb584ab9', 'mime_type': 'application/pdf', 'filesize': 739367, 'objectid': 36029, 'filename': '06 CONSTRUCTION A SIMPLE.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/207009', 'hash_type': 'MD5', 'mtime': '2020-06-17 07:31:57'}], 'main': '06 CONSTRUCTION A SIMPLE.pdf', 'docid': 36029, 'format': 'text'}]",624,,Construction A Simple Distillation Apparatus From Used Goods By Using Project-Based Learning.,,"[{'name': {'given': 'Chansyanah', 'lineage': None, 'family': 'Diawati', 'honourific': None}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Kadaritna', 'given': 'Nina'}, 'id': 'kadaritna@yahoo.com'}]",other,,"['L1', 'LB1501', 'LC5201']",http://repository.lppm.unila.ac.id/id/eprint/22570,1970-01-01 00:00:00.000002020,,,,FKIP Unila,['FKIP9'],disk0/00/02/25/70,9,unpub,public,,2020-06-17 08:34:12,,,,,,,,,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Pendidikan MIPA FKIP Unila']","[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",,,,,,
5,show,2020-06-17 08:34:48,22576,archive,2020-06-17 08:34:48,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36035', 'pos': 1, 'eprintid': 22576, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': '11 IMPROVING THE STUDENTS.pdf', 'files': [{'datasetid': 'document', 'fileid': 207061, 'mime_type': 'application/pdf', 'hash': '236bb1393b067c8da15ef81aa1ff2bbb', 'hash_type': 'MD5', 'mtime': '2020-06-17 07:40:41', 'filesize': 841775, 'objectid': 36035, 'uri': 'http://repository.lppm.unila.ac.id/id/file/207061', 'filename': '11 IMPROVING THE STUDENTS.pdf'}], 'docid': 36035}]",624,,"Improving The Students "" Creative Thinking Using Problem Based Worksheet on The Topic of Envirotment Pollution.",,"[{'id': 'chansyanah.diawati@fkip.unila.ac.id', 'name': {'honourific': None, 'family': 'Diawati', 'lineage': None, 'given': 'Chansyanah'}}, {'id': 'kadaritna@yahoo.com', 'name': {'given': 'Nina', 'honourific': None, 'family': 'Kadaritna', 'lineage': None}}]",other,,"['L1', 'LB1501', 'LC5201']",http://repository.lppm.unila.ac.id/id/eprint/22576,1970-01-01 00:00:00.000002020,,,,FKIP Unila,['FKIP9'],disk0/00/02/25/76,9,unpub,public,,2020-06-17 08:34:48,,,,,,,,,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Pendidikan MIPA FKIP Unila']","[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",,,,,,
6,show,2020-06-17 08:35:11,22581,archive,2020-06-17 08:35:11,"[{'format': 'text', 'docid': 36040, 'main': '14 MENINGKATKAN KEMAMPUAN METAKOGNISI.pdf', 'files': [{'fileid': 207099, 'datasetid': 'document', 'hash': 'c38749ef887f4b691dd8aaca7f01d16a', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2020-06-17 07:46:32', 'filesize': 779634, 'objectid': 36040, 'filename': '14 MENINGKATKAN KEMAMPUAN METAKOGNISI.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/207099'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 22581, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36040', 'pos': 1}]",624,,MENINGKATKAN KEMAMPUAN METAKOGNISI SISWA PADA PEMBELAJARAN FISIKA MENGGUNAKAN LEMBAR KERJA SISWA BERBASIS INKUIRI TERBIMBING,,"[{'name': {'given': 'Chansyanah', 'family': 'Diawati', 'lineage': None, 'honourific': None}, 'id': 'chansyanah.diawati@fkip.unila.ac.id'}, {'name': {'family': 'Kadaritna', 'lineage': None, 'honourific': None, 'given': 'Nina'}, 'id': 'kadaritna@yahoo.com'}]",other,,"['L1', 'LB1501', 'LC5201']",http://repository.lppm.unila.ac.id/id/eprint/22581,1970-01-01 00:00:00.000002020,,,,FKIP Unila,['FKIP9'],disk0/00/02/25/81,9,unpub,public,,2020-06-17 08:35:11,,,,,,,,,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Pendidikan MIPA FKIP Unila']","[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",,,,,,
7,show,2020-06-17 08:35:02,22579,archive,2020-06-17 08:35:02,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': '13 USING 5E LEARNING.pdf', 'files': [{'datasetid': 'document', 'fileid': 207086, 'hash': '13adf4afa40a2e33a27dcb8070af939e', 'mime_type': 'application/pdf', 'objectid': 36038, 'filesize': 780292, 'uri': 'http://repository.lppm.unila.ac.id/id/file/207086', 'filename': '13 USING 5E LEARNING.pdf', 'hash_type': 'MD5', 'mtime': '2020-06-17 07:44:43'}], 'docid': 36038, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36038', 'eprintid': 22579, 'placement': 1}]",624,,"Using 5E Learning Cycle-Based Laboratory Activity in Improving Students ""Problem Solving Skills on Mixture Separation.",,"[{'id': 'chansyanah.diawati@fkip.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Diawati', 'given': 'Chansyanah'}}, {'name': {'family': 'Kadaritna', 'lineage': None, 'honourific': None, 'given': 'Nina'}, 'id': 'kadaritna@yahoo.com'}]",other,,"['L1', 'LB1501', 'LC5201']",http://repository.lppm.unila.ac.id/id/eprint/22579,1970-01-01 00:00:00.000002020,,,,FKIP Unila,['FKIP9'],disk0/00/02/25/79,9,unpub,public,,2020-06-17 08:35:02,,,,,,,,,,"['Jurusan Pendidikan MIPA FKIP Unila', 'Jurusan Pendidikan MIPA FKIP Unila']","[{'type': 'http://www.loc.gov/loc.terms/relators/REV'}, {'type': 'http://www.loc.gov/loc.terms/relators/REV'}]",,,,,,
8,show,2020-11-19 11:33:05,26204,archive,2020-11-19 11:33:05,"[{'main': '18. PR290256 Wayan Distrik  dkk.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2020-11-19 04:10:34', 'objectid': 40090, 'filesize': 229478, 'uri': 'http://repository.lppm.unila.ac.id/id/file/236148', 'filename': '18. PR290256 Wayan Distrik  dkk.pdf', 'fileid': 236148, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '1264a806fd257c7f511e7b9508c334db'}], 'docid': 40090, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 26204, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/40090', 'security': 'public'}]",706,9,"The Role of Hots-Oriented Creative Inquiry
Model for Improving Self-Efficacy and
Physics Problem-Solving Ability
In Gender Perspectives",TRUE,"[{'id': 'wayandistrik8@gmail.com', 'name': {'family': 'Distrik', 'lineage': None, 'honourific': None, 'given': 'I Wayan'}}, {'id': 'undangros@yahoo.com', 'name': {'given': 'Undang', 'lineage': None, 'family': 'Rosidin', 'honourific': None}}, {'name': {'given': 'Abdurrahman', 'lineage': None, 'family': 'Abdurrahman', 'honourific': None}, 'id': 'abdurrahman.1968@fkip.unila.ac.id'}]",article,published,['L1'],http://repository.lppm.unila.ac.id/id/eprint/26204,1970-01-01 00:00:00.000002020,"- The purpose of this research was to describe the roles of HOTS-oriented creative inquiry learning
model in improving self-ef icacy and solving problem ability in physics problems to be seen from the gender of
senior high school students in Lampung province, Indonesia. This research used the static-group pretest-posttest
design. One hundred sixty-five students from five public Senior High Schools in Lampung province, Indonesia, were
taken as samples by using random cluster sampling. Problem-solving ability data were obtained from the essay test
by using a problem-solving ability survey (PSA), while data of students' self-ef icacy level toward physics subjects
were collected by using the physics self-ef icacy scale (PSES). The percentage of n-gain average determined the
improvements of self-ef icacy and problem-solving ability, dif erences between pretest and posttest, and dif erences
between male and female students' abilities were determined by using the Wilcoxon test. The correlation between
self-ef icacy and problem-solving ability was determined by using Spearman's' coef icient of correlation test. The
research result showed that there were significant improvements in self-ef icacy and problem-solving ability in
physics problems at a significance level of 0.05. The self-ef icacy and problem-solving ability of male students were
higher than female students. There was a correlation between students' self-ef icacy and problem-solving ability in
physics.",24.0,international journal of psychosocial rehabilitation,Hampstead Psychological Associates,['FKIP9'],disk0/00/02/62/04,6,pub,public,1475-7192,2020-11-19 11:33:05,https://www.psychosocial.com/,,,,,,,,,,,,,,,,
9,show,2021-11-11 01:09:15,35731,archive,2021-11-11 01:09:15,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/156671', 'pos': 1, 'eprintid': 35731, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'fileid': 415573, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '75875f2f3c126b5c83570e6f009be04d', 'hash_type': 'MD5', 'mtime': '2021-11-10 03:01:54', 'objectid': 156671, 'filesize': 321480, 'filename': 'Design of Student Worksheet to Accommodate Learning Style and, haza.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/415573'}], 'main': 'Design of Student Worksheet to Accommodate Learning Style and, haza.pdf', 'docid': 156671}]",679,,Design of Student Worksheet to Accommodate Learning Style and Initial Knowledge and Reduce The Differences of Scientific Reasoning and Argumentation Performance,TRUE,"[{'id': None, 'name': {'given': 'Haza', 'family': 'Haza Kurnia Dinatika', 'lineage': None, 'honourific': None}}, {'name': {'family': 'Viyanti', 'lineage': None, 'honourific': None, 'given': 'Viyanti'}, 'id': 'viyanti.1980@fkip.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Agus Suyatna', 'lineage': None, 'given': 'AS'}, 'id': None}]",article,published,['L1'],http://repository.lppm.unila.ac.id/id/eprint/35731,1970-01-01 00:00:00.000002020,"This study aims to design student worksheets with STEM 
approaches that accommodate student’s learning styles and initial
knowledge so that it has the potential to reduce differences in 
scientific reasoning and student argumentation performance on 
wind energy and water energy materials. The development model 
refers to the stage of the ADDIE model: Analyze, Design, 
Develop, and Implementation. The stages of development 
reported in this article are only the analysis and design stages. 
Needs analysis data obtained through questionnaire distribution, 
interviews, and document reviews sourced from high school 
students and teachers in Lampung. Data were analyzed using 
descriptive qualitative analysis. The results of this study are 
teachers and students need student worksheet designs that have 
the potential to reduce differences in scientific reasoning and 
student argumentation performance. Student worksheet designs 
have the potential to reduce differences in scientific reasoning and 
argumentation performance on wind and water energy materials 
that are developed using the PjBl (Project Based Learning) steps
and integrated of STEM (Science, Technology, Engineering, and 
Mathematics) to facilitate students doing problem-solving 
activities, gathering information, preparing project plans, making 
projects, and communicating. The results of the suitability of the 
activities in the student worksheets with the STEM approach 
obtained an average value of 4.3 and the effectiveness of the 
student worksheets with an average score of 4.3. Based on the 
results of the assessment, it shows that all components are 
assessed to get a score of 4.20-4.5, so the design of this student 
worksheet is declared very appropriate and can be used to 
accommodate learning styles and initial knowledge and reduce 
differences in scientific reasoning and argumentation 
performance.",48.0,ICLIQE 2020: Proceedings of the 4th International Conference on Learning Innovation and Quality EducationSeptember 2020 Article No.: 48Pages 1–7https://doi.org/10.1145/3452144.3453752,UNS,['FKIP9'],disk0/00/03/57/31,6,pub,public,978-1-4503-7572-6,2021-11-11 01:09:15,https://dl.acm.org/doi/10.1145/3452144.3453752,1-7,,,,,,,,"['Viyanti', 'Agus Suyatna']",,,,,,,
