,rev_number,ispublished,status_changed,full_text_status,divisions,publisher,dir,uri,date,subjects,title,type,creators,documents,lastmod,userid,metadata_visibility,eprint_status,eprintid,datestamp,date_type,volume,publication,pagerange,contributors,number,official_url,refereed,abstract,corp_creators,related_url,issn,referencetext,id_number
0,7,pub,2022-03-31 02:40:23,public,['FMIPA1'],Jurnal Penelitian Pertanian Terapan,disk0/00/04/08/78,http://repository.lppm.unila.ac.id/id/eprint/40878,1970-01-01 00:00:00.000002022,['QK'],Peer Review Aplikasi Teh Kompos dan Media Serbuk Kelapa Dalam Meningkatkan Pertumbuhan Tanaman Bayam Merah (Amaranthus tricolor L.),other,"[{'name': {'family': 'Agustrina', 'lineage': None, 'honourific': None, 'given': 'Rochmah'}, 'id': 'rochmah.agustrina@fmipa.unila.ac.id'}]","[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': 'bb54c1c7a34bca6141c456e06f526979', 'datasetid': 'document', 'fileid': 454515, 'filename': 'Aplikasi Teh Kompos dan Media Serbuk Kelapa Dalam Meningkatkan Pertumbuhan Tanaman Bayam Merah (Amaranthus tricolor L.).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/454515', 'filesize': 425502, 'objectid': 162271, 'mtime': '2022-03-31 00:50:20', 'hash_type': 'MD5'}], 'main': 'Aplikasi Teh Kompos dan Media Serbuk Kelapa Dalam Meningkatkan Pertumbuhan Tanaman Bayam Merah (Amaranthus tricolor L.).pdf', 'docid': 162271, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162271', 'pos': 1, 'eprintid': 40878, 'placement': 1}]",2022-03-31 02:40:23,737,show,archive,40878,2022-03-31 02:40:23,,,,,,,,,,,,,,
1,8,pub,2022-06-12 11:44:17,public,['FMIPA1'],Universitas Lampung,disk0/00/04/23/40,http://repository.lppm.unila.ac.id/id/eprint/42340,2022-05-01 00:00:00.000000000,['QC'],"Design and Build Entry Access Restriction System
Laboratory Using Radio Frequency Identification 
(RFID) and Keypad Technology",article,"[{'id': 'ahmadazizarrizal@gmail.com', 'name': {'family': 'Ahmad Aziz Arrizal', 'lineage': None, 'honourific': None, 'given': 'Ahmad Aziz Arrizal'}}, {'name': {'given': 'SW suciyati', 'lineage': None, 'family': 'SW Suciyati', 'honourific': None}, 'id': 'sri.wahyu@fmipa.unila.ac.id'}, {'name': {'given': 'arifs', 'honourific': None, 'lineage': None, 'family': 'Arif Surtono'}, 'id': 'arif.surtono@fmipa.unila.ac.id'}, {'name': {'family': 'Gurum Ahmad  Pauzi', 'lineage': None, 'honourific': None, 'given': 'gurum'}, 'id': 'gurum@fimpa.unila.ac.id'}]","[{'placement': 1, 'eprintid': 42340, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164053', 'pos': 1, 'security': 'public', 'files': [{'hash': '91f78c461ed354b6f74db18ad1c789a4', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 465780, 'filename': 'Jemit3-2-aziz-wahyu.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/465780', 'filesize': 1181969, 'objectid': 164053, 'mtime': '2022-06-11 12:04:48', 'hash_type': 'MD5'}], 'main': 'Jemit3-2-aziz-wahyu.pdf', 'docid': 164053, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2022-06-12 11:44:17,672,show,archive,42340,2022-06-12 11:44:17,published,3.0,"Journal of Energy, Material, and Instrumentation Technology",57-62,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",2.0,http://jemit.fmipa.unila.ac.id/,TRUE,"The laboratory access restriction system has been realized using RFID and
keypad technology, based on an Arduino microcontroller as a processor. The
system has recorded users who entered the room by identifying the RFID tag
(transponder) used to open the door from the outside. As for access outside the
room, the user only needs to enter the password as identification data on the
keypad, and the system would reduce the number of room users and open the
door. The output of this system was a solenoid lock which functions as an
electronic lock and an LCD to display the status of the RFID reading. The test
results showed that the system created can work well. RFID Reader was able to
read tags with a maximum distance of 4 cm. The program counter functions well,
so the number of users was limited to 15 (50% of the maximum capacity).","['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",[{'url': 'http://jemit.fmipa.unila.ac.id/'}],2747-2043,,
2,6,pub,2022-04-28 01:09:01,public,['FMIPA1'],Universitas Sebelas Maret,disk0/00/04/14/90,http://repository.lppm.unila.ac.id/id/eprint/41490,2022-04-18 00:00:00.000000000,['QC'],SINTESIS DAN KARAKTERISASI NANOFIBER KOMPOSIT PVA/SiO2 DARI SILIKA SEKAM PADI MENGGUNAKAN METODE ELECTROSPINNING,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Firdaus', 'given': 'Iqbal'}, 'id': 'iqbal.firdaus@fmipa.unila.ac.id'}, {'name': {'given': 'Simon', 'family': 'Sembiring', 'lineage': None, 'honourific': None}, 'id': 'simon.sembiring@fmipa.'}, {'name': {'given': 'Junaidi', 'lineage': None, 'family': 'Junaidi', 'honourific': None}, 'id': 'junaidi.1982@fmipa.unila.ac.id'}]","[{'eprintid': 41490, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163124', 'format': 'text', 'docid': 163124, 'main': '55730-166560-1-PB (1).pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-04-27 07:25:59', 'objectid': 163124, 'filesize': 770152, 'filename': '55730-166560-1-PB (1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/459441', 'datasetid': 'document', 'fileid': 459441, 'mime_type': 'application/pdf', 'hash': '108f0a4c2e0e30c79aedf72f0c1492c4'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2022-04-28 01:09:01,2743,show,archive,41490,2022-04-28 01:09:01,published,12.0,INDONESIAN JOURNAL OF APPLIED PHYSICS,116-123,,1.0,https://jurnal.uns.ac.id/ijap/article/view/55730,TRUE,"Membrane separator has been successfully made which potential used for lithium batteries,
membrane separators are used for the transfer process and prevent short circuits. In this study,
the PVA/SiO2 separator membrane was synthesized using the electrospinning method with
variations in weight of SiO2 (0, 0.6, 1.2, 2) wt%. SiO2 used is the result of silica extraction of
rice husks. The effect of adding SiO2 to PVA to improve the characteristics of the membrane include porosity, and at high temperatures. The results of the membranes that have been successfully made PVA, and PVA/SiO2 form nanofibers with a smaller diameter of the fiber when added SiO2 which is ~ 220 nm, the smaller diameter increases the porosity of the membrane and improves the performance of the membrane stability at a temperature 165 oC.",,,2089-0133,"1 Zhang, T., Cheng, X. B., Zhang, Q., Lu, Y., & Luo, G. 2016. Construction of a
cathode using amorphous FePO4 nanoparticles for a high-power/energy-density
lithium-ion battery with long-term stability. Journal of Power Sources, 324, 52-60.
2 Wang, L., Wang, Q., Jia, W., Chen, S., Gao, P., & Li, J. 2017. Li metal coated with
amorphous Li3PO4 via magnetron sputtering for stable and long-cycle life lithium
metal batteries. Journal of Power Sources, 342, 175-182.
3 Li, Y., Li, Q., & Tan, Z. 2019. A review of electrospun nanofiber-based separators for
rechargeable lithium-ion batteries. Journal of Power Sources, 443, 227262.
4 Costa, C. M., Silva, M. M., & Lanceros-Méndez, S. J. R. A. 2013. Battery separators
based on vinylidene fluoride (VDF) polymers and copolymers for lithium ion battery
applications. Rsc Advances, 3(29), 11404-11417.
5 Yanilmaz, M., Lu, Y., Zhu, J., & Zhang, X. 2016. Silica/polyacrylonitrile hybrid
nanofiber membran separators via sol-gel and electrospinning techniques for lithiumion batteries. Journal of Power Sources, 313, 205–212.
6 Alias, N., & Mohamad, A. A. 2015. Advances of aqueous rechargeable lithium-ion
battery: A review. Journal of Power Sources, 274, 237–251.
7 Haslinawati, M. M., Matori, K. A., Wahab, Z. A., Sidek, H. A. A., & Zainal, A. T.
2009. Effect of temperature on ceramic from rice husk ash. International Journal of
Basic & Applied Sciences, 9(9), 22-25.
8 Rafiee, E., Shahebrahimi, S., Feyzi, M., & Shaterzadeh, M. 2012. Optimization of
synthesis and characterization of nanosilica produced from rice husk (a common
waste material). International nano letters, 2(1), 1-8.
9 Ugheoke, B. I., & Mamat, O. 2012. A novel method for high volume production of
nano silica from rice husk: Process development and product
characteristics. International Journal of Materials Engineering Innovation, 3(2), 139-
155.
10 Amutha, K., Ravibaskar, R., & Sivakumar, G. 2010. Extraction, synthesis and
characterization of nanosilica from rice husk ash. International Journal of
Nanotechnology and applications, 4(1), 61-66.
11 Dung, L. T. K., Hien, N. Q., Van Phu, D., & Du, B. D. 2017. Preparation and
characterization of nanosilica from rice husk ash by chemical treatment combined
with calcination. Vietnam Journal of Chemistry, 55(4), 455.
12 Liou, T. H., & Yang, C. C. 2011. Synthesis and surface characteristics of nanosilica
produced from alkali-extracted rice husk ash. Materials science and engineering:
B, 176(7), 521-529.
13 Carmona, V. B., Oliveira, R. M., Silva, W. T. L., Mattoso, L. H. C., & Marconcini, J.
M. 2013. Nanosilica from rice husk: extraction and characterization. Industrial Crops
and Products, 43, 291-296.
14 Mehta, A., & Ugwekar, R. P. 2015. Extraction of silica and other related products
from rice husk. International Journal of Engineering Research and Applications, 5(8),
43-48.
15 Xu, H., Gao, B., Cao, H., Chen, X., Yu, L., Wu, K., & Fu, J. 2014. Nanoporous
activated carbon derived from rice husk for high performance supercapacitor. Journal
of Nanomaterials, 2014.
16 Tadjarodi, A., Haghverdi, M., Mohammadi, V. 2012. Preparation and characterization
of nano-poroussilica aerogel from rice husk ash by drying at atmospheric
pressure.Materials Research Bulletin, 47, 584-2589.
17 Sembiring, S., Riyanto, A., Situmeang, R., Sembiring, Z., Susanti, N., & Firdaus, I.
2020. Effect of amorphous rice husk silica addition on the structure of asphalt
composite. Journal of Metals, Materials and Minerals, 30(4), 113-118.
18 Bhardwaj, N., & Kundu, S. C. 2010. Electrospinning: a fascinating fiber fabrication
technique. Biotechnology advances, 28(3), 325-347
19 Yanilmaz, M. 2019. Evaluation of electrospun PVA/SiO2 nanofiber separator
membranes for lithium-ion batteries. The Journal of The Textile Institute, Volume
111, Issue 3
20 Ade Putra, O., Ilham, B. M., & Widiyandari, H. 2021. The Physicochemical
Properties of PVDF/SiO2 Composite Nanofibers for Potential Application of LithiumIon Battery Separators. Materials Science Forum, 1044, 81–87.",https://doi.org/10.13057/ijap.v12i1.55730
3,7,pub,2022-06-09 05:42:41,public,['FMIPA1'],Universitas Lampung,disk0/00/04/22/51,http://repository.lppm.unila.ac.id/id/eprint/42251,2022-02-01 00:00:00.000000000,['QC'],"Analisis Pengaruh Variasi pH Larutan Acid Zinc Pada Sel 
Volta Dua Kompartemen Dengan Elektrode Cu(Ag)-Zn",article,"[{'name': {'given': 'gurum', 'family': 'Gurum Ahmad  Pauzi', 'lineage': None, 'honourific': None}, 'id': 'gurum@fimpa.unila.ac.id'}, {'name': {'family': 'Nila anggi', 'lineage': None, 'honourific': None, 'given': 'nila'}, 'id': None}, {'id': 'arifgandes@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Arif Surtono', 'given': 'Arif Surtono'}}, {'id': 'sri.wahyu@fmipa.unila.ac.id', 'name': {'honourific': None, 'family': 'SW Suciyati', 'lineage': None, 'given': 'SW suciyati'}}]","[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/163955', 'pos': 1, 'eprintid': 42251, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'JEmit3-1-22-1anggi.pdf', 'files': [{'fileid': 465164, 'datasetid': 'document', 'hash': '80cfb757cee57aea9c1978c6354e37eb', 'mime_type': 'application/pdf', 'filesize': 1388297, 'objectid': 163955, 'uri': 'http://repository.lppm.unila.ac.id/id/file/465164', 'filename': 'JEmit3-1-22-1anggi.pdf', 'hash_type': 'MD5', 'mtime': '2022-06-09 04:34:08'}], 'docid': 163955}]",2022-06-09 05:42:41,672,show,archive,42251,2022-06-09 05:42:41,published,3.0,"Journal of Energy, Material, and Instrumentation Technology",21-30,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",1.0,http://jemit.fmipa.unila.ac.id/,TRUE,"The research was conducted to analyze the effect of variations in pH of acid zinc 
solution in two compartment voltaic cells with Cu(Ag)-Zn electrodes on the value 
of electrical characteristics and the resulting corrosion rate. The Cu(Ag)-Zn pair is 
used to generate voltage and current in the cell with seawater electrolyte and zinc 
acid solution. The two compartments are lined with salt bridge made from mixture 
of Al2O3 (aluminum oxide), NaCl (seawater) 1 mole concentration dissolved in “tiga 
roda” white cement. The voltaic cell consisted of 5 cells arranged in series circuit, 
for each cell at the cathode (Cu(Ag)) containing ± 250 ml seawater and at the anode 
(Zn) containing ± 200 ml cid zinc solution which was varied with a pH of 4.5 and 
6. The voltaic cell was measured with multitester every 1 hour for 3 days. Based 
on the research that has been done, it can be concluded that by using an acid zinc 
electrolyte solution which has a lower pH value, it will increase the value of the 
electrical characteristics and increase the corrosion rate produced by voltaic cell.","['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",,2747-2043,,
4,7,pub,2022-06-12 11:44:58,public,['FMIPA1'],Universitas Lampung,disk0/00/04/23/43,http://repository.lppm.unila.ac.id/id/eprint/42343,2022-05-01 00:00:00.000000000,['QC'],"Design of Portable Nano-hydro Generator for Lighting
in Mountain Areas",article,"[{'name': {'given': 'Gurum', 'lineage': None, 'family': 'Gurum Ahmad Pauzi', 'honourific': None}, 'id': 'gurum@fmipa.unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Muhammad Ridwan', 'given': 'Muhammad Ridwan'}, 'id': None}, {'id': None, 'name': {'given': 'AMIR SUPRIYANTO', 'honourific': None, 'lineage': None, 'family': 'AMIR SUPRIYANTO'}}, {'id': 'sri.wahyu@fmipa.unila.ac.id', 'name': {'given': 'sw suciyati', 'honourific': None, 'family': 'SW Suciyati', 'lineage': None}}]","[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164056', 'eprintid': 42343, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/465802', 'filename': 'Jemit3-2-ridwan-wahyu.pdf', 'filesize': 1340149, 'objectid': 164056, 'mtime': '2022-06-11 12:56:27', 'hash_type': 'MD5', 'hash': '9cbd31778b5d61cc57f463b4734b344b', 'mime_type': 'application/pdf', 'fileid': 465802, 'datasetid': 'document'}], 'main': 'Jemit3-2-ridwan-wahyu.pdf', 'docid': 164056}]",2022-06-12 11:44:58,672,show,archive,42343,2022-06-12 11:44:58,published,3.0,"Journal of Energy, Material, and Instrumentation Technology",50-56,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}, {'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",2.0,http://jemit.fmipa.unila.ac.id/,TRUE,"Electricity needs in mountainous areas have not been optimal, so there need to
be alternative power plants to meet the electricity supply in the mountainous area.
For this reason, this study made an alternative power plant tool with the title
Nano-hydro Generator Design Easy to Carry for Lighting In Mountainous Areas.
The creation of this tool has several stages, including the first stage of making
graphic design through SketchUp applications, then the second stage of the tool
assembly in the form of mechanical design and civilian build, then the third stage
of testing tools through water media, and the last stage of data retrieval to see if
this tool works optimally. Based on the results of trials and data collection
obtained, the average rotation speed of the turbine of 48.6 rpm, the rotation speed
of the generator of 194.3 rpm, and a voltage of 6.3 volts.","['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']","[{'url': 'http://jemit.fmipa.unila.ac.id/', 'type': 'pub'}]",2747-2043,,
5,6,pub,2022-06-21 02:57:31,public,['FMIPA1'],Jurusan Fisika FMIPA Universitas Lampung,disk0/00/04/26/81,http://repository.lppm.unila.ac.id/id/eprint/42681,1970-01-01 00:00:00.000002022,['QC'],KARAKTERISTIK STRUKTUR DAN TERMAL KOMPOSIT ASPAL KARBOSIL SILIKA SEKAM PADI,article,"[{'name': {'given': 'Junaidi', 'lineage': None, 'family': 'Junaidi', 'honourific': None}, 'id': 'junaidi.1982@fmipa.unila.ac.id'}, {'id': 'simonsembiring2@gmail.com', 'name': {'given': 'Sembiring', 'honourific': None, 'family': 'Simon', 'lineage': None}}]","[{'docid': 164402, 'main': '2022-Devi Yulianti_JTAF.pdf', 'files': [{'mtime': '2022-06-21 01:34:35', 'hash_type': 'MD5', 'filename': '2022-Devi Yulianti_JTAF.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/468195', 'objectid': 164402, 'filesize': 574068, 'mime_type': 'application/pdf', 'hash': '80c36477bbf393f0a746eb29c1d5b382', 'fileid': 468195, 'datasetid': 'document'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 42681, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164402', 'pos': 1, 'security': 'public'}]",2022-06-21 02:57:31,181,show,archive,42681,2022-06-21 02:57:31,published,10.0,Jurnal Teori dan Aplikasi Fisika,,,1.0,https://jurnal.fmipa.unila.ac.id/jtaf/article/view/2898,TRUE,"Telah dilakukan sintesis dan karakterisasi aspal yang dimodifikasi dengan karbosil dan silika. Penelitian ini dilakukan untuk mengetahui mikrosuktur dan struktur komposit aspal karbosil silika dengan perbandingan komposisi berat yaitu 50:50:0; 42,5:42,5:15; 40:40:20; 37,5:37,5:25; 35:35:30; 32,5:32,5:35. Silika diperoleh dengan menggunakan metode alkalis dan karbosil diperoleh dengan metode pirolisis. Hasil analisis XRD diperoleh fasa yang terbentuk dari setiap variasi komposisi adalah fasa amorf. Analisis DTA/TGA menunjukkan terjadinya perubahan energi akibat penambahan panas dengan ditandai adanya penyusutan massa pada sampel. Variasi komposisi pada sampel menunjukkan terjadinya penurunan nilai pada kuat tekan, porositas dan perubahan ketebalan.",,,2303-016X,,http://dx.doi.org/10.23960%2Fjtaf.v10i1.2898
6,6,pub,2022-06-21 02:57:30,public,['FMIPA1'],Jurusan Fisika FMIPA Universitas Lampung,disk0/00/04/26/80,http://repository.lppm.unila.ac.id/id/eprint/42680,1970-01-01 00:00:00.000002022,['QC'],Studi Pendahuluan Pembentukan Gugus Fungsi dari Komposit Perak Silika (Ag/SiO2) Berbasis Sekam Padi,article,"[{'name': {'honourific': None, 'family': 'Junaidi', 'lineage': None, 'given': 'Junaidi'}, 'id': 'junaidi.1982@fmipa.unila.ac.id'}, {'name': {'given': 'Sembiring', 'family': 'Simon', 'lineage': None, 'honourific': None}, 'id': 'simonsembiring2@gmail.com'}]","[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': '2022-Rifa Dian_JTAF.pdf', 'docid': 164401, 'files': [{'filesize': 398307, 'objectid': 164401, 'uri': 'http://repository.lppm.unila.ac.id/id/file/468189', 'filename': '2022-Rifa Dian_JTAF.pdf', 'hash_type': 'MD5', 'mtime': '2022-06-21 01:31:53', 'fileid': 468189, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'da1c2ea0b3e6544c345b498cc519d600'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164401', 'security': 'public', 'placement': 1, 'eprintid': 42680}]",2022-06-21 02:57:30,181,show,archive,42680,2022-06-21 02:57:30,published,10.0,Jurnal Teori dan Aplikasi Fisika,,,1.0,https://jurnal.fmipa.unila.ac.id/jtaf/article/view/2891,TRUE,"Research has been carried out with the aim of studying the formation of functional groups of a composite of silver silica (Ag/SiO2) based on rice husk silica and silver nitrate (AgNO3) as a precursor using the sol-gel method. Variations in the concentration of AgNO3 used were 0,3M; 0,5M; and 0,7 M with a thermal temperature of 850 °C. The results of Fourier transform infrared spectroscopy (FTIR) showed the formation of Si-O-Si, Si-O, and O-N-O functional groups which were the result of AgNO3 residue indicating the presence of Ag.",,,2303-016X,,http://dx.doi.org/10.23960%2Fjtaf.v10i1.2891
7,7,pub,2022-10-06 02:19:42,public,['FMIPA1'],"Journal of Energy, Material, and Instrumentation Technology",disk0/00/04/55/41,http://repository.lppm.unila.ac.id/id/eprint/45541,1970-01-01 00:00:00.000002022,['AC'],Ekstrak Daun Sawo (Manilkara Zapota L) Sebagai Inhibitor Terhadap Laju Korosi Baja Aisi 1018 Dalam Medium Korosif NaCI 3%,other,"[{'id': 'pulung.karokaro@gmail.com', 'name': {'given': 'Pulung', 'honourific': None, 'lineage': None, 'family': 'Karo Karo'}}]","[{'eprintid': 45541, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184320', 'format': 'text', 'main': '3. EKSTRA DAUN SAWO.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-10-06 02:15:21', 'filesize': 398665, 'objectid': 184320, 'filename': '3. EKSTRA DAUN SAWO.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/505651', 'fileid': 505651, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'bc177de9353b17a2439e89f0e7cf108e'}], 'docid': 184320, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2022-10-06 02:19:42,949,show,archive,45541,2022-10-06 02:19:42,,,,,,,,,Dokumen Abstrak,,,,,
8,7,pub,2022-10-06 02:19:38,public,['FMIPA1'],Ceramics-Silikaty,disk0/00/04/55/39,http://repository.lppm.unila.ac.id/id/eprint/45539,1970-01-01 00:00:00.000002022,['AC'],Preparation of Silver-Doped Rice Husk Silica Composites Using the Sol-Gel Method,other,"[{'id': 'pulung.karokaro@gmail.com', 'name': {'given': 'Pulung', 'honourific': None, 'family': 'Karo Karo', 'lineage': None}}]","[{'format': 'text', 'main': '1. PREPARATION OF SILVER-DOPED RICE HUSK.pdf', 'files': [{'filename': '1. PREPARATION OF SILVER-DOPED RICE HUSK.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/505635', 'objectid': 184317, 'filesize': 1877560, 'mtime': '2022-10-06 02:04:58', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'f6ef13c8b4cdcb141b709e84188799bb', 'fileid': 505635, 'datasetid': 'document'}], 'docid': 184317, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 45539, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/184317'}]",2022-10-06 02:19:38,949,show,archive,45539,2022-10-06 02:19:38,published,,,,,,,,Dokumen Abstrak,,,,,
9,7,pub,2022-10-19 09:45:16,public,['FMIPA1'],Ceramics-Silikaty,disk0/00/04/58/36,http://repository.lppm.unila.ac.id/id/eprint/45836,1970-01-01 00:00:00.000002022,['AC'],Preparation of Silver-Doped Rice Husk Silica Composites Using the Sol-Gel Method,other,"[{'id': 'pulung.karokaro@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Karo Karo', 'given': 'Pulung'}}]","[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/184648', 'pos': 1, 'eprintid': 45836, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'BUKTI KORESPONDENSI.pdf', 'docid': 184648, 'files': [{'fileid': 507904, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'aafdd23e5f69ed11d99382f2ac25d1fb', 'hash_type': 'MD5', 'mtime': '2022-10-19 08:33:43', 'objectid': 184648, 'filesize': 195134, 'filename': 'BUKTI KORESPONDENSI.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/507904'}]}]",2022-10-19 09:45:16,949,show,archive,45836,2022-10-19 09:45:16,published,,,,,,,,Bukti Korespondensi,,,,,
