,official_url,lastmod,documents,userid,number,metadata_visibility,pagerange,datestamp,eprint_status,eprintid,title,refereed,type,creators,date,uri,abstract,volume,subjects,rev_number,ispublished,issn,full_text_status,status_changed,publication,publisher,divisions,dir,date_type,id_number,place_of_pub,patent_applicant,succeeds,event_location,event_dates,pres_type,event_type,event_title,contact_email,pages,corp_creators,related_url,referencetext,monograph_type,institution,department,contributors
0,https://www.scirp.org/journal/jbise,2021-02-24 05:04:14,"[{'main': 'jbise_2020072911424425.pdf', 'docid': 42120, 'files': [{'fileid': 249932, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '3752e6239f1d10edc3597debfb02dedb', 'hash_type': 'MD5', 'mtime': '2021-02-23 08:59:30', 'filesize': 315186, 'objectid': 42120, 'filename': 'jbise_2020072911424425.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/249932'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 28065, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42120', 'security': 'public'}, {'pos': 2, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42121', 'security': 'public', 'placement': 2, 'eprintid': 28065, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'docid': 42121, 'main': 'jbise_2020072911424425.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '3752e6239f1d10edc3597debfb02dedb', 'datasetid': 'document', 'fileid': 249936, 'mtime': '2021-02-23 09:02:01', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/249936', 'filename': 'jbise_2020072911424425.pdf', 'objectid': 42121, 'filesize': 315186}], 'format': 'text'}]",99,7.0,show,168-174,2021-02-24 05:04:14,archive,28065,Cross Entropy Based Sparse Logistic Regression to Identify Phenotype-Related Mutations in Methicillin-Resistant Staphylococcus aureus,TRUE,article,"[{'name': {'given': 'Bahriddin', 'family': 'Abapihi', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'family': 'Faisal', 'lineage': None, 'given': 'Mohammad  Reza'}}, {'name': {'given': 'Ngoc G', 'lineage': None, 'family': 'Nguyen', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Delimayanti', 'honourific': None, 'given': 'Mera K'}}, {'name': {'honourific': None, 'family': 'Purnama', 'lineage': None, 'given': 'Bedy'}}, {'name': {'given': 'Favorisen R', 'honourific': None, 'family': 'Lumbanraja', 'lineage': None}}, {'name': {'given': 'Dau', 'honourific': None, 'family': 'Phan', 'lineage': None}}, {'name': {'family': 'Kubo', 'lineage': None, 'honourific': None, 'given': 'Mamoru'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Satou', 'given': 'Kenji'}}]",1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/28065,"Emergence of drug resistant bacteria is one of the serious problems in today’s public health.
However, the relationship between genomic mutation of bacteria and the phenotypic difference of them is still unclear. In this paper, based on the mutation information in whole genome sequences of 96 MRSA strains, two kinds of phenotypes (pathogenicity and drug resistance) were learnt and predicted by machine learning algorithms. As a result of effective feature selection by cross entropy based sparse logistic regression, these phenotypes
could be predicted in sufficiently high accuracy (100% and 97.87%, respectively) with less than 10 features. It means that we could develop a novel rapid test method in the future for checking MRSA phenotypes.",13.0,['QA75'],11,pub,1937-6871,public,2021-02-24 05:04:14,Journal of Biomedical Science and Engineering,Scientific Research,['FMIPA3'],disk0/00/02/80/65,,,,,,,,,,,,,,,,,,,
1,,2021-04-01 01:45:28,"[{'main': '2. ga20_nilai.pdf', 'docid': 42875, 'files': [{'fileid': 255498, 'datasetid': 'document', 'hash': '985d2556d975cb55db814f36d15eb5fb', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2021-03-31 19:32:16', 'objectid': 42875, 'filesize': 13635268, 'filename': '2. ga20_nilai.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/255498'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 28325, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42875', 'security': 'public'}]",725,,show,,2021-04-01 01:45:28,archive,28325,Peer Review: Algoritma Genetika dan Persoalan Optimasi,,other,"[{'id': 'admi_syarif@yahoo.com', 'name': {'lineage': None, 'family': 'Admi Syarif', 'honourific': None, 'given': 'AS'}}]",1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/28325,,,['T1'],7,pub,,public,2021-04-01 01:45:28,,PT. Graha Ilmu,['FMIPA3'],disk0/00/02/83/25,published,ISBN: 978-623-228-720-4,Yogyakarta,,,,,,,,,,,,,,,,
2,https://jurnal.fmipa.unila.ac.id/komputasi/article/view/2641,2021-06-15 07:18:25,"[{'placement': 1, 'eprintid': 26042, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/147989', 'security': 'public', 'files': [{'mime_type': 'application/pdf', 'hash': '2f8c52d05af29a2013fdfbfa21964543', 'datasetid': 'document', 'fileid': 385587, 'filename': 'JN_Terindeks_1_Komputasi 2020 Vol 8, No. 2 - Lengkap.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/385587', 'filesize': 1655474, 'objectid': 147989, 'mtime': '2021-06-15 07:18:25', 'hash_type': 'MD5'}], 'main': 'JN_Terindeks_1_Komputasi 2020 Vol 8, No. 2 - Lengkap.pdf', 'docid': 147989, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",725,2.0,show,1-9,2020-11-19 02:07:40,archive,26042,Implementasi Metode Ekstraksi Fitur Gabor Filter dan Probablity Neural Network (PNN) untuk Identifikasi Kain Tapis Lampung,TRUE,article,"[{'name': {'lineage': None, 'family': 'Admi Syarif', 'honourific': None, 'given': 'AS'}, 'id': 'admi_syarif@yahoo.com'}, {'name': {'given': 'Tanjung', 'family': 'Akbar Rismawan', 'lineage': None, 'honourific': None}, 'id': None}, {'id': 'rico.andrian@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Rico Andrian', 'honourific': None, 'given': 'RA'}}, {'name': {'given': 'Rosi', 'lineage': None, 'family': 'Favorisen R. Lumbanraja', 'honourific': None}, 'id': 'favorisen.lumbanraja@unila.ac.id'}]",2020-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/26042,"Tapis Fabric is a traditional clothing of the people of Lampung in the form of a shawl cloth or a sarong made of woven cotton thread with various motifs and ornaments, silver thread or gold thread by embroidered or punched. The pattern of filter cloth is quite complex, unlike the pattern of fabric in general, with its own uniqueness that has become the culture of Lampung society until now. This filter cloth will be investigated by identifying the three types of filter cloth, namely Sasab, Bintang Perak and Gunung Beradu and see the results of its identification. The method used to identify is by combining the Gabor Filter feature extraction method which has frequency and orientation parameters and Probability Neural Network classification methods. Previously, the combination of these two methods was used to identify objects with simple patterns. The results are quite good, such as detecting faces, leaf patterns, and other simple patterns. This research is expected to get maximum identification results on the filter cloth even though it has a pattern that is not simple and will be used as a research report to determine the suitability of the method used for the filter object.",8.0,['T1'],11,pub,p-ISSN 2541-0296 | e-ISSN 2541-0350,public,2020-11-19 02:07:40,Jurnal Komputasi,Jurusan Ilmu Komputer Universitas Lampung,['FMIPA3'],disk0/00/02/60/42,published,10.23960%2Fkomputasi.v8i2.2641,,,,,,,,,,,,,,,,,
3,http://doi.org/10.22266/ijies2020.1031.40,2021-04-01 01:45:34,"[{'docid': 42877, 'main': '4. ijies20_nilai.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-03-31 19:33:16', 'filesize': 2576152, 'objectid': 42877, 'filename': '4. ijies20_nilai.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/255504', 'fileid': 255504, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '0eeb3a862c85f05a9339620d6061e7c9'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 28338, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42877', 'pos': 1, 'security': 'public'}]",725,,show,,2021-04-01 01:45:34,archive,28338,Peer Review: Comparing Various Genetic Algorithm Approaches for Multiple-choice Multi-dimensional Knapsack Problem (mm-KP),,other,"[{'id': 'admi_syarif@yahoo.com', 'name': {'given': 'AS', 'honourific': None, 'family': 'Admi Syarif', 'lineage': None}}, {'id': 'diananggraini1995.da@gmail.com', 'name': {'honourific': None, 'family': 'Anggraini', 'lineage': None, 'given': 'Dian'}}, {'name': {'family': 'Muludi', 'lineage': None, 'honourific': None, 'given': 'Kurnia'}, 'id': 'kurnia.muludi@fmipa.unila.ac.id'}, {'name': {'given': 'Wamiliana', 'lineage': None, 'family': 'Wamiliana', 'honourific': None}, 'id': 'wamiliana@gmail.com'}]",2020-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/28338,"One of the essential and well-known classes of combinatorial optimization problems commonly studies by researchers in the last five decades is called the Knapsack Problem (KP). Many variants of KP have been introduced for different real-world applications. Among them, the multiple-choice multi-dimensional Knapsack Problem (mm- KP) is the most complex model with an NP-hard problem. Several authors have reported the robustness of heuristics for mm-KP; irrespective of its advantages, no method currently has the ability to solve the problem optimally all time. This paper aims to determine the best GA strategy and evaluate the performance of several heuristic algorithms to solve mm-KP. We investigate the use of two techniques that are included in the GA approach. The first, two different strategies are adopted to handle infeasible chromosomes, namely penalty and repairing procedure. Second, we develop a new-simple local search to improve the quality of the solution found. Experimental studies on the 13 (thirteen) Benchmark instances are conducted to evaluate the effectiveness of the approach based on solutions quality, the number of the optimal solution reached, and average errors. The results showed that hr-GA tends to reach optimal/nearoptimal solutions. Furthermore, the results from studies on heuristic algorithms also show that hr-GA is a promising approach, with local search used to immensely improve the quality.",,['TA'],7,pub,,public,2021-04-01 01:45:34,,Intelligent Networks and Systems Society,['FMIPA3'],disk0/00/02/83/38,,DOI: 10.22266/ijies2020.1031.40,,,,,,,,,,,,,,,,,
4,http://www.inass.org/publications.html,2021-06-15 07:03:23,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/147957', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 23902, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'fileid': 385535, 'mime_type': 'application/pdf', 'hash': 'ff3b9374606ac41aa734c5a855f37df0', 'hash_type': 'MD5', 'mtime': '2021-06-15 07:03:23', 'objectid': 147957, 'filesize': 9787367, 'uri': 'http://repository.lppm.unila.ac.id/id/file/385535', 'filename': '0. JI_Terindeks_1_IJIES 2020 - Full.pdf'}], 'main': '0. JI_Terindeks_1_IJIES 2020 - Full.pdf', 'docid': 147957, 'format': 'text'}]",725,5.0,show,455-462,2020-09-07 07:58:42,archive,23902,Comparing Various Genetic Algorithm Approaches for Multiple-choice Multi-dimensional Knapsack Problem mm-KP),TRUE,article,"[{'id': 'admi_syarif@yahoo.com', 'name': {'lineage': None, 'family': 'Admi Syarif', 'honourific': None, 'given': 'AS'}}, {'name': {'family': 'Anggraini', 'lineage': None, 'honourific': None, 'given': 'Dian'}, 'id': 'diananggraini1995.da@gmail.com'}, {'id': 'kurnia.muludi@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Muludi', 'honourific': None, 'given': 'Kurnia'}}, {'id': 'wamiliana@gmail.com', 'name': {'given': 'Wamiliana', 'honourific': None, 'family': 'Wamiliana', 'lineage': None}}, {'id': 'mitsuogen@gmail.com', 'name': {'given': 'Mitsuo', 'family': 'Gen', 'lineage': None, 'honourific': None}}]",2020-10-31 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/23902,"One of the essential and well-known classes of combinatorial optimization problems commonly studies by researchers in the last five decades is called the Knapsack Problem (KP). Many variants of KP have been introduced for different real-world applications. Among them, the multiple-choice multi-dimensional Knapsack Problem (mm- KP) is the most complex model with an NP-hard problem. Several authors have reported the robustness of heuristics for mm-KP; irrespective of its advantages, no method currently has the ability to solve the problem optimally all time. This paper aims to determine the best GA strategy and evaluate the performance of several heuristic algorithms to solve mm-KP. We investigate the use of two techniques that are included in the GA approach. The first, two different strategies are adopted to handle infeasible chromosomes, namely penalty and repairing procedure. Second, we develop a new-simple local search to improve the quality of the solution found. Experimental studies on the 13 (thirteen) Benchmark instances are conducted to evaluate the effectiveness of the approach based on solutions quality, the number of the optimal solution reached, and average errors. The results showed that hr-GA tends to reach optimal/nearoptimal solutions. Furthermore, the results from studies on heuristic algorithms also show that hr-GA is a promising approach, with local search used to immensely improve the quality.",13.0,['T1'],7,pub,"2185-3118 (eISSN), 2185-310X (pISSN)",public,2020-09-07 07:58:42,The International Journal of Intelligent Engineering and Systems (IJIES),Intelligent Networks and Systems Society (INASS),['FMIPA3'],disk0/00/02/39/02,published,10.22266/ijies2020.1031.40,,,,,,,,,,,,,,,,,
5,https://ejurnal.teknokrat.ac.id/index.php/teknokompak/article/view/796,2021-04-01 01:47:00,"[{'placement': 1, 'eprintid': 28367, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42885', 'pos': 1, 'security': 'public', 'main': '12. tekno20_nilai.pdf', 'files': [{'mtime': '2021-03-31 19:49:44', 'hash_type': 'MD5', 'filename': '12. tekno20_nilai.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/255531', 'filesize': 2567210, 'objectid': 42885, 'hash': '3bd8336c8bd6cc8963b8dbb218bceb0d', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 255531}], 'docid': 42885, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",725,,show,,2021-04-01 01:47:00,archive,28367,Peer Review: Implementasi Metode Simple Additive Weighting (Saw) Pada Sistem Pendukung Keputusan Pemilihan Rumah Berbasis Android,,other,"[{'id': 'admi_syarif@yahoo.com', 'name': {'lineage': None, 'family': 'Admi Syarif', 'honourific': None, 'given': 'AS'}}, {'name': {'family': 'Aprilarita', 'lineage': None, 'honourific': None, 'given': 'Qory'}, 'id': None}, {'name': {'family': 'Rizki', 'lineage': None, 'honourific': None, 'given': 'Muhammad'}, 'id': None}, {'name': {'given': 'Rosi', 'honourific': None, 'lineage': None, 'family': 'Favorisen R. Lumbanraja'}, 'id': 'favorisen.lumbanraja@unila.ac.id'}]",2020-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/28367,"The process of selecting house is a difficult thing to do, because there are many alternatives offered by developers. The purpose of this research is to build an Android-based decision support system that can help selection process involving ten criteria. The criteria used in this research are house prices, building area, land area, electricity, water sources, distance from market, distance from university, number of bedrooms, number of bathrooms, and number of floors. The system built applies Simple Additive Weighting (SAW) method. SAW is one of the well-known methods and is often used for multiple attribute decision making because of its simplicity in providing alternatives during the decision making process. Based on system performance testing, the results of accuracy is 85,7%, which at this time has been categorized as very good. Based on the results of alpha testing and beta testing, it can be concluded that application has worked and meets the level of user satisfaction, with value that is categorized as very good.",,['T1'],7,pub,,public,2021-04-01 01:47:00,,Universitas Teknokrat Indonesia,['FMIPA3'],disk0/00/02/83/67,,DOI: 10.33365/jtk.v14i2.796,,,,,,,,,,,,,,,,,
6,https://ejurnal.teknokrat.ac.id/index.php/teknokompak,2021-06-15 07:21:39,"[{'docid': 148001, 'main': 'JN_Terindeks_3_Tekno Kompak 2020 - Vol 14, No 2.pdf', 'files': [{'fileid': 385603, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'c143acb5c7a0f19841f7d0e9fc38045e', 'filesize': 1743795, 'objectid': 148001, 'filename': 'JN_Terindeks_3_Tekno Kompak 2020 - Vol 14, No 2.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/385603', 'hash_type': 'MD5', 'mtime': '2021-06-15 07:21:39'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 23904, 'uri': 'http://repository.lppm.unila.ac.id/id/document/148001', 'pos': 1, 'security': 'public'}]",725,2.0,show,102-110,2020-09-07 07:59:02,archive,23904,Implementasi Metode Simple Additive Weighting (Saw) Pada Sistem Pendukung Keputusan Pemilihan Rumah Berbasis Android,TRUE,article,"[{'id': 'admi_syarif@yahoo.com', 'name': {'lineage': None, 'family': 'Admi Syarif', 'honourific': None, 'given': 'AS'}}, {'name': {'given': 'Qory', 'honourific': None, 'lineage': None, 'family': 'Aprilarita'}, 'id': None}, {'id': None, 'name': {'honourific': None, 'family': 'Rizky', 'lineage': None, 'given': 'Muhammad'}}, {'name': {'given': 'Rosi', 'family': 'Favorisen R. Lumbanraja', 'lineage': None, 'honourific': None}, 'id': 'favorisen.lumbanraja@unila.ac.id'}]",2020-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/23904,"The process of selecting house is a difficult thing to do, because there are many alternatives offered by developers. The purpose of this research is to build an Android-based decision support system that can help selection process involving ten criteria. The criteria used in this research are house prices, building area, land area, electricity, water sources, distance from market, distance from university, number of bedrooms, number of bathrooms, and number of floors. The system built applies Simple Additive Weighting (SAW) method. SAW is one of the well-known methods and is often used for multiple attribute decision making because of its simplicity in providing alternatives during the decision making process. Based on system performance testing, the results of accuracy is 85,7%, which at this time has been categorized as very good. Based on the results of alpha testing and beta testing, it can be concluded that application has worked and meets the level of user satisfaction, with value that is categorized as very good.",14.0,['T1'],9,pub,"2656-3525 (eISSN), 1412-9663 (pISSN)",public,2020-09-07 07:59:02,Jurnal Tekno Kompak,Universitas Teknokrat Indonesia,['FMIPA3'],disk0/00/02/39/04,published,10.33365/jtk.v14i2.796,,,,,,,,,,,,,,,,,
7,http://klik.ulm.ac.id/index.php/klik/article/view/325,2021-04-01 01:46:55,"[{'eprintid': 28366, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/42884', 'pos': 1, 'format': 'text', 'docid': 42884, 'main': '11. klik20_nilai.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-03-31 19:49:14', 'objectid': 42884, 'filesize': 6415207, 'filename': '11. klik20_nilai.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/255528', 'datasetid': 'document', 'fileid': 255528, 'hash': '0e24d92f2192bd2fb4f4ca7d4a3aad7d', 'mime_type': 'application/pdf'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",725,,show,,2021-04-01 01:46:55,archive,28366,Peer Review: Implementasi Metode Analytical Hierarchy Process (AHP) pada Sistem Pendukung Keputusan Pembelian Mobil di Bandar Lampung,,other,"[{'name': {'given': 'AS', 'lineage': None, 'family': 'Admi Syarif', 'honourific': None}, 'id': 'admi_syarif@yahoo.com'}, {'name': {'given': 'Ari', 'family': 'Ardianto', 'lineage': None, 'honourific': None}, 'id': None}, {'id': 'bambang.hermanto@fmipa.unila.ac.id', 'name': {'given': 'Bambang', 'lineage': None, 'family': 'Hermanto', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Yusman', 'lineage': None, 'given': 'Machudor'}, 'id': 'machudor.yusman@fmipa.unila.ac.id'}]",2020-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/28366,"Mobil merupakan alat transportasi yang penting saat ini guna menunjang aktivitas maupun untuk memenuhi gaya hidup seseorang. Ada beragam jenis mobil dengan model, merk dan spesifikasi tehnis lainnya. Penelitian ini bertujuan mengimplementasikan metode AHP berbasis web untuk membantu merekomendasikan mobil yang sesuai dengan keinginan konsumen. Rekomendasi keputusan berbasisi 6 (enam) kriteria diantaranya harga, merk, kapasitas silinder, konsumsi BBM, dan kapasitas penumpang. Eksperimen dilakukan dengan menggunakan data 254 varian model mobil dengan enam merk terkenal Toyota, Daihatsu, Mitsubishi, Honda, Suzuki, dan Nissan). Hasil pengujian sistem telah bekerja dengan sangat baik. Pembobotan kriteria dan pemilihan alternatif sangat berpengaruh terhadap rekomendasi keputusan.",,['T1'],7,pub,,public,2021-04-01 01:46:55,,Ilmu Komputer Universitas Lambung Mangkurat,['FMIPA3'],disk0/00/02/83/66,,DOI: 10.20527/klik.v7i3.325,,,,,,,,,,,,,,,,,
8,http://klik.ulm.ac.id/index.php/klik/article/view/325,2021-06-15 07:19:55,"[{'docid': 147995, 'main': 'JN_Terindeks_2_KLIK 2020 - Vol 7, No 3 - Lengkap.pdf', 'files': [{'filesize': 2434297, 'objectid': 147995, 'uri': 'http://repository.lppm.unila.ac.id/id/file/385594', 'filename': 'JN_Terindeks_2_KLIK 2020 - Vol 7, No 3 - Lengkap.pdf', 'hash_type': 'MD5', 'mtime': '2021-06-15 07:19:54', 'datasetid': 'document', 'fileid': 385594, 'mime_type': 'application/pdf', 'hash': 'fdee1ed33236f9e7ffe24d310bf03de8'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 26146, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/147995', 'security': 'public'}]",725,3.0,show,219-229,2020-11-19 11:31:02,archive,26146,Implementasi Metode Analytical Hierarchy Process (AHP) pada Sistem Pendukung Keputusan Pembelian Mobil di Bandar Lampung,TRUE,article,"[{'id': 'admi_syarif@yahoo.com', 'name': {'family': 'Admi Syarif', 'lineage': None, 'honourific': None, 'given': 'AS'}}, {'name': {'given': 'Ardianto', 'honourific': None, 'lineage': None, 'family': 'Ari'}, 'id': None}, {'name': {'honourific': None, 'family': 'Bambang Hermanto', 'lineage': None, 'given': 'Bambang'}, 'id': 'bambang.hermanto@fmipa.unila.ac.id'}, {'id': 'machudor.yusman@fmipa.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Machudor', 'given': 'Yusman'}}]",2020-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/26146,"Mobil merupakan alat transportasi yang penting saat ini guna menunjang aktivitas maupun untuk memenuhi gaya hidup seseorang. Ada beragam jenis  mobil dengan model, merk dan spesifikasi tehnis lainnya. Penelitian ini bertujuan mengimplementasikan metode AHP berbasis web  untuk membantu merekomendasikan mobil yang sesuai dengan keinginan konsumen. Rekomendasi keputusan berbasisi 6 (enam) kriteria diantaranya harga, merk, kapasitas silinder, konsumsi BBM, dan kapasitas penumpang. Eksperimen  dilakukan dengan menggunakan data 254 varian model mobil dengan enam merk terkenal  Toyota, Daihatsu, Mitsubishi, Honda, Suzuki, dan Nissan). Hasil pengujian sistem telah bekerja dengan sangat baik. Pembobotan kriteria dan pemilihan alternatif sangat berpengaruh terhadap rekomendasi keputusan.",7.0,['T1'],10,pub,"2443-406X (eISSN), 2406-7857 (pISSN)",public,2020-11-19 11:31:02,Kumpulan Jurnal Ilmu Komputer (KLIK),Prodi Ilmu Komputer FMIPA Universitas Lambung Mangkurat,['FMIPA3'],disk0/00/02/61/46,published,10.20527/klik.v7i3.325,,,,,,,,,,,,,,,,,
9,,2021-04-01 01:47:38,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/42898', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 28381, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': '25. bukudigi20_nilai - Copy.pdf', 'files': [{'hash': 'e1b978b21f92db3c8eb21004a705db35', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 255570, 'mtime': '2021-03-31 20:00:30', 'hash_type': 'MD5', 'filename': '25. bukudigi20_nilai - Copy.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/255570', 'filesize': 6272414, 'objectid': 42898}], 'docid': 42898, 'format': 'text'}]",725,,show,,2021-04-01 01:47:38,archive,28381,Peer Review: Aplikasi Buku Digital Unit Pelayanan Teknis Bahasa Universitas Lampung,,other,"[{'name': {'given': 'AS', 'family': 'Admi Syarif', 'lineage': None, 'honourific': None}, 'id': 'admi_syarif@yahoo.com'}, {'id': 'aristoteles.1981@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Aristoteles', 'honourific': None, 'given': 'Aristoteles'}}, {'name': {'given': 'Muhammad', 'family': 'Sukirlan', 'lineage': None, 'honourific': None}, 'id': 'muhammad_sukirlan@yahoo.co.id'}, {'name': {'family': 'HW', 'lineage': None, 'honourific': None, 'given': 'Robby Nurman'}, 'id': None}]",2020-02-13 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/28381,,,['T201'],7,pub,,public,2021-04-01 01:47:38,,Universitas Lampung,['FMIPA3'],disk0/00/02/83/81,,,,,,,,,,,,,,,,,,,
