,rev_number,ispublished,status_changed,full_text_status,issn,publisher,divisions,publication,dir,uri,date,volume,abstract,subjects,date_type,refereed,title,creators,type,documents,official_url,lastmod,number,userid,pagerange,metadata_visibility,eprint_status,id_number,eprintid,datestamp,corp_creators,place_of_pub,referencetext,contributors,related_url,patent_applicant,contact_email,pages,department,institution,monograph_type,succeeds,event_location,pres_type,event_dates,event_title,event_type,keywords
0,7,pub,2022-06-13 08:46:57,public,2774-3403,Jurusan Ilmu Komputer FMIPA Universitas Lampung,['FMIPA3'],Pepadun,disk0/00/04/23/80,http://repository.lppm.unila.ac.id/id/eprint/42380,2021-08-01 00:00:00.000000000,2.0,"Kuliah Kerja Nyata (KKN) is a form of student service activities for the community, requesting and developing science and technology carried out off-campus within a period, linking work, and special requirements managed by the Badan Pelaksana Kuliah Kerja Nyata (BP-KKN). While carrying out KKN activities, each group of students is required to upload a report of the activities carried out in the village. In uploading the report file, there are several categories in each activity, including socialization, training, and character development. To classify the results of uploading activities one of which can be done using clustering techniques. In this research, a clustering of discussion on KKN student activities will be conducted at the University of Lampung. The text mining method is used to process KKN student activities to be more structured. Information on the KKN student activities was obtained as a feature with the Word2Vec weighting technique. The algorithm used is the K-Mean algorithm which has a high accuracy of the size of the object, so this algorithm is relatively more measurable and efficient for processing large numbers of objects. From the results of research conducted, it has been found that apply the text mining process algorithm for clustering with the K-means method on the Unila KKN Student activity data produces a value of k = 2, a lot of filtered data in the preprocess is 6284 data, using this method has not yet gotten a good association analysis because the results of the second cluster do not show the general types of words, typos and reporting activities by students who are not specifically can affect the results of clustering that is not good",['QA76'],published,TRUE,Clustering K-Means Jenis Kata Pada Laporan Kegiatan Kuliah Kerja Nyata (KKN) Universitas Lampung Menggunakan Word2vec,"[{'name': {'given': 'Kristina', 'honourific': None, 'family': 'Ademariana', 'lineage': None}, 'id': None}, {'name': {'given': 'Aristoteles', 'honourific': None, 'lineage': None, 'family': 'Aristoteles'}, 'id': None}, {'id': 'favorisen.lumbanraja@unila.ac.id', 'name': {'honourific': None, 'family': 'Favorisen R. Lumbanraja', 'lineage': None, 'given': 'Rosi'}}, {'id': 'rico.andrian@fmipa.unila.ac.id', 'name': {'given': 'RA', 'honourific': None, 'lineage': None, 'family': 'Rico Andrian'}}]",article,"[{'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'docid': 164092, 'main': '64-Article Text-304-1-10-20220527.pdf', 'files': [{'filesize': 487983, 'objectid': 164092, 'filename': '64-Article Text-304-1-10-20220527.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/466087', 'hash_type': 'MD5', 'mtime': '2022-06-13 02:54:57', 'datasetid': 'document', 'fileid': 466087, 'hash': 'ebe0dc23b3e3625d2fbf9a8b56882929', 'mime_type': 'application/pdf'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164092', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 42380}]",https://pepadun.fmipa.unila.ac.id/index.php/jurnal/article/view/64,2022-06-13 08:46:57,2.0,215,221-228,show,archive,https://doi.org/10.23960/pepadun.v2i2.64,42380,2022-06-13 08:46:57,,,,,,,,,,,,,,,,,,
1,10,pub,2021-08-24 04:11:57,public,,"AURA Publishing, Bandar Lampung",['FMIPA3'],,disk0/00/03/25/50,http://repository.lppm.unila.ac.id/id/eprint/32550,1970-01-01 00:00:00.000002021,,,['AC'],published,,Peer Review: Editor BUNGA RAMPAI - Hasil Pemikiran Dewan Riset Dewan Riset Daerah (DRD) Provinsi Lampung Sebagai Upaya Mewujudkan Lampung Berjaya,"[{'name': {'family': 'Admi Syarif', 'lineage': None, 'honourific': None, 'given': 'AS'}, 'id': 'admi_syarif@yahoo.com'}]",other,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/153745', 'pos': 1, 'eprintid': 32550, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 153745, 'main': 'EdtRampai20_Nilai.pdf', 'files': [{'hash': '87b29a3d0b77e239b5723fd1333a1c2b', 'mime_type': 'application/pdf', 'fileid': 398376, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/398376', 'filename': 'EdtRampai20_Nilai.pdf', 'filesize': 1318447, 'objectid': 153745, 'mtime': '2021-08-24 03:45:24', 'hash_type': 'MD5'}]}]",,2021-08-24 04:11:57,,725,,show,archive,,32550,2021-08-24 04:11:57,,,,,,,,,,,,,,,,,,
2,8,pub,2021-12-29 04:09:09,public,,PennWell Publishing Co.,['FMIPA3'],,disk0/00/03/69/63,http://repository.lppm.unila.ac.id/id/eprint/36963,1970-01-01 00:00:00.000002021,,,['AC'],,,Pengecekan Plagiasi - Application-Based on Fuzzy Tsukamoto And Profile Matching for Combination Drugs Recommendations in Patients Hypertension with Complications,"[{'id': 'admi_syarif@yahoo.com', 'name': {'given': 'AS', 'honourific': None, 'lineage': None, 'family': 'Admi Syarif'}}]",other,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/157877', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 36963, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 157877, 'main': 'JI_4_SolidState_2020_2_PlagiarismeCHECK.pdf', 'files': [{'datasetid': 'document', 'fileid': 424439, 'mime_type': 'application/pdf', 'hash': '3c5d33e96ef75c718b3bcafc5d8b10b9', 'filesize': 3800771, 'objectid': 157877, 'filename': 'JI_4_SolidState_2020_2_PlagiarismeCHECK.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/424439', 'hash_type': 'MD5', 'mtime': '2021-11-17 12:40:55'}], 'format': 'text'}]",,2021-12-29 04:09:09,,725,,show,archive,,36963,2021-12-29 04:09:09,['Unila'],,,,,,,,,,,,,,,,,
3,7,pub,2021-10-13 10:13:10,public,"2443-406X (eISSN), 2406-7857 (pISSN)",Prodi Ilmu Komputer FMIPA Universitas Lambung Mangkurat,['FMIPA3'],Kumpulan Jurnal Ilmu Komputer (KLIK),disk0/00/03/45/23,http://repository.lppm.unila.ac.id/id/eprint/34523,2021-06-01 00:00:00.000000000,8.0,"Dalam beberapa dekade terakhir, penggunaan barang elektronik rumah tangga (Air Conditioner (AC), Mesin Cuci dan Kulkas) meningkat meningkat sangat signifikan. Karena slat elektronik tersebut digunakan secara terus menerus, sehingga sangat rentan kerusakan. Penelitian ini bertujuan untuk mengembangan system pakar berbasisi web yang mampu mendiagnosa kerusakan dan memberikan informasi solusi perbaikan yang mungkin dilakukan. Sistem ini dikembangkan dengan mengadopsi metode penalaran maju (forward chaining) dalam bahasa PHP. Sistem diujicobakan dengan menggunakan 30 jenis kerusakan (10 kulkas, 10 mesin cuci dan 10 AC). Hasil yang diperoleh dibandingkan dengan hasil yang diberikan oleh pakar. Hasil eksperimen menunjukkan bahwa sistem mampu membantu penyelesaian masalah secara efektif.",['T1'],published,TRUE,"Sistem Pakar Kerusakan Barang Rumah Tangga (Mesin Cuci, Ac & Kulkas) Berbasis Forward Chaining","[{'id': 'admi_syarif@yahoo.com', 'name': {'family': 'Admi Syarif', 'lineage': None, 'honourific': None, 'given': 'AS'}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Lestari', 'given': 'Novita Dwi'}}, {'id': 'akmal.junaidi@fmipa@unila.ac.id', 'name': {'family': 'Akmal Junaidi', 'lineage': None, 'honourific': None, 'given': 'Akmal'}}, {'name': {'lineage': None, 'family': 'Rico Andrian', 'honourific': None, 'given': 'RA'}, 'id': 'rico.andrian@fmipa.unila.ac.id'}]",article,"[{'placement': 1, 'eprintid': 34523, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155048', 'pos': 1, 'security': 'public', 'docid': 155048, 'main': 'JN_Terindeks_2_KLIK 2021 - Vol 8, No 2.pdf', 'files': [{'hash': '0a3ed1cfd5f068acdec1512151c2c30f', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 406017, 'filename': 'JN_Terindeks_2_KLIK 2021 - Vol 8, No 2.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/406017', 'filesize': 7963405, 'objectid': 155048, 'mtime': '2021-10-13 03:52:09', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",http://klik.ulm.ac.id/index.php/klik/article/view/390,2021-10-13 10:13:10,2.0,725,209-220,show,archive,10.20527/klik.v8i2.390,34523,2021-10-13 10:13:10,,,,,,,,,,,,,,,,,,
4,7,pub,2021-10-13 10:13:12,public,,Prodi Ilmu Komputer FMIPA Universitas Lambung Mangkurat,['FMIPA3'],,disk0/00/03/45/24,http://repository.lppm.unila.ac.id/id/eprint/34524,2021-06-01 00:00:00.000000000,,"Dalam beberapa dekade terakhir, penggunaan barang elektronik rumah tangga (Air Conditioner (AC), Mesin Cuci dan Kulkas) meningkat meningkat sangat signifikan. Karena slat elektronik tersebut digunakan secara terus menerus, sehingga sangat rentan kerusakan. Penelitian ini bertujuan untuk mengembangan system pakar berbasisi web yang mampu mendiagnosa kerusakan dan memberikan informasi solusi perbaikan yang mungkin dilakukan. Sistem ini dikembangkan dengan mengadopsi metode penalaran maju (forward chaining) dalam bahasa PHP. Sistem diujicobakan dengan menggunakan 30 jenis kerusakan (10 kulkas, 10 mesin cuci dan 10 AC). Hasil yang diperoleh dibandingkan dengan hasil yang diberikan oleh pakar. Hasil eksperimen menunjukkan bahwa sistem mampu membantu penyelesaian masalah secara efektif.",['T1'],published,,"Sistem Pakar Kerusakan Barang Rumah Tangga (Mesin Cuci, Ac & Kulkas) Berbasis Forward Chaining","[{'name': {'given': 'AS', 'family': 'Admi Syarif', 'lineage': None, 'honourific': None}, 'id': 'admi_syarif@yahoo.com'}, {'name': {'given': 'Novita Dwi', 'honourific': None, 'family': 'Lestari', 'lineage': None}, 'id': None}, {'id': 'akmal.junaidi@fmipa@unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Akmal Junaidi', 'given': 'Akmal'}}, {'id': 'rico.andrian@fmipa.unila.ac.id', 'name': {'given': 'RA', 'honourific': None, 'lineage': None, 'family': 'Rico Andrian'}}]",other,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155049', 'security': 'public', 'placement': 1, 'eprintid': 34524, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '03347511bd947d7db1ad1f0aa1c726b7', 'datasetid': 'document', 'fileid': 406024, 'filename': 'KLIK21_Nilai.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/406024', 'filesize': 712754, 'objectid': 155049, 'mtime': '2021-10-13 04:06:06', 'hash_type': 'MD5'}], 'main': 'KLIK21_Nilai.pdf', 'docid': 155049, 'format': 'text'}]",http://klik.ulm.ac.id/index.php/klik/article/view/390,2021-10-13 10:13:12,,725,,show,archive,10.20527/klik.v8i2.390,34524,2021-10-13 10:13:12,,Kumpulan Jurnal Ilmu Komputer (KLIK),,,,,,,,,,,,,,,,
5,9,pub,2021-04-01 01:45:43,public,,Intelligent Networks and Systems Society,['FMIPA3'],,disk0/00/02/83/40,http://repository.lppm.unila.ac.id/id/eprint/28340,1970-01-01 00:00:00.000002021,,"Scheduling is a famous optimization problem that seeks the best strategy of allocating resources over time to perform jobs/tasks satisfying specific criteria. It exists everywhere in everyday life, particularly in manufacturing or industrial applications. An essential class of scheduling problems is a job shop scheduling problem (JSSP), an NP- hard optimization problem. Several researchers have reported the use of heuristic methods to solve JSSP. This paper aims to investigate the performance of various heuristic algorithms to solve JSSP. Firstly, we developed a Genetic Algorithm (GA and compared the performance of some heuristic algorithms, including Particle Swarm Optimization (PSO), Upper-level algorithm (UPLA), Differential-based Harmony Search (DHS), Grey Wolf Optimization (GWO), Ant Colony Optimization (ACO), Bacterial Foraging Optimization (BFO), Parallel Bat Optimization (PBA), and Tabu Search (TS). The experimental results of the 28 benchmark test problems validated that the algorithms, except ACO, can provide the optimal solution of JSSP. PBA delivers the most impressive performance that solves 26 cases optimally, with the average error equal to 0.05%.  Among those 28 test problems, TS, DHS, and PBA can solve 26 instances optimally, followed by GA that solves 21 cases.",['TA'],,,Peer Review: Performance Evaluation of Various Heuristic Algorithms To Solve Job Shop Scheduling Problem (JSSP),"[{'id': 'admi_syarif@yahoo.com', 'name': {'given': 'AS', 'honourific': None, 'family': 'Admi Syarif', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Pamungkas', 'honourific': None, 'given': 'Ade'}, 'id': None}, {'id': 'renaldi.kumar1050@students.unila.ac.id', 'name': {'honourific': None, 'family': 'Mahendra', 'lineage': None, 'given': 'Renaldi Kumar'}}, {'name': {'honourific': None, 'family': 'Gen', 'lineage': None, 'given': 'Mitsuo'}, 'id': 'mitsuogen@gmail.com'}]",other,"[{'files': [{'hash': 'ec39401b999edb640233956105861570', 'mime_type': 'application/pdf', 'fileid': 255511, 'datasetid': 'document', 'mtime': '2021-03-31 19:35:46', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/255511', 'filename': '6. ijies21_nilai.pdf', 'filesize': 2429737, 'objectid': 42879}], 'main': '6. ijies21_nilai.pdf', 'docid': 42879, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 28340, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42879', 'pos': 1, 'security': 'public'}]",https://doi.org/10.22266/ijies2021.0430.30,2021-04-01 01:45:43,,725,,show,archive,DOI: 10.22266/ijies2021.0430.30,28340,2021-04-01 01:45:43,,Japan,,,,,,,,,,,,,,,,
6,8,pub,2021-12-24 09:27:46,public,,Intelligent Networks and Systems Society,['FMIPA3'],,disk0/00/03/69/54,http://repository.lppm.unila.ac.id/id/eprint/36954,2021-04-01 00:00:00.000000000,,"Abstract: Scheduling is a famous optimization problem that seeks the best strategy of allocating resources over time to perform jobs/tasks satisfying specific criteria. It exists everywhere in everyday life, particularly in manufacturing or industrial applications. An essential class of scheduling problems is a job shop scheduling problem (JSSP), an NP- hard optimization problem. Several researchers have reported the use of heuristic methods to solve JSSP. This paper aims to investigate the performance of various heuristic algorithms to solve JSSP. Firstly, we developed a Genetic Algorithm (GA and compared the performance of some heuristic algorithms, including Particle Swarm Optimization (PSO), Upper-level algorithm (UPLA), Differential-based Harmony Search (DHS), Grey Wolf Optimization (GWO), Ant Colony Optimization (ACO), Bacterial Foraging Optimization (BFO), Parallel Bat Optimization (PBA), and Tabu Search (TS). The experimental results of the 28 benchmark test problems validated that the algorithms, except ACO, can provide the optimal solution of JSSP. PBA delivers the most impressive performance that solves 26 cases optimally, with the average error equal to 0.05%. Among those 28 test problems, TS, DHS, and PBA can solve 26 instances optimally, followed by GA that solves 21 cases.",['AC'],published,,Pengecekan Plagiasi - Performance Evaluation of Various Heuristic Algorithms To Solve Job Shop Scheduling Problem (JSSP),"[{'name': {'honourific': None, 'family': 'Admi Syarif', 'lineage': None, 'given': 'AS'}, 'id': 'admi_syarif@yahoo.com'}, {'id': None, 'name': {'given': 'Ade', 'honourific': None, 'lineage': None, 'family': 'Pamungkas'}}, {'id': 'renaldi.kumar1050@students.unila.ac.id', 'name': {'given': 'Renaldi Kumar', 'honourific': None, 'family': 'Mahendra', 'lineage': None}}, {'name': {'given': 'Mitsuo', 'honourific': None, 'lineage': None, 'family': 'Gen'}, 'id': 'mitsuogen@gmail.com'}]",other,"[{'placement': 1, 'eprintid': 36954, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157868', 'pos': 1, 'security': 'public', 'docid': 157868, 'main': 'IJIES21 - Plagialism Check.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2021-11-17 12:20:44', 'filesize': 3428767, 'objectid': 157868, 'uri': 'http://repository.lppm.unila.ac.id/id/file/424389', 'filename': 'IJIES21 - Plagialism Check.pdf', 'datasetid': 'document', 'fileid': 424389, 'hash': '9a7c5025b0ca4e9c32ff172e0824cba9', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",,2021-12-24 09:27:46,,725,,show,archive,,36954,2021-12-24 09:27:46,,,,,,,,,,,,,,,,,,
7,7,pub,2021-08-09 04:28:01,public,2185-3118,Intelligent Networks and Systems Society,['FMIPA3'],international Journal of Intelligent Engineering & System,disk0/00/02/93/03,http://repository.lppm.unila.ac.id/id/eprint/29303,2021-04-01 00:00:00.000000000,14.0,"Abstract: Scheduling is a famous optimization problem that seeks the best strategy of allocating resources over time to perform jobs/tasks satisfying specific criteria. It exists everywhere in everyday life, particularly in manufacturing or industrial applications. An essential class of scheduling problems is a job shop scheduling problem (JSSP), an NP- hard optimization problem. Several researchers have reported the use of heuristic methods to solve JSSP. This paper aims to investigate the performance of various heuristic algorithms to solve JSSP. Firstly, we developed a Genetic Algorithm (GA and compared the performance of some heuristic algorithms, including Particle Swarm Optimization (PSO), Upper-level algorithm (UPLA), Differential-based Harmony Search (DHS), Grey Wolf Optimization (GWO), Ant Colony Optimization (ACO), Bacterial Foraging Optimization (BFO), Parallel Bat Optimization (PBA), and Tabu Search (TS). The experimental results of the 28 benchmark test problems validated that the algorithms, except ACO, can provide the optimal solution of JSSP. PBA delivers the most impressive performance that solves 26 cases optimally, with the average error equal to 0.05%.  Among those 28 test problems, TS, DHS, and PBA can solve 26 instances optimally, followed by GA that solves 21 cases.",['T1'],published,TRUE,Performance Evaluation of Various Heuristic Algorithms To Solve Job Shop Scheduling Problem (JSSP),"[{'name': {'given': 'AS', 'lineage': None, 'family': 'Admi Syarif', 'honourific': None}, 'id': 'admi_syarif@yahoo.com'}, {'name': {'family': 'Pamungkas', 'lineage': None, 'honourific': None, 'given': 'Ade'}, 'id': None}, {'id': 'renaldi.kumar1050@students.unila.ac.id', 'name': {'lineage': None, 'family': 'Mahendra', 'honourific': None, 'given': 'Renaldi Kumar'}}, {'name': {'given': 'Mitsuo', 'lineage': None, 'family': 'Gen', 'honourific': None}, 'id': 'mitsuogen@gmail.com'}]",article,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 152735, 'main': 'IJIES20 _Bukti.pdf', 'files': [{'hash': 'f93e618821c58e32b6dc52d0c6ea043a', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 395635, 'uri': 'http://repository.lppm.unila.ac.id/id/file/395635', 'filename': 'IJIES20 _Bukti.pdf', 'filesize': 9068217, 'objectid': 152735, 'mtime': '2021-08-09 03:52:06', 'hash_type': 'MD5'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/152735', 'security': 'public', 'placement': 1, 'eprintid': 29303}]",https://doi.org/10.22266/ijies2021.0430.30,2021-08-09 04:28:01,2.0,725,334-343,show,archive,DOI: 10.22266/ijies2021.0430.30,29303,2021-08-09 04:28:01,,,,,,,,,,,,,,,,,,
8,7,pub,2021-12-28 04:12:53,public,"2185-3118 (eISSN), 2185-310X (pISSN)",INASS,['FMIPA3'],IJIES,disk0/00/03/68/97,http://repository.lppm.unila.ac.id/id/eprint/36897,2021-04-01 00:00:00.000000000,14.0,"Abstract: Scheduling is a famous optimization problem that seeks the best strategy of allocating resources over time to perform jobs/tasks satisfying specific criteria. It exists everywhere in everyday life, particularly in manufacturing or industrial applications. An essential class of scheduling problems is a job shop scheduling problem (JSSP), an NP-hard optimization problem. Several researchers have reported the use of heuristic methods to solve JSSP. This paper aims to investigate the performance of some heuristic algorithms to solve JSSP. Firstly, we developed a Genetic Algorithm (GA) approach and evaluated the performance of some heuristic algorithms, including Particle Swarm Optimization (PSO), Upper-level algorithm (UPLA), Differential-based Harmony Search (DHS), Grey Wolf Optimization (GWO), Ant Colony Optimization (ACO), Bacterial Foraging Optimization (BFO), Parallel Bat Optimization (PBA), and Tabu Search (TS). Experimental results of the 28 benchmark test problems validate that algorithms can present the problem's optimal solution. Almost all algorithms, except ACO, can provide an error of less than 1 percent. PBA delivers the most impressive performance that solves 26 cases optimally, with the average error equal to 0.05%.  Among",['Q1'],published,TRUE,Performance Evaluation of Various Heuristic Algorithms To Solve Job Shop Scheduling Problem (JSSP),"[{'name': {'honourific': None, 'lineage': None, 'family': 'Admi Syarif', 'given': 'AS'}, 'id': 'admi_syarif@yahoo.com'}, {'name': {'given': 'Ade', 'honourific': None, 'lineage': None, 'family': 'Pamungkas'}, 'id': None}, {'id': 'renaldi.kumar1050@students.unila.ac.id', 'name': {'honourific': None, 'family': 'Mahendra', 'lineage': None, 'given': 'Renaldi Kumar'}}, {'id': 'mitsuogen@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Gen', 'given': 'Mitsuo'}}]",article,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/157813', 'security': 'public', 'placement': 1, 'eprintid': 36897, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'IJIES21_Bukti.pdf', 'docid': 157813, 'files': [{'hash_type': 'MD5', 'mtime': '2021-11-15 15:51:09', 'filesize': 6242099, 'objectid': 157813, 'uri': 'http://repository.lppm.unila.ac.id/id/file/423963', 'filename': 'IJIES21_Bukti.pdf', 'datasetid': 'document', 'fileid': 423963, 'mime_type': 'application/pdf', 'hash': '8cc72e6e6c54c2a216800cbfc5c32a75'}], 'format': 'text'}]",https://inass.org/publications/,2021-12-28 04:12:53,2.0,725,334-343,show,archive,,36897,2021-12-28 04:12:53,['Lampung University'],,,,,,,,,,,,,,,,,
9,6,pub,2021-11-02 01:22:41,public,2406-7857,Prodi Ilmu Komputer Universitas Lambung Mangkurat,['FMIPA3'],Kumpulan Jurnal Ilmu Komputer (KLIK),disk0/00/03/47/90,http://repository.lppm.unila.ac.id/id/eprint/34790,2021-06-01 00:00:00.000000000,8.0,"Success in working on a project should start with good planning. Inadequate planning will impact on cost, time, and human resources swelling so that it is not in accordance with the plan. This study implements the COCOMO II (Constructive Cost Model II) method to calculate the estimated resources needed in an information system development. This research uses Information System of English Proficiency Test (EPT) in Unit Pelaksana Teknis (UPT) Bahasa of the University of Lampung as a case study, which is currently in the development stage. Unit Pelaksana Teknis (UPT) Bahasa of the University of Lampung must know the resources needed to complete the information system development project in order to determine a budget plan. This method has the advantage of being able to clearly predict the time, cost, and resources to complete an information system project. The COCOMO II method is carried out by calculating the Scale Factor, Effort Multiplier, and Effort Estimation.",['T1'],published,TRUE,PERKIRAAN SUMBER DAYA PENGEMBANGAN SISTEM INFORMASI MENGGUNAKAN COCOMO II (Studi Kasus : Pengembangan Sistem Informasi Pengelolaan Data English Proficiency Test (EPT) Unit Pelaksana Teknis (UPT) Bahasa Universitas Lampung),"[{'id': 'an.irawati@gmail.com', 'name': {'given': 'Irawati', 'family': 'Anie Rose', 'lineage': None, 'honourific': None}}, {'name': {'family': 'Yohana Tri Utami', 'lineage': None, 'honourific': None, 'given': 'YTU'}, 'id': 'yohana.utami@fmipa.unila.ac.id'}]",article,"[{'eprintid': 34790, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155461', 'format': 'text', 'main': 'cocomo-jurnal klik.pdf', 'files': [{'filename': 'cocomo-jurnal klik.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/408087', 'objectid': 155461, 'filesize': 313565, 'mtime': '2021-11-01 14:43:25', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'f73a3ff253d707936086824ec6eb0549', 'datasetid': 'document', 'fileid': 408087}], 'docid': 155461, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",http://klik.ulm.ac.id/index.php/klik/article/view/378,2021-11-02 01:22:41,2.0,2424,11-23,show,archive,,34790,2021-11-02 01:22:41,['University Of Lampung'],,"[1] Aditya, P. M., Rachmadi, A., & Wicaksono, S. A., ""Perhitungan Biaya Pembangunan Sistem Informasi Pariwisata Kota Sawahlunto Menggunakan Metode COCOMO II"", Jurnal Pengembangan TeknologiInformasi Dan Ilmu Komputer (J-PTIIK) Universitas Brawijaya, 2(11), 4785–4793, 2018.
[2] Boehm, B., “COCOMO II Model Definition Manual Version 2.1.s.l”, University of Southern California, 2000.
[3] Damayanti, D. E., Suprapto, & Perdanakusuma, A. R., ""Analisis Estimasi Biaya Pembuatan Perangkat Lunak Menggunakan Metode COCOMO II di Inagata Technosmith ( Studi Kasus : Sistem Informasi Monitoring dan Evaluasi Penerimaan Beasiswa Santri Berprestasi UIN Malang)"", Jurnal Pengembangan Teknologi Informasi Dan Ilmu Komputer (J-PTIIK) Universitas Brawijaya, 1(10), 2017.
[4] Fatonah, O. S., & Afrizal, Y., Model Estimasi Biaya Perangkat Lunak Menggunakan Cocomo II (Studi Kasus PT. X). 40–46, 2013.
[5] Gubernur Lampung, “Keputusan Gubernur Lampung Nomor:
G/776/V.07/HK/2019 Tentang Penetapan Upah Minimum Provinsi (UMP)Lampung Tahun 2020”, 2019.
[6] Laksamana, F. P., Perdanakusuma, A. R., & Saputra, M. C., ""Evaluasi Biaya Pengembangan Sistem Informasi Pengelolaan Arsip Surat ( SIPAS ) Menggunakan Function Point dan Object Point ( Studi Kasus : PT Sekawan Media Informatika)"", Jurnal Pengembangan Teknologi Informasi Dan Ilmu Komputer (J-PTIIK) Universitas Brawijaya, 2(8), 2692–2701, 2018.
[7] Maqdum, A. N., Perdanakusuma, A. R., & Putra, W. H. N., ""Implementasi Metode COCOMO II untuk Estimasi Biaya Pengembangan Perangkat Lunak di CV . Profile Image Studio"", 3(6), 2019
[8] Suhartoyo, H., & Wijaya, T. A., ""Rancangan Estimasi Biaya dengan TeknikCOCOMO II dan Neuro Fuzzy Studi Kasus : Sistem Informasi Rumah Sakit"", Inform, 1(1). Retrieved from
http://ejournal.unitomo.ac.id/index.php/inform/article/view/215/118, 2016.
[9] Waskito, Y.B., “Mengukur Nilai Fungsional Sistem Informasi Pengolahan Data English Proficiency Test (Ept) Universitas Lampung Menggunakan Metrik Function Point”, Skripsi, Universitas Lampung, 2020.","[{'name': {'given': 'Yohana', 'family': 'Tri Utami', 'lineage': None, 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'yohana.triutami@gmail.com'}]",,,,,,,,,,,,,,
