,uri,date,abstract,volume,date_type,subjects,ispublished,rev_number,issn,full_text_status,status_changed,publisher,divisions,publication,dir,lastmod,official_url,documents,userid,number,metadata_visibility,pagerange,datestamp,eprint_status,id_number,eprintid,title,refereed,type,creators,patent_applicant,contributors,event_title,event_type,pres_type,event_dates,event_location,referencetext
0,http://repository.lppm.unila.ac.id/id/eprint/42555,2022-03-31 00:00:00.000000000,"Sebagian besar masyarakat Desa Gunung Katun Tanjungan bekerja sebagai nelayan dan petani. Guna meningkatkan perekonomian masyarakat desa, mahasiswa KKN Universitas Lampung Periode 1 Tahun 2022 membuat program kerja pelatihan pembuatan sabun. Di sisi lain, melalui produk sabun GKT SOAP dapat dijadikan salah satu produk unggulan dari Desa Gunung Katun Tanjungan. Selain itu, dilaksanakan pula kegiatan penanaman lubang biopori dengan tujuan untuk meningkatkan daya resap air dan meningkatkan jumlah cadangan air dalam tanah yang dapat menunjang program desa yaitu penanaman 1000 tanaman alpukat.",2.0,published,['Q1'],pub,9,2808-1412,public,2022-06-17 01:10:31,Badan Pelaksana Kuliah Kerja Nyata Universitas,['FMIPA3'],BUGUH : Jurnal Pengabdian Kepada Masyarakat,disk0/00/04/25/55,2022-06-17 01:10:31,https://jurnalbuguh.unila.ac.id/index.php/buguh/article/view/967/30,"[{'eprintid': 42555, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164267', 'pos': 1, 'format': 'text', 'main': 'jb21-05.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '5966d0f5da4deab35e6ff96610c458a9', 'fileid': 467317, 'datasetid': 'document', 'mtime': '2022-06-16 10:20:14', 'hash_type': 'MD5', 'filename': 'jb21-05.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/467317', 'filesize': 421680, 'objectid': 164267}], 'docid': 164267, 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf'}]",215,1.0,show,22-29,2022-06-17 01:10:31,archive,https://doi.org/10.23960/buguh.v2n1.967,42555,"PENGEMBANGAN UMKM MELALUI PRODUKSI SABUN""GKT SOAP""DAN PEMBERDAYAAN LINGKUNGANDENGAN PENANAMAN BIOPORI",TRUE,article,"[{'id': 'admi_syarif@yahoo.com', 'name': {'given': 'AS', 'honourific': None, 'lineage': None, 'family': 'Admi Syarif'}}, {'name': {'given': 'Aristoteles', 'honourific': None, 'lineage': None, 'family': 'Aristoteles'}, 'id': None}, {'id': None, 'name': {'family': 'Pascha', 'lineage': None, 'honourific': None, 'given': 'Timotius'}}, {'id': None, 'name': {'given': 'Erika Fadia', 'family': 'Salsabila', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'given': 'Raras', 'honourific': None, 'family': 'Silviana', 'lineage': None}}, {'id': None, 'name': {'given': 'Anggi', 'lineage': None, 'family': 'Puspitasari', 'honourific': None}}, {'id': None, 'name': {'family': 'Sari', 'lineage': None, 'honourific': None, 'given': 'Deswita'}}, {'name': {'given': 'Aqshal Dwi', 'family': 'Setiawan', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'given': 'Putri Ayu', 'family': 'Penita', 'lineage': None, 'honourific': None}, 'id': None}]",,,,,,,,
1,http://repository.lppm.unila.ac.id/id/eprint/47596,2022-12-31 00:00:00.000000000,"Abstract: Skin diseases are a group of diseases affecting people of all ages, commonly caused by fungi, bacteria, parasites, viruses, and infections. The disease's main symptoms are usually itching all over the skin. Many patients are often underestimated and embarrassed to consult directly with doctors, which in the end, ignores the symptoms of skin diseases. Since they usually have imprecision symptoms, examining skin diseases is complex and challenging. Recently, many efforts have been made to utilize artificial intelligence approaches for diagnosing various diseases based on the patient's condition. This paper aims to develop a novel fuzzy-based medical expert system based on unprecise existing symptoms. The system uses the specialist Doctor's knowledge (dermatologist) to diagnose and provide the patient's severity level for the disease. We have done numerical experiments using 100 (one hundred) test problems to evaluate the performance of the developed system by comparing the result with the recommendations of doctors (dermatologists). It shows that this system succeeds in all tests with an accuracy value of 95.6%. Thus, this system is very beneficial to support doctors in the assessment of skin diseases.",13.0,published,['QA76'],pub,9,"2156-5570 (online), 2158-107X(Print)",public,2023-01-04 06:10:36,The Science and Information (SAI) Organization,['FMIPA3'],International Journal of Advanced Computer Science and Applications,disk0_bak/00/04/75/96,2023-01-04 06:10:36,https://thesai.org/Publications/ViewPaper?Volume=13&Issue=12&Code=IJACSA&SerialNo=64,"[{'docid': 186667, 'main': '6527.pdf', 'files': [{'filesize': 789559, 'objectid': 186667, 'uri': 'http://repository.lppm.unila.ac.id/id/file/521624', 'filename': '6527.pdf', 'hash_type': 'MD5', 'mtime': '2023-01-04 02:34:54', 'datasetid': 'document', 'fileid': 521624, 'mime_type': 'application/pdf', 'hash': '9611fa27437361280f0cf212a499c95e'}], 'format': 'text', 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 47596, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186667', 'pos': 1, 'security': 'public'}]",215,12.0,show,528-536,2023-01-04 06:10:36,archive,https://dx.doi.org/10.14569/IJACSA.2022.0131264,47596,Implementation of Fuzzy Expert System on Skin Diseases,TRUE,article,"[{'id': 'admi_syarif@yahoo.com', 'name': {'given': 'AS', 'family': 'Admi Syarif', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'given': 'B Fauzi', 'honourific': None, 'lineage': None, 'family': 'Mayda'}}, {'id': None, 'name': {'given': 'Aristoteles', 'family': 'Aristoteles', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Wantoro', 'family': 'Agus', 'lineage': None, 'honourific': None}, 'id': None}]",,,,,,,,
2,http://repository.lppm.unila.ac.id/id/eprint/38837,2022-01-31 00:00:00.000000000,,,published,['QA76'],pub,8,,public,2022-02-02 07:18:11,,['FMIPA3'],,disk0/00/03/88/37,2022-02-02 07:18:11,https://e-hakcipta.dgip.go.id/index.php/c?code=YWIwNTBjNDZhMjg1M2M3ZDRmOTMwOWU2NzVlNTZjNDcK,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'main': 'sertifikat_EC00202207376.pdf', 'docid': 159979, 'files': [{'datasetid': 'document', 'fileid': 438677, 'mime_type': 'application/pdf', 'hash': '39521f605104b3af743c969783928d27', 'hash_type': 'MD5', 'mtime': '2022-02-02 02:20:54', 'objectid': 159979, 'filesize': 2074045, 'uri': 'http://repository.lppm.unila.ac.id/id/file/438677', 'filename': 'sertifikat_EC00202207376.pdf'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/159979', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 38837}]",215,,show,,2022-02-02 07:18:11,archive,322675,38837,"Apiikasi Virtual Guide Gedung A Dan E Fakultas Ekonomi Dan
Bisnis Universitas Lampung Menggunakan Unity 3D",,patent,"[{'name': {'lineage': None, 'family': 'Akmal Junaidi', 'honourific': None, 'given': 'Akmal'}, 'id': 'akmal.junaidi@fmipa@unila.ac.id'}, {'name': {'given': 'Aristoteles', 'honourific': None, 'family': 'Aristoteles', 'lineage': None}, 'id': None}, {'id': 'yunda.heningtyas89@gmail.com', 'name': {'given': 'Yunda', 'lineage': None, 'family': 'Heningtyas', 'honourific': None}}, {'id': None, 'name': {'given': 'Muhamad', 'honourific': None, 'lineage': None, 'family': 'Haekal'}}]",Akmal Junaidi; Aristoteles; Yunda Heningtyas; Muhamad Haekal,,,,,,,
3,http://repository.lppm.unila.ac.id/id/eprint/38836,2022-01-31 00:00:00.000000000,,,published,['QA76'],pub,9,,public,2022-02-02 07:18:09,,['FMIPA3'],,disk0/00/03/88/36,2022-02-02 07:18:09,https://e-hakcipta.dgip.go.id/index.php/c?code=NjkwYjdjYTRlZmZkOWY4YmQ2NDBhODZkNWMzYzdlYzUK,"[{'docid': 159978, 'main': 'sertifikat_EC00202207375.pdf', 'files': [{'hash': 'f3bdc2a6234902a3af748e496b67352b', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 438669, 'mtime': '2022-02-02 02:08:47', 'hash_type': 'MD5', 'filename': 'sertifikat_EC00202207375.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/438669', 'objectid': 159978, 'filesize': 2073760}], 'format': 'text', 'language': 'en', 'rev_number': 3, 'mime_type': 'application/pdf', 'content': 'published', 'placement': 1, 'eprintid': 38836, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159978', 'pos': 1, 'security': 'public'}]",215,,show,,2022-02-02 07:18:09,archive,322674,38836,"Aplikasi Virtual Guide Gedung Dekanat Fakultas Ilmu Sosial Dan
Ilmu Politik Universitas Lampung",,patent,"[{'name': {'lineage': None, 'family': 'Akmal Junaidi', 'honourific': None, 'given': 'Akmal'}, 'id': 'akmal.junaidi@fmipa@unila.ac.id'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Aristoteles', 'given': 'Aristoteles'}, 'id': None}, {'name': {'given': 'Yunda', 'honourific': None, 'family': 'Heningtyas', 'lineage': None}, 'id': 'yunda.heningtyas89@gmail.com'}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Hartrianto', 'given': 'Iqbal Tejo'}}]",Akmal Junaidi; Aristoteles; Yunda Heningtyas; Iqbal Tejo Hartrianto,,,,,,,
4,http://repository.lppm.unila.ac.id/id/eprint/38845,2022-01-31 00:00:00.000000000,,,published,['QA76'],pub,10,,public,2022-02-02 07:18:29,,['FMIPA3'],,disk0/00/03/88/45,2022-02-02 07:18:29,https://e-hakcipta.dgip.go.id/index.php/c?code=MTJhMWQxYTliZjM1MGUwYWFiOWY1NmVkZWMyYTgxODUK,"[{'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 159986, 'main': 'sertifikat_EC00202207513.pdf', 'files': [{'fileid': 438726, 'datasetid': 'document', 'hash': '979b4cae9f8266a387402201442bd398', 'mime_type': 'application/pdf', 'filesize': 2073946, 'objectid': 159986, 'uri': 'http://repository.lppm.unila.ac.id/id/file/438726', 'filename': 'sertifikat_EC00202207513.pdf', 'hash_type': 'MD5', 'mtime': '2022-02-02 02:46:02'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/159986', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 38845}]",215,,show,,2022-02-02 07:18:29,archive,322812,38845,Aplikasi Virtual Guide Gedung F Pascasarjana Fakultas Ilmu Sosial Dan Ilmu Politik Universitas Lampung,,patent,"[{'name': {'given': 'Akmal', 'family': 'Akmal Junaidi', 'lineage': None, 'honourific': None}, 'id': 'akmal.junaidi@fmipa@unila.ac.id'}, {'id': None, 'name': {'given': 'Aristoteles', 'family': 'Aristoteles', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Yunda', 'honourific': None, 'lineage': None, 'family': 'Heningtyas'}, 'id': 'yunda.heningtyas89@gmail.com'}, {'name': {'given': 'Avif Rizka', 'honourific': None, 'family': 'Hikmawan', 'lineage': None}, 'id': None}]",Akmal Junaidi; Aristoteles; Yunda Heningtyas; Avif Rizka Hikmawan,,,,,,,
5,http://repository.lppm.unila.ac.id/id/eprint/38838,2022-01-31 00:00:00.000000000,,,published,['QA76'],pub,8,,public,2022-02-02 07:18:13,,['FMIPA3'],,disk0/00/03/88/38,2022-02-02 07:18:13,https://e-hakcipta.dgip.go.id/index.php/c?code=NTgyYzc4YTIxMzM4ZTQyNGJkOTE2YzNiMjY1YjZlZGIK,"[{'placement': 1, 'eprintid': 38838, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159980', 'security': 'public', 'files': [{'mime_type': 'application/pdf', 'hash': '8bbddbc8982532835e98275f7e3e41f7', 'fileid': 438684, 'datasetid': 'document', 'mtime': '2022-02-02 02:25:06', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/438684', 'filename': 'sertifikat_EC00202207377.pdf', 'filesize': 2073675, 'objectid': 159980}], 'main': 'sertifikat_EC00202207377.pdf', 'docid': 159980, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2}]",215,,show,,2022-02-02 07:18:13,archive,322676,38838,Aplikasi Virtual Guide Gedung C Fakultas Kedokteran Universitas Lampung Menggunakan Unity 3D,,patent,"[{'id': 'akmal.junaidi@fmipa@unila.ac.id', 'name': {'given': 'Akmal', 'lineage': None, 'family': 'Akmal Junaidi', 'honourific': None}}, {'id': None, 'name': {'given': 'Aristoteles', 'honourific': None, 'lineage': None, 'family': 'Aristoteles'}}, {'id': 'yunda.heningtyas89@gmail.com', 'name': {'lineage': None, 'family': 'Heningtyas', 'honourific': None, 'given': 'Yunda'}}, {'name': {'family': 'Oktarinaldi', 'lineage': None, 'honourific': None, 'given': 'Ragananda Diki'}, 'id': None}]",Akmal Junaidi; Aristoteles; Yunda Heningtyas; Ragananda Diki Oktarinaldi,,,,,,,
6,http://repository.lppm.unila.ac.id/id/eprint/38839,2022-01-31 00:00:00.000000000,,,published,['QA76'],pub,8,,public,2022-02-02 07:18:15,,['FMIPA3'],,disk0/00/03/88/39,2022-02-02 07:18:15,https://e-hakcipta.dgip.go.id/index.php/c?code=MDQ3M2YxNzczMTIyOGMzMDU2MDZiMzE1NGFmZjA0MDgK,"[{'files': [{'mime_type': 'application/pdf', 'hash': 'add9971a5fc46990298dba9e0eee8644', 'datasetid': 'document', 'fileid': 438691, 'mtime': '2022-02-02 02:29:42', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/438691', 'filename': 'sertifikat_EC00202207378.pdf', 'objectid': 159981, 'filesize': 2073863}], 'main': 'sertifikat_EC00202207378.pdf', 'docid': 159981, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2, 'placement': 1, 'eprintid': 38839, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159981', 'security': 'public'}]",215,,show,,2022-02-02 07:18:15,archive,322677,38839,"Aplikasi Virtual Guide Gedung D Dan Student Center Fakultas
Ekonomi Dan Bisnis Universitas Lampung",,patent,"[{'name': {'given': 'Akmal', 'honourific': None, 'lineage': None, 'family': 'Akmal Junaidi'}, 'id': 'akmal.junaidi@fmipa@unila.ac.id'}, {'id': None, 'name': {'given': 'Aristoteles', 'honourific': None, 'family': 'Aristoteles', 'lineage': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Heningtyas', 'given': 'Yunda'}, 'id': 'yunda.heningtyas89@gmail.com'}, {'id': None, 'name': {'lineage': None, 'family': 'Syahtria', 'honourific': None, 'given': 'M. Doni'}}]",Akmal Junaidi; Aristoteles; Yunda Heningtyas; M. Doni Syahtria,,,,,,,
7,http://repository.lppm.unila.ac.id/id/eprint/38841,2022-01-31 00:00:00.000000000,,,published,['QA76'],pub,9,,public,2022-02-02 07:18:19,,['FMIPA3'],,disk0/00/03/88/41,2022-02-02 07:18:19,https://e-hakcipta.dgip.go.id/index.php/c?code=OGQ2OTZiZGEwYWJmYzZmYWViZjVmZTAzYWNjNTFiMDEK,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159983', 'security': 'public', 'placement': 1, 'eprintid': 38841, 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'hash': '61cbf9a2505cecb396b06184e65d0bef', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 438705, 'mtime': '2022-02-02 02:36:28', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/438705', 'filename': 'sertifikat_EC00202207511.pdf', 'objectid': 159983, 'filesize': 2073526}], 'main': 'sertifikat_EC00202207511.pdf', 'docid': 159983, 'format': 'text'}]",215,,show,,2022-02-02 07:18:19,archive,322810,38841,"Aplikasi Virtual Guide Gedung E Fakultas Ilmu Sosial Dan Ilmu
Politik Universitas Lampung",,patent,"[{'id': None, 'name': {'given': 'Aristoteles', 'honourific': None, 'lineage': None, 'family': 'Aristoteles'}}, {'id': 'akmal.junaidi@fmipa@unila.ac.id', 'name': {'given': 'Akmal', 'honourific': None, 'lineage': None, 'family': 'Akmal Junaidi'}}, {'name': {'honourific': None, 'family': 'Heningtyas', 'lineage': None, 'given': 'Yunda'}, 'id': 'yunda.heningtyas89@gmail.com'}, {'id': None, 'name': {'given': 'Deja', 'family': 'Gunawan', 'lineage': None, 'honourific': None}}]",Aristoteles; Akmal Junaidi; Yunda Heningtyas; Deja Gunawan,,,,,,,
8,http://repository.lppm.unila.ac.id/id/eprint/38840,2022-01-31 00:00:00.000000000,,,published,['QA76'],pub,9,,public,2022-02-02 07:18:17,,['FMIPA3'],,disk0/00/03/88/40,2022-02-02 07:18:17,https://e-hakcipta.dgip.go.id/index.php/c?code=NzkyNWI3YmI3ODlmMDBlMTE2ZmVlMDhhMmYxYmQyYzkK,"[{'placement': 1, 'eprintid': 38840, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/159982', 'security': 'public', 'main': 'sertifikat_EC00202207510.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-02-02 02:33:13', 'objectid': 159982, 'filesize': 2073715, 'filename': 'sertifikat_EC00202207510.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/438698', 'datasetid': 'document', 'fileid': 438698, 'mime_type': 'application/pdf', 'hash': '4b5e6fa008b5ab0117f18eba17d2e685'}], 'docid': 159982, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2}]",215,,show,,2022-02-02 07:18:17,archive,322809,38840,Aplikasi Virtual Guide Gedung D Fakultas Kedokteran Universitas Lampung Menggunakan Unity 3D,,patent,"[{'name': {'given': 'Aristoteles', 'honourific': None, 'family': 'Aristoteles', 'lineage': None}, 'id': None}, {'id': 'akmal.junaidi@fmipa@unila.ac.id', 'name': {'lineage': None, 'family': 'Akmal Junaidi', 'honourific': None, 'given': 'Akmal'}}, {'name': {'given': 'Yunda', 'family': 'Heningtyas', 'lineage': None, 'honourific': None}, 'id': 'yunda.heningtyas89@gmail.com'}, {'name': {'given': 'M lqbal', 'lineage': None, 'family': 'Nugraha', 'honourific': None}, 'id': None}]",Aristoteles; Akmal Junaidi; Yunda Heningtyas; M lqbal Nugraha,,,,,,,
9,http://repository.lppm.unila.ac.id/id/eprint/41764,2022-03-31 00:00:00.000000000,"Kuliah   Kerja   Nyata   (KKN)   merupakan   suatu   kegiatan   pengabdian   mahasiswa   kepada   masyarakat   dengan menggunakan pendekatan lintas keilmuan dan sektoral yang didapatkan melalui pembelajaran didalam kelas. KKN dilaksanakan oleh Perguruan Tinggi sebagai upaya meningkatkan isi dan bobot pendidikan bagi mahasiswa dan untuk mendapatkan  nilai  tambah  yang  lebih  besar  pada  pendidikan  tinggi.  Pelaksanaan  KKN  di  masa  pandemi  seperti sekarang ini memberikan tantangan tersendiri bagi mahasiswa KKN Periode 1 Tahun 2022. Salah satu Program Kuliah Kerja Nyata yang kami laksanakan ialah melalui sosialisasi dan edukasi kesehatan yang bertujuan untuk mengurangi kepanikan masyarakat dan pengetahuan terkait Covid-19, yang mana hingga saat ini selalu bertambah variasi virusnya. Populasi  dan  sampel  dalam  penelitian  ini  masyarakat  dan  siswa/i  di  lokasi  pelaksanaan  KKN  mahasiswa.  Metode pengumpulan  data  yang  digunakan  adalah  Wawancara,  Observasi,  Diskusi  dan  Dokumentasi.  Dari  hasil  penelitian diperoleh bahwa masyarakat dapat menerapkan pola hidup sehat dan menjaga kesehatan di masa pandemi. Dibuatnya artikel  ini  sebagai  bentuk  dari  salah  satu  hasil  pengabdian  yang  telah  dilaksanakan  oleh  Mahasiswa  KKN  Desa Beringin Raya Periode 1 Tahun 2022",2.0,published,['L1'],pub,9,P-ISSN : 2776-3749 E-ISSN : 2808-1412,public,2022-05-24 04:51:42,Badan Pengelola KKN UNila,['FMIPA3'],Jurnal Buguh,disk0/00/04/17/64,2022-05-24 04:51:42,https://jurnalbuguh.unila.ac.id/index.php/buguh/article/view/772/34,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163427', 'security': 'public', 'placement': 1, 'eprintid': 41764, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'main': 'jb21-08 (1).pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-05-23 14:09:06', 'filesize': 965755, 'objectid': 163427, 'filename': 'jb21-08 (1).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/461465', 'datasetid': 'document', 'fileid': 461465, 'mime_type': 'application/pdf', 'hash': 'f7e4bbb29ff2139ea658b32709099a15'}], 'docid': 163427, 'format': 'text'}]",215,1.0,show,53-60,2022-05-24 04:51:42,archive,https://doi.org/10.23960/buguh.v2n1.772,41764,SOSIALISASI KESEHATAN DAN PENTINGNYA EDUKASI POLA HIDUP BERSIH DAN SEHAT (PHBS) BAGI WARGA KELURAHAN BERINGIN RAYA,TRUE,article,"[{'name': {'honourific': None, 'family': 'Aristoteles', 'lineage': None, 'given': 'Aristoteles'}}, {'name': {'given': 'Rafii Utama', 'family': 'Ariq', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'family': 'Awfa', 'lineage': None, 'given': 'Rizqon Akhyar'}}, {'name': {'honourific': None, 'family': 'Ayuning', 'lineage': None, 'given': 'Rizqi Rahmayanti'}}, {'name': {'given': 'Melvina Putri', 'family': 'Maulida', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Permata Sari Santos', 'honourific': None, 'lineage': None, 'family': 'Monique'}}, {'name': {'honourific': None, 'family': 'Muhammad', 'lineage': None, 'given': 'Chaidar Al'}}, {'name': {'given': 'Putri Adisa', 'honourific': None, 'lineage': None, 'family': 'Mutiara'}}, {'name': {'given': 'Ihklayani', 'honourific': None, 'lineage': None, 'family': 'Rigasmi'}}]",,,,,,,,
