,date,uri,abstract,volume,date_type,subjects,rev_number,ispublished,full_text_status,status_changed,publication,divisions,dir,lastmod,documents,userid,number,metadata_visibility,datestamp,eprint_status,eprintid,title,refereed,type,creators,funders,official_url,pagerange,corp_creators,projects,issn,publisher,contact_email,related_url,pres_type,event_dates,event_location,event_type,event_title
0,2014-02-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/30,"Influence of C-methyl-4,10,16,22-tetramethoxy calix[4]arene compound as inhibitor of calcium sulphate scale formation has been studied
using seeded experiment method. The results show that C-methyl-4,10,16,22-tetramethoxy calix[4]arene as calix[4]arene derived compound
inhibits a formation of calcium sulphate crystals at a concentration of growth solution of 0.1 M and at various inhibitor concentrations of
0-150 ppm. The ability of C-methyl-4,10,16,22-tetramethoxy calix[4]arene as inhibitor of the formation of calcium sulphate scale is
optimum in inhibiting growth rate of CaSO
4
Keywords: Tetramethoxycalixarene, CaSO
4
 scale formation is 50 ppm at 80 ºC.
, Inhibitor, Scaling.",26.0,published,['AC'],6,pub,public,2016-06-30 02:47:42,Asian Journal of Chemistry,['FMIPA4'],disk0/00/00/00/30,2016-06-30 02:47:42,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/50', 'pos': 1, 'eprintid': 30, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'AJC Hibah Vol. 26 18 2014(2).pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2016-06-30 02:42:16', 'objectid': 50, 'filesize': 1209135, 'uri': 'http://repository.lppm.unila.ac.id/id/file/198', 'filename': 'AJC Hibah Vol. 26 18 2014(2).pdf', 'datasetid': 'document', 'fileid': 198, 'mime_type': 'application/pdf', 'hash': '9416bc9d50086457924a5388a8c835f8'}], 'docid': 50}]",1,18.0,show,2016-06-30 02:47:42,archive,30,Influence of Calix[4]arene Derived Compound on Calcium Sulphate Scale Formation,TRUE,article,"[{'id': 'suharso_s@yahoo.com', 'name': {'given': 'Suharso', 'family': '.', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'lineage': None, 'family': '.', 'honourific': None, 'given': 'Buhani'}}, {'id': None, 'name': {'given': 'L', 'family': 'Aprilia', 'lineage': None, 'honourific': None}}]",,,,,,,,,,,,,,
1,2014-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/32373,"A new aaptamine class alkaloid, designated
2-methoxy-3-oxoaaptamine (1), together with seven known
aaptamines (2–8) were isolated from a marine sponge of
Aaptos sp. as anti-mycobacterial substances against active
and dormant bacilli. The chemical structure of 1 was
determined on the basis of spectroscopic analysis. Com�pound 1 was anti-mycobacterial against Mycobacterium
smegmatis in both active growing and dormancy-inducing
hypoxic conditions with a minimum inhibitory concentra�tion (MIC) of 6.25 lg/ml, and compounds 2, 5, 6, and 7
showed anti-mycobacterial activities under hypoxic con�dition selectively, with MIC values of 1.5–6.25 lg/ml.
Keywords Aaptamine � Marine sponge �
Anti-mycobacterial activity � Dormant � Tuberculosis",68.0,published,['Q1'],7,pub,public,2021-06-09 01:01:25,J Nat Med,['FMIPA4'],disk0/00/03/23/73,2021-06-09 01:01:25,"[{'files': [{'hash': '6c6fdae3b2668758c09628794419a778', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 383103, 'uri': 'http://repository.lppm.unila.ac.id/id/file/383103', 'filename': 'Jurnal 2014-3.pdf', 'filesize': 223267, 'objectid': 146854, 'mtime': '2021-06-09 00:52:56', 'hash_type': 'MD5'}], 'main': 'Jurnal 2014-3.pdf', 'docid': 146854, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 32373, 'uri': 'http://repository.lppm.unila.ac.id/id/document/146854', 'pos': 1, 'security': 'public'}]",945,2.0,show,2021-06-09 01:01:25,archive,32373,"Aaptamines, marine spongean alkaloids, as anti-dormant
mycobacterial substances",TRUE,article,"[{'name': {'lineage': None, 'family': 'Arai', 'honourific': None, 'given': 'Masayoshi'}, 'id': 'araim@phs.osaka-u.ac.jp'}, {'name': {'lineage': None, 'family': 'Han', 'honourific': None, 'given': 'Chisu'}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Yamano', 'given': 'Yoshi'}, 'id': None}, {'id': 'andi.setiawan@fmipa.unila.ac.id', 'name': {'given': 'Andi', 'family': 'Setiawan', 'lineage': None, 'honourific': None}}, {'id': 'kobayasi@phs.osaka-u.ac.jp', 'name': {'lineage': None, 'family': 'Kobayashi', 'honourific': None, 'given': 'Motomasa'}}]","['the Hoansha Foundation, the Uehara Memorial Foundation, Grant-in-Aid for scientific research from the Ministry of Education, Culture, Sports, Science and Technology of Japan']",https://pubmed.ncbi.nlm.nih.gov/24414399/,372-376,"['Lampung University', 'Osaka University']",['research collaboration'],"13403443, 18610293",The Japanese Society of Pharmacognosy and Springer Japan,,,,,,,
2,2014-07-15 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/32121,"n the course of our search for hypoxia-selective growth inhibitors against cancer 
cells, a sesquiterpene phenol, dictyoceratin-C (1), was isolated from the Indonesian 
marine sponge of Dactylospongia elegans under the guidance of the constructed 
bioassay. Dictyoceratin-C (1) inhibited proliferation of human prostate cancer DU145 
cells selectively under hypoxic condition in a dose-dependent manner at the 
concentrations ranging from 1.0 to 10 M. The subsequent structure-activity 
relationship study using nine sesquiterpene phenol/quinones (2-10), which were isolated 
from marine sponge, was executed. We found that smenospondiol (2) also exhibited the 
similar hypoxia-selective growth inhibitory activity against DU145 cells, and the 
para-hydroxybenzoyl ester moiety would be important for hypoxia-selective growth 
inhibitory activity of 1. In addition, the mechanistic analysis of dictyoceratin-C (1) 
revealed that the 10 M of 1 inhibited accumulation of Hypoxia-Inducible Factor-1
under hypoxic condition.",24.0,published,['Q1'],9,pub,public,2021-06-06 14:34:23,Bioorganic & Medicinal Chemistry Letters,['FMIPA4'],disk0/00/03/21/21,2021-06-06 14:34:23,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/145601', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 32121, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Jurnal 2014-2.pdf', 'files': [{'mtime': '2021-06-06 05:35:56', 'hash_type': 'MD5', 'filename': 'Jurnal 2014-2.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/380128', 'objectid': 145601, 'filesize': 526489, 'hash': 'aff7bebd9c7043eeee4ed57c4165fa6d', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 380128}], 'docid': 145601, 'format': 'text'}]",945,14.0,show,2021-06-06 14:34:23,archive,32121,"Marine spongian sesquiterpene phenols, dictyoceratin-C and smenospondiol, display hypoxia-selective growth inhibition against cancer cells",TRUE,article,"[{'name': {'given': 'Masayoshi', 'lineage': None, 'family': 'Arai', 'honourific': None}, 'id': 'araim@phs.osaka-u.ac.jp'}, {'name': {'lineage': None, 'family': 'Kawachi', 'honourific': None, 'given': 'Takashi'}, 'id': None}, {'name': {'lineage': None, 'family': 'sato', 'honourific': None, 'given': 'hiroki'}, 'id': None}, {'id': 'andi.setiawan@fmipa.unila.ac.id', 'name': {'family': 'Setiawan', 'lineage': None, 'honourific': None, 'given': 'Andi'}}, {'name': {'lineage': None, 'family': 'Kobayashi', 'honourific': None, 'given': 'Motomasa'}, 'id': 'kobayasi@phs.osaka-u.ac.jp'}]","['the Hoansha Foundation, the Uehara Memorial  Foundation, the Naito Foundation, and Osaka University Project MEET for financial  support. This study was also financially supported by Grant-in-Aid for scientific  research from the Ministry of Education, Cul']",http://doi:10.1016/j.bmcl.2014.04.116,3155-3157,"['Lampung University', 'Osaka University']",['research collaboration'],"0960894X, 14643405",Elsevier Ltd.,,,,,,,
3,2014-07-15 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/32372,"In the course of our search for hypoxia-selective growth inhibitors against cancer 
cells, a sesquiterpene phenol, dictyoceratin-C (1), was isolated from the Indonesian 
marine sponge of Dactylospongia elegans under the guidance of the constructed 
bioassay. Dictyoceratin-C (1) inhibited proliferation of human prostate cancer DU145 
cells selectively under hypoxic condition in a dose-dependent manner at the 
concentrations ranging from 1.0 to 10 M. The subsequent structure-activity 
relationship study using nine sesquiterpene phenol/quinones (2-10), which were isolated 
from marine sponge, was executed. We found that smenospondiol (2) also exhibited the 
similar hypoxia-selective growth inhibitory activity against DU145 cells, and the 
para-hydroxybenzoyl ester moiety would be important for hypoxia-selective growth 
inhibitory activity of 1. In addition, the mechanistic analysis of dictyoceratin-C (1) 
revealed that the 10 M of 1 inhibited accumulation of Hypoxia-Inducible Factor-1
under hypoxic condition.
Key words: dictyoceratin-C; smenospondiol; HIF-1; hypoxia; cancer; Dactylospongia 
elegan",24.0,published,['Q1'],7,pub,public,2021-06-09 01:01:22,Bioorganic & Medicinal Chemistry Letters,['FMIPA4'],disk0/00/03/23/72,2021-06-09 01:01:22,"[{'eprintid': 32372, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/146853', 'format': 'text', 'docid': 146853, 'main': 'Jurnal 2014-2.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'aff7bebd9c7043eeee4ed57c4165fa6d', 'datasetid': 'document', 'fileid': 383096, 'uri': 'http://repository.lppm.unila.ac.id/id/file/383096', 'filename': 'Jurnal 2014-2.pdf', 'filesize': 526489, 'objectid': 146853, 'mtime': '2021-06-09 00:40:54', 'hash_type': 'MD5'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",945,14.0,show,2021-06-09 01:01:22,archive,32372,"Marine spongian sesquiterpene phenols, dictyoceratin-C and smenospondiol, display hypoxia-selective growth inhibition against cancer cells",TRUE,article,"[{'id': 'araim@phs.osaka-u.ac.jp', 'name': {'given': 'Masayoshi', 'lineage': None, 'family': 'Arai', 'honourific': None}}, {'id': None, 'name': {'given': 'Takashi', 'honourific': None, 'lineage': None, 'family': 'Kawachi'}}, {'name': {'given': 'hiroki', 'honourific': None, 'family': 'sato', 'lineage': None}, 'id': None}, {'id': 'andi.setiawan@fmipa.unila.ac.id', 'name': {'given': 'Andi', 'honourific': None, 'lineage': None, 'family': 'Setiawan'}}, {'id': 'kobayasi@phs.osaka-u.ac.jp', 'name': {'honourific': None, 'family': 'Kobayashi', 'lineage': None, 'given': 'Motomasa'}}]","['the Hoh-ansha Foundation, the Uehara Memorial Foundation, and the Naito Foundation for financial support. This study was also financially supported by a Grant-in-Aid for Scientific Research from the Min�istry of Education, Culture, Sports, Science, and Te']",https://pubmed.ncbi.nlm.nih.gov/24865416/,3155-3157,"['Lampung University', 'Osaka University']",['research collaboration'],"0960894X, 14643405",Elsevier Ltd,,,,,,,
4,2014-01-12 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/32123,"A new aaptamine class alkaloid, designated
2-methoxy-3-oxoaaptamine (1), together with seven known
aaptamines (2–8) were isolated from a marine sponge of
Aaptos sp. as anti-mycobacterial substances against active and dormant bacilli. The chemical structure of 1 was determined on the basis of spectroscopic analysis. Com�pound 1 was anti-mycobacterial against Mycobacterium
smegmatis in both active growing and dormancy-inducing
hypoxic conditions with a minimum inhibitory concentra�tion (MIC) of 6.25 lg/ml, and compounds 2, 5, 6, and 7 showed anti-mycobacterial activities under hypoxic con�dition selectively, with MIC values of 1.5–6.25 lg/ml",68.0,published,['Q1'],7,pub,public,2021-06-06 14:34:44,J Nat Med,['FMIPA4'],disk0/00/03/21/23,2021-06-06 14:34:44,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 145608, 'main': 'Jurnal 2014-3.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/380149', 'filename': 'Jurnal 2014-3.pdf', 'objectid': 145608, 'filesize': 223267, 'mtime': '2021-06-06 05:49:08', 'hash_type': 'MD5', 'hash': '6c6fdae3b2668758c09628794419a778', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 380149}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/145608', 'security': 'public', 'placement': 1, 'eprintid': 32123}]",945,2.0,show,2021-06-06 14:34:44,archive,32123,"Aaptamines, marine spongean alkaloids, as anti-dormant
mycobacterial substances",TRUE,article,"[{'name': {'given': 'Masayoshi', 'family': 'Arai', 'lineage': None, 'honourific': None}, 'id': 'araim@phs.osaka-u.ac.jp'}, {'id': None, 'name': {'given': 'chisu', 'family': 'han', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'family': 'Yamano', 'lineage': None, 'honourific': None, 'given': 'Yoshi'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Setiawan', 'given': 'Andi'}, 'id': 'andi.setiawan@fmipa.unila.ac.id'}, {'id': 'kobayasi@phs.osaka-u.ac.jp', 'name': {'lineage': None, 'family': 'Kobayashi', 'honourific': None, 'given': 'Motomasa'}}]","['Hoansha Foundation and Grant-in-Aid for scientific research from the Ministry of Education, Culture, Sports, Science, and Technology of Japan.']",https://doi: 10.1007/s11418-013-0811-y.,372-376,"['Lampung University', 'Osaka University']",['research collaboration'],"13403443, 18610293",The Japanese Society of Pharmacognosy and Springer Japan,,,,,,,
5,2014-04-26 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/37760,"Sesbania grandiflora, sejenis pokok setinggi 15 m, adalah tumbuhan ubatan tradisional yang telah dikutip dari daerah Lampung Selatan, Indonesia. Beberapa sebatian baru dan telah dikenal pasti disisihkan dari akar pokok ini. Semua sebatian tersebut dikenal pasti sebagai satu sebatian jenis terpenoid, asid betulinik (81), sepuluh flavonoid, malindonesianin A-C (82, 86, 88), xenognosin B (83), likuiritigenin (84), 7,2’,4’-trihidroksiisoflavon (85), demetilvestitol (87), vestitol (89), medikarpin (90), sativan (91), dan satu sebatian jenis biaril, l,l’-binaftalen-2,2’-diol (92). Tiga sebatian (82, 86, 88) dikenal pasti sebagai dimer isoflavonoid baru, manakala satu sebatian (92) dikenali sebagai sebatian semulajadi biaril baru. 

Kalkon merupakan pemula biosintetik penting disebabkan kepelbagaian aktiviti farmakologinya. Kajian ini bertujuan untuk mensintesis 28 terbitan baru kalkon, melalui penggabungan p-alkoksi asetofenon dengan benzaldehid, menggunakan alkilasi dan kondensasi Claisen-Schmidt dengan bes sebagai mangkin. Semua sebatian terbitan dicirikan dengan menggunakan IR, 1D NMR (1H dan 13C NMR), 2D NMR (COSY, HMQC, HMBC) dan spektrometri jisim. 

Semua sebatian semulajadi dan terbitan baru telah disaring secara in vitro bagi mengesan aktiviti antituberkulosis terhadap strain Mycobacterium tuberculosis. Di antara sebatian semulajadi, aktiviti antituberkulosis yang ketara terhadap Mycobacterium tuberculosis telah ditunjukkan oleh sebatian 92 dengan nilai MIC yang terendah iaitu 312.5 x 10-2 µg/mL, manakala antara sebatian terbitan tersebut, sebatian 5a, 5b, dan 5d menunjukkan aktiviti antimikrob yang amat baik dengan nilai MIC terendah iaitu 12.5 µg/mL.",,,['QD'],7,unpub,public,2022-01-10 01:12:59,,['FMIPA4'],disk0/00/03/77/60,2022-01-10 01:12:59,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158688', 'security': 'public', 'placement': 1, 'eprintid': 37760, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 158688, 'main': 'Ph.D-Degree-Novi.pdf', 'files': [{'mtime': '2022-01-08 03:23:12', 'hash_type': 'MD5', 'filename': 'Ph.D-Degree-Novi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/430326', 'objectid': 158688, 'filesize': 50073, 'mime_type': 'application/pdf', 'hash': 'd8466fa58e8d4025fdd523ddacce00f0', 'fileid': 430326, 'datasetid': 'document'}], 'format': 'text'}]",564,,show,2022-01-10 01:12:59,archive,37760,Phytochemcial Study on Sesbania grandiflora Roots and Synthesis of Selected Flavonoid precursors (Chalcone Derivatives),,other,"[{'id': 'noviany@fmipa.unila.ac.id', 'name': {'given': 'Noviany', 'lineage': None, 'family': 'Noviany', 'honourific': None}}]",,,,['Universitas Lampung'],,,Universiti Sains Malaysia,noviany@fmipa.unila.ac.id,,,,,,
6,2014-05-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/37761,,,,['QD'],7,unpub,public,2022-01-10 01:13:02,,['FMIPA4'],disk0/00/03/77/61,2022-01-10 01:13:02,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158689', 'eprintid': 37761, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'SK Penyetaraan_Noviany.pdf', 'docid': 158689, 'files': [{'mime_type': 'application/pdf', 'hash': 'a02eba9b3699644ffe806073801a5db4', 'datasetid': 'document', 'fileid': 430333, 'uri': 'http://repository.lppm.unila.ac.id/id/file/430333', 'filename': 'SK Penyetaraan_Noviany.pdf', 'objectid': 158689, 'filesize': 82936, 'mtime': '2022-01-08 03:30:59', 'hash_type': 'MD5'}]}]",564,,show,2022-01-10 01:13:02,archive,37761,SK Penyetaraan Ijazah S3,,other,"[{'id': 'noviany@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Noviany', 'honourific': None, 'given': 'Noviany'}}]",,,,['Universitas Lampung'],,,Dirjen DIkti-Kemendikbud RI,noviany@fmipa.unila.ac.id,,,,,,
7,2014-04-26 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/37762,,,,['QD'],7,unpub,public,2022-01-10 01:13:00,,['FMIPA4'],disk0/00/03/77/62,2022-01-10 01:13:00,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'files': [{'hash': '165f2ec3d910e3ac6ab6105d80735835', 'mime_type': 'application/pdf', 'fileid': 430340, 'datasetid': 'document', 'filename': 'Academic Transcript of Ph-D.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/430340', 'objectid': 158690, 'filesize': 739982, 'mtime': '2022-01-08 03:34:47', 'hash_type': 'MD5'}], 'main': 'Academic Transcript of Ph-D.pdf', 'docid': 158690, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/158690', 'security': 'public', 'placement': 1, 'eprintid': 37762}]",564,,show,2022-01-10 01:13:00,archive,37762,Transkrip Akademik S3,,other,"[{'name': {'given': 'Noviany', 'honourific': None, 'family': 'Noviany', 'lineage': None}, 'id': 'noviany@fmipa.unila.ac.id'}]",,,,['Universitas Lampung'],,,Universiti Sains Malaysia,noviany@fmipa.unila.ac.id,,,,,,
8,2014-05-22 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/1312,"Lipase is a hydrolytic enzyme that has an important role in the biotechnology industries. This is due to its ability to catalyze multiple organic reactions such as hydrolysis, esterification, interesterification, transesterification and synthesis reactions. Research for inventing novel lipase with unique properties i.e. thermostable lipase is still being carried out by using several approaches. One of the method is by metagenomic approach which is directly amplifying lipase gene from natural resources. Hence the aim of this research is to design a primers to amplify lipase gene fragments from environmental samples. The study was conducted through bioinformatics analysis of lipase database from GeneBank, selection of conserved region of the whole lipase genes, primers and in silico analysis by using Clustal X, Gendoc, Primer Detective and GenMon softwares. 68 amino acid sequences from 68 bacteria genus were used to obtain the conserved region of lipase gene. The results showed that there are 4 conserved regions, namely one, second, third and fourth region.  The best primer pair was obtained from second and fourth regions, and resulted lipase gene fragments for approximately 570 bp. Based on in silico study indicated that the primers amplify some group of bacteria.  Therefore, we conclude the primer can be used to amplify lipase gene fragments  from environmental sample in the form of a mixture of lipase gene fragments from various bacteria. Several lipase fragments were detected on polyacrylamide gel after separation of PCR mixtures by using DGGE apparatus.",,published,['QD'],8,pub,public,2016-12-29 01:06:34,Prosiding Seminar Nasional Biokimia 2014,['FMIPA4'],disk0/00/00/13/12,2016-12-29 01:06:34,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/1187', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 1312, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Prosiding semnas biokim-nur.pdf', 'files': [{'mtime': '2016-12-14 02:38:23', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/8801', 'filename': 'Prosiding semnas biokim-nur.pdf', 'objectid': 1187, 'filesize': 3418691, 'hash': 'af8a1f06218b07520a18b8a42c8cf984', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 8801}], 'docid': 1187, 'format': 'text'}]",452,,show,2016-12-29 01:06:34,archive,1312,"INTERNAL PRIMER DESIGN FOR DIVERSITY STUDY
OF THERMOSTABLE LIPASE GENE FRAGMENT
FROM ENVIRONMENTAL SAMPLE",TRUE,article,"[{'id': 'nurhasanah_12@yahoo.co.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Nurhasanah', 'given': 'Nurhasanah'}}, {'id': 'aan@chem.itb.ac.id', 'name': {'given': 'Santi', 'family': 'Nurbaiti', 'lineage': None, 'honourific': None}}, {'id': 'Fida@chem.itb.ac.id', 'name': {'given': 'Fida', 'honourific': None, 'family': 'Madayanti', 'lineage': None}}, {'id': 'Loka@chem.itb.ac.id', 'name': {'family': 'Akhmaloka', 'lineage': None, 'honourific': None, 'given': 'Akhmaloka'}}]",,,1-5,,,ISBN 978-602-98506-1-1,Prodi Kimia Fakultas Sains dan Teknologi UIN Syarif Hidayatullah,nurhasanah_12@yahoo.co.id,[{'type': 'pub'}],,,,,
9,2014-05-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6547,"Ciliwung is one of important and big rivers running from West Java Province to Jakarta Bay.  Rapid development accompanied by high industrialization, enormous population growth, and increasing number of vehicle has increased hydrocarbon pollution risk. Polycyclic aromatic hydrocarbons (PAHs), one class of hydrocarbons, have an adverse effect on human health due to their high toxicity, mutagenic, carcinogenic and persistent in the environment.  The main objectives of this study were to identify and quantify of sedimentary PAHs of Ciliwung River in Jakarta.  Freeze-dried sediment sample was extracted with a pressurized fluid extraction, purified by two-step of column chromatography, and concentrated by rotary evaporator.  Extract was identified and quantified by gas chromatography-mass spectrometry (GC-MS).  The result showed relatively abundant alkyl PAHs, and a considerable amount of high molecular weight PAHs, suggesting the input of both petrogenic and pyrogenic sources. Concentration of PAHs detected ranged from  69,6 to 1415 ng/g where a total concentration of PAHs was 10.196 ng/g. The high concentration of PAHs is one indicator of organic pollutants in Ciliwung River.",,published,['QD'],8,pub,public,2018-02-28 08:24:44,,['FMIPA4'],disk0/00/00/65/47,2018-02-28 08:24:44,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19497', 'pos': 1, 'eprintid': 6547, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'filesize': 1115928, 'objectid': 19497, 'filename': 'Rinawati_Semirata IPB 2014.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/60496', 'hash_type': 'MD5', 'mtime': '2018-02-27 09:10:15', 'fileid': 60496, 'datasetid': 'document', 'hash': '3b0bf16a31c1a5197174ec2630969d83', 'mime_type': 'application/pdf'}], 'main': 'Rinawati_Semirata IPB 2014.pdf', 'docid': 19497}]",489,,show,2018-02-28 08:24:44,archive,6547,"IDENTIFIKASI DAN PENENTUAN KADAR HIDROKARBON POLISIKLIK AROMATIK (PAH) PADA SEDIMEN SUNGAI CILIWUNG 
(IDENTIFICATION AND DETERMINATION OF SEDIMENTARY POLYCYCLIC AROMATIC HYDROCARBONS (PAHS) IN CILIWUNG RIVER)",TRUE,conference_item,"[{'id': 'rinawati@fmipa.unila.ac.id', 'name': {'family': 'Rinawati', 'lineage': None, 'honourific': None, 'given': 'Rinawati'}}, {'name': {'given': 'Hideshige', 'lineage': None, 'family': 'Takada', 'honourific': None}, 'id': 'shige@cc.tuat.ac.jp'}]",,https://drive.google.com/drive/folders/0B1QyMl32aMpWfjZSbTc3bnFGWFhSZW10a2UxbURvYk9EZTNMWXpXOHdfbkVQcGI0dWtZTWs,73-78,,,,,,,paper,9-11 Mei 2014,IPB,conference,"Semirata Bidang MIPA BKS PTN Barat, Bogor"
