,userid,lastmod,documents,datestamp,eprintid,eprint_status,metadata_visibility,type,creators,title,uri,date,date_type,subjects,full_text_status,status_changed,ispublished,rev_number,publisher,dir,divisions,official_url,issn,projects,abstract,refereed,pagerange,id_number,number,funders,publication,volume,place_of_pub
0,703,2021-09-23 09:20:32,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'filesize': 1741315, 'objectid': 154617, 'uri': 'http://repository.lppm.unila.ac.id/id/file/402830', 'filename': '11.pdf', 'hash_type': 'MD5', 'mtime': '2021-09-23 05:56:40', 'datasetid': 'document', 'fileid': 402830, 'hash': '2e2f5746b0c697686a1ff1fa2676406a', 'mime_type': 'application/pdf'}], 'main': '11.pdf', 'docid': 154617, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154617', 'pos': 1, 'eprintid': 34140, 'placement': 1}]",2021-09-23 09:20:32,34140,archive,show,other,"[{'id': 'hendri.busman@fmipa.unila.ac.id', 'name': {'given': 'Busman', 'family': 'Hendri', 'lineage': None, 'honourific': None}}]",Peer Review Jurnal : Abnormalitas Morfologi Fetus Mencit Mus Musculus L. Setelah Pemberian Ekstrak Etanol Suruhan Peperomia Pellucida L. Kunth,http://repository.lppm.unila.ac.id/id/eprint/34140,2021-05-01 00:00:00.000000000,published,"['Q1', 'R1']",public,2021-09-23 09:20:32,pub,8,LPPM Sekolah Tinggi Ilmu Kesehatan Kendal,disk0/00/03/41/40,['FMIPA5'],,,,,,,,,,,,
1,703,2021-09-23 01:20:28,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': '1.HENDRI B-IJPRAS-jan 2021.pdf', 'docid': 154579, 'files': [{'objectid': 154579, 'filesize': 956336, 'filename': '1.HENDRI B-IJPRAS-jan 2021.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/402489', 'hash_type': 'MD5', 'mtime': '2021-09-22 13:17:36', 'datasetid': 'document', 'fileid': 402489, 'hash': 'cc0d3ab9956b66ca58f086000d4a6983', 'mime_type': 'application/pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/154579', 'security': 'public', 'placement': 1, 'eprintid': 34100}]",2021-09-23 01:20:28,34100,archive,show,other,"[{'name': {'family': 'Hendri', 'lineage': None, 'honourific': None, 'given': 'Busman'}, 'id': 'hendri.busman@fmipa.unila.ac.id'}]",Similarity Check Result Artikel Jurnal : Antiestrogenic Potential of Turmeric Rhizomes Extract to Decrease Weight and Uterine Diameters on Rats,http://repository.lppm.unila.ac.id/id/eprint/34100,2021-02-01 00:00:00.000000000,published,['QK'],public,2021-09-23 01:20:28,pub,7,IJPRAS,disk0/00/03/41/00,['FMIPA5'],https://doi.org/10.51847/87VzQK5,,,,,,,,,,,
2,876,2021-05-24 04:41:46,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Makalah Hibah Pasca 2020.pdf', 'docid': 137563, 'files': [{'mime_type': 'application/pdf', 'hash': '6aefcefbe6f2b9fb75aafb4921a03f02', 'fileid': 362249, 'datasetid': 'document', 'mtime': '2021-05-24 02:48:40', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/362249', 'filename': 'Makalah Hibah Pasca 2020.pdf', 'filesize': 367495, 'objectid': 137563}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/137563', 'pos': 1, 'eprintid': 30562, 'placement': 1}]",2021-05-24 04:41:46,30562,archive,show,article,"[{'name': {'given': 'Khodijah U.F.', 'honourific': None, 'lineage': None, 'family': 'Murad'}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Nukmal', 'given': 'Nismah'}, 'id': 'nismah.nukmal@fmipa.unila.ac.id'}, {'id': None, 'name': {'honourific': None, 'family': 'Setyaningrum', 'lineage': None, 'given': 'Endah'}}]",The effect of storage time on the raw material of insecticide candidate from gamal leaves (Gliricidia maculata) on the toxicities stability to control mealybug,http://repository.lppm.unila.ac.id/id/eprint/30562,1970-01-01 00:00:00.000002021,published,['QL'],public,2021-05-24 04:41:46,pub,10,IOP Publishing Ltd,disk0/00/03/05/62,['FMIPA5'],https://iopscience.iop.org/article/10.1088/1755-1315/739/1/012075,doi:10.1088/1755-1315/739/1/012075,['Hibah Pascasarjana Unila 2020'],"The purpose of this study to evaluate the effect of storage time on the persentage of yield extract and toxicity stability of Gamal leaves (Gliricidia maculata) powder to control mealybugs. The gamal leaves were colected form three different cultivars (North Lampung, West Lampung, and Pringsewu). The leaves powder was stored in the freezer (-4 oC) during 12 and 24 months. The powder storaged was macerated with methanol and aqudest, then concentrated by rotary vacuum evaporator to yield the crute exstract (paste), the paste was used for bioassay to mealybugs with residual effect methode. The result shows that the storage time of the powder   raw material of insecticide candidate from G. maculata leaves for 12 -24 months does not significantly affect to the stability of the toxicity and persentage paste yield. But the long time of storege culd be decrese the toxicyty effectiveness and persentage paste yield gained",TRUE,1-6,IOP Conf. Ser.: Earth Environ. Sci. 739 012075,1.0,['BLU Unila 2020'],IOP Conf. Series: Earth and Environmental Science 739,739.0,
3,965,2021-05-03 01:22:59,"[{'format': 'text', 'main': '2020 P revni sumardi.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '84edc615353fee61c7936b5a56f753c5', 'fileid': 264197, 'datasetid': 'document', 'mtime': '2021-05-02 22:50:07', 'hash_type': 'MD5', 'filename': '2020 P revni sumardi.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/264197', 'filesize': 1096413, 'objectid': 44077}], 'docid': 44077, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 29876, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/44077', 'pos': 1}]",2021-05-03 01:22:59,29876,archive,show,article,"[{'id': None, 'name': {'lineage': None, 'family': 'Putri', 'honourific': None, 'given': 'Revni'}}, {'id': 'sumardi_bio@yahoo.co.id', 'name': {'given': 'Sumardi', 'honourific': None, 'lineage': None, 'family': 'Sumardi'}}, {'id': 'bambang.irawan@fmipa.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Irawan', 'given': 'Bambang'}}, {'id': 'rochmah.agustrina@fmipa.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Agustrina', 'given': 'Rochmah'}}, {'name': {'honourific': None, 'family': 'Tugiyono', 'lineage': None, 'given': 'Tugiyono'}, 'id': 'tugiyono.1964@fmipa.unila.ac.id'}]","Isolation and properties of ammonia-oxidizing bacteria from mangrove sediment, hanura lampung beach",http://repository.lppm.unila.ac.id/id/eprint/29876,2021-01-27 00:00:00.000000000,published,['QR'],public,2021-05-03 01:22:59,pub,12,IOP Publishing,disk0/00/02/98/76,['FMIPA5'],https://iopscience.iop.org/article/10.1088/1742-6596/1751/1/012054,Print : 1742-6588 Online : 1742-6596,,"Mangrove forest area is an area that has good water quality. In the sediments of
mangrove forests, there are many types of microbes capable of bioremediating inorganic
contaminants such as ammonia and the heavy metal mercury. Isolation of bacteria was carried
out using specific nitrification media to obtain ammonia-oxidizing bacteria. The sensitivity test
for heavy metal mercury was carried out in the laboratory with 9 combinations of
concentrations. The results of bacterial isolation from mangrove forest sediments at Hanura
Beach, Lampung, obtained four isolates of ammonia-oxidizing bacteria (A1, A1P, A3, and
A3P). The sensitivity test for heavy metal mercury showed that the four isolates obtained were
able to survive the addition of heavy metal mercury by 0.003 g / L.",TRUE,012054-012054,,12054.0,,Journal of Physics: Conference Series,1751.0,
4,824,2021-10-11 09:34:59,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Carbon stock estimation of LMC.pdf', 'docid': 155005, 'files': [{'hash': '4eadfc373d2e77b4b95f2f6a2d7024c2', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 405673, 'mtime': '2021-10-11 09:10:39', 'hash_type': 'MD5', 'filename': 'Carbon stock estimation of LMC.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/405673', 'filesize': 639116, 'objectid': 155005}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/155005', 'security': 'public', 'placement': 1, 'eprintid': 34488}]",2021-10-11 09:34:59,34488,archive,show,article,"[{'id': None, 'name': {'given': 'Carina', 'honourific': None, 'lineage': None, 'family': 'Salsabilli Rh'}}, {'id': 'elwidi@yahoo.com', 'name': {'given': 'E.L.', 'lineage': None, 'family': 'Widiastuti', 'honourific': None}}, {'id': 'sri_wahyu@yahoo.com', 'name': {'family': 'Wahyuningsih', 'lineage': None, 'honourific': None, 'given': 'S.'}}]","Carbon Stock Estimation Due to Changes in Mangrove 
Labuhan Maringgai District, East Lampung Regency",http://repository.lppm.unila.ac.id/id/eprint/34488,2021-06-01 00:00:00.000000000,,['QK'],public,2021-10-11 09:34:59,pub,8,Atlantis Press,disk0/00/03/44/88,['FMIPA5'],,,,"The damage to the mangrove ecosystem in Margasari Village District of Labuhan Maringgai, East Lampung 
Regency was predicted to reduce the estimated carbon stocks in the ecosystem. This research aims to 
determine the influence of the functioning of the mangrove ecosystem on the total biomass, estimated stored 
carbon, organic carbon, sediment and leaf litters in the mangrove of Margasari Village, District of Labuhan 
Maringgai, East Lampung Regency. The method used in this research was field collection from observation 
plot, carbon data collection was non-destructive, data retrieval for carbon were from leaf litters and sediment 
and were analyzed for organic carbon content with spectrophotometer. The results showed that there was a 
decrease in the carbon deposits in the mangrove stand (stem) and leaf litters in year 2020 compared those 
calculated in 2016 with the estimated carbon deposited in the mangrove stand (stem) as much 144.142 
tons/ha, for the value of estimated carbon stored in the leaf litters was 1.35 tons/ha and stored carbon in the 
sediment of 3.390 tons/ha. While the average content of C-organic (%) of sediment was 5.33% and of leaf 
litters was 5.49%.
Keywords: Mangrove, Carbon stock, ecosystem, spectrophotometer, Margasari, Labuhan Maringgai",TRUE,,,,,Advances in Engineering Research,202.0,
5,965,2022-08-31 01:44:29,"[{'format': 'text', 'main': 'Perbaikan bukti coresponding-1.pdf', 'docid': 166447, 'files': [{'hash_type': 'MD5', 'mtime': '2022-08-31 01:01:42', 'filesize': 569925, 'objectid': 166447, 'filename': 'Perbaikan bukti coresponding-1.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/481905', 'fileid': 481905, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'e612721719303285a7e602b1c168d41c'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 44575, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/166447', 'pos': 1}]",2022-08-31 01:44:29,44575,archive,show,other,"[{'name': {'given': 'Sumardi', 'lineage': None, 'family': 'Sumardi', 'honourific': None}, 'id': 'sumardi_bio@yahoo.co.id'}]","Bukti coresponding jurnal internasional, judul artikel : Halotolerant Bacillus sp. for Mannan Degradation
Isolated from Mangrove Ecosystem at Hanura Beach
Lampung",http://repository.lppm.unila.ac.id/id/eprint/44575,1970-01-01 00:00:00.000002021,published,['QR'],public,2022-08-31 01:44:29,pub,8,J Pure Appl Microbiol,disk0/00/04/45/75,['FMIPA5'],http://repository.lppm.unila.ac.id/,,,"Bukti coresponding jurnal internasional, judul artikel : Halotolerant Bacillus sp. for Mannan Degradation
Isolated from Mangrove Ecosystem at Hanura Beach
Lampung",,,,,,,,
6,965,2022-08-31 01:44:32,"[{'placement': 1, 'eprintid': 44576, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166448', 'security': 'public', 'main': 'Perbaikan bukti coresponding-2.pdf', 'docid': 166448, 'files': [{'hash_type': 'MD5', 'mtime': '2022-08-31 01:13:00', 'filesize': 1566132, 'objectid': 166448, 'filename': 'Perbaikan bukti coresponding-2.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/481913', 'datasetid': 'document', 'fileid': 481913, 'mime_type': 'application/pdf', 'hash': 'f3d896e1d587b406fbd1bd060f4cdb2e'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2022-08-31 01:44:32,44576,archive,show,other,"[{'id': 'sumardi_bio@yahoo.co.id', 'name': {'given': 'Sumardi', 'family': 'Sumardi', 'lineage': None, 'honourific': None}}]","Bukti coresponding jurnal internasional, judul artikel :PROBIOTIC CANDIDATE PROTEOLYTIC Bacillus sp. COLLECTED
FROM MANGROVE OF MARGASARI, LAMPUNG",http://repository.lppm.unila.ac.id/id/eprint/44576,1970-01-01 00:00:00.000002021,published,['QR'],public,2022-08-31 01:44:32,pub,7,Indonesian Journal of Forestry Research,disk0/00/04/45/76,['FMIPA5'],http://repository.lppm.unila.ac.id/,,,"Bukti coresponding jurnal internasional, judul artikel :PROBIOTIC CANDIDATE PROTEOLYTIC Bacillus sp. COLLECTED
FROM MANGROVE OF MARGASARI, LAMPUNG",,,,,,,,
7,965,2022-09-06 01:26:35,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/166679', 'pos': 1, 'eprintid': 44790, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'mtime': '2022-09-05 22:38:56', 'hash_type': 'MD5', 'filename': 'Perbaikan % similarity Isolation and Characterization of BFA.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/483553', 'objectid': 166679, 'filesize': 547859, 'hash': '39143784a065df8994da4facef036bb8', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 483553}], 'main': 'Perbaikan % similarity Isolation and Characterization of BFA.pdf', 'docid': 166679}]",2022-09-06 01:26:35,44790,archive,show,other,"[{'name': {'honourific': None, 'family': 'Sumardi', 'lineage': None, 'given': 'Sumardi'}, 'id': 'sumardi_bio@yahoo.co.id'}]",Isolation and Characterization of Anoxygenic Photosynthetic Bacteria for Reducing Ammonia and Probiotics candidate,http://repository.lppm.unila.ac.id/id/eprint/44790,1970-01-01 00:00:00.000002021,published,['QR'],public,2022-09-06 01:26:35,pub,9,Asian Journal of Scientific Research,disk0/00/04/47/90,['FMIPA5'],http://repository.lppm.unila.ac.id/,,,Isolation and Characterization of Anoxygenic Photosynthetic Bacteria for Reducing Ammonia and Probiotics candidate,,,,,,,,Pakistan
8,965,2022-09-21 01:51:30,"[{'docid': 166973, 'main': 'Perbaikan % similarity Potentially lactic acid - UNS.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '581894f2a7a5a81b192ec2fb71f656e5', 'fileid': 485609, 'datasetid': 'document', 'mtime': '2022-09-20 08:16:26', 'hash_type': 'MD5', 'filename': 'Perbaikan % similarity Potentially lactic acid - UNS.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/485609', 'objectid': 166973, 'filesize': 455139}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 45053, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/166973', 'security': 'public'}]",2022-09-21 01:51:30,45053,archive,show,other,"[{'id': 'sumardi_bio@yahoo.co.id', 'name': {'honourific': None, 'family': 'Sumardi', 'lineage': None, 'given': 'Sumardi'}}]",Similarity cek jurnal: Potentially lactic acid bacteria as an EPS producing starter from yellow sweet potato fermentation,http://repository.lppm.unila.ac.id/id/eprint/45053,1970-01-01 00:00:00.000002021,published,['QR'],public,2022-09-21 01:51:30,pub,7,Biodiversitas - UNS,disk0/00/04/50/53,['FMIPA5'],,,,Similarity cek jurnal: Potentially lactic acid bacteria as an EPS producing starter from yellow sweet potato fermentation,,,,,,,,
9,824,2021-06-10 03:12:06,"[{'placement': 1, 'eprintid': 32476, 'uri': 'http://repository.lppm.unila.ac.id/id/document/147425', 'pos': 1, 'security': 'public', 'docid': 147425, 'main': 'IJFR.pdf', 'files': [{'datasetid': 'document', 'fileid': 384336, 'mime_type': 'application/pdf', 'hash': 'e68f621df025c725e559336816fe0b7f', 'filesize': 534004, 'objectid': 147425, 'filename': 'IJFR.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/384336', 'hash_type': 'MD5', 'mtime': '2021-06-10 02:36:57'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2021-06-10 03:12:06,32476,archive,show,article,"[{'id': 'sumardi_bio@yahoo.co.id', 'name': {'given': 'Sumardi', 'lineage': None, 'family': 'Sumardi', 'honourific': None}}, {'id': None, 'name': {'given': 'Komang', 'honourific': None, 'family': 'Rima', 'lineage': None}}, {'id': 'alfarisi.mdr@gmail.com', 'name': {'given': 'Salman', 'honourific': None, 'lineage': None, 'family': 'Farisi'}}, {'name': {'family': 'Widiastuti', 'lineage': None, 'honourific': None, 'given': 'E.L.'}, 'id': 'elwidi@yahoo.com'}]","PROBIOTIC CANDIDATE PROTEOLYTIC Bacillus sp. COLLECTED 
FROM MANGROVE OF MARGASARI, LAMPUNG",http://repository.lppm.unila.ac.id/id/eprint/32476,2021-04-01 00:00:00.000000000,,['SH'],public,2021-06-10 03:12:06,pub,6,,disk0/00/03/24/76,['FMIPA5'],,2355-7079,,"PROBIOTIC CANDIDATE PROTEOLYTIC Bacillus sp. COLLECTED FROM MANGROVE OF 
MARGASARI, LAMPUNG. Intensive shrimp culture has encountered many problems, such as declining 
water quality through disease caused by pathogenic microbes, which affected mortality. This study aimed to 
determine any potential probiotic from Bacillus sp. collected from mangrove in East Lampung, which could 
be used to improve the cultured shrimps' proteolytic and probiotic activity. This is a descriptive research 
with sampling and data collection of bacteria from many samples of mangrove. Result shows 128 isolates 
Bacillus from which then it has arrived at five potential probiotic Bacillus sp. The study five Bacillus sp. has 
been isolated with potential properties for probiotic (KPP212, IP121, UJ131, UJ132, SB141). Each isolate 
has characteristics with proteolytic property, growth in a wide range of pH 4–10 and osmotic stress (0–6% 
NaCl), non-pathogenic, ability for glucose fermentation, non-motile, and has negative catalase activity. The 
five potential Bacillus sp. can be used as probiotics for shrimp farming.",FALSE,73-84,,1.0,,Indonesian Journal of Forestry Research,8.0,
