,subjects,date_type,date,uri,volume,abstract,publisher,divisions,publication,dir,rev_number,ispublished,status_changed,issn,full_text_status,pagerange,metadata_visibility,eprintid,eprint_status,datestamp,documents,lastmod,official_url,number,userid,refereed,title,type,creators,contact_email,event_title,event_type,pres_type,event_dates,event_location
0,['QA'],published,2009-11-16 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/8597,1.0,"Tree merupakan salah satu bentuk graf yang banyak digunakan untuk merepresentasikan masalah dalam
kehidupan sehari-hari, terutama dalam desain jaringan. Untuk merepresentasikan suatu tree terdapat
beberapa teknik atau kode yang digunakan antara lain dengan kode Prufer, kode  blob, kode grey, kode
happy, dan kode dandelion. Dalam tulisan ini akan didiskusikan bagaimana cara mengkonstruksi suatu 
tree, khususnya tree berarah dari kode dandelion.",Fak. Mipa Universitas Lampung,['FMIPA9'],"Seminar Nasional Sains, Matematika, Informatika dan  Aplikasinya VI UNILA",disk0/00/00/85/97,6,pub,2018-08-03 07:37:05,2086-2342,public,177-184,show,8597,archive,2018-08-03 07:37:05,"[{'placement': 1, 'eprintid': 8597, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21650', 'pos': 1, 'security': 'public', 'main': 'MENGKONSTRUKSI TREE DENGAN MENGGUNAKAN KODE DANDELION.pdf', 'files': [{'datasetid': 'document', 'fileid': 84132, 'mime_type': 'application/pdf', 'hash': '1dfbca63af1ba1262fae0a8ec79124d5', 'hash_type': 'MD5', 'mtime': '2018-07-09 05:05:27', 'filesize': 147008, 'objectid': 21650, 'uri': 'http://repository.lppm.unila.ac.id/id/file/84132', 'filename': 'MENGKONSTRUKSI TREE DENGAN MENGGUNAKAN KODE DANDELION.pdf'}], 'docid': 21650, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2018-08-03 07:37:06,http://www.unila.ac.id/~mipa/,1.0,791,TRUE,MENGKONSTRUKSI TREE DENGAN MENGGUNAKAN KODE DANDELION,article,"[{'name': {'family': 'Amalia', 'lineage': None, 'honourific': None, 'given': 'Suci Nur'}, 'id': None}, {'id': '.', 'name': {'given': 'Akmal', 'lineage': None, 'family': 'Junaidi', 'honourific': None}}]",,,,,,
1,['QA'],published,2009-11-14 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6746,1.0,"Udang merupakan salah satu komoditi ekspor hasil perikanan yang diekspor dari Provinsi Lampung. Produksi udang yang dihasilkan dari budidaya di tambak tidak terlepas dari kualitas udang yang dihasilkan. Untuk menghasilkan udang yang berkualitas diperlukan pakan buatan yang baik yang memenuhi kebutuhan nutrisi udang yang diplihara. Pabrik pakan yang mensuplai pakan buatan belum banyak dikaji dalam hal manajemennya. Bokau dkk. (2007) memberikan model matematika pakan udang, khususnya pada bahan baku yang digunakan. Akan tetapi, belum ada informasi yang bersifat komprehensif yang memuat sistem produksi pakan udang. Dalam tulisan ini didiskusikan tentang desain model matematika untuk optimasi input produksi pakan udang, agar dapat dicapai optimalitas produksi.",Intitut Pertanian Bogor,['FMIPA9'],Prosiding Seminar Nasional Sains II,disk0/00/00/67/46,6,pub,2018-04-25 08:01:13,978-979-95093-5-2,public,390-399,show,6746,archive,2018-04-25 08:01:13,"[{'main': 'Desain Model Matematika untuk Optimisasi......pdf', 'docid': 19712, 'files': [{'mtime': '2018-04-19 03:35:17', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/61914', 'filename': 'Desain Model Matematika untuk Optimisasi......pdf', 'filesize': 1153428, 'objectid': 19712, 'mime_type': 'application/pdf', 'hash': '43facf39529f58ee1568a13a444b196d', 'datasetid': 'document', 'fileid': 61914}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 6746, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19712', 'security': 'public'}]",2018-04-25 08:01:13,http://fmipa.ipb.ac.id,1.0,791,TRUE,DESAIN MODEL MATEMATIKA UNTUK OPTIMASI INPUT PRODUKSI PAKAN UDANG PUTIH (Litopenaeus vannamei),article,"[{'name': {'given': 'Rietje', 'lineage': None, 'family': 'Bokau', 'honourific': None}, 'id': None}, {'name': {'given': 'Wamiliana', 'family': 'Wamiliana', 'lineage': None, 'honourific': None}, 'id': 'wamiliana@gmail.com'}]",,,,,,
2,['QA'],published,2009-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/1316,15.0,"Let R be a ring, (S , . , ≤ ) a strictly ordered monoid and  : S  End (R ) a monoid homomorphism.  Constructed  R[[S , ]] , i.e., the set of all functions from S to R whose support is artinian and narrow.  With pointwise addition and the skew convolution multiplication,  R[[S, ]] becomes a ring called the skew generalized power  series  rings.   In this  research, we will  investigate about  homomorphism of   skew generalized power series rings.",FMIPA Universitas Lampung,['FMIPA9'],Jurnal Sains MIPA,disk0/00/00/13/16,8,pub,2016-12-15 01:06:26,1978-1873,public,119-124,show,1316,archive,2016-12-15 01:06:26,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1190', 'pos': 1, 'eprintid': 1316, 'placement': 1, 'content': 'published', 'rev_number': 3, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 1190, 'main': 'HOMOMORFISMA RING DERET PANGKAT TERITLAK MIRING  J.Sains MIPA UNILA', 'files': [{'hash': '7ed63998a3fe3893a0e45ee185a529af', 'mime_type': 'application/pdf', 'fileid': 8822, 'datasetid': 'document', 'mtime': '2016-12-14 06:09:14', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/8822', 'filename': 'HOMOMORFISMA RING DERET PANGKAT TERITLAK MIRING  J.Sains MIPA UNILA', 'objectid': 1190, 'filesize': 96623}]}]",2016-12-15 01:06:26,http://jurnal.fmipa.unila.ac.id/index.php/sains/article/view/345/pdf,2.0,300,TRUE,HOMOMORFISMA RING DERET PANGKAT TERITLAK MIRING,article,"[{'name': {'given': 'Ahmad', 'honourific': None, 'lineage': None, 'family': 'Faisol'}, 'id': 'faisol_mathunila@yahoo.co.id'}]",,,,,,
3,['QA'],published,2009-11-16 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6779,1.0,"sudoku merupakan teka-teki logika yang menggunakan angka sebagai simbol, memiliki bentuk dan model permasalahan yang cukup menarik untuk dikaji. Salah satu teknik yang dapat digunakan dalam penyelesaian Sudoku adalah mengguanakan Teknik Eliminasi dan Teknik Penelusuran Terkaan (Tracking Guess). Teknik penelusuran terkaan yang digunakan adalah metode jejak maju (Forward Tracking) yang biasa digunakan dalam penyelesaian komputasi pararel. Salah satu ide atau konsep yang dapat digunakan untuk melakukan forward tracking tersebut adalah menggunakan konsep dari Kage Bunshin Ninjutshu yang ada dalam cerita fiksi animasi Manga Naruto karangan Masashi Kisimoto.",Fak. Mipa Universitas Lampung,['FMIPA9'],"Seminar Nasional Sains, Matematika, Informatika dan  Aplikasinya",disk0/00/00/67/79,6,pub,2018-04-25 07:50:29,2086-2342,public,35-43,show,6779,archive,2018-04-25 07:50:29,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Penyelesaian Permainan Sudoku Berbasis 9 x 9 Menggunakan Algoritma Eliminasi dan Tracking Guess Kage Bunshin.pdf', 'docid': 19748, 'files': [{'mtime': '2018-04-20 04:02:56', 'hash_type': 'MD5', 'filename': 'Penyelesaian Permainan Sudoku Berbasis 9 x 9 Menggunakan Algoritma Eliminasi dan Tracking Guess Kage Bunshin.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62120', 'objectid': 19748, 'filesize': 1115849, 'hash': '64b154915e7dfbd03eab38ab20192fa5', 'mime_type': 'application/pdf', 'fileid': 62120, 'datasetid': 'document'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19748', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 6779}]",2018-04-25 07:50:29,http://unila.ac.id/~mipa/,1.0,791,TRUE,PENYELESAIAN PERMAINAN SUDOKU BERBASIS 9X9 MENGGUNAKAN ALGORITMA ELIMINASI DAN TRACKING GUESS KAGE BUNSHIN,article,"[{'id': None, 'name': {'lineage': None, 'family': 'Hariaputra', 'honourific': None, 'given': 'Bima'}}, {'name': {'lineage': None, 'family': 'Wamiliana', 'honourific': None, 'given': 'Wamiliana'}, 'id': 'wamiliana@gmail.com'}, {'name': {'given': 'Dian', 'honourific': None, 'family': 'Kurniasari', 'lineage': None}, 'id': 'dksari13@gmail.com'}]",,,,,,
4,['HA'],published,1970-01-01 00:00:00.000002009,http://repository.lppm.unila.ac.id/id/eprint/8663,,,Lembaga Penelitian Universitas LAmpung,['FMIPA9'],Prosiding Seminar Hasil-Hasil Penelitian Universitas Lampung 2009,disk0/00/00/86/63,8,pub,2018-08-03 07:38:45,ISBN 978-979-8510-07-6,restricted,,show,8663,archive,2018-08-03 07:38:45,"[{'placement': 1, 'license': 'cc_by_nc', 'eprintid': 8663, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21733', 'security': 'validuser', 'main': 'Eko%20Pramono_B-12-18.pdf', 'files': [{'datasetid': 'document', 'fileid': 84563, 'mime_type': 'application/pdf', 'hash': 'e6cf871a152533182ec85dbe821b94d2', 'objectid': 21733, 'filesize': 730111, 'filename': 'Eko%20Pramono_B-12-18.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/84563', 'hash_type': 'MD5', 'mtime': '2018-07-19 03:07:58'}], 'docid': 21733, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 7}]",2018-08-03 07:38:45,http://repository.lppm.unila.ac.id/1488/3/Eko%20Pramono_B-12-18.pdf,,959,TRUE,BENTUK KUADRATIK JUMLAH KUADRAT DAN KOMPONEN RAGAM RANCANGAN · TERSARANG DUA TAHAP MODEL ACAK,article,"[{'id': 'netti.herawati@fmipa.unila.ac.id', 'name': {'given': 'Netti', 'honourific': None, 'lineage': None, 'family': 'Herawati'}}, {'name': {'given': 'Alfian Futuhul', 'lineage': None, 'family': 'Hadi', 'honourific': None}, 'id': 'afhadi@unej.ac.id'}]",,,,,,
5,['HA'],published,2009-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/2373,10.0,"Abstract

This article aimed to study about knot and confidence interval for health science using spline nonparameteric regression.The study used simulation and real data. The result showed that numbers of knot should be placed according to the quantil variable in order to get a good estimation of the data function. Inadditon,confidence interval using bayesian and bootstrap method gave no different result for a small sample size whereas for a big sample size bootstrap gave narrower interval.",UNEJ,['FMIPA9'],Jurnal Ilmu Dasar,disk0/00/00/23/73,8,pub,2017-06-02 02:45:13,2442-5613,restricted,62-67,show,2373,archive,2017-06-02 02:45:13,"[{'security': 'validuser', 'uri': 'http://repository.lppm.unila.ac.id/id/document/2244', 'pos': 1, 'eprintid': 2373, 'placement': 1, 'content': 'published', 'mime_type': 'text/html', 'language': 'en', 'rev_number': 5, 'format': 'text', 'date_embargo': '2020-01', 'main': 164, 'files': [{'mime_type': 'text/html', 'hash': '4fbc07530605685eca0a13aba1962acd', 'fileid': 16390, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/16390', 'filename': 164, 'objectid': 2244, 'filesize': 12967, 'mtime': '2017-05-31 03:47:55', 'hash_type': 'MD5'}], 'docid': 2244}]",2017-06-02 02:45:13,http://Jurnal.UNEJ.ac.id/Index.php/JID/article/view/62,1.0,959,TRUE,"Abstract

This article aimed to study about knot and confidence interval for health science using spline nonparameteric regression.The study used simulation and real data. The result showed that numbers of knot should be placed according to the quantil variable in order to get a good estimation of the data function. Inadditon,confidence interval using bayesian and bootstrap method gave no different result for a small sample size whereas for a big sample size bootstrap gave narrower interval.",article,"[{'name': {'honourific': None, 'family': 'Herawati', 'lineage': None, 'given': 'Netti'}, 'id': 'netti.herawati@fmipa.unila.ac.id'}, {'id': 'khoirin.nisa@fmipa.unila.ac.id', 'name': {'given': 'Khoirin', 'lineage': None, 'family': 'Nisa', 'honourific': None}}]",netti.herawati@fmipa.unila.ac.id,,,,,
6,"['H1', 'HA']",published,1970-01-01 00:00:00.000002009,http://repository.lppm.unila.ac.id/id/eprint/3456,10.0,"This article aimed to study kernel method for testing normality and to determine the density function based on
curve fitting technique (density plot) for small sample sizes. To obtain optimal bandwith we used Kullback-
Leibler cross validation method. We compared the result using goodness of fit test by Kolmogorof Smirnov test
statistics. The result showed that kernel method gave the same performance as Kolmogorof Smirnov for testing
normality but easier and more convinient than Kolmogorof Smirnov does.",,['FMIPA9'],ILMU DASAR,disk0/00/00/34/56,7,pub,2017-06-12 02:07:36,,public,62-67,show,3456,archive,2017-06-12 02:07:36,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 3328, 'main': 'Testing_Normality_and_ ILMU DASAR.pdf', 'files': [{'datasetid': 'document', 'fileid': 23946, 'mime_type': 'application/pdf', 'hash': '0fd8e2a69dab308e7208e539b09bd2e0', 'hash_type': 'MD5', 'mtime': '2017-06-06 05:43:04', 'filesize': 325464, 'objectid': 3328, 'uri': 'http://repository.lppm.unila.ac.id/id/file/23946', 'filename': 'Testing_Normality_and_ ILMU DASAR.pdf'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/3328', 'pos': 1, 'eprintid': 3456, 'placement': 1}]",2017-06-12 02:07:36,,1.0,644,TRUE,"Testing Normality and Bandwith Estimation Using Kernel Method
For Small Sample Size",article,"[{'id': 'netti.herawati@fmipa.unila.ac.id', 'name': {'given': 'Netti', 'lineage': None, 'family': 'Herawati', 'honourific': None}}, {'name': {'given': 'Khoirin', 'honourific': None, 'lineage': None, 'family': 'Nisa'}, 'id': 'khoirin.nisa@fmipa.unila.ac.id'}]",,,,,,
7,['QA'],published,2009-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6745,14.0,"Given one center already set, The multi period degree constrained minimum spanning tree problem (MPDCMST) is a problem of determining how many vertices (can be computers, cities, and so on) should be installed in a certain period in such a way so that the cost of installation is minimum. After all the periods done, all of the vertices must be in the network, and still the cost of installation must be the minimum. In addition, the network itself has a degree restriction in every vertex which limits the number of links that incident to. in this paper we will discuss the algorithm we have developed and give results on 600 random table data.",FMIPA Universitas Lampung,['FMIPA9'],Jurnal Sains MIPA,disk0/00/00/67/45,6,pub,2018-04-25 08:01:23,1978-1873,public,1-6,show,6745,archive,2018-04-25 08:01:23,"[{'format': 'text', 'main': 'Computational Aspects of Greedy Algorithm......pdf', 'files': [{'objectid': 19711, 'filesize': 731029, 'filename': 'Computational Aspects of Greedy Algorithm......pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/61908', 'hash_type': 'MD5', 'mtime': '2018-04-19 03:14:06', 'datasetid': 'document', 'fileid': 61908, 'hash': '0bdb2ddf6f54ef22dad62a85b6613fb7', 'mime_type': 'application/pdf'}], 'docid': 19711, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 6745, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19711', 'pos': 1}]",2018-04-25 08:01:23,,1.0,791,TRUE,COMPUTATIONAL ASPECTS OF GREEDY ALGORITHM FOR SOLVING THE MULTI PERIOD DEGREE CONSTRAINED MINIMUM SPANNING TREE PROBLEM,article,"[{'id': '.', 'name': {'family': 'Junaidi', 'lineage': None, 'honourific': None, 'given': 'Akmal'}}, {'id': 'wamiliana@gmail.com', 'name': {'family': 'Wamiliana', 'lineage': None, 'honourific': None, 'given': 'Wamiliana'}}, {'id': None, 'name': {'family': 'Sakethi', 'lineage': None, 'honourific': None, 'given': 'Dwi'}}, {'name': {'family': 'Baskoro', 'lineage': None, 'honourific': None, 'given': 'Edy Tri'}, 'id': None}]",,,,,,
8,['HA'],published,1970-01-01 00:00:00.000002009,http://repository.lppm.unila.ac.id/id/eprint/6616,,"The major objective of discriminant analysis is to classify multivariate data into different population on the basis of a training sampel for which the source populations are known. Since the primary goal of discriminant analysis is classifying data, it is important to know the probability of misclassification (which is also called: classification error rate) of the classification rule we use. In this paper we compared four methods for estimating the classification error rate through Monte Carlo simulation, the methods are the Resubstituion method, the Jackknife method, U estimator and U estimator. We set the simulation using 1000 random samples with size: n = 20, 40 and 60. The comparison of the predictions of error rate was done using the MSE (mean square error) resulted from all methods. Te result showed that the Jackknife method always performs better than the other three methods.",,['FMIPA9'],PROSIDING Seminar Sehari Hasil – Hasil Penelitian & Pengabdian Kepada Masyarakat Universitas Lampung,disk0/00/00/66/16,7,pub,2018-03-27 04:43:10,ISBN 978-979-8510-07-6,public,,show,6616,archive,2018-03-27 04:43:10,"[{'eprintid': 6616, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19575', 'format': 'text', 'main': 'Nisa 2009.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/61030', 'filename': 'Nisa 2009.pdf', 'objectid': 19575, 'filesize': 553876, 'mtime': '2018-03-16 06:55:19', 'hash_type': 'MD5', 'hash': 'a53c3f756f42e9786e7de2424bbf02fd', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 61030}], 'docid': 19575, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2018-03-27 04:43:10,,,644,TRUE,"PEMBANDINGAN BEBERAPA PENDUGA TINGKAT KESALAHAN KLASIFIKASI
PADA ANALISIS DISKRIMINAN KUADRATIK",article,"[{'id': 'khoirin.nisa@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Nisa', 'honourific': None, 'given': 'Khoirin'}}]",,,,,,
9,['QA'],published,2009-11-16 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/8599,1.0,"Pengintegralan numerik langsung dapat digunakan untuk mencari solusi periodik pada sistem
persamaan nerve impulses yang telah didiskusikan oleh FitzHugh (1961). Kondisi awal diiterasikan
sedemikian sehingga nilainya sama dengan kondisi akhir secara bersamaan. Interval waktu
integrasi yaitu perioda impuls juga dapat dimasukkan ke dalam iterasi. Pada makalah ini akan
dipaparkan shooting method untuk menentukan solusi periodik persamaan nerve impulses 
tersebut dan perilakunya berdasarkan simulasi.",Fak. Mipa Universitas Lampung,['FMIPA9'],"Seminar Nasional Sains, Matematika, Informatika dan  Aplikasinya VI UNILA",disk0/00/00/85/99,7,pub,2018-08-03 07:37:07,2086-2342,public,163-168,show,8599,archive,2018-08-03 07:37:07,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 21652, 'main': 'PENENTUAN SOLUSI PERIODIK PERSAMAAN NERVE-IMPULSES DENGAN MENGGUNAKAN SHOOTING METHOD.pdf', 'files': [{'fileid': 84144, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'ec298f1dc3ee61e818b07917c0ceefb6', 'hash_type': 'MD5', 'mtime': '2018-07-09 05:18:34', 'objectid': 21652, 'filesize': 386744, 'uri': 'http://repository.lppm.unila.ac.id/id/file/84144', 'filename': 'PENENTUAN SOLUSI PERIODIK PERSAMAAN NERVE-IMPULSES DENGAN MENGGUNAKAN SHOOTING METHOD.pdf'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/21652', 'security': 'public', 'placement': 1, 'eprintid': 8599}]",2018-08-03 07:37:07,http://www.unila.ac.id/~mipa/,1.0,163,TRUE,PENENTUAN SOLUSI PERIODIK PERSAMAAN NERVE-IMPULSES DENGAN MENGGUNAKAN SHOOTING METHOD,article,"[{'name': {'given': 'Aang', 'family': 'Nuryaman', 'lineage': None, 'honourific': None}, 'id': 'aangnuryaman@gmail.com'}]",,,,,,
