,divisions,publication,dir,full_text_status,status_changed,rev_number,ispublished,date_type,abstract,volume,date,uri,type,creators,title,refereed,datestamp,eprintid,eprint_status,metadata_visibility,userid,number,lastmod,documents,issn,publisher,corp_creators,subjects,official_url,pagerange,event_dates,pres_type,event_location,event_title,event_type,funders,contributors
0,['FMIPA9'],"IPTEK, The Journal for Technology and Science",disk0/00/00/02/93,public,2016-08-11 02:49:22,5,pub,published,"The main purpose of this article is to do approximations graphically and mathematically the four-parameter generalized log-logistic distribution, denoted by G4LL (α,β,m1,m2,to the one-parameter Chi-square distribution with υ degrees of freedom. In order to achieve this purpose, this article creates graphically the probability density functions of both distribution and derives mathematically the MGF of the both distributions. To prove the MGF of Chi-square as a special case of the MGF of G4LL distribution, we utilized an expansion of the MacLaurin series. The results show that graphically, the Chi-square distribution can be approximated by the generalized log-logistic distribution. Moreover, by letting α=1, β= -In(2m2), m1= v/2 dan m2→∞, the MGF of the G4LL distribution can be written in the form of the MGF of the Chi-square distribution. Thus, the Chi-square distribution is a limiting or special case distribution of the generalized log-logistic distribution.
Keywordschi-square distribution, generalized log-logistic distribution, moment generating function, MacLaurin series",25.0,2014-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/293,article,"[{'name': {'given': 'Warsono', 'family': None, 'lineage': None, 'honourific': None}}, {'name': {'given': 'Dian', 'honourific': None, 'family': 'Kurniasari', 'lineage': None}}]",Approximations of the Generalized Log-Logistic Distribution to the Chi-Square Distribution,TRUE,2016-08-11 02:49:22,293,archive,show,10,1.0,2016-08-11 02:49:22,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'Approximations of the Generalized Log-Logistic Distribution to the Chi-Square Distribution.pdf', 'docid': 286, 'files': [{'fileid': 1651, 'datasetid': 'document', 'hash': '70b21000de5a423be42e68d41772f1bc', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2016-08-10 04:33:50', 'objectid': 286, 'filesize': 547432, 'filename': 'Approximations of the Generalized Log-Logistic Distribution to the Chi-Square Distribution.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/1651'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/286', 'security': 'public', 'placement': 1, 'eprintid': 293}]",,,,,,,,,,,,,
1,['FMIPA9'],Biastatistics,disk0/00/03/80/60,public,2022-01-20 01:36:08,6,pub,published,Generalized log-logistic (GLL) distribution is a generalization of the log-logistic distribution with four parameters (,8.0,2014-02-28 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/38060,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Anni', 'given': 'Anni'}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Warsono', 'given': 'Warsono'}, 'id': 'klppm@kpa.unila.ac.id'}, {'id': 'dian.kurniasari@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Kurniasari', 'honourific': None, 'given': 'Dian'}}]",PENDEKATAN DISTRIBUSI LOG NORMAL DENGAN DISTRIBUSI GENERALIZED LOG-LOGISTIC (GLL) MELALUI DISTRIBUSI GENERALIZED GAMMA (GG),TRUE,2022-01-20 01:36:08,38060,archive,show,752,1.0,2022-01-20 01:36:08,"[{'format': 'text', 'docid': 159018, 'main': 'BIAStatistics Vol 8 No 1 (2).pdf', 'files': [{'datasetid': 'document', 'fileid': 432511, 'mime_type': 'application/pdf', 'hash': 'a3dc60acb90fe8662ace3c1c248e7343', 'hash_type': 'MD5', 'mtime': '2022-01-19 18:37:18', 'filesize': 796427, 'objectid': 159018, 'uri': 'http://repository.lppm.unila.ac.id/id/file/432511', 'filename': 'BIAStatistics Vol 8 No 1 (2).pdf'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 38060, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/159018', 'pos': 1}]",1907-6274,Jurusan Statistika FMIPA Universitas padjajaran,"['Universitas Lampung', 'Universitas Lampung', 'Universitas Lampung']",['QA'],http://biastatistics.statistics.unpad.ac.id/index.php/biastatistics/issue/archive,27-33,,,,,,,
2,['FMIPA9'],Far East Journal of Mathematical Sciences (FJMS),disk0/00/00/15/07,public,2017-04-06 01:40:32,9,pub,published,,93.0,1970-01-01 00:00:00.000002014,http://repository.lppm.unila.ac.id/id/eprint/1507,article,"[{'id': 'asmiati308@yahoo.com', 'name': {'given': 'Asmiati', 'lineage': None, 'family': 'Asmiati', 'honourific': None}}]",The locating-chromatic number of non-homogeneous amalgamation of stars,TRUE,2017-04-06 01:40:29,1507,archive,show,821,1.0,2017-04-06 01:40:32,"[{'eprintid': 1507, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1379', 'pos': 1, 'format': 'text', 'main': 'The locating-chromatic number of non homogeneous amalgamation of stars.pdf', 'docid': 1379, 'files': [{'objectid': 1379, 'filesize': 150799, 'uri': 'http://repository.lppm.unila.ac.id/id/file/10267', 'filename': 'The locating-chromatic number of non homogeneous amalgamation of stars.pdf', 'hash_type': 'MD5', 'mtime': '2017-04-05 07:08:12', 'fileid': 10267, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'abd9b4e969dfabf5b13007ca04635705'}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",0972-0871,Puspha Publishing House,,['QA'],http://www.pphmj.com,89-96,,,,,,,
3,['FMIPA9'],,disk0/00/00/13/21,public,2016-12-16 01:17:51,8,pub,published,"Misalkan G=(V,E)   adalah graf terhubung dan c suatu pewarnaan-k sejati dari G .  Misalkan pula Π={C_1,C_2,…,C_k} merupakan partisi dari V(G) yang diinduksi oleh pewarnaan c. Kode warna c_Π (v) dari v adalah koordinat (d(v,C_1 ),d(v,C_2 ),…,d(v,C_k)),  dengan d(v,C_i )=min⁡〖{d(v,x)|x ∈C_i}〗  untuk 1≤i≤k. Jika semua titik di G mempunyai kode warna berbeda, maka c disebut pewarnaan  lokasi.    Bilangan  kromatik  lokasi  dari G ,   dinotasikan  dengan χ_L (G)  adalah  bilangan  terkecil k sehingga G mempunyai  pewarnaan-k lokasi. Graf T_(k,m) adalah graf pohon yang hanya memiliki satu titik akar, yaitu x yang mempunyai k anak dan setiap anaknya mempunyai m daun.  Graf amalgamasi pohon nT_(k,m)  adalah  graf  yang  diperoleh  dari n buah  graf dengan  cara menyatukan titik x pada setiap graf tersebut. Pada paper ini akan dibahas graf amalgamasi 〖nT〗_(k,m) yang berbilangan kromatik lokasi empat.",,2014-06-11 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/1321,conference_item,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Asmiati', 'given': 'Asmiati'}, 'id': 'asmiati308@yahoo.com'}, {'id': 'fitriani_mathunila@yahoo.co.id', 'name': {'given': 'Fitriani', 'honourific': None, 'lineage': None, 'family': 'Fitriani'}}]",GRAF AMALGAMASI POHON BERBILANGAN KROMATIK LOKASI EMPAT,TRUE,2016-12-16 01:17:51,1321,archive,show,263,,2016-12-16 01:17:51,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1195', 'security': 'public', 'placement': 1, 'eprintid': 1321, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 1195, 'main': 'GRAF AMALGAMASI POHON BERBILANGAN Prosiding KNM 2014.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'db6691c9523e0e55c1d442ca921a0e87', 'fileid': 8862, 'datasetid': 'document', 'mtime': '2016-12-15 04:16:55', 'hash_type': 'MD5', 'filename': 'GRAF AMALGAMASI POHON BERBILANGAN Prosiding KNM 2014.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/8862', 'filesize': 1610253, 'objectid': 1195}], 'format': 'text'}]",,,,['QA'],http://www.knm17.its.ac.id/,1399-1408,11-14 Juni 2014,paper,Institut Teknologi Sepuluh Nopember,Konferensi Nasional Matematika (KNM) XVII,conference,,
4,['FMIPA9'],,disk0/00/01/86/69,public,2020-03-13 08:46:52,7,pub,published,Hasil Penilaian Sejawat Sebidang atau Peereveview Karya Ilmiah: Jurnal Ilmiah Internasional,,1970-01-01 00:00:00.000002014,http://repository.lppm.unila.ac.id/id/eprint/18669,other,"[{'id': 'dian.kurniasari@fmipa.unila.ac.id', 'name': {'given': 'Kurniasari', 'honourific': None, 'family': 'Dian', 'lineage': None}}]",Generalized Method of Moments' Characteristics and Its Application on Panel Data,,2020-03-13 08:46:52,18669,archive,show,752,,2020-03-13 08:46:52,"[{'docid': 31842, 'main': 'IS24% - A06 - GENERALIZED_METHOD_OF_MOMENTS__CHARACTERISTICS_AND.pdf', 'files': [{'hash': 'd4297ba0f71244360f0b295e14a262e7', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 156817, 'mtime': '2020-03-13 04:23:57', 'hash_type': 'MD5', 'filename': 'IS24% - A06 - GENERALIZED_METHOD_OF_MOMENTS__CHARACTERISTICS_AND.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/156817', 'filesize': 1919075, 'objectid': 31842}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 18669, 'uri': 'http://repository.lppm.unila.ac.id/id/document/31842', 'pos': 1, 'security': 'public'}]",,Science International (Lahore),,['AC'],,,,,,,,,
5,['FMIPA9'],Jurnal Matematika,disk0/00/00/13/15,public,2016-12-15 01:06:28,6,pub,published,"Given a ring R, a strictly ordered monoid (S,⋅,≤) and monoid homomorphism ω :S → End(R). Constructed the set of all function from S to R whose support is Artinian and narrow, with pointwise addition and the skew convolution multiplication, it becomes a ring called 
the skew generalized power series rings (SGPSR) and denoted by R[[S,ω,≤]]. A ring R is called reduced if it contains no nonzero nilpotent elements, reversible if for all r,s∈R, rs = 0 implies sr=0. Let µ : R → R be a ring endomorphism, if for r∈R, rµ(r)=0 implies r = 0, then µ is called rigid. In this paper, we will discuss about the constructing of SGPSR homomorphism. Beside that, we 
also discuss about rigid and compatible endomorphism on SGPSR R[[S,ω, ≤]].",17.0,2014-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/1315,article,"[{'id': 'faisol_mathunila@yahoo.co.id', 'name': {'given': 'Ahmad', 'family': 'Faisol', 'lineage': None, 'honourific': None}}]","ENDOMORFISMA RIGID DAN COMPATIBLE PADA  
RING DERET PANGKAT TERGENERALISASI MIRING",TRUE,2016-12-15 01:06:28,1315,archive,show,300,2.0,2016-12-15 01:06:28,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'docid': 1189, 'main': '12270-28112-1-PB_copy.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'cd3710577903215df17c3a2bafbe042f', 'datasetid': 'document', 'fileid': 8816, 'uri': 'http://repository.lppm.unila.ac.id/id/file/8816', 'filename': '12270-28112-1-PB_copy.pdf', 'filesize': 63165, 'objectid': 1189, 'mtime': '2016-12-14 05:54:40', 'hash_type': 'MD5'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1189', 'security': 'public', 'placement': 1, 'eprintid': 1315}]",1410-8518,"Fakultas Sains dan Matematika, Universitas Diponegoro",,['QA'],http://ejournal.undip.ac.id/index.php/matematika/article/view/12270/pdf,45-49,,,,,,,
6,['FMIPA9'],Jurnal MATEMATIKA,disk0/00/00/14/80,public,2017-03-24 14:38:31,7,pub,published,,17.0,1970-01-01 00:00:00.000002014,http://repository.lppm.unila.ac.id/id/eprint/1480,article,"[{'id': None, 'name': {'lineage': None, 'family': 'Hambali', 'honourific': None, 'given': 'Mohamad Ibnu'}}, {'id': 'wamiliana@gmail.com', 'name': {'lineage': None, 'family': 'Wamiliana', 'honourific': None, 'given': 'Wamiliana'}}, {'id': '.', 'name': {'given': 'Fitriani', 'lineage': None, 'family': 'Fitriani', 'honourific': None}}]","Persamaan Umum Jumlah Edge dan Titik pada Cycle Extension
Cubic Graph",TRUE,2017-03-24 14:38:31,1480,archive,show,7,3.0,2017-03-24 14:38:31,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 1351, 'main': 'Dengan keterangan - Persamaan Umum Jumlah Edge dan Titik pada Cycle Extension.pdf', 'files': [{'datasetid': 'document', 'fileid': 10053, 'mime_type': 'application/pdf', 'hash': '51dc40228377656c6284472031a09eaa', 'objectid': 1351, 'filesize': 3841874, 'uri': 'http://repository.lppm.unila.ac.id/id/file/10053', 'filename': 'Dengan keterangan - Persamaan Umum Jumlah Edge dan Titik pada Cycle Extension.pdf', 'hash_type': 'MD5', 'mtime': '2017-03-24 14:32:49'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/1351', 'pos': 1, 'eprintid': 1480, 'placement': 1}]",1410-8518,Jurusan Matematika FSM Universitas Diponegoro,['Universitas Lampung'],['QA'],http://eprints.undip.ac.id/48667,93-103,,,,,,,
7,['FMIPA9'],,disk0/00/01/91/87,public,2020-04-15 04:03:04,7,pub,published,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Jurnal Ilmiah Nasional,,1970-01-01 00:00:00.000002014,http://repository.lppm.unila.ac.id/id/eprint/19187,other,"[{'id': 'dksari13@gmail.com', 'name': {'given': 'Dian', 'lineage': None, 'family': 'Kurniasari', 'honourific': None}}]",Analisis Model Regresi Linear Berganda dengan  Metode Response Surface,,2020-04-15 04:03:04,19187,archive,show,752,,2020-04-15 04:03:04,"[{'placement': 1, 'eprintid': 19187, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32424', 'pos': 1, 'security': 'public', 'files': [{'hash': '5816f53eb678802e3fd57f03700beaac', 'mime_type': 'application/pdf', 'fileid': 160810, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/160810', 'filename': '17. Analisis Model Regresi Linear Berganda dengan  Metode Response Surface.pdf', 'objectid': 32424, 'filesize': 506280, 'mtime': '2020-04-15 03:21:55', 'hash_type': 'MD5'}], 'main': '17. Analisis Model Regresi Linear Berganda dengan  Metode Response Surface.pdf', 'docid': 32424, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",,Jurnal Gradien,,['AC'],,,,,,,,,
8,['FMIPA9'],,disk0/00/01/91/76,public,2020-04-15 02:57:12,7,pub,published,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Jurnal Ilmiah Internasional,,1970-01-01 00:00:00.000002014,http://repository.lppm.unila.ac.id/id/eprint/19176,other,"[{'name': {'honourific': None, 'family': 'Kurniasari', 'lineage': None, 'given': 'Dian'}, 'id': 'dksari13@gmail.com'}]",Generalized Method of Moments' Characteristics and Its Application on Panel Data,,2020-04-15 02:57:12,19176,archive,show,752,,2020-04-15 02:57:12,"[{'format': 'text', 'files': [{'fileid': 160729, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '56091257e7c3853c09408ad6b735f657', 'filesize': 982779, 'objectid': 32413, 'uri': 'http://repository.lppm.unila.ac.id/id/file/160729', 'filename': ""6. Generalized Method of Moments' Characteristics and Its Application on Panel Data.pdf"", 'hash_type': 'MD5', 'mtime': '2020-04-15 02:50:22'}], 'main': ""6. Generalized Method of Moments' Characteristics and Its Application on Panel Data.pdf"", 'docid': 32413, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 19176, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32413'}]",,Science International (Lahore),,['AC'],,,,,,,,,
9,['FMIPA9'],,disk0/00/01/91/82,public,2020-04-15 04:01:44,7,pub,published,Hasil Penilaian Sejawat Sebidang atau Peer Review Karya Ilmiah Jurnal Ilmiah Nasional,,1970-01-01 00:00:00.000002014,http://repository.lppm.unila.ac.id/id/eprint/19182,other,"[{'name': {'given': 'Dian', 'family': 'Kurniasari', 'lineage': None, 'honourific': None}, 'id': 'dksari13@gmail.com'}]",Karakteristik PendugaVariogram Untuk Data Nonstasioner,,2020-04-15 04:01:44,19182,archive,show,752,,2020-04-15 04:01:44,"[{'placement': 1, 'eprintid': 19182, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32419', 'security': 'public', 'docid': 32419, 'main': '12. Karakteristik PendugaVariogram Untuk Data Nonstasioner.pdf', 'files': [{'objectid': 32419, 'filesize': 916645, 'filename': '12. Karakteristik PendugaVariogram Untuk Data Nonstasioner.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/160775', 'hash_type': 'MD5', 'mtime': '2020-04-15 03:11:55', 'datasetid': 'document', 'fileid': 160775, 'hash': 'ef804e77f46eda0f90b304d69924e4de', 'mime_type': 'application/pdf'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",,BIAStatistics,,['AC'],,,,,,,,,
