,date,uri,corp_creators,volume,abstract,subjects,date_type,ispublished,rev_number,status_changed,issn,full_text_status,divisions,publisher,publication,dir,documents,lastmod,number,userid,pagerange,metadata_visibility,eprint_status,eprintid,datestamp,refereed,title,creators,type,id_number,official_url,event_title,event_type,event_dates,pres_type,event_location,contact_email,keywords,referencetext,related_url,succeeds,funders,note
0,2020-09-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/34715,"['Universitas Lampung', 'Pustekroket LAPAN']",1.0,"Pada artikel ini dikaji mengenai model matematika propellant grain configuration untuk mendapatkan luasan pembakaran yang sesuai pada roket sonda. Roket sonda adalah roket percobaan yang dibuat oleh Pustekroket LAPAN untuk menunjang penelitian di bidang antariksa dengan jarak ketinggian sebagai sasaran penilaian. Luasan pembakaran untuk grain propellant model hollow grain, wagon wheel grain, dan star grain dikaji secara analitik melalui pemodelan matematika menggunakan konsep geometri agar didapatkan formula yang sesuai untuk tiap model grain propellant. Hasil yang diperoleh selanjutnya dibandingkan dengan menggunakan perhitungan manual menggunakan bantuan software SolidWork. Yang dimaksud manual adalah menambahkan fillet pada grain kemudian dihitung satu per satu panjang dari tiap fillet tersebut sehingga ini membutuhkan waktu yang lama. Hasil menunjukkan bahwa luasan pembakaran ketiga model grain tersebut tidak menunjukkan perbedaan yang signifikan pada kedua metode yang artinya formula yang didapatkan dari perhitungan analitik sudah valid.",['QA75'],published,pub,6,2021-10-29 09:37:16,"2721-5849 (p), 2721-6853(e)",public,['FMIPA9'],"Jurusan Matematika, Universitas Lampung",Jurnal Siger Matematika,disk0/00/03/47/15,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Artikel Ihsan.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'cb1e40e123343c6e79d227f1c3a4d839', 'fileid': 407540, 'datasetid': 'document', 'mtime': '2021-10-29 02:30:37', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/407540', 'filename': 'Artikel Ihsan.pdf', 'objectid': 155369, 'filesize': 378085}], 'docid': 155369, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/155369', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 34715}]",2021-10-29 09:37:16,2.0,163,56-62,show,archive,34715,2021-10-29 09:37:16,TRUE,"Desain dan Analisis Geometri Propellant Grain Configuration
pada Roket Padat","[{'name': {'given': 'Muhammad Ihsan', 'lineage': None, 'family': 'Abyan', 'honourific': None}, 'id': None}, {'name': {'given': 'Aang', 'family': 'Nuryaman', 'lineage': None, 'honourific': None}, 'id': 'aangnuryaman@gmail.com'}, {'id': None, 'name': {'given': 'Bagus Hayatul', 'family': 'Jihad', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'given': 'Soleh Fajar', 'honourific': None, 'lineage': None, 'family': 'Junjunan'}}]",article,,,,,,,,,,,,,,
1,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/24317,,13.0,"One of the essential and well-known classes of combinatorial optimization problems commonly studies by
researchers in the last five decades is called the Knapsack Problem (KP). Many variants of KP have been introduced
for different real-world applications. Among them, the multiple-choice multi-dimensional Knapsack Problem (mmKP)
is
the
most
complex
model
with
an
NP-hard
problem.
Several
authors
have
reported
the
robustness
of
heuristics

for
mm-KP;
irrespective
of
its
advantages,
no
method
currently
has
the
ability
to
solve
the
problem
optimally
all
time.

This
paper
aims
to
determine
the
best
GA
strategy
and
evaluate
the
performance
of
several
heuristic
algorithms
to

solve
mm-KP.
We
investigate
the
use
of
two
techniques
that
are
included
in
the
GA
approach.
The
first,
two
different

strategies
are
adopted
to
handle
infeasible
chromosomes,
namely
penalty
and
repairing
procedure.

Second,
we
develop

a

new-simple local search to improve the quality of the solution found. Experimental studies on the 13 (thirteen)
Benchmark instances are conducted to evaluate the effectiveness of the approach based on solutions quality, the
number of the optimal solution reached, and average errors. The results showed that hr-GA tends to reach optimal/nearoptimal
solutions.
Furthermore,
the
results
from
studies
on
heuristic
algorithms
also
show
that
hr-GA is a promising approach, with local search used to immensely improve the quality.",['QA'],published,pub,7,2020-10-16 02:40:43,2185-3118,public,['FMIPA9'],,international Journal of Intelligent Engineering & System,disk0/00/02/43/17,"[{'files': [{'mtime': '2020-10-15 14:19:17', 'hash_type': 'MD5', 'filename': 'Comparing Various Genetic Algorithm Approaches.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/221258', 'objectid': 38038, 'filesize': 463622, 'hash': '4f9f53a57a3becafe08fd5a484c19360', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 221258}], 'main': 'Comparing Various Genetic Algorithm Approaches.pdf', 'docid': 38038, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 24317, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/38038', 'security': 'public'}]",2020-10-16 02:40:43,5.0,791,455-462,show,archive,24317,2020-10-16 02:40:43,TRUE,"Comparing Various Genetic Algorithm Approaches for 
Multiple-choice Multi-dimensional Knapsack Problem","[{'name': {'honourific': None, 'family': 'Admi Syarif', 'lineage': None, 'given': 'AS'}, 'id': 'admi_syarif@yahoo.com'}, {'name': {'given': 'Dian', 'honourific': None, 'lineage': None, 'family': 'Anggraini'}, 'id': 'diananggraini1995.da@gmail.com'}, {'id': 'kmuludi@yahoo.com', 'name': {'lineage': None, 'family': 'Kurnia Muludi', 'honourific': None, 'given': 'KM'}}, {'id': 'wamiliana@gmail.com', 'name': {'honourific': None, 'family': 'Wamiliana', 'lineage': None, 'given': 'Wamiliana'}}, {'name': {'given': 'Mitsuo', 'honourific': None, 'family': 'Gen', 'lineage': None}, 'id': None}]",article,DOI: 10.22266/ijies2020.1031.40,,,,,,,,,,,,,
2,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/25527,['Universitas Lampung'],1.0,"Masalah penyehatan lingkungan pemukiman khususnya pada pembuangan tinja merupakan salah satu dari berbagai masalah kesehatan yang perlu mendapatkan prioritas. Pencemaran lingkungan salah satunya pengelolaan lingkungan itu sendiri tidak memenuhi syarat sehat, seperti pengelolaan jamban, sehingga dapat berpengaruh terhadap kesehatan manusia. Lingkungan yang bersih dan sehat adalah lingkungan yang didambakan oleh manusia dan dapat bermanfaat terhadap peningkatan hidup sehat. Penerapan dan pendampingan ini dilakukan dengan metode ceramah bervariasi dan latihan/praktik. Metode ceramah diperlukan untuk menjelaskan materi dan prosedur pemasangan jamban. Metode latihan/praktik diperlukan untuk memberikan percontohan jamban ramah lingkungan. Kegiatan penerapan dan pendampingan ini secara keseluruhan dapat dikatakan terlaksana dengan faktor pendukung terlaksananya kegiatan Program Pengabdian Kepada Masyarakat ini adalah ketersediaan tenaga ahli di FMIPA Universitas Lampung dan antusiasme peserta.
Kata kunci: jamban, kesehatan, lingkungan",['QA'],published,pub,6,2020-11-16 15:03:22,ISSN 2721- 9224,public,['FMIPA9'],,Jurnal Abdidas Volume 1 Nomor 5 Tahun 2020 Halaman 351 - 357,disk0/00/02/55/27,"[{'format': 'text', 'main': 'Jurnal Abdidas Agus Sutrisno_Amanto.pdf', 'files': [{'hash': '01a68a4edc722fe0ff5299e538b75d77', 'mime_type': 'application/pdf', 'fileid': 230240, 'datasetid': 'document', 'uri': 'http://repository.lppm.unila.ac.id/id/file/230240', 'filename': 'Jurnal Abdidas Agus Sutrisno_Amanto.pdf', 'objectid': 39326, 'filesize': 417243, 'mtime': '2020-11-16 08:11:20', 'hash_type': 'MD5'}], 'docid': 39326, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 25527, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39326'}]",2020-11-16 15:03:22,5.0,488,351-357,show,archive,25527,2020-11-16 15:03:22,TRUE,Penerapan dan Pendampingan Peningkatkan Kesehatan Sanitasi Lingkungan Tepian Sungai Mesuji dengan Penggunaan Jamban Rawa dan Sungai Ramah Lingkungan di Desa Wiralaga I Kabupaten Mesuji Lampung,"[{'id': 'agus.sutrisnomg4@gmail.com', 'name': {'given': 'agus', 'lineage': None, 'family': 'Agus Sutrisno', 'honourific': None}}, {'id': 'dorrah.azis@fmipa.unila.ac.id', 'name': {'family': 'Dorrah', 'lineage': None, 'honourific': None, 'given': 'Azis'}}, {'id': 'amanto.1973@fmipa.unila.ac.id', 'name': {'given': 'Amanto', 'family': 'Amanto', 'lineage': None, 'honourific': None}}, {'id': 'ansomath@yahoo.com', 'name': {'given': 'Muslim', 'family': 'Muslim Ansori', 'lineage': None, 'honourific': None}}]",article,,http://abdidas.org/index.php/abdidas,,,,,,,,,,,,
3,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/19359,,,"Space Time Autoregressive (STAR) is a model that can be used to analyze time series data that have
a relationship between time and location. However STAR models tend to be inflexible when faced with location
that have heterogeneous characteristic. To overcome this weaknes, the Generalized Space Time Autoregressive
(GSTAR) model is used, which is a STAR model, assuming that the autoregressive parameters and space-time
parameters don’t have be the same value at each location. The purpose of this study is to modeling rainfall
data in Pringsewu Regency(Z1), South Lampung Regency(Z2), and South Lampung Regency using the GSTAR
model. By using Distance Invers weighting matrix, the model obtained is GSTAR (31) I(0).",['QA'],published,pub,8,2020-04-29 01:59:28,,public,['FMIPA9'],,,disk0/00/01/93/59,"[{'rev_number': 2, 'language': 'en', 'mime_type': 'text/html', 'main': 2465, 'docid': 32588, 'files': [{'fileid': 161944, 'datasetid': 'document', 'mime_type': 'text/html', 'hash': '6ef06a755225ab36b5ba515e20f3db16', 'hash_type': 'MD5', 'mtime': '2020-04-28 08:37:54', 'objectid': 32588, 'filesize': 15812, 'uri': 'http://repository.lppm.unila.ac.id/id/file/161944', 'filename': 2465}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32588', 'security': 'public', 'placement': 1, 'eprintid': 19359}]",2020-04-29 01:59:28,,33,121-124,show,archive,19359,2020-04-29 01:59:28,TRUE,"Pemodelan Data Curah Hujan dengan Model Generalized Space
Time Autoregressive (GSTAR)","[{'name': {'given': 'Krisnawan', 'lineage': None, 'family': 'Aji P', 'honourific': None}, 'id': None}, {'name': {'family': 'Widiarti', 'lineage': None, 'honourific': None, 'given': 'Widiarti'}, 'id': 'widiarti08@gmail.com'}, {'id': 'dksari13@gmail.com', 'name': {'honourific': None, 'family': 'Kurniasari', 'lineage': None, 'given': 'Dian'}}, {'id': 'klppm@kpa.unila.ac.id', 'name': {'given': 'Warsono', 'family': 'Warsono', 'lineage': None, 'honourific': None}}]",conference_item,,http://jurnal.fmipa.unila.ac.id/snsmap/index,SN-SMIAP 5 2019 FMIPA UNILA,conference,24 Oktober 2019,paper,FMIPA UNILA,,,,,,,
4,2020-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/23008,,1524.0,"If given a graph G(V,E) with n vertices and m edges many graphs can be
constructed. The graphs constructed maybe connected graphs (there exists at least one
path connecting every pair of vertices in the graph) or disconnected; either simple a
(contains loop or parallel edges) or not simple. In ,this paper we will discuss the formula
for counting the number of connected vertex labelled graph of order five (n=5) without
loops, witof h minimum five edges and maa y contaiof n maximum ten parallel edges.",['QA'],published,inpress,7,2020-07-07 07:41:48,Print : 1742-6588 Online : 1742-6596,public,['FMIPA9'],IOP Publishing,Journal of Physics: Conference Series,disk0/00/02/30/08,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/36567', 'pos': 1, 'eprintid': 23008, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 211091, 'hash': 'bd7e6571ca9dec88c49b3c0b57dda8bd', 'mime_type': 'application/pdf', 'objectid': 36567, 'filesize': 896090, 'filename': 'Amanto_2020_J._Phys.__Conf._Ser._1524_012047.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/211091', 'hash_type': 'MD5', 'mtime': '2020-07-07 06:29:26'}], 'main': 'Amanto_2020_J._Phys.__Conf._Ser._1524_012047.pdf', 'docid': 36567}]",2020-07-07 07:41:48,12047.0,791,1-7,show,archive,23008,2020-07-07 07:41:48,TRUE,"Counting the number of vertex labeled connected graphs of
order five with minimum five edges and maximum ten parallel
edges","[{'id': 'pakamanto@gmail.com', 'name': {'given': 'Amanto', 'honourific': None, 'lineage': None, 'family': 'Amanto'}}, {'id': 'notiragayu@fmipa.unila.ac.id', 'name': {'given': 'Notiragayu', 'honourific': None, 'lineage': None, 'family': 'Notiragayu'}}, {'id': None, 'name': {'given': 'F. C', 'family': 'Puri', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Yudi', 'family': 'Antoni', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'lineage': None, 'family': 'Wamiliana', 'honourific': None, 'given': 'Wamiliana'}, 'id': 'wamiliana@gmail.com'}]",article,10.1088/1742-6596/1524/1/012047,,,,,,,,,,,,,
5,2020-11-05 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/25604,,,"Peramalan nilai Indeks Harga Konsumen (IHK) memiliki peran penting mengingat dalam menentukan nilai laju pergerakan inflasi di suatu wilayah diperoleh melalui perhitungan nilai Indeks Harga Konsumen (IHK) tersebut. Agar mendapat hasil ramalan dengan tepat, maka diperlukan metode peramalan yang sesuai. Metode ARIMA merupakan metode yang sering digunakan dalam peramalan data deret waktu dan metode ini dapat digunakan untuk semua tipe pola data. Berdasarkan data Indeks Harga Konsumen (IHK) Kota Metro diperoleh model peramalan terbaik yaitu model ARIMA (0,2,1).

Kata kunci : indeks harga konsumen, peramalan, ARIMA",['QA'],submitted,submitted,7,2020-11-16 15:07:16,,public,['FMIPA9'],,,disk0/00/02/56/04,"[{'eprintid': 25604, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/39409', 'pos': 1, 'format': 'text', 'main': 'ananto.pdf', 'docid': 39409, 'files': [{'datasetid': 'document', 'fileid': 230721, 'mime_type': 'application/pdf', 'hash': '91be970a98564d733d2d377f9a8e0f67', 'filesize': 7910, 'objectid': 39409, 'uri': 'http://repository.lppm.unila.ac.id/id/file/230721', 'filename': 'ananto.pdf', 'hash_type': 'MD5', 'mtime': '2020-11-16 12:55:24'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2020-11-16 15:07:16,,433,,show,archive,25604,2020-11-16 15:07:16,FALSE,PERAMALAN LAJU PERGERAKAN INDEKS HARGA KONSUMEN (IHK) KOTA METRO MENGGUNAKAN METODE AUTOREGRESSIVE INTEGRATED MOVING AVERAGE (ARIMA,"[{'id': 'anantoadi4@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Ananto', 'given': 'Adi N'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Nusyirwan', 'given': 'Nusyirwan'}, 'id': 'nusyirwan.1966@fmipa.unila.ac.id'}]",conference_item,,,Seminar Nasional Matematika Kuantitatif 3,conference,5 November 2020,speech,FMIPA UNILA,,,,,,,
6,2020-03-31 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/19357,,1.0,"Air transportation is now a mode of transportation that is often the first choice. Although the transportation costs are relatively expensive, it can save a lot of time to get to the destination. Therefore, predicting the number of aircraft passengers is an interesting thing to study. In this study forecasting the number of aircraft passengers at Raden Intan II Airport using spectral analysis methods. Spectral analysis is used to obtain more complete information about the time series data characteristics to examine the periodicity. After getting the periodicity the data is modeled using the ARIMA Seasonal Method. Based on the analysis results it is known that the best model for forecasting aircraft passengers at Raden Intan II Airport is Seasonal ARIMA (0,1,1) (0,1,1)3",['QA'],published,pub,6,2020-04-29 01:59:12,"2721-5849 (p), 2721-6853(e)",public,['FMIPA9'],"Jurusan Matematika, Universitas Lampung",Jurnal Siger Matematika,disk0/00/01/93/57,"[{'placement': 1, 'eprintid': 19357, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32586', 'pos': 1, 'security': 'public', 'files': [{'datasetid': 'document', 'fileid': 161929, 'hash': 'c0c2237ad57c7f96a381f599101e4ab5', 'mime_type': 'application/pdf', 'filesize': 289471, 'objectid': 32586, 'uri': 'http://repository.lppm.unila.ac.id/id/file/161929', 'filename': 'Jurnal Siger Math_Widiarti-Anis dkk.pdf', 'hash_type': 'MD5', 'mtime': '2020-04-28 07:56:11'}], 'main': 'Jurnal Siger Math_Widiarti-Anis dkk.pdf', 'docid': 32586, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2020-04-29 01:59:12,1.0,33,10-15,show,archive,19357,2020-04-29 01:59:12,TRUE,Peramalan Data Time Series Seasonal Menggunakan Metode Analisis Spektral,"[{'name': {'given': 'Mahfud Al’afi', 'lineage': None, 'family': 'Anis', 'honourific': None}, 'id': None}, {'name': {'given': 'Widiarti', 'lineage': None, 'family': 'Widiarti', 'honourific': None}, 'id': 'widiarti08@gmail.com'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Kurniasari', 'given': 'Dian'}, 'id': 'dksari13@gmail.com'}, {'name': {'given': 'Mustofa', 'family': 'Usman', 'lineage': None, 'honourific': None}, 'id': 'usman_alfha@yahoo.com'}]",article,http://dx.doi.org/10.23960%2Fjsm.v1i1.2484,http://jurnal.fmipa.unila.ac.id/JSM/index,,,,,,,,,,,,
7,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/27178,,,,['QA'],,unpub,7,2020-12-28 06:36:41,,public,['FMIPA9'],FMIPA Universitas Lampung,,disk0/00/02/71/78,"[{'placement': 1, 'eprintid': 27178, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41190', 'security': 'public', 'main': 'Kontrak Penelitian Dasar 2020.pdf', 'docid': 41190, 'files': [{'mime_type': 'application/pdf', 'hash': '6ba25415a15316c9de013e0c5e2ce084', 'datasetid': 'document', 'fileid': 243501, 'uri': 'http://repository.lppm.unila.ac.id/id/file/243501', 'filename': 'Kontrak Penelitian Dasar 2020.pdf', 'objectid': 41190, 'filesize': 1286382, 'mtime': '2020-12-28 05:31:38', 'hash_type': 'MD5'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2020-12-28 06:36:41,,821,,show,archive,27178,2020-12-28 06:36:41,,"Kontrak Hibah Penelitian Dasar Tahun 3 
Analisis Penempatan Sensor pada Gedung Bertingkat dengan Pendekatan Dimensi Metrik graf.","[{'id': 'asmiati308@yahoo.com', 'name': {'given': 'Asmiati', 'honourific': None, 'family': 'Asmiati', 'lineage': None}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Suhadi', 'given': 'Widosaputro'}}, {'id': 'akmal.junaidi@fmipa@unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Akmal Junaidi', 'given': 'Akmal'}}]",other,,,,,,,,,,,,,,
8,1970-01-01 00:00:00.000002020,http://repository.lppm.unila.ac.id/id/eprint/27171,,,,['QA'],,unpub,7,2020-12-28 06:36:28,,public,['FMIPA9'],FMIPA Universitas Lampung,,disk0/00/02/71/71,"[{'docid': 41183, 'main': 'Laporan Pen_Dasar 2020.pdf', 'files': [{'objectid': 41183, 'filesize': 1117194, 'filename': 'Laporan Pen_Dasar 2020.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/243457', 'hash_type': 'MD5', 'mtime': '2020-12-28 04:42:14', 'datasetid': 'document', 'fileid': 243457, 'hash': '3bec40c9049a44ff7dc5c0e867a96a9a', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 27171, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41183', 'security': 'public'}]",2020-12-28 06:36:28,,821,,show,archive,27171,2020-12-28 06:36:28,,"Laporan Akhir Penelitian Dasar Tahun 3 
Analisis Penempatan Sensor pada Gedung Bertingkat dengan Pendekatan Dimensi Metrik graf.","[{'id': 'asmiati308@yahoo.com', 'name': {'family': 'Asmiati', 'lineage': None, 'honourific': None, 'given': 'Asmiati'}}, {'id': None, 'name': {'given': 'Widosaputro', 'family': 'Suhadi', 'lineage': None, 'honourific': None}}, {'id': 'akmal.junaidi@fmipa@unila.ac.id', 'name': {'family': 'Akmal Junaidi', 'lineage': None, 'honourific': None, 'given': 'Akmal'}}]",other,,,,,,,,,,,,,,
9,2020-11-05 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/25917,['Universitas Lampung'],,"Persamaan diferensial Legendre merupakan persamaan diferensial linear homogen orde kedua dengan koefesien variabel yang mempunyai bentuk  dengan p adalah bilangan bulat positif. Persamaan Legendre ini memiliki titik singular untuk  , oleh karena itu titik  , merupakan titik biasa dari persamaan Legendre. Untuk menyelesaikan persamaan diferensial linear homogen orde kedua dengan koefesien variabel yaitu dengan menggunakan deret pangkat. Yang akan menghasilkan suatu penyelesaian dalam bentuk deret pangkat. Oleh karena itu titik  , merupakan titik biasa dari persamaan Legendre. Dengan mensubstitusikan  dan turunan-turunannya ke dalam persamaan Legendre maka akan didapat relasi berulangnya  , m>2. Dari relasi berulang dapat ditentukan bentuk umum polinomial Legendre dan dinyatakan sebagai  dengan  . Penerapan dari persamaan diferensial Legendre dalam penyelesaian persamaan diferensial linear homogen orde dua dengan koefesien variabel dapat diterapkan pada persamaan potensial dalam koordinat bola.",['QA'],submitted,submitted,8,2020-11-18 01:36:09,,public,['FMIPA9'],,,disk0/00/02/59/17,"[{'placement': 1, 'eprintid': 25917, 'uri': 'http://repository.lppm.unila.ac.id/id/document/39713', 'pos': 1, 'security': 'public', 'files': [{'mime_type': 'application/pdf', 'hash': '96a390c4dcc6bde1b1d0a346ecab562c', 'fileid': 232953, 'datasetid': 'document', 'filename': 'ABSTARK SNMK III 2020 AYU CAHYANI.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/232953', 'objectid': 39713, 'filesize': 2774399, 'mtime': '2020-11-17 14:37:24', 'hash_type': 'MD5'}], 'main': 'ABSTARK SNMK III 2020 AYU CAHYANI.pdf', 'docid': 39713, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2020-11-18 01:36:09,,488,,show,archive,25917,2020-11-18 01:36:09,TRUE,APLIKASI PERSAMAAN LEGENDRE PADA PERSAMAAN POTENSIAL DAN PENYELESAIANNYA,"[{'name': {'honourific': None, 'family': 'Ayu', 'lineage': None, 'given': 'Cahyani'}, 'id': 'ayucahyani1317@gmail.com'}, {'id': 'agus.sutrisnomg4@gmail.com', 'name': {'lineage': None, 'family': 'Agus Sutrisno', 'honourific': None, 'given': 'agus'}}, {'name': {'honourific': None, 'family': 'Amanto', 'lineage': None, 'given': 'Amanto'}, 'id': 'amanto.1973@fmipa.unila.ac.id'}, {'name': {'given': 'Muslim', 'honourific': None, 'family': 'Muslim Ansori', 'lineage': None}, 'id': 'ansomath@yahoo.com'}, {'name': {'honourific': None, 'family': 'Notiragayu', 'lineage': None, 'given': 'Notiragayu'}, 'id': 'notiragayu@fmipa.unila.ac.id'}]",conference_item,,,Seminar Nasional Metode Metode Kuantitatif,conference,5 November 2020,paper,FMIPA Universitas lampung,,,,,,,
