,type,creators,title,refereed,datestamp,eprintid,eprint_status,metadata_visibility,pagerange,userid,number,official_url,lastmod,documents,divisions,publisher,publication,dir,issn,full_text_status,status_changed,rev_number,ispublished,date_type,subjects,abstract,volume,date,uri,id_number,patent_applicant,pages,related_url
0,article,"[{'id': None, 'name': {'family': 'Aini', 'lineage': None, 'honourific': None, 'given': 'Dalfa Habibah Nurul'}}, {'name': {'lineage': None, 'family': 'Kurniasari', 'honourific': None, 'given': 'Dian'}, 'id': 'dian.kurniasari@fmipa.unila.ac.id'}, {'name': {'family': 'Nuryaman', 'lineage': None, 'honourific': None, 'given': 'Aang'}, 'id': 'aang.nuryaman@fmipa.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Usman', 'honourific': None, 'given': 'Mustofa'}, 'id': 'usman_alfha@yahoo.com'}]",IMPLEMENTATION OF ARTIFICIAL NEURAL NETWORK WITH BACKPROPAGATION ALGORITHM FOR RATING CLASSIFICATION ON SALES OF BLACKMORES IN TOKOPEDIA,TRUE,2023-04-04 00:56:46,49603,archive,show,365-372,752,2.0,http://jutif.if.unsoed.ac.id/index.php/jurnal,2023-04-04 00:56:46,"[{'format': 'text', 'main': 'Implementation of ANN with BP Algorithm for Rating Classification on Sales of Black mores in Tokopedia.pdf', 'docid': 189236, 'files': [{'objectid': 189236, 'filesize': 621579, 'filename': 'Implementation of ANN with BP Algorithm for Rating Classification on Sales of Black mores in Tokopedia.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/537855', 'hash_type': 'MD5', 'mtime': '2023-04-03 23:17:55', 'datasetid': 'document', 'fileid': 537855, 'mime_type': 'application/pdf', 'hash': '26f1544f00612626a0551504e64dcac5'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 49603, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189236'}]",['FMIPA9'],"Informatics, Universitas Jenderal Soedirman",Jurnal Teknik Informatika (JUTIF),disk0_bak/00/04/96/03,2723-3871,public,2023-04-04 00:56:46,6,pub,published,['QA76'],"The rating assessment classification contains feedback from consumers, which is given in the form of stars which aims to assess a product. However, the amount of data in the classification process often have differences in each class or is called an imbalanced dataset. These problems can affect the classification results. An imbalanced dataset can be overcome by applying random oversampling. To classify the rating assessment, this study proposes the Neural network method, which has a good accuracy level with the backpropagation algorithm and applies random oversampling to overcome the unbalanced amount of data. The results indicate that the neural network method with the backpropagation algorithm can classify the available data with an accuracy level of 85%. The application of resampling data using random oversampling and determining the amount of distribution of training data, testing data, number of epochs and the correct number of batch sizes affect the results obtained.",4.0,2023-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/49603,,,,
1,article,"[{'name': {'given': 'Nur', 'honourific': None, 'lineage': None, 'family': 'Alifiah'}, 'id': None}, {'id': 'dian.kurniasari@fmipa.unila.ac.id', 'name': {'honourific': None, 'family': 'Kurniasari', 'lineage': None, 'given': 'Dian'}}, {'id': 'amanto.1973@fmipa.unila.ac.id', 'name': {'family': 'Amanto', 'lineage': None, 'honourific': None, 'given': 'Amanto'}}, {'id': 'warsono.1963@fmipa.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Warsono', 'given': 'Warsono'}}]",Prediction of COVID-19 Using the Artificial Neural Network (ANN) with K-Fold Cross-Validation,TRUE,2023-05-02 01:38:27,50832,archive,show,16-27,752,1.0,https://e-journal.unair.ac.id/index.php/JISEBI,2023-05-02 01:38:27,"[{'placement': 1, 'eprintid': 50832, 'uri': 'http://repository.lppm.unila.ac.id/id/document/190542', 'pos': 1, 'security': 'public', 'main': '[2]+Alifiah+et+al.pdf', 'files': [{'mtime': '2023-04-28 22:32:53', 'hash_type': 'MD5', 'filename': '[2]+Alifiah+et+al.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/547428', 'filesize': 1542440, 'objectid': 190542, 'hash': '3951dedbba46d3557b66f4e795090582', 'mime_type': 'application/pdf', 'fileid': 547428, 'datasetid': 'document'}], 'docid': 190542, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",['FMIPA9'],Universitas Airlangga.,Journal ofInformation Systems Engineeringand Business Intelligence,disk0_bak/00/05/08/32,2443-2555,public,2023-05-02 01:38:27,6,pub,published,['QA76'],"Background: COVID-19 is a disease that attacks the respiratory system and is highly contagious, so cases of the spread of COVID-19 are increasing every day. The increase in COVID-19 cases cannot be predicted accurately, resulting in a shortage of services, facilities and medical personnel. This number will always increase if the community is not vigilant and actively reduces the rate of adding confirmed cases. Therefore, public awareness and vigilance need to be increased by presenting information on predictions of confirmed cases, recovered cases, and cases of death of COVID-19 so that it can be used as a reference for the government in taking and establishing a policy to overcome the spread of COVID-19.Objective: This research predicts COVID-19 in confirmed cases, recovered cases, and death cases in Lampung ProvinceMethod: This study uses the ANN method to determine the best network architecture for predicting confirmed cases, recovered cases, and deaths from COVID-19 using the k-fold cross-validation method to measure predictive model performance.Results: The method used has a good predictive ability with an accuracy value of 98.22% for confirmed cases, 98.08% for cured cases, and 99.05% for death cases.Conclusion: The ANN method with k-fold cross-validation to predict confirmed cases, recovered cases, and COVID-19 deaths in Lampung Province decreased from October 27,2021,to January 24,2022.",9.0,2023-04-28 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/50832,,,,
2,article,"[{'id': 'asmiati,1976@fmipa.unila.ac.id', 'name': {'given': 'Asmiati', 'family': 'Asmiati', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'family': 'Irawan', 'lineage': None, 'honourific': None, 'given': 'Agus'}}, {'name': {'given': 'Aang', 'lineage': None, 'family': 'Nuryaman', 'honourific': None}, 'id': 'aang.nuryaman@fmipa.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Muludi', 'honourific': None, 'given': 'Kurnia'}, 'id': 'kurnia.muludi@fmipa.unila.ac.id'}]","The Locating Chromatic Number for Certain Operation
of Origami Graphs",TRUE,2023-02-02 01:56:49,48257,archive,show,101-106,821,1.0,,2023-02-02 01:56:49,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'The Locating Chromatic Number for Certain Operation Origami Graphs.pdf', 'files': [{'datasetid': 'document', 'fileid': 527216, 'hash': '08a6281283ba5486aef19ff80bc860df', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-02-02 01:13:32', 'objectid': 187517, 'filesize': 323600, 'filename': 'The Locating Chromatic Number for Certain Operation Origami Graphs.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/527216'}], 'docid': 187517, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187517', 'security': 'public', 'placement': 1, 'eprintid': 48257}]",['FMIPA9'],Horizon Research Publishing,Mathematics and Statistics,disk0_bak/00/04/82/57,2332-2071,public,2023-02-02 01:56:49,6,pub,published,['QA'],"The locating chromatic number introduced by
Chartrand et al. in 2002 is the marriage of the partition
dimension and graph coloring. The locating chromatic number
depends on the minimum number of colors used in the locating
coloring and the different color codes in vertices on the graph.
There is no algorithm or theorem to determine the locating
chromatic number of any graph carried out for each graph
class or the resulting graph operation. This research is the
development of scientific theory with a focus of the study on
developing new ideas to determine the extent to which the
locating chromatic number of a graph increases when applied
to other operations. The locating chromatic number of the
origami graph was obtained. The next exciting thing to know
is locating chromatic number for certain operation of origami
graphs. This paper discusses locating chromatic number for
specific operation of origami graphs. The method used in
this study is to determine the upper and lower bound of the
locating chromatic number for certain operation of origami
graphs. The result obtained is an increase of one color in the
locating chromatic number of origami graphs",11.0,2023-01-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/48257,10.13189/ms.2023.110111,,,
3,article,"[{'id': 'luthfiaanurazizah@gmail.com', 'name': {'honourific': None, 'family': 'Azizah', 'lineage': None, 'given': 'Luthfia Nur'}}, {'id': 'purn005@brin.go.id', 'name': {'given': 'Purnomo Husnul', 'family': 'Khotimah', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'given': 'Andria', 'family': 'Arisal', 'lineage': None, 'honourific': None}}, {'name': {'family': 'Rozie', 'lineage': None, 'honourific': None, 'given': 'Andri Fachrur'}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Munandar', 'given': 'Devi'}, 'id': None}, {'id': None, 'name': {'given': 'Dianadewi', 'honourific': None, 'lineage': None, 'family': 'Riswantini'}}, {'id': None, 'name': {'given': 'Ekasari', 'lineage': None, 'family': 'Nugraheni', 'honourific': None}}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Suwarningsih', 'given': 'Wiwin'}}, {'id': 'dian.kurniasari@fmipa.unila.ac.id', 'name': {'family': 'Kurniasari', 'lineage': None, 'honourific': None, 'given': 'Dian'}}]","The Investigation into Deep Learning Classifiers
Towards Imbalanced Text Data",TRUE,2023-04-06 00:53:15,49694,archive,show,,752,,https://ieeexplore.ieee.org/xpl/conhome/10084916/proceeding,2023-04-06 00:53:15,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/538598', 'filename': 'The_Investigation_into_Deep_Learning_Classifiers_Towards_Imbalanced_Text_Data.pdf', 'objectid': 189334, 'filesize': 721309, 'mtime': '2023-04-05 08:11:46', 'hash_type': 'MD5', 'hash': '183cb2049e458aa043e87b6458dbffe6', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 538598}], 'main': 'The_Investigation_into_Deep_Learning_Classifiers_Towards_Imbalanced_Text_Data.pdf', 'docid': 189334, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189334', 'eprintid': 49694, 'placement': 1}]",['FMIPA9'],IEEE,"Proceedings of the 5th International Conference on Networking, Information Systems & Security: Envisage Intelligent Systems in 5G/6G-based Interconnected Digital Worlds NISS 2022",disk0_bak/00/04/96/94,978-1-6654-5363-9,public,2023-04-06 00:53:15,10,pub,published,['QA76'],"Class imbalance is an important classification problem where failure to identify events can be hazardous due to failure of solution preparation or opportune handling. Minorities are mostly more consequential in such cases. It is necessary to know a reliable classifier for imbalanced classes. This study examines several conventional machine learning and deep learning methods to compare the performance of each method on dataset with imbalanced classes. We use COVID-19 online news titles to simulate different class imbalance ratios. The results of our study demonstrate the superiority of the CNN with embedding layer method on a news titles dataset of 16,844 data points towards imbalance ratios of 37%, 30%, 20%, 10%, and 1%. However, CNN with embedding layer showed a noticeable performance degradation at an imbalance ratio of 1%. 
Index Terms—deep learning, classifier, online news, performance",,2023-04-03 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/49694,,,,
4,patent,"[{'id': None, 'name': {'given': 'Irma', 'honourific': None, 'lineage': None, 'family': 'Destiana'}}, {'id': 'warsono.1963@fmipa.unila.ac.id', 'name': {'given': 'Warsono', 'lineage': None, 'family': 'Warsono', 'honourific': None}}, {'name': {'given': 'Dian', 'honourific': None, 'lineage': None, 'family': 'Kurniasari'}, 'id': 'dian.kurniasari@fmipa.unila.ac.id'}, {'name': {'given': 'Nusyirwan', 'honourific': None, 'family': 'Nusyirwan', 'lineage': None}, 'id': 'nusyirwan.1966@fmipa.unila.ac.id'}]","Peramalan Ekspor Impor Indonesia dengan Metode Hybrid Vector
Autoregressive Exogenous-Convolutional Neural Network (VARX�CNN)",,2023-08-21 02:46:49,52422,archive,show,,752,,,2023-08-21 02:46:49,"[{'main': 'Sertifikat_HaKI Irma.pdf', 'files': [{'fileid': 621339, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'c7cbd9b6a4cc6c6c565ecc4d0e25d4d1', 'hash_type': 'MD5', 'mtime': '2023-08-20 22:07:11', 'filesize': 2109639, 'objectid': 253962, 'filename': 'Sertifikat_HaKI Irma.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/621339'}], 'docid': 253962, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 52422, 'uri': 'http://repository.lppm.unila.ac.id/id/document/253962', 'pos': 1, 'security': 'public'}]",['FMIPA9'],,,disk0_bak/00/05/24/22,,public,2023-08-21 02:46:49,7,pub,published,['QA76'],,,2023-08-15 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/52422,EC00202367285,Program Komputer,2.0,
5,article,"[{'name': {'given': 'Netti', 'family': 'Herawati', 'lineage': None, 'honourific': None}, 'id': 'netti.herawati@fmipa.unila.ac.id'}, {'id': None, 'name': {'given': 'Dharnita', 'lineage': None, 'family': 'Chandra', 'honourific': None}}, {'id': None, 'name': {'given': 'Dhea', 'lineage': None, 'family': 'Rizki', 'honourific': None}}, {'id': 'khoirin.nisa@fmipa.unila.ac.id', 'name': {'given': 'Khoirin', 'family': 'Nisa', 'lineage': None, 'honourific': None}}]","A High-Order Fuzzy Time Series Forecasting Method Based on
an Intersection Operation for Forecasting USD Foreign Exchange
Rate",TRUE,2023-01-11 08:11:40,47689,archive,show,46-53,959,1.0,http://www.ijlera.com/index.html,2023-01-11 08:11:40,"[{'eprintid': 47689, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/186783', 'format': 'text', 'main': 'A high order IJLERA Januari 2023.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2023-01-10 10:27:21', 'objectid': 186783, 'filesize': 761639, 'filename': 'A high order IJLERA Januari 2023.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/522369', 'datasetid': 'document', 'fileid': 522369, 'hash': '03c5abedc3a211513088640ccc4a03df', 'mime_type': 'application/pdf'}], 'docid': 186783, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",['FMIPA9'],IJLERA,International Journal of Latest Engineering Research and Applications (IJLERA),disk0_bak/00/04/76/89,2455-7137,public,2023-01-11 08:11:40,6,pub,published,['QA'],,8.0,2023-01-10 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/47689,,,,
6,article,"[{'id': 'netti.herawati@fmipa.unila.ac.id', 'name': {'family': 'Herawati', 'lineage': None, 'honourific': None, 'given': 'Netti'}}, {'id': None, 'name': {'given': 'Eri', 'lineage': None, 'family': 'Setiawan', 'honourific': None}}, {'name': {'family': 'Nisa', 'lineage': None, 'honourific': None, 'given': 'Khoirin'}, 'id': 'khoirin.nisa@fmipa.unila.ac.id'}, {'id': 'subian.saidi@fmipa.unila.ac.id', 'name': {'given': 'Subian', 'honourific': None, 'family': 'Saidi', 'lineage': None}}, {'name': {'given': 'Agus', 'honourific': None, 'lineage': None, 'family': 'Sutrisno'}, 'id': 'agus.sutrisno@fmipa.unila.ac.id'}, {'id': 'dorrah.aziz@fmipa.unila.ac.i', 'name': {'given': 'Dorrah', 'lineage': None, 'family': 'Azis', 'honourific': None}}]","PEMBUATAN PUPUK CAIR ORGANIK BERSAMA KELOMPOK
WANITA TANI PADANG MANIS",TRUE,2023-05-21 03:43:58,51887,archive,show,63-67,959,1.0,https://jurnalbuguh.unila.ac.id/index.php/buguh,2023-05-21 03:43:58,"[{'placement': 1, 'eprintid': 51887, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/250959', 'security': 'public', 'docid': 250959, 'main': 'article Buguh 16 mar 2023.pdf', 'files': [{'mtime': '2023-05-19 22:45:58', 'hash_type': 'MD5', 'filename': 'article Buguh 16 mar 2023.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/614739', 'filesize': 312560, 'objectid': 250959, 'hash': '5e389422106400da66050b39fb709475', 'mime_type': 'application/pdf', 'fileid': 614739, 'datasetid': 'document'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",['FMIPA9'],Badan Pengelola KKN UNila,Jurnal Buguh,disk0_bak/00/05/18/87,P-ISSN : 2776-3749 E-ISSN : 2808-1412,public,2023-05-21 03:43:58,7,pub,published,['QA'],,3.0,2023-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/51887,,,,
7,article,"[{'name': {'family': 'Herawati', 'lineage': None, 'honourific': None, 'given': 'Netti'}, 'id': 'netti.herawati@fmipa.unila.ac.id'}, {'id': None, 'name': {'given': 'A', 'honourific': None, 'lineage': None, 'family': 'fitriyani'}}, {'name': {'honourific': None, 'family': 'Saidi', 'lineage': None, 'given': 'Subian'}, 'id': 'subian.saidi@gmail.com'}, {'id': None, 'name': {'given': 'Eri', 'honourific': None, 'family': 'Setiawan', 'lineage': None}}, {'name': {'given': 'D', 'family': 'Meliantari', 'lineage': None, 'honourific': None}, 'id': None}]","Overdispersion Data Modeling
Cases of Filariasis in East Lampung
Province, Indonesia",TRUE,2023-06-16 02:10:39,52161,archive,show,31-39,959,6.0,https://www.ijisrt.com/,2023-06-16 02:10:39,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/252449', 'pos': 1, 'eprintid': 52161, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 618057, 'mime_type': 'application/pdf', 'hash': '0c3324e7745aa015226f398960fafb4f', 'hash_type': 'MD5', 'mtime': '2023-06-15 08:16:20', 'objectid': 252449, 'filesize': 710142, 'uri': 'http://repository.lppm.unila.ac.id/id/file/618057', 'filename': 'Overdispersion data IJISRT 23 JUN1 23.pdf'}], 'main': 'Overdispersion data IJISRT 23 JUN1 23.pdf', 'docid': 252449}]",['FMIPA9'],IJIRST,International Journal of Innovative Science and Research Technology,disk0_bak/00/05/21/61,2456-2165,public,2023-06-16 02:10:39,7,pub,published,['QA'],,8.0,2023-06-13 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/52161,https://doi.org/10.5281/zenodo.8031706,,,[{'url': 'https://bit.ly/3TmGbDi'}]
8,patent,"[{'id': None, 'name': {'given': 'Rekti Nurul', 'honourific': None, 'lineage': None, 'family': 'Hidayah'}}, {'name': {'lineage': None, 'family': 'Kurniasari', 'honourific': None, 'given': 'Dian'}, 'id': 'dian.kurniasari@fmipa.unila.ac.id'}, {'name': {'given': 'Notiragayu', 'honourific': None, 'family': 'Notiragayu', 'lineage': None}, 'id': 'notiragayu@fmipa.unila.ac.id'}, {'id': 'warsono.1963@fmipa.unila.ac.id', 'name': {'given': 'Warsono', 'family': 'Warsono', 'lineage': None, 'honourific': None}}]","Klasifikasi Nilai Mahasiswa Universitas Lampung Menggunakan
Algoritma Naive Bayes Dan Random Forest",,2023-08-21 02:46:52,52424,archive,show,,752,,,2023-08-21 02:46:52,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/253979', 'security': 'public', 'placement': 1, 'eprintid': 52424, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Sertifikat HAKI_Rekti.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2023-08-20 22:37:54', 'filesize': 2109053, 'objectid': 253979, 'filename': 'Sertifikat HAKI_Rekti.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/621368', 'fileid': 621368, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '3f5265a433666d7b983e5fae3b5459a5'}], 'docid': 253979, 'format': 'text'}]",['FMIPA9'],,,disk0_bak/00/05/24/24,,public,2023-08-21 02:46:52,7,pub,published,['QA76'],,,2023-07-28 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/52424,EC00202360416,Program Komputer,2.0,
9,patent,"[{'id': None, 'name': {'given': 'Nurul', 'honourific': None, 'family': 'Isnaini', 'lineage': None}}, {'name': {'given': 'Warsono', 'honourific': None, 'lineage': None, 'family': 'Warsono'}, 'id': 'warsono.1963@fmipa.unila.ac.id'}, {'name': {'given': 'Dian', 'honourific': None, 'family': 'Kurniasari', 'lineage': None}, 'id': 'dian.kurniasari@fmipa.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Nusyirwan', 'lineage': None, 'given': 'Nusyirwan'}, 'id': 'nusyirwan.1966@fmipa.unila.ac.id'}]",Hybrid Vector Autoregressive Exogenous (VARX) - Long Short Term Memory (LSTM) Untuk Peramalan Suku Bunga Kredit Investasi,,2023-08-21 02:46:47,52421,archive,show,,752,,,2023-08-21 02:46:47,"[{'placement': 1, 'eprintid': 52421, 'uri': 'http://repository.lppm.unila.ac.id/id/document/253956', 'pos': 1, 'security': 'public', 'main': 'Sertifikat_HAKI Nurul.pdf', 'docid': 253956, 'files': [{'hash_type': 'MD5', 'mtime': '2023-08-20 22:03:17', 'objectid': 253956, 'filesize': 2109845, 'uri': 'http://repository.lppm.unila.ac.id/id/file/621327', 'filename': 'Sertifikat_HAKI Nurul.pdf', 'datasetid': 'document', 'fileid': 621327, 'hash': '6f4baf2e8bbb564201c70eb2ff800803', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",['FMIPA9'],,,disk0_bak/00/05/24/21,,public,2023-08-21 02:46:47,7,pub,published,['QA76'],,,2023-08-09 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/52421,EC00202365143,Program Komputer,2.0,
