,title,type,creators,metadata_visibility,datestamp,eprint_status,eprintid,lastmod,documents,userid,publisher,dir,divisions,rev_number,ispublished,full_text_status,status_changed,date_type,subjects,uri,abstract,publication,refereed,contact_email,pagerange,number,official_url,issn,volume,event_title,event_type,pres_type,event_dates,event_location,note,corp_creators,contributors,id_number,related_url
0,Bukti Korespondensi Artikel The Implementation of Rough Set on A Group Structure,other,"[{'id': None, 'name': {'given': 'Nugraha A', 'honourific': None, 'family': 'Adia Nugraha', 'lineage': None}}, {'id': 'fitriani_mathunila@yahoo.co.id', 'name': {'given': 'Fitriani', 'lineage': None, 'family': 'Fitriani', 'honourific': None}}, {'id': 'ansomath@yahoo.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Ansori', 'given': 'Muslim'}}, {'name': {'honourific': None, 'family': 'Faisol', 'lineage': None, 'given': 'Ahmad'}, 'id': 'ahmadfaisol@fmipa.unila.ac.id'}]",show,2022-11-17 04:42:13,archive,46689,2022-11-17 04:42:13,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'docid': 185599, 'main': 'Bukti Korespondensi_The Implementation of Rough Set on A Group Structure.pdf', 'files': [{'objectid': 185599, 'filesize': 236054, 'uri': 'http://repository.lppm.unila.ac.id/id/file/514373', 'filename': 'Bukti Korespondensi_The Implementation of Rough Set on A Group Structure.pdf', 'hash_type': 'MD5', 'mtime': '2022-11-17 04:07:19', 'fileid': 514373, 'datasetid': 'document', 'hash': 'bbcdfd22f33af78505dd4efcc086f352', 'mime_type': 'application/pdf'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/185599', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 46689}]",263,Universitas Islam Negeri Sunan Ampel Surabaya,disk0/00/04/66/89,['FMIPA9'],8,pub,public,2022-11-17 04:42:13,published,['QA'],http://repository.lppm.unila.ac.id/id/eprint/46689,,,,,,,,,,,,,,,,,,,
1,KESTABILAN MODEL PREDATOR PREY DENGAN WAKTU TUNDAAN,article,"[{'name': {'given': 'Sutrisno', 'family': 'Agus Sutrisno', 'lineage': None, 'honourific': None}, 'id': 'agus_sutrisno@fmipa.unila.ac.id'}, {'id': 'dorrah.azis@fmipa.unila.ac.id', 'name': {'lineage': None, 'family': 'Dorrah', 'honourific': None, 'given': 'Azis'}}]",show,2023-05-19 01:28:33,archive,51775,2023-05-19 01:28:33,"[{'placement': 1, 'eprintid': 51775, 'uri': 'http://repository.lppm.unila.ac.id/id/document/250327', 'pos': 1, 'security': 'public', 'docid': 250327, 'main': 'Lap Kemajuan Penelitian Mandiri Okee.pdf', 'files': [{'filesize': 2109057, 'objectid': 250327, 'uri': 'http://repository.lppm.unila.ac.id/id/file/613404', 'filename': 'Lap Kemajuan Penelitian Mandiri Okee.pdf', 'hash_type': 'MD5', 'mtime': '2023-05-17 10:18:25', 'fileid': 613404, 'datasetid': 'document', 'hash': '79cae7e73be7012afdd5e498f30c930c', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",692,,disk0_bak/00/05/17/75,['FMIPA9'],11,unpub,public,2023-05-19 01:28:33,,['QA75'],http://repository.lppm.unila.ac.id/id/eprint/51775,"Melalui model matematika dapat diketahui pola pertumbuhan populasi dari predator dan prey secara kompleks. Perilaku sistem dapat diasumsikan dengan mengubah nilai parameter sehingga mampu mengestimasi jumlah populasi pada waktu tertentu. Model matematika dengan waktu tunda (τ), menentukan titik kesetimbangan dari sistem persamaan serta menganalisis kestabilan titik kesetimbangan sistem persamaan.",KESTABILAN MODEL PREDATOR PREY DENGAN WAKTU TUNDAAN,FALSE,agus.sutrisno@fmipa.unila.ac.id,,,,,,,,,,,,,,,
2,PELATIHAN PEMBUATAN DATABASE ADMINISTRASI PEKON SEKECAMATAN WAY KRUI KABUPATEN PESISIR BARAT,article,"[{'name': {'given': 'Sutrisno', 'honourific': None, 'family': 'Agus Sutrisno', 'lineage': None}, 'id': 'agus_sutrisno@fmipa.unila.ac.id'}, {'id': 'lazakaria.1969@fmipa.unila.ac.id', 'name': {'honourific': None, 'family': 'Zakaria', 'lineage': None, 'given': 'L'}}, {'name': {'given': 'Azis', 'honourific': None, 'lineage': None, 'family': 'Dorrah'}, 'id': 'dorrah.azis@fmipa.unila.ac.id'}, {'id': 'erstatis@gmail.com', 'name': {'given': 'Setiawan', 'family': 'Eri', 'lineage': None, 'honourific': None}}]",show,2023-05-19 01:28:36,archive,51776,2023-05-19 01:28:36,"[{'format': 'text', 'main': 'Lap Kemajuan Pengabdian Mandiri Okeee.pdf', 'files': [{'fileid': 613420, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'b1079d854a55143f41db29c25b34facd', 'hash_type': 'MD5', 'mtime': '2023-05-17 10:31:55', 'filesize': 4646913, 'objectid': 250333, 'uri': 'http://repository.lppm.unila.ac.id/id/file/613420', 'filename': 'Lap Kemajuan Pengabdian Mandiri Okeee.pdf'}], 'docid': 250333, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 51776, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/250333', 'pos': 1}]",692,,disk0_bak/00/05/17/76,['FMIPA9'],6,unpub,public,2023-05-19 01:28:36,,['QA75'],http://repository.lppm.unila.ac.id/id/eprint/51776,"Selama ini proses pengadministrasian masih berjalan secara manual (melalui alat tulis). Kondisi tersebut,  mengakibatkan pencarian arsip sulit dan tak jarang memakan waktu yang lama bahkan bisa berjam-jam. Dengan jumlah penduduk yang relatif banyak, pemerintah Pekon dituntut untuk melaksanakan tugas kearsipan dengan cepat dan rapi, pekerjaan itu dapat dibantu dengan teknologi saat ini (laptop) melalui software Microsoft office excel. Undang-Undang Nomor 32 Tahun 2004 tentang Pemerintahan Daerah, telah membawa perubahan yang mendasar dalam sistem dan struktur Pemerintahan Daerah serta membawa dampak yang sangat luas bagi penyelenggaraan pemerintahan, perencanaan pembangunan, pengelolaan keuangan dan sistem penganggaran dalam menunjang penyelenggaraan pemerintahan di Daerah, khususnya pada tingkat Pemerintahan Pekon. Untuk meningkatkan manajemen Pemerintahan Pekon perlu dilakukan penataan administrasi agar lebih effektif dan effisien, penataan administrasi merupakan pencatatan data dan informasi dalam mendukung penyelenggaraan Pemerintahan Pekon, maka perlu dilakukan langkah penyempurnaan terhadap  pelaksanaan  administrasi.  Metode  yang  digunakan  adalah  metode  ceramah,  praktek langsung dengan file yang sudah diprogram tinggal diisi, tanya jawab, diskusi dan latihan untuk mengisi form yang sudah diprogram tinggal pengisian. Sehingga setelah adanya kegiatan pelatihan ini diharapkan operator/sekertaris Pekon dapat melakukan penataan administrasi lebih baik lagi.",PELATIHAN PEMBUATAN DATABASE ADMINISTRASI PEKON SEKECAMATAN WAY KRUI KABUPATEN PESISIR BARAT,TRUE,,,,,,,,,,,,,,,,
3,MENYELESAIKAN PERSAMAAN DIFERENSIAL LINEAR ORDE-n NON HOMOGEN DENGAN FUNGSI GREEN,article,"[{'name': {'family': 'Al Ayubi', 'lineage': None, 'honourific': None, 'given': 'Fathurrohman'}, 'id': None}, {'id': None, 'name': {'given': 'Dorrah', 'honourific': None, 'lineage': None, 'family': 'Aziz'}}, {'id': 'ansomath@yahoo.com', 'name': {'given': 'Muslim', 'lineage': None, 'family': 'Ansori', 'honourific': None}}]",show,2018-03-21 02:14:21,archive,6559,2018-03-21 02:14:21,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/19509', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 6559, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'MENYELESAIKAN PERSAMAAN DIFERENSIAL LINEAR ORDE-n NON HOMOGEN DENGAN FUNGSI GREEN.pdf', 'docid': 19509, 'files': [{'objectid': 19509, 'filesize': 1475183, 'uri': 'http://repository.lppm.unila.ac.id/id/file/60600', 'filename': 'MENYELESAIKAN PERSAMAAN DIFERENSIAL LINEAR ORDE-n NON HOMOGEN DENGAN FUNGSI GREEN.pdf', 'hash_type': 'MD5', 'mtime': '2018-02-28 09:22:54', 'fileid': 60600, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '7e74e4da9d4d1dec77732d78be0d864b'}], 'format': 'text'}]",996,Jurusan Matematika FMIPA Unila,disk0/00/00/65/59,['FMIPA9'],6,pub,public,2018-03-21 02:14:21,published,['QA'],http://repository.lppm.unila.ac.id/id/eprint/6559,"Dalam penelitian ini akan disajikan bagaimana menyelesaikan  persamaan diferensial linear orde-n non homogen dengan
fungsi Green melalui transformasi Laplace. Solusi umum dari persamaan diferensial linear orde-n non homogen terdiri dari
solusi homogen dan solusi non homogen. Solusi non homogen sering juga disebut solusi partikulir. Selanjutnya dari solusi
partikulir ini dapat diselesaikan dengan fungsiGreen melalui transformasi Laplace.   Berdasarkan hasil penelitian ini,
didapat bahwa persamaan diferensial linear orde-n non homogen dapat diselesaikan dengan fungsi Green melalui transformasi Laplace. Solusi umum yang diperoleh yaitu :",MENYELESAIKAN PERSAMAAN DIFERENSIAL LINEAR ORDE-n NON HOMOGEN DENGAN FUNGSI GREEN,TRUE,,116-125,1.0,http://fmipa.unila.ac.id/web/matematika/?page_id=1486,978-602-98559-3-7,1.0,,,,,,,,,,
4,"Bukti Korespondensi Artikel ""Analysis of the annual vehicle tax payment service system using Petri net model""",other,"[{'id': None, 'name': {'given': 'Jessica', 'family': 'Andriani', 'lineage': None, 'honourific': None}}, {'id': 'fitriani_mathunila@yahoo.co.id', 'name': {'honourific': None, 'family': 'Fitriani', 'lineage': None, 'given': 'Fitriani'}}, {'name': {'given': 'Ahmad', 'honourific': None, 'lineage': None, 'family': 'Faisol'}, 'id': 'ahmadfaisol@fmipa.unila.ac.id'}]",show,2022-11-18 01:12:04,archive,46712,2022-11-18 01:12:04,"[{'eprintid': 46712, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/185624', 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 514542, 'hash': '800f6257fadef09236475659e7196594', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-11-18 00:37:19', 'filesize': 68345, 'objectid': 185624, 'filename': 'unila.ac.id Mail - [DJM] Submission Acknowledgement.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/514542'}], 'main': 'unila.ac.id Mail - [DJM] Submission Acknowledgement.pdf', 'docid': 185624, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",300,UIN Raden Intan Lampung,disk0/00/04/67/12,['FMIPA9'],7,unpub,public,2022-11-18 01:12:04,,['QA'],http://repository.lppm.unila.ac.id/id/eprint/46712,,,,,,,,,,,,,,,,,,,
5,Corresponding Author: Dimensi metrik hasil operasi tertentu graf Petersen Diperumum,other,"[{'name': {'given': 'Asmiati', 'lineage': None, 'family': 'Asmiati', 'honourific': None}, 'id': 'asmiati.1976@fmipa.unila.ac.id'}]",show,2022-06-06 01:27:18,archive,42096,2022-06-06 01:27:18,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'CA_Dimensi metrik hasil operasi tertentu graf Petersen Diperumum.pdf', 'files': [{'mtime': '2022-06-05 14:45:25', 'hash_type': 'MD5', 'filename': 'CA_Dimensi metrik hasil operasi tertentu graf Petersen Diperumum.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/464070', 'objectid': 163801, 'filesize': 248311, 'hash': 'd50a3a6caddf8fcbcd1b8bdfd115ed30', 'mime_type': 'application/pdf', 'fileid': 464070, 'datasetid': 'document'}], 'docid': 163801, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/163801', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 42096}]",821,Universitas Lampung,disk0/00/04/20/96,['FMIPA9'],8,unpub,public,2022-06-06 01:27:18,,['QA'],http://repository.lppm.unila.ac.id/id/eprint/42096,,,,,,,,,,,,,,,,,,,
6,Corresponding Author: On the locating chromatic number of certain barbell graphs,other,"[{'name': {'given': 'Asmiati', 'honourific': None, 'family': 'Asmiati', 'lineage': None}, 'id': 'asmiati,1976@fmipa.unila.ac.id'}]",show,2022-06-06 01:27:23,archive,42098,2022-06-06 01:27:23,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'CA_On The Locating Chromatic Number of  Certain Barbell Graphs.pdf', 'docid': 163803, 'files': [{'hash': '853a6bd03d21c5c69761ac105dcb7baa', 'mime_type': 'application/pdf', 'fileid': 464085, 'datasetid': 'document', 'mtime': '2022-06-05 15:00:11', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/464085', 'filename': 'CA_On The Locating Chromatic Number of  Certain Barbell Graphs.pdf', 'filesize': 258927, 'objectid': 163803}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/163803', 'pos': 1, 'eprintid': 42098, 'placement': 1}]",821,Universitas Lampung,disk0/00/04/20/98,['FMIPA9'],7,unpub,public,2022-06-06 01:27:23,,['QA'],http://repository.lppm.unila.ac.id/id/eprint/42098,,,,,,,,,,,,,,,,,,,
7,Corresponding Author; Further results on locating chromatic number for amalgamation of stars linking by one path,other,"[{'name': {'family': 'Asmiati', 'lineage': None, 'honourific': None, 'given': 'Asmiati'}, 'id': 'asmiati,1976@fmipa.unila.ac.id'}]",show,2022-06-06 01:27:20,archive,42097,2022-06-06 01:27:20,"[{'placement': 1, 'eprintid': 42097, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163802', 'pos': 1, 'security': 'public', 'main': 'CA_Further results on locating chromatic number for amalgamation of stars.pdf', 'docid': 163802, 'files': [{'mtime': '2022-06-05 14:53:33', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/464078', 'filename': 'CA_Further results on locating chromatic number for amalgamation of stars.pdf', 'filesize': 130093, 'objectid': 163802, 'mime_type': 'application/pdf', 'hash': 'fd02b70b554d82acac74d80cee9f1606', 'datasetid': 'document', 'fileid': 464078}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",821,Universitas Lampung,disk0/00/04/20/97,['FMIPA9'],7,unpub,public,2022-06-06 01:27:20,,['QA'],http://repository.lppm.unila.ac.id/id/eprint/42097,,,,,,,,,,,,,,,,,,,
8,Peer Review: Comparative analysis of some modified Prim’s Algorithms to solve the Multiperiod degree constrained minimum spanning tree problem,other,"[{'id': 'asmiati,1976@fmipa.unila.ac.id', 'name': {'honourific': None, 'family': 'Asmiati', 'lineage': None, 'given': 'Asmiati'}}]",show,2022-06-10 07:36:06,archive,42299,2022-06-10 07:36:06,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '4. Comparative analysis of some modified Prim’s Algorithms to solve the Multiperiod degree constrained minimum spanning tree problem.pdf', 'docid': 164005, 'files': [{'mtime': '2022-06-10 07:21:43', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/465506', 'filename': '4. Comparative analysis of some modified Prim’s Algorithms to solve the Multiperiod degree constrained minimum spanning tree problem.pdf', 'filesize': 1384545, 'objectid': 164005, 'mime_type': 'application/pdf', 'hash': '49a86f768ecf30529c1458b2182677f8', 'fileid': 465506, 'datasetid': 'document'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164005', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 42299}]",821,Universitas Lampung,disk0/00/04/22/99,['FMIPA9'],7,unpub,public,2022-06-10 07:36:06,,['QA'],http://repository.lppm.unila.ac.id/id/eprint/42299,,,,,,,,,,,,,,,,,,,
9,Similarity: Comparative analysis of some modified Prim’s Algorithms to solve the Multiperiod degree constrained minimum spanning tree problem,other,"[{'id': 'asmiati,1976@fmipa.unila.ac.id', 'name': {'given': 'Asmiati', 'family': 'Asmiati', 'lineage': None, 'honourific': None}}]",show,2022-06-10 07:36:04,archive,42298,2022-06-10 07:36:04,"[{'eprintid': 42298, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164004', 'pos': 1, 'format': 'text', 'docid': 164004, 'main': 'IS19% - COMPARATIVE_ANALYSIS_OF_SOME_MODIFIED_PRIM_S_ALGOR.pdf', 'files': [{'hash': 'c83367ff1dfffb795ab7ffea5cde2e69', 'mime_type': 'application/pdf', 'fileid': 465499, 'datasetid': 'document', 'mtime': '2022-06-10 07:19:40', 'hash_type': 'MD5', 'filename': 'IS19% - COMPARATIVE_ANALYSIS_OF_SOME_MODIFIED_PRIM_S_ALGOR.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/465499', 'objectid': 164004, 'filesize': 1742872}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",821,Universitas Lampung,disk0/00/04/22/98,['FMIPA9'],7,unpub,public,2022-06-10 07:36:04,,['QA'],http://repository.lppm.unila.ac.id/id/eprint/42298,,,,,,,,,,,,,,,,,,,
