,title,type,creators,metadata_visibility,datestamp,eprintid,eprint_status,lastmod,documents,userid,divisions,publisher,dir,ispublished,rev_number,full_text_status,status_changed,subjects,date,uri,abstract,succeeds,refereed,pagerange,official_url,number,publication,issn,date_type,volume,contributors,related_url,referencetext,pres_type,corp_creators,event_title,event_type,event_dates,event_location
0,Analisis Keterkaitan dan Pengganda Perkebunan dan Agroindustri Kelapa Sawit terhadap Perekenomian Wilayah Lampung,other,"[{'name': {'lineage': None, 'family': 'Abidin', 'honourific': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",show,2021-05-29 00:36:43,31220,archive,2021-05-29 00:36:43,"[{'files': [{'hash': 'a0110941ebce306635ae119a3aecec80', 'mime_type': 'application/pdf', 'fileid': 370058, 'datasetid': 'document', 'filename': 'JISE VOL 18 NO 2  2014 Anggri, M irfan, dan zainal .pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/370058', 'objectid': 141062, 'filesize': 380522, 'mtime': '2021-05-28 15:40:48', 'hash_type': 'MD5'}], 'main': 'JISE VOL 18 NO 2  2014 Anggri, M irfan, dan zainal .pdf', 'docid': 141062, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 31220, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141062', 'security': 'public'}]",933,['FP1'],LPPM Universitas Lampung,disk0/00/03/12/20,unpub,7,public,2021-05-29 00:36:43,['S1'],1970-01-01 00:00:00.000002014,http://repository.lppm.unila.ac.id/id/eprint/31220,Review JSE Vol 18 No 2 tahun 2014,,,,,,,,,,,,,,,,,,
1,Analisis Keterkaitan dan Penggnda Ekonomi Karet Indnesia,other,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}}]",show,2021-05-29 00:37:16,31234,archive,2021-05-29 00:37:16,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': 'c5c9e8c127e3ff80b781e80911cd9e2f', 'datasetid': 'document', 'fileid': 370183, 'mtime': '2021-05-28 16:18:08', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/370183', 'filename': 'JIIA Vol 2 No 1 2014 tutik bustanul dan zainal .pdf', 'objectid': 141103, 'filesize': 373127}], 'main': 'JIIA Vol 2 No 1 2014 tutik bustanul dan zainal .pdf', 'docid': 141103, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141103', 'eprintid': 31234, 'placement': 1}]",933,['FP1'],LPPM Universitas Lampung,disk0/00/03/12/34,unpub,7,public,2021-05-29 00:37:16,['S1'],1970-01-01 00:00:00.000002014,http://repository.lppm.unila.ac.id/id/eprint/31234,JIIA Vol.2 No 1 tahun 2014,,,,,,,,,,,,,,,,,,
2,Analisis Keterkaitan dan Penggnda Ekonomi Karet Indnesia,other,"[{'name': {'given': 'Zainal', 'family': 'Abidin', 'lineage': None, 'honourific': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",show,2022-04-12 01:21:47,41211,archive,2022-04-12 01:21:47,"[{'format': 'text', 'main': 'revisi Review JIIA Vol 2 No 1 2014 .pdf', 'files': [{'mtime': '2022-04-11 10:49:46', 'hash_type': 'MD5', 'filename': 'revisi Review JIIA Vol 2 No 1 2014 .pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/457237', 'filesize': 367583, 'objectid': 162703, 'hash': 'e8961361c52497f7ec0cc92bfe538add', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 457237}], 'docid': 162703, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'eprintid': 41211, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162703'}]",933,['FP1'],LPPM Universitas Lampung,disk0/00/04/12/11,unpub,6,public,2022-04-12 01:21:47,['S1'],1970-01-01 00:00:00.000002014,http://repository.lppm.unila.ac.id/id/eprint/41211,JIIA Vol.2 No 1 tahun 2014,,,,,,,,,,,,,,,,,,
3,Keunggulan Kompetitif dan Komparatif Usahatani Manggis di Kabupaten Tanggamus,other,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'family': 'Abidin', 'lineage': None, 'honourific': None}}]",show,2021-05-29 00:36:52,31225,archive,2021-05-29 00:36:52,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141076', 'eprintid': 31225, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'fileid': 370103, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'bb50172c343acd91a5b1905fea3a9dcf', 'hash_type': 'MD5', 'mtime': '2021-05-28 15:56:17', 'filesize': 377319, 'objectid': 141076, 'filename': 'JIIA Vol 2 No 3 2014 anggala zainal  dan suriaty s.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/370103'}], 'main': 'JIIA Vol 2 No 3 2014 anggala zainal  dan suriaty s.pdf', 'docid': 141076}]",933,['FP1'],LPPM Universitas Lampung,disk0/00/03/12/25,unpub,7,public,2021-05-29 00:36:52,['S1'],1970-01-01 00:00:00.000002014,http://repository.lppm.unila.ac.id/id/eprint/31225,Review JIIA Vol 2 No 3 tahun 2014,,,,,,,,,,,,,,,,,,
4,Keunggulan Kompetitif dan Komparatif Usahatani Manggis di Kabupaten Tanggamus,other,"[{'name': {'given': 'Zainal', 'family': 'Abidin', 'lineage': None, 'honourific': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",show,2022-04-12 01:21:51,41213,archive,2022-04-12 01:21:51,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'docid': 162706, 'main': 'revisi review JIIA Vol 2 No 132014 angga dkk.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-04-11 12:54:34', 'objectid': 162706, 'filesize': 376848, 'filename': 'revisi review JIIA Vol 2 No 132014 angga dkk.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/457248', 'fileid': 457248, 'datasetid': 'document', 'hash': 'd02704d3d18a1634bb9f8dc332a87d54', 'mime_type': 'application/pdf'}], 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162706', 'pos': 1, 'eprintid': 41213, 'placement': 1}]",933,['FP1'],LPPM Universitas Lampung,disk0/00/04/12/13,unpub,4,public,2022-04-12 01:21:51,['S1'],1970-01-01 00:00:00.000002014,http://repository.lppm.unila.ac.id/id/eprint/41213,Review JIIA Vol 2 No 3 tahun 2014,,,,,,,,,,,,,,,,,,
5,Kinerja dan Nilai Tambah Agroindustri Sabut Kelapa di Kabupaten Pesisir Barat,other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Abidin', 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",show,2022-04-12 01:21:30,41197,archive,2022-04-12 01:21:30,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162674', 'pos': 6, 'eprintid': 41197, 'placement': 6, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 162674, 'main': 'revisi review rekan sejawat jurnal JIIA Vol 2 No 2 April 2014.pdf', 'files': [{'mtime': '2022-04-11 05:28:12', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/457152', 'filename': 'revisi review rekan sejawat jurnal JIIA Vol 2 No 2 April 2014.pdf', 'objectid': 162674, 'filesize': 409390, 'mime_type': 'application/pdf', 'hash': '0b20af38c3bca8fff25ffcd137124fe6', 'fileid': 457152, 'datasetid': 'document'}]}]",933,['FP1'],LPPM Universitas Lampung,disk0/00/04/11/97,unpub,7,public,2022-04-12 01:21:30,['S1'],1970-01-01 00:00:00.000002014,http://repository.lppm.unila.ac.id/id/eprint/41197,Review JIIA Vol 2 No 2 tahun 2014,31232.0,,,,,,,,,,,,,,,,,
6,Pendapatan dan Kesejahteraan Rumah Tangga Nelayan Obor di Kota Bandar Lampung,other,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Abidin', 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",show,2021-05-29 00:36:47,31223,archive,2021-05-29 00:36:47,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/141068', 'pos': 1, 'eprintid': 31223, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'docid': 141068, 'main': 'JIIA Vol 2 No 1 2014 fadillah zainal  dan umi kalsum.pdf', 'files': [{'objectid': 141068, 'filesize': 391656, 'uri': 'http://repository.lppm.unila.ac.id/id/file/370077', 'filename': 'JIIA Vol 2 No 1 2014 fadillah zainal  dan umi kalsum.pdf', 'hash_type': 'MD5', 'mtime': '2021-05-28 15:47:49', 'fileid': 370077, 'datasetid': 'document', 'hash': 'a920c1151a9443ffb369cb4c216fe4ce', 'mime_type': 'application/pdf'}]}]",933,['FP1'],LPPM Universitas Lampung,disk0/00/03/12/23,unpub,7,public,2021-05-29 00:36:47,['S1'],1970-01-01 00:00:00.000002014,http://repository.lppm.unila.ac.id/id/eprint/31223,Review JIIA Vol 2 No 1 tahun 2014,,,,,,,,,,,,,,,,,,
7,Pendapatan dan Kesejahteraan Rumah Tangga Nelayan Obor di Kota Bandar Lampung,other,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'lineage': None, 'family': 'Abidin', 'honourific': None}}]",show,2022-04-12 01:21:49,41212,archive,2022-04-12 01:21:49,"[{'main': 'revisi review JIIA Vol 2 No 1 2014 padilah dkk.pdf', 'docid': 162705, 'files': [{'mtime': '2022-04-11 12:31:14', 'hash_type': 'MD5', 'filename': 'revisi review JIIA Vol 2 No 1 2014 padilah dkk.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/457244', 'filesize': 389548, 'objectid': 162705, 'mime_type': 'application/pdf', 'hash': '422c9e0a1abf3de90e40727b795e49d0', 'fileid': 457244, 'datasetid': 'document'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 41212, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162705', 'security': 'public'}]",933,['FP1'],LPPM Universitas Lampung,disk0/00/04/12/12,unpub,6,public,2022-04-12 01:21:49,['S1'],1970-01-01 00:00:00.000002014,http://repository.lppm.unila.ac.id/id/eprint/41212,Review JIIA Vol 2 No 1 tahun 2014,,,,,,,,,,,,,,,,,,
8,"Pendapatan dan Kesejahteraan etani Karet Rakyat di Kec. Bumi Agung, Kab. Way Kanan",other,"[{'name': {'family': 'Abidin', 'lineage': None, 'honourific': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",show,2021-05-29 00:37:02,31228,archive,2021-05-29 00:37:02,"[{'eprintid': 31228, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141083', 'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/370126', 'filename': 'JIIA Vol 2 No 2 2014 reny zainal  dan achdiansyah.pdf', 'objectid': 141083, 'filesize': 379982, 'mtime': '2021-05-28 16:03:28', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'd6fae8278c046659b9c96fb2a959eb29', 'fileid': 370126, 'datasetid': 'document'}], 'main': 'JIIA Vol 2 No 2 2014 reny zainal  dan achdiansyah.pdf', 'docid': 141083, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",933,['FP1'],LPPM Universitas Lampung,disk0/00/03/12/28,unpub,7,public,2021-05-29 00:37:02,['S1'],1970-01-01 00:00:00.000002014,http://repository.lppm.unila.ac.id/id/eprint/31228,Reiew JIIA Vol 2 no 2 2014,,,,,,,,,,,,,,,,,,
9,"Pendapatan dan Kesejahteraan etani Karet Rakyat di Kec. Bumi Agung, Kab. Way Kanan",other,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'lineage': None, 'family': 'Abidin', 'honourific': None}}]",show,2022-04-12 01:21:53,41215,archive,2022-04-12 01:21:53,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'revisi review JIIA Vol 2 No 2 2014 reny dkk dkk.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': 'b89157b8e2aed6139f9254160352280d', 'fileid': 457253, 'datasetid': 'document', 'mtime': '2022-04-11 13:15:24', 'hash_type': 'MD5', 'filename': 'revisi review JIIA Vol 2 No 2 2014 reny dkk dkk.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/457253', 'filesize': 388007, 'objectid': 162707}], 'docid': 162707, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162707', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 41215}]",933,['FP1'],LPPM Universitas Lampung,disk0/00/04/12/15,unpub,4,public,2022-04-12 01:21:53,['S1'],1970-01-01 00:00:00.000002014,http://repository.lppm.unila.ac.id/id/eprint/41215,Reiew JIIA Vol 2 no 2 2014,,,,,,,,,,,,,,,,,,
