,type,creators,title,eprint_status,eprintid,datestamp,metadata_visibility,userid,documents,lastmod,divisions,publisher,dir,status_changed,full_text_status,ispublished,rev_number,subjects,abstract,date,uri,succeeds,refereed,official_url,number,pagerange,issn,funders,publication,related_url,corp_creators,volume,date_type,book_title,pages,isbn,contact_email,keywords,contributors,id_number
0,other,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'family': 'Abidin', 'lineage': None, 'honourific': None}}]",Analisis Pendapatan dan Pengeluaran Petani Padi,archive,31215,2021-05-29 00:36:29,show,933,"[{'main': 'JIIA Vol 3 No 3 2015 Mei Tri Zainal dan Umi Kalsum  .pdf', 'docid': 141034, 'files': [{'hash': '426396622e2692b592d17f80aa5c5bf4', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 370003, 'mtime': '2021-05-28 15:22:53', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/370003', 'filename': 'JIIA Vol 3 No 3 2015 Mei Tri Zainal dan Umi Kalsum  .pdf', 'filesize': 357818, 'objectid': 141034}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 31215, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141034', 'security': 'public'}]",2021-05-29 00:36:29,['FP1'],LPPM Universitas Lampung,disk0/00/03/12/15,2021-05-29 00:36:29,public,unpub,7,['S1'],REview JIIA Vol 3 No 3 2015,1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/31215,,,,,,,,,,,,,,,,,,,
1,other,"[{'name': {'given': 'Zainal', 'honourific': None, 'family': 'Abidin', 'lineage': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",Analisis Pendapatan dan Pengeluaran Petani Padi,archive,41217,2022-04-12 01:21:59,show,933,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162714', 'eprintid': 41217, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'revisi review JIIA Vol 3 no 3  2015  mei tri dkk.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '130306a8594de09b9c7e7388db5c84ed', 'datasetid': 'document', 'fileid': 457269, 'mtime': '2022-04-11 13:42:33', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/457269', 'filename': 'revisi review JIIA Vol 3 no 3  2015  mei tri dkk.pdf', 'filesize': 360413, 'objectid': 162714}], 'docid': 162714}]",2022-04-12 01:21:59,['FP1'],LPPM Universitas Lampung,disk0/00/04/12/17,2022-04-12 01:21:59,public,unpub,4,['S1'],REview JIIA Vol 3 No 3 2015,1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/41217,,,,,,,,,,,,,,,,,,,
2,other,"[{'name': {'given': 'Zainal', 'honourific': None, 'family': 'Abidin', 'lineage': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}]","Analisis Risiko Usahatani Kedelai di Kecamatan Raman Utara, Kabupaten Lampung Tmur",archive,41216,2022-04-12 01:21:56,show,933,"[{'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 457263, 'hash': '6e927656d7f46ee001349c29caf03923', 'mime_type': 'application/pdf', 'filesize': 376285, 'objectid': 162713, 'filename': 'revisi review JIIA Vol 3 no 2 2015 tri dkk.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/457263', 'hash_type': 'MD5', 'mtime': '2022-04-11 13:29:29'}], 'main': 'revisi review JIIA Vol 3 no 2 2015 tri dkk.pdf', 'docid': 162713, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 41216, 'placement': 6, 'security': 'public', 'pos': 6, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162713'}]",2022-04-12 01:21:56,['FP1'],LPPM Universitas Lampung,disk0/00/04/12/16,2022-04-12 01:21:56,public,unpub,7,['S1'],Revie JIIA Vol 3 No 2 tahun 2015,1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/41216,31197.0,,,,,,,,,,,,,,,,,,
3,other,"[{'name': {'family': 'Abidin', 'lineage': None, 'honourific': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",Analisis SWOT Pada Kelembagaan Pengelolaan Irigasi dalam Kebiakan Pengembangan dan Pengelolaan SIstem Irigasi,archive,31212,2021-05-29 00:36:18,show,933,"[{'placement': 1, 'eprintid': 31212, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141025', 'security': 'public', 'files': [{'filename': 'JSE Vol 19 No 1 2015 Andi Dinata .pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/369978', 'filesize': 369357, 'objectid': 141025, 'mtime': '2021-05-28 15:13:22', 'hash_type': 'MD5', 'hash': '92a7051d1091ba296b5ba3156cae2c86', 'mime_type': 'application/pdf', 'fileid': 369978, 'datasetid': 'document'}], 'main': 'JSE Vol 19 No 1 2015 Andi Dinata .pdf', 'docid': 141025, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",2021-05-29 00:36:18,['FP1'],LPPM Universitas Lampung,disk0/00/03/12/12,2021-05-29 00:36:18,public,unpub,7,['S1'],Reviwe JSE Vol 19 No 1 tahun 2015,1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/31212,,,,,,,,,,,,,,,,,,,
4,other,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'lineage': None, 'family': 'Abidin', 'honourific': None}}]",Determinan Keputusan Petani dalam Konversi Lahan Sawah Menjadi permukiman,archive,31218,2021-05-29 00:36:36,show,933,"[{'format': 'text', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/370036', 'filename': 'JIIA Vol 3 No 3 2015  Umiyati Kulsum, Bustanul Arifin dan Zainal Abidin.pdf', 'objectid': 141051, 'filesize': 384484, 'mtime': '2021-05-28 15:30:52', 'hash_type': 'MD5', 'hash': 'aaa68e4bdd0838e1c9c406612725ed3f', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 370036}], 'main': 'JIIA Vol 3 No 3 2015  Umiyati Kulsum, Bustanul Arifin dan Zainal Abidin.pdf', 'docid': 141051, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 31218, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/141051'}]",2021-05-29 00:36:36,['FP1'],LPPM Universitas Lampung,disk0/00/03/12/18,2021-05-29 00:36:36,public,unpub,7,['S1'],Review JIIA Vol 3 No 3 tahun 2015,1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/31218,,,,,,,,,,,,,,,,,,,
5,other,"[{'name': {'lineage': None, 'family': 'Abidin', 'honourific': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",Determinan Keputusan Petani dalam Konversi Lahan Sawah Menjadi permukiman,archive,41218,2022-04-12 01:22:01,show,933,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/162715', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 41218, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'revisi review JIIA Vol 3 no 3  2015   umiyati dkk.pdf', 'files': [{'datasetid': 'document', 'fileid': 457273, 'mime_type': 'application/pdf', 'hash': 'c94d66a6c562450a7f0c3046fb512ec0', 'hash_type': 'MD5', 'mtime': '2022-04-11 14:49:05', 'filesize': 393285, 'objectid': 162715, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457273', 'filename': 'revisi review JIIA Vol 3 no 3  2015   umiyati dkk.pdf'}], 'docid': 162715, 'format': 'text'}]",2022-04-12 01:22:01,['FP1'],LPPM Universitas Lampung,disk0/00/04/12/18,2022-04-12 01:22:01,public,unpub,4,['S1'],Review JIIA Vol 3 No 3 tahun 2015,1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/41218,,,,,,,,,,,,,,,,,,,
6,article,"[{'name': {'given': 'Veronica Lia', 'family': 'Andriani', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'family': 'Indriani', 'lineage': None, 'given': 'Yaktiworo'}, 'id': 'yakti_indriani@yahoo.com'}, {'name': {'honourific': None, 'family': 'Adawiyah', 'lineage': None, 'given': 'Rabiatul'}, 'id': None}]",POLA MAKAN DAN TINGKAT KECUKUPAN GIZI BALITA PADA KELUARGA PETANI JAGUNG,archive,9566,2018-11-09 03:22:09,show,938,,2018-11-09 03:22:09,['FP1'],Juruan Agribisnis Fakultas Pertanian Universitas Lampung,disk0/00/00/95/66,2018-11-09 03:22:09,none,pub,5,['S1'],"This study aims to determine the corn farm income, food pattern and the Nutritional adequacy level (NAL) of under five year’s old children (balita) from The Corn Farmers’ Families. The study usedsurvey method by involvingall 58 balita in Pematang Baru Village of Palas Subdistrict of South Lampung Regency. This research location was chosen for it has the largest corn producing areas. The data was analyzed descriptively and statistically by multiple linear regression quantitavely by calculating R/C ratio and NAL.  The study results showed that corn farming was profitable for its total R/C value was greater than 1 and R/C of cash cost was1.49. Food Pattern of the balita indicated by the frequency of consumption per week of rice 16.17 times, packaging milk 2.36 times, spinach 1.30 times, banana 1.21 times, and tea  2,34 times. The average NAL of was as follows:energy 59.31%, protein 88.86%, fat 35.97, carbohydrate 73.14%, calcium 29.54%, phosphorus 58.54%, Fe 71.63 percent, vitamin A 69.93%, and vitamin C 52.61%.  The NAL of energy, fat, calcium, phosphorus, vitamin A and vitamin C fell into the category of severe deficit since they’re less than 70 percent.",2015-10-30 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/9566,,TRUE,http://jurnal.fp.unila.ac.id/index.php/JIA,4.0,419-425,2337 7070,['Jurusan Agribisbnis Fakultas Pertanian Universitas Lampung'],Jurnal Ilmu-Ilmu Agribisnis,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIA'}],['Jurusan Agribisnis Fakultas Pertanian Unila'],3.0,,,,,,,,
7,article,"[{'name': {'given': 'Hani Fitria', 'lineage': None, 'family': 'Anggraini', 'honourific': None}, 'id': 'hanifitriaanggraini@yahoo.com'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Lestari', 'given': 'Dyah Aring Hepiana'}, 'id': 'dyaharing@fp.unila.ac.id'}, {'name': {'given': 'Rabiatul', 'lineage': None, 'family': 'Adawiyah', 'honourific': None}, 'id': None}]",PENDAPATAN DAN KESEJAHTERAAN PETERNAK KAMBING PE ANGGOTA DAN NON ANGGOTA KELOMPOK TANI DI DESA SUNGAI LANGKA KECAMATAN GEDUNG TATAAN KABUPATEN PESAWARAN,archive,23316,2020-07-23 03:18:46,show,908,"[{'format': 'text', 'main': '1089-2829-1-SM.pdf', 'files': [{'filesize': 129582, 'objectid': 36910, 'uri': 'http://repository.lppm.unila.ac.id/id/file/213333', 'filename': '1089-2829-1-SM.pdf', 'hash_type': 'MD5', 'mtime': '2020-07-23 02:38:36', 'datasetid': 'document', 'fileid': 213333, 'mime_type': 'application/pdf', 'hash': '702c43b6decdd87a316b2e45f126cfce'}], 'docid': 36910, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 23316, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/36910'}]",2020-07-23 03:18:46,['FP1'],Universitas Lampung,disk0/00/02/33/16,2020-07-23 03:18:46,public,pub,8,"['H1', 'HB', 'S1']","This study aims to determine : 1) The factors affecting the farmer’s decision become farmers group members, 2) The income of members and non-members of goat farmers group, 3) The welfare level of members and non-members of goat farmers group.  This study was conducted in Sungai Langka Village, Gedung Tataan Sub-district, Pesawaran Regency used by survey method.  Respondents were 18 farmers group members and 45 farmers group non-members.  Data collection was carried out in Juli-August 2014.  The data analysis methods were done by qualitative descriptive and quantitative were used by Logit models, income of tabulation, and welfare analysis based on BPS’s criteria (2012).  The results showed that 1) The income and sell price of goat farmers gave possitive effect against of the farmer’s decision become farmers group members, but their experiences gave negative effect, 2) There was differences of the farmer’s average income of goat farming. The income of farmers group members was higher than farmers group non-members, 3) The farmers group members and non-members classified as rich household.

Key words : farmers group, income, PE’s goat, welfare",2015-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/23316,,TRUE,https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/1089,4.0,393-401,2337-7070,,JIIA (Jurnal Ilmu-Ilmu Agribisnis),,,3.0,published,,,,,,,
8,article,"[{'id': 'rizaarviansyah@gmail.com', 'name': {'given': 'Riza', 'honourific': None, 'family': 'Arviansyah', 'lineage': None}}, {'name': {'given': 'Sudarma', 'honourific': None, 'lineage': None, 'family': 'Widjaya'}, 'id': None}, {'id': 'suriatysitumorang@yahoo.com', 'name': {'given': 'Suriaty', 'honourific': None, 'family': 'Situmorang', 'lineage': None}}]","ANALISIS PENDAPATAN DAN SISTEM PEMASARAN SUSU KAMBING DI DESA SUNGAI
LANGKA KECAMATAN GEDUNG TATAAN KABUPATEN PESAWARAN
(Analysis of Income and Marketing System of Goat Milk in Sungai Langka Village Gedung Tataan Sub-
District Pesawaran Regency)",archive,5984,2018-04-25 06:49:18,show,519,"[{'mime_type': 'application/pdf', 'language': 'id', 'rev_number': 2, 'content': 'published', 'files': [{'hash': '481a566d4f7b68f83efe14696def7907', 'mime_type': 'application/pdf', 'fileid': 55422, 'datasetid': 'document', 'mtime': '2017-11-18 09:17:35', 'hash_type': 'MD5', 'filename': 'JIIA - Riza Arviansyah.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/55422', 'objectid': 18900, 'filesize': 146264}], 'main': 'JIIA - Riza Arviansyah.pdf', 'docid': 18900, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/18900', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 5984}]",2018-04-25 06:49:18,['FP1'],Juruan Agribisnis Fakultas Pertanian Universitas Lampung,disk0/00/00/59/84,2018-04-25 06:49:18,public,pub,8,"['AC', 'S1']","ABSTRACT
The objective of this research were to : (1) identify goat’s milk production and income, and (2) analyze
marketing system efficiency of goat’s milk. Location of this research was in Sungai Langka Village Gedung
Tataan District Pesawaran Regency was purposively selected, 37 breeders and 3 broker as marketing
agency for the sample. Sampling method for breeders used census method, while sampling method for
marketing agency used snowball method. Data are drawn in July-December 2014. This research used
descriptive qualitative and quantitative for the data analysis. The results of this research showed that : (1)
average of production for goat’s milk in location’s research is still below the potential. Income is already
profitable, and (2) marketing system of goat’s milk in location’s research was inefficient.
Key words : goat’s milk, income, marketing, production",2015-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/5984,,TRUE,,4.0,363-369,2337 7070,,Jurnal Ilmu-Ilmu Agribisnis,,"['Jurusan Agribisnis, Fakultas Pertanian, Universitas Lampung', 'Jurusan Agribisnis, Fakultas Pertanian, Universitas Lampung', 'Jurusan Agribisnis, Fakultas Pertanian, Universitas Lampung']",3.0,published,,,,,,,
9,article,"[{'name': {'lineage': None, 'family': 'Endaryanto', 'honourific': None, 'given': 'Teguh'}, 'id': 'teguh.endaryanto@fp.unila.ac.id'}]","Check Similarity Result: The Impact of Regional Expansion on Economic Structure: A Case Study in Lampung Province, Indonesia",archive,19060,2020-04-13 01:54:17,show,344,"[{'placement': 1, 'eprintid': 19060, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32300', 'security': 'public', 'docid': 32300, 'main': 'The_Impact_of_Regional_Expansion_on_Economic_Struc.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '8e4967a9cb30245a9b64ea5d6722923d', 'datasetid': 'document', 'fileid': 159836, 'uri': 'http://repository.lppm.unila.ac.id/id/file/159836', 'filename': 'The_Impact_of_Regional_Expansion_on_Economic_Struc.pdf', 'objectid': 32300, 'filesize': 3699603, 'mtime': '2020-04-10 00:53:00', 'hash_type': 'MD5'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2020-04-13 01:54:17,['FP1'],IJSBAR is published by (ISRRA),disk0/00/01/90/60,2020-04-13 01:54:17,public,pub,6,['H1'],Check Similarity Result,1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/19060,,TRUE,https://www.gssrr.org/index.php/JournalOfBasicAndApplied/article/view/4234,2.0,1-18,2307-4531,,International Journal of Sciences: Basic and Applied Research (IJSBAR),,['Universitas Lampung'],23.0,published,,,,,,,
