,userid,number,official_url,lastmod,documents,datestamp,eprint_status,eprintid,metadata_visibility,pagerange,type,creators,title,refereed,abstract,volume,date,uri,subjects,issn,full_text_status,status_changed,ispublished,rev_number,divisions,publisher,publication,dir,succeeds,copyright_holders,editors,pages,isbn,place_of_pub,date_type,corp_creators,book_title,contact_email,institution,monograph_type,event_type,event_title,event_location,pres_type,event_dates,id_number,related_url,contributors,referencetext,funders,keywords,projects
0,775,1.0,http://jurnal.poltekba.ac.id/index.php/jsh/issue/view/,2019-05-08 07:12:46,"[{'eprintid': 11679, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/24669', 'pos': 1, 'format': 'text', 'docid': 24669, 'main': 'Jurnal Bu Begem.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '13a4418aac7a433115ea9cebcda3e698', 'datasetid': 'document', 'fileid': 105554, 'mtime': '2019-05-06 01:39:03', 'hash_type': 'MD5', 'filename': 'Jurnal Bu Begem.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/105554', 'objectid': 24669, 'filesize': 263752}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2019-05-08 07:12:46,archive,11679,show,10-19,article,"[{'name': {'lineage': None, 'family': 'Abduk', 'honourific': None, 'given': 'Mutolib'}, 'id': None}, {'id': 'dewangganikmatullah@yahoo.com', 'name': {'given': 'Nikmatullah', 'family': 'Dewangga', 'lineage': None, 'honourific': None}}, {'id': 'irwaneffendi@gmail.com', 'name': {'given': 'Efendi', 'lineage': None, 'family': 'Irwan', 'honourific': None}}, {'name': {'given': 'BV', 'lineage': None, 'family': 'Begem Viantimala', 'honourific': None}, 'id': 'beggem_vh@yahoo.com'}, {'name': {'given': 'Rahmat', 'lineage': None, 'family': 'Ali', 'honourific': None}, 'id': None}]","Kontribusi Dana Desa dalam Pengembangan Badan Usaha Milik Desa di Desa Hanura, Kabupaten Pesawaran, Provinsi Lampung",TRUE,"Abstract

One of the government's efforts to accelerate development in disadvantaged, deepest and outermost regions is through  the  Village  Fund  Policy.  One  of  the  obligations  after  the  issuance  of  Law  No.  6  of  2014  is  the implementation of BUMDes (Village-Owned Enterprises). The study aims to analyze the contribution of Village Funds in the development of BUMDes in Hanura Village, Teluk Pandan District, Pesawaran District, Lampung Province. The study used a qualitative descriptive approach. Data collection was carried out through in-depth interviews with village officials and managers of BUMDes and field observations. The results of this study indicate that village funds in Hanura Village have contributed to the development of BUMDes. In 2018 the Ha nura Village Government budgeted costs for the Procurement of Infrastructure Production Activities for Agriculture / livestock / fisheries production of Rp. 12,265,000.00. Then the Budget for Procurement of Marketing Infrastructure Activities (Shop and Cooperative Development) is Rp. 104,700,000.00, and the Community Economic Business Development and Establishment Activities (for other Capital Equipment and Machine Expenditures and animal and livestock capital expenditures) of Rp. 39,999,997.00. The business units owned by BUMDes Conscience include: 1) Market Management, 2) Product and Service Units, 3) Home Industry. One of the BUMDes marketing strategies is through online sales through the BUMDes website.

Keywords : Village fund, BUMDes, Hanura village",3.0,2019-03-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/11679,['S1'],25805398,public,2019-05-08 07:12:46,pub,8,['FP1'],IPB,Junal Sosial Humaniora Pendidikan,disk0/00/01/16/79,,,,,,,,,,,,,,,,,,,,,,,,
1,933,,,2022-04-18 01:08:21,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'files': [{'datasetid': 'document', 'fileid': 458333, 'mime_type': 'application/pdf', 'hash': '6156a72ad911668663e1d81bb0df00d9', 'filesize': 381138, 'objectid': 162951, 'filename': 'rvisi review jofsa vol 3 no 2 2019 aufa zainal lina .pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/458333', 'hash_type': 'MD5', 'mtime': '2022-04-14 15:32:01'}], 'main': 'rvisi review jofsa vol 3 no 2 2019 aufa zainal lina .pdf', 'docid': 162951, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162951', 'security': 'public', 'placement': 1, 'eprintid': 41338}]",2022-04-18 01:08:21,archive,41338,show,,other,"[{'name': {'given': 'Zainal', 'family': 'Abidin', 'lineage': None, 'honourific': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",Analisis Penentuan Biaya Pokok Produksi Olahan Kopi Robusta di Koperasi Turto Kencono Tanaggamus,,REview JOVA Vol 3 No 2 Oktober 2019,,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/41338,['S1'],,public,2022-04-18 01:08:21,unpub,7,['FP1'],LPPM Universitas Lampung,,disk0/00/04/13/38,32125.0,,,,,,,,,,,,,,,,,,,,,,,
2,933,,,2021-05-29 00:33:54,"[{'placement': 1, 'eprintid': 31164, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/140795', 'security': 'public', 'main': 'JIIA Vol 7 n0 1 2019 tri nugroho zainal dan Lina marlina.pdf', 'docid': 140795, 'files': [{'filename': 'JIIA Vol 7 n0 1 2019 tri nugroho zainal dan Lina marlina.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/369464', 'objectid': 140795, 'filesize': 385207, 'mtime': '2021-05-28 09:23:22', 'hash_type': 'MD5', 'hash': '23d3b8384924077399a05f706c4bdc96', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 369464}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2021-05-29 00:33:54,archive,31164,show,,other,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'family': 'Abidin', 'lineage': None, 'honourific': None, 'given': 'Zainal'}}]",Dampak Fenomena El Nino Terhadap Pendapatan Usahatani Dan Pola Tanam Petani Padi Di Kecamatan Natar Kabupaten Lampung Selatan,,Review atas jurnl JIIA Vol 7 No 1,,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/31164,['S1'],,public,2021-05-29 00:33:54,unpub,7,['FP1'],LPPM Universitas Lampung,,disk0/00/03/11/64,,,,,,,,,,,,,,,,,,,,,,,,
3,933,,,2022-04-12 03:49:35,"[{'eprintid': 41263, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/162793', 'pos': 1, 'format': 'text', 'main': 'REVISI REVIEW JIIA Vol 7 no 1 2019 NUGROHO  dkk.pdf', 'files': [{'fileid': 457661, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'e0e926cf2518a3199da0e937bc02e589', 'filesize': 395247, 'objectid': 162793, 'filename': 'REVISI REVIEW JIIA Vol 7 no 1 2019 NUGROHO  dkk.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/457661', 'hash_type': 'MD5', 'mtime': '2022-04-12 02:56:08'}], 'docid': 162793, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2022-04-12 03:49:35,archive,41263,show,,other,"[{'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",Dampak Fenomena El Nino Terhadap Pendapatan Usahatani Dan Pola Tanam Petani Padi Di Kecamatan Natar Kabupaten Lampung Selatan,,Review atas jurnl JIIA Vol 7 No 1,,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/41263,['S1'],,public,2022-04-12 03:49:35,unpub,4,['FP1'],LPPM Universitas Lampung,,disk0/00/04/12/63,,,,,,,,,,,,,,,,,,,,,,,,
4,933,,http://pusakamedia.com,2019-04-09 02:27:13,"[{'eprintid': 11081, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24076', 'format': 'text', 'main': 'english for agribusines edisi revisi.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '3b0bb6fe4bfa2439ca13f642d707033f', 'datasetid': 'document', 'fileid': 101291, 'uri': 'http://repository.lppm.unila.ac.id/id/file/101291', 'filename': 'english for agribusines edisi revisi.pdf', 'objectid': 24076, 'filesize': 2962762, 'mtime': '2019-04-04 14:10:26', 'hash_type': 'MD5'}], 'docid': 24076, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2019-04-09 02:27:13,archive,11081,show,,book,"[{'name': {'given': 'Zainal', 'family': 'Abidin', 'lineage': None, 'honourific': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",English for Agribusiness Edisi Revisi,FALSE,"This book is revised version of Englsih for Agribusiness, printed in 2017-2018.  This book is a teaching material for student enrolling in English for Agribusiness class.  It contains of chapter, consisting or readings, English structure, problems, and assignment for student activity.
This book covers discussion on easy reading to more complicated passages. By completing reading and learning from this book, student is expected to gain knowledge and skills on understanding agribusiness with context of English",,2019-02-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/11081,['S1'],,public,2019-04-09 02:27:13,pub,10,"['FH1', 'FP1']",Pusaka Media,,disk0/00/01/10/81,11072.0,['Zainal Abidin'],"[{'id': 'yakti_indriani@yahoo.com', 'name': {'family': 'Indriani', 'lineage': None, 'honourific': None, 'given': 'Yaktiworo'}}, {'name': {'lineage': None, 'family': 'Nurmayasari', 'honourific': None, 'given': 'Indah'}, 'id': 'indah.nurmayasari@unila.ac.id'}]",98.0,978-602-5420-79-5,Bandaer Lampung,,,,,,,,,,,,,,,,,,
5,933,,,2021-05-29 00:34:13,"[{'format': 'text', 'files': [{'objectid': 140801, 'filesize': 381138, 'uri': 'http://repository.lppm.unila.ac.id/id/file/369495', 'filename': 'JIIA Vol 7 no 2 mei 2019 magdalena, yaktiworo dan zainal a.pdf', 'hash_type': 'MD5', 'mtime': '2021-05-28 09:32:49', 'fileid': 369495, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'c8ddd861de9ff50c52ab73f683cb91b9'}], 'main': 'JIIA Vol 7 no 2 mei 2019 magdalena, yaktiworo dan zainal a.pdf', 'docid': 140801, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 31168, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/140801', 'pos': 1}]",2021-05-29 00:34:13,archive,31168,show,,other,"[{'name': {'lineage': None, 'family': 'Abidin', 'honourific': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",Identifikasi Atribut Pelayanan Dan Tingkat Kepuasan Konsumen Rumah Makan Bakso Di Lingkungan Universitas Lampung,,Review JIIA Vol 7 no 2 Mwi 2019,,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/31168,['S1'],,public,2021-05-29 00:34:13,unpub,8,['FP1'],LPPM Universitas Lampung,,disk0/00/03/11/68,,,,,,,,,,,,,,,,,,,,,,,,
6,933,,,2022-04-12 05:08:06,"[{'eprintid': 41278, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162814', 'format': 'text', 'docid': 162814, 'main': 'revisi review JIIA Vol 7 no 2  2019  magdalena dkk.pdf', 'files': [{'fileid': 457796, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '2396ecdb036e69f94552d61ccb3ba265', 'hash_type': 'MD5', 'mtime': '2022-04-12 04:14:48', 'filesize': 387768, 'objectid': 162814, 'uri': 'http://repository.lppm.unila.ac.id/id/file/457796', 'filename': 'revisi review JIIA Vol 7 no 2  2019  magdalena dkk.pdf'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2022-04-12 05:08:06,archive,41278,show,,other,"[{'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",Identifikasi Atribut Pelayanan Dan Tingkat Kepuasan Konsumen Rumah Makan Bakso Di Lingkungan Universitas Lampung,,Review JIIA Vol 7 no 2 Mwi 2019,,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/41278,['S1'],,public,2022-04-12 05:08:06,unpub,4,['FP1'],LPPM Universitas Lampung,,disk0/00/04/12/78,,,,,,,,,,,,,,,,,,,,,,,,
7,933,,,2021-05-29 00:34:29,"[{'format': 'text', 'files': [{'mtime': '2021-05-28 09:43:42', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/369582', 'filename': 'JIIA Vol 7 no 2 mei 2019  febrina veronica zainal a dan ktut murniati.pdf', 'filesize': 402486, 'objectid': 140840, 'hash': '5f664efcb4eb0a024a21ce30e2070c62', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 369582}], 'main': 'JIIA Vol 7 no 2 mei 2019  febrina veronica zainal a dan ktut murniati.pdf', 'docid': 140840, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 31172, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/140840'}]",2021-05-29 00:34:29,archive,31172,show,,other,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Abidin', 'lineage': None, 'given': 'Zainal'}}]",Kajian Implementasi Peraturan Menteri Perdagangan  Nomor 57 Tahun 2017 Di Bandar Lampung,,Review JIIA Vol 7 No 2 Mei 2019,,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/31172,['S1'],,public,2021-05-29 00:34:29,unpub,7,['FP1'],LPPM Universitas Lampung,,disk0/00/03/11/72,,,,,,,,,,,,,,,,,,,,,,,,
8,933,,,2021-05-28 01:01:17,"[{'format': 'text', 'main': 'Review babbuku karakterisik sosek zainal abidin dan abdulmotolib 2019.pdf', 'docid': 140382, 'files': [{'objectid': 140382, 'filesize': 343250, 'filename': 'Review babbuku karakterisik sosek zainal abidin dan abdulmotolib 2019.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/368535', 'hash_type': 'MD5', 'mtime': '2021-05-27 16:24:07', 'datasetid': 'document', 'fileid': 368535, 'mime_type': 'application/pdf', 'hash': '65954e4709f2251a1d0874eed1d23f44'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 31083, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/140382'}]",2021-05-28 01:01:17,archive,31083,show,,other,"[{'name': {'given': 'Zainal', 'honourific': None, 'family': 'Abidin', 'lineage': None}, 'id': 'zainal.abidin@fp.unila.ac.id'}]","Karakteristik Sosial-Ekonomi Dan Pengetahuan Masyarakat Terhadap Isu Perubahan Iklim Degradasi Lahan, Dan Keanekaragaman Hayati: Studi Kasus Di esa Bayas Jaya, Kecamatan Way Khilau, Kabupaten Pesawaran, Provinsi Lampung",,Review Baba Buku Karakteristik SOSEK penulis Zainal Abidin dan Abdul Mtolib,,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/31083,['S1'],,public,2021-05-28 01:01:17,unpub,7,['FP1'],LPPM Universitas Lampung,,disk0/00/03/10/83,,,,,,,,,,,,,,,,,,,,,,,,
9,933,,,2022-04-12 05:08:29,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'review JIIA Vol 7 no 4  2019  lbella dkk.pdf', 'docid': 162827, 'files': [{'hash_type': 'MD5', 'mtime': '2022-04-12 04:48:24', 'filesize': 409025, 'objectid': 162827, 'filename': 'review JIIA Vol 7 no 4  2019  lbella dkk.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/457858', 'fileid': 457858, 'datasetid': 'document', 'hash': '5d2498699984733af52249fe9338f0fa', 'mime_type': 'application/pdf'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/162827', 'eprintid': 41288, 'placement': 1}]",2022-04-12 05:08:29,archive,41288,show,,other,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'honourific': None, 'family': 'Abidin', 'lineage': None}}]",Pendapatan Dan Pola Konsumsi Rumah Tangga Petani Sekitar Tahura Wan Abdul Rachman Di Desa Wiyono Kecamatan Gedong Tataan,,"Revie JIIA Vol 7 No 4 an Putri Anessa Bela, Zainal Abidin, dan S. Widjaya",,1970-01-01 00:00:00.000002019,http://repository.lppm.unila.ac.id/id/eprint/41288,['S1'],,public,2022-04-12 05:08:29,unpub,7,['FP1'],LPPM Unila,,disk0/00/04/12/88,31080.0,,,,,,,,,,,,,,,,,,,,,,,
