,title,refereed,creators,type,metadata_visibility,pagerange,datestamp,eprintid,eprint_status,lastmod,official_url,documents,userid,number,related_url,dir,publisher,publication,divisions,rev_number,ispublished,full_text_status,issn,status_changed,date_type,subjects,uri,date,abstract,volume,institution,monograph_type,succeeds,contributors,id_number,corp_creators,referencetext,isbn,book_title,event_location,event_dates,pres_type,event_title,event_type,place_of_pub,contact_email
0,ANALISIS PREFERENSI KONSUMEN KEDAI KOPI DI KOTA BANDARLAMPUNG,TRUE,"[{'id': None, 'name': {'family': 'A Permadi', 'lineage': None, 'honourific': None, 'given': 'Rizky'}}, {'id': 'sayekti_wur@yahoo.co.id', 'name': {'given': 'Wuryaningsih Dwi', 'family': 'Sayekti', 'lineage': None, 'honourific': None}}, {'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'family': 'Abidin', 'lineage': None, 'honourific': None, 'given': 'Zainal'}}]",article,show,132-139,2022-05-31 02:14:48,41974,archive,2022-05-31 02:14:48,https://jurnal.fp.unila.ac.id/index.php/JIA/index,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'docid': 163679, 'main': 'COVER ORGANISASI DAFISI RIZKY DKK JIIA VOL 10 NO 1 2022 LENGKAP.pdf', 'files': [{'datasetid': 'document', 'fileid': 463137, 'mime_type': 'application/pdf', 'hash': '7ea6c634709ea7ba5968677632c5dd61', 'hash_type': 'MD5', 'mtime': '2022-05-30 15:23:57', 'filesize': 1238581, 'objectid': 163679, 'uri': 'http://repository.lppm.unila.ac.id/id/file/463137', 'filename': 'COVER ORGANISASI DAFISI RIZKY DKK JIIA VOL 10 NO 1 2022 LENGKAP.pdf'}], 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163679', 'eprintid': 41974, 'placement': 1}]",933,1.0,[{'url': 'https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5686/pdf'}],disk0/00/04/19/74,Juruan Agribisnis Fakultas Pertanian Universitas Lampung,Jurnal Ilmu-Ilmu Agribisnis,['FP1'],6,pub,public,2337 7070,2022-05-31 02:14:48,published,['S1'],http://repository.lppm.unila.ac.id/id/eprint/41974,2022-02,"The growth of coffee shop is very fast recently in Bandarlampung with different characteristics that causes various consumer preference. This research aims to analyze consumer preferences as well as the level of performance and importance of coffee shop attributes in Bandarlampung. This study used a survey method involving 100 respondents with analytical tools, namely Conjoint Analysis, Customer Satification Index, and Important Performance Analysis. The research location was determined randomly, namely Bun Kopi, 20 Kopi, Diskusi Kopi, Kala Senja Café, and Rencana Kopi. The study shows that consumer preferences for coffee shops in Bandarlampung City were include complete facilities, such as cool and comfortable atmosphere, the taste of soft coffee drinks, modern industrialist building design, and fast service. The study also shows that customers are satisfied with the coffee shop. The taste attribute has the highest level of performance. Furthermore the attributes of facilities, services, and atmosphere have less performance, suggesting that these attributes need improvements. Meanwhile building design attribute is not priority for costumer .",10.0,,,,,,,,,,,,,,,,
1,Akreditas Jurnal Ilmu Ilmu Agribisnis 2022,,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Abidin', 'given': 'Zainal'}, 'id': 'zainal.abidin@fp.unila.ac.id'}]",other,show,,2022-12-14 01:20:58,47197,archive,2022-12-14 01:20:58,,"[{'eprintid': 47197, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/186176', 'pos': 1, 'format': 'text', 'docid': 186176, 'main': 'Hasil_Akreditasi_Jurnal_Ilmiah_Periode_II_Tahun_2022 (2).pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-12-13 09:30:19', 'objectid': 186176, 'filesize': 3955134, 'uri': 'http://repository.lppm.unila.ac.id/id/file/518297', 'filename': 'Hasil_Akreditasi_Jurnal_Ilmiah_Periode_II_Tahun_2022 (2).pdf', 'datasetid': 'document', 'fileid': 518297, 'hash': 'a61e5ae270c07cdd64624d315a85ad4f', 'mime_type': 'application/pdf'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",933,,,disk0/00/04/71/97,"Direktorat Jenderal Perguruan Tinggi, Kementerian Pendidikan dan Kebudayaan, Rpublik Indonesia",,['FP1'],11,unpub,public,,2022-12-14 01:20:58,,['AC'],http://repository.lppm.unila.ac.id/id/eprint/47197,2022-11,"Merupakan surat keputusan akreditas jurnal yang dikeluarkan oleh Dirjen Dikti No.  1429/E.53./HM.01.01/2022 tentang Pemberitahuan Hasil Akreditasi Jurnal Jurnal Ilmiah Perio II tahun 2022.   Pada lampiran, Jurnal JIIA mendapat akreditas tingkat 4 sesuai dengan tercantum di Lampiran pada tabel No 196 halaman 48.  Masa berlaku akreditas Sinta 4 adalah dari Vol 8 No 2 tahun 2020 sampai dengan Vol 13 No 1, tahun 2025.",,,,,,,,,,,,,,,,,
2,Review artikel Zainal dkk pada prosiding IOP COnference Trepsea,,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Abidin', 'honourific': None, 'given': 'Zainal'}}]",other,show,,2022-06-20 06:34:54,42646,archive,2022-06-20 06:34:54,,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164359', 'eprintid': 42646, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'datasetid': 'document', 'fileid': 467936, 'hash': '6190199cfcfd2185240c76f3846a7122', 'mime_type': 'application/pdf', 'filesize': 377254, 'objectid': 164359, 'uri': 'http://repository.lppm.unila.ac.id/id/file/467936', 'filename': 'review artikel prosiding iop TREPSEA 2022.pdf', 'hash_type': 'MD5', 'mtime': '2022-06-20 05:10:31'}], 'main': 'review artikel prosiding iop TREPSEA 2022.pdf', 'docid': 164359}]",933,,,disk0/00/04/26/46,LPPM Universitas Lampung,,['FP1'],7,unpub,public,,2022-06-20 06:34:54,,['S1'],http://repository.lppm.unila.ac.id/id/eprint/42646,2022-05-24,Reviw rekan sejawat untuk naskah zainal abidin dkk pada IOP Conrference TREPSEA conference 2022,,,,,,,,,,,,,,,,,
3,"ANALISIS KESEDIAAN MEMBAYAR JASA AIR BERSIH DI DESA BAYAS JAYA, KECAMATAN WAY KHILAU, KABUPATEN PESAWARAN",,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'lineage': None, 'family': 'Abidin', 'honourific': None}}, {'id': None, 'name': {'given': 'Irwan', 'family': 'Efendi', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Gultom', 'given': 'Dame Trully'}, 'id': 'trully.dame@yahoo.co.id'}]",monograph,show,,2023-05-25 10:00:03,52020,archive,2023-05-25 10:00:03,,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'LAPORAN PENELITIAN_ZA_DIPA FP 2022  td tangan_compressed.pdf', 'docid': 251677, 'files': [{'datasetid': 'document', 'fileid': 616354, 'mime_type': 'application/pdf', 'hash': '7b23b4841a810d8c6567189185ad3189', 'hash_type': 'MD5', 'mtime': '2023-05-25 09:39:57', 'filesize': 532346, 'objectid': 251677, 'filename': 'LAPORAN PENELITIAN_ZA_DIPA FP 2022  td tangan_compressed.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/616354'}], 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/251677', 'security': 'public', 'placement': 1, 'eprintid': 52020}]",933,,,disk0_bak/00/05/20/20,LPPM Universitas Lampung,,['FP1'],4,unpub,public,,2023-05-25 10:00:03,completed,['S1'],http://repository.lppm.unila.ac.id/id/eprint/52020,2022-09,"Jasa air bersih berbasis masyarakat adalah jasa pelayanan yang diinisiasi oleh masyarakat dan untuk masyarakat. Model jasa air bersih di pedesaan berbasis masyarakat memiliki berbagai nama di berbagai daerah seperti PAMDes, PDAMDes, Kelompo Pengelola Air Bersih (KPAB) di Sub-DAS Way Besai.  Penelitian ini bertujuan untuk 1( menganalisis kesediaan membayar atas jasa air bersih yang ditingkatkan, 2. menganalisis faktor-faktor yang mempengaruhi kesediaan membayar.  Penelitian enggunakan metode Contingent Valuation Method untuk menjawab tujuan 1 dan analisis regresi berganda untuk menjawab tujuan 2.  Penelitian dilaksanakan di Desa Bayas Jaya, Kecamatan Way Khilau, Kabupaten Pesawaran.  enelitian melibatkan 75 rumah tangga penerima aisr bersih.  Hasil penelitian menunjukkan bahwa (1) mayoritas bersedia membayar jasa air bersih dengan nilai nominal kesediaan membayar Rp 440.367 per tahun.  (2) faktor-faktor yang mempengaruhi kesediaan membayar yaitu a. model jasa air bersih, b. usia pelanggan, dan c. debit air yang diterima pelanggan",,LPPM Universitas Lampung,technical_report,52019.0,,,,,,,,,,,,,
4,"Analysis of Food Expenditures of Rice Farmers in Flooding Prone Region in South Lampung District, Lampung Province",TRUE,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Abidin', 'honourific': None, 'given': 'Zainal'}}, {'name': {'given': 'Dewangga', 'lineage': None, 'family': 'Nikmatullah', 'honourific': None}, 'id': 'dewangga.nikmatullah@fp.unila.ac.id'}, {'name': {'lineage': None, 'family': 'Nugraha', 'honourific': None, 'given': 'Adia'}, 'id': 'adianugraha13@gmail.com'}, {'id': 'yuliana.saleh@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Saleh', 'given': 'Yuliana'}}]",article,show,1-11,2022-05-31 02:14:41,41972,archive,2022-05-31 02:14:41,https://iopscience.iop.org,"[{'format': 'text', 'files': [{'fileid': 463125, 'datasetid': 'document', 'hash': 'e1d5dd9516a2d4ebe9e579100b6fa19f', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2022-05-30 14:54:11', 'filesize': 1199529, 'objectid': 163677, 'filename': 'cover organisasi dan naskah zainal abidin dkk di IOP 2022.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/463125'}], 'main': 'cover organisasi dan naskah zainal abidin dkk di IOP 2022.pdf', 'docid': 163677, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 41972, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163677'}]",933,,[{'url': 'https://iopscience.iop.org/article/10.1088/1755-1315/1027/1/011001'}],disk0/00/04/19/72,IOP Publishing,IOP Conference Series: Earth and Environmental Science,['FP1'],6,pub,public,Vol 1027 year 2022,2022-05-31 02:14:41,published,['S1'],http://repository.lppm.unila.ac.id/id/eprint/41972,2022-05,"Flooding frequently happened in South Lampung District between January and February which caused loss of production significantly to rice farmers. This study aims at analysing model of food expenditures of paddy farmers using survey method. The study involved 120 farmers who were randomly selected from flooding prone area and was carried out in July- September 2020. Data were analysed using regression model where dependent variable is food expenditures, and independent variables include rice production, corn production, loss of production due to flooding, family income, number of owning livestock, price of rice, price of cassava, and number of family member. Before regression analysis was run, the study did standard test for ordinary least- squares (OLS) such as multicollinearity, heteroscedasticity, and autocorrelation tests. The data passed all the required tests. The study suggests that factors affecting food expenditures include rice production, corn production, family income, price of cassava, loss of production due to flooding, and price of rice. The model concludes R2 is 0.543 suggesting that there is still about 45% of other factors that were not included in the model. The t-test suggests that rice production, family income, and price of cassava have a highly significant influence in affecting the farmers’ food expenditure in South Lampung District.",1027.0,,,,,,,,,,,,,,,,
5,Koresponding letter to TREPSEA IOP COnference Zainal Dewangga Adia dan Yuliana,,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'given': 'Zainal', 'lineage': None, 'family': 'Abidin', 'honourific': None}}, {'name': {'lineage': None, 'family': 'Nikmatullah', 'honourific': None, 'given': 'Dewangga'}, 'id': 'dewangga.nikmatullah@fp.unila.ac.id'}, {'name': {'given': 'Adia', 'family': 'Nugraha', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'given': 'Yuliana', 'lineage': None, 'family': 'Saleh', 'honourific': None}, 'id': 'agb_yulianasaleh@yahoo.com'}]",other,show,,2023-04-10 05:09:40,50043,archive,2023-04-10 05:09:40,,"[{'docid': 189736, 'main': 'koresponden letter trepsea 2022 zainal dewangga adia dan yuliana .pdf', 'files': [{'mtime': '2023-04-10 04:44:51', 'hash_type': 'MD5', 'filename': 'koresponden letter trepsea 2022 zainal dewangga adia dan yuliana .pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/541374', 'objectid': 189736, 'filesize': 515068, 'hash': '400ef6b888b370da4fd958814267a594', 'mime_type': 'application/pdf', 'fileid': 541374, 'datasetid': 'document'}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 50043, 'uri': 'http://repository.lppm.unila.ac.id/id/document/189736', 'pos': 1, 'security': 'public'}]",933,,,disk0_bak/00/05/00/43,IOP Conf. Series: Earth and Environmental Science,,['FP1'],7,pub,public,,2023-04-10 05:09:40,published,['S1'],http://repository.lppm.unila.ac.id/id/eprint/50043,2022-05,KOresponding letter ke TREPSEA dan IOP Conference zainal dewangga adia dan yuliana,,,,,"[{'name': {'lineage': None, 'family': 'Dewangga Nikmatullah', 'honourific': None, 'given': 'Dewangga Nikmatullah'}}, {'name': {'given': 'Dewangga Nikmatullah', 'lineage': None, 'family': 'Dewangga Nikmatullah', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Dewangga Nikmatullah', 'lineage': None, 'given': 'Dewangga Nikmatullah'}}, {'name': {'given': 'Dewangga Nikmatullah', 'honourific': None, 'lineage': None, 'family': 'Dewangga Nikmatullah'}}]",,,,,,,,,,,,
6,Test similarities menggunakan Turnitin untuk naskah zainal dkk pada Prosiding IOP Earth and Environmental Science Vol 2027 tahun 2022,,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Abidin', 'honourific': None, 'given': 'Zainal'}}, {'id': 'dewangga.nikmatullah@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Nikmatullah', 'honourific': None, 'given': 'Dewangga'}}, {'name': {'given': 'Adia', 'honourific': None, 'lineage': None, 'family': 'Nugraha'}, 'id': None}, {'name': {'given': 'Yuliana', 'lineage': None, 'family': 'Saleh', 'honourific': None}, 'id': 'agb_yulianasaleh@yahoo.com'}]",other,show,,2022-06-06 01:26:29,42083,archive,2022-06-06 01:26:29,,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Turnitin test prosiding iop 2022 Analysis of Food Expenditures of Rice Farmers in Flooding Prone Region in South Lampung District, La.pdf', 'files': [{'hash': '7d11dcf49d9e4a22200d3f7e65428d4e', 'mime_type': 'application/pdf', 'fileid': 463961, 'datasetid': 'document', 'mtime': '2022-06-03 12:43:48', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/463961', 'filename': 'Turnitin test prosiding iop 2022 Analysis of Food Expenditures of Rice Farmers in Flooding Prone Region in South Lampung District, La.pdf', 'objectid': 163776, 'filesize': 752595}], 'docid': 163776, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163776', 'security': 'public', 'placement': 1, 'eprintid': 42083}]",933,,,disk0/00/04/20/83,IOP Publishing,,['FP1'],7,pub,public,,2022-06-06 01:26:29,published,['S1'],http://repository.lppm.unila.ac.id/id/eprint/42083,2022-05-24,Dikumen ini adaah hasil test similarities menggunakan aplikasi turnitin atas naskah yang ditulis oleh zainal abidin dkk yang terbit pada IOP Prosiding Earh and Environmeantal Science Vol 1027 tahun 2022,,,,,,,,,,,,,,,,,
7,Korespondende letter jurnal agrikultura,,"[{'id': 'zainal.abidin@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Abidin', 'given': 'Zainal'}}, {'name': {'given': 'Fembriarti Erry', 'family': 'Prasmatiwi', 'lineage': None, 'honourific': None}, 'id': 'fembriarti.erry@fp.unila.ac.id'}, {'id': 'hari.kaskoyo@fp.unila.ac.id', 'name': {'family': 'Kaskoyo', 'lineage': None, 'honourific': None, 'given': 'Hari'}}]",other,show,,2023-04-10 09:19:33,50093,archive,2023-04-10 09:19:33,,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': '[Agrikultura] Editor Decision - zainal.abidin@fp.unila.ac.id - unila.ac.id Mail.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2023-04-10 07:39:38', 'objectid': 189793, 'filesize': 128347, 'uri': 'http://repository.lppm.unila.ac.id/id/file/541777', 'filename': '[Agrikultura] Editor Decision - zainal.abidin@fp.unila.ac.id - unila.ac.id Mail.pdf', 'fileid': 541777, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '1049252ba8304ecf2fe14e2ff9f67738'}], 'docid': 189793, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/189793', 'pos': 1, 'eprintid': 50093, 'placement': 1}]",933,,,disk0_bak/00/05/00/93,"Fakultas Pertanian, Universitas Padjadjaran",,['FP1'],7,pub,public,,2023-04-10 09:19:33,published,['S1'],http://repository.lppm.unila.ac.id/id/eprint/50093,2022-12,Koresponden letter jurnal agrikultura Unpad,,,,,,,,,,,,,,,,,
8,"KEBERHASILAN SISTEM AGRIBISNIS PADA KORPORASI PETANI DI DESA
MARGA CATUR KECAMATAN KALIANDA KABUPATEN LAMPUNG SELATAN",TRUE,"[{'id': 'dwikamutiaraa@gmail.com', 'name': {'given': 'Dwika Mutiara', 'honourific': None, 'family': 'Abriani', 'lineage': None}}, {'id': 'dyaharing@fp.unila.ac.id', 'name': {'given': 'Dyah Aring Hepiana', 'family': 'Lestari', 'lineage': None, 'honourific': None}}, {'name': {'given': 'Novi', 'lineage': None, 'family': 'Rosanti', 'honourific': None}, 'id': 'noci.rosanti@fp.unila.ac.id'}]",article,show,463-477,2022-06-10 06:27:13,42282,archive,2022-06-10 06:27:13,https://jepa.ub.ac.id/index.php/jepa/article/view/990,"[{'eprintid': 42282, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/163988', 'format': 'text', 'main': 'KEBERHASILAN SISTEM AGRIBISNIS PADA KORPORASI PETANI DI DESA MARGA CATUR KECAMATAN KALIANDA KABUPATEN LAMPUNG SELATAN.pdf', 'docid': 163988, 'files': [{'hash': '34a3d6b6ec09aeb5bb9b15de4410b736', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 465373, 'mtime': '2022-06-10 02:58:22', 'hash_type': 'MD5', 'filename': 'KEBERHASILAN SISTEM AGRIBISNIS PADA KORPORASI PETANI DI DESA MARGA CATUR KECAMATAN KALIANDA KABUPATEN LAMPUNG SELATAN.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/465373', 'filesize': 278105, 'objectid': 163988}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",908,2.0,[{'url': 'https://jepa.ub.ac.id/index.php/jepa/article/view/990'}],disk0/00/04/22/82,Universitas Brawijaya,KEBERHASILAN SISTEM AGRIBISNIS PADA KORPORASI PETANI DI DESA MARGA CATUR KECAMATAN KALIANDA KABUPATEN LAMPUNG SELATAN,['FP1'],6,pub,public,2614-4670,2022-06-10 06:27:13,published,['S1'],http://repository.lppm.unila.ac.id/id/eprint/42282,2022-04-05,"This study aims to determine the success of the corn agribusiness system in farmer corporations
in terms of production facilities, farming, processing, marketing, and supporting services. This
research was conducted using a survey method. The research was conducted in Marga Catur,
Kalianda, South Lampung with the consideration that the location is implementing the Farming
Corporation Development Program (PKU) by conducting corn cultivation activities. The
number of respondents was 21 corn farmers selected by the census method, 3 corn wholesalers
selected by the snowball sampling method, and 2 corn processors selected by the census method.
Data collection was carried out in December 2020. Data analysis was carried out using the
agribusiness system index. The result showed that the corn agribusiness system index in farmer
corporations was not good with a total value of 10,82 or equal to 56,73% from the maximum
value of 17,09. The corn agribusiness index system in terms of production facilities, farming,
and processing was in good categories. However, the index of the corn agribusiness system in
terms of marketing and support services is not good.


Keywords: agribusiness index, agribusiness system, corn",6.0,,,,,https://doi.org/10.21776/ub.jepa.2022.006.02.12,,,,,,,,,,,
9,SIKAP KONSUMEN DAN POLA PEMBELIAN SUSU GREENFIELDS DI KOTA BANDAR LAMPUNG,TRUE,"[{'name': {'given': 'Rabiatul', 'lineage': None, 'family': 'Adawiyah', 'honourific': None}, 'id': 'rabiatul.adawiyah@fp.unila.ac.id'}, {'id': 'adianugraha13@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Nugraha', 'given': 'Adia'}}, {'id': None, 'name': {'family': 'Fadhilah', 'lineage': None, 'honourific': None, 'given': 'Ghina Putri'}}]",article,show,417-422,2023-05-08 05:49:17,51209,archive,2023-05-08 05:49:17,https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5808,"[{'eprintid': 51209, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/190941', 'pos': 1, 'format': 'text', 'docid': 190941, 'main': 'Ghina (JIIA10-4-2022).pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2023-05-08 05:02:29', 'objectid': 190941, 'filesize': 971165, 'filename': 'Ghina (JIIA10-4-2022).pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/550281', 'fileid': 550281, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '5af773c692618f698ff0ab30771f664c'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",634,4.0,[{'url': 'https://jurnal.fp.unila.ac.id/index.php/JIA/article/view/5808/pdf'}],disk0_bak/00/05/12/09,Jurusan Agribisnis Fakultas Pertanian Universitas Lampung,"Jurnal Ilmu Ilmu Agribisnis: Journal of Agribusiness Science,",['FP1'],6,pub,public,26204177,2023-05-08 05:49:17,published,['S1'],http://repository.lppm.unila.ac.id/id/eprint/51209,2022-11,"This study aims to analyze the attitude of consumers toward the purchase of Greenfields milk in Bandar Lampung City in order to investigate the purchasing pattern of Greenfields milk by consumers towards Greenfields milk. This re search was conducted at Chandra Superstore Tanjung Karang, Chamart Wayhalim, Lion Superindo Lampung, Gelael Lampung, Transmart Lampung, MM Surya Pagar Alam, and Indomaret Plus Ryacudu Korpri 2.  The overlay of this research method was a survey with an accidental technique. Thus, the respondents in this study were 56 Greenfield milk consumers who had bought/consumed Greenfield’s milk at least once during their last month. Research data were analyzed using Fishbein Multi-attribute analysis and descriptive analysis. Data collection was conducted from April to Mei 2021. The results showed that the Greenfields milk consumers of Greenfields milk with the most possible attribute, namely the taste attribute. The highest amount of Greenfields milk purchased was UHT milk with full cream flavor. The average number of purchases of Greenfields milk per customer was 3.369ml per month and the average frequency of purchasing Greenfields milk is two times a month.",10.0,,,,,http://dx.doi.org/10.23960/jiia.v10i4.5808,,,,,,,,,,,
