,subjects,date_type,uri,date,patent_applicant,abstract,divisions,dir,ispublished,rev_number,status_changed,full_text_status,metadata_visibility,eprint_status,id_number,eprintid,datestamp,pages,documents,lastmod,userid,title,creators,type,number,official_url,pagerange,refereed,volume,issn,publisher,publication,place_of_pub,contact_email,corp_creators,related_url
0,"['GE', 'H1', 'SD']",published,http://repository.lppm.unila.ac.id/id/eprint/51773,2020-06-03 00:00:00.000000000,EC00202016823,Wonotani Kanggo Nyegah Pepadhon Menungso Karo Khewan Alas Ing Pinggian Taman Nasional,['FP12'],disk0_bak/00/05/17/73,pub,9,2023-05-17 09:41:36,public,show,archive,188950,51773,2023-05-17 09:41:36,25.0,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Full Sertifikat_Cergam Sunda.pdf', 'docid': 250316, 'files': [{'datasetid': 'document', 'fileid': 613376, 'hash': 'e1e6e70323a230cb38ec0d1533559144', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2023-05-17 09:15:39', 'objectid': 250316, 'filesize': 2950984, 'filename': 'Full Sertifikat_Cergam Sunda.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/613376'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/250316', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 51773}]",2023-05-17 09:41:36,753,HKI Buku Cergam Edisi Bahasa Jawa Wanatani untuk Mencegah Konflik Manusia dengan Satwa Liar,"[{'name': {'given': 'Samsul', 'lineage': None, 'family': 'Bakri', 'honourific': None}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'name': {'given': 'Dhanik', 'honourific': None, 'family': 'Sulistiyarini', 'lineage': None}, 'id': 'dhanik.sulistiyarini@fisip.unila.ac.id'}, {'name': {'given': 'Agus', 'family': 'Setiawan', 'lineage': None, 'honourific': None}, 'id': 'aslulila@yahoo.com'}, {'name': {'given': 'Ida', 'honourific': None, 'family': 'nurhaida', 'lineage': None}, 'id': 'ida.nurhaida@fisip.unila.ac.id'}]",patent,,,,,,,,,,,,
1,"['GE', 'H1', 'SD']",published,http://repository.lppm.unila.ac.id/id/eprint/51770,2020-06-03 00:00:00.000000000,EC00202016824,Wanatani Pencegah Konflik Manusiaa dengan Satwa Liar,['FP12'],disk0_bak/00/05/17/70,pub,9,2023-05-17 09:42:02,public,show,archive,188949,51770,2023-05-17 09:42:02,16.0,"[{'format': 'text', 'main': 'Full Sertifikat_Cergam Sunda.pdf', 'files': [{'mtime': '2023-05-17 08:49:18', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/613332', 'filename': 'Full Sertifikat_Cergam Sunda.pdf', 'filesize': 2950984, 'objectid': 250294, 'mime_type': 'application/pdf', 'hash': 'e1e6e70323a230cb38ec0d1533559144', 'datasetid': 'document', 'fileid': 613332}], 'docid': 250294, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 51770, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/250294'}]",2023-05-17 09:42:02,753,HKI Buku Cergam Edisi Bahasa Sunda  Wanatani Pikeun Nyegah Konflik Masyarakat Jeung Sato Liar di Wates Taman Nasional,"[{'id': 'samsul.bakri@fp.unila.ac.id', 'name': {'given': 'Samsul', 'honourific': None, 'lineage': None, 'family': 'Bakri'}}, {'name': {'honourific': None, 'family': 'Sulistiyarini', 'lineage': None, 'given': 'Dhanik'}, 'id': 'dhanik.sulistiyarini@fisip.unila.ac.id'}, {'id': 'aslulila@yahoo.com', 'name': {'family': 'Setiawan', 'lineage': None, 'honourific': None, 'given': 'Agus'}}, {'id': 'ida.nurhaida@fisip.unila.ac.id', 'name': {'honourific': None, 'family': 'nurhaida', 'lineage': None, 'given': 'Ida'}}]",patent,,,,,,,,,,,,
2,['RA0421'],published,http://repository.lppm.unila.ac.id/id/eprint/30571,1970-01-01 00:00:00.000002020,,"Purpose:This study was aimed to analyze the correlation of food security status and 
household food expenditure to nutritional status on pregnant women.This study was aimed 
to identify the significant effect of the determinants factor of maternal health and 
incidence of maternal death.
Research Methodology:This study was an observational study with cross sectional design, 
Thisstudy was conducted in Province Lampung, Indonesia, in 2020. Population of this 
research consisted of situation maternal health in provience Lampung. Sampel in this 
study are report of bacis health and SDGs series: districts/city readiness from 13 districts 
and 2 cities in Province Lampung. The studied indicators either were evaluated of 
environtment, health behavior, and health service for ech districts/city. Data was collected 
and then analyzed using SmartPLS application. 
Results:The environment determinant in this study was determined to water quality and 
sanitation. Health behaviour determinant indicator was assessed by ANC adherence and 
labor operator while indicator of health service determinants were access of health service, 
care of maternal complication, health insurance. All of determinants have significant 
correlation to maternal health by T- value and p value were (T= 2.201 ; p= 0.028), (T= 
2.467 ; p= 0.012), (T=2.737 ; p=0.006), respectively dor environment, health behaviour, 
and health service determinants. Refer to the result above which are schematized in Figure 1, it can be learned that environment, health behavior and health services present strong effets to maternal health. Conclusion:This study results show clearly there are correlation of variable determinants; environment, health behavior, and health service to affect maternal healthby the pathways.
Keywords:food security, household expenditure,nutritional status,pregnancy,socioeconomic determinant",['FP12'],disk0/00/03/05/71,pub,11,2021-05-24 04:41:56,public,show,archive,,30571,2021-05-24 04:41:56,,"[{'placement': 1, 'eprintid': 30571, 'uri': 'http://repository.lppm.unila.ac.id/id/document/137618', 'pos': 1, 'security': 'public', 'files': [{'fileid': 362398, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '784a7d5fa7e29a0394b9ff5500ba1110', 'objectid': 137618, 'filesize': 755861, 'filename': 'EJMCM_Volume 7_Issue 3_Pages 4727-4735.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/362398', 'hash_type': 'MD5', 'mtime': '2021-05-24 03:52:37'}], 'main': 'EJMCM_Volume 7_Issue 3_Pages 4727-4735.pdf', 'docid': 137618, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2021-05-24 04:41:56,753,"Maternal Health Study In Province Lampung 
Based On Prediction Model Structural 
Equation Modeling-Partial Least Square","[{'name': {'lineage': None, 'family': 'DewiPuspita Sari', 'honourific': None, 'given': 'Ratna'}, 'id': 'rata'}, {'id': 'sutyarso@yahoo.co.id', 'name': {'lineage': None, 'family': 'Sutyarso', 'honourific': None, 'given': 'Sutyarso'}}, {'name': {'given': 'Samsul', 'lineage': None, 'family': 'Bakri', 'honourific': None}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'id': None, 'name': {'given': 'Dyah', 'lineage': None, 'family': 'DyahWulanSumekar RW', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Suryawinata', 'lineage': None, 'given': 'Arli'}, 'id': None}, {'id': None, 'name': {'given': 'Mentari', 'family': 'Olivia F', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'family': 'Mahdiansari', 'lineage': None, 'honourific': None, 'given': 'Tisa'}}]",article,3,https://www.ejmcm.com/,4727-4735,TRUE,7.0,2515-8260,Ubiquity Press,European Journal of Molecular & Clinical Medicine,,,,
3,['H1'],published,http://repository.lppm.unila.ac.id/id/eprint/25168,2020-10-01 00:00:00.000000000,,"ABSTRAK
Pengelolaan Tempat Pembuangan Akhir (TPA) secara Open Dumping serta lokasi dan pengelolaan sampah yang kurang memadai menimbulkan dampak negatif bagi masyarakat. Kegagalan pengelolaan sampah di Kota Metro bukan hanya disebabkan kelemahan teknis, kurangnya dukungan finansial, lembaga pengelola yang kurang efisien, serta sistem yang kurang tepat dapat menyebabkan Gangguan Mental Emosional (GME) serta permukiman padat penduduk, daerah kumuh, ventilasi yang buruk, bangunan rumah yang rusak, dinding rumah yang lembab dan berjamur, hingga keberadaan hama di sekitar rumah dapat menyebabkan kecemasan hingga gangguan jiwa. Peneliti mengevaluasi keberadaan TPA di 23 karang Rejo Kota Metro, agar keberadaan TPA dapat sesuai dengan ketentuan aturan yang berlaku. Metode penelitian yang digunakan adalah kualitatif, peneliti menguraikan kata-kata menurut pendapat responden dengan deskriptif. Selain wawancara, untuk memperkuat data yang dicari, peneliti mengambil gambar dan melakukan observasi kepada masyarakat dengan interaksi antar masyarakat, bagaimana masyarakat menjalani kehidupan lingkungan dan sosial. Teknologi pembuangan sampah telah berkembang, salah satunya pengembangan dari metode pembuangan sampah adalah metode Sanitary Landfill, dengan model Reusable Sanitary Landfill (RSL). Cara kerja metode supply yaitu sampah ditumpuk dalam suatu lahan, kemudian lahan tempat sampah dipadatkan sebagai ground liner. Ground liner dilapisi dengan geomembran, lapisan ini yang akan menahan meresapnya lindi ke dalam tanah dan mencemari air tanah. Di atas lapisan Geomembran dilapisi lagi Geotextile yang berfungsi menahan kotoran sehingga tidak bercampur dengan air lindi. Keterbatasan perspektif dalam penelitian karena studi terletak pada kecilnya sampel, disarankan perlu melakukan penelitian lebih lanjut dengan membandingkan beberapa kasus dengan konsep yang berbeda.
Kata Kunci: Tempat Pembuangan Akhir (TPA), Permukiman, Sampah",['FP12'],disk0/00/02/51/68,pub,6,2020-11-16 01:25:49,public,show,archive,,25168,2020-11-16 01:25:49,,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'DAMPAK KEBERADAAN TEMPAT PEMBUANGAN AKHIR.pdf', 'docid': 38948, 'files': [{'fileid': 227651, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '2ab615e95f8b56ab5fef2789d4fe92cc', 'hash_type': 'MD5', 'mtime': '2020-11-13 14:36:01', 'filesize': 233545, 'objectid': 38948, 'uri': 'http://repository.lppm.unila.ac.id/id/file/227651', 'filename': 'DAMPAK KEBERADAAN TEMPAT PEMBUANGAN AKHIR.pdf'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/38948', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 25168}]",2020-11-16 01:25:49,826,DAMPAK KEBERADAAN TEMPAT PEMBUANGAN AKHIR TERHADAP KONDISI LINGKUNGAN DAN SOSIAL DI MASYARAKAT (STUDI KASUS DESA KARANG REJO KOTA METRO LAMPUNG),"[{'name': {'given': 'Diyan', 'lineage': None, 'family': 'Diyan Ahmad Saputra', 'honourific': None}, 'id': 'diyanahmadsaputra@gmail.com'}, {'name': {'honourific': None, 'family': 'Agus Setiawan', 'lineage': None, 'given': 'Agus'}, 'id': 'aslulila@yahoo.com'}, {'name': {'honourific': None, 'family': 'Endro P Wahono', 'lineage': None, 'given': 'Endro'}, 'id': 'epwahono@gmail.com'}, {'id': 'gundowino@gmail.com', 'name': {'given': 'Winarno', 'lineage': None, 'family': 'Gunardi Djoko Winarno', 'honourific': None}}]",article,No. 2,https://journal.unpak.ac.id/index.php/ekologia,79-87,TRUE,20.0,e-ISSN: 2686-4894 ; p-ISSN: 1411-9447,Universitas Pakuan,Ekologia,,,,
4,"['GE', 'RA0421']",published,http://repository.lppm.unila.ac.id/id/eprint/48036,1970-01-01 00:00:00.000002020,,"Abstarct Purpose:This study was aimed to analyze the correlation of food security status and
household food expenditure to nutritional status on pregnant women.This study was aimed
to identify the significant effect of the determinants factor of maternal health and
incidence of maternal death.
Research Methodology:This study was an observational study with cross sectional design,
Thisstudy was conducted in Province Lampung, Indonesia, in 2020. Population of this
research consisted of situation maternal health in provience Lampung. Sampel in this
study are report of bacis health and SDGs series: districts/city readiness from 13 districts
and 2 cities in Province Lampung. The studied indicators either were evaluated of
environtment, health behavior, and health service for ech districts/city. Data was collected
and then analyzed using SmartPLS application.
Results:The environment determinant in this study was determined to water quality and
sanitation. Health behaviour determinant indicator was assessed by ANC adherence and
labor operator while indicator of health service determinants were access of health service,
care of maternal complication, health insurance. All of determinants have significant
correlation to maternal health by T- value and p value were (T= 2.201 ; p= 0.028), (T=
2.467 ; p= 0.012), (T=2.737 ; p=0.006), respectively dor environment, health behaviour,
and health service determinants. Refer to the result above which are schematized in Figure
1, it can be learned that environment, health behavior and health services present strong
effets to maternal health.
Conclusion:This study results show clearly there are correlation of variable determinants;
environment, health behavior, and health service to affect maternal healthby the pathways.
Keywords:food security, household expenditure,nutritional status,pregnancy,
socioeconomic determinant",['FP12'],disk0_bak/00/04/80/36,pub,10,2023-01-26 06:23:35,public,show,archive,,48036,2023-01-26 06:23:35,,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187204', 'eprintid': 48036, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': '9738c355b2df0da5ef490dd106e58a73', 'fileid': 525292, 'datasetid': 'document', 'filename': '[b] Maternal Health.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/525292', 'filesize': 315146, 'objectid': 187204, 'mtime': '2023-01-26 03:12:05', 'hash_type': 'MD5'}], 'main': '[b] Maternal Health.pdf', 'docid': 187204}]",2023-01-26 06:23:35,753,Similarity checker of the paper entitled: Maternal health,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Puspita Sari', 'given': 'Ratna Dewi'}, 'id': 'ratnadps@gmail.com'}, {'name': {'given': 'Sutyarso', 'family': 'Sutyarso', 'lineage': None, 'honourific': None}, 'id': 'sutyarso@yahoo.co.id'}, {'id': 'samsul.bakri@fp.unila.ac.id', 'name': {'given': 'Samsul', 'lineage': None, 'family': 'Bakri', 'honourific': None}}, {'id': 'dyah.wulan@fk.unila.ac.id', 'name': {'given': 'Dyah Wulan', 'honourific': None, 'family': 'Wardani', 'lineage': None}}]",other,,https://www.ejmcm.com/article_5162.html,,,,,"EJMCM, International House",,UK,,,
5,"['GB', 'GE']",published,http://repository.lppm.unila.ac.id/id/eprint/47970,1970-01-01 00:00:00.000002020,,"Abstract. Research on the Palu earthquake in the period of August to October 2018 has been 
carried out in the Palu Koro Fault (PKF) zone with a hypocenter of 5-20 km. This study aims 
to determine the fractal dimensions of these earthquakes based on the relationship between 
logarithmic frequency and earthquake magnitude correlation introduced by Gutenberg-Richter. 
Statistical correlation between logarithmic frequency and earthquake magnitude was calculated 
using the inversion approach. Based on the calculation results obtained fractal dimension value 
of 1.0378, which describes the seismicity pattern at a depth of 5-20 km. It indicates that the 
earthquakes triggered by the movement in rupture segments which seen as points along the 
PKF zone.",['FP12'],disk0_bak/00/04/79/70,pub,9,2023-01-24 01:42:43,public,show,archive,doi:10.1088/1755-1315/575/1/012161,47970,2023-01-24 01:42:43,,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 187083, 'filesize': 1520045, 'filename': '14. Hypocenter dimension_14%.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/524644', 'hash_type': 'MD5', 'mtime': '2023-01-23 06:44:59', 'datasetid': 'document', 'fileid': 524644, 'hash': '063c7fc70f1770359f8cf80649233b0e', 'mime_type': 'application/pdf'}], 'main': '14. Hypocenter dimension_14%.pdf', 'docid': 187083, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187083', 'security': 'public', 'placement': 1, 'eprintid': 47970}]",2023-01-24 01:42:43,753,"14% Overall Similarity the paper entitle ""Hypocenter dimension of 7.5 mw Palu earthquake using 
fractal approach""","[{'name': {'given': 'Syamsurijal', 'honourific': None, 'lineage': None, 'family': 'Rasimeng'}, 'id': 'syamsurijal.rasimeng@eng.unila.ac.id'}, {'id': None, 'name': {'given': 'Allimudin', 'lineage': None, 'family': 'Allimudin', 'honourific': None}}, {'id': 'rustadi_2007@yahoo.com', 'name': {'given': 'Rustadi', 'honourific': None, 'lineage': None, 'family': 'Rustadi'}}, {'name': {'given': 'Rudy Zefrianto', 'honourific': None, 'lineage': None, 'family': 'Sinambela'}, 'id': 'rudyzef@gmail.com'}, {'id': None, 'name': {'honourific': None, 'family': 'Madang', 'lineage': None, 'given': 'Idris'}}, {'id': 'samsul.bakri@fp.unila.ac.id', 'name': {'given': 'Samsul', 'lineage': None, 'family': 'Bakri', 'honourific': None}}, {'id': 'ahmad.zaenudin@eng.unila.ac.id', 'name': {'given': 'ahmad', 'honourific': None, 'family': 'zaenudin', 'lineage': None}}]",other,,https://iopscience.iop.org/article/10.1088/1755-1315/575/1/012161,,,,,IOPPublising,,,,,
6,['GE'],published,http://repository.lppm.unila.ac.id/id/eprint/30671,2020-10-01 00:00:00.000000000,,". Research on the Palu earthquake in the period of August to October 2018 has been 
carried out in the Palu Koro Fault (PKF) zone with a hypocenter of 5-20 km. This study aims 
to determine the fractal dimensions of these earthquakes based on the relationship between 
logarithmic frequency and earthquake magnitude correlation introduced by Gutenberg-Richter. Statistical correlation between logarithmic frequency and earthquake magnitude was calculated using the inversion approach. Based on the calculation results obtained fractal dimension value 
of 1.0378, which describes the seismicity pattern at a depth of 5-20 km. It indicates that the earthquakes triggered by the movement in rupture segments which seen as points along the PKF zone.",['FP12'],disk0/00/03/06/71,pub,8,2021-05-25 01:35:47,public,show,archive,575 (2020) 012161,30671,2021-05-25 01:35:47,,"[{'main': 'Rasimeng_2020_IOP_Conf._Ser.__Earth_Environ._Sci._575_012161.pdf', 'files': [{'filename': 'Rasimeng_2020_IOP_Conf._Ser.__Earth_Environ._Sci._575_012161.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/363685', 'filesize': 910612, 'objectid': 138227, 'mtime': '2021-05-24 16:27:34', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'baad2800ab20a7342b1bb349ba5cd811', 'fileid': 363685, 'datasetid': 'document'}], 'docid': 138227, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 30671, 'uri': 'http://repository.lppm.unila.ac.id/id/document/138227', 'pos': 1, 'security': 'public'}]",2021-05-25 01:35:47,753,"Hypocenter dimension of 7.5 mw Palu earthquake using 
fractal approach","[{'name': {'given': 'Syamsurijal', 'honourific': None, 'lineage': None, 'family': 'Rasimeng'}, 'id': 'syamsurijal.rasimeng@eng.unila.ac.id'}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Allimudin', 'given': 'Allimusin'}}, {'name': {'honourific': None, 'family': 'Rustadi', 'lineage': None, 'given': 'Rustadi'}, 'id': 'rustadi_2007@yahoo.com'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Sinambela', 'given': 'Rudy Zefrianto'}, 'id': 'rudyzef@gmail.com'}, {'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Mandang', 'given': 'Idris'}}, {'id': 'samsul.bakri@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Bakri', 'honourific': None, 'given': 'Samsul'}}, {'name': {'given': 'ahmad', 'honourific': None, 'lineage': None, 'family': 'zaenudin'}, 'id': 'ahmad.zaenudin@eng.unila.ac.id'}]",article,1,,1-11,TRUE,1.0,,,IOP Conference Series: Earth and Environmental Science,,,,
7,['QR'],published,http://repository.lppm.unila.ac.id/id/eprint/24263,2020-09-01 00:00:00.000000000,,"The availability of sufficient energy sources to grow lactic acid bacteria and spices addition can influence probiotic drinks' characteristics. This study aimed to study the effect of glucose and red ginger extract on honey pineapple skin probiotic drinks' characteristics. This study used a Complete Randomized Block Design (RCBD) with two factors. The first factor was glucose concentration, namely 1%, 2%, 3%, and 4% w/v, while the second factor was the concentration of red ginger extract, namely 0%, 1%, 2%, 3%, 4%, and 5% (v/v). The data were analyzed using variance analysis (ANOVA), and the differences between means were determined using the orthogonal polynomials. The results showed that glucose increased total lactic acid bacteria and pH, but decreased the preference score of taste, color, and overall reception, but did not affect those of honey pineapple probiotic juice extract's aroma. The red ginger extract increased the taste, aroma, color, and overall acceptance scores, but did not affect the pH and total lactic acid bacteria of pineapple probiotic drinks. The best probiotic drink was from 2% glucose, and 3% red ginger extract, which had 1.3 x 109 colony lactic acid bacteria /mL; total lactic acid 0.63%; pH 3.69; somewhat like taste, somewhat like aroma; and somewhat like overall reception.","['FP5', 'FP6', 'FP7', 'FP8', 'FP10', 'FP11', 'FP12', 'FP13', 'FP14', 'FP15', 'FP16', 'FP27', 'FP26', 'FP17', 'FP24', 'FP20', 'FP18']",disk0/00/02/42/63,pub,8,2020-10-02 01:05:26,public,show,archive,,24263,2020-10-02 01:05:26,,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/37982', 'security': 'public', 'placement': 1, 'eprintid': 24263, 'rev_number': 3, 'language': 'en', 'mime_type': 'application/pdf', 'content': 'published', 'files': [{'hash': 'c9217c7903e4f0941b954a1192ac78c2', 'mime_type': 'application/pdf', 'fileid': 220835, 'datasetid': 'document', 'mtime': '2020-10-01 17:04:10', 'hash_type': 'MD5', 'filename': 'Rizal et al 2020_Jurnal THP.PDF', 'uri': 'http://repository.lppm.unila.ac.id/id/file/220835', 'filesize': 1173640, 'objectid': 37982}], 'main': 'Rizal et al 2020_Jurnal THP.PDF', 'docid': 37982, 'format': 'text'}]",2020-10-02 01:05:26,962,PENGARUH GLUKOSA DAN JAHE MERAH TERHADAP KARAKTERISTIK MINUMAN PROBIOTIK DARI KULIT NANAS MADU,"[{'id': 'samsul.rizal@fp.unila.ac.id', 'name': {'family': 'Rizal', 'lineage': None, 'honourific': None, 'given': 'Samsul'}}, {'id': 'suharyono@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Suharyono', 'lineage': None, 'given': 'Suharyono'}}, {'id': 'fibra.nurainy@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Nurainy', 'honourific': None, 'given': 'Fibra'}}, {'name': {'given': 'Merliyanisa', 'lineage': None, 'family': 'Merliyanisa', 'honourific': None}, 'id': None}]",article,2,http://jurnal.fp.unila.ac.id/index.php/JTHP/article/view/3640,110-119,TRUE,25.0,ISSN 1410-3044 (print) and ISSN 2304-4399 (online),Jurusan Teknologi Hasil Pertanian Unila,Jurnal Teknologi Industri & Hasil Pertanian,,samsul.rizal@fp.unila.ac.id,['Universitas Lampung'],
8,"['GE', 'RA0421']",published,http://repository.lppm.unila.ac.id/id/eprint/47974,2020-11-02 00:00:00.000000000,,"Abstract – The problem in this study is a diarrheal disease which is the second cause of death in children under five years and has killed around 760,000 children every year. The cause of diarrhea is influenced by several factors, such as the characteristics of children under five (age, sex, body weight, weight growth), habits or behaviour of care and family, basic sanitation, and the condition of the home
environment. This study aims to develop a model and conduct public policy analysis to reduce the incidence of diarrhea through the development of models of maternal care, maternal demographics, characteristics of children under five and environmental sanitation of the incidence of diarrhea in children under five in Tulang Bawang Barat Regency. Samples taken were 300 children under five. Data collection techniques using secondary data sourced from data from the District Health Office of Tulang Bawang Barat, and
questionnaires. This study uses a causal relationship approach that is linear. The postulated model chosen was Linear Log with the
response variable using a binary scale, i.e diarrhea versus no diarrhea. Given a score of 1 if a sample has diarrhea and if not given a score
of zero. The results show that: This model can be used to predict the incidence of diarrhea against 20 predictor variables which include demographic variables, maternal care variables, and environmental sanitation variables which significantly influence the incidence of diarrhea. Forms of programs that can be proposed 1) Nutrition Counseling; 2) provision of food assistance & Fortification of extension
sources; 3) Procurement of communal toilets; and 4) Counseling of composting proposed funding sources through the village budget,APBD/APBN budget.",['FP12'],disk0_bak/00/04/79/74,pub,8,2023-01-24 01:42:51,public,show,archive,http://dx.doi.org/10.52155/ijpsat.v23.2.2366,47974,2023-01-24 01:42:51,,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/187088', 'security': 'public', 'placement': 1, 'eprintid': 47974, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '4 Development of Pred_6%.pdf', 'docid': 187088, 'files': [{'hash': 'b744946c095d1a77992ead26dd9c12af', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 524683, 'uri': 'http://repository.lppm.unila.ac.id/id/file/524683', 'filename': '4 Development of Pred_6%.pdf', 'objectid': 187088, 'filesize': 1863971, 'mtime': '2023-01-23 12:18:53', 'hash_type': 'MD5'}], 'format': 'text'}]",2023-01-24 01:42:51,753,"6% Development of Prediction Model for Childhood Diarrhea Based
on Maternal Care Variables, Characteristics of Children,
Demography and Sanitation in Study Environment Tulang Bawang Barat RegencyOverall Similarity of the paper entitled """"","[{'id': None, 'name': {'honourific': None, 'family': 'Sriyani', 'lineage': None, 'given': 'Anjar'}}, {'name': {'honourific': None, 'family': 'Berawi', 'lineage': None, 'given': 'Khairun Nisa'}, 'id': 'khairun.nisa@fk.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Bakri', 'lineage': None, 'given': 'Samsul'}, 'id': 'samsul.bakri@fp.unila.ac.id'}, {'name': {'given': 'Hari', 'lineage': None, 'family': 'Kaskoyo', 'honourific': None}, 'id': 'hari.kaskoyo@fp.unila.ac.id'}]",other,,https://ijpsat.org/index.php/ijpsat/article/view/2366,,,,,IJPSAT,,,,,
9,['RA0421'],published,http://repository.lppm.unila.ac.id/id/eprint/30597,2020-11-01 00:00:00.000000000,,"he problem in this study is a diarrheal disease which is the second cause of death in children under five years and has killed 
around 760,000 children every year. The cause of diarrhea is influenced by several factors, such as the characteristics of children under 
five (age, sex, body weight, weight growth), habits or behaviour of care and family, basic sanitation, and the condition of the home 
environment. This study aims to develop a model and conduct public policy analysis to reduce the incidence of diarrhea through the 
development of models of maternal care, maternal demographics, characteristics of children under five and environmental sanitation of 
the incidence of diarrhea in children under five in Tulang Bawang Barat Regency. Samples taken were 300 children under five. Data 
collection techniques using secondary data sourced from data from the District Health Office of Tulang Bawang Barat, and 
questionnaires. This study uses a causal relationship approach that is linear. The postulated model chosen was Linear Log with the 
response variable using a binary scale, i.e diarrhea versus no diarrhea. Given a score of 1 if a sample has diarrhea and if not given a score 
of zero. The results show that: This model can be used to predict the incidence of diarrhea against 20 predictor variables which include demographic variables, maternal care variables, and environmental sanitation variables which significantly influence the incidence of diarrhea. Forms of programs that can be proposed 1) Nutrition Counseling; 2) provision of food assistance & Fortification of extension 
sources; 3) Procurement of communal toilets; and 4) Counseling of composting proposed funding sources through the village budget, APBD/APBN budget.",['FP12'],disk0/00/03/05/97,pub,6,2021-05-25 01:33:36,public,show,archive,,30597,2021-05-25 01:33:36,,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/137821', 'pos': 1, 'eprintid': 30597, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'ANJAR DKK_2366-5700-1-PB.pdf', 'files': [{'hash': '3c4301a4439d1b9b6dcd7ceb73186722', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 362777, 'mtime': '2021-05-24 05:17:16', 'hash_type': 'MD5', 'filename': 'ANJAR DKK_2366-5700-1-PB.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/362777', 'objectid': 137821, 'filesize': 1390520}], 'docid': 137821}]",2021-05-25 01:33:36,753,"Development of Prediction Model for Childhood Diarrhea Based 
on Maternal Care Variables, Characteristics of Children, 
Demography and Sanitation in Study Environment 
Tulang Bawang Barat Regency","[{'name': {'family': 'Sriyani', 'lineage': None, 'honourific': None, 'given': 'Anjar'}, 'id': None}, {'name': {'lineage': None, 'family': 'Berawi', 'honourific': None, 'given': 'Khairun Nisa'}, 'id': 'khairun.nisa@fk.unila.ac.id'}, {'id': 'samsul.bakri@fp.unila.ac.id', 'name': {'family': 'Bakri', 'lineage': None, 'honourific': None, 'given': 'Samsul'}}, {'name': {'given': 'Hari', 'honourific': None, 'family': 'Kaskoyo', 'lineage': None}, 'id': 'hari.kaskoyo@fp.unila.ac.id'}]",article,2,http://ijpsat.ijsht-journals.org/,354-365,TRUE,23.0,2509-0119,,International Journal of Progressive Sciences and Technologies,,,,[{'url': 'http://ijpsat.ijsht-journals.org/'}]
