,title,creators,type,metadata_visibility,lastmod,divisions,publication,dir,rev_number,status_changed,subjects,date_type,uri,volume,refereed,pagerange,eprint_status,eprintid,datestamp,documents,official_url,number,userid,contributors,publisher,related_url,ispublished,full_text_status,issn,date,corp_creators,abstract,event_dates,pres_type,event_location,event_title,event_type
0,PENGARUH JARAK STRAW DENGAN NITROGEN CAIR PADA PROSES PRE FREEZING TERHADAP KUALITAS SEMEN BEKU SAPI LIMOUSIN,"[{'name': {'given': 'kOROTUL', 'family': 'AINI', 'lineage': None, 'honourific': None}, 'id': None}, {'id': 'madi.hartono@fp.unila.ac.id', 'name': {'given': 'Madi', 'family': 'Hartono', 'lineage': None, 'honourific': None}}, {'id': None, 'name': {'given': 'Sri', 'lineage': None, 'family': 'Suharyati', 'honourific': None}}]",article,show,2018-04-25 07:54:30,['FP17'],JURNAL ILMIAH PETERNAKAN TERPADU,disk0/00/00/67/60,6,2018-04-25 07:54:30,['SF'],published,http://repository.lppm.unila.ac.id/id/eprint/6760,2.0,TRUE,62-70,archive,6760,2018-04-25 07:54:30,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'JURNAL MH JARAK STRAW.pdf', 'files': [{'mtime': '2018-04-20 01:32:37', 'hash_type': 'MD5', 'filename': 'JURNAL MH JARAK STRAW.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62000', 'filesize': 98720, 'objectid': 19727, 'hash': '64a708d656fc72e07f68c32175bddea5', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 62000}], 'docid': 19727, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19727', 'pos': 1, 'eprintid': 6760, 'placement': 1}]",http://jurnal.fp.unila.ac.id/index.php/JIPT,3.0,787,"[{'id': 'madihartono66@yahoo.co.id', 'name': {'given': 'Madi', 'honourific': None, 'family': 'Hartono', 'lineage': None}}]",Jurusan Peternakan Unila,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],pub,public,2303 1956,1970-01-01 00:00:00.000002014,['Universitas Lampung'],"This study aimed to determine the effect of straw space with liquid nitrogen on pre freezingprocess and the best straw space to the quality of frozen semen of Limousin Cows so that they areappropriate for Artificial Insemination process. This study was conducted in Regional TechnicalService Unit-Regional Artificial Insemination Office Lampung, Terbanggi Besar District, CentralLampung Regency, Lampung Province on 7th—13 th April 2014. The Completely RandomizedDesign (CRD) was used is these research with five treatments of straw spaces, 2 cm, 4 cm, 6 cm, 8cm, and 10 cm, with 4 replications. The data obtained was analyzed by using variance analysisandcontinued by Polinomial Ortogonal test.The result of this study showed that the straw space was significantly (P<0,01) to the motilityand live spermatozoa after thawing. However it was not significantly (P>0,05) to the motility and livespermatozoa after pre freezing. Polinomial Ortogonal test, obtained that the straw space wassignificantly (P<0,01) to the motility and live spermatozoa after thawing, had quadratic pattern withequation of Y = - 6,50 + 12,09x – 0,89x2 ; R2 = 41,3%, with the best effect on the straw space of 6 cm,that is 34%. Besides, the straw space was also different (P<0,01) to percentage of live spermatozoaafter thawing, had quadratic pattern with equation of Y = 8,97 + 8,81x - 0,64x2 ; R2 = 41,3%, withthe best effect on the straw space of 6 cm, that is 38,79%.
Keywords: semen qua lity, limousin cows, stra w spa ce",,,,,
1,"Performans Sapi  Bali Pada Periode Awal Pertumbuhan di 
Kabupaten Lampung Tengah","[{'id': '.', 'name': {'given': 'Kusuma', 'honourific': None, 'lineage': None, 'family': 'Adhianto'}}, {'name': {'given': 'Dadam', 'lineage': None, 'family': 'A Syukur', 'honourific': None}, 'id': None}]",conference_item,show,2016-11-03 04:34:57,['FP17'],,disk0/00/00/10/35,7,2016-11-03 04:34:57,['SF'],,http://repository.lppm.unila.ac.id/id/eprint/1035,,TRUE,611-617,archive,1035,2016-11-03 04:34:57,"[{'placement': 1, 'eprintid': 1035, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/925', 'security': 'public', 'files': [{'fileid': 6696, 'datasetid': 'document', 'hash': 'a23757d8ffadaf8c4a78cf892a0b95e6', 'mime_type': 'application/pdf', 'filesize': 473924, 'objectid': 925, 'filename': 'Makalah terbit 2014.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/6696', 'hash_type': 'MD5', 'mtime': '2016-11-02 03:59:28'}], 'main': 'Makalah terbit 2014.pdf', 'docid': 925, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",http://semnas.polinela.ac.id/index.php/semnas2014/semnasptp,,444,,,,pub,public,,2014-05-01 00:00:00.000000000,,"A study was conducted    to   know performance yearling and growth of   Bali cattle.   
The performance of Bali cattle was monitored between January 2011 and December 
2013 on Padang Ratu District, Central Lampung. The average birthweight of male 
calves was 15,40 + 1,73kg and female calves 15,62 + 1,73kg. weight male calves at 
1  years was  108,95 + 21,99kg and  female  calves 105,02 + 16,72kg. Weight gains 
averaging 0,256 kg/day for male calves and female calves 0,245  kg/day",24 Mei 2014,paper,Bandarlampung,Prosiding Seminar Nasional  Pengembangan Teknologi Pertanian,conference
2,"Performans Sapi  Bali Pada Periode Awal Pertumbuhan di 
Kabupaten Lampung Tengah","[{'name': {'honourific': None, 'lineage': None, 'family': 'Adhianto', 'given': 'Kusuma'}, 'id': '.'}, {'id': None, 'name': {'given': 'Dadam', 'lineage': None, 'family': 'A Syukur', 'honourific': None}}]",conference_item,show,2016-11-03 04:34:59,['FP17'],,disk0/00/00/10/36,7,2016-11-03 04:34:59,['SF'],,http://repository.lppm.unila.ac.id/id/eprint/1036,,TRUE,611-617,archive,1036,2016-11-03 04:34:59,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/926', 'pos': 1, 'eprintid': 1036, 'placement': 1, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'Makalah terbit 2014.pdf', 'files': [{'mtime': '2016-11-02 04:07:54', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/6703', 'filename': 'Makalah terbit 2014.pdf', 'filesize': 473924, 'objectid': 926, 'hash': 'a23757d8ffadaf8c4a78cf892a0b95e6', 'mime_type': 'application/pdf', 'fileid': 6703, 'datasetid': 'document'}], 'docid': 926}]",http://semnas.polinela.ac.id/index.php/semnas2014/semnasptp,,444,,,,pub,public,,2014-05-01 00:00:00.000000000,,"A study was conducted    to   know performance yearling and growth of   Bali cattle.   
The performance of Bali cattle was monitored between January 2011 and December 
2013 on Padang Ratu District, Central Lampung. The average birthweight of male 
calves was 15,40 + 1,73kg and female calves 15,62 + 1,73kg. weight male calves at 
1  years was  108,95 + 21,99kg and  female  calves 105,02 + 16,72kg. Weight gains 
averaging 0,256 kg/day for male calves and female calves 0,245  kg/day",24 Mei 2014,paper,Bandarlampung,Prosiding Seminar Nasional  Pengembangan Teknologi Pertanian,conference
3,Effect of Addition Concentrate on Boerawa Goat against Performance Production Keep by farmer in Intensive System,"[{'name': {'family': 'Adhianto', 'lineage': None, 'honourific': None, 'given': 'Kusuma'}, 'id': '.'}, {'id': None, 'name': {'honourific': None, 'family': 'Ngadiyono', 'lineage': None, 'given': 'Nono'}}, {'id': None, 'name': {'given': 'IGS', 'honourific': None, 'family': 'Budisatria', 'lineage': None}}, {'name': {'given': 'Kustantinah', 'family': 'Kustantinah', 'lineage': None, 'honourific': None}, 'id': None}]",conference_item,show,2016-11-03 04:34:54,['FP17'],,disk0/00/00/10/34,8,2016-11-03 04:34:54,['SF'],,http://repository.lppm.unila.ac.id/id/eprint/1034,,TRUE,927-930,archive,1034,2016-11-03 04:34:54,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': '240-E 296 ID.pdf', 'docid': 924, 'files': [{'mtime': '2016-11-02 02:59:03', 'hash_type': 'MD5', 'filename': '240-E 296 ID.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/6688', 'filesize': 193881, 'objectid': 924, 'hash': '9a967f8e39f22fededa179ed1b07bbdc', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 6688}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/924', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 1034}]",http://aaap2014.ugm.ac.id,,444,,,,pub,public,,2014-11-01 00:00:00.000000000,,"The goal of this study to determine the effect of addition concentrate on boerawa goat against performance production keep by farmer in intensive about 8 months old with an average initial weight of 21 kg. The research is divided into 4 treatment groups with 1 control. Addition of concentrate given since the beginning of the study, for preliminery and treatment it’s about 5 months.The results showed that the addition of different concentrate level are not significantly affected performance production, such as ADG (R0; 0,13+0,01, R1; 0,16+0,02, R2; 0,16+0,03, and R3; 0,15+0,03) and feed conversion (R0; 7,19+1,47, R1; 6,237+1,21, R2; 6,29+1,12, and R3; 6,34+1,27). IOFC showed that addition concentrate is more efisien than control (R0; 349.106+70.372, R1; 440.957 +75.178, R2; 441.204 +10.3734, and R3; 430.801+80.455)",10-14 Nopember 2014,paper,Yogyakarta,The 16th AAAP Animal Science Congress Vol. II,conference
4,FAKTOR-FAKTOR YANG MEMENGARUHI ANGKA KEBUNTINGAN (CONCEPTION RATE) PADA SAPI POTONG SETELAH DILAKUKAN SINKRONISASI ESTRUS DI KABUPATEN LAMPUNG TENGAH,"[{'name': {'given': 'Zulvi Al', 'family': 'Arif', 'lineage': None, 'honourific': None}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Hartono', 'given': 'Madi'}, 'id': 'madi.hartono@fp.unila.ac.id'}, {'name': {'family': 'Suharyati', 'lineage': None, 'honourific': None, 'given': 'Sri'}, 'id': None}]",article,show,2018-04-25 06:41:31,['FP17'],JURNAL ILMIAH PETERNAKAN TERPADU,disk0/00/00/67/57,6,2018-04-25 06:41:31,['SF'],published,http://repository.lppm.unila.ac.id/id/eprint/6757,2.0,TRUE,22-26,archive,6757,2018-04-25 06:41:31,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/19725', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 6757, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'main': 'Jurnal MH Conception Rate.pdf', 'docid': 19725, 'files': [{'filename': 'Jurnal MH Conception Rate.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/61986', 'objectid': 19725, 'filesize': 82698, 'mtime': '2018-04-19 13:54:14', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '0cb170149ee975be8d9c5b35f786cf48', 'fileid': 61986, 'datasetid': 'document'}], 'format': 'text'}]",http://jurnal.fp.unila.ac.id/index.php/JIPT,2.0,787,"[{'id': 'madihartono66@yahoo.co.id', 'name': {'lineage': None, 'family': 'Hartono', 'honourific': None, 'given': 'Madi'}}]",Jurusan Peternakan Unila,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],pub,public,2303 1956,2014-07-02 00:00:00.000000000,['Universitas Lampung'],"This research used 287 cattle cows owned by 198 breeders, involve 3 sub-districts in Central Lampung District. This research aimed to determine factors affecting conception rate after oestrous synchronization in cattle cows in Central Lampung District, Lampung Province in November 2012-Februari 2013.
The result of this research showed that the conception rate cattle cows after oestrous synchronization in Central Lampung District was 60,53 %, included in less good category.  The factors affecting conception rate after oestrous synchronization in Central Lampung District were the amount of pasture given which positively associate with the factor amount of 0,020, the shape of cage wall which negatively associate with the factor amount of 1,473, the material of cage floor which positively associate with the factor amount of 0,701, the cage width which negatively associate with the factor amount of 0,062, & the breeding long time which positively associate with the factor amount of 0,057.

Keywor ds: conception r a te, ca ttle cows, oestr ous synchr oniza tion, fa ctor s",,,,,
5,PENGARUH PARITAS TERHADAP PERSENTASE ESTRUS DAN KEBUNTINGAN PADA SAPI BALI YANG DISINKRONISASI ESTRUS DENGAN DUA KALI PENYUNTIKAN PROSTAGLANDIN F2α (PGF2α),"[{'id': None, 'name': {'given': 'Rojab', 'honourific': None, 'lineage': None, 'family': 'Fadillah'}}, {'id': None, 'name': {'given': 'Sri', 'lineage': None, 'family': 'Suharyati', 'honourific': None}}, {'id': 'madi.hartono@fp.unila.ac.id', 'name': {'family': 'Hartono', 'lineage': None, 'honourific': None, 'given': 'Madi'}}]",article,show,2018-04-25 06:38:34,['FP17'],JURNAL ILMIAH PETERNAKAN TERPADU,disk0/00/00/67/87,6,2018-04-25 06:38:34,['SF'],published,http://repository.lppm.unila.ac.id/id/eprint/6787,2.0,TRUE,33-38,archive,6787,2018-04-25 06:38:34,"[{'format': 'text', 'main': 'JURNAL MH KEBUNTINGAN.pdf', 'docid': 19756, 'files': [{'hash_type': 'MD5', 'mtime': '2018-04-20 06:12:35', 'filesize': 116127, 'objectid': 19756, 'filename': 'JURNAL MH KEBUNTINGAN.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62168', 'fileid': 62168, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '8feb96a13ec0cd6f7564f43ca759be9a'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 6787, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19756'}]",http://jurnal.fp.unila.ac.id/index.php/JIPT,1.0,787,"[{'name': {'given': 'Madi', 'honourific': None, 'lineage': None, 'family': 'Hartono'}, 'id': 'madihartono66@yahoo.co.id'}]",Jurusan Peternakan Unila,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],pub,public,2303 1956,1970-01-01 00:00:00.000002014,['Universitas Lampung'],"The research aimed to: (1) determine the effect of parities on the precentage of estrous andconception of Bali cows after estrous synchronization with prostaglandin F2α (PGF2α) injectiontwice; (2) determine the best parity of Bali cows after estrous synchronization with prostaglandinF2α (PGF2α) injection twice from the various parities of Bali cows.The research was held in November until February 2013, located in Sukoharjo II Village,Sukoharjo District, Pringsewu Regency. This research used Completely Randomized Design(CRD) with three treatments and four repetitions. The treatments were Bali heifers (P0); Bali cowswhich have calved once (P1); and Bali cows which have calved twice (P2). Hormone used for thesynchronization was Juramate® with doses of 500 μg/cow or 2 ml/cow intramuscularly. Data ofpercentage of estrous and conception was analyzed by using Chi-square on significant level of 5%.The result of the research showed that estrous percentages after prostaglandin F2α (PGF2α)injection twice of Bali Cows P0, P1, P2 were 100%. The conception percentage of Bali cows P0, P1,P2 in a row were 100%; 75%; 75%. Based on the advanced test of Chi-square, parity was notsignificantly different (P>0,05) on the percentage of estrous and conception of Bali cows after theprostaglandin F2α (PGF2α) injection twice.",,,,,
6,RESPON KECEPATAN TIMBILNYA ESTRUS DAN LAMA ESTRUS PADA BERBAGAI PARITAS SAPI PERANAKAN ONGOLE (PO) SETELAH DUA KALI PENYUNTIKAN PROSTAGLANDIN F2α (PGF2α),"[{'name': {'honourific': None, 'lineage': None, 'family': 'Irmaylin', 'given': 'S.M.'}, 'id': None}, {'id': 'madi.hartono@fp.unila.ac.id', 'name': {'given': 'Madi', 'honourific': None, 'family': 'Hartono', 'lineage': None}}, {'name': {'honourific': None, 'family': 'Santosa', 'lineage': None, 'given': 'Purnama Edy'}, 'id': None}]",article,show,2018-04-25 07:46:56,['FP17'],JURNAL ILMIAH PETERNAKAN TERPADU,disk0/00/00/67/84,6,2018-04-25 07:46:56,['SF'],published,http://repository.lppm.unila.ac.id/id/eprint/6784,2.0,TRUE,41-49,archive,6784,2018-04-25 07:46:56,"[{'format': 'text', 'main': 'JURNAL MH ESTRUS SAPI PO.pdf', 'files': [{'mtime': '2018-04-20 04:21:44', 'hash_type': 'MD5', 'filename': 'JURNAL MH ESTRUS SAPI PO.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62150', 'filesize': 147602, 'objectid': 19753, 'hash': 'e500f2388ea7a9dc1300da680c9ef748', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 62150}], 'docid': 19753, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'eprintid': 6784, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19753'}]",http://jurnal.fp.unila.ac.id/index.php/JIPT,1.0,787,"[{'name': {'given': 'Madi', 'lineage': None, 'family': 'Hartono', 'honourific': None}}]",Jurusan Peternakan Unila,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],pub,public,2303 1956,1970-01-01 00:00:00.000002014,['Universitas Lampung'],"The research aimed to: (1) determine the response of estrous onset of Ongole Offspring at thevarious parities after the injection of prostaglandin F2α (PGF2α) twice; (2) determine the responseof estrous duration of Ongole Offspring at the various parities after the injection of prostaglandinF2α (PGF2α) twice. The research was held in November until December 2012, located in PunggurDistrict, Central Lampung Regency, Lampung Province. This research used CompletelyRandomized Design (CRD) with three treatments and four replications. The treatments wereOngole Offspring heifers (P0); Ongole Offspring which have calved once (P1); and OngoleOffspring which have calved twice (P2). The variables observed was performed statistically byanalysis of variance on level of 5% or 1%. The result of the research showed that parity was notsignificantly different (P>0,05) on the estrous onset and the estrous duration of Ongole Offspringat the various parities after prostaglandin F2α (PGF2α) injection twice. The estrous onset ofOngole Offspring at the various parities after the injection of prostaglandin F2α (PGF2α) twice P0,P1, P2 in a row were 45,57; 43,26; 52,53 hours, whereas the estrous duration of Ongole OffspringPO P0, P1, P2 in a row were 13,58; 18,65; 15,72 hours.

Key words: Ongole Offspring,  Estrous, Estrous Synchronization, PGF2α,  Parities",,,,,
7,PENGARUH SUHU DAN LAMA THAWING DI DATARAN TINGGI TERHADAP KUALITAS SEMEN BEKU SAPI BRAHMAN,"[{'name': {'given': 'Sherly Puspa', 'honourific': None, 'lineage': None, 'family': 'Ningrum'}, 'id': None}, {'id': 'madi.hartono@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Hartono', 'given': 'Madi'}}, {'name': {'given': 'Purnama Edy', 'honourific': None, 'lineage': None, 'family': 'Santosa'}, 'id': None}]",article,show,2018-04-25 07:53:16,['FP17'],JURNAL ILMIAH PETERNAKAN TERPADU,disk0/00/00/67/65,6,2018-04-25 07:53:16,['SF'],published,http://repository.lppm.unila.ac.id/id/eprint/6765,2.0,TRUE,103-107,archive,6765,2018-04-25 07:53:16,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': 'JURNAL MH THAWING DATARAN TINGGI.pdf', 'files': [{'objectid': 19732, 'filesize': 74665, 'filename': 'JURNAL MH THAWING DATARAN TINGGI.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62030', 'hash_type': 'MD5', 'mtime': '2018-04-20 02:56:54', 'fileid': 62030, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '0c5f2da613a3b520028f0256283d34b5'}], 'docid': 19732, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/19732', 'pos': 1, 'eprintid': 6765, 'placement': 1}]",http://jurnal.fp.unila.ac.id/index.php/JIPT,3.0,787,"[{'id': 'madihartono66@yahoo.co.id', 'name': {'honourific': None, 'family': 'Hartono', 'lineage': None, 'given': 'Madi'}}]",Jurusan Peternakan Unila,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],pub,public,2303 1956,1970-01-01 00:00:00.000002014,['Universitas Lampung'],"The aim of this research was to determine the lest temperature and durations of thawing athigh altitudes in frozen semen of Brahman bull. This research conducted in 8-27 March 2014. Thisresearch was conducted using a completely randomized design (CRD) with 3x3 factorial. The firstfactorial is temperature (34oC, 37oC, and 40oC) and second factorial is thawing durations with 3replications. Variables were deserved in this researchs the percentage of alive sperm and spermmotility. Research data was analyzed by Anova and Duncan test at 5%.The result showed that the temperatures and thawing durations influence the quality ofBrahman bull frozen semen, but has no interaction between them. Of this this research, the bestquality of spermatozoa obtained at 40oC and the 20 second duration of thawing has the highest qualityaverage among the other treatments. Motility of spermatozoa at 40oC is 33,89% and thawing durationat 20 second is 35,56%, the percentage of alive sperm at 40oC is 37,04% and the duration of thawingat 20 second is 35,43%.

Keyword : temperature and durations of thawing,  frozen semen, Brahman bull, high altitudes.",,,,,
8,"STUDI KARAKTERISTIK DAN UKURAN TUBUH ANTARA KAMBING JANTAN 
BOERAWA G1 DAN G2 PADA MASA DEWASA TUBUH  
DI DESA CAMPANG KECAMATAN GISTING  
KABUPATEN TANGGAMUS","[{'name': {'given': 'Priyo', 'honourific': None, 'family': 'Nugroho', 'lineage': None}, 'id': None}, {'name': {'family': 'Harris', 'lineage': None, 'honourific': None, 'given': 'Idalina'}, 'id': None}, {'name': {'given': 'Kusuma', 'honourific': None, 'lineage': None, 'family': 'Adhianto'}, 'id': '.'}]",article,show,2016-11-07 01:17:22,['FP17'],JURNAL ILMIAH PETERNAKAN TERPADU,disk0/00/00/10/67,7,2016-11-07 01:17:22,['SF'],,http://repository.lppm.unila.ac.id/id/eprint/1067,2.0,TRUE,49-53,archive,1067,2016-11-07 01:17:22,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/957', 'formatdesc': 'Jurnal', 'security': 'public', 'placement': 1, 'eprintid': 1067, 'rev_number': 3, 'language': 'id', 'mime_type': 'application/xml', 'main': 465, 'files': [{'fileid': 7046, 'datasetid': 'document', 'hash': '8a8b1e6fe74b4780408ce80f8e11ab8a', 'mime_type': 'application/xml', 'filesize': 15121, 'objectid': 957, 'filename': 465, 'uri': 'http://repository.lppm.unila.ac.id/id/file/7046', 'hash_type': 'MD5', 'mtime': '2016-11-05 02:05:18'}], 'docid': 957, 'format': 'other'}]",http://jurnal.fp.unila.ac.id/index.php/JIPT/index,2.0,444,,Jurusan Peternakan Unila,,pub,public,2303 1956,2014-05-01 00:00:00.000000000,,"This research was conducted using a survey method in Campang Vilage, Dis
trict Gisting, Tanggamus conducted in 
June  2012.  Parameters  observed  in  this  study  that  the  characteristic  of  liv
estock  (hair  color,  face  shape  and  ear 
length)  and  body  size  (body  weight,  chest  circumference,  body  length  an
d  shoulder  height).Goat  Boerawa  G1  and 
G2 samples each 60 tail. Qualitative data on the characteristic analyzed with descriptive analyze
d, while quantitative 
data  were analyzed by T-test to determine the difference between G1 and G2 o
f each variable. Result of this study 
indicate that the  shape of the  face goat G2 Boerawa flat and thick. The average len
gth of ear G1 and G2 21,13 cm 
19,65  cm.  Chest  girth,  body  length  and  body  weight  Boerawa  male  go
at  G2  greater  than  G1:  average  chest 
circumference  78,15>  <71,97  cm  body  length  of  66,14>  <63,90cm;  w
eight  41,45>  <34,85  kg,  while  the  s houlder 
height G2 is lower than G1 the 65,77> <71,16cm.",,,,,
9,FAKTOR-FAKTOR YANG MEMPENGARUHI ANGKA KEBUNTINGAN (CONCEPTION RATE) PADA SAPI POTONG SETELAH DILAKUKAN SINKRONISASI ESTRUS DI KABUPATEN PRINGSEWU,"[{'name': {'given': 'Tri', 'lineage': None, 'family': 'Nurjanah', 'honourific': None}, 'id': None}, {'id': 'madi.hartono@fp.unila.ac.id', 'name': {'given': 'Madi', 'honourific': None, 'family': 'Hartono', 'lineage': None}}, {'name': {'given': 'Sri', 'honourific': None, 'lineage': None, 'family': 'Suharyati'}, 'id': None}]",article,show,2018-04-25 07:53:05,['FP17'],JURNAL ILMIAH PETERNAKAN TERPADU,disk0/00/00/67/66,6,2018-04-25 07:53:05,['SF'],published,http://repository.lppm.unila.ac.id/id/eprint/6766,2.0,TRUE,12-18,archive,6766,2018-04-25 07:53:05,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/19733', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 6766, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': 'JURNAL MH CR SAPI PO.pdf', 'files': [{'objectid': 19733, 'filesize': 94793, 'filename': 'JURNAL MH CR SAPI PO.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62036', 'hash_type': 'MD5', 'mtime': '2018-04-20 03:05:54', 'datasetid': 'document', 'fileid': 62036, 'mime_type': 'application/pdf', 'hash': '1deedb00779f0d0290a5f23d9a09757b'}], 'docid': 19733, 'format': 'text'}]",http://jurnal.fp.unila.ac.id/index.php/JIPT,1.0,787,"[{'name': {'lineage': None, 'family': 'Hartono', 'honourific': None, 'given': 'Madi'}, 'id': 'madihartono66@yahoo.co.id'}]",Jurusan Peternakan Unila,[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],pub,public,2303 1956,1970-01-01 00:00:00.000002014,['Universitas Lampung'],"This study of the influential factors of conception rate on cattle after estrous synchronization inPringsewu Regency was held in November 2012–February 2013. This study used 278 cattlesowned by 229 breeders. This study aimed to determine the factors and factor number whichinfluenced to the conception rate after estrous synchronization in Pringsewu Regency, Province ofLampung. The method used in this study was method of census. The data analysis used in thisstudy was analysis of regression. Before doing the data analysis, coding of data of inseminatorsand breeders was done to make the analysis easier, and then being analysed on program of SPSS(Statistics Packet for Social Science). The result of this study showed that the conception rate ofbeef cattles after estrous synchronization in Pringsewu Regency was 69,42%, including in goodcategory. The factors which influenced the conception rate and associated positively were thefrequency of giving pasturage with the factor number of 3, 386, the amount of giving pasturagewith the factor number of 0,196, the shape of stable walls with the factor number of 10,371, thegiving concentrate with the factor number of 4,011, the knowledge of estrous and inseminationwith the factor number of 7,579, while associated negatively were giving water to a large numberof factors 0,181, and the knowledge of hereditary breeding with the factor number of 3,707.",,,,,
