,refereed,title,creators,type,pagerange,metadata_visibility,eprint_status,eprintid,datestamp,documents,official_url,lastmod,number,userid,publication,publisher,divisions,dir,rev_number,ispublished,status_changed,issn,full_text_status,subjects,date,uri,volume,abstract,event_location,event_dates,pres_type,event_title,event_type,place_of_pub,date_type,succeeds,contributors,related_url,corp_creators
0,TRUE,"PENGARUH PEMBERIAN VITAMIN C TERHADAP SUSUT BOBOT DALAM 
PENGANGKUTAN SAPI DARI
LAMPUNG KE BENGKULU","[{'id': None, 'name': {'given': 'Ibnu', 'lineage': None, 'family': 'Abi Aufa', 'honourific': None}}, {'name': {'given': 'Didik', 'honourific': None, 'family': 'Rudiiono', 'lineage': None}, 'id': None}, {'id': '.', 'name': {'honourific': None, 'lineage': None, 'family': 'Adhianto', 'given': 'Kusuma'}}]",article,212-216,show,archive,1037,2016-11-03 04:35:02,"[{'placement': 1, 'eprintid': 1037, 'uri': 'http://repository.lppm.unila.ac.id/id/document/927', 'pos': 1, 'formatdesc': 'jurnal', 'security': 'public', 'main': 1005, 'files': [{'mtime': '2016-11-02 04:15:32', 'hash_type': 'MD5', 'filename': 1005, 'uri': 'http://repository.lppm.unila.ac.id/id/file/6710', 'objectid': 927, 'filesize': 15126, 'hash': '14d4f83d8cbaab1eadb1826a65997bd4', 'mime_type': 'application/xml', 'datasetid': 'document', 'fileid': 6710}], 'docid': 927, 'format': 'text', 'language': 'en', 'mime_type': 'application/xml', 'rev_number': 4}]",http://jurnal.fp.unila.ac.id/index.php/JIPT/index,2016-11-03 04:35:02,4.0,444,JURNAL ILMIAH PETERNAKAN TERPADU,Jurusan Peternakan Unila,['FP17'],disk0/00/00/10/37,8,pub,2016-11-03 04:35:02,2303 1956,public,['SF'],2015-11-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/1037,3.0,"Body weight of cattle would be lose about 10
-
30% during transportation becaus
e of stress. The condition 
affected 
on cattle business. 
V
itamin C could reduce stress, so it’s assumed that vitamin C treatment could reduce 
weight  lost
during  transportation.
An  operation 
research  was  done  on  May  up  to  August,  2014  to  evaluate  the 
effect 
of    vitamin  C  treatment 
on 
weight  lost
of 
during  transportation
from  Lampung  Province  to  Bengkulu 
Provi
n
ce.
. 
Two group of cattle were observed in this research, 60 heads of the first group 
got 
500 mg 
vitamin C 
treatment and 60 head
s
as control. 
Varibale ob
served were body weight of cattle before and after transportation. 
Quarrel  between  body  weight  before  and  after  transportation  were 
weight  lost
. 
Weight  lost
of  cattle  of  the 
treatment  group  and  the  control  group  were  analysed  by  t  tests.  This  research  indi
cated  that 
weight  lost
of  
treatment group were not different with control group (
P>0,05).
It could be concluded that 500 mg 
vitamin C 
had 
not 
reduced 
yet
stress condition of cattle during transportation. It was 
suggested to increase 
dose of 
vitamin C 
i
n 
th
e next research.",,,,,,,,,,,
1,TRUE,KAJIAN PENINGKATAN DAYA SAING PETERNAK KAMBING SABURAI SKALA KECIL DI KABUPATEN TANGGAMUS,"[{'id': '.', 'name': {'family': 'Adhianto', 'lineage': None, 'honourific': None, 'given': 'Kusuma'}}]",conference_item,80-89,show,archive,987,2016-10-30 13:31:16,"[{'eprintid': 987, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/882', 'format': 'text', 'docid': 882, 'main': '08 Kusuma Adhianto.pdf', 'files': [{'mtime': '2016-10-29 00:44:59', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/6331', 'filename': '08 Kusuma Adhianto.pdf', 'filesize': 509740, 'objectid': 882, 'hash': '3eea96e7935b0c9744feec6025eac96e', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 6331}], 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1}]",http://satek.unila.ac.id/?page_id=479,2016-10-30 13:31:16,,444,,,['FP17'],disk0/00/00/09/87,10,pub,2016-10-30 13:31:16,,public,['SF'],2015-11-03 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/987,,"The existence of small-scale goat breeders (ownership <20 head) to help stabilize the rural economy through employment creation and income distribution. But until now the resource potential breeder less explored cause economic value of goat farming is low. Study of efforts to increase the competitiveness of small-scale Saburai goat breeders aims to (1) determine the resource potential of small-scale goat breeders and (2) analyze the resource potential of small-scale Saburai goat breeders associated with increased business efficiency. A total of 156 Saburai goat breeders in two districts were selected as respondents by using stratified random sampling method. Based on descriptive statistical analysis illustrated that goat breeders in Tanggamus district been categorized potential breeder (moderate) Saburai goat breeders have implemented efficiently (R/C = 1,28). Business efficiency as an indicator of the competitiveness of micro-scale goat farming is closely related to the resource potential breeders. Improved resource potential breeders can be achieved by increasing the supply of production inputs, labor productivity and a wide range of technology introduction farm / ranch.",Bandarlampung,3 Nopember 2015,paper,SATEK VI,conference,,,,,,
2,,Morphological Characteristics and Performance Boerawa Goat in Tanggamus District Lampung Province,"[{'id': '.', 'name': {'family': 'Adhianto', 'lineage': None, 'honourific': None, 'given': 'Kusuma'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Hamdani', 'given': 'M Dima Iqbal'}, 'id': '.dima.iqbal@fp.unila.ac,id'}]",other,,show,archive,13669,2019-08-01 06:50:22,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'files': [{'hash_type': 'MD5', 'mtime': '2019-07-26 02:14:19', 'filesize': 829313, 'objectid': 26680, 'uri': 'http://repository.lppm.unila.ac.id/id/file/119266', 'filename': '6. review K_Adhianto n iqbal  ISTAP p.pdf', 'fileid': 119266, 'datasetid': 'document', 'hash': '760c4907b8a261eedd5caefa3f6074ee', 'mime_type': 'application/pdf'}], 'main': '6. review K_Adhianto n iqbal  ISTAP p.pdf', 'docid': 26680, 'format': 'text', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26680', 'security': 'public', 'placement': 1, 'eprintid': 13669}]",,2019-08-01 06:50:22,,444,,Fakultas Peternakan Gadjah Mada,['FP17'],disk0/00/01/36/69,7,pub,2019-08-01 06:50:22,,public,['SF'],1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/13669,,"ABSTRACT: Lampung Province is an area that has the potency for the development of farm
businesses. One of suitable animals to be developed in Lampung Province is goat. The success
of business development of farm animal cannot be separated from the inluence of genetic and
environmental factors. One effort that can be taken to improve the genetic quality of the goat
is through crossbreeding. Crossbreeding is one of good way to improve animal production.
Crossbreeding between female Ettawah grade goats and male boer goats are known with the name
Boerawa goat. Currently Boerawa goat are developed in Tanggamus District Lampung Province.
The results of crossbreeding are expected to have higher performance than Ettawah grade goat.
High performance of growth is the result of genetic inheritance of Boer goats that have superior
growth characteristics. This research was conducted using survey method in Gisting, Tanggamus
District Lampung Province. Qualitative data on the morphological characteristics and performance
in a descriptive analysis from observations indicate that the morphological characteristics of goats
crossing at the post weaning period is better. It can be seen from some morphological parameters
that were observed, among others; body length, shoulder height, chest circumference, and of
aspects of performance; litter size, birth weight, and ADG also showed signiicant improvement
in this Boerawa goat",,,,,,ISTAP,,,,,
3,,Morphological Characteristics and Performance Boerawa Goat in Tanggamus District Lampung Province,"[{'name': {'family': 'Adhianto', 'lineage': None, 'honourific': None, 'given': 'Kusuma'}, 'id': '.'}, {'name': {'given': 'M Dima Iqbal', 'honourific': None, 'lineage': None, 'family': 'Hamdani'}, 'id': '.dima.iqbal@fp.unila.ac,id'}]",other,,show,archive,13783,2019-08-12 07:19:19,"[{'docid': 26798, 'main': 'Morphological_Charateristics_and_Performance_Boera.pdf', 'files': [{'mtime': '2019-08-09 01:15:12', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/120145', 'filename': 'Morphological_Charateristics_and_Performance_Boera.pdf', 'filesize': 1694576, 'objectid': 26798, 'hash': '595ceace491f047d38fa13888f9662dd', 'mime_type': 'application/pdf', 'fileid': 120145, 'datasetid': 'document'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 13783, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26798', 'security': 'public'}]",,2019-08-12 07:19:19,,444,,Fakultas Peternakan Gadjah Mada,['FP17'],disk0/00/01/37/83,7,pub,2019-08-12 07:19:19,,public,['SF'],1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/13783,,"Lampung Province is an area that has the potency for the development of farm
businesses. One of suitable animals to be developed in Lampung Province is goat. The success
of business development of farm animal cannot be separated from the inluence of genetic and
environmental factors. One effort that can be taken to improve the genetic quality of the goat
is through crossbreeding. Crossbreeding is one of good way to improve animal production.
Crossbreeding between female Ettawah grade goats and male boer goats are known with the name
Boerawa goat. Currently Boerawa goat are developed in Tanggamus District Lampung Province.
The results of crossbreeding are expected to have higher performance than Ettawah grade goat.
High performance of growth is the result of genetic inheritance of Boer goats that have superior
growth characteristics. This research was conducted using survey method in Gisting, Tanggamus
District Lampung Province. Qualitative data on the morphological characteristics and performance
in a descriptive analysis from observations indicate that the morphological characteristics of goats
crossing at the post weaning period is better. It can be seen from some morphological parameters
that were observed, among others; body length, shoulder height, chest circumference, and of
aspects of performance; litter size, birth weight, and ADG also showed signiicant improvement
in this Boerawa goat",,,,,,ISTAP,,,,,
4,,"Model Kurva Pertumbuhan Pra Sapih Kambing Saburai di 
Kabupaten Tanggamus","[{'id': '.', 'name': {'given': 'Kusuma', 'honourific': None, 'lineage': None, 'family': 'Adhianto'}}, {'id': '.dima.iqbal@fp.unila.ac,id', 'name': {'lineage': None, 'family': 'Hamdani', 'honourific': None, 'given': 'M Dima Iqbal'}}, {'id': None, 'name': {'given': 'Sulastri', 'family': 'Sulastri', 'lineage': None, 'honourific': None}}]",other,,show,archive,13667,2019-08-01 06:50:37,"[{'docid': 26678, 'main': '4. review K_Adhianto dkk JSPI 2015 p.pdf', 'files': [{'datasetid': 'document', 'fileid': 119248, 'hash': '74a5adc3a8393984d8ad00be480d20b3', 'mime_type': 'application/pdf', 'hash_type': 'MD5', 'mtime': '2019-07-26 01:59:03', 'filesize': 1011575, 'objectid': 26678, 'filename': '4. review K_Adhianto dkk JSPI 2015 p.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/119248'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 13667, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26678', 'security': 'public'}]",,2019-08-01 06:50:37,,444,,Jurusan Peternakan Universitas Bengkulu,['FP17'],disk0/00/01/36/67,8,pub,2019-08-01 06:50:37,,public,['SF'],1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/13667,,"The growth curve is a figure of an individual's ability to display of the body's genetic potential and development
of the body. Research on the growth curve models of Saburai goat from birth until the age of 3 months has been
implemented in the area of  Tanggamus. The purpose of this study was to determine the growth curve models
Saburai goat in pre- weaning period. This study used observation method with a random sample of 145 goats.
Data were analyzed regression. The result showed that the growth curve models of Saburai goat from birth to 3
months followed the model of equation regression,Y= 0.16x + 3.29 for male and Y=0.149x + 3.25 for female.",,,,,,JSPI,published,,,,
5,TRUE,"Morphological Characteristics and Performance Boerawa Goat in Tanggamus
District Lampung Province","[{'id': '.', 'name': {'lineage': None, 'family': 'Adhianto', 'honourific': None, 'given': 'Kusuma'}}, {'id': None, 'name': {'lineage': None, 'family': 'Iqbal Hamdani', 'honourific': None, 'given': 'M Dima'}}]",conference_item,339-342,show,archive,995,2016-10-30 13:31:59,"[{'format': 'text', 'docid': 891, 'main': 'Kusuma Adhianto Publikasi ISTAP 2015.pdf', 'files': [{'filename': 'Kusuma Adhianto Publikasi ISTAP 2015.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/6380', 'objectid': 891, 'filesize': 1112985, 'mtime': '2016-10-29 11:27:11', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '67601fad00a99d42561da18a3f2faeae', 'datasetid': 'document', 'fileid': 6380}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 995, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/891', 'pos': 1}]",,2016-11-04 03:41:04,,444,,,['FP17'],disk0/00/00/09/95,8,pub,2016-10-30 13:31:59,,public,['SF'],2015-10-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/995,,"Lampung Province is an area that has the potency for the development of farm
businesses. One of suitable animals to be developed in Lampung Province is goat. The success
of business development of farm animal cannot be separated from the inluence of genetic and
environmental factors. One effort that can be taken to improve the genetic quality of the goat
is through crossbreeding. Crossbreeding is one of good way to improve animal production.
Crossbreeding between female Ettawah grade goats and male boer goats are known with the name
Boerawa goat. Currently Boerawa goat are developed in Tanggamus District Lampung Province.
The results of crossbreeding are expected to have higher performance than Ettawah grade goat.
High performance of growth is the result of genetic inheritance of Boer goats that have superior
growth characteristics. This research was conducted using survey method in Gisting, Tanggamus
District Lampung Province. Qualitative data on the morphological characteristics and performance
in a descriptive analysis from observations indicate that the morphological characteristics of goats
crossing at the post weaning period is better. It can be seen from some morphological parameters
that were observed, among others; body length, shoulder height, chest circumference, and of
aspects of performance; litter size, birth weight, and ADG also showed signiicant improvement
in this Boerawa goat",Yogyakarta,20-22 Oktober 2015,paper,he 6th International Seminar on Tropical Animal Production,conference,,,,,,
6,TRUE,"Analisis Ekonomi Usaha Penggemukan Kambing Dengan Pakan
Komplit","[{'id': '.', 'name': {'honourific': None, 'lineage': None, 'family': 'Adhianto', 'given': 'Kusuma'}}, {'id': None, 'name': {'given': 'M Dima', 'lineage': None, 'family': 'Iqbal Hamdani', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Harris', 'lineage': None, 'given': 'Idalina'}, 'id': None}]",conference_item,554-561,show,archive,989,2016-10-30 13:31:51,"[{'eprintid': 989, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/884', 'pos': 1, 'format': 'text', 'main': '78. Kusuma Adhianto dkk Naskah Terbit.pdf', 'files': [{'datasetid': 'document', 'fileid': 6341, 'hash': 'c6d9caafc5327c7eb9c8797ee585979a', 'mime_type': 'application/pdf', 'objectid': 884, 'filesize': 71693, 'filename': '78. Kusuma Adhianto dkk Naskah Terbit.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/6341', 'hash_type': 'MD5', 'mtime': '2016-10-29 00:52:22'}], 'docid': 884, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",http://semnas.polinela.ac.id/index.php/semnas2015/,2016-10-30 13:31:51,,444,,,['FP17'],disk0/00/00/09/89,8,pub,2016-10-30 13:31:51,,public,['SF'],2015-04-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/989,,"Purpose of this research is to determine economic feasibility of the business goat fattening
with complete feed.The method used in this research is operational research which will be
conducted in the field observation on farmers who raise goats intensively and using complete
feed. Goat fattening usual range for 60 days. Data obtained is calculated income and benefit
from the business using the BCratio. Profits derived from the calculation of production costs
and the difference between total revenue and costs of production in accordance with the
level of efficiency of use of production factors on the best use. Goat fattening with complete
feed will be undertaken by livestock farmers produce BC ratio value of 1.20, it indicates that
this activity feasible to be developed.",Bandarlampung,29 April 2015,paper,Seminar Nasional Swasembada Pangan 2015,conference,,,,,,
7,TRUE,PENGARUH FREKUENSI PENYIRAMAN AIR MENGGUNAKAN SPRINKLER TERHADAP RESPON FISIOLOGIS DAN PERTUMBUHAN SAPI PERANAKAN SIMMENTAL,"[{'name': {'given': 'Kusuma', 'honourific': None, 'family': 'Adhianto', 'lineage': None}, 'id': '.'}, {'id': None, 'name': {'honourific': None, 'family': 'Siswanto', 'lineage': None, 'given': 'Siswanto'}}, {'name': {'given': 'Citra', 'lineage': None, 'family': 'Nindya Kesuma', 'honourific': None}, 'id': None}]",article,109-115,show,archive,983,2016-10-30 13:31:10,"[{'placement': 1, 'eprintid': 983, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/876', 'security': 'public', 'files': [{'filename': 'Kusuma Adhianto dkk Naskah terbit.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/6298', 'objectid': 876, 'filesize': 678053, 'mtime': '2016-10-28 10:59:41', 'hash_type': 'MD5', 'hash': '842edd864d318c2a1ba24f1a1987c48c', 'mime_type': 'application/pdf', 'fileid': 6298, 'datasetid': 'document'}], 'main': 'Kusuma Adhianto dkk Naskah terbit.pdf', 'docid': 876, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",https://journal.ugm.ac.id/buletinpeternakan/index,2016-10-30 13:31:10,2.0,444,Buletin Peternakan,Fakultas Peternakan UGM,['FP17'],disk0/00/00/09/83,6,pub,2016-10-30 13:31:10,0126-4400,public,['SF'],2015-06-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/983,39.0,"Penelitian bertujuan untuk mengetahui pengaruh frekuensi penyiraman air terhadap respon fisiologis dan produksi sapi Peranakan Simmental. Penelitian dilaksanakan selama 45 hari dimulai pada Desember 2014 hingga Januari 2015 bertempat di kandang peternakan Koperasi Gunung Madu Plantation, Kecamatan Gunung Batin, Kabupaten Lampung Tengah. Analisis ransum dilakukan di Laboratorium Nutrisi dan Makanan Ternak (NMT), Jurusan Peternakan, Fakultas Pertanian, Universitas Lampung. Desain penelitian menggunakan Rancangan Acak Lengkap (RAL) pola searah terdiri dari: tanpa perlakuan atau kontrol (P0), frekuensi penyiraman air 1 kali (P1), dan frekuensi penyiraman air 2 kali (P2). Berdasarkan hasil penelitian yang telah dilakukan dapat disimpulkan bahwa perlakuan frekuensi penyiraman air berpengaruh secara nyata (P<0,01) terhadap respon fisiologis ternak, dan berpengaruh secara nyata terhadap konsumsi dan pertumbuhan sapi Peranakan Simmental.",,,,,,,,,,,
8,TRUE,Genotype by Birth or Rearing Type Interaction in Merino Sheep,"[{'id': 'akhmad.dakhlan@fp.unila.ac.id', 'name': {'family': 'Dakhlan', 'lineage': None, 'honourific': None, 'given': 'A.'}}, {'id': 'n.moghaddar@une.edu.au', 'name': {'honourific': None, 'lineage': None, 'family': 'Moghaddar', 'given': 'N.'}}, {'name': {'given': 'J.H.J.', 'family': 'Van der Werf', 'lineage': None, 'honourific': None}, 'id': 'jvanderw@une.edu.au'}]",conference_item,405-408,show,archive,42998,2022-07-06 07:41:20,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164829', 'security': 'public', 'placement': 1, 'eprintid': 42998, 'language': 'en', 'rev_number': 2, 'mime_type': 'application/pdf', 'docid': 164829, 'main': 'aaabg2015dakhlan.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2018-07-02 14:43:32', 'objectid': 164829, 'filesize': 127054, 'uri': 'http://repository.lppm.unila.ac.id/id/file/470685', 'filename': 'aaabg2015dakhlan.pdf', 'datasetid': 'document', 'fileid': 470685, 'hash': '65f969915b6340ad7e53b6b26c0db642', 'mime_type': 'application/pdf'}], 'format': 'text'}, {'format': 'text', 'docid': 164835, 'main': '1.Turnitin_aaabg2015dakhlan.pdf', 'files': [{'filename': '1.Turnitin_aaabg2015dakhlan.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/470693', 'objectid': 164835, 'filesize': 427158, 'mtime': '2022-07-06 04:55:02', 'hash_type': 'MD5', 'hash': '08473ad23333662efa323ce26babc6dc', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 470693}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 42998, 'placement': 7, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/164835', 'pos': 7}]",http://www.aaabg.org/aaabghome/AAABG21papers/Dakhlan21405.pdf,2022-07-06 07:41:20,,811,,,['FP17'],disk0/00/04/29/98,4,pub,2022-07-06 07:41:20,,public,['SF'],1970-01-01 00:00:00.000002015,http://repository.lppm.unila.ac.id/id/eprint/42998,,"This study explores if there is an interaction between the genetic potential for growth in Merino lambs and their birth or rearing type. Data consisted of 3,920 singles and 4,492 twins birth type and they were the progeny of 285 sires and 5,279 dams. We found a significant sire by BT interaction with the sire x BT effect accounting for 1.59% and 2.49% of the phenotypic variation for birth weight (BWT) and weaning weight (WWT), respectively. The effect was not significant for post weaning weight (PWWT), scan fat (SF) and eye muscle depth (EMD) with sire x BT effects accounting for less than 1% of the variation. Sire by RT interaction effects were much smaller and not significant for WWT, PWWT and SF, but accounting for 1,83% in EMD, which was significant. Results from bivariate analysis correlations lower than one for expression of weight traits when expressed in singles versus twins, with BT having a slightly larger effect on genotype expression than RT.","Lorne Mantra, Lorne, Victoria",28-30 September 2015,paper,21st AAABG CONFERENCE 2015,conference,,published,8378.0,,,
9,TRUE,CONCEPTION RATE PADA SAPI POTONG DI KECAMATAN JATI AGUNG KABUPATEN LAMPUNG SELATAN,"[{'name': {'lineage': None, 'family': 'Dirgahayu', 'honourific': None, 'given': 'Fajar Fitraldi'}, 'id': None}, {'id': 'madi.hartono@fp.unila.ac.id', 'name': {'given': 'Madi', 'honourific': None, 'family': 'Hartono', 'lineage': None}}, {'id': None, 'name': {'given': 'Purnama Edy', 'honourific': None, 'lineage': None, 'family': 'Santosa'}}]",article,45-53,show,archive,6789,2018-04-25 04:39:26,"[{'placement': 1, 'eprintid': 6789, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19758', 'security': 'public', 'docid': 19758, 'main': 'JURNAL MH CR SAPI PO.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2018-04-20 06:25:52', 'filesize': 94793, 'objectid': 19758, 'filename': 'JURNAL MH CR SAPI PO.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/62181', 'datasetid': 'document', 'fileid': 62181, 'hash': '1deedb00779f0d0290a5f23d9a09757b', 'mime_type': 'application/pdf'}], 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",http://jurnal.fp.unila.ac.id/index.php/JIPT,2018-04-25 04:39:26,1.0,787,JURNAL ILMIAH PETERNAKAN TERPADU,Jurusan Peternakan Unila,['FP17'],disk0/00/00/67/89,9,pub,2018-04-25 04:39:26,2303 1956,public,['SF'],2015-02-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6789,3.0,"The aim of this research was to determine the conception rate and the factors value that affect in beef cattle in the district Jati Agung, South Lampung regency. This study was conducted in April 2014 to 1,410 head of beef cattle belonging to 776 farmers. The research used a survey method with primary and secondary data. Analysis data used regression analysis with SPSS ( Statistic Packet for Social Science) program.The results showed that the conception rate in the district Jati Agung is a great identity for 36.03 ± 1.16. Factors that effect conception rates in beef cattle in the district Jati Agung is distance between the cowshed with house that negatively assosiated with factor value 0.003, number of factor concentrate that negatively assosiated with factor value of 0.027, amount of forage factor that negatively assosiated with factor value 0.003, a large area of the cage that negatively assosiated with factor value 0.020, and amount of beef cows that maintained that negatively assosiated with factor value 0.049 and a positive association was never followed a course that positively assosiated with factor value 0.112. The factors that influence conception rates in beef cattle farm level is great on long weaning period that negatively assosiated with factor value 0.013, mating postpartum that positiively assosiated with factor value 0.376, calving interval that negatively assosiated with factor value 0.412, the age of cattle that positively assosiated with factor value 0.006, the first estrus postpartum artificial insemination that positively assosiated with factor value 0.133 and time to insemination that negatively assosiated with factor value 0,406.
(Key words: Conception rate, Beef cows, The factors and value)",,,,,,,published,,"[{'name': {'given': 'Madi', 'honourific': None, 'lineage': None, 'family': 'Hartono'}, 'id': 'madihartono66@yahoo.co.id'}]",[{'url': 'http://jurnal.fp.unila.ac.id/index.php/JIPT'}],['Universitas Lampung']
