,userid,lastmod,documents,datestamp,eprintid,eprint_status,metadata_visibility,place_of_pub,type,creators,title,abstract,uri,date,subjects,full_text_status,status_changed,rev_number,ispublished,divisions,publisher,dir,official_url,number,pagerange,refereed,volume,date_type,issn,publication,event_title,event_type,event_location,pres_type,event_dates,contributors,related_url,corp_creators
0,444,2019-08-01 06:50:30,"[{'eprintid': 13668, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26679', 'pos': 1, 'format': 'text', 'main': '5. review  K_Adhianto dkk  Sains Peternakan p.pdf', 'docid': 26679, 'files': [{'fileid': 119256, 'datasetid': 'document', 'hash': '74ebee65a0060332ffb322adbe24cb7b', 'mime_type': 'application/pdf', 'objectid': 26679, 'filesize': 868463, 'uri': 'http://repository.lppm.unila.ac.id/id/file/119256', 'filename': '5. review  K_Adhianto dkk  Sains Peternakan p.pdf', 'hash_type': 'MD5', 'mtime': '2019-07-26 02:07:59'}], 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1}]",2019-08-01 06:50:30,13668,archive,show,Sains Peternakan,other,"[{'id': '.', 'name': {'given': 'Kusuma', 'lineage': None, 'family': 'Adhianto', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Hamdani', 'lineage': None, 'given': 'M Dima Iqbal'}, 'id': '.dima.iqbal@fp.unila.ac,id'}, {'name': {'given': 'Sulastri', 'honourific': None, 'family': 'Sulastri', 'lineage': None}, 'id': None}, {'name': {'honourific': None, 'family': 'Listiana', 'lineage': None, 'given': 'Indah'}, 'id': None}]",Performan Produksi Kambing Saburai Jantan Pada Dua Wilayah Sumber Bibit di Kabupaten Tanggamus,"Kambing Saburai merupakan hasil perkawinan silang secara grading up antara kambing Boer jantan
dan kambing Peranakan Etawah (PE) betina. Penelitian bertujuan untuk mengkaji performa produksi
Kambing Saburai jantan pada dua wilayah sumber bibit yaitu di Kecamatan Gisting dan Sumberejo,
Kabupaten Tanggamus, Provinsi Lampung. Penelitian dilakukan melalui metode survei dengan mengamati
90 ekor Kambing Saburai jantan di Kecamatan Gisting dan 90 ekor Kambing Saburai jantan di Kecamatan
Sumberejo, Kabupaten Tanggamus, Provinsi Lampung. Sampel pengamatan ditentukan melalui metode
purposive sampling. Peubah yang diukur meliputi bobot lahir (BL), bobot sapih (BS), bobot umur satu tahun
(BSt), pertambahan bobot badan harian (PBBH) prasapih dan pascasapih. Data hasil pengamatan di
Kecamatan Gisting dan Kecamatan Sumberejo dianalisis menggunakan uji t-student. Hasil penelitian
menunjukkan bahwa BL (3,42+0,28 kg), BS (16,22+3,77 kg), BSt (36,56+4,85 kg), PBBH prasapih
(140+0,04 g/ekor/hari), PBBH pascasapih (70+0,02 g/ekor/hari). Kambing Saburai di Kecamatan Gisting
berbeda tidak nyata (P>0,05) dengan Kambing Saburai di Kecamatan Sumberejo (BL 3,48+0,41 kg, BS
16,85+2,58 kg, BSt 38,30+5,35 kg, PBBH prasapih 150+0,03 g/ekor/hari, PBBH pascasapih 80+0,02
g/ekor/hari).",http://repository.lppm.unila.ac.id/id/eprint/13668,1970-01-01 00:00:00.000002016,['SF'],public,2019-08-01 06:50:30,9,pub,['FP17'],UNS,disk0/00/01/36/68,,,,,,,,,,,,,,,,
1,444,2016-11-08 03:47:30,"[{'eprintid': 1080, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/970', 'format': 'text', 'main': 'makalah terbit.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/7154', 'filename': 'makalah terbit.pdf', 'filesize': 6361922, 'objectid': 970, 'mtime': '2016-11-08 01:31:31', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '98eaf6cfe74922962c716b8ffe8b1c5b', 'datasetid': 'document', 'fileid': 7154}], 'docid': 970, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2016-11-08 03:47:30,1080,archive,show,,article,"[{'id': '.', 'name': {'family': 'Adhianto', 'lineage': None, 'honourific': None, 'given': 'Kusuma'}}, {'name': {'family': 'Iqbal Hamdani', 'lineage': None, 'honourific': None, 'given': 'M Dima'}, 'id': None}, {'name': {'given': 'Sulastri', 'lineage': None, 'family': 'Sulastri', 'honourific': None}, 'id': None}, {'name': {'given': 'Indah', 'honourific': None, 'family': 'Listiana', 'lineage': None}, 'id': None}]","Performan Produksi Kambing Saburai Jantan 
Pada Dua Wilayah Sumber Bibit Di Kabupaten Tanggamus","Kambing Saburai merupakan hasil perkawinan silang secara grading up antara kambing Boer jantan dan kambing Peranakan Etawah (PE) betina. Penelitian bertujuan untuk mengkaji performa produksi Kambing Saburai jantan pada dua wilayah sumber bibit yaitu di Kecamatan Gisting dan Sumberejo, Kabupaten Tanggamus, Provinsi Lampung.  Penelitian dilakukan melalui metode survai dengan mengamati 90 ekor Kambing Saburai jantan di Kecamatan Gisting dan 90 ekor Kambing Saburai jantan di Kecamatan Sumberejo, Kabupaten Tanggamus, Provinsi Lampung.  Sampel pengamatan ditentukan melalui metode purposive sampling.  Peubah yang diukur meliputi bobot lahir (BL), bobot sapih (BS), bobot umur satu tahun (BSt), pertambahan bobot badan harian (PBBH) prasapih dan pasca-sapih.  Data hasil pengamatan di Kecamatan Gisting dan Kecamatan Sumberejo dianalisis menggunakan uji t-student.  Hasil penelitian menunjukkan bahwa BL (3,42+0,28 kg), BS (16,22+3,77 kg), BSt (36,56+4,85 kg), PBBH prasapih (140+0,04 g/ekor/hari), PBBH pascasapih (70+0.02 g/ekor/hari) Kambing Saburai di Kecamatan Gisting berbeda tidak nyata (P>0,05) dengan Kambing Saburai di Kecamatan Sumberejo (BL 3,48+0,41 kg, BS 16,85+2,58 kg, BSt 38,30+5,35 kg, PBBH prasapih 150+0,03 g/ekor/hari, PBBH pascasapih 80+0,02 g/ekor/hari).",http://repository.lppm.unila.ac.id/id/eprint/1080,1970-01-01 00:00:00.000002016,['SF'],public,2016-11-08 03:47:30,6,pub,['FP17'],Jurusan Peternakan FP UNS,disk0/00/00/10/80,http://peternakan.fp.uns.ac.id/pages/jurnal-sains-peternakan.php,2.0,22-29,TRUE,14.0,published,1693 - 8828,Sains Peternakan,,,,,,,,
2,960,2020-06-16 07:02:30,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/35900', 'pos': 2, 'security': 'public', 'placement': 1, 'eprintid': 22484, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 2, 'files': [{'filename': 'Jurnal Sodikin - Erwanto.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/206186', 'filesize': 589489, 'objectid': 35900, 'mtime': '2020-06-16 05:24:47', 'hash_type': 'MD5', 'hash': '70dd73b5faed3314084e14b5d84c83da', 'mime_type': 'application/pdf', 'fileid': 206186, 'datasetid': 'document'}], 'main': 'Jurnal Sodikin - Erwanto.pdf', 'docid': 35900, 'format': 'text'}]",2020-06-16 07:02:30,22484,archive,show,,article,"[{'name': {'given': 'Sodikin', 'honourific': None, 'family': 'Ali', 'lineage': None}, 'id': None}, {'id': 'erwanto61@gmail.com', 'name': {'given': 'Erwanto', 'lineage': None, 'family': 'Erwanto', 'honourific': None}}, {'id': None, 'name': {'given': 'Adhianto', 'honourific': None, 'family': 'Kusuma', 'lineage': None}}]",PENGARUH PENAMBAHAN MULTI NUTRIENT SAUCE PADA RANSUM TERHADAP PERTAMBAHAN BOBOT BADAN HARIAN SAPI POTONG,"Effect of Multi Nutrients Sauce (MNS) in ration of beef cattle on average daily gain (ADG) was studied on November 10th, 2015 up to December 09th, 2015 at Pulung Kencana village, Tulang Bawang Tengah, Subdistrict, Provinsi Tulang Bawang Barat. The experimental design used was complete randomized block design with three treatments P0 (basal diet), P1 (basal diet + 10% MNS), and P2 (Unila diet + 10% MNS). Result of this research indicated that ADG of beef cattle for P0, P1, P2 was 1,28 kg/head/day; 1,56 kg/head/day; 1,26 kg/head/day, respectively. Average of ration consumption based on dry matter were 9,08 kg/head/day; 9,24 kg/head/day; 9,11 kg/head/day, respectively. Efficiency of ration were 0,1403±0,0180 kg weight/kg ration; 0,1687±0,0234 kg weight/kg ration; 0,1385±0,0271 kg weight/kg ration, respectively. Income over feed cost (IOFC) were 2,76 ; 3,24 ; 3,18, respectively. It could be concluded that addition of 10% MNS in ration of beef cattle didn’t affect (P>0,05) on ADG, ration consumption, efficiency of ration, and IOFC. 

Keywords : Beef Cattle, Multi Nutrient Sauce, Average Daily Gain, Efficiency of Ration, Income Over Feed Cost",http://repository.lppm.unila.ac.id/id/eprint/22484,2016-08-05 00:00:00.000000000,['SF'],public,2020-06-16 07:02:30,9,pub,['FP17'],Department of Animal Husbandry Faculty of Agriculture Lampung University,disk0/00/02/24/84,,3.0,,TRUE,4.0,published,,Jurnal Ilmiah Peternakan Terpadu,,,,,,,,
3,1019,2017-11-16 04:54:39,"[{'placement': 1, 'eprintid': 5637, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18582', 'security': 'public', 'main': 'DIFFERENCE OF CATION AND ANION DIETS ON LEUCOCYTES.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2017-11-16 02:44:21', 'objectid': 18582, 'filesize': 1014780, 'filename': 'DIFFERENCE OF CATION AND ANION DIETS ON LEUCOCYTES.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/52667', 'datasetid': 'document', 'fileid': 52667, 'mime_type': 'application/pdf', 'hash': 'e5faeb933034da070f85adf51d7b663c'}], 'docid': 18582, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2017-11-16 04:54:39,5637,archive,show,,conference_item,"[{'id': None, 'name': {'lineage': None, 'family': 'Fathul', 'honourific': None, 'given': 'Farida'}}, {'name': {'honourific': None, 'family': 'Widiastuti', 'lineage': None, 'given': 'E.L.'}, 'id': 'endang.linirin@fmipa.unila.ac.id'}]",DIFFERENCE OF CATION AND ANION DIETS ON LEUCOCYTES,,http://repository.lppm.unila.ac.id/id/eprint/5637,2016-08-01 00:00:00.000000000,['SF'],public,2017-11-16 04:54:39,7,pub,['FP17'],,disk0/00/00/56/37,,,134-141,TRUE,,published,,,UISFC International Seminar Food Secure,conference,Bandar Lampung,paper,23-24 August 2016,,,
4,1019,2017-11-16 04:54:26,"[{'placement': 1, 'eprintid': 5632, 'uri': 'http://repository.lppm.unila.ac.id/id/document/18578', 'pos': 1, 'security': 'public', 'main': 'Oxygen saturation of lambs during estrous cycle within diets with different cation and anion ratio.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '2381cf8d70b736e4201c24225300b882', 'fileid': 52639, 'datasetid': 'document', 'filename': 'Oxygen saturation of lambs during estrous cycle within diets with different cation and anion ratio.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/52639', 'objectid': 18578, 'filesize': 902014, 'mtime': '2017-11-16 02:32:31', 'hash_type': 'MD5'}], 'docid': 18578, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",2017-11-16 04:54:26,5632,archive,show,,conference_item,"[{'id': None, 'name': {'honourific': None, 'lineage': None, 'family': 'Fathul', 'given': 'Farida'}}, {'name': {'honourific': None, 'family': 'Widiastuti', 'lineage': None, 'given': 'E.L.'}, 'id': 'endang.linirin@fmipa.unila.ac.id'}]",Oxygen saturation of lambs during estrous cycle within diets with different cation and anion ratio,,http://repository.lppm.unila.ac.id/id/eprint/5632,1970-01-01 00:00:00.000002016,['SF'],public,2017-11-16 04:54:26,7,pub,['FP17'],,disk0/00/00/56/32,,,127-133,TRUE,,published,,,USR INTERNATIONAL SEMINAR ON FOOD SECURITY,conference,Bandar Lampung Indonesia,paper,23 – 24 August 2016,,,
5,444,2017-03-14 03:07:56,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': '2016 artikel sarina erwanto kusuma.pdf', 'files': [{'hash': '09712d56a95f96642493f1f43518b20b', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 9838, 'mtime': '2017-03-12 02:19:17', 'hash_type': 'MD5', 'filename': '2016 artikel sarina erwanto kusuma.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/9838', 'objectid': 1325, 'filesize': 455149}], 'docid': 1325, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1325', 'eprintid': 1452, 'placement': 1}]",2017-03-14 03:07:56,1452,archive,show,,article,"[{'id': None, 'name': {'family': 'Karolina', 'lineage': None, 'honourific': None, 'given': 'Sarina'}}, {'name': {'given': 'Erwanto', 'honourific': None, 'family': 'Erwanto', 'lineage': None}, 'id': None}, {'id': '.', 'name': {'given': 'Kusuma', 'honourific': None, 'family': 'Adhianto', 'lineage': None}}]",PENGARUH PENGGUNAAN MULTI NUTRIENTS SAUCE (MNS) ERO II DALAM RANSUM TERHADAP PERTAMBAHAN BOBOT TUBUH SAPI POTONG,"This study aims to determine the effect of the use of Multi Nutrients Sauce (MNS) ERO II in the ration on feed consumption and average daily gain of beef cattle.  The research was conducted October 30th, 2015 - December 6th, 2015 at Ngudi Makmur farmer group, Mulyo Asri village, Tulang Bawang Tengah district, Tulang Bawang Barat regency. Samples ration was analysed at the Laboratory of Nutrition and Feed Science.  Department of Animal Husbandry, Faculty of Agriculture, University of Lampung.  The experimental design used was a randomized block design (CRD) with three treatments and four blocks. The treatments were: 1. Basal diet; 2. Basal diet + 10% MNS; and 3. Unila diets + 10% MNS. Result of experiment showed that the addition of MNS ERO II significantly affected (P<0.05) on consumption, and average daily gain of beef cattle.",http://repository.lppm.unila.ac.id/id/eprint/1452,1970-01-01 00:00:00.000002016,['SF'],public,2017-03-14 03:07:56,7,pub,['FP17'],Jurusan Peternakan Unila,disk0/00/00/14/52,http://jurnal.fp.unila.ac.id/index.php/JIPT/index,2.0,124-128,TRUE,4.0,published,2303 1956,JURNAL ILMIAH PETERNAKAN TERPADU,,,,,,,,
6,1111,2016-11-03 04:35:06,"[{'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '1.pdf', 'files': [{'datasetid': 'document', 'fileid': 6724, 'mime_type': 'application/pdf', 'hash': 'bf45861b7e0c8563f3f54a40af1b512f', 'hash_type': 'MD5', 'mtime': '2016-11-02 04:50:44', 'filesize': 35354, 'objectid': 929, 'filename': '1.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/6724'}], 'docid': 929, 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/929', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 1039}]",2016-11-03 04:35:06,1039,archive,show,,article,"[{'name': {'lineage': None, 'family': 'Kusuma Wijaya', 'honourific': None, 'given': 'Agung'}}]","PENGARUH PENGGUNAAN SABUT BUAH KELAPA SAWIT AMONIASI DALAM RANSUM
SAPI PERAH TERHADAP KECERNAAN IN-VITRO","The experiment was conducted at the Animal Nutrition Laboratory and field laboratory, Animal Husbandry
faculty, Brawijaya University Malang for making the oil palm fruit fiber amoniasi and analysis of nutrient
content and digestibility in vitro is carried out from July to August 2011. The purpose of this study to
determine the effect of differences in the level of use urea and palm amoniasi as a forage substitute. To get
the optimum level of use of oil palm fruit fiber amoniasi that gives the best response to digestibility in vitro.
The results are expected to be used as information about the utilization of oil palm fruit waste as an
alternative to cattle feed. Materials on research are oil palm fruit fiber and urea as a feed ingredient
substitutions. The research method is experimental by design Factorial Randomized Block Design, study the
influence of the addition of urea level and duration of incubation in the oil palm fruit fiber for nutrient
content and digestibility in vitro. Variables measured, a research study nutrient content, digestibility of DM
(Dry matter) and digestibility of OM (Organic matter) of oil palm fruit fiber amoniasi. Data were analyzed
by variance and if the real test followed by Duncan. The results of the research showed that the addition of
urea level and duration of incubation significant effect (P <0.05) to 50.61% DM and 48.23 % OM which is
in P2. It can be concluded that use 50 % corn plant and 10% of oil palm fruit fiber and digestibility optimum
at DM and OM. Suggested the use of oil palm fruit fiber is to field research to know how impact in dairy
cattle.
Key words: Amoniasi, In Vitro, Oil Palm Fruit Fiber",http://repository.lppm.unila.ac.id/id/eprint/1039,2016-05-02 00:00:00.000000000,['SF'],public,2016-11-03 04:35:06,6,pub,['FP17'],Jurusan Peternakan Unila,disk0/00/00/10/39,http://jurnal.fp.unila.ac.id,2.0,94-97,TRUE,4.0,,2303 1956,JURNAL ILMIAH PETERNAKAN TERPADU,,,,,,,,
7,444,2019-08-01 06:50:14,"[{'format': 'text', 'main': '7. review K_Adhianto dkk UISFS.pdf', 'files': [{'hash': '72660480b04f629d13474dc5892541a2', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 119275, 'filename': '7. review K_Adhianto dkk UISFS.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/119275', 'objectid': 26681, 'filesize': 1201465, 'mtime': '2019-07-26 02:18:25', 'hash_type': 'MD5'}], 'docid': 26681, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 13670, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26681'}]",2019-08-01 06:50:14,13670,archive,show,UISFS Unila,other,"[{'id': '.', 'name': {'given': 'Muhtarudin', 'honourific': None, 'lineage': None, 'family': 'Muhtarudin'}}, {'name': {'given': 'Kusuma', 'honourific': None, 'lineage': None, 'family': 'Adhianto'}, 'id': '.'}, {'name': {'lineage': None, 'family': 'Liman', 'honourific': None, 'given': 'Liman'}, 'id': '.'}]",Integration of Oil Palm Plant and Animal in Lampung Province,"Research were to evaluate carrying capacity of palm oil by product including of forage among palm oil plant. The data were collected consist of secondary and primary data. The sampling were collected from among palm oil plant.  The research show that there were two methods of farmer to integrate of oil palm and animals. The first, animal in housed and the animal was grazed among oil palm plant. Each farmer had 4-5 cattle in housed method, and tend to fattening, in grazing method, farmer had 5-20 cattle. The method was efficien for breeding system of animal.",http://repository.lppm.unila.ac.id/id/eprint/13670,1970-01-01 00:00:00.000002016,['SF'],public,2019-08-01 06:50:14,7,pub,['FP17'],LPPM Unila,disk0/00/01/36/70,,,,,,,,,,,,,,,,
8,444,2019-08-12 07:19:29,"[{'placement': 1, 'eprintid': 13784, 'uri': 'http://repository.lppm.unila.ac.id/id/document/26799', 'pos': 1, 'security': 'public', 'main': 'Integration_of_Oil_Palm_Plant_and_Animal_in_Lampun.pdf', 'files': [{'filename': 'Integration_of_Oil_Palm_Plant_and_Animal_in_Lampun.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/120152', 'filesize': 2108462, 'objectid': 26799, 'mtime': '2019-08-09 01:19:26', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'f9ca950763c33b2ef41784611ec7512f', 'datasetid': 'document', 'fileid': 120152}], 'docid': 26799, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2019-08-12 07:19:29,13784,archive,show,UISFS Unila,other,"[{'name': {'given': 'Muhtarudin', 'lineage': None, 'family': 'Muhtarudin', 'honourific': None}, 'id': '.'}, {'id': '.', 'name': {'given': 'Kusuma', 'lineage': None, 'family': 'Adhianto', 'honourific': None}}, {'id': '.', 'name': {'honourific': None, 'family': 'Liman', 'lineage': None, 'given': 'Liman'}}]",Integration of Oil Palm Plant and Animal in Lampung Province,"Research were to evaluate carrying capacity of palm oil by product including of forage among palm oil plant. The data were collected consist of secondary and primary data. The sampling were collected from among palm oil plant.  The research show that there were two methods of farmer to integrate of oil palm and animals. The first, animal in housed and the animal was grazed among oil palm plant. Each farmer had 4-5 cattle in housed method, and tend to fattening, in grazing method, farmer had 5-20 cattle. The method was efficien for breeding system of animal.",http://repository.lppm.unila.ac.id/id/eprint/13784,1970-01-01 00:00:00.000002016,['SF'],public,2019-08-12 07:19:29,7,pub,['FP17'],LPPM Unila,disk0/00/01/37/84,,,,,,,,,,,,,,,,
9,444,2016-11-03 04:34:52,"[{'files': [{'filename': 'Makalah terbit.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/6679', 'objectid': 923, 'filesize': 1658703, 'mtime': '2016-11-02 02:42:11', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '83459319b24d5331c6079283795d01ae', 'datasetid': 'document', 'fileid': 6679}], 'main': 'Makalah terbit.pdf', 'docid': 923, 'format': 'text', 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'placement': 1, 'eprintid': 1033, 'uri': 'http://repository.lppm.unila.ac.id/id/document/923', 'pos': 1, 'security': 'public'}]",2016-11-03 04:34:52,1033,archive,show,,conference_item,"[{'id': '.', 'name': {'given': 'Muhtarudin', 'lineage': None, 'family': 'Muhtarudin', 'honourific': None}}, {'name': {'family': 'Adhianto', 'lineage': None, 'honourific': None, 'given': 'Kusuma'}, 'id': '.'}, {'name': {'honourific': None, 'lineage': None, 'family': 'Liman', 'given': 'Liman'}, 'id': '.'}, {'id': '.', 'name': {'given': 'Yusuf', 'honourific': None, 'family': 'Widodo', 'lineage': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Marga', 'given': 'Apriyansyah'}, 'id': None}]",Integration of Oil Plan Plant and Animal in Lampung Province,"The aims of the research were to evaluate carrying capacity of palm oil by product
including of forage among palm oil plant. The data were collected consisted of
secondary and primary data. Secondary data was collected from agriculture department.
Primary data was collected by dry weight range method. The samplings were collected
from forage among palm oil plant. Primary data and secondary data were combined to
evaluate the carrying capacity of forage.The research showed that there were two
methods of farmer to integrate of oil palm and animals. The first the animal cattle was
housed and secondary the animal was grazed among oil palm plant. Each farmer had
4—5 cattle in housed anime method. The cattle tend to fattening. In grazing method, the
farmer had 5—20 cattle. This method was efficient for breeding system of cattle. The
totally potency of forage from palm oil in Lampung Province was 670.852, 23
ton/years. The carrying capacity of the forage was 204.208,59 animals unit. If the
assumption of dry matter requirement of cattle was 9 kg/day, therefore, 1 ha of palm oil
plant had 3 animals unit for its carrying capacity. On the other hand, if the resource of
forage was only from among palm oil plant then the carrying capacity was 2.2 animals
unit. From field observation on forage in palm oil plant that non productive site (such as
in young plant palm) we found 20 species of plants, and 15 species of plant found in
plant oil palm productive site.",http://repository.lppm.unila.ac.id/id/eprint/1033,2016-08-01 00:00:00.000000000,['SF'],public,2016-11-03 04:34:52,9,pub,['FP17'],,disk0/00/00/10/33,http://uisfs.unila.ac.id/,,219-224,TRUE,,,,,The USR International Seminar on Food Security,conference,Bandarlampung,paper,23-25 Agustus 2016,,,
