,date_type,event_title,subjects,abstract,date,uri,divisions,dir,event_type,full_text_status,status_changed,ispublished,rev_number,datestamp,eprint_status,eprintid,metadata_visibility,pagerange,userid,official_url,lastmod,documents,pres_type,type,creators,title,refereed,event_dates,event_location,issn,publication,publisher,volume,number,place_of_pub,corp_creators,related_url,succeeds,funders,contributors,id_number,pages
0,published,International Seminar on Livestock Production and Veterinary Technology,['SF'],"Research was conducted to compare Saburai goat production performance of single birth type, twin, and triplets in Tanggamus District, Lampung Province. This research was
conducted using a survey method and sample determination using purposive sampling method. The observed variables include birth weight and goat weaning weight with criteria:
born in January-July 2017 period, goat recording, and breeder/farmer incorporated in group. The observations showed that the average  birth weight of Saburai goat kids single, twin, and triplets in sequence had a value of 3.16±0.30, 2.92±0.20, 2.60±0.21 kg and weaning weight 14.01±0.64, 13.80±0.64, 12.06±0.21 kg. The conclusion was that Saburai male goat kids have superior weight compared to Saburai female goats in all three types of births.",2018-10-16 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/19529,['FP17'],disk0/00/01/95/29,conference,public,2020-05-08 07:06:51,pub,8,2020-05-08 07:06:51,archive,19529,show,196-203,444,http://medpub.litbang.pertanian.go.id/index.php/proceedings/article/view/2217,2020-05-08 07:06:51,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/32762', 'eprintid': 19529, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'ARTIKEL.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '187b92c12f451ea3c8ae3f9b142a56f2', 'fileid': 163150, 'datasetid': 'document', 'filename': 'ARTIKEL.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/163150', 'filesize': 149715, 'objectid': 32762, 'mtime': '2020-05-08 05:36:28', 'hash_type': 'MD5'}], 'docid': 32762}]",paper,conference_item,"[{'name': {'given': 'Kusuma', 'family': 'Adhianto', 'lineage': None, 'honourific': None}, 'id': '.'}, {'name': {'given': 'Erwanto', 'honourific': None, 'family': 'Erwanto', 'lineage': None}, 'id': None}, {'id': None, 'name': {'lineage': None, 'family': 'Husni', 'honourific': None, 'given': 'Ali'}}, {'name': {'given': 'Sulastri', 'family': 'Sulastri', 'lineage': None, 'honourific': None}, 'id': None}, {'id': None, 'name': {'lineage': None, 'family': 'Siswanto', 'honourific': None, 'given': 'Siswanto'}}, {'id': None, 'name': {'given': 'EAD', 'family': 'Tobing', 'lineage': None, 'honourific': None}}]","Performance of Saburai Goat Kids Based on Type of Birth and Sex in Tanggamus District, Lampung Province",TRUE,26-20 Oct 2018,"Medan, North SUmatera, Indonesia",,,,,,,,,,,,,
1,published,,['SF'],"The objective of this research was to evaluate the effect of branched-chain amino acid and organic mineral addition on fermented palm oil waste based-feed to the nutrients digestibility and cattle performance. The research was done using nine Ongole crossbred cattle by applying randomized block design with three treatments and three replications. The first treatment (R0) was fermented palm oil waste-based feed; and the second treatment (R1) was R0 with 13% cassava leaves addition; and the third treatment (R2) was R1 with organic minerals (40 ppm Zn; 10 ppm Cu; 0.1 ppm Se; and 0.3 ppm Cr) addition. The result showed that R2 gave a significant effect (P<0.05) on crude protein, crude fiber, and ether extract digestibility, but showed no significant effect on dry matter and organic matter digestibility and cattle production parameters. The research concluded that fermented palm oil waste-based feed with 13% cassava leaves
and organic minerals addition gave the best result based on the digestibility and cattle production parameters.",2018-02-12 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/6740,['FP17'],disk0/00/00/67/40,,public,2018-04-25 08:02:07,pub,6,2018-04-25 08:02:07,archive,6740,show,45-49,444,,2018-04-25 08:02:07,"[{'files': [{'datasetid': 'document', 'fileid': 61882, 'hash': '68aa8219166ce4bbb865792a7773880c', 'mime_type': 'application/pdf', 'filesize': 249106, 'objectid': 19707, 'filename': 'adhianto, dkk.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/61882', 'hash_type': 'MD5', 'mtime': '2018-04-19 00:51:21'}], 'main': 'adhianto, dkk.pdf', 'docid': 19707, 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'placement': 1, 'eprintid': 6740, 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/19707', 'security': 'public'}]",,article,"[{'id': '.', 'name': {'given': 'Kusuma', 'honourific': None, 'family': 'Adhianto', 'lineage': None}}, {'id': '.', 'name': {'given': 'Muhtarudin', 'lineage': None, 'family': 'Muhtarudin', 'honourific': None}}, {'name': {'given': 'Liman', 'lineage': None, 'family': 'Liman', 'honourific': None}, 'id': '.'}, {'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'lineage': None, 'family': 'Haryanto', 'honourific': None}}]",Improvement Nutrient Digestibility and Production Performance of Cattle Through Restricted Amino Acid and Organic Minerals Addition on Fermented Palm Oil Waste-Based Feed,TRUE,,,0126-4400,Buletin Peternakan,Fakultas Peternakan UGM,42.0,1.0,,,,,,,,
2,,,['SF'],"The objective of this research was to evaluate the effect of branched-chain amino acid and organic mineral addition on fermented palm oil waste based-feed to the
nutrients digestibility and cattle performance. The research was done using nine Ongole 
crossbred cattle by applying randomized block design with three treatments and three 
replications. The first treatment (R0) was fermented palm oil waste-based feed; and the
second treatment (R1) was R0 with 13% cassava leaves addition; and the third treatment
(R2) was R1 with organic minerals (40 ppm Zn; 10 ppm Cu; 0.1 ppm Se; and 0.3 ppm
Cr) addition. The result showed that R2 gave a significant effect (P<0.05) on crude
protein, crude fiber, and ether extract digestibility, but showed no significant effect on
dry matter and organic matter digestibility and cattle production parameters. The
research concluded that fermented palm oil waste-based feed with 13% cassava leaves
and organic minerals addition gave the best result based on the digestibility and cattle
production parameters.",1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/13665,['FP17'],disk0/00/01/36/65,,public,2019-08-01 06:50:53,pub,7,2019-08-01 06:50:53,archive,13665,show,,444,,2019-08-01 06:50:53,"[{'format': 'text', 'docid': 26676, 'main': '2. review K_adhianto, dkk Buletin Peternakan 2018 p.pdf', 'files': [{'filename': '2. review K_adhianto, dkk Buletin Peternakan 2018 p.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/119233', 'filesize': 790874, 'objectid': 26676, 'mtime': '2019-07-26 01:49:54', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '19584cc9b9fd096e09e9a4fb8685999a', 'fileid': 119233, 'datasetid': 'document'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 13665, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/26676', 'pos': 1}]",,other,"[{'id': '.', 'name': {'lineage': None, 'family': 'Adhianto', 'honourific': None, 'given': 'Kusuma'}}, {'name': {'lineage': None, 'family': 'Muhtarudin', 'honourific': None, 'given': 'Muhtarudin'}, 'id': '.'}, {'id': '.', 'name': {'given': 'Liman', 'honourific': None, 'lineage': None, 'family': 'Liman'}}, {'name': {'lineage': None, 'family': 'Haryanto', 'honourific': None, 'given': 'Agus'}, 'id': None}]",Improvement Nutrient Digestibility and Production Performance of Cattle Through Restricted Amino Acid and Organic Minerals Addition on Fermented Palm Oil Waste-Based Feed,,,,,,Fakultas Peternakan Gadjah Mada,,,Buletin Peternakan,,,,,,,
3,published,,['SF'],"ABSTRACT


This research aims to know the influence of various media to grow toward moisture content, protein and
fat maggot as feed and knowing the kind of media to grow the best influence on moisture content, protein
and fat maggot as feed.  This research was conducted in April 2017 until May 2017 in the Laboratory of
Airy, Faculty of Agriculture, University of Lampung. Proksimat analysis was performed in the
Laboratory of Nutrition and Food for Livestock, Department of Animal Husbandry, Faculty of
agriculture, University of Lampung.  This study uses treatment of various places growing i.e.  R1 (tofu
waste), R2 (for cake oil palm), R3 (fish waste), and R4 (chicken blood).  The experimental design was
used, namely a complete Random Design (RAL) consists of four treatments and five replicates.  Variables
in this study i.e., moisture, protein, and fat maggot generated.  Results of the study showed that treatment
effect was not real (P>0.05) to moisture content, but very real effect (P<0.01) to the fat and protein
content of maggot.  The best media to grow maggot found in media of the chicken blood to the protein
content and the media to grow of the fat content was fish waste.
 
Keywords: maggot, media to grow, nutrition maggot",2018-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/10021,['FP17'],disk0/00/01/00/21,,public,2018-11-15 08:18:15,pub,7,2018-11-15 08:18:15,archive,10021,show,14-20,1019,http://jppi.fp.unila.ac.id/index.php/ojs/article/view/43,2018-11-15 08:18:15,"[{'format': 'text', 'main': 'PENGARUH BERBAGAI MEDIA TUMBUH TERHADAP KANDUNGAN AIR, PROTEIN, DAN LEMAK MAGGOT YANG DIHASILKAN SEBAGAI PAKAN.pdf', 'docid': 23045, 'files': [{'filename': 'PENGARUH BERBAGAI MEDIA TUMBUH TERHADAP KANDUNGAN AIR, PROTEIN, DAN LEMAK MAGGOT YANG DIHASILKAN SEBAGAI PAKAN.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/94138', 'filesize': 292508, 'objectid': 23045, 'mtime': '2018-11-15 07:46:21', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': '7d03e6cf111cdea55d414a62b628575f', 'fileid': 94138, 'datasetid': 'document'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 10021, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23045'}]",,article,"[{'name': {'given': 'Muhammad', 'lineage': None, 'family': 'Aldi', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Fathul', 'lineage': None, 'given': 'Farida'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Tantalo', 'given': 'Syahrio'}}, {'name': {'given': 'Erwanto', 'family': 'Erwanto', 'lineage': None, 'honourific': None}}]","PENGARUH BERBAGAI MEDIA TUMBUH TERHADAP KANDUNGAN AIR, PROTEIN DAN
LEMAK MAGGOT YANG DIHASILKANSEBAGAI PAKAN",TRUE,,,e-ISSN:2598-3067,Jurnal Riset dan Inovasi Peternakan,Jurusan Peternakan Fakultas Pertanian,2.0,2.0,,,,,,,,
4,published,,['SF'],"ABSTRACT
This study aims to determined the effect of adding various levels of shrimp waste mash in the ration by chemically processing on external quality of layer’s egg and knowing the best level of addition of shrimp waste mash by chemical processing in layer’sration. The research was conducted in June--July 2018 at henhouse laying in Tanjung Kesuma Village, District of Purbolinggo, East of Lampung Regency, Lampung Province and Laboratory of Animal Production and Reproduction, Department of Animal Husbandry, Faculty of Agriculture, University of Lampung. The experimental design was completely randomized design (CRD) with 4 treatments of adding shrimp waste mash with levels (0; 6; 9; 12%) and 5 replications, so that there were 20 experimental units and each experimental unit consisted of 1 chicken. The material used in this study was 20 chickens of 50 weeks of Lohmann brown strain. The results showed that the addition of shrimp waste mash with level 0; 6; 9; 12% in the ration had no significant effect (P> 0.05) on the external quality of layer’s egg (egg weight and shell thickness), but had an influence on the consumption of ration. The ration with the addition of shrimp waste mash with a level of 12% (R3) reduced the consumption of ration, but produced relatively the same egg external quality as the control ration (R0). Keywords :Layer hen, Shrimp waste mash, Egg external quality",2018-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/11379,['FP17'],disk0/00/01/13/79,,public,2019-05-02 01:45:58,pub,6,2019-05-02 01:45:58,archive,11379,show,29-35,374,,2019-05-02 01:45:58,"[{'placement': 1, 'eprintid': 11379, 'uri': 'http://repository.lppm.unila.ac.id/id/document/24380', 'pos': 1, 'security': 'public', 'files': [{'datasetid': 'document', 'fileid': 103441, 'mime_type': 'application/pdf', 'hash': '768d3005e929800f3ffac071ff9bbda8', 'objectid': 24380, 'filesize': 184940, 'filename': '49-86-1-SM JRIP RIVAN.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/103441', 'hash_type': 'MD5', 'mtime': '2019-04-29 06:18:55'}], 'main': '49-86-1-SM JRIP RIVAN.pdf', 'docid': 24380, 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",,article,"[{'name': {'family': 'Anwari', 'lineage': None, 'honourific': None, 'given': 'Rivan'}, 'id': None}, {'name': {'honourific': None, 'lineage': None, 'family': 'Tantalo', 'given': 'Syahrio'}, 'id': 'syahrio1961@gmail.com'}, {'name': {'family': 'Nova', 'lineage': None, 'honourific': None, 'given': 'Khaira'}, 'id': None}, {'id': 'rudysutrisna65@yahoo.co.id', 'name': {'given': 'Rudy', 'honourific': None, 'family': 'Sutrisna', 'lineage': None}}]",PENGARUH PENAMBAHAN TEPUNG LIMBAH UDANG YANG DIOLAH SECARA KIMIAWI KE DALAM RANSUM TERHADAP KUALITAS EKSTERNAL TELUR AYAM RAS,TRUE,,,e-ISSN:2598-3067,Jurnal Riset dan Inovasi Peternakan,,2.0,3.0,,['Fakultas Pertanian Unila'],,,,,,
5,completed,,['SF'],,1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/9817,['FP17'],disk0/00/00/98/17,,public,2018-11-14 02:51:39,pub,8,2018-11-14 02:51:39,archive,9817,show,,811,,2018-11-14 02:51:39,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/22831', 'pos': 1, 'eprintid': 9817, 'placement': 1, 'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'Certificate of Attendance - WCGALP 2018.pdf', 'files': [{'hash': '323555b2d70823a9ffd89b5122366033', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 92684, 'mtime': '2018-11-13 02:38:41', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/92684', 'filename': 'Certificate of Attendance - WCGALP 2018.pdf', 'filesize': 733388, 'objectid': 22831}], 'docid': 22831}]",,other,"[{'id': 'akhmad.dakhlan@fp.unila.ac.id', 'name': {'given': 'A.', 'honourific': None, 'lineage': None, 'family': 'Dakhlan'}}]",Certificate of Attendance at The 11th WCGALP 2018,,,,,,11th WCGALP,,,Auckland,,,,,,,
6,completed,,['SF'],,2018-02-15 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/9829,['FP17'],disk0/00/00/98/29,,public,2018-11-14 02:52:07,pub,7,2018-11-14 02:52:07,archive,9829,show,,811,,2018-11-14 02:52:07,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/22844', 'security': 'public', 'placement': 1, 'eprintid': 9829, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'main': 'Certificate of Presentation - WCGALP 2018.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '5584c16206eaee60b49d2689c868e45d', 'datasetid': 'document', 'fileid': 92758, 'filename': 'Certificate of Presentation - WCGALP 2018.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/92758', 'objectid': 22844, 'filesize': 430889, 'mtime': '2018-11-13 03:52:02', 'hash_type': 'MD5'}], 'docid': 22844, 'format': 'text'}]",,other,"[{'id': 'akhmad.dakhlan@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Dakhlan', 'honourific': None, 'given': 'A.'}}]",presenter of an article at 11th WCGALP 2018,,,,,,11th WCGALP,,,,,,,,,,
7,published,World Congress on Genetics Applied to Livestock Production 2018,['SF'],"Genotype by Birth or Rearing Type Interaction in the Growth Trajectory of Merino Lamb This study explores genotype by birth or rearing type interaction for body weight across the growth trajectory of Merino lambs by estimating the contribution of sire by birth type or rearing type interaction (SxBT/RT) to the phenotypic variance and by estimating the genetic correlation between body weights (BW) expressed in single versus twin birth type (BT) or rearing type (RT) at different ages. Results from univariate random regression analysis showed that from 75 to 200 days of age the heritability for body weight increased gradually from 0·43 to 0·65 and decreased afterwards to 0.55 at 300 days of age. A sire by birth type and sire by rearing type interaction contributed around 2-6% to variation in body weight at 200 until 300 days of age, while before 200 days of age this contribution was almost zero. Results from bivariate random regression analysis showed that genetic correlation between weights in single BT and RT and twin BT and RT classes of lambs (single born/single reared (SS) vs twin born/twin reared (TT)) was consistently high (0.84-0.97) along the trajectory, while the genetic correlation between weights in different BT but the same RT (SS vs TS) increased gradually from 0.75 to 0.95 until 250 days and decreased afterwards (to 0.84). Genetic correlation between weights in different RT but the same BT (TS vs TT) increased from 75 to 175 days of age (from 0.86 to 0.94) and flattened until 250 days and decreased thereafter to 0.87. Result indicated that genotype expression differed in different BT and RT across the growth trajectory with BT having a larger effect than RT in earlier growth and with RT having a larger effect than BT in later growth of lambs. Keywords: genotype by birth or rearing type interaction, body weight, Merino lamb, random regression model.",1970-01-01 00:00:00.000002018,http://repository.lppm.unila.ac.id/id/eprint/43000,['FP17'],disk0/00/04/30/00,conference,public,2022-07-06 07:41:23,pub,4,2022-07-06 07:41:23,archive,43000,show,11.147,811,http://www.wcgalp.org/proceedings/2018/genotype-birth-or-rearing-type-interaction-growth-trajectory-merino-lamb,2022-07-06 07:41:23,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/164837', 'eprintid': 43000, 'placement': 1, 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': 'paper_world congress_dakhlan_2018.pdf', 'docid': 164837, 'files': [{'mtime': '2018-07-02 15:03:07', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/470702', 'filename': 'paper_world congress_dakhlan_2018.pdf', 'filesize': 441335, 'objectid': 164837, 'hash': '23dbaa76ebcd1e12d6bf29280b8434a0', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 470702}]}, {'uri': 'http://repository.lppm.unila.ac.id/id/document/164843', 'pos': 7, 'security': 'public', 'placement': 7, 'eprintid': 43000, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 164843, 'main': '7.Turnitin_paper_world congress_dakhlan_2018.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2022-07-06 04:57:44', 'objectid': 164843, 'filesize': 468609, 'uri': 'http://repository.lppm.unila.ac.id/id/file/470708', 'filename': '7.Turnitin_paper_world congress_dakhlan_2018.pdf', 'fileid': 470708, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '809f25aa327c1021f20215857e28db36'}], 'format': 'text'}]",paper,conference_item,"[{'name': {'family': 'Dakhlan', 'lineage': None, 'honourific': None, 'given': 'A.'}, 'id': 'akhmad.dakhlan@fp.unila.ac.id'}, {'id': 'n.moghaddar@une.edu.au', 'name': {'family': 'Moghaddar', 'lineage': None, 'honourific': None, 'given': 'N.'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Van der Werf', 'given': 'J.H.J.'}, 'id': 'jvanderw@une.edu.au'}]",Genotype by Birth or Rearing Type Interaction in the Growth Trajectory of Merino Lamb,TRUE,11-16 February 2018,"Auckland, New Zealand",,,,,,,,[{'url': 'http://www.wcgalp.org/'}],8379.0,,,,
8,published,,['S1'],"ABSTRACT

The aim of the research to know correlation size between body weight and body dimensions in male Ongole Crossbreed cattle of age 7—12 months. This research was held in July—August 2018 on Ongole Breeding Centre at Wawasan Village, Tanjungsari District, South Lampung Regency The research used survey method. Data collection was done by taking measurement body weight and body dimension on male Ongole Crossbreed Cattle of age 7—12 month from 30 head Ongole Crossbreed cattle at 4 farmer groups in Wawasan Village. Data were doing based on groups analyzed using correlation analysis. The highest value of quantitative perfomance is Marga Jaya IV livestock groups (body weight 110.5±17.62 kg, body length 95.66±10.69 cm, chest size 124.5±9.35 cm, back height 113.16±8.81 cm, head width 18.33±1.03 cm, head length 42.16±2.31 cm), while the lowest value of quantitative perfomance in Bumi Asih Sejahtera livestock groups (body weight 93.75±19.86 kg, body length 90.37±14.33 cm, chest size 114.87±11.26 cm, back height 107.5±11.80 cm, head width 16.87±2.58 cm, head length 38.87±6.03 cm). The result showed the correlation in Wawasan Village, Tanjungsari District, South Lampung Regency it was 0,72. In conclusion of the research results between body weight and body dimensions has a high correlation.

Keywords: Correlation, Body weight, Body dimensions, Ongole Crossbreed Cattle",2018-12-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/11652,['FP17'],disk0/00/01/16/52,,public,2019-05-06 04:40:26,pub,6,2019-05-06 04:40:26,archive,11652,show,16-22,304,http://jppi.fp.unila.ac.id/index.php/ojs/article/view/48,2019-05-06 04:40:26,"[{'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'docid': 24646, 'main': 'JRIP Desember 2018 fauzan.pdf', 'files': [{'hash_type': 'MD5', 'mtime': '2019-05-04 16:53:11', 'objectid': 24646, 'filesize': 270401, 'uri': 'http://repository.lppm.unila.ac.id/id/file/105387', 'filename': 'JRIP Desember 2018 fauzan.pdf', 'datasetid': 'document', 'fileid': 105387, 'mime_type': 'application/pdf', 'hash': '0f35c9ea6e7a2ea08b6e785a9c4cc998'}], 'format': 'text', 'uri': 'http://repository.lppm.unila.ac.id/id/document/24646', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 11652}]",,article,"[{'id': None, 'name': {'given': 'Fauzan', 'lineage': None, 'family': 'Ersi', 'honourific': None}}, {'id': '.dima.iqbal@fp.unila.ac,id', 'name': {'lineage': None, 'family': 'Hamdani', 'honourific': None, 'given': 'M Dima Iqbal'}}, {'name': {'given': 'Sulastri', 'family': 'Sulastri', 'lineage': None, 'honourific': None}, 'id': 'Sulastri_sekar@yahoo.com'}, {'id': '.', 'name': {'lineage': None, 'family': 'Adhianto', 'honourific': None, 'given': 'Kusuma'}}]",KORELASI ANTARA BOBOT BADAN DAN DIMENSI TUBUH PADA SAPI PERANAKAN ONGOLE JANTAN PADA UMUR 7—12 BULAN DI DESA WAWASAN KECAMATAN TANJUNGSARI KABUPATEN LAMPUNG SELATAN,TRUE,,,2598-3067,Jurnal Riset Dan Inovasi Peternakan,Universitas Lampung,2.0,3.0,,,,,,,,
9,published,International Conference SAADC 2017,['S1'],"ABSTRACT

The study was conducted with the objective to compare morphological characteristics male Saburai goat on district source Gisting District and Sumberejo District.  Observations conducted on 30 goats Saburai contained in each study location.  Observations of sample determined based on purposive sampling.  The survey method used in this study were conducted from October until December 2015.  The observed variable include body maesurements (body length, shoulder height , chest circumference) and body weight of goats aged 6--9 months.  The observed in two locations were analyzed by t test.  The result of research shows that the average body lenght (55,52+6,59 cm), shoulder height (58,72+5,89 cm), circumference (63,98+6,26 cm), and body weight (21,14+5,07 kg) male Saburai goat on Gisting District each had no significant (P>0,05) with an average  body length (55,48+6,20 cm), shoulder height (57,45+6,23 cm), chest circumference (61,77+5,82 cm), and body weight (20,72+4,51 kg) male Saburai goat on Sumberejo District.

Key words: male saburai goat, body length, shoulder height, chest  circumference, and body  weight.",2018-09-07 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/11995,['FP17'],disk0/00/01/19/95,conference,public,2019-05-09 03:10:25,pub,8,2019-05-09 03:10:25,archive,11995,show,282-284,304,,2019-05-09 03:10:25,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/24984', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 11995, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'files': [{'objectid': 24984, 'filesize': 47461218, 'uri': 'http://repository.lppm.unila.ac.id/id/file/107493', 'filename': 'Proceeding-of-SAADC-2017.pdf', 'hash_type': 'MD5', 'mtime': '2019-05-08 03:04:47', 'datasetid': 'document', 'fileid': 107493, 'mime_type': 'application/pdf', 'hash': 'c09dfd0412c0857038a1d802c88c530a'}], 'main': 'Proceeding-of-SAADC-2017.pdf', 'docid': 24984, 'format': 'text'}]",speech,conference_item,"[{'name': {'honourific': None, 'family': 'Hamdani', 'lineage': None, 'given': 'M Dima Iqbal'}, 'id': '.dima.iqbal@fp.unila.ac,id'}, {'id': '.', 'name': {'family': 'Adhianto', 'lineage': None, 'honourific': None, 'given': 'Kusuma'}}, {'name': {'honourific': None, 'family': 'Sulastri', 'lineage': None, 'given': 'Sulastri'}, 'id': None}, {'name': {'lineage': None, 'family': 'Muhtarudin', 'honourific': None, 'given': 'Muhtarudin'}, 'id': '.'}, {'name': {'family': 'Imamudin', 'lineage': None, 'honourific': None, 'given': 'Ambya'}, 'id': None}]",Comparation Of Morphological characteristics Male Saburai Goat on Two Breeding Location In The Tanggamus Regency Lampung Province,TRUE,16-19 October 2017,Brawijaya University Malang,,,,,,,,,,,,,
