,corp_creators,abstract,date,uri,subjects,date_type,status_changed,full_text_status,ispublished,rev_number,divisions,publisher,dir,contributors,userid,documents,lastmod,eprint_status,eprintid,datestamp,metadata_visibility,creators,type,title,number,id_number,pagerange,refereed,volume,issn,publication,event_type,event_title,event_dates,pres_type,event_location,official_url
0,['Universitas Lampung'],Sertifikat,1970-01-01 00:00:00.000002011,http://repository.lppm.unila.ac.id/id/eprint/33848,['T1'],completed,2021-09-13 01:30:46,public,pub,7,['FP18'],UNILA,disk0/00/03/38/48,"[{'name': {'given': 'Agus', 'lineage': None, 'family': 'Haryanto', 'honourific': None}, 'id': 'agus.haryanto@fp.unila.ac.id'}]",988,"[{'format': 'text', 'docid': 154087, 'main': 'Bukti Kehadiran Seminar SATEK 2011 Engky.pdf', 'files': [{'filesize': 298972, 'objectid': 154087, 'filename': 'Bukti Kehadiran Seminar SATEK 2011 Engky.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/400438', 'hash_type': 'MD5', 'mtime': '2021-09-10 22:26:19', 'fileid': 400438, 'datasetid': 'document', 'hash': '84bdbf6dcd8de8ba6b776b871274acb1', 'mime_type': 'application/pdf'}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 33848, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/154087', 'pos': 1}]",2021-09-13 01:30:46,archive,33848,2021-09-13 01:30:46,show,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'family': 'Haryanto', 'lineage': None, 'honourific': None, 'given': 'Agus'}}]",other,Bukti Kehadiran Seminar SATEK 2011 Engky,,,,,,,,,,,,,
1,['Universitas Lampung'],"The paper presents the recent advances of water-gas shift process using supported nickel catalysts. The effect
of different supports, nickel loading, gas hourly space velocity, dopant materials, on the catalyst activity, H2 yield, and H2 selectivity are discussed. Ceria promoted nickel catalyst supported on powder alumina (Ni/CeO2-Al2O3) demonstrated the best performance. The performance of this catalyst was affected by the amount of nickel loading. The addition of small amounts of cobalt or chromium as a dopant material resulted in a considerable increase of the catalyst performance. The prepared catalysts were also compared with a commercial catalyst (Shift Max 120). It was observed that either of the doped or undoped Ni/CeO2-Al2O3 catalysts revealed a much higher performance in term of activity, H2 yield, and H2 selectivity, as compared to a commercial one.",1970-01-01 00:00:00.000002011,http://repository.lppm.unila.ac.id/id/eprint/27382,['TP'],published,2021-01-20 03:11:02,public,pub,7,['FP18'],OMICS Publishing Group,disk0/00/02/73/82,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'honourific': None, 'lineage': None, 'family': 'Haryanto', 'given': 'Agus'}}]",988,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/41389', 'pos': 1, 'eprintid': 27382, 'placement': 1, 'content': 'published', 'rev_number': 2, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'main': '2011 JTC, High-temperature-water-gas-shift-reaction-over-nickel-catalysts_reduce.pdf', 'files': [{'objectid': 41389, 'filesize': 588169, 'filename': '2011 JTC, High-temperature-water-gas-shift-reaction-over-nickel-catalysts_reduce.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/244949', 'hash_type': 'MD5', 'mtime': '2021-01-20 02:41:48', 'fileid': 244949, 'datasetid': 'document', 'hash': '8a649cf9f3e7bb755085718a8d133aaa', 'mime_type': 'application/pdf'}], 'docid': 41389}]",2021-01-20 03:11:02,archive,27382,2021-01-20 03:11:02,show,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'family': 'Haryanto', 'lineage': None, 'honourific': None, 'given': 'Agus'}}]",article,"High Temperature Water Gas Shift Reaction over Nickel Catalysts for Hydrogen Production: Effect of Supports, GHSV, Metal Loading, and Dopant Materials",1.0,http://dx.doi.org/10.4172/2157-7544.1000106,1000106-1000106,TRUE,2.0,2157-7544,Journal of Thermodynamics & Catalysis,,,,,,
2,['Universitas Lampung'],Hasil Penilaian Reviewer,1970-01-01 00:00:00.000002011,http://repository.lppm.unila.ac.id/id/eprint/28456,['S1'],completed,2021-03-18 04:22:23,public,pub,7,['FP18'],Fakultas Pertanian,disk0/00/02/84/56,"[{'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'name': {'lineage': None, 'family': 'Haryanto', 'honourific': None, 'given': 'Agus'}, 'id': 'agus.haryanto@fp.unila.ac.id'}]",988,"[{'placement': 1, 'eprintid': 28456, 'uri': 'http://repository.lppm.unila.ac.id/id/document/42504', 'pos': 1, 'security': 'public', 'docid': 42504, 'main': '2Cogasification Biortech.pdf', 'files': [{'datasetid': 'document', 'fileid': 252800, 'hash': 'f90ba35161fdb754e6dd5d56318a5aed', 'mime_type': 'application/pdf', 'objectid': 42504, 'filesize': 168890, 'uri': 'http://repository.lppm.unila.ac.id/id/file/252800', 'filename': '2Cogasification Biortech.pdf', 'hash_type': 'MD5', 'mtime': '2021-03-18 04:01:21'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",2021-03-18 04:22:23,archive,28456,2021-03-18 04:22:23,show,"[{'name': {'given': 'Agus', 'honourific': None, 'family': 'Haryanto', 'lineage': None}, 'id': 'agus.haryanto@fp.unila.ac.id'}]",other,Palm oil mill effluent treatment and utilization to ensure the sustainability of palm oil industries,,,,,,,,,,,,,
3,['University of Lampung'],"The objective of this research was to study the effect of pan skirt on the energetic performance of biomass stove. The experiment was conducted by testing biomass stove with and without skirt to boil 5 kg water. Standard cold and hot test from Baldwin (1987) was used for this purpose. Four levels of skirt gap, namely 1, 2, 3, and 4 cm, and three levels of skirt height was combined and compared to no skirt wood stove. Results showed that skirt addition produced positive effect on the stove performance. Furthermore, it was revealed that the effect of skirt was influenced by its gap and its height. The higher and the closer the skirt the better was the stove. The best performance was resulted from a combination of 1 cm skirt gap by 12 cm height. With this skirt, the stove required 13,48 minute to boil 5 kg water with 0,713 kg of wood, 1,96 MJ/kg specific energy and 18,7% thermal efficiency at cold test. At hot test the values were 10,86 minute; 0,592 kg wood; 1,866 MJ/kg; and 22,2% respectively for boiling time, fuel requirement, specific
energy, and thermal efficiency.",2011-11-29 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/18908,['TJ'],published,2020-03-30 01:50:37,public,pub,7,['FP18'],,disk0/00/01/89/08,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'given': 'Agus', 'lineage': None, 'family': 'Haryanto', 'honourific': None}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT'}]",988,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'main': '8-ProsidingTakBerindex-05-Pengaruh_Penambahan_Selimut_Panci.pdf', 'files': [{'datasetid': 'document', 'fileid': 158654, 'mime_type': 'application/pdf', 'hash': '5fd70ac960b2ade2464e0fe57c3b4be6', 'hash_type': 'MD5', 'mtime': '2020-03-28 05:56:58', 'filesize': 1266569, 'objectid': 32146, 'filename': '8-ProsidingTakBerindex-05-Pengaruh_Penambahan_Selimut_Panci.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/158654'}], 'docid': 32146, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/32146', 'pos': 1, 'eprintid': 18908, 'placement': 1}]",2020-03-30 01:50:37,archive,18908,2020-03-30 01:50:37,show,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'family': 'Haryanto', 'lineage': None, 'honourific': None, 'given': 'Agus'}}]",conference_item,Pengaruh Penambahan Selimut Panci Terhadap Kinerja Energetik Tungku Biomasa,,,577-582,TRUE,,,,conference,SEMINAR NASIONAL SAINS DAN TEKNOLOGI IV,29-30 Novenber 2011,paper,"Bandar Lampung, Indonesia",
4,['Universitas Lampung'],"This study was performed to evaluate the input-otput energy for oil palm production and to identify the possibility to save energy consumption for activities related to oil palm production. Observation was conducted at PTPN VII Farm Unit of Rejosari, South Lampung. The energy inputs included human power, fuel and electricity as well as indirect energy resulted from the use of farm machinery, fertilizer, and pesticide. Energy outputs to be considered were resulted from full fruit bunch (FFB) consisted of crude palm oil (CPO), palm kernel oil (PKO), fibers, shell, empty fruit bunch, and trunk. The study revealed that total energy input of 57,63 GJ.ha-1 was required in oil palm production. Maintenance of productive plant consumed the highest energy, that was 33,06 GJ.ha-1 or 57,37 % of the total energy input. Based on energy sources, fertilizer was the most important input for oil palm production, accounted for 31,22 GJ.ha-1 (51,18 % of total energy input). The study also concluded that oil palm production generated energy output of 339,14 GJ.ha-1 with energy rasio of 5,88, energy productivity of 0.258 kg FFB per MJ, energy intensity of 3,87 MJ per kg FFB, and net energy gain of 281,51 GJ.ha-1.",2011-08-01 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/27385,['S1'],published,2021-01-20 03:11:24,public,pub,7,['FP18'],Fakultas Teknologi Pertanian UGM,disk0/00/02/73/85,"[{'name': {'lineage': None, 'family': 'Haryanto', 'honourific': None, 'given': 'Agus'}, 'type': 'http://www.loc.gov/loc.terms/relators/AUT', 'id': 'agus.haryanto@fp.unila.ac.id'}]",988,"[{'uri': 'http://repository.lppm.unila.ac.id/id/document/41392', 'pos': 1, 'security': 'public', 'placement': 1, 'eprintid': 27385, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'main': '2011 AGRITECH, ANALISIS ENERGI MASUKAN-KELUARAN PADA PROSES PRODUKSI KELAPA.pdf', 'docid': 41392, 'files': [{'hash': 'eae23201eede778f2e78435b18c10aa9', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 244968, 'mtime': '2021-01-20 02:49:00', 'hash_type': 'MD5', 'filename': '2011 AGRITECH, ANALISIS ENERGI MASUKAN-KELUARAN PADA PROSES PRODUKSI KELAPA.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/244968', 'filesize': 97897, 'objectid': 41392}], 'format': 'text'}]",2021-01-20 03:11:24,archive,27385,2021-01-20 03:11:24,show,"[{'id': 'agus.haryanto@fp.unila.ac.id', 'name': {'honourific': None, 'lineage': None, 'family': 'Haryanto', 'given': 'Agus'}}, {'id': 'budianto.lanya@fp.unila.ac.id', 'name': {'given': 'Budianto', 'honourific': None, 'family': 'Lanya', 'lineage': None}}, {'name': {'lineage': None, 'family': 'Triyono', 'honourific': None, 'given': 'Sugeng'}, 'id': 'sugeng.triyono@fp.unila.ac.id'}]",article,Analisis Energi Masukan-Keluaran pada Proses Produksi Kelapa Sawit (Elaesis guineensis Jacq.),3.0,https://doi.org/10.22146/agritech.9739,153-160,TRUE,31.0,0216-0455,AGRITECH,,,,,,
5,"['University of Lampung', 'University of Lampung', 'IGES (Institute for Global Environmental Strategies)']","The objective of this research was to investigate in-kitchen air quality as related to stove utilization during cooking. The experiment was conducted at Way Isem, a village located in the North of Lampung Province, Indonesia. Nine homes using four different fuels or stoves participated in this experiment with a total of fifteen samples - five wood stoves, five kerosene stoves, four liquefied petroleum gas (LPG) stoves and one biogas stove. In-kitchen air quality was measured using five parameters, namely SO2, NO2, dust, PM10 and opacity. In-kitchen air was sampled using a High Volume Air Sampler apparatus equipped with a vacuum pump. The air was then absorbed using a RAC 5 gas sampler for further analysis. Results showed that SO2 content in the kitchen air for an hour of measurement ranged from 340 to 357 μg/Nm3, lower than the Indonesia standard of 900 μg/Nm3. NO2 content, ranged from 12 to 19 μg/Nm3, was also distinctly lower than the national standard of 400 μg/Nm3. Wood stoves, however, resulted in high concentrations of dust and PM10, which were 390 μg/Nm3 and 400 μg/Nm3, respectively. These numbers were higher than the national standards of 230 μg/Nm3 for dust and 150 μg/Nm3 for PM10.",1970-01-01 00:00:00.000002011,http://repository.lppm.unila.ac.id/id/eprint/780,['TP'],published,2016-10-13 15:41:01,public,pub,6,['FP18'],,disk0/00/00/07/80,,988,"[{'format': 'text', 'main': 'Paper 13 Effect of Stove pp. 181-186.pdf', 'docid': 673, 'files': [{'objectid': 673, 'filesize': 293648, 'filename': 'Paper 13 Effect of Stove pp. 181-186.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/4538', 'hash_type': 'MD5', 'mtime': '2016-10-12 09:14:05', 'datasetid': 'document', 'fileid': 4538, 'mime_type': 'application/pdf', 'hash': '26dea27c16a782aee173b1ebab75c70b'}], 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'eprintid': 780, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/673', 'pos': 1}]",2016-10-13 15:41:01,archive,780,2016-10-13 15:41:01,show,"[{'name': {'given': 'Udin', 'family': 'Hasanudin', 'lineage': None, 'honourific': None}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Haryanto', 'given': 'Agus'}}, {'name': {'family': 'Romero', 'lineage': None, 'honourific': None, 'given': 'Jane'}}]",article,"Effect of Stove Types on In-kitchen Air Quality: Case Study at Way Isem Village, Lampung Province, Indonesia",,,181-186,TRUE,2.0,1906-4918,Journal of Sustainable Energy & Environment 2 (),,,,,,
6,,"Vitamin C (ascorbic acid) is one of the water-soluble vitamins. It can be found widely in raw fruits, vegetables and other food products, such as juices. There is an increasing in the awareness of the health benefits of vitamin C as an essential nutrient and antioxidant. Therefore, there is a need to quantify vitamin C present in foods and pharmaceutical products for quality control and security purposes. In this study, the feasibility of using ATR-THz spectroscopy for quantitative study of vitamin C solution will be investigated. A number of 33 samples of vitamin C solution were prepared by dissolving vitamin C in distilled water in the concentration range 3-21%. The spectra of vitamin C solution were acquired using a terahertz-based Fourier Transform spectrometer (FARIS-1S, JASCO Co., Japan). This spectrometer was equipped with a high pressure of mercury lamp as light source and a pyroelectric sensor made from deuterated L-alanine triglycine sulfate (DLATGS) as detector. The spectral absorbance information from 450 cm-1 to 20 cm-1 was used for further analysis. In quantitative study, partial least squares regression (PLSR) was used to develop calibration model for determination of vitamin C concentration. Full cross-validation was used to validate the model. The result showed that using raw spectra, validation resulted in acceptable RPD value (RPD = 3.53). This study showed that ATR-THz spectroscopy method provides useful technique to quantify vitamin C concentration especially in monocomponent solution.",1970-01-01 00:00:00.000002011,http://repository.lppm.unila.ac.id/id/eprint/1302,['S1'],published,2016-12-08 01:22:58,restricted,pub,9,['FP18'],,disk0/00/00/13/02,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],337,"[{'eprintid': 1302, 'placement': 1, 'security': 'validuser', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1177', 'format': 'text', 'files': [{'mtime': '2016-12-07 12:42:02', 'hash_type': 'MD5', 'filename': 'asabe 2011.PDF', 'uri': 'http://repository.lppm.unila.ac.id/id/file/8729', 'filesize': 3250813, 'objectid': 1177, 'hash': 'aa37f120fe4b32e241513ddc87f42701', 'mime_type': 'application/pdf', 'fileid': 8729, 'datasetid': 'document'}], 'main': 'asabe 2011.PDF', 'docid': 1177, 'content': 'published', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 2}]",2016-12-08 01:22:58,archive,1302,2016-12-08 01:22:58,show,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Suhandy', 'given': 'Diding'}, 'id': 'diding.sughandy@fp.unila.ac.id'}]",conference_item,"Click on the underlined title to access the document or go back to the Search Results screen to download the PDF version.

If you are not an ASABE member or if your employer has not arranged for access to the full-text, Click here for options.
Feasibility of Using Attenuated Total Reflectance Terahertz (ATR-THz) Spectroscopy for Quantitative and Qualitative Study of Vitamin C in Aqueous Solutions",,,,TRUE,,,,conference,ASABE 2011 Annual International Meeting,"August 7-11, 2011",paper,Louisville Kentucky USA,http://elibrary.asabe.org/abstract.asp?aid=38176
7,,"In this study FTIR-ATR terahertz (THz) spectroscopy combined with interval PLS (iPLS) regression was used to measure concentration of vitamin C in aqueous solution. iPLS regression was used to select the efficient spectral regions and variables to develop calibration model. The performance of the iPLS model was then compared to that of full-spectrum PLS model. The result obtained by iPLS model with 5 PLS factors was superior than that of full-spectrum PLS model with 11 PLS factors when 7 spectral regions and 70 variables were selected. Prediction performance of vitamin C can be improved by using iPLS model with ratio prediction to deviation (RPD) value of 4.570. This work demonstrated that concentration of vitamin C in aqueous solution can be predicted by FTIR-ATR THz spectroscopy method, and iPLS regression method revealed its superiority in model calibration.",1970-01-01 00:00:00.000002011,http://repository.lppm.unila.ac.id/id/eprint/1303,['S1'],published,2016-12-08 01:22:52,public,pub,7,['FP18'],,disk0/00/00/13/03,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],337,"[{'main': 'SII diding.pdf', 'docid': 1178, 'files': [{'hash_type': 'MD5', 'mtime': '2016-12-07 12:53:31', 'filesize': 308643, 'objectid': 1178, 'filename': 'SII diding.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/8738', 'datasetid': 'document', 'fileid': 8738, 'mime_type': 'application/pdf', 'hash': '72f64ac0a20ff4269c921f4264af73c4'}], 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 1303, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1178', 'pos': 1, 'security': 'public'}]",2016-12-08 01:22:52,archive,1303,2016-12-08 01:22:52,show,"[{'id': 'diding.sughandy@fp.unila.ac.id', 'name': {'honourific': None, 'family': 'Suhandy', 'lineage': None, 'given': 'Diding'}}]",conference_item,Prediction of vitamin C using FTIR-ATR terahertz spectroscopy combined with interval partial least squares (iPLS) regression,,,,TRUE,,,,conference,"2011 IEEE/SICE International Symposium on System Integration (SII),",20-22 Dec. 2011,paper,Kyoto Japan,http://ieeexplore.ieee.org/document/6147446/
8,,"The objective of our research was to use ATR-THz spectroscopy together with chemometric for quantitative study in food analysis. Glucose, fructose and sucrose are main component of sugar both in fresh and processed fruits. The use of spectroscopic-based method for sugar determination is well reported especially using visible, near infrared (NIR) and middle infrared (MIR) spectroscopy. However, the use of terahertz spectroscopy for sugar determination in fruits has not yet been reported. In this work, a quantitative study for sugars determination using attenuated total reflectance terahertz (ATR-THz) spectroscopy was conducted. Each samples of glucose, fructose and sucrose solution with different concentrations were prepared respectively and their absorbance spectra between wavenumber 20 and 450 cm-1 (between 0.6 THz and 13.5 THz) were acquired using a terahertz-based Fourier Transform spectrometer (FARIS-1S, JASCO Co., Japan). This spectrometer was equipped with a high pressure of mercury lamp as light source and a pyroelectric sensor made from deuterated L-alanine triglycine sulfate (DLTGS) as detector. Each spectrum was acquired using 16 cm-1 of resolution and 200 scans for averaging. The spectra of water and sugar solutions were compared and discussed. The results showed that increasing sugar concentration caused decreasing absorbance. The correlation between sugar concentration and its spectra was investigated using multivariate analysis. Calibration models for glucose, fructose and sucrose determination were developed using partial least squares (PLS) regression. The calibration model was evaluated using some parameters such as coefficient of determination (R2), standard error of calibration (SEC), standard error of prediction (SEP), bias between actual and predicted sugar concentration value and ratio prediction to deviation (RPD) parameter. The cross validation method was used to validate each calibration model. It is showed that the use of ATR-THz spectroscopy combined with appropriate chemometric can be a potential for a rapid determination of sugar concentrations.",1970-01-01 00:00:00.000002011,http://repository.lppm.unila.ac.id/id/eprint/1299,['S1'],published,2016-12-08 01:22:54,public,pub,7,['FP18'],,disk0/00/00/12/99,[{'type': 'http://www.loc.gov/loc.terms/relators/AUT'}],337,"[{'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1174', 'eprintid': 1299, 'placement': 1, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'format': 'text', 'main': 'diding spie.pdf', 'files': [{'fileid': 8714, 'datasetid': 'document', 'hash': '95329ae947c0cf71e770fd88d1d74851', 'mime_type': 'application/pdf', 'objectid': 1174, 'filesize': 218642, 'uri': 'http://repository.lppm.unila.ac.id/id/file/8714', 'filename': 'diding spie.pdf', 'hash_type': 'MD5', 'mtime': '2016-12-07 04:45:29'}], 'docid': 1174}]",2016-12-08 01:22:54,archive,1299,2016-12-08 01:22:54,show,"[{'name': {'family': 'Suhandy', 'lineage': None, 'honourific': None, 'given': 'Diding'}, 'id': 'diding.sughandy@fp.unila.ac.id'}]",conference_item,A Quantitative Study for Determination of Sugar Concentration Using Attenuated Total Reflectance Terahertz (ATR-THz) Spectroscopy,,,802705-1- 802705-6,TRUE,,,,conference,Sensing for Agriculture and Food Quality and Safety III,25 - 29 April 2011,paper,"Orlando World Center Marriott Resort & Convention Center Orlando, Florida, United States",http://spie.org/Publications/Proceedings/Paper/10.1117/12.886183
9,,"Lorong pengatus merupakan salah satu alternatif yang dapat digunakan untuk mengatasi lamanya masa
tunggu tanam palawija di lahan sawah pada akhir musim penghujan akibat terlalu tingginya kadar lengas
tanah. Pembuatan lorong pengatus dangkal (di atas hard pan) diharapkan dapat mempercepat penurunan
kadar lengas tanah di lapisan olah sehingga sesuai untuk pertumbuhan awal palawija. Pembuatan lorong
pada jarak yang relatif dekat dengan tanah berresiko mengolah lapisan tanah di atas lorong. Salah satu faktor
yang berperngaruh terhadap keberhasilan pembuatan lorong pengatus dangkal adalah sifat fisik tanah.
Penelitian ini bertujuan untuk mengidentifikasi deformasi tanah yang terjadi pada pembentukan lorong
pengatus dangkal di tanah sawah yang dipersiapkan untuk penanaman palawija. Penelitian dilakukan pada
skala laboratorium dengan menggunakan soil bin pada 3 tanah dengan kandungan liat yang berbeda (GDN:
13,12%; MYD: 41.17% dan BYL: 53.63%). Penelitian dilakukan dengan melakukan observasi deformasi tanah
yang terjadi akibat pembentukan lorong pengatus. Hasil penelitian menunjukkan bahwa deformasi tanah
terbesar terjadi pada tanah dengan kandungan liat tertinggi (53.63%) dan terkecil pada tanah dengan
kandungan liat (13.12%).",2011-12-06 00:00:00.000000000,http://repository.lppm.unila.ac.id/id/eprint/10856,['S1'],published,2019-05-02 04:16:36,public,pub,7,['FP18'],,disk0/00/01/08/56,,45,"[{'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/23868', 'pos': 1, 'eprintid': 10856, 'placement': 1, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf', 'format': 'text', 'files': [{'hash_type': 'MD5', 'mtime': '2019-02-28 09:08:38', 'objectid': 23868, 'filesize': 1871368, 'uri': 'http://repository.lppm.unila.ac.id/id/file/99927', 'filename': 'Perteta Bandung 2011.pdf', 'fileid': 99927, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': '9e50a30ff5dcbb41502e60168ecbee3b'}], 'main': 'Perteta Bandung 2011.pdf', 'docid': 23868}]",2019-05-02 04:16:36,archive,10856,2019-05-02 04:16:36,show,"[{'name': {'given': 'Siti', 'lineage': None, 'family': 'Suharyatun', 'honourific': None}, 'id': 'siti.suharyatun@fp.unila.ac.id'}]",conference_item,KARAKTERISTIK DEFORMASI TANAH PADA PEMBENTUKAN LORONG PENGATUS DANGKAL  DI TANAH SAWAH JENUH,,,86-92,FALSE,,,,conference,Seminar Nasional Perteta Bandung 2011,6-8 2011,paper,Bandung,
