,event_type,divisions,dir,ispublished,rev_number,full_text_status,status_changed,date_type,subjects,event_title,uri,date,abstract,title,refereed,event_dates,pres_type,type,creators,event_location,metadata_visibility,pagerange,datestamp,eprint_status,eprintid,lastmod,official_url,documents,userid,id_number,number,volume,publication,publisher,issn,corp_creators,place_of_pub,isbn,series,contact_email,referencetext
0,conference,['FP19'],disk0/00/00/38/04,pub,7,public,2017-08-11 03:58:14,published,['S1'],SEMINAR NASIONAL SAINS DAN TEKNOLOGI IV,http://repository.lppm.unila.ac.id/id/eprint/3804,2011-11-01 00:00:00.000000000,"Penelitian bertujuan untuk menganalisis kinerja, nilai tambah dan strategi pengembangan agroindustri kecil kelanting.  Pemilihan lokasi dilakukan di Kecamatan Pekalongan Kabupaten Lampung Timur.  Pengambilan sampel dilakukan secara sensur pada 14 pelaku agroindustri kelanting.  Metode analisis data yang digunakan adalah analisis kuantitatif (R/C Rasio, Nilai Tambah Hayami, SWOT) dan kualitatif (deskriptif).  Hasil penelitian menunjukkan bahwa kinerja produksi agroindustri kelanting secara keseluruhan sudah baik. Nilai R/C Rasio ata biaya tunai sebesar 1.40,produktivitas parsial sebesar 11.49 kg/HOK, dan kapasitas sebesar 0.91 atau 91 persen.  Agroindustri kelanting di Kabupaten Lampung Timur merupakan usaha yang menguntungkan.  Nilai tambah yang diperoleh dari pengolahan ubi kayu menjadi kelanting pada agroindustri ini sebesar Rp 1.061,44 per kg bahan baku ubi kayu atau sebesar 42 persen.  Agroindustri kelanting berada pada kuadran I pada analisis SWOT.  Strategi pengembangan yang digunakan adalah mempertahankan kualitas produk untuk memenuhi kebutuhan masyarakat, menghasilkan produk yang berkualitas untuk mengingkatkan preferensi masyarakat terhadap pangan tradisional, dan memanfaatkan kerjasama dengan pihak luar untuk memperluas jaringan pasar.
Kata kunci : kelanting, kinerja, nilai tambah, strategi","ANALISIS KINERJA, NILAI TAMBAH DAN STRATEGI PENGEMBANGAN AGROINDUSTRI KECIL KELANTING DI KABUPATEN LAMPUNG TIMUR",TRUE,29-30 Novenber 2011,paper,conference_item,"[{'name': {'family': 'Affandi', 'lineage': None, 'honourific': None, 'given': 'M. Irfan'}, 'id': 'irfanaffandi2006@yahoo.com'}, {'id': 'sussi.astuti@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Astuti', 'honourific': None, 'given': 'Sussi'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Firdausil', 'given': 'A.B.'}, 'id': None}]","Bandar Lampung, Indonesia",show,363-380,2017-08-11 03:58:14,archive,3804,2017-08-11 03:58:14,http://lemlit@unila.ac.id,"[{'language': 'en', 'mime_type': 'application/pdf', 'rev_number': 1, 'format': 'text', 'main': 'Prosiding SUSSI-NILAI TAMBAH KELANTING.pdf', 'files': [{'mime_type': 'application/pdf', 'hash': '13a3a1002e6323770fbe6ce90469caa5', 'fileid': 26655, 'datasetid': 'document', 'mtime': '2017-08-09 03:47:04', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/26655', 'filename': 'Prosiding SUSSI-NILAI TAMBAH KELANTING.pdf', 'filesize': 14337643, 'objectid': 3666}], 'docid': 3666, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3666', 'eprintid': 3804, 'placement': 1}]",625,,,,,,,,,,,,
1,conference,['FP19'],disk0/00/00/38/03,pub,10,public,2017-08-11 03:58:26,published,['S1'],SEMINAR NASIONAL SAINS DAN TEKNOLOGI IV,http://repository.lppm.unila.ac.id/id/eprint/3803,2011-11-01 00:00:00.000000000,"Penelitian bertujuan untuk mengevaluasi pengaruh pemberian tepung kedelai kaya isoflavon (TKI) pada berbagai tingkatan dosis isoflavon terhadap profil darah tikus. Ransum basal kasein disusun secara isonitrogen dan isokalori dengan kadar protein ransum sebesar 10%. Dua puluh lima ekor tikus putih jantan strain Sprague Dawley dibagi menjadi lima kelompok.  Satu kelompok kontrol mendapat cekok aquades, sedangkan empat kelompok yang lain mendapat perlakuan tepung kedelai kaya isoflavon secara oral dengan berbagai tingkatan dosis isoflavon selama dua bulan.  Pemberian tepung kedelai kaya isoflavon didasarkan pada hasil pengukuran kandungan total senyawa isoflavon pada tepung kedelai kaya isoflavon dengan menggunakan HPLC. Hasil penelitian menunjukkan bahwa pemberian tepung kedelai kaya isoflavon pada berbagai tingkatan dosis berpengaruh nyata terhadap jumlah eritrosit, nilai hematokrit dan jumlah leukosit darah tikus. Pemberian TKI pada dosis 1.5 mg/ekor/hari meningkatkan jumlah eritrosit, nilai hematokrit dan jumlah leukosit. Pemberian TKI sampai dosis 6 mg/ekor/hari tidak berpengaruh terhadap kadar hemoglobin dan differensiasi leukosit yang meliputi neutrofil, limfosit dan monosit. Tepung kedelai kaya isoflavon dosis 1.5 mg/ekor/hari merupakan dosis terbaik yang mampu memperbaiki profil darah.",PROFIL DARAH TIKUS AKIBAT PEMBERIAN TEPUNG KEDELAI KAYA ISOFLAVON,TRUE,29-30 Novenber 2011,paper,conference_item,"[{'name': {'family': 'Astuti', 'lineage': None, 'honourific': None, 'given': 'Sussi'}, 'id': 'sussi.astuti@fp.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Nurainy', 'lineage': None, 'given': 'fibra'}, 'id': 'fibra.nurainy@fp.unila.ac.id'}]","Bandar Lampung, Indonesia",show,693-706,2017-08-11 03:58:26,archive,3803,2017-08-11 03:58:26,http://lemlit@unila.ac.id,"[{'eprintid': 3803, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3665', 'format': 'text', 'main': 'Prosiding SUSSI SATEK IV-PROFIL DARAH.pdf', 'files': [{'fileid': 26645, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'f116d6df599781e79cb3ca3018052a8a', 'objectid': 3665, 'filesize': 11486827, 'filename': 'Prosiding SUSSI SATEK IV-PROFIL DARAH.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/26645', 'hash_type': 'MD5', 'mtime': '2017-08-09 03:07:55'}], 'docid': 3665, 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",625,,,,,,,,,,,,
2,,['FP19'],disk0/00/00/38/06,pub,8,public,2017-08-14 03:12:36,published,['S1'],,http://repository.lppm.unila.ac.id/id/eprint/3806,2011-03-01 00:00:00.000000000,"Tubers   are  believed  to have functional   properties because of their fiber (dietary fiber).  Utilization of minor tubers like suweg and arrowroot as a raw  material of oyek  and tiwul is not yet widely applied. This study was aimed  to  indentfy   glycemic  index of oyek  and tiwul made from  arrowroot, suweg and cassava.  The results showed that  glycemic indexs of arrowroot , suweg and cassava oyek were 41, 42, and 30 respectively. While glycemic index of arroroot, suweg and cassava were 40, 40, and 29. These results indicates that oyek and tiwul from arrowroot, suweg and cassava  can be classified as food that has low (<55) glycemic index.

Key words: Oyek,  tiwul, Marantha arundinaceae, Amorphallus campanullatus, Manihotutillisima, glycemic index","INDEKS GLIKEMIK OYEK DAN TIWUL DARI UMBI GARU(Marantha arundinaceae L.), SUWEG (Amorphallus campanullatus dan SINGKONG (Manihot utillisima)",TRUE,,,article,"[{'id': None, 'name': {'given': 'Verawati', 'lineage': None, 'family': 'Hasan', 'honourific': None}}, {'id': 'sussi.astuti@fp.unila.ac.id', 'name': {'lineage': None, 'family': 'Astuti', 'honourific': None, 'given': 'Sussi'}}, {'name': {'honourific': None, 'lineage': None, 'family': 'Susilawati', 'given': 'Susilawati'}, 'id': 'susilawati.1961@fp.unila.ac.id'}]",,show,34-50,2017-08-14 03:12:36,archive,3806,2018-05-14 07:13:09,http://jurnal.fp.unila.ac.id/index.php/JTHP/search,"[{'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'format': 'text', 'files': [{'fileid': 26667, 'datasetid': 'document', 'hash': '667fca7ec97fae1a6470e931a96ba7ef', 'mime_type': 'application/pdf', 'filesize': 119687, 'objectid': 3668, 'filename': 'IG OYEK DAN TIWUL UMBI GARUT, SINGKONG.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/26667', 'hash_type': 'MD5', 'mtime': '2017-08-09 04:43:25'}], 'main': 'IG OYEK DAN TIWUL UMBI GARUT, SINGKONG.pdf', 'docid': 3668, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/3668', 'eprintid': 3806, 'placement': 1}]",625,ISSN 1410-3044,1.0,16.0,Jurnal Teknologi & Industri Hasil Pertanian,Jurusan Teknologi Hasil Pertanian (THP) UNILA,1410-3044,,,,,,
3,conference,['FP19'],disk0/00/01/07/36,pub,7,public,2019-02-11 12:19:03,published,['S1'],International Conference and Exhibition on Sustainable Energy and Advanced Materials (ICE SEAM 2011),http://repository.lppm.unila.ac.id/id/eprint/10736,1970-01-01 00:00:00.000002011,"Lampung is the biggest contributor for cassava production in Indonesia. Recently, Lampung produced 7.57
million ton of cassava tubers annually and contributed about 34.4% of the national cassava production.
Therefore, Lampung is the home for cassava-based industries. There were 76 industries are in operation in
Lampung, including four small scale tapioca industries called ITTARA. These industries wasted huge of water
having potential to generate biogas through anaerobic digestion process. The objective of this paper was to study
greenhouse gas (GHG) emission mitigation of cassava mills in Lampung by using biogas fuel resulted from
wastewater treatment. The study evaluated GHG emission from the existing conditions and then calculate GHG
emission reduction potential in the processing step by utilization of waste. General life cycle methodology was
applied for the evaluation of GHG reduction. Results showed that 2.82 to 4.5 m3 of waste water were produced
for every ton of cassava being processed. The waste water was characterized by high organic matter with an
average COD of 18,000 mg/L. During waste water treatment, biogas was estimated at around 26 m3 per ton
cassava with methane content of 56.2 vol.%. The study also revealed that utilization of biogas may replace a part
of diesel fuel used in the cassava mills and therefore potentially reduces GHG emission. Assuming that 80% of
cassava production was processed directly in cassava mill, it can be showed that total biogas energy potential
throughout Lampung Province was equivalent to 87.4 million liters diesel fuel per year. This quantity will reduce
GHG emission about 1.32 million tons of CO2 equivalent per year. 
Keywords: Biogas, Greenhouse gas, Emission, Cassava mill, Mitigation.","Mitigation of Green House Gases Emission in Cassava Mill: Case Study in
Lampung, Indonesia",TRUE,3-4 Oktober 2011,paper,conference_item,"[{'id': 'udinha65@gmail.com', 'name': {'honourific': None, 'lineage': None, 'family': 'Hasanudin', 'given': 'Udin'}}, {'name': {'given': 'Agus', 'honourific': None, 'family': 'Haryanto', 'lineage': None}, 'id': 'agus.haryanto@fp.unila.ac.id'}, {'name': {'honourific': None, 'family': 'Suroso', 'lineage': None, 'given': 'Erdi'}, 'id': 'erdi.suroso@fp.unila.ac.id'}]","Solo, Indonesia",show,54-60,2019-02-11 12:19:03,archive,10736,2019-02-11 12:19:03,,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/23746', 'security': 'public', 'placement': 1, 'eprintid': 10736, 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'main': 'Mitigation_of_Green_House_Gases_Emission 2.pdf', 'docid': 23746, 'files': [{'filename': 'Mitigation_of_Green_House_Gases_Emission 2.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/99070', 'objectid': 23746, 'filesize': 1094605, 'mtime': '2019-02-11 11:57:23', 'hash_type': 'MD5', 'hash': '27d5edf88437d8f65441f2ed00d3ac44', 'mime_type': 'application/pdf', 'fileid': 99070, 'datasetid': 'document'}], 'format': 'text'}]",379,,,,,,,['Universitas Lampung'],,,,,
4,,['FP19'],disk0/00/02/89/45,pub,6,public,2021-04-06 09:05:39,published,['S1'],,http://repository.lppm.unila.ac.id/id/eprint/28945,2011-09-01 00:00:00.000000000,"Surfactant is a surface-active agent that can be produced by a chemical or biochemical synthesis. The most widely used anionic surfactant in surfactant flooding is linier alkyl benzene sulfonate (LAS) synthesized from petroleum material. The weaknesses of petroleum based surfactant are: it is made from nonrenewable resources, has very poor detergency in hard water and naturally are difficult to be degraded. These problems can be overcome by producing methyl ester sulfonate (MES) surfactant made from natural resources, such jatropha oil es methyl ester. Temperature is the important factor that should be performed in MES stability. The purpose of this research is to investigate the sulfonate group caused by temperature and degradation time. The result of thermal degradation tests of Methyl Ester Sulfonates showedthat at temperature of 150 oC during 72 hours influenced the degradation of sulfonate group. It was indicated by decreasing peak of sulfonate formed at the wave number of 1250 – 1150 cm-1. The increased of temperature showed decreased ability of surfactant to stabilized of emulsion and surface tension.","PERUBAHAN KOMPOSISI METIL ESTER AKIBAT KERUSAKAN PANAS PADA 
METIL ESTER SULFONAT DARI JARAK PAGAR",TRUE,,,article,"[{'id': 'srihidayati.unila@gmail.com', 'name': {'given': 'Sri', 'honourific': None, 'lineage': None, 'family': 'Hidayati'}}]",,show,60-73,2021-04-06 09:05:39,archive,28945,2021-04-06 09:05:39,http://jrk.fmipa.unand.ac.id/index.php/jrk/article/view/183/79,"[{'format': 'text', 'files': [{'mime_type': 'application/pdf', 'hash': 'fa3c3eb7687a3aef4c880fa2d4935097', 'datasetid': 'document', 'fileid': 256832, 'mtime': '2021-04-06 08:48:07', 'hash_type': 'MD5', 'filename': '183-390-1-PB (1) jurnal riset kimia.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/256832', 'objectid': 43039, 'filesize': 813126}], 'main': '183-390-1-PB (1) jurnal riset kimia.pdf', 'docid': 43039, 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf', 'eprintid': 28945, 'placement': 1, 'security': 'public', 'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/43039'}]",1027,ISSN : 1978-628X,1.0,5.0,Jurnal Riset Kimia,Jurusan Kimia FMIPA Unand,ISSN : 1978-628X,,,,,,
5,,['FP19'],disk0/00/00/16/37,pub,6,public,2017-05-26 07:29:45,published,['QD'],,http://repository.lppm.unila.ac.id/id/eprint/1637,2011-09-01 00:00:00.000000000,"urfactant is a surface-active agent that can be produced by a chemical or biochemical synthesis. The most widely used anionic surfactant in surfactant flooding is linier alkyl benzene sulfonate (LAS) synthesized from petroleum material. The weaknesses of petroleum based surfactant are: it is made from nonrenewable resources, has very poor detergency in hard water and naturally are difficult to be degraded. These problems can be overcome by producing methyl ester sulfonate (MES) surfactant made from natural resources, such jatropha oil es methyl ester. Temperature is the important factor that should be performed in MES stability. The purpose of this research is to investigate the sulfonate group caused by temperature and degradation time. The result of thermal degradation tests of Methyl Ester Sulfonates showed that at temperature of 150 oC during 72 hours influenced the degradation of sulfonate group. It was indicated by decreasing peak of sulfonate formed at the wave number of 1250 – 1150 cm-1. The increased of temperature showed decreased ability of surfactant to stabilized of emulsion and surface tension.",PERUBAHAN KOMPOSISI METIL ESTER AKIBAT KERUSAKAN PANAS PADA METIL ESTER SULFONAT DARI JARAK PAGAR,TRUE,,,article,"[{'name': {'honourific': None, 'lineage': None, 'family': 'Hidayati', 'given': 'Sri'}, 'id': 'srihidayati.unila@gmail.com'}]",,show,60-73,2017-05-26 07:29:45,archive,1637,2017-05-26 07:29:45,http://jrk.fmipa.unand.ac.id/index.php/jrk/issue/archive,"[{'pos': 1, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1500', 'security': 'public', 'placement': 1, 'eprintid': 1637, 'language': 'en', 'rev_number': 1, 'mime_type': 'text/html', 'files': [{'objectid': 1500, 'filesize': 29584, 'filename': 'PERUBAHAN KOMPOSISI METIL ESTER AKIBAT KERUSAKAN PANAS PADA METIL ESTER SULFONAT DARI JARAK PAGAR _ Hidayati _ Jurnal Riset Kimia.htm', 'uri': 'http://repository.lppm.unila.ac.id/id/file/11322', 'hash_type': 'MD5', 'mtime': '2017-05-20 06:32:45', 'datasetid': 'document', 'fileid': 11322, 'hash': '6258d784cf65116900935dcdf9a65b6f', 'mime_type': 'text/html'}], 'main': 'PERUBAHAN KOMPOSISI METIL ESTER AKIBAT KERUSAKAN PANAS PADA METIL ESTER SULFONAT DARI JARAK PAGAR _ Hidayati _ Jurnal Riset Kimia.htm', 'docid': 1500, 'format': 'text'}]",1027,"1978-618x, 2676-8969",4.0,5.0,Jurnal Riset Kimia,Jurusan Kimia FMIPA Unand,"1978-618x, 2676-8969",,,,,,
6,,['FP19'],disk0/00/00/16/38,pub,6,public,2017-05-26 07:30:01,published,['S1'],,http://repository.lppm.unila.ac.id/id/eprint/1638,2011-12-01 00:00:00.000000000,"Metil ester sulfonat  (MES) merupakan  surfaktan   anionik yang dibuat melalui proses sulfonasi dengan menggunakan  bahan baku dari minyak nabati seperti kelapa sawit, dan minyak kelapa. Tujuan dari penelitian  untuk mengetahui  konsentrasi  H2SO4  dan lama waktu sulfonasi  terbaik terhadap karakteristik  MES.  Perlakuan  terdiri dari 2 faktor, yaitu konsentrasi H2SO4 70. 80 dan
90% dan lama reaksi 30, 60 dan 90 menit dengan ulangan sebanyak 2 kali. Hasil pembuatan MES
berbahan  baku  metil  ester dari minyak  kelapa  menunjukkan  bahwa  kondisi  proses  sulfonasi
terbaik  terdapat  pada  konsentrasi  H2SO4   80%  dan  lama  reaksi  60  menit.    Karakteristik  MES
terbaik   yang  dihasilkan   memperlihatkan   nilai  tegangan   permukaan   yaitu  27,55  dyne/cm
hingga, stabilitas emulsi 100 %, berat jenis 0,875 g/ml dan nilai bilangan asam 1,584 mg KOH/g.","Pengaruh Konsentrasi H2SO4  dan Lama Sulfonasi pada
Pembuatan Metil Ester Sulfonat dari Minyak Kelapa",TRUE,,,article,"[{'name': {'given': 'Sri', 'honourific': None, 'family': 'Hidayati', 'lineage': None}, 'id': 'srihidayati.unila@gmail.com'}]",,show,83-95,2017-05-26 07:30:01,archive,1638,2017-05-26 07:30:01,http://digilib.litbang.pertanian.go.id/repository/index.php/repository/subjek_kategori,"[{'placement': 1, 'eprintid': 1638, 'uri': 'http://repository.lppm.unila.ac.id/id/document/1501', 'pos': 1, 'security': 'public', 'docid': 1501, 'main': 'MES dari kelapa.pdf', 'files': [{'mtime': '2017-05-20 07:02:15', 'hash_type': 'MD5', 'uri': 'http://repository.lppm.unila.ac.id/id/file/11328', 'filename': 'MES dari kelapa.pdf', 'objectid': 1501, 'filesize': 120847, 'hash': 'ab9c1d1cb83fa1f6950e662668b52e11', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 11328}], 'format': 'text', 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",1027,terakreditasi CN0:340/AU1/P2MBI/02/2011,2.0,12.0,Buletin palma,Litbang Pertanian,1979-679x,,,,,,
7,,['FP19'],disk0/00/02/70/43,pub,8,public,2020-12-07 07:35:52,published,['S1'],,http://repository.lppm.unila.ac.id/id/eprint/27043,1970-01-01 00:00:00.000002011,"Surfactant is a surface-active agent that can be produced by a chemical or biochemical synthesis. The most widely used anionic surfactant in surfactant flooding is linier alkyl benzene sulfonate (LAS) synthesized from petroleum material. The weaknesses of petroleum based surfactant are: it is made from nonrenewable resources, has very poor detergency in hard water and naturally are difficult to be degraded. These problems can be overcome by producing methyl ester sulfonate (MES) surfactant made from natural resources, such jatropha oil es methyl ester. Temperature is the important factor that should be performed in MES stability. The purpose of this research is to investigate the sulfonate group caused by temperature and degradation time. The result of thermal degradation tests of Methyl Ester Sulfonates showed that at temperature of 150 oC during 72 hours influenced the degradation of sulfonate group. It was indicated by decreasing peak of sulfonate formed at the wave number of 1250 – 1150 cm-1. The increased of temperature showed decreased ability of surfactant to stabilized of emulsion and surface tension.",similarity: PERUBAHAN KOMPOSISI METIL ESTER AKIBAT KERUSAKAN PANAS PADA METIL ESTER SULFONAT DARI JARAK PAGAR.,,,,other,"[{'name': {'given': 'Sri', 'lineage': None, 'family': 'Hidayati', 'honourific': None}, 'id': 'srihidayati.unila@gmail.com'}]",,show,,2020-12-07 07:35:52,archive,27043,2020-12-07 07:35:52,http://jrk.fmipa.unand.ac.id/index.php/jrk/issue/a...,"[{'placement': 1, 'eprintid': 27043, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41060', 'pos': 1, 'security': 'public', 'docid': 41060, 'main': 'Turnitin 28. PERUBAHAN KOMPOSISI METIL ESTER AKIBAT KERUSAKAN PANAS PADA METIL ESTER SULFONAT DARI JARAK PAGAR.pdf', 'files': [{'fileid': 242472, 'datasetid': 'document', 'mime_type': 'application/pdf', 'hash': 'f142b052c2784ee21124dfde9bd08b04', 'hash_type': 'MD5', 'mtime': '2020-12-07 07:28:44', 'filesize': 3470018, 'objectid': 41060, 'filename': 'Turnitin 28. PERUBAHAN KOMPOSISI METIL ESTER AKIBAT KERUSAKAN PANAS PADA METIL ESTER SULFONAT DARI JARAK PAGAR.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/242472'}], 'format': 'text', 'rev_number': 1, 'language': 'en', 'mime_type': 'application/pdf'}]",1027,//doi.org/10.25077/jrk.v5i1.183,,,,"Jurnal Riset Kimia is published by Department of Chemistry, Faculty of Mathematics and Natural Sciences, Universitas Andalas, Sumatera Barat, Indonesia.",,,Jurnal Riset Kimia,,,,
8,conference,['FP19'],disk0/00/03/18/70,pub,7,public,2021-06-03 07:58:18,published,['S1'],International Seminar on Horticulture to Support Food Security,http://repository.lppm.unila.ac.id/id/eprint/31870,1970-01-01 00:00:00.000002011,"Cashew and pepper are kind of important commodity in Indonesia. In recent times, productivity  of these plants decreased due to insect pest Helopeltis antonii and Dacinus piperis. Generally,  farmers use synthetic insecticide to control these pests. The use of synthetic insecticide gives risk to  human and environmental. Therefore, there is an urgent need to find natural insecticide to control  cashew and pepper insect pest. Many researches showed that buah makasar (Brucea javanica)  contains quassinoid compounds having insecticidal activities against several pests (Subeki et al.,  2006; Latif et al, 2000; Daido et al., 1995; and Klocke et al., 1985). In this research was carried out  extraction and isolation of brucein-C from B. javanica and assayed its activity against H. antonii and D.  
piperis. Result of this research showed that bruceine-C formulated with liposomes at concentration  200 ppm gave mortality of H. antonii and D. piperis with value of 98.3% and 91.7%, respectively.  Residual contents of bruceine-C in the soil on the fifteenth and thirtieth day after application at  concentration 200 ppm decreased to 80 ppm and 0 ppm, respectively. Application of bruceine-C has  no lethal effect against non target insects. Hypothetical study on the technoeconomy showed that  insecticide with active substance brucein-C have price 40,3% cheaper than synthetic insecticides.  This research can be recommended to Indonesian government to produce natural insecticide from  the original Indonesian plant buah makasar.",INSECTICIDAL ACTIVITY OF BRUCEIN-C FROM BUAH MAKASAR (Brucea javanica) AGAINST Helopeltis antonii AND Dacinus pipe,TRUE,22-23 June 2010,paper,conference_item,"[{'id': 'srihidayati.unila@gmail.com', 'name': {'given': 'Sri', 'family': 'Hidayati', 'lineage': None, 'honourific': None}}, {'id': 'subeki1968@fp.unila.ac.id', 'name': {'given': 'subeki', 'lineage': None, 'family': 'subeki', 'honourific': None}}, {'name': {'honourific': None, 'family': 'Indrawan', 'lineage': None, 'given': 'Dracjat'}, 'id': None}]",Bandar Lampung,show,C65-C78,2021-06-03 07:58:18,archive,31870,2021-06-03 07:58:18,https://ishsfs2010.wordpress.com/,"[{'eprintid': 31870, 'placement': 1, 'security': 'public', 'uri': 'http://repository.lppm.unila.ac.id/id/document/144314', 'pos': 1, 'format': 'text', 'main': 'Subeki, insectisidal activity.pdf', 'docid': 144314, 'files': [{'hash': 'c9df08ad3df51c7aae5171d58e65df70', 'mime_type': 'application/pdf', 'datasetid': 'document', 'fileid': 377275, 'mtime': '2021-06-03 07:01:31', 'hash_type': 'MD5', 'filename': 'Subeki, insectisidal activity.pdf', 'uri': 'http://repository.lppm.unila.ac.id/id/file/377275', 'objectid': 144314, 'filesize': 107486}], 'language': 'en', 'rev_number': 1, 'mime_type': 'application/pdf'}]",1027,,,,,,,,,,,,
9,,['FP19'],disk0/00/02/70/42,pub,7,public,2020-12-07 07:35:45,published,['S1'],,http://repository.lppm.unila.ac.id/id/eprint/27042,1970-01-01 00:00:00.000002011,"his study aimed to find optimum manufacturing trash fish protein hydrolyzate using the commercial papainenzyme. It is known that fish protein hydrolysates have good functional properties, so it is more widely utilized,especially for food. The study was conducted in two stages, the first stage was to make trash fish protein hydrolyzatetreated with enzyme concentration of 3%, 5%, 7% (w/w), and pH 5; 5.5; 6; 6.5; 7, whereas second stage was to maketrash fish protein hydrolyzate with same from the first stage and so the best treatment followed by treatment ofhalf-hour long incubation and one hour. Parameters observed were soluble protein, foamability, fat binding capacityand emulsion stability. The treatment was repeated three times and the first phase of data analysis using advancedtesting LSD and the second stage using the T test. Results show that the best soluble protein to produce a trashfish protein hydrolyzate enzyme was at a concentration of 5% and pH = 6.5 that was equal to 19.71%. In half an hourincubation produce higher soluble protein values and foamability that were equal to 24.97% and 9.63%, while thebinding capacity of fat in one hour incubation produces a higher value that was equal to 5.03%. Meanwhile, emulsionstability did not differ significantly at both incubation time.",similarity:Proses Pembuatan Hidrolisat Protein Ikan Rucah,,,,other,"[{'name': {'family': 'Koesoemawardani', 'lineage': None, 'honourific': None, 'given': 'Dyah'}, 'id': None}, {'id': 'srihidayati.unila@gmail.com', 'name': {'given': 'Sri', 'lineage': None, 'family': 'Hidayati', 'honourific': None}}, {'name': {'given': 'Fibra', 'honourific': None, 'family': 'Nurainy', 'lineage': None}, 'id': 'fibranurainy@gmail.com'}]",,show,,2020-12-07 07:35:45,archive,27042,2020-12-07 07:35:45,https://natur.ejournal.unri.ac.id/index.php/JN/article/view/180,"[{'main': 'Turnitin 27. Proses Pembuatan Hidrolisat Protein Ikan Rucah.pdf', 'files': [{'uri': 'http://repository.lppm.unila.ac.id/id/file/242465', 'filename': 'Turnitin 27. Proses Pembuatan Hidrolisat Protein Ikan Rucah.pdf', 'objectid': 41059, 'filesize': 1892312, 'mtime': '2020-12-07 07:19:45', 'hash_type': 'MD5', 'mime_type': 'application/pdf', 'hash': 'a261016c49dfb9a258f0ed9807848089', 'fileid': 242465, 'datasetid': 'document'}], 'docid': 41059, 'format': 'text', 'mime_type': 'application/pdf', 'language': 'en', 'rev_number': 1, 'placement': 1, 'eprintid': 27042, 'uri': 'http://repository.lppm.unila.ac.id/id/document/41059', 'pos': 1, 'security': 'public'}]",1027,nat.13.3.256-261,,,,Lembaga Penelitian dan Pengabdian kepada Masyarakat Universitas Riau,,,jurnal natur indonesia,,,,
